geo,time,ag_lnd_el5m_zs
nzl,1990,0.94749
nzl,2000,0.94749
nzl,2010,0.94749
omn,1990,0.81348
omn,2000,0.81348
omn,2010,0.81348
pak,1990,1.53402
pak,2000,1.53402
pak,2010,1.53402
pan,1990,1.68132
pan,2000,1.68132
pan,2010,1.68132
per,1990,0.32188
per,2000,0.32188
per,2010,0.32188
phl,1990,2.6317
phl,2000,2.6317
phl,2010,2.6317
plw,1990,1.97313
plw,2000,1.97313
plw,2010,1.97313
png,1990,0.46764
png,2000,0.46764
png,2010,0.46764
pol,1990,1.16977
pol,2000,1.16977
pol,2010,1.16977
pri,1990,5.69436
pri,2000,5.69436
pri,2010,5.69436
prk,1990,1.8083
prk,2000,1.8083
prk,2010,1.8083
prt,1990,1.43748
prt,2000,1.43748
prt,2010,1.43748
pse,1990,0.09498
pse,2000,0.09498
pse,2010,0.09498
pyf,1990,19.91798
pyf,2000,19.91798
pyf,2010,19.91798
qat,1990,12.12391
qat,2000,12.12391
qat,2010,12.12391
rou,1990,2.38355
rou,2000,2.38355
rou,2010,2.38355
rus,1990,0.78014
rus,2000,0.78014
rus,2010,0.78014
sau,1990,0.41807
sau,2000,0.41807
sau,2010,0.41807
sdn,1990,0.07028
sdn,2000,0.07028
sdn,2010,0.07028
sen,1990,3.5363
sen,2000,3.5363
sen,2010,3.5363
sgp,1990,8.16164
sgp,2000,8.16164
sgp,2010,8.16164
slb,1990,1.61781
slb,2000,1.61781
slb,2010,1.61781
sle,1990,2.85163
sle,2000,2.85163
sle,2010,2.85163
slv,1990,0.78896
slv,2000,0.78896
slv,2010,0.78896
smr,1990,0
smr,2000,0
smr,2010,0
som,1990,0.27021
som,2000,0.27021
som,2010,0.27021
stp,1990,0.89882
stp,2000,0.89882
stp,2010,0.89882
sur,1990,2.69795
sur,2000,2.69795
sur,2010,2.69795
svn,1990,0.09631
svn,2000,0.09631
svn,2010,0.09631
swe,1990,0.98158
swe,2000,0.98158
swe,2010,0.98158
swz,1990,0
swz,2000,0
swz,2010,0
syc,1990,16.42299
syc,2000,16.42299
syc,2010,16.42299
syr,1990,0.02597
syr,2000,0.02597
syr,2010,0.02597
tca,1990,55.87936
tca,2000,55.87936
tca,2010,55.87936
tgo,1990,0.42662
tgo,2000,0.42662
tgo,2010,0.42662
tha,1990,2.90529
tha,2000,2.90529
tha,2010,2.90529
tls,1990,0.67632
tls,2000,0.67632
tls,2010,0.67632
ton,1990,7.34711
ton,2000,7.34711
ton,2010,7.34711
tto,1990,2.65252
tto,2000,2.65252
tto,2010,2.65252
tun,1990,1.93926
tun,2000,1.93926
tun,2010,1.93926
tur,1990,0.53087
tur,2000,0.53087
tur,2010,0.53087
tuv,1990,32.65421
tuv,2000,32.65421
tuv,2010,32.65421
tza,1990,0.08872
tza,2000,0.08872
tza,2010,0.08872
ukr,1990,1.21509
ukr,2000,1.21509
ukr,2010,1.21509
ury,1990,1.51652
ury,2000,1.51652
ury,2010,1.51652
usa,1990,1.16768
usa,2000,1.16768
usa,2010,1.16768
vct,1990,3.40321
vct,2000,3.40321
vct,2010,3.40321
ven,1990,1.45812
ven,2000,1.45812
ven,2010,1.45812
vgb,1990,28.00743
vgb,2000,28.00743
vgb,2010,28.00743
vir,1990,6.63837
vir,2000,6.63837
vir,2010,6.63837
vnm,1990,15.40582
vnm,2000,15.40582
vnm,2010,15.40582
vut,1990,0.82703
vut,2000,0.82703
vut,2010,0.82703
wsm,1990,0.37126
wsm,2000,0.37126
wsm,2010,0.37126
yem,1990,0.41437
yem,2000,0.41437
yem,2010,0.41437
zaf,1990,0.06786
zaf,2000,0.06786
zaf,2010,0.06786
