geo,time,se_sec_enrl
bhs,2005,32089
bhs,2006,32709
bhs,2007,34217
bhs,2008,34399
bhs,2009,34274
bhs,2010,34406
bhs,2011,32973
bhs,2012,33351
bhs,2013,29939
bhs,2014,31681
bhs,2015,25766
bhs,2016,28384
bhs,2017,30740
bhs,2018,26884
bih,2007,333304
bih,2008,338971
bih,2009,334355
bih,2010,322766
bih,2011,316241
bih,2012,313321
bih,2013,309015
bih,2014,297460
bih,2015,278071
bih,2016,263010
bih,2017,253070
bih,2018,247714
bih,2019,240189
bih,2020,234497
blr,1971,809800
blr,1972,844640
blr,1973,871880
blr,1974,892797
blr,1975,889777
blr,1976,879169
blr,1977,858677
blr,1978,833331
blr,1979,808000
blr,1980,783900
blr,1981,756500
blr,1982,733900
blr,1983,720800
blr,1984,713700
blr,1985,713100
blr,1986,716200
blr,1987,720300
blr,1988,720700
blr,1989,720400
blr,1990,711700
blr,1991,968200
blr,1992,968200
blr,1993,970300
blr,1994,993900
blr,1995,1024600
blr,1996,1055200
blr,1997,1064700
blr,1998,973500
blr,2008,880231
blr,2009,822899
blr,2010,762616
blr,2011,722508
blr,2012,693047
blr,2013,660837
blr,2014,648541
blr,2015,644153
blr,2016,644344
blr,2017,644334
blr,2018,649357
blz,1980,12259
blz,1981,12248
blz,1982,12229
blz,1986,14647
blz,1987,15505
blz,1991,16550
blz,1994,19751
blz,1995,20226
blz,1999,21659
blz,2000,23235
blz,2001,24395
blz,2003,27880
blz,2004,29082
blz,2005,29185
blz,2006,30084
blz,2007,30475
blz,2008,31120
blz,2009,31721
blz,2010,32780
blz,2011,33614
blz,2012,35391
blz,2013,36778
blz,2014,37095
blz,2015,37856
blz,2016,41046
blz,2017,39756
blz,2018,40353
blz,2019,40641
blz,2020,39764
bmu,1971,4268
bmu,1972,4352
bmu,1973,4732
bmu,1974,4539
bmu,1975,4700
bmu,1976,4824
bmu,1977,5393
bmu,1978,5269
bmu,1979,5261
bmu,1980,5324
bmu,2001,4566
bmu,2002,4565
bmu,2003,4660
bmu,2004,4803
bmu,2005,4756
bmu,2006,4518
bmu,2010,4418
bmu,2011,4320
bmu,2012,4224
bmu,2013,4175
bmu,2014,4093
bmu,2015,4040
bol,1970,159580
bol,1971,173709
bol,1972,195664
bol,1973,205425
bol,1975,251074
bol,1998,756213
bol,1999,829759
bol,2000,800107
bol,2001,846804
bol,2002,914919
bol,2003,961699
bol,2004,1010459
bol,2005,1038195
bol,2006,1043127
bol,2007,1052014
bol,2008,1059641
bol,2009,1054878
bol,2010,1135844
bol,2011,1114449
bol,2012,1153850
bol,2013,1189580
bol,2014,1208552
bol,2015,1233875
bol,2016,1243485
bol,2017,1235538
bol,2018,1233738
bol,2019,1241545
bra,1970,4086073
bra,1971,4562126
bra,1972,5598583
bra,1973,6058379
bra,1974,8012497
bra,1975,8614147
bra,1976,9403986
bra,1977,10102668
bra,1978,10521905
bra,1985,10454336
bra,2002,26789210
bra,2003,24592568
bra,2004,25155104
bra,2005,24863112
bra,2007,23423870
bra,2008,23645668
bra,2009,23616942
bra,2010,23538716
bra,2011,23399408
bra,2012,23134072
bra,2013,24881382
bra,2014,24224944
bra,2015,23501784
bra,2016,23538072
bra,2017,23118180
bra,2018,22863908
bra,2019,22248336
brb,1971,27593
brb,1972,28353
brb,1973,28738
brb,1974,27585
brb,1975,29724
brb,1976,29025
brb,1977,28677
brb,1978,30021
brb,1979,29446
brb,1980,29816
brb,1981,28818
brb,1982,27787
brb,1983,27640
brb,1984,27715
brb,1985,28695
brb,1989,25422
brb,1990,24004
brb,1999,21841
brb,2000,21016
brb,2001,20866
brb,2002,20872
brb,2003,20947
brb,2004,21300
brb,2005,21418
brb,2006,20855
brb,2007,20651
brb,2008,20337
brb,2009,19928
brb,2010,19497
brb,2011,19696
brb,2014,20603
brb,2015,20554
brb,2016,20370
brb,2017,20249
brb,2018,19571
brb,2019,19121
brb,2020,19033
brn,1970,10974
brn,1971,11801
brn,1972,12765
brn,1973,13145
brn,1974,13704
brn,1975,14614
brn,1976,15946
brn,1977,16005
brn,1978,16410
brn,1979,16891
brn,1980,17441
brn,1981,17869
brn,1982,18734
brn,1983,19940
brn,1984,19904
brn,1985,20462
brn,1986,20295
brn,1991,25699
brn,1992,26836
brn,1993,28210
brn,1994,28851
brn,1998,32663
brn,1999,34426
brn,2000,35209
brn,2001,36986
brn,2002,38692
brn,2003,40022
brn,2004,42167
brn,2005,43900
brn,2006,45887
brn,2007,46173
brn,2008,46826
brn,2009,48119
brn,2010,48724
brn,2011,49916
brn,2012,52396
brn,2013,51738
brn,2014,49009
brn,2015,47249
brn,2016,45589
brn,2017,44464
brn,2018,44079
brn,2019,42679
brn,2020,41508
btn,1970,714
btn,1971,852
btn,1972,1059
btn,1974,1788
btn,1977,1536
btn,1982,4408
btn,1983,5298
btn,1984,5872
btn,1985,6094
btn,1998,18334
btn,1999,21507
btn,2000,25241
btn,2001,29115
btn,2005,42144
btn,2006,45109
btn,2007,49011
btn,2008,52098
btn,2009,56543
btn,2010,60036
btn,2011,62768
btn,2012,66072
btn,2013,68775
btn,2014,74227
btn,2015,74320
btn,2016,74393
btn,2017,75444
btn,2018,76221
bwa,1970,5197
bwa,1971,6210
bwa,1972,7195
bwa,1973,10629
bwa,1974,12245
bwa,1975,14286
bwa,1976,16275
bwa,1977,17896
bwa,1978,18977
bwa,1979,19538
bwa,1980,20969
bwa,1981,22962
bwa,1983,25010
bwa,1984,30902
bwa,1985,36144
bwa,1986,39713
bwa,1987,42952
bwa,1988,44194
bwa,1989,53849
bwa,1990,61767
bwa,1991,77998
bwa,1992,80358
bwa,1993,90658
bwa,1994,91862
bwa,1995,111134
bwa,1998,153442
bwa,1999,157804
bwa,2000,163001
bwa,2001,163354
bwa,2002,166089
bwa,2003,167919
bwa,2004,171488
bwa,2005,173027
bwa,2006,176902
bwa,2007,178314
bwa,2008,168220
caf,1971,11279
caf,1972,14110
caf,1973,16347
caf,1974,18291
caf,1975,20019
caf,1976,23011
caf,1977,24844
caf,1978,30554
caf,1979,32514
caf,1980,38500
caf,1981,45211
caf,1982,54400
caf,1983,55368
caf,1985,58104
caf,1986,59273
caf,1987,50690
caf,1988,46258
caf,1989,45340
caf,1990,49147
caf,1991,50930
caf,1992,43740
caf,2001,70162
caf,2002,71893
caf,2009,93341
caf,2011,126017
caf,2012,125907
caf,2016,118883
caf,2017,137844
can,1971,2527143
can,1972,2582284
can,1973,2595716
can,1974,2579041
can,1975,2596732
can,1976,2589862
can,1977,2587871
can,1978,2544408
can,1979,2474183
can,1980,2388308
can,1981,2323228
can,1982,2340255
can,1983,2321381
can,1984,2323105
can,1985,2287746
can,1986,2250941
can,1987,2238224
can,1988,2242938
can,1989,2249305
can,1990,2254654
can,1991,2292497
can,1992,2337513
can,1993,2402531
can,1994,2455427
can,1995,2469552
can,1996,2505389
can,1998,2564963
can,1999,2511517
can,2000,2519080
can,2005,2601926
can,2006,2632432
can,2007,2657320
can,2008,2668134
can,2009,2657932
can,2010,2611619
can,2011,2583789
can,2012,2734631
can,2013,2697507
can,2014,2661089
can,2015,2641675
can,2016,2640933
can,2017,2653009
can,2018,2654199
can,2019,2659138
che,1978,626312
che,1979,640872
che,1980,653294
che,1981,661315
che,1982,663054
che,1983,661969
che,1984,659858
che,1985,649958
che,1986,634750
che,1987,618667
che,1988,603541
che,1989,588545
che,1990,577406
che,1991,567396
che,1992,562465
che,1993,558487
che,1994,564705
che,1995,561716
che,1996,559924
che,1998,538775
che,1999,544433
che,2000,549369
che,2001,553618
che,2002,550317
che,2003,555505
che,2004,563701
che,2005,574783
che,2006,584073
che,2007,592454
che,2008,598957
che,2009,601033
che,2010,605184
che,2011,605000
che,2012,606162
che,2013,617000
che,2015,614470
che,2016,609783
che,2017,608845
che,2018,608878
che,2019,606669
chl,1970,590130
chl,1971,689305
chl,1972,764393
chl,1973,823613
chl,1974,848773
chl,1975,848408
chl,1976,863413
chl,1977,903617
chl,1978,933204
chl,1979,967455
chl,1980,969693
chl,1981,979454
chl,1982,982337
chl,1983,1051593
chl,1984,1089719
chl,1985,1133670
chl,1986,1153246
chl,1988,1196815
chl,1989,1165721
chl,1990,1117511
chl,1991,1386860
chl,1992,1390586
chl,1993,1110657
chl,1998,1245787
chl,1999,1304679
chl,2000,1391283
chl,2002,1496937
chl,2003,1557120
chl,2004,1594966
chl,2005,1630099
chl,2006,1633868
chl,2007,1611631
chl,2008,1588836
chl,2009,1528200
chl,2010,1518224
chl,2011,1493033
chl,2012,1443554
chl,2013,1571374
chl,2014,1556372
chl,2015,1546323
chl,2016,1530162
chl,2017,1520724
chl,2018,1522145
chl,2019,1537232
chn,1970,20253372
chn,1971,26482476
chn,1972,31493670
chn,1973,36166904
chn,1974,34946780
chn,1975,37137884
chn,1976,45368416
chn,1977,59055676
chn,1978,68488200
chn,1979,66371588
chn,1980,60248276
chn,1981,56777808
chn,1982,50145904
chn,1983,47027980
chn,1984,46865160
chn,1985,49236900
chn,1986,51663800
chn,1987,54108600
chn,1988,55062400
chn,1989,53621700
chn,1990,51799200
chn,1991,52385600
chn,1992,53690000
chn,1993,55100000
chn,1994,55548100
chn,1995,58941484
chn,1996,63800416
chn,1997,68275440
chn,1999,77436272
chn,2000,81487960
chn,2001,86516712
chn,2002,90722792
chn,2003,95624760
chn,2006,101195120
chn,2007,101830968
chn,2008,101448264
chn,2009,100392464
chn,2010,99218080
chn,2011,97452464
chn,2012,95004208
chn,2013,94324416
chn,2014,88691792
chn,2015,86127200
chn,2016,83956320
chn,2017,83407928
chn,2018,84321856
chn,2019,86101696
chn,2020,88409920
civ,1971,69714
civ,1972,80605
civ,1973,92101
civ,1974,94292
civ,1975,104730
civ,1976,119482
civ,1977,130102
civ,1978,147563
civ,1979,168971
civ,1980,197248
civ,1981,221940
civ,1983,242126
civ,1984,251417
civ,1985,266801
civ,1987,284925
civ,1999,591549
civ,2014,1418361
civ,2015,1587348
civ,2016,1727227
civ,2017,1898243
civ,2018,2040520
civ,2019,2227143
civ,2020,2385513
cmr,1971,76461
cmr,1972,87284
cmr,1973,99970
cmr,1974,111038
cmr,1975,126654
cmr,1976,143812
cmr,1977,163810
cmr,1978,183179
cmr,1979,198616
cmr,1980,212860
cmr,1981,234090
cmr,1982,248786
cmr,1983,273660
cmr,1984,296538
cmr,1985,328423
cmr,1986,343720
cmr,1987,386867
cmr,1988,416764
cmr,1989,439365
cmr,1990,457161
cmr,1991,500272
cmr,1992,534451
cmr,1994,550480
cmr,1995,550648
cmr,1997,549569
cmr,1998,587611
cmr,1999,642781
cmr,2000,699669
cmr,2001,848276
cmr,2002,759804
cmr,2003,823068
cmr,2004,751580
cmr,2005,784203
cmr,2006,698444
cmr,2007,976910
cmr,2008,1127691
cmr,2009,1268655
cmr,2011,1574451
cmr,2012,1713452
cmr,2013,1812849
cmr,2014,2000076
cmr,2015,2108279
cmr,2016,2206878
cod,1971,248318
cod,1972,297028
cod,1973,324966
cod,1974,335221
cod,1975,446644
cod,1976,511481
cod,1977,599412
cod,1978,704332
cod,1979,830429
cod,1980,845577
cod,1981,861774
cod,1982,879057
cod,1983,897468
cod,1984,917052
cod,1985,937859
cod,1986,959934
cod,1987,983334
cod,1988,1066351
cod,1992,1097095
cod,1993,1218760
cod,1994,1341446
cod,1995,1514323
cod,2007,2815175
cod,2008,3129488
cod,2009,3398550
cod,2010,3484459
cod,2011,3782945
cod,2012,3894024
cod,2013,3995631
cod,2014,4388456
cod,2015,4618895
cog,1971,34267
cog,1972,42066
cog,1973,54893
cog,1974,72517
cog,1975,87968
cog,1976,102110
cog,1977,122006
cog,1978,136642
cog,1979,149386
cog,1980,159218
cog,1981,187585
cog,1982,206299
cog,1983,209715
cog,1984,201583
cog,1985,202908
cog,1986,222633
cog,1987,235050
cog,1988,226952
cog,1989,200537
cog,1990,181979
cog,1991,182967
cog,1992,191459
cog,1994,212850
cog,1996,214650
cog,2002,194101
cog,2003,204096
cog,2004,235294
cog,2012,339250
col,1970,750055
col,1971,837458
col,1972,916165
col,1973,1159996
col,1974,1284347
col,1975,1370567
col,1976,1490779
col,1977,1616111
col,1978,1633635
col,1979,1691356
col,1980,1733192
col,1981,1768124
col,1982,1816628
col,1983,1816599
col,1984,1889023
col,1985,1934032
col,1986,2136239
col,1987,2187752
col,1988,2235284
col,1989,2282816
col,1991,2377947
col,1992,2686515
col,1993,2829435
col,1994,2935830
col,1995,3025350
col,1996,3252128
col,1998,3549368
col,1999,3589425
col,2000,3568889
col,2002,3723348
col,2004,4050525
col,2005,4297228
col,2006,4509406
col,2007,4684033
col,2008,4772189
col,2009,4992062
col,2010,5079732
col,2011,5130778
col,2012,4903462
col,2013,4910024
col,2014,4827962
col,2015,4793963
col,2016,4784912
col,2017,4784846
col,2018,4821029
col,2019,4908362
com,1971,1273
com,1973,2623
com,1974,3197
com,1981,13798
com,1986,21056
com,1987,21168
com,1992,15878
com,1994,17637
com,1999,28718
com,2002,33874
com,2003,38272
com,2004,42919
com,2013,67764
com,2014,70234
com,2017,67445
com,2018,73695
cpv,1972,4096
cpv,1980,3129
cpv,1981,3341
cpv,1982,3691
cpv,1984,4465
cpv,1987,5675
cpv,1988,6413
cpv,1989,6891
cpv,1990,7866
cpv,1994,14097
cpv,2000,44715
cpv,2001,44748
cpv,2002,48055
cpv,2003,49522
cpv,2004,49790
cpv,2005,52671
cpv,2006,61465
cpv,2007,60783
cpv,2008,61906
cpv,2009,60769
cpv,2010,61677
cpv,2011,62222
cpv,2012,61956
cpv,2013,62297
cpv,2014,59823
cpv,2015,58657
cpv,2016,57730
cpv,2017,56469
cpv,2018,53355
cpv,2019,53616
cri,1970,61068
cri,1971,67688
cri,1972,77828
cri,1973,94490
cri,1974,106511
cri,1975,111538
cri,1976,116037
cri,1977,121202
cri,1979,134350
cri,1980,135830
cri,1981,133909
cri,1982,130347
cri,1983,122836
cri,1984,117412
cri,1985,112531
cri,1986,114655
cri,1987,116928
cri,1988,118357
cri,1989,123052
cri,1990,130553
cri,1991,139303
cri,1992,151513
cri,1993,160291
cri,1994,169777
cri,1995,179440
cri,1996,183162
cri,1997,192678
cri,1998,227328
cri,1999,254597
cri,2000,255643
cri,2001,280341
cri,2002,288965
cri,2004,339763
cri,2005,347244
cri,2006,374428
cri,2007,377924
cri,2008,380813
cri,2009,405584
cri,2010,413686
cri,2011,419453
cri,2012,427760
cri,2013,447280
cri,2014,460235
cri,2015,460252
cri,2016,462855
cri,2017,467513
cri,2018,476668
cri,2019,504316
cri,2020,505328
cub,1971,272526
cub,1972,252801
cub,1973,285274
cub,1974,348684
cub,1975,449041
cub,1976,629398
cub,1977,806049
cub,1978,818346
cub,1979,936088
cub,1980,1127591
cub,1981,1146414
cub,1982,1158151
cub,1983,1116930
cub,1984,1140917
cub,1985,1144790
cub,1986,1156555
cub,1987,1153659
cub,1988,1143137
cub,1989,1127035
cub,1990,1073119
cub,1991,1002338
cub,1992,912165
cub,1993,819712
cub,1994,725800
