geo,time,sl_tlf_basc_ma_zs
per,2008,84.48
per,2009,85.02
per,2010,85.37
per,2011,85.12
per,2012,83.75
per,2013,83.95
per,2014,83.26
per,2015,82.48
per,2016,82.48
per,2017,82.29
per,2018,82.35
per,2019,81.91
per,2020,71.72
phl,2009,80.19
phl,2010,80.05
phl,2011,80.84
phl,2012,80.34
phl,2014,80.5
phl,2015,78.97
phl,2016,79.14
plw,2000,40.56
plw,2014,81.69
png,2010,45.64
pol,1997,41.69
pol,1998,37.75
pol,1999,36.01
pol,2000,34.78
pol,2001,35.01
pol,2002,33.32
pol,2003,32.19
pol,2004,32.02
pol,2005,32.18
pol,2006,30.65
pol,2007,29.97
pol,2008,29.53
pol,2009,29.1
pol,2010,28.66
pol,2011,28.62
pol,2012,28.81
pol,2013,28.24
pol,2014,27.79
pol,2015,27.86
pol,2016,26.66
pol,2017,26.12
pol,2018,25.59
pol,2019,27.17
pol,2020,27.04
pri,2015,25.7
prt,1992,72.8
prt,1993,70.98
prt,1994,70.04
prt,1995,69.94
prt,1996,69.57
prt,1997,69.7
prt,1998,69.58
prt,1999,68.44
prt,2000,68.4
prt,2001,73.53
prt,2002,74.05
prt,2003,73.18
prt,2004,72.09
prt,2005,71.25
prt,2006,71.02
prt,2007,70.87
prt,2008,70
prt,2009,67.86
prt,2010,66.98
prt,2011,65.91
prt,2012,64.35
prt,2013,62.33
prt,2014,60.16
prt,2015,58.97
prt,2016,57.84
prt,2017,58.23
prt,2018,56.95
prt,2019,55.91
prt,2020,53.72
pry,1998,85.78
pry,1999,82.18
pry,2001,82.58
pry,2002,85.62
pry,2003,82.1
pry,2004,85.11
pry,2005,83.43
pry,2006,82.68
pry,2007,82.47
pry,2008,81.82
pry,2009,82.9
pry,2010,80.48
pry,2011,78.62
pry,2012,80.1
pry,2013,78.8
pry,2014,78.33
pry,2015,78.63
pry,2016,81.31
pry,2017,80.26
pse,2000,67.93
pse,2001,62.73
pse,2002,61.33
pse,2003,64.95
pse,2004,63.79
pse,2005,64.4
pse,2006,63.71
pse,2007,64.54
pse,2008,64.63
pse,2009,64.4
pse,2010,66.63
pse,2011,67.75
pse,2012,67.41
pse,2013,67.88
pse,2014,68.02
pse,2015,70.18
pse,2016,69.91
pse,2017,70.5
pse,2018,69.13
pse,2019,69.48
pse,2020,63.95
qat,2013,96.42
qat,2014,100
qat,2015,96.97
qat,2017,93.38
qat,2019,96.55
qat,2020,95.93
rou,1997,62.74
rou,1998,60.73
rou,1999,59.83
rou,2000,59.39
rou,2001,57.42
rou,2002,48.48
rou,2003,46.98
rou,2004,44.27
rou,2005,42.2
rou,2006,43.06
rou,2007,44.7
rou,2008,45.29
rou,2009,45.69
rou,2010,46.19
rou,2011,42.55
rou,2012,43.19
rou,2013,43.67
rou,2014,46.52
rou,2015,45.23
rou,2016,43.55
rou,2017,44.09
rou,2018,43.53
rou,2019,45.34
rou,2020,45.49
rus,2010,35.27
rus,2011,36.53
rus,2012,37.02
rus,2013,35.99
rus,2014,34.25
rus,2015,36.03
rus,2016,35.91
rus,2017,31.17
rus,2018,31.13
rus,2019,31.05
rus,2020,30.29
rwa,2014,76.52
rwa,2017,61.02
rwa,2018,62.44
rwa,2019,60.98
rwa,2020,62.97
sau,2014,73.27
sau,2016,71.1
sau,2017,71.62
sau,2018,72.14
sau,2019,73.68
sau,2020,72.42
sdn,2011,65.07
sen,2011,62.52
sen,2015,52.86
sen,2016,57.14
sen,2017,50.38
sen,2018,45.14
sen,2019,61.08
slb,2013,95.06
sle,2014,48.87
sle,2018,48.68
slv,2010,75.75
slv,2011,75.74
slv,2012,77
slv,2013,75.82
slv,2014,75.84
slv,2015,75.22
slv,2016,75.34
slv,2017,76.71
slv,2018,75.55
slv,2019,77.63
slv,2020,76.18
som,2019,61.08
srb,2008,59.81
srb,2009,56.7
srb,2010,54.02
srb,2011,54.38
srb,2012,54.64
srb,2013,55.64
srb,2014,44.38
srb,2015,42.88
srb,2016,44.73
srb,2017,44.37
srb,2018,44.22
srb,2019,44.98
srb,2020,43.37
sur,2014,73.84
sur,2016,84.76
svk,1998,27.68
svk,1999,25.06
svk,2000,23.39
svk,2001,24.84
svk,2002,23.57
svk,2003,23.87
svk,2004,24.76
svk,2005,24.76
svk,2006,23.96
svk,2007,23.01
svk,2008,23.25
svk,2009,22.66
svk,2010,23.82
svk,2011,23.78
svk,2012,24.49
svk,2013,25.28
svk,2014,28.51
svk,2015,27.33
svk,2016,27.28
svk,2017,29.15
svk,2018,30.82
svk,2019,31.57
svk,2020,26.16
svn,1996,46.48
svn,1997,50.13
svn,1998,47.67
svn,1999,43.92
svn,2000,43.61
svn,2001,45.8
svn,2002,44.35
svn,2003,42.94
svn,2004,45.53
svn,2005,46.63
svn,2006,45.58
svn,2007,47.38
svn,2008,45.79
svn,2009,45.82
svn,2010,46.94
svn,2011,42.33
svn,2012,41.1
svn,2013,41.4
svn,2014,40.94
svn,2015,39.02
svn,2016,35.16
svn,2017,37.77
svn,2018,37.73
svn,2019,33.72
svn,2020,30.2
swe,1995,57.99
swe,1996,69.21
swe,1997,55.85
swe,1998,58.14
swe,1999,56.27
swe,2000,55.34
swe,2001,57.74
swe,2002,56.44
swe,2003,54.77
swe,2004,54.04
swe,2005,55.66
swe,2006,53.68
swe,2007,52.84
swe,2008,52.23
swe,2009,51.17
swe,2010,52.07
swe,2011,52.22
swe,2012,51.57
swe,2013,51.73
swe,2014,52.81
swe,2015,52.58
swe,2016,52.39
swe,2017,52.93
swe,2018,54.32
swe,2019,55.54
swe,2020,55.27
swz,2016,52.87
syc,2014,46.15
syc,2015,43.16
syc,2016,40.32
syc,2017,38.47
syc,2018,29.47
syc,2019,34.55
syc,2020,29.64
tcd,2018,63.21
tgo,2006,87.82
tgo,2011,86.89
tgo,2015,81.77
tgo,2017,54.13
tha,2010,79.41
tha,2011,80.77
tha,2012,81.14
tha,2013,79.22
tha,2014,79.17
tha,2015,78.48
tha,2016,78.24
tha,2017,77.84
tha,2018,78.33
tha,2019,77.51
tha,2020,77.38
tjk,2003,43.39
tjk,2007,34.02
tjk,2009,37.45
tls,2010,45.03
tls,2013,36.75
tls,2016,71.09
ton,2018,48.65
tto,2010,63.95
tto,2011,63.72
tto,2012,61.89
tto,2013,60.54
tto,2014,62.02
tto,2015,59.25
tto,2016,55.09
tun,2005,80.9
tun,2006,78.28
tun,2007,80.08
tun,2008,81.47
tun,2009,82.79
tun,2010,82.26
tun,2011,82.16
tun,2012,80.98
tun,2013,80.23
tun,2015,78.88
tun,2016,77.46
tun,2017,76.16
tur,2000,76.08
tur,2001,75.01
tur,2002,73.84
tur,2003,72.5
tur,2004,71.58
tur,2005,71.77
tur,2006,69.88
tur,2007,69.83
tur,2008,69.99
tur,2009,69.33
tur,2010,69.67
tur,2011,70.3
tur,2012,69.53
tur,2013,69.36
tur,2014,69.74
tur,2015,69.55
tur,2016,69.71
tur,2017,70.09
tur,2018,70.14
tur,2019,68.83
tur,2020,64.14
tuv,2016,76.75
tza,2001,76.86
tza,2006,80.47
tza,2011,83.46
tza,2012,93.71
tza,2013,83.61
tza,2014,71.23
uga,2012,73.55
uga,2013,87.39
uga,2017,18
ukr,2014,24.8
ukr,2015,24.36
ukr,2016,24.17
ukr,2018,48.71
ukr,2019,44.49
ukr,2020,42.45
ury,1998,72.4
ury,1999,70.41
ury,2000,70.52
ury,2001,73.07
ury,2002,70.97
ury,2003,69.03
ury,2004,70.69
ury,2005,69.95
ury,2006,74.33
ury,2007,80.11
ury,2008,74.94
ury,2009,75.46
ury,2010,75.61
ury,2011,76.67
ury,2012,75.52
ury,2013,76.22
ury,2014,76.11
ury,2015,74.48
ury,2016,73.96
ury,2017,73.15
ury,2018,72.07
ury,2019,71.51
usa,1994,47.12
usa,1995,47.6
usa,1996,48.34
usa,1997,49.5
usa,1998,49.18
usa,1999,49.07
usa,2000,51.91
usa,2001,51.88
usa,2002,52.46
usa,2003,52.7
usa,2004,53.61
usa,2005,53.72
usa,2006,55.07
usa,2007,55.07
usa,2008,54.48
usa,2009,53.58
usa,2010,53.7
usa,2011,52.36
usa,2012,52.37
usa,2013,52.8
usa,2014,52.68
usa,2015,52.88
usa,2016,52.81
usa,2017,52.69
usa,2018,53.8
usa,2019,54.26
usa,2020,52.83
usa,2021,52.99
uzb,2020,7.86
ven,2005,80.02
ven,2006,80.87
ven,2007,80.51
ven,2008,80.39
ven,2009,79.54
ven,2010,79.45
ven,2011,79.2
ven,2012,78.43
ven,2016,73.43
ven,2017,80.14
vnm,2010,82.14
vnm,2011,82.66
vnm,2012,81.34
vnm,2013,82.68
vnm,2014,82.86
vnm,2015,83.75
vnm,2016,82.85
vnm,2017,81.89
vnm,2018,82.07
vnm,2019,76.22
vnm,2020,74.37
vut,2006,78
vut,2010,70.85
vut,2019,53.81
wsm,2012,33.28
wsm,2017,48.82
yem,2010,37.14
yem,2014,55.57
zaf,2000,52.68
zaf,2001,51.63
zaf,2002,49.57
zaf,2003,48.43
zaf,2004,46.51
zaf,2005,47.76
zaf,2006,46.62
zaf,2007,46.89
zaf,2008,56.11
zaf,2009,54.27
zaf,2010,52.59
zaf,2011,51.89
zaf,2013,51.77
zaf,2014,52.16
zaf,2015,54
zaf,2016,54.72
zaf,2017,54.7
zaf,2018,54.35
zaf,2019,54.45
zaf,2020,50.03
zmb,2017,36.9
zmb,2018,35.71
zmb,2019,38.72
zwe,2011,88.25
zwe,2014,90.26
zwe,2019,48
