geo,time,sh_sta_owgh_fe_zs
nam,2000,2.9
nam,2007,4.4
nam,2013,4.2
ner,1992,1.9
ner,2000,1.4
ner,2006,0.7
ner,2007,0.3
ner,2008,0
ner,2009,0.2
ner,2010,0.1
ner,2011,0.2
ner,2012,0.7
ner,2013,0.3
ner,2014,0.5
ner,2015,0.5
ner,2016,1
ner,2018,0.8
ner,2019,1.5
nga,1990,3.3
nga,2003,6
nga,2011,2.7
nga,2014,1.7
nga,2015,1.3
nga,2016,1.3
nga,2018,1.8
nga,2020,1.6
nic,1993,5.4
nic,1998,6.5
nic,2001,6
nic,2004,3.7
nic,2007,5.6
nic,2012,7.9
nld,1996,2.4
nld,2009,4
npl,1998,0.4
npl,2001,0.7
npl,2006,0.6
npl,2011,1.6
npl,2014,2.1
npl,2016,1
npl,2019,2.3
nru,2007,1.3
omn,1999,1.5
omn,2009,2
omn,2014,4.4
omn,2017,4.2
pak,1991,5.6
pak,1992,2
pak,2001,4.7
pak,2011,6.4
pak,2013,4.8
pak,2018,2.6
pan,1997,6.4
pan,2003,11
pan,2008,10.8
per,1991,8.8
per,1996,8.9
per,2000,10.7
per,2005,7.1
per,2007,10.4
per,2009,8.9
per,2010,6.9
per,2011,7.4
per,2012,6.1
per,2013,7.2
per,2014,7.6
per,2015,7.7
per,2016,6.5
per,2017,7.1
per,2018,7.8
per,2019,7.1
phl,2003,2.2
phl,2008,2.5
phl,2011,3.3
phl,2013,4
phl,2015,3.2
png,2005,2.5
png,2010,13.1
pol,2011,4.7
prk,2002,1.1
prk,2009,0
prk,2017,2.3
prt,2016,9.8
pry,1990,4.7
pry,1998,7.1
pry,2012,11.9
pry,2016,11.9
pse,1996,4.3
pse,2000,8.3
pse,2004,8.3
pse,2006,9.4
pse,2010,4.6
pse,2014,7.1
pse,2020,6.9
rou,1999,10
rou,2000,8.5
rou,2001,9
rou,2002,8.1
rwa,1992,3.7
rwa,2000,6.9
rwa,2005,6.2
rwa,2010,7
rwa,2012,5.6
rwa,2015,4.9
rwa,2018,1.8
rwa,2020,5.4
sau,2004,6
sdn,2006,4.4
sdn,2010,1.4
sdn,2014,2.8
sen,1993,3.9
sen,2000,3.4
sen,2005,1.8
sen,2011,2.7
sen,2012,0.6
sen,2013,1.2
sen,2014,0.9
sen,2015,0.9
sen,2016,1.1
sen,2017,1.1
sen,2018,1.3
sen,2019,2.5
slb,1989,1.5
slb,2007,2.8
slb,2015,4.4
sle,2000,4.2
sle,2005,5.5
sle,2010,1.5
sle,2014,2.3
sle,2017,1.8
sle,2019,4.1
slv,1988,2.2
slv,1993,3.8
slv,1998,3.2
slv,2003,4.8
slv,2008,5
slv,2014,6.6
som,2006,4.6
som,2009,3.1
srb,2005,18.2
srb,2010,14.7
srb,2014,12
srb,2019,8.9
ssd,2006,11.2
ssd,2010,5.9
stp,2014,2.2
stp,2019,3.4
sur,2000,2.7
sur,2006,3.4
sur,2010,3
sur,2018,3.8
swz,2000,13.9
swz,2006,10.7
swz,2010,11.2
swz,2014,8.9
syc,2012,10
syr,1993,14.4
syr,2001,19.1
syr,2006,18.1
syr,2010,18.1
tcd,1997,2.4
tcd,2000,2.4
tcd,2004,4.3
tcd,2010,3
tcd,2015,2.8
tcd,2017,2
tcd,2019,2.4
tgo,2009,1.2
tgo,2010,0.7
tgo,2012,1.5
tgo,2014,2.2
tgo,2017,1.6
tha,2006,7.2
tha,2012,11.6
tha,2016,7.5
tha,2019,8.7
tjk,2005,6.2
tjk,2007,13.1
tjk,2009,4
tjk,2012,6.4
tjk,2016,3.5
tjk,2017,3.2
tkm,2006,5.2
tkm,2015,5.7
tkm,2019,2.4
tls,2002,6.5
tls,2007,1.3
tls,2009,5.7
tls,2013,1.7
ton,2012,16
ton,2019,9.9
tto,2000,6.2
tto,2011,9.8
tun,2006,9.2
tun,2012,13.7
tun,2018,16.5
tur,1993,4.1
tur,1998,3.4
tur,2004,7.2
tur,2008,8.5
tur,2013,10.2
tur,2018,6.8
tuv,2007,5.2
tza,1991,5.6
tza,1996,4.2
tza,1999,1.8
tza,2004,4.3
tza,2009,4.5
tza,2010,4.9
tza,2011,4.4
tza,2013,5.3
tza,2015,3.6
uga,1988,3.7
uga,2000,4.5
uga,2006,4.7
uga,2009,2.2
uga,2011,3.2
uga,2012,4.5
uga,2014,2.9
uga,2016,2.6
ukr,2000,25.5
ury,2002,9.8
ury,2004,8.6
ury,2013,9.6
ury,2016,10.9
ury,2018,11.8
usa,1991,5.9
usa,2000,7.2
usa,2002,6.9
usa,2004,10.8
usa,2006,7.9
usa,2008,7.6
usa,2010,7
usa,2012,7.2
usa,2014,8.6
usa,2016,8.2
usa,2018,5.7
uzb,2002,10.5
uzb,2006,11.8
uzb,2017,3.6
vnm,1993,2.5
vnm,1999,1.6
vnm,2000,2.6
vnm,2002,2.3
vnm,2003,1.9
vnm,2004,2.2
vnm,2005,2.3
vnm,2006,2.6
vnm,2007,2.5
vnm,2008,2.5
vnm,2010,3.4
vut,2008,4
vut,2013,4.7
wsm,2014,4.4
wsm,2019,8.5
yem,1991,10.8
yem,1997,3.8
yem,2003,5.1
yem,2005,6.9
yem,2011,1.6
yem,2013,2.5
zaf,2008,11.9
zaf,2015,11.6
zaf,2016,11
zaf,2017,11.6
zmb,1992,4.2
zmb,1996,6
zmb,1999,14.7
zmb,2002,5.4
zmb,2007,8.3
zmb,2013,5.9
zmb,2018,5
zwe,1988,3.9
zwe,1999,10.2
zwe,2005,8.3
zwe,2009,2.7
zwe,2010,4.9
zwe,2014,3.5
zwe,2015,5.1
zwe,2019,2.2
