geo,time,en_atm_pfcg_kt_ce
yem,2000,0
yem,2005,0
yem,2008,0
yem,2010,0
zaf,1990,437
zaf,2000,458.8
zaf,2005,499.8
zaf,2008,479.2
zaf,2010,477
zmb,1990,0
zmb,2000,0
zmb,2005,0
zmb,2008,0
zmb,2010,0
zwe,1990,0
zwe,2000,0
zwe,2005,0
zwe,2008,0
zwe,2010,0
