geo,time,se_ter_cuat_ms_zs
srb,2011,2.22452
srb,2013,0.76172
srb,2014,1.49623
srb,2015,1.86973
srb,2016,2.18066
srb,2017,2.17539
srb,2019,2.20622
ssd,2008,0.8574
stp,2012,0
svk,2011,16.50372
svk,2014,15.35605
svk,2015,16.5289
svk,2016,17.63311
svk,2017,18.56652
svk,2018,19.35693
svk,2019,20.31898
svn,2014,13.27261
svn,2015,14.43501
svn,2016,14.65443
svn,2017,15.32231
svn,2019,16.2364
swe,2013,10.38318
swe,2014,10.63362
swe,2015,10.86628
swe,2016,11.1166
swe,2017,11.31977
swe,2019,11.84989
tcd,2009,0.26269
tha,2013,1.79017
tha,2016,2.14081
tha,2018,2.05563
tha,2019,2.12574
tjk,1989,11.7
tjk,2017,10.94874
tto,2011,1.66202
tur,2013,1.55282
tur,2014,1.6362
tur,2015,1.75616
tur,2016,1.78508
tur,2017,2.26334
tur,2019,2.57802
ukr,2001,16.2831
ury,2013,1.40601
ury,2014,1.6325
ury,2015,1.70333
ury,2016,1.71985
ury,2017,1.90948
ury,2018,2.08136
ury,2019,2.11576
usa,2013,11.56644
usa,2014,11.76536
usa,2015,11.99485
usa,2016,12.61401
usa,2018,13.05038
usa,2020,14.1386
ven,2015,1.033
ven,2016,1.00256
vnm,2019,0.71497
zaf,2014,0.75553
zaf,2015,1.17919
zaf,2017,1.46079
zaf,2019,2.18338
zwe,2017,0.6215
