geo,time,se_prm_tchr
atg,2015,703
atg,2017,825
atg,2018,816
aus,1971,67114
aus,1972,69496
aus,1973,70911
aus,1974,73745
aus,1975,78390
aus,1976,81747
aus,1977,85855
aus,1978,87878
aus,1979,90668
aus,1981,91386
aus,1984,102853
aus,1986,90685
aus,1987,91252
aus,1988,91979
aus,1989,92820
aus,1991,96779
aus,1992,97955
aus,1993,98526
aus,1995,101035
aus,1996,102267
aus,1997,103774
aus,1998,104603
aus,1999,105469
aut,1971,24815
aut,1972,24834
aut,1973,24850
aut,1974,25241
aut,1975,25308
aut,1976,26374
aut,1978,28492
aut,1979,26049
aut,1980,26369
aut,1981,27525
aut,1982,27561
aut,1983,27731
aut,1984,27942
aut,1985,28175
aut,1986,32806
aut,1987,33100
aut,1988,33330
aut,1989,33594
aut,1990,33796
aut,1991,34232
aut,1992,34902
aut,1993,33507
aut,1994,32059
aut,1995,32634
aut,1996,30674
aut,1997,31251
aut,1998,31716
aut,1999,28890
aut,2002,29129
aut,2003,28822
aut,2004,28397
aut,2005,29239
aut,2006,29044
aut,2007,29274
aut,2008,29017
aut,2009,29179
aut,2010,29743
aut,2011,29957
aut,2012,30204
aut,2013,30565.95508
aut,2014,30533.42383
aut,2015,30972.43359
aut,2016,31933.22461
aut,2017,33438.03125
aut,2019,32234.33984
aze,1991,26177
aze,1992,26708
aze,1993,27793
aze,1994,30555
aze,1995,31624
aze,1996,34201
aze,1997,35514
aze,1998,36413
aze,1999,36810
aze,2000,37469
aze,2001,40523
aze,2002,41328
aze,2003,41651
aze,2004,42533
aze,2005,42243
aze,2006,43026
aze,2007,44106
aze,2008,43971
aze,2009,44232
aze,2010,43610
aze,2011,43242
aze,2012,41221
aze,2013,41012
aze,2014,41012
aze,2015,40830
aze,2016,37516
aze,2017,39293
aze,2018,41164
aze,2019,40946
aze,2020,40160
bdi,1971,4955
bdi,1972,4980
bdi,1973,3954
bdi,1974,4022
bdi,1975,4159
bdi,1976,4199
bdi,1977,4245
bdi,1978,4385
bdi,1979,4445
bdi,1980,4623
bdi,1981,4805
bdi,1982,5252
bdi,1983,5500
bdi,1984,5760
bdi,1985,6322
bdi,1986,6866
bdi,1987,7256
bdi,1988,7534
bdi,1989,8244
bdi,1990,9049
bdi,1991,9465
bdi,1992,9582
bdi,1993,10400
bdi,1996,9475
bdi,1998,11597
bdi,1999,12107
bdi,2000,12731
bdi,2001,14955
bdi,2002,16651
bdi,2003,17931
bdi,2004,18899
bdi,2005,21289
bdi,2006,24452
bdi,2007,28671
bdi,2009,33867
bdi,2010,36557
bdi,2011,40288
bdi,2012,42052
bdi,2013,44662
bdi,2014,46887
bdi,2015,47949
bdi,2016,42497
bdi,2017,42854
bdi,2018,51051
bdi,2019,51545
bdi,2021,51921
bel,1971,51692
bel,1974,50312
bel,1976,48625
bel,1977,48038
bel,1978,46484
bel,1979,46227
bel,1980,44212
bel,1981,46430
bel,1982,45130
bel,1984,40894
bel,1985,43958
bel,1986,44190
bel,1993,59830
bel,1994,60738
bel,2005,64278
bel,2008,65574
bel,2009,65668
bel,2010,66317
bel,2011,65783
bel,2012,66441
bel,2013,68576
bel,2014,68826
bel,2015,69681
bel,2016,70530
bel,2017,72269
bel,2018,73029
bel,2019,73859
ben,1971,3753
ben,1972,3929
ben,1973,4184
ben,1974,4450
ben,1975,4708
ben,1976,4864
ben,1977,5786
ben,1978,6326
ben,1979,6048
ben,1980,6547
ben,1981,7994
ben,1982,10381
ben,1983,11339
ben,1984,12163
ben,1985,13269
ben,1986,13452
ben,1987,13867
ben,1988,14067
ben,1989,13821
ben,1990,13693
ben,1991,13556
ben,1992,13422
ben,1993,13184
ben,1994,12924
ben,1995,13586
ben,1996,13889
ben,1997,15705
ben,1998,16043
ben,1999,16335
ben,2000,17710
ben,2001,19710
ben,2002,21766
ben,2003,19836
ben,2004,25583
ben,2005,28148
ben,2006,31103
ben,2008,35938
ben,2009,38321
ben,2010,38540
ben,2011,42293
ben,2012,45010
ben,2013,47201
ben,2014,46454
ben,2015,49688
ben,2016,54463
ben,2017,51677
ben,2018,56738
ben,2019,53341
ben,2020,57002
bfa,1971,2370
bfa,1972,2376
bfa,1973,2492
bfa,1974,2775
bfa,1975,2813
bfa,1976,2997
bfa,1977,3124
bfa,1978,3204
bfa,1979,3263
bfa,1980,3490
bfa,1981,3700
bfa,1982,3744
bfa,1983,4153
bfa,1984,4796
bfa,1985,5550
bfa,1986,6091
bfa,1987,5780
bfa,1988,6359
bfa,1989,7729
bfa,1990,8572
bfa,1991,8903
bfa,1992,9165
bfa,1993,9412
bfa,1994,10300
bfa,1995,12754
bfa,1996,14037
bfa,1998,16724
bfa,1999,16660
bfa,2000,17435
bfa,2001,19007
bfa,2002,20676
bfa,2003,22664
bfa,2004,23402
bfa,2005,26938
bfa,2006,30341
bfa,2007,32760
bfa,2008,35617
bfa,2009,38983
bfa,2010,39077
bfa,2011,41857
bfa,2012,48592
bfa,2013,53505
bfa,2014,58294
bfa,2015,64177
bfa,2016,69148
bfa,2017,74747
bfa,2018,80713
bfa,2019,82083
bfa,2020,87304
bgd,1970,113673
bgd,1971,117275
bgd,1972,136508
bgd,1973,155742
bgd,1974,150267
bgd,1975,164717
bgd,1976,172448
bgd,1977,174384
bgd,1978,186144
bgd,1979,187504
bgd,1980,153859
bgd,1981,149909
bgd,1983,171349
bgd,1984,189884
bgd,1985,189900
bgd,1986,190557
bgd,1987,191507
bgd,1988,191399
bgd,1989,186872
bgd,1990,189508
bgd,2005,344806
bgd,2006,344914
bgd,2007,364494
bgd,2008,365925
bgd,2009,361450
bgd,2010,395281
bgd,2011,458389
bgd,2015,527798
bgd,2016,548201
bgd,2017,574001
bgd,2018,576887
bgr,1996,25503
bgr,1997,25860
bgr,1998,24716
bgr,1999,22983
bgr,2000,23344
bgr,2001,21161
bgr,2002,20789
bgr,2003,19439
bgr,2004,18762
bgr,2005,17873
bgr,2006,17378
bgr,2007,16790
bgr,2008,16346
bgr,2009,15075
bgr,2010,14885
bgr,2011,14608
bgr,2012,14489
bgr,2013,14388
bgr,2014,14596
bgr,2016,14876
bgr,2017,17393
bgr,2018,19225
bgr,2019,20668
bhr,1973,1900
bhr,1974,1723
bhr,1975,1916
bhr,1976,2044
bhr,1977,2010
bhr,1978,2235
bhr,1979,2345
bhr,1980,2479
bhr,1981,2577
bhr,1982,2543
bhr,1983,2736
bhr,1984,2910
bhr,1985,2892
bhr,1986,2856
bhr,1987,2906
bhr,1988,2887
bhr,1989,2882
bhr,1990,3059
bhr,1991,3092
bhr,1992,3085
bhr,1993,3312
bhr,1994,3386
bhr,1995,3536
bhr,2011,7679
bhr,2012,8117
bhr,2013,8413
bhr,2014,8896
bhr,2015,9219
bhr,2016,9303
bhr,2017,9332
bhr,2018,9551
bhr,2019,9460
bhr,2020,9112
bhs,1971,707
bhs,1972,751
bhs,1975,1187
bhs,1976,1294
bhs,1977,1417
bhs,1980,1218
bhs,1981,1261
bhs,1982,1151
bhs,1983,1555
bhs,1984,1565
bhs,1985,1561
bhs,1986,1767
bhs,1994,1581
bhs,1995,1485
bhs,1999,2406
bhs,2002,2029
bhs,2004,2150
bhs,2006,2335
bhs,2007,2420
bhs,2008,2333
bhs,2009,2683
bhs,2010,2402
bhs,2011,1996
bhs,2012,1634
bhs,2013,1803
bhs,2014,1743
bhs,2015,1555
bhs,2016,1611
bhs,2017,1555
bhs,2018,1517
bih,2013,9505
bih,2014,9573
bih,2015,9475
bih,2016,9346
bih,2017,9389
bih,2018,9416
bih,2019,9415
bih,2020,9443
blr,1992,30300
blr,1993,31600
blr,1994,32400
blr,1995,32200
blr,1998,31900
blr,1999,32360
blr,2000,32940
blr,2001,32166
blr,2002,30722
blr,2003,27418
blr,2004,26151
blr,2005,23671
blr,2006,22949
blr,2007,22640
blr,2008,23638
blr,2009,23916
blr,2010,23907
blr,2011,23644
blr,2012,23595
blr,2013,23150
blr,2014,22383
blr,2015,22029
blr,2016,22385
blr,2017,22497
blr,2018,22241
blz,1999,1880
blz,2000,1921
blz,2001,1983
blz,2003,2274
blz,2004,2109
blz,2005,2127
blz,2006,2245
blz,2007,2268
blz,2008,2299
blz,2009,2325
blz,2010,2367
blz,2011,2391
blz,2012,2486
blz,2013,2329
blz,2014,2321
blz,2015,2548
blz,2016,2552
blz,2017,2630
blz,2018,2566
blz,2019,2623
blz,2020,2598
bmu,1971,341
bmu,1972,363
bmu,1973,354
bmu,1974,346
bmu,1975,325
bmu,1977,374
bmu,1978,319
bmu,1979,262
bmu,1980,262
bmu,1981,312
bmu,1982,326
bmu,1983,322
bmu,1984,316
bmu,1985,309
bmu,1995,463
bmu,1997,478
bmu,2001,536
bmu,2002,548
bmu,2003,548
bmu,2004,560
bmu,2005,571
bmu,2006,567
bmu,2010,608
bmu,2011,486
bmu,2012,429
bmu,2013,573
bmu,2014,610
bmu,2015,398
bmu,2016,420
bol,1999,58441
bol,2013,82716
bol,2014,80299
bol,2015,79139
bol,2016,78684
bol,2017,77809
bol,2018,77485
bra,1970,457406
bra,1999,807053
bra,2000,815079
bra,2001,858813
bra,2002,867003
bra,2003,877204
bra,2004,887428
bra,2005,886781
bra,2007,754291
bra,2008,773624
bra,2009,770703
bra,2010,762132
bra,2011,774575
bra,2012,786411
bra,2013,789575
bra,2014,795014
bra,2015,791787
bra,2016,793276
bra,2017,796457
bra,2018,798957
bra,2019,783517
brb,1978,1227
brb,1979,1261
brb,1983,1492
brb,1984,1317
brb,1985,1421
brb,1989,1609
brb,1990,1602
brb,1992,1553
brb,1999,1395
brb,2000,1393
brb,2001,1422
brb,2002,1471
brb,2003,1460
brb,2004,1416
brb,2005,1469
brb,2007,1553
brb,2008,1698
brb,2009,1607
brb,2010,1742
brb,2011,1720
brb,2014,1665
brb,2015,1560
brb,2016,1553
brb,2017,1446
brb,2018,1445
brb,2019,1398
brb,2020,1476
brn,1970,1190
brn,1971,1406
brn,1972,1478
brn,1973,1527
brn,1974,1584
brn,1975,1582
brn,1976,1679
brn,1977,1761
brn,1978,1996
brn,1979,1657
brn,1980,1671
brn,1981,1800
brn,1982,1923
brn,1983,2048
brn,1984,2331
brn,1985,2165
brn,1986,2225
brn,1988,2725
brn,1989,2842
brn,1991,2543
brn,1992,2561
brn,1993,2646
brn,1994,2772
brn,1995,2924
brn,1998,3238
brn,1999,3282
brn,2000,3324
brn,2001,3262
brn,2002,3536
brn,2003,3775
brn,2004,4263
brn,2005,4548
brn,2006,3683
brn,2007,3628
brn,2008,3595
brn,2009,3739
brn,2010,3896
brn,2011,3861
brn,2012,4038
brn,2013,4146
brn,2014,4004
brn,2015,4033
brn,2016,3969
brn,2017,3890
brn,2018,3989
brn,2019,4014
brn,2020,4258
btn,1970,436
btn,1971,461
btn,1972,468
btn,1974,538
btn,1977,773
btn,1978,814
btn,1979,897
btn,1982,1050
btn,1983,1167
btn,1984,1149
btn,1986,1321
btn,1987,1398
btn,1988,1513
btn,1991,1817
btn,1993,1859
btn,1995,1829
btn,1998,1986
btn,1999,1946
btn,2000,2068
btn,2001,2234
btn,2005,3203
btn,2006,3503
btn,2008,3551
btn,2009,3929
btn,2010,4262
btn,2011,4381
btn,2012,4610
btn,2013,3638
btn,2015,2482
btn,2016,2541
btn,2017,2725
btn,2018,2647
btn,2020,2941
bwa,1970,2275
bwa,1971,2404
bwa,1972,2467
bwa,1973,2698
bwa,1974,3047
bwa,1975,3509
bwa,1976,3921
bwa,1977,4495
bwa,1978,4641
bwa,1979,4863
bwa,1980,5316
bwa,1981,5628
bwa,1982,5767
bwa,1983,6360
bwa,1984,6794
bwa,1985,6980
bwa,1986,7324
bwa,1987,7704
bwa,1988,8104
bwa,1989,8529
bwa,1990,8956
bwa,1991,9833
bwa,1992,10463
bwa,1993,11190
bwa,1994,11731
bwa,1995,12306
bwa,1997,11454
bwa,1998,11654
bwa,1999,11950
bwa,2000,12135
bwa,2001,12370
bwa,2002,12531
bwa,2003,12678
bwa,2004,12717
bwa,2005,12884
bwa,2006,13012
bwa,2007,12989
bwa,2008,13045
bwa,2009,12964
bwa,2012,14342
bwa,2013,15035
bwa,2014,15200
bwa,2015,14533
caf,1971,2768
caf,1972,2696
caf,1973,2963
caf,1974,3083
caf,1975,3159
caf,1976,3329
caf,1977,3505
caf,1978,3690
caf,1979,3893
caf,1980,4010
caf,1981,4130
caf,1982,4284
caf,1983,4364
caf,1984,4268
caf,1986,4718
caf,1987,4544
caf,1988,4563
caf,1989,4226
caf,1990,3581
caf,1991,4004
caf,2005,4653
caf,2008,5827
caf,2009,6427
caf,2010,7553
caf,2011,7974
caf,2012,8267
caf,2016,9756
can,1983,142533
can,1984,142283
can,1985,132220
can,1986,135010
can,1987,135890
can,1988,142705
can,1989,148670
can,1990,149500
can,1991,154698
can,1992,156432
can,1993,150264
can,1994,151436
can,1995,148724
can,1996,148565
can,1998,133911
can,1999,140720
can,2000,141045
che,2012,44956
che,2013,46306
che,2014,47889
che,2016,49167
che,2017,51133
che,2018,51655
che,2019,52635
chl,1998,53480
chl,1999,56424
chl,2000,55808
chl,2002,53267
chl,2003,50261
chl,2004,64334
chl,2005,66060
chl,2006,65852
chl,2007,66862
chl,2008,67240
chl,2009,70044
chl,2010,66059
chl,2011,69191
chl,2012,71073
chl,2013,75405
chl,2014,78769.4375
chl,2015,80397.96875
chl,2016,82980
chl,2017,85129.61719
chl,2018,88050.92969
chl,2019,91681.51562
chn,1970,3487000
chn,1971,3612000
chn,1972,4095000
chn,1973,4398000
chn,1974,4679000
chn,1975,4944000
chn,1976,5203000
chn,1977,5289000
chn,1978,5226000
chn,1979,5226000
chn,1980,5381800
chn,1981,5499400
chn,1982,5580100
chn,1983,5504600
chn,1984,5424600
chn,1985,5369600
chn,1986,5376800
chn,1987,5413600
chn,1988,5433800
chn,1989,5501300
chn,1990,5543800
chn,1991,5581810
chn,1992,5532300
chn,1993,5526500
chn,1994,5551600
chn,1995,5611324
chn,1996,5664057
chn,1997,5735790
chn,1998,5793561
chn,2001,5860316
chn,2003,5778853
chn,2006,5967878
chn,2007,6073666
chn,2008,6035510
chn,2009,6018780
chn,2010,5997393
chn,2011,5939088
chn,2012,5907896
chn,2013,5866510
chn,2014,5859672
chn,2015,5889014
chn,2016,5933119
chn,2017,6045682
chn,2018,6201651
chn,2019,6363952
chn,2020,6526772
civ,1970,10801
civ,1971,11170
civ,1972,11433
civ,1973,13006
civ,1974,13158
civ,1975,14403
civ,1976,15358
civ,1977,17044
civ,1978,18825
civ,1979,21640
civ,1980,24609
civ,1981,26460
civ,1982,29774
civ,1983,31297
civ,1984,32414
civ,1985,32323
civ,1986,33500
civ,1987,34716
civ,1988,36050
civ,1989,36769
civ,1990,38722
civ,1991,39002
civ,1992,39057
civ,1993,41067
civ,1994,39691
civ,1995,36058
civ,1996,40529
civ,1998,43386
civ,1999,44731
civ,2000,43205
civ,2001,44424
civ,2002,48227
civ,2003,48308
civ,2006,45804
civ,2007,53161
civ,2008,56248
civ,2009,56575
civ,2011,56455
civ,2012,70016
civ,2013,73691
civ,2014,74703
civ,2015,80155
civ,2016,85109
civ,2017,88910
civ,2018,93257
civ,2019,96255
civ,2020,101085
cmr,1971,19359
cmr,1972,19159
cmr,1973,19813
cmr,1974,19719
cmr,1975,20803
cmr,1976,22209
cmr,1977,23029
cmr,1978,24046
cmr,1979,24843
cmr,1980,25289
cmr,1981,26763
cmr,1982,28585
cmr,1983,31588
cmr,1984,31030
cmr,1985,32082
cmr,1986,33598
cmr,1987,35728
cmr,1988,36548
cmr,1989,37261
cmr,1990,37804
cmr,1991,38430
cmr,1992,40012
cmr,1995,40970
cmr,1997,39384
cmr,1998,39084
cmr,1999,41142
cmr,2001,42873
cmr,2002,45089
cmr,2003,49042
cmr,2004,55266
cmr,2005,62280
cmr,2006,67081
cmr,2007,70230
cmr,2008,69544
cmr,2009,72344
cmr,2010,76655
cmr,2011,78903
cmr,2012,84467
cmr,2014,93738
cmr,2015,105388
cmr,2016,104860
cmr,2017,97984
cmr,2018,93723
cmr,2019,96546
cod,1971,72546
cod,1972,73129
cod,1973,80481
cod,1984,112077
cod,1987,113468
cod,1992,114967
cod,1993,117267
cod,1994,112041
cod,1995,121054
cod,1998,119399
cod,1999,154618
cod,2002,158887
cod,2007,230834
cod,2008,255594
cod,2009,274453
cod,2010,285640
cod,2011,296554
cod,2012,345486
cod,2013,339928
cod,2014,383207
cod,2015,414580
cod,2018,544039
cog,1971,3898
cog,1972,4083
cog,1973,4373
cog,1974,4650
cog,1975,5053
cog,1976,5434
cog,1978,6675
cog,1979,6832
cog,1980,6852
cog,1981,7186
cog,1982,6997
cog,1983,7329
cog,1984,7803
cog,1985,7549
cog,1986,7745
cog,1987,7818
cog,1988,7429
cog,1989,7858
cog,1990,7639
cog,1991,7578
cog,1992,7789
cog,1993,7415
cog,1994,6891
cog,1995,6309
cog,1996,6836
cog,1997,6850
cog,1998,6688
cog,1999,4515
cog,2000,6923
cog,2001,8420
cog,2002,9342
cog,2003,7818
cog,2004,7058
cog,2006,11260
cog,2007,10631
cog,2008,12124
cog,2009,10433
cog,2010,14347
cog,2011,15438
cog,2012,16527
cog,2018,27845
col,1970,86005
col,1971,90271
col,1972,103292
col,1973,110084
col,1974,115310
col,1975,121957
col,1976,125830
col,1977,128494
col,1978,131214
col,1979,139277
col,1980,136381
col,1981,137721
col,1982,131741
col,1983,133957
col,1984,135417
col,1985,132940
col,1986,135924
col,1987,138172
col,1988,139427
col,1989,140681
col,1990,141936
col,1991,143193
col,1992,162445
col,1993,166123
col,1994,179776
col,1995,189123
col,1996,193911
col,1998,220517
col,1999,214911
col,2000,197374
col,2001,197234
col,2002,193627
col,2004,188147
col,2005,186898
col,2006,187920
col,2007,179286
col,2008,179806
col,2009,180806
col,2010,180760
col,2011,178550
col,2012,189335
col,2013,188462
col,2014,187042
col,2015,184791
col,2016,182919
col,2017,184384
col,2019,184695
com,1971,361
com,1972,396
com,1973,533
com,1974,554
com,1976,756
com,1981,1292
com,1983,1617
com,1984,1607
com,1985,1997
com,1986,1901
com,1987,1808
com,1988,1777
com,1989,1764
com,1990,1900
com,1991,1995
com,1992,1894
com,1993,1771
com,1994,1737
com,1996,1508
com,1999,2381
com,2000,2536
com,2002,2660
com,2003,2908
com,2004,2967
com,2008,3685
com,2011,4201
com,2013,4322
com,2017,6429
com,2018,4428
cpv,1971,730
cpv,1972,973
cpv,1974,1068
cpv,1975,1242
cpv,1976,1243
cpv,1977,1314
cpv,1978,1412
cpv,1979,1552
cpv,1980,1396
cpv,1981,1436
cpv,1984,1445
cpv,1986,1493
cpv,1987,1791
cpv,1988,1892
cpv,1989,1981
cpv,1990,2028
cpv,1991,1896
cpv,1994,2657
cpv,1998,3219
cpv,1999,3228
cpv,2000,3190
cpv,2001,3214
cpv,2002,3121
cpv,2003,3145
cpv,2004,3169
cpv,2005,3190
cpv,2006,3210
cpv,2007,3170
cpv,2008,3132
cpv,2009,3072
cpv,2010,3009
cpv,2011,2972
cpv,2012,2956
cpv,2013,2955
cpv,2014,2965
cpv,2015,2988
cpv,2016,2995
cpv,2017,3016
cpv,2018,3043
cpv,2019,3093
cri,1970,11720
cri,1971,12061
cri,1972,12573
cri,1973,12940
cri,1974,12643
cri,1975,12429
cri,1976,12973
cri,1979,13242
cri,1980,12596
cri,1981,10556
cri,1982,10824
cri,1983,10767
cri,1984,10379
cri,1985,11526
cri,1986,11785
cri,1987,12490
cri,1988,12829
cri,1989,13073
cri,1990,13651
cri,1991,14078
cri,1992,14584
cri,1993,14949
cri,1994,15806
cri,1995,16565
cri,1996,17554
cri,1997,18358
cri,1998,19239
cri,1999,21233
cri,2000,22111
cri,2001,22715
cri,2002,24142
cri,2004,24975
cri,2005,25399
cri,2006,27733
cri,2007,27518
cri,2008,28186
cri,2009,28888
cri,2010,29163
cri,2011,29233
cri,2013,35986
cri,2014,35967
cri,2015,37349
cri,2016,39717
cri,2017,40627
cri,2018,39638
cri,2019,42720
cri,2020,43093
cub,1971,56555
cub,1972,57110
cub,1973,60132
cub,1974,67891
cub,1975,74237
cub,1976,77472
cub,1977,80845
cub,1978,86253
cub,1979,86738
cub,1980,86519
cub,1981,84041
cub,1982,83113
cub,1983,83358
cub,1984,83424
cub,1985,79610
cub,1986,77111
cub,1987,75273
cub,1988,73874
cub,1989,73216
cub,1990,71887
cub,1991,70962
cub,1992,74354
cub,1993,76161
cub,1994,76193
cub,1995,74225
cub,1996,90565
cub,1997,92820
cub,1998,91310
cub,1999,91220
cub,2000,90920
cub,2001,93758
cub,2003,86641
cub,2004,88498
cub,2005,86827
cub,2006,89181
cub,2007,91530
cub,2008,90677
cub,2009,92016
cub,2010,93414
cub,2011,90918
cub,2012,88699
cub,2013,85202
cub,2014,84209
cub,2015,83798
cub,2016,84101
cub,2017,83125
cub,2018,80922
cub,2019,80503
cub,2020,84629
cym,1977,88
cym,1980,112
cym,1999,209
cym,2000,237
cym,2001,234
cym,2002,240
cym,2004,251
cym,2005,253
cym,2006,286
cym,2007,335
cym,2008,309
cym,2011,330
cym,2012,303
cym,2013,303
cym,2018,273
cym,2020,346.89999
cyp,1971,2280
cyp,1972,2284
cyp,1973,2293
cyp,1974,2294
cyp,1975,2078
cyp,1976,2101
cyp,1977,2163
cyp,1978,2320
cyp,1979,2263
cyp,1980,2200
cyp,1981,2193
cyp,1982,2203
cyp,1983,2221
cyp,1984,2221
cyp,1985,2202
cyp,1986,2239
cyp,1987,2382
cyp,1988,2574
cyp,1989,2703
cyp,1990,2846
cyp,1991,3069
cyp,1992,3286
cyp,1993,3410
cyp,1994,3456
cyp,1995,3528
cyp,1996,3452
cyp,1997,4202
cyp,1999,3517
cyp,2000,3608
cyp,2001,3701
cyp,2002,3349
cyp,2003,3319
cyp,2004,3506
cyp,2005,3455
cyp,2006,3627
cyp,2007,3697
cyp,2008,3850
cyp,2009,3921
cyp,2010,3985
cyp,2011,4045
cyp,2012,3940
cyp,2013,3977
cyp,2014,3967
cyp,2015,4513
cyp,2016,4597
cyp,2017,4640
cyp,2018,4786
cyp,2019,5063
cze,1971,24881
cze,1972,25498
cze,1973,25809
cze,1974,25913
cze,1975,25593
cze,1976,25032
cze,1977,24878
cze,1978,23206
cze,1979,23795
cze,1981,21999
cze,1982,23225
cze,1983,24216
cze,1984,24521
cze,1985,24090
cze,1986,23618
cze,1987,22742
cze,1988,21539
cze,1989,23385
cze,1990,23145
cze,1991,23630
cze,1992,24307
cze,1993,27502
cze,1994,27420
cze,1995,26689
cze,1996,28356
cze,1998,37498
cze,1999,35786
cze,2000,38196
cze,2001,35611
cze,2002,34795
cze,2003,33737
cze,2004,32558
cze,2005,30952
cze,2006,30226
cze,2007,24713
cze,2008,24893
cze,2009,24890
cze,2010,24769
cze,2011,24880
cze,2012,25161
cze,2013,25979
deu,1993,215414
deu,1994,224299
deu,1995,213489
deu,1996,223235
deu,1997,224517
deu,1998,221634
deu,1999,221318
deu,2000,239206
deu,2001,238345
deu,2002,235993
deu,2003,235179
deu,2004,232937
deu,2005,234107
deu,2006,238428
deu,2007,242969
deu,2008,239761
deu,2009,242329
deu,2010,241845
deu,2011,252845
deu,2012,250704
deu,2013,249602.84375
deu,2014,232750.01562
deu,2015,235570.79688
deu,2016,238361.10938
deu,2017,240170
deu,2018,244874
deu,2019,250559.4375
dji,1971,180
dji,1972,228
dji,1973,206
dji,1974,229
dji,1975,251
dji,1976,268
dji,1979,358
dji,1980,360
dji,1981,419
dji,1982,460
dji,1983,423
dji,1984,496
dji,1985,511
dji,1987,617
dji,1988,655
dji,1989,680
dji,1990,711
dji,1991,742
dji,1992,769
dji,1993,714
dji,1994,787
dji,1995,881
dji,1996,1005
dji,1997,1096
dji,1998,960
dji,1999,966
dji,2004,1410
dji,2006,1598
dji,2007,1597
dji,2008,1657
dji,2009,1627
dji,2011,1731
dji,2012,1821
dji,2013,1852
dji,2014,1935
dji,2015,1906
dji,2016,1986
dji,2017,2033
dji,2018,2144
dji,2020,2310
dji,2021,2437
dma,1973,504
dma,1974,448
dma,1975,466
