geo,time,hd_hci_ovrl_lb_fe
mlt,2010,0.70815
mlt,2017,0.72
mlt,2018,0.72207
mlt,2020,0.72957
mmr,2017,0.473
mmr,2018,0.4689
mmr,2020,0.47519
mne,2010,0.59651
mne,2018,0.62805
mne,2020,0.6302
mng,2018,0.62243
mng,2020,0.61907
mrt,2017,0.32
mrt,2018,0.34535
mrt,2020,0.35597
mus,2010,0.61028
mwi,2010,0.36347
mys,2010,0.59847
mys,2017,0.634
mys,2018,0.64216
mys,2020,0.62239
nam,2010,0.38675
ner,2017,0.293
ner,2018,0.29425
ner,2020,0.29206
nga,2017,0.316
nga,2018,0.33551
nga,2020,0.34032
nic,2017,0.533
nic,2018,0.51685
nic,2020,0.51736
nld,2010,0.78896
nld,2017,0.803
nld,2018,0.80664
nld,2020,0.79688
nor,2010,0.78088
nor,2017,0.777
nor,2018,0.77531
nor,2020,0.78464
nru,2020,0.50603
nzl,2010,0.79321
nzl,2017,0.772
nzl,2018,0.77852
nzl,2020,0.78087
omn,2010,0.56816
omn,2017,0.645
omn,2018,0.63773
omn,2020,0.63401
pak,2017,0.366
pak,2018,0.3829
pak,2020,0.38629
pan,2010,0.51951
pan,2017,0.528
pan,2018,0.51575
pan,2020,0.50617
per,2010,0.54703
per,2017,0.568
per,2018,0.58475
per,2020,0.59224
phl,2017,0.566
phl,2018,0.56327
phl,2020,0.52125
plw,2018,0.57282
plw,2020,0.59476
png,2017,0.367
png,2018,0.40814
png,2020,0.41177
pol,2017,0.769
pol,2018,0.78175
pol,2020,0.77573
prt,2010,0.7562
prt,2017,0.775
prt,2018,0.78302
prt,2020,0.77054
pry,2010,0.50576
pry,2017,0.517
pry,2018,0.51138
pry,2020,0.51194
pse,2017,0.563
pse,2018,0.58476
pse,2020,0.59202
qat,2010,0.60441
qat,2017,0.639
qat,2018,0.65037
qat,2020,0.66344
rou,2010,0.625
rou,2017,0.616
rou,2018,0.61112
rou,2020,0.59818
rus,2017,0.742
rus,2018,0.76691
rus,2020,0.7171
rwa,2017,0.37
rwa,2018,0.37513
rwa,2020,0.37756
sau,2010,0.54929
sau,2017,0.597
sau,2018,0.59425
sau,2020,0.58154
sdn,2018,0.36834
sdn,2020,0.36908
sen,2010,0.38592
sen,2017,0.413
sen,2018,0.42157
sen,2020,0.42262
sgp,2010,0.85616
sgp,2017,0.883
sgp,2018,0.88962
sgp,2020,0.88093
slb,2017,0.438
slb,2018,0.43261
slb,2020,0.42049
sle,2017,0.307
sle,2018,0.34222
sle,2020,0.35073
slv,2017,0.499
slv,2018,0.54956
slv,2020,0.5521
srb,2010,0.65951
srb,2017,0.757
srb,2018,0.76069
srb,2020,0.68292
svk,2010,0.70524
svk,2017,0.705
svk,2018,0.69353
svk,2020,0.68154
svn,2010,0.78274
svn,2017,0.8
svn,2018,0.80458
svn,2020,0.7945
swe,2010,0.77104
swe,2017,0.801
swe,2018,0.80461
swe,2020,0.79883
swz,2010,0.30793
syc,2010,0.57292
tcd,2010,0.26556
tcd,2017,0.274
tcd,2018,0.27362
tcd,2020,0.27334
tgo,2010,0.35241
tgo,2017,0.387
tgo,2018,0.39865
tgo,2020,0.40462
tha,2010,0.60255
tha,2017,0.592
tha,2018,0.62325
tha,2020,0.61971
tjk,2017,0.513
tjk,2018,0.525
tls,2010,0.40686
tls,2017,0.444
tls,2018,0.44945
tls,2020,0.45073
ton,2017,0.503
ton,2018,0.52667
ton,2020,0.53803
tto,2010,0.57076
tun,2010,0.53507
tun,2017,0.518
tun,2018,0.5218
tun,2020,0.52919
tur,2010,0.6205
tur,2017,0.614
tur,2018,0.62156
tur,2020,0.64783
tuv,2018,0.43895
tuv,2020,0.44803
tza,2017,0.397
tza,2018,0.38509
tza,2020,0.3877
ukr,2010,0.66837
ukr,2017,0.66
ukr,2018,0.66993
ukr,2020,0.66447
ury,2010,0.61307
ury,2018,0.61643
ury,2020,0.61257
usa,2010,0.69604
usa,2017,0.747
usa,2018,0.72152
usa,2020,0.71071
uzb,2020,0.61197
vct,2018,0.55313
vct,2020,0.55612
vnm,2010,0.66389
vnm,2018,0.70516
vnm,2020,0.7071
vut,2017,0.471
vut,2018,0.4404
vut,2020,0.44905
wsm,2018,0.53069
wsm,2020,0.56725
yem,2017,0.349
yem,2018,0.34964
yem,2020,0.34839
zaf,2010,0.42481
zaf,2017,0.396
zaf,2018,0.42909
zaf,2020,0.4314
zwe,2010,0.39729
