geo,time,is_shp_good_tu
bel,2000,5057579
bel,2001,5109693
bel,2002,5825610
bel,2003,6482443
bel,2004,7279638
bel,2005,7889994
bel,2006,8708293
bel,2007,10257511
bel,2008,10937134
bel,2009,9701494
bel,2010,11055745
bel,2011,10940000
bel,2012,10671192
bel,2013,10674200
bel,2014,11061400
bel,2015,11237600
bel,2016,11459909
bel,2017,11967553
bel,2018,12686187
bel,2019,13831469
bel,2020,14066604
ben,2008,300000
ben,2009,272820
ben,2010,316700
ben,2011,334800
ben,2012,348200
ben,2013,341500
ben,2014,344850
ben,2015,288000
ben,2016,310500
ben,2017,333000
ben,2018,321750
ben,2019,510895.6
bgd,2000,456007
bgd,2001,486289
bgd,2002,584220
bgd,2003,625160
bgd,2004,714420
bgd,2005,808924
bgd,2006,901528
bgd,2007,978007
bgd,2008,1091200
bgd,2009,1182121
bgd,2010,1349627
bgd,2011,1417251
bgd,2012,1426651
bgd,2013,1489351
bgd,2014,1642951
bgd,2015,2044651
bgd,2016,2366651
bgd,2017,2587000
bgd,2018,2732900
bgd,2019,2890407
bgd,2020,2587251
bgr,2007,130694
bgr,2008,203253
bgr,2009,136444
bgr,2010,166927
bgr,2011,58325
bgr,2012,92000
bgr,2013,180935
bgr,2014,195800
bgr,2015,201000
bgr,2016,201000
bgr,2017,228500
bgr,2018,241800
bgr,2019,261900
bgr,2020,252310
bhr,2007,238624
bhr,2008,269331
bhr,2009,279799
bhr,2010,269331
bhr,2011,374858
bhr,2012,525300
bhr,2013,429831
bhr,2014,432892
bhr,2015,424602
bhr,2016,379819
bhr,2017,402625
bhr,2018,432432
bhr,2019,418973
bhr,2020,454000
bhs,2001,570000
bhs,2003,1057879
bhs,2004,1184800
bhs,2005,1211500
bhs,2006,1463000
bhs,2007,1632000
bhs,2008,1702000
bhs,2009,1297000
bhs,2010,1125000
bhs,2011,1189125
bhs,2012,1278309
bhs,2013,1379296
bhs,2014,1400000
bhs,2015,1468380
bhs,2016,1261778
bhs,2017,920652
bhs,2018,1182836
bhs,2019,1555803
bhs,2020,1400223
blz,2007,39191
blz,2008,38211
blz,2009,31344
blz,2010,31917
blz,2011,34776
blz,2012,36978
blz,2013,40978
blz,2014,43593
blz,2015,43000
blz,2016,46040
blz,2017,44000
blz,2018,45020
blz,2019,44510
bmu,2010,4485.461
bmu,2011,4485.461
bmu,2012,4485.461
bmu,2013,4485.461
bmu,2014,4437.324
bmu,2015,4437.324
bmu,2016,4437.324
bmu,2017,4437.324
bmu,2018,4437.324
bmu,2019,4006
bra,2000,2413098
bra,2001,2323801
bra,2002,3570260
bra,2003,4230474
bra,2004,5056814
bra,2005,5652149
bra,2006,6294286
bra,2007,6464724
bra,2008,7256291.688
bra,2009,6590363.88667
bra,2010,8951005
bra,2011,9149494
bra,2012,9384373
bra,2013,10442411
bra,2014,11144167
bra,2015,10969082
bra,2016,10151085
bra,2017,10505739
bra,2018,10477015
bra,2019,10868837
bra,2020,10376571
brb,2007,99626
brb,2008,87255
brb,2009,75015
brb,2010,80430
brb,2011,77051
brb,2012,72163
brb,2013,74923
brb,2014,78432
brb,2015,86508
brb,2016,105326
brb,2017,107098
brb,2018,100952
brb,2019,98435
brb,2020,101388
brn,2008,90366
brn,2009,85577
brn,2010,93230
brn,2011,105018
brn,2012,109219
brn,2013,121813
brn,2014,128026
brn,2015,128026
brn,2016,124919
brn,2017,132664
brn,2018,432200
brn,2019,282432
can,2000,2927942
can,2001,2890388
can,2002,3307310
can,2003,3631072
can,2004,3926147
can,2005,4163424
can,2006,4330163
can,2007,4413927
can,2008,4720663
can,2009,4191568.063
can,2010,4694495.54
can,2011,4755352
can,2012,5111777
can,2013,5241009
can,2014,5426175
can,2015,5793852
can,2016,5738484
can,2017,6377750
can,2018,6770381
can,2019,6901600
can,2020,6196600
che,2007,104366
che,2008,92464
che,2009,78285
che,2010,99000
che,2011,93000
che,2012,102000
che,2013,105000
che,2014,104500
che,2015,102916
che,2016,103708
che,2017,103312
che,2018,103510
che,2019,103411
chl,2000,1253131
chl,2001,1080545
chl,2002,1167880
chl,2003,1250126
chl,2004,1658672
chl,2005,1804236
chl,2006,2126811
chl,2007,2725218
chl,2008,3164137
chl,2009,2795990.2016
chl,2010,3167305
chl,2011,3392436
chl,2012,3514149
chl,2013,3853580
chl,2014,3951738
chl,2015,3956842
chl,2016,4170283
chl,2017,4407772
chl,2018,4661469
chl,2019,4496578
chl,2020,4192000
chn,2000,41000000
chn,2001,44726084
chn,2002,55717488
chn,2003,61898336
chn,2004,74725444
chn,2005,67245263
chn,2006,84810503
chn,2007,103823024
chn,2008,115941970
chn,2009,108799933.7248
chn,2010,131989200
chn,2011,146441501
chn,2012,159337100
chn,2013,174393600
chn,2014,185136300
chn,2015,193734000
chn,2016,197849000
chn,2017,222155820
chn,2018,233201600
chn,2019,242030000
chn,2020,245103781
civ,2000,434422
civ,2001,543845
civ,2002,579060
civ,2003,612546
civ,2004,670000
civ,2005,710000
civ,2007,590306
civ,2008,713625
civ,2009,677029
civ,2010,530000
civ,2011,546000
civ,2012,633900
civ,2013,633900
civ,2014,600000
civ,2015,896516
civ,2016,902058
civ,2017,907600
civ,2018,919000
civ,2019,918669
civ,2020,974872
cmr,2007,217681
cmr,2008,270000
cmr,2009,245538
cmr,2010,290000
cmr,2011,340000
cmr,2012,313371
cmr,2013,339269
cmr,2014,333555
cmr,2015,336412
cmr,2016,334983.5
cmr,2017,387000
cmr,2018,360991.75
cmr,2019,397023.54638
cmr,2020,395872
cod,2010,55000
cod,2011,58000
cod,2012,42690
cod,2013,45000
cod,2014,73265
cod,2015,45000
cod,2016,59132.5
cod,2017,52066.25
cod,2018,55599.38
cod,2019,42211
cog,2008,321000
cog,2009,291917.4
cog,2010,355000
cog,2011,442800
cog,2012,518000
cog,2013,480400
cog,2014,499200
cog,2015,489800
cog,2016,494500
cog,2017,579000
cog,2018,536750
cog,2019,557875
cog,2020,556579
col,2000,791588
col,2001,577041
col,2002,960720
col,2003,995203
col,2004,946945
col,2005,1236121
col,2006,1510744
col,2007,2076760
col,2008,1969316
col,2009,2056789.2236
col,2010,2447727
col,2011,2844798
col,2012,3361028
col,2013,3128901
col,2014,3351458
col,2015,3696592
col,2016,3491220
col,2017,3956466
col,2018,4582712
col,2019,4402574
col,2020,4480900
com,2010,44697.48
com,2011,77184.98
com,2012,79917.15
com,2013,67847.03
com,2014,68894.84
com,2015,76096.89
com,2016,73309.69
com,2017,52673.2
com,2018,55032.5
com,2019,54358.54
cpv,2010,54110.54
cpv,2011,62118.43
cpv,2012,58980.73
cpv,2013,35490.56
cpv,2014,37376.6
cpv,2015,33842.01
cpv,2016,38312.37
cpv,2017,41930.7
cpv,2018,79354.19
cpv,2019,52378.23
cri,2000,573502
cri,2001,563825
cri,2002,602570
cri,2003,669259
cri,2004,734088
cri,2005,740420
cri,2006,834321
cri,2007,976621
cri,2008,1004971
cri,2009,875687
cri,2010,1036214
cri,2011,1095441
cri,2012,1229529
cri,2013,1246829
cri,2014,1298600
cri,2015,1343841
cri,2016,1441756
cri,2017,1489210
cri,2018,1492791
cri,2019,1552590
cri,2020,1511600
cub,2007,319857
cub,2008,319000
cub,2009,290098.6
cub,2010,228000
cub,2011,246773
cub,2012,240000
cub,2013,263900
cub,2014,230000
cub,2015,260000
cub,2016,296100
cub,2017,332200
cub,2018,349700
cub,2019,340950
cym,2007,649
cym,2008,36644
cym,2009,44215
cym,2010,46285
cym,2011,44091
cym,2012,48479
cym,2013,49952
cym,2014,50069
cym,2015,54607
cym,2016,60718
cym,2017,61940
cym,2018,38772
cym,2019,38869
cym,2020,38820.5
cyp,2007,377037
cyp,2008,416970
cyp,2009,353913
cyp,2010,344882
cyp,2011,360652
cyp,2012,360652
cyp,2013,277058
cyp,2014,308058
cyp,2015,308458
cyp,2016,308458
cyp,2017,393100
cyp,2018,416200
cyp,2019,389962
cyp,2020,364364
deu,2000,7695688
deu,2001,8426520
deu,2002,9252670
deu,2003,10943452
deu,2004,12479419
deu,2005,13598987
deu,2006,15009691
deu,2007,16644222
deu,2008,17183042.1168
deu,2009,13296300.21242
deu,2010,14674340
deu,2011,18323981
deu,2012,18449700
deu,2013,18932700
deu,2014,19866700
deu,2015,19238700
deu,2016,19420700
deu,2017,19718533
deu,2018,19706500
deu,2019,19596415
deu,2020,18028702
dji,2007,294902
dji,2008,356462
dji,2009,519500
dji,2010,600000
dji,2011,634200
dji,2012,659600
dji,2013,660000
dji,2014,736000
dji,2015,910000
dji,2016,987000
dji,2017,928000
dji,2018,859000
dji,2019,932000
dji,2020,812569
dma,2010,7363
dma,2011,7836
dma,2012,6890
dma,2013,7469
dma,2014,7744
dma,2015,7361
dma,2016,7361
dma,2017,7425
dma,2018,7393
dma,2019,7409
dma,2020,7401
dnk,2000,568660
dnk,2001,457386
dnk,2002,587300
dnk,2003,888729
dnk,2004,1213919
dnk,2005,913960
dnk,2006,679707
dnk,2007,775117
dnk,2008,740682
dnk,2009,621546
dnk,2010,734000
dnk,2011,782000
dnk,2012,762000
dnk,2013,747000
dnk,2014,744000
dnk,2015,750000
dnk,2016,787652
dnk,2017,812800
dnk,2018,828900
dnk,2019,869600
dnk,2020,921513
dom,2000,566479
dom,2001,487827
dom,2002,541930
dom,2003,480650
dom,2004,537317
dom,2006,597583
dom,2007,883785
dom,2008,1138471
dom,2009,1263467.5494
dom,2010,1636869
dom,2011,1480274
dom,2012,1751758
dom,2013,1446402
dom,2014,1265132
dom,2015,1371708
dom,2016,1486227
dom,2017,1842616
dom,2018,1906487
dom,2019,1894225
dom,2020,1979465.125
dza,2000,267530
dza,2001,311111
dza,2007,200050
dza,2008,225140
dza,2009,250095.2398
dza,2010,1114117
dza,2011,1180048
dza,2012,1380316
dza,2013,1494877
dza,2014,1240538
dza,2015,1635509
dza,2016,1243300
dza,2017,974345
dza,2018,1032000
dza,2019,688500
dza,2020,724991
ecu,2000,414104
ecu,2001,414355
ecu,2002,500470
ecu,2003,521550
ecu,2004,564515
ecu,2005,632722
ecu,2006,671087
ecu,2007,674837
ecu,2008,670831
ecu,2009,1000895
ecu,2010,1252570
ecu,2011,1529317
ecu,2012,1591052
ecu,2013,1643587
ecu,2014,1772532
ecu,2015,1824595
ecu,2016,1900351
ecu,2017,1990094
ecu,2018,2212486
ecu,2019,2127042
ecu,2020,2190853
egy,2000,1625601
egy,2001,1708990
egy,2002,1336040
egy,2003,1579530
egy,2004,2959895
egy,2005,4031114
egy,2006,5372832
egy,2007,5181581
egy,2008,6099218
egy,2009,6250443
egy,2010,6833009
egy,2011,6512831
egy,2012,7433800
egy,2013,7344000
egy,2014,7896000
egy,2015,7185300
egy,2016,7276300
egy,2017,6104100
egy,2018,6369600
egy,2019,6306865.63788
egy,2020,5928454
eri,2012,25852.15
eri,2013,19202.06
eri,2014,22527.11
eri,2015,12551.97
eri,2016,12551.97
eri,2017,12551.97
eri,2018,37259.65
eri,2019,27452.8
esp,2000,5789693
esp,2001,6156351
esp,2002,6664100
esp,2003,7363964
esp,2004,8270437
esp,2005,9170557
esp,2006,10033089
esp,2007,13346028
esp,2008,13461304.0976
esp,2009,11803192.2752
esp,2010,12549202
esp,2011,13896018
esp,2012,14017926
esp,2013,13870494
esp,2014,14186292
esp,2015,14245394
esp,2016,14941394
esp,2017,15979051
esp,2018,17154760
esp,2019,17372962
esp,2020,17372500
est,2007,180911
est,2008,180927
est,2009,130939
est,2010,152000
est,2011,198000
est,2012,227800
est,2013,253627
est,2014,260293
est,2015,208700
est,2016,202327
est,2017,215500
est,2018,222700
est,2019,239000
est,2020,214000
fin,2000,928318
fin,2001,1018729
fin,2002,1086720
fin,2003,1162400
fin,2004,1307092
fin,2005,1312305
fin,2006,1416404
fin,2007,1560089
fin,2008,1605522.7576
fin,2009,1125532.53496
fin,2010,1223702
fin,2011,1399612
fin,2012,1474426
fin,2013,1457388
fin,2014,1440350
fin,2015,1416985
fin,2016,1513174
fin,2017,1632000
fin,2018,1599990
fin,2019,1608638
fin,2020,1532564
fji,2010,257316
fji,2011,290789
fji,2012,232617.4
fji,2013,324269.9
fji,2014,329096.8
fji,2015,255214
fji,2016,244524.4
fji,2017,276943.9
fji,2018,279465.5
fji,2019,145782.4
fra,2000,2923190
fra,2001,2997774
fra,2002,3276150
fra,2003,3565963
fra,2004,3954173
fra,2005,4000847
fra,2006,4259470
fra,2007,4984492
fra,2008,4887718
fra,2009,4674198
fra,2010,5185195
fra,2011,4707864
fra,2012,5194812
fra,2013,5205100
fra,2014,5387900
fra,2015,5381800
fra,2016,5454600
fra,2017,5861000
fra,2018,5963100
fra,2019,5871100
fra,2020,5107857
fro,2010,34325.88
fro,2011,35751.59
fro,2012,35739.63
fro,2013,32168.71
fro,2014,35753.08
fro,2015,33506.52
fro,2016,33520.26
fro,2017,34942.61
fro,2018,35039.3
fro,2019,31214.33
fsm,2010,6570.016
fsm,2011,5900.462
fsm,2012,13192.05
fsm,2013,9269.688
fsm,2014,9269.688
fsm,2015,9814.813
fsm,2016,9814.813
fsm,2017,11433.5
fsm,2018,32194.52
fsm,2019,25234.09
gab,2008,158884
gab,2009,132348.8
gab,2010,153657
gab,2011,162415
gab,2012,168912
gab,2013,183455
gab,2014,197998
gab,2015,190726.5
gab,2016,194362.3
gab,2017,192544.4
gab,2018,193453.3
gab,2019,192998.8
gbr,2000,6434734
gbr,2001,7058054
gbr,2002,7059610
gbr,2003,6700066
gbr,2004,8326913
gbr,2005,8249587
gbr,2006,8434458
gbr,2007,8625102
gbr,2008,8236522.8864
gbr,2009,7671299.96069
gbr,2010,8222000
gbr,2011,8141000
gbr,2012,7980000
gbr,2013,8244000
gbr,2014,9511000
gbr,2015,9772000
gbr,2016,10200000
gbr,2017,10240000
gbr,2018,10313000
gbr,2019,10222500
gbr,2020,8692260
geo,2007,184792
geo,2008,253811
geo,2009,181613
geo,2010,209800
geo,2011,209800
geo,2012,210000
geo,2013,226000
geo,2014,256000
geo,2015,222000
geo,2016,253500
geo,2017,285000
geo,2018,269250
geo,2019,277125
geo,2020,260498
gha,2007,544294
gha,2008,612847.1736
gha,2009,557323.21967
gha,2010,643100
gha,2011,813900
gha,2012,881200
gha,2013,900000
gha,2014,890000
gha,2015,900000
gha,2016,954700
gha,2017,1009400
gha,2018,1063000
gha,2019,1100205
gha,2020,1050696
gib,2010,7898.774
gib,2011,37415.77
gib,2012,18811.85
gib,2013,2779.161
gib,2014,10847.59
gib,2015,18643.37
gib,2016,18621.03
gib,2017,4626.185
gib,2018,17114.73
gib,2019,10870.46
gin,2010,120000
gin,2011,140007
gin,2012,147466
gin,2013,147255
gin,2014,160160
gin,2015,153707.5
gin,2016,156933.8
gin,2017,171900
gin,2018,164416.9
gin,2019,197739.4
gmb,2010,58521
gmb,2011,71932
gmb,2012,65226
gmb,2013,68759
gmb,2014,70000
gmb,2015,65000
gmb,2016,60000
gmb,2017,62500
gmb,2018,61250
gmb,2019,71469.72
gnb,2010,30636.63
gnb,2011,64409.75
gnb,2012,39519.18
gnb,2013,28632.55
gnb,2014,47720.71
gnb,2015,27136.36
gnb,2016,26382.34
gnb,2017,56819.16
gnb,2018,47433.09
gnb,2019,28699.98
gnq,2010,9500
gnq,2011,9750
gnq,2012,9625
gnq,2013,9687
gnq,2014,10000
gnq,2015,10000
gnq,2016,9922
gnq,2017,9961
gnq,2018,9941.5
gnq,2019,9951.25
grc,2000,1390844
grc,2001,1412286
grc,2002,1660510
grc,2003,1908121
grc,2004,1895755
grc,2005,1779030
grc,2006,1769098
grc,2007,1820349
grc,2008,672522
grc,2009,935076
grc,2010,1137000
grc,2011,1976000
grc,2012,3051900
grc,2013,3486000
grc,2014,3935200
grc,2015,3679000
grc,2016,4026000
grc,2017,4546200
grc,2018,5332000
grc,2019,5992400
grc,2020,5756000
grd,2010,15000
grd,2011,14200
grd,2012,14000
grd,2013,16100
grd,2014,16100
grd,2015,16000
grd,2016,16050
grd,2017,21900
grd,2018,23900
grd,2019,26290
grl,2013,4746.328
grl,2014,4536.347
grl,2015,8631.709
grl,2016,8631.709
grl,2017,6998.705
grl,2018,6998.705
grl,2019,6144.526
gtm,2000,495809
gtm,2001,322136
gtm,2002,360160
gtm,2003,713181
gtm,2004,826748
gtm,2005,776395
gtm,2006,800245
gtm,2007,870288
gtm,2008,937642
gtm,2009,906326
gtm,2010,996793
gtm,2011,1099409
gtm,2012,1135554
gtm,2013,1211561
gtm,2014,1263476
gtm,2015,1350920
gtm,2016,1470101
gtm,2017,1389751
gtm,2018,1530596
gtm,2019,1521422
gtm,2020,1475779
gum,2007,165427
gum,2008,167784
gum,2009,157096
gum,2010,183000
gum,2011,180800
gum,2012,173089
gum,2013,169800
gum,2014,161000
gum,2015,161000
gum,2016,161000
gum,2017,198600
gum,2018,181800
gum,2019,190200
guy,2010,45395.5
guy,2011,45006
guy,2012,45785
guy,2013,50991
guy,2014,48735
guy,2015,52834
guy,2016,55168
guy,2017,57663
guy,2018,58210
guy,2019,58543
guy,2020,58376.5
hkg,2005,22601630
hkg,2006,23538580
hkg,2007,23998449
hkg,2008,24494229
hkg,2009,21040096
hkg,2010,23600000
hkg,2011,24404000
hkg,2012,23100000
hkg,2013,22290000
hkg,2014,22300000
hkg,2015,20114000
hkg,2016,19580000
hkg,2017,20760000
hkg,2018,19641000
hkg,2019,18360000
hkg,2020,17969000
hnd,2000,392837
hnd,2001,406359
hnd,2002,413840
hnd,2003,470567
hnd,2004,555489
hnd,2005,553013
hnd,2007,636435
hnd,2008,669802
hnd,2009,571720
hnd,2010,619867
hnd,2011,662644
hnd,2012,666600
hnd,2013,671421
hnd,2014,695260
hnd,2015,743686
hnd,2016,757271
hnd,2017,831555
hnd,2018,813164
hnd,2019,700063
hnd,2020,785056
hrv,2000,14153
hrv,2001,18218
hrv,2002,23853
hrv,2003,42326
hrv,2004,76550
hrv,2005,94223
hrv,2006,112906
hrv,2007,145040
hrv,2008,168761
hrv,2009,130740
hrv,2010,121091
hrv,2011,128400
hrv,2012,128400
hrv,2013,145400
hrv,2014,211900
hrv,2015,181800
hrv,2016,181800
hrv,2017,240030
hrv,2018,264500
hrv,2019,331300
hrv,2020,347400
hti,2010,176874
hti,2011,189028
hti,2012,164720
hti,2013,172516
hti,2014,175307
hti,2015,178452
hti,2016,176879
hti,2017,177141
hti,2018,177010
hti,2019,177075.5
hti,2020,177042.75
idn,2000,3797948
idn,2001,3901761
idn,2002,4539880
idn,2003,5176982
idn,2004,5369297
idn,2005,5503176
idn,2006,4316296
idn,2007,6582910
idn,2008,7404831
idn,2009,7255004.7486
idn,2010,9010442
idn,2011,9623589
idn,2012,10713294
idn,2013,11718228
idn,2014,11636900
idn,2015,12031700
idn,2016,12431700
idn,2017,12829600
idn,2018,14060600
idn,2019,14763630
idn,2020,14025449
ind,2000,2450656
ind,2001,2764757
ind,2002,3208380
ind,2003,3916814
ind,2004,4332863
ind,2005,4982092
ind,2006,6141148
ind,2007,7398211
ind,2008,7672457
ind,2009,8014487.2
ind,2010,8889576
ind,2011,9893786
ind,2012,10041000
ind,2013,10632000
ind,2014,11319000
ind,2015,11883003
ind,2016,12083010
ind,2017,15429000
ind,2018,16946200
ind,2019,17053200
ind,2020,16285806
irl,2000,721395
irl,2001,722148
irl,2002,775310
irl,2003,869607
irl,2004,924885
irl,2005,973257
irl,2006,1089252
irl,2007,1175155
irl,2008,1059926.984
irl,2009,832021.80565
irl,2010,817362
irl,2011,781000
irl,2012,733000
irl,2013,727000
irl,2014,793000
irl,2015,860000
irl,2016,910000
irl,2017,960300
irl,2018,999300
irl,2019,1045000
irl,2020,1041000
irn,2002,805860
irn,2003,1090212
irn,2004,1177265
irn,2005,1325643
irn,2006,1528518
irn,2007,1722513
irn,2008,2000230
irn,2009,2206476
irn,2010,2732500
irn,2011,2995000
irn,2012,2313000
irn,2013,2209000
irn,2014,2371000
irn,2015,2174000
irn,2016,2452000
irn,2017,3093400
irn,2018,2378600
irn,2019,2012000
irn,2020,1853000
irq,2010,46255.56
irq,2011,56018.41
irq,2012,52424.53
irq,2013,67553.94
irq,2014,133961.3
irq,2015,108905
irq,2016,220859.7
irq,2017,823944.7
irq,2018,743211.1
irq,2019,932728.6
isl,2007,291748
isl,2008,267151
isl,2009,193816
isl,2010,193000
isl,2011,199850
isl,2012,220500
isl,2013,241900
isl,2014,261700
isl,2015,261700
isl,2016,261700
isl,2017,350348
isl,2018,352300
isl,2019,330292
isl,2020,297263
isr,2001,1378259
isr,2002,1461000
isr,2003,1548080
isr,2004,1431510
isr,2005,1712339
isr,2006,1773498
isr,2007,1957328
isr,2008,2089900
isr,2009,2033000
isr,2010,2282000
isr,2011,2413000
isr,2012,2561000
isr,2013,2539000
isr,2014,2446000
isr,2015,2522000
isr,2016,2522000
isr,2017,2868000
isr,2018,2946000
isr,2019,2917000
isr,2020,2994000
ita,2000,6918588
ita,2001,7073459
ita,2002,7950210
ita,2003,8473220
ita,2004,9468316
ita,2005,9856802
ita,2006,9731150
ita,2007,10610893
ita,2008,10530214
ita,2009,9532462
ita,2010,8021929
ita,2011,8689878
ita,2012,8550901
ita,2013,9537962
ita,2014,9683000
ita,2015,9436316
ita,2016,9774316
ita,2017,9894845
ita,2018,9922512
ita,2019,10120001
ita,2020,9800000
jam,2000,765977
jam,2001,983400
jam,2002,1065000
jam,2003,1137798
jam,2004,1360623
jam,2005,1671820
jam,2006,2150408
jam,2007,2016792
jam,2008,1915943
jam,2009,1689670
jam,2010,1891770
jam,2011,1756832
jam,2012,1855400
jam,2013,1703900
jam,2014,1638100
jam,2015,1653272
jam,2016,1567442
jam,2017,1560000
jam,2018,1833053
jam,2019,1647609
jam,2020,1611637
jor,2007,414000
jor,2008,582515
jor,2009,674525
jor,2010,606000
jor,2011,705000
jor,2012,817000
jor,2013,873000
jor,2014,787000
jor,2015,767000
jor,2016,781543.5
jor,2017,796087
jor,2018,815345
jor,2019,798200
jor,2020,857283
jpn,2000,13100000
jpn,2001,13127144
jpn,2002,13501420
jpn,2003,15055696
jpn,2004,16436146
jpn,2005,17055082
jpn,2006,18469710
jpn,2007,19164522
jpn,2008,18943606
jpn,2009,16285918
jpn,2010,18965865
jpn,2011,18114999.05
jpn,2012,19727200
jpn,2013,20522000
jpn,2014,20741500
jpn,2015,20138396.25
jpn,2016,20319000
jpn,2017,21962500
jpn,2018,22610460
jpn,2019,22276700
jpn,2020,21385632
ken,2007,585367
ken,2008,615733
ken,2009,618816
ken,2010,695600
ken,2011,771000
ken,2012,903400
ken,2013,894000
ken,2014,1012000
ken,2015,1076100
ken,2016,1133050
ken,2017,1190000
ken,2018,1328100
ken,2019,1425000
ken,2020,1311000
khm,2007,253271
khm,2008,258775
khm,2009,207577
khm,2010,286206
khm,2011,306206
khm,2012,306206
khm,2013,312000
khm,2014,424000
khm,2015,474000
khm,2016,482000
khm,2017,644500
khm,2018,742100
khm,2019,779205
khm,2020,763621
kir,2010,29875.69
kir,2011,25775.69
kir,2012,25775.69
kir,2013,52964.24
kir,2014,22998.09
kir,2015,35149.2
kir,2016,49005.46
kir,2017,53468.83
kir,2018,52568.09
kir,2019,52099.86
kna,2010,7100
kna,2011,7300
kna,2012,7800
kna,2013,7000
kna,2014,9000
kna,2015,10000
kna,2016,9500
kna,2017,13767
kna,2018,14402.34
kna,2019,14258
kor,2000,9030174
kor,2001,9287221
kor,2002,11719500
kor,2003,13049534
kor,2004,14363194
kor,2005,15113275
kor,2006,15513935
kor,2007,17086133
kor,2008,17417723
kor,2009,15699663.2754
kor,2010,18520000
kor,2011,20466000
kor,2012,21516900
kor,2013,23445000
kor,2014,24814000
kor,2015,25477000
kor,2016,26373000
kor,2017,27415800
kor,2018,28867900
kor,2019,28311770
kor,2020,28425017.08
kwt,2005,673472
kwt,2006,750000
kwt,2007,900000
kwt,2008,961684
kwt,2009,854044
kwt,2010,815532
kwt,2011,810248
kwt,2012,824196
kwt,2013,840149
kwt,2014,904049
kwt,2015,984815
kwt,2016,944432
kwt,2017,964623.5
kwt,2018,954527.75
kwt,2019,959575.625
kwt,2020,863618
lbn,2001,299400
lbn,2006,594603
lbn,2007,947625
lbn,2008,861931
lbn,2009,994601
lbn,2010,949000
lbn,2011,1034000
lbn,2012,1042000
lbn,2013,1117300
lbn,2014,1210000
lbn,2015,1130000
lbn,2016,1217500
lbn,2017,1305000
lbn,2018,1305800
lbn,2019,1229100
lbn,2020,772871
lbr,2010,53400
lbr,2011,59800
lbr,2012,85589
lbr,2013,70000
lbr,2014,79000
lbr,2015,100000
lbr,2016,112500
lbr,2017,125000
lbr,2018,118750
lbr,2019,91453.84
lby,2007,122122
lby,2008,174827
lby,2009,158987.6738
lby,2010,136203.3
lby,2011,87443.9
lby,2012,76721.51
lby,2013,312181.6
lby,2014,375729.1
lby,2015,558764.1
lby,2016,151551.5
lby,2017,212164.5
lby,2018,327096.8
lby,2019,271230.6
lca,2007,55582
lca,2008,70202
lca,2009,51942
lca,2010,52478
lca,2011,62598
lca,2012,74831
lca,2013,64415
lca,2014,41452
lca,2015,41500
lca,2016,38383
lca,2017,28841
lca,2018,32500
lca,2019,39238
lca,2020,41200
lka,2000,1732855
