geo,time,iq_spi_ovrl
npl,2019,53.56583
nzl,2016,78.96292
nzl,2017,83.5525
nzl,2018,83.26
nzl,2019,85.26375
omn,2016,48.91
omn,2017,56.62083
omn,2018,57.60125
omn,2019,58.53625
pak,2016,56.25333
pak,2017,58.325
pak,2018,61.04458
pak,2019,60.67542
pan,2016,49.93417
pan,2017,52.61792
pan,2018,57.90833
pan,2019,59.58458
per,2016,64.23042
per,2017,67.455
per,2018,69.10625
per,2019,68.84625
phl,2016,73.24375
phl,2017,74.49208
phl,2018,75.87958
phl,2019,75.72333
png,2016,27.30542
png,2017,33.065
png,2018,40.925
png,2019,40.84625
pol,2016,81.71958
pol,2017,82.58417
pol,2018,88.55958
pol,2019,89.07083
prt,2016,83.965
prt,2017,85.80375
prt,2018,85.55917
prt,2019,85.51917
pry,2016,54.35708
pry,2017,57.08083
pry,2018,58.97208
pry,2019,61.05625
pse,2017,60.83833
pse,2018,70.20125
pse,2019,70.42958
qat,2016,49.64958
qat,2017,52.20667
qat,2018,52.36125
qat,2019,63.01167
rou,2017,70.455
rou,2018,76.49917
rou,2019,77.50792
rus,2016,71.59083
rus,2017,73.53292
rus,2018,75.71333
rus,2019,78.19042
rwa,2016,60.12292
rwa,2017,67.40167
rwa,2018,66.70625
rwa,2019,67.29208
sau,2016,46.36542
sau,2017,50.89333
sau,2018,59.12167
sau,2019,63.38542
sdn,2016,35.53708
sdn,2017,35.98542
sdn,2018,44.085
sdn,2019,39.16125
sen,2016,53.0725
sen,2017,58.3825
sen,2018,61.50375
sen,2019,63.57375
sgp,2016,62.80208
sgp,2017,65.2475
sgp,2018,74.26167
sgp,2019,75.09917
slb,2016,33.37333
slb,2017,36.93625
slb,2018,42.77333
slb,2019,41.66458
sle,2016,45.09458
sle,2017,49.49167
sle,2018,53.21333
sle,2019,52.77833
slv,2016,66.03958
slv,2017,67.12083
slv,2018,68.10833
slv,2019,68.80333
som,2017,11.76958
som,2018,19.67917
som,2019,19.61792
srb,2016,69.01417
srb,2017,73.73708
srb,2018,75.28542
srb,2019,75.79292
ssd,2016,30.105
ssd,2017,23.28083
ssd,2018,24.69583
ssd,2019,30.48917
stp,2016,46.18167
stp,2017,49.41167
stp,2018,49.71167
stp,2019,39.87083
sur,2016,35.84625
sur,2017,41.79625
sur,2018,52.71
sur,2019,50.80292
svk,2016,82.20208
svk,2017,85.67
svk,2018,85.71625
svk,2019,85.595
svn,2016,86.86625
svn,2017,88.30792
svn,2018,89.01
svn,2019,88.93125
swe,2016,88.02958
swe,2017,88.67125
swe,2018,88.72167
swe,2019,88.52417
swz,2016,42.53792
swz,2017,45.69042
swz,2018,53.71542
swz,2019,47.18708
syc,2017,48.26833
syc,2018,48.30042
syc,2019,48.63417
syr,2017,21.77792
syr,2018,25.98875
syr,2019,26.45375
tcd,2016,28.50292
tcd,2017,31.70667
tcd,2018,31.57667
tcd,2019,38.54333
tgo,2016,51.70833
tgo,2017,57.78
tgo,2018,60.59917
tgo,2019,60.88042
tha,2016,77.35208
tha,2017,75.91042
tha,2018,76.35333
tha,2019,76.11083
tjk,2016,50.21958
tjk,2017,54.94917
tjk,2018,55.51667
tjk,2019,55.76042
tkm,2016,19.49333
tkm,2017,22.555
tkm,2018,20.98708
tkm,2019,23.47083
tls,2017,44.83875
tls,2018,51.27833
tls,2019,51.04208
tto,2016,36.42375
tto,2017,40.9975
tto,2018,48.51792
tto,2019,42.05
tun,2016,61.57417
tun,2017,59.48792
tun,2018,63.885
tun,2019,64.0675
tur,2016,80.47875
tur,2017,85.03625
tur,2018,85.82333
tur,2019,84.63792
tza,2016,61.57583
tza,2017,64.81708
tza,2018,58.02125
tza,2019,58.07125
uga,2016,65.27125
uga,2017,69.11667
uga,2018,68.01167
uga,2019,67.57083
ukr,2016,67.34458
ukr,2017,68.25292
ukr,2018,69.56792
ukr,2019,72.48417
ury,2016,66.19917
ury,2017,69.00417
ury,2018,68.4675
ury,2019,66.82542
usa,2016,89.63667
usa,2017,87.10917
usa,2018,88.91625
usa,2019,88.92375
uzb,2016,38.73125
uzb,2017,44.625
uzb,2018,51.21292
uzb,2019,54.91
vct,2016,35.51542
vct,2017,37.91792
vct,2018,44.7375
vct,2019,43.93125
ven,2016,45.19
ven,2017,48.16792
ven,2018,45.03833
ven,2019,43.865
vnm,2016,60.37833
vnm,2017,64.455
vnm,2018,66.625
vnm,2019,65.95875
vut,2016,37.81167
vut,2017,40.5075
vut,2018,39.50917
vut,2019,40.69167
wsm,2016,52.83583
wsm,2017,58.24542
wsm,2018,58.56708
wsm,2019,57.04708
yem,2016,38.26542
yem,2017,42.44125
yem,2018,38.9
yem,2019,36.77125
zaf,2016,76.15208
zaf,2017,75.93542
zaf,2018,75.41625
zaf,2019,73.475
zmb,2016,54.41417
zmb,2017,58.77708
zmb,2018,59.50917
zmb,2019,59.01417
zwe,2016,42.64458
zwe,2017,50.33583
zwe,2018,59.51
zwe,2019,61.6525
