geo,time,sp_mtr_1519_zs
sle,2013,27.9
sle,2016,35
sle,2019,21.3
slv,1985,26.6
slv,1998,24.3
slv,2003,21.6
slv,2008,22.8
stp,2009,22.8
swz,2007,22.6
tcd,1997,38.5
tcd,2004,36.6
tcd,2015,35.9
tgo,1988,26.5
tgo,1998,19.4
tgo,2014,16.5
tgo,2017,18.6
tha,1987,10.5
tjk,2012,7.4
tjk,2017,6.8
tkm,2000,4.3
tls,2010,7.2
tls,2016,6.9
tto,1987,13.8
tun,1988,2.9
tur,1993,9.3
tur,1998,10.2
tur,2003,7.5
tur,2008,5.9
tur,2013,4.6
tza,1992,29
tza,1996,26.1
tza,1999,24.5
tza,2005,26
tza,2008,23.2
tza,2010,22.8
tza,2012,24.1
tza,2016,26.7
tza,2017,26.4
uga,1989,37.2
uga,1995,42.9
uga,2001,31.4
uga,2006,24.9
uga,2009,21.3
uga,2011,23.8
uga,2015,24.1
uga,2016,24.8
uga,2019,19.6
ukr,1999,7.6
ukr,2007,4.2
uzb,1996,9.5
vnm,1997,5.7
vnm,2002,3.4
yem,1992,14.1
yem,1997,15.5
yem,2013,10.7
zaf,1998,16
zaf,2016,15.6
zmb,1992,33.8
zmb,1996,30.7
zmb,2002,31.6
zmb,2007,27.9
zmb,2014,28.5
zmb,2018,29.2
zwe,1988,20.7
zwe,1994,19.7
zwe,1999,20.5
zwe,2006,21.2
zwe,2011,23.5
zwe,2015,21.6
