geo,time,nv_fsm_totl_cn
gin,2016,1592686000000
gin,2017,1638845204500
gin,2018,1822331194900
gin,2019,1935526909600
gnb,2005,802000000
gnb,2006,1395000000
gnb,2007,2303000000
gnb,2008,5308000000
gnb,2009,5521000000
gnb,2010,6579000000
gnb,2011,9773000000
gnb,2012,10893000000
gnb,2013,10216000000
gnb,2014,10611000000
gnb,2015,9773000000
gnb,2016,9773000000
gnb,2017,9773000000
gnq,2006,25092000000
gnq,2007,35114000000
gnq,2008,51119000000
gnq,2009,58162000000
gnq,2010,71082000000
gnq,2011,100392000000
gnq,2012,115287000000
gnq,2013,100065000000
gnq,2014,123662000000
gnq,2015,106391000000
gnq,2016,88442000000
gnq,2017,85945000000
gnq,2018,71206000000
gnq,2019,66283000000
gnq,2020,63632000000
grd,1977,1261886
grd,1978,1513664
grd,1979,1810402
grd,1980,2119130
grd,1981,2433852
grd,1982,2799529
grd,1983,3216161
grd,1984,3698735
grd,1985,4256243
grd,1986,4882690
grd,1987,6039669
grd,1988,7070759
grd,1989,8308667
grd,1990,8488508
grd,1991,8257700
grd,1992,8236700
grd,1993,8122800
grd,1994,9840300
grd,1995,10514700
grd,1996,11554800
grd,1997,12879600
grd,1998,15754100
grd,1999,16662300
grd,2000,21197300
grd,2001,21612500
grd,2002,20812800
grd,2003,19862900
grd,2004,19484700
grd,2005,20279300
grd,2006,22382200
grd,2007,25961300
grd,2008,28545700
grd,2009,27504900
grd,2010,26102300
grd,2011,23810900
grd,2012,28309900
grd,2013,21963900
grd,2014,21551500
grd,2015,23776000
grd,2016,27770000
grd,2017,34380100
grd,2018,37880400
grd,2019,42282400
grd,2020,25028400
guy,2006,5686991000
guy,2007,7195000000
guy,2008,8722000000
guy,2009,10151000000
guy,2010,12062000000
guy,2011,14019000000
guy,2012,15451000000
guy,2013,16863000000
guy,2014,16870000000
guy,2015,18305000000
guy,2016,18984000000
guy,2017,18235000000
guy,2018,17550000000
guy,2019,18847000000
guy,2020,18738000000
hnd,2000,4245100000
hnd,2001,4301900000
