geo,time,sl_emp_vuln_zs
bhr,1991,3.4
bhr,1992,3.14
bhr,1993,2.83
bhr,1994,2.65
bhr,1995,2.44
bhr,1996,2.27
bhr,1997,2.12
bhr,1998,1.98
bhr,1999,1.84
bhr,2000,1.7
bhr,2001,1.58
bhr,2002,2.28
bhr,2003,2.21
bhr,2004,2.02
bhr,2005,2.16
bhr,2006,2.17
bhr,2007,2.06
bhr,2008,2.01
bhr,2009,1.96
bhr,2010,1.06
bhr,2011,1.09
bhr,2012,1.08
bhr,2013,1.06
bhr,2014,1.05
bhr,2015,1.01
bhr,2016,1
bhr,2017,1.01
bhr,2018,1.03
bhr,2019,1.03
bhs,1991,5.5
bhs,1992,5.88
bhs,1993,6
bhs,1994,6.5
bhs,1995,6.62
bhs,1996,7.73
bhs,1997,6.75
bhs,1998,6.71
bhs,1999,7.16
bhs,2000,6.65
bhs,2001,6.28
bhs,2002,7.12
bhs,2003,6.72
bhs,2004,7.22
bhs,2005,7.05
bhs,2006,6.89
bhs,2007,6.84
bhs,2008,6.83
bhs,2009,7.15
bhs,2010,7.49
bhs,2011,7.85
bhs,2012,7.95
bhs,2013,8.31
bhs,2014,8.49
bhs,2015,8.71
bhs,2016,8.87
bhs,2017,9.04
bhs,2018,9.2
bhs,2019,9.29
bih,1991,35.55
bih,1992,36.72
bih,1993,37.31
bih,1994,36.38
bih,1995,34.77
bih,1996,31.06
bih,1997,28.69
bih,1998,26.91
bih,1999,25.67
bih,2000,24.87
bih,2001,24.29
bih,2002,23.84
bih,2003,23.58
bih,2004,23.15
bih,2005,22.77
bih,2006,22.39
bih,2007,22.18
bih,2008,22.53
bih,2009,22.97
bih,2010,21.68
bih,2011,20.94
bih,2012,22.37
bih,2013,20.33
bih,2014,18.47
bih,2015,18.78
bih,2016,19.08
bih,2017,19.38
bih,2018,16.44
bih,2019,19.07
blr,1991,2.66
blr,1992,2.8
blr,1993,2.95
blr,1994,3.13
blr,1995,3.34
blr,1996,3.55
blr,1997,3.72
blr,1998,3.87
blr,1999,3.99
blr,2000,4.07
blr,2001,4.12
blr,2002,4.13
blr,2003,4.12
blr,2004,4.07
blr,2005,4
blr,2006,3.9
blr,2007,3.81
blr,2008,3.71
blr,2009,3.65
blr,2010,3.56
blr,2011,3.49
blr,2012,3.43
blr,2013,3.38
blr,2014,3.33
blr,2015,3.29
blr,2016,3.26
blr,2017,3.48
blr,2018,3.29
blr,2019,3.39
blz,1991,25.5
blz,1992,25.3
blz,1993,25.19
blz,1994,25.34
blz,1995,25.47
blz,1996,26.64
blz,1997,26.46
blz,1998,26.26
blz,1999,25.89
blz,2000,25.17
blz,2001,24.91
blz,2002,24.64
blz,2003,24.18
blz,2004,23.86
blz,2005,23.56
blz,2006,24.06
blz,2007,24.85
blz,2008,25.49
blz,2009,26.36
blz,2010,27.07
blz,2011,27.8
blz,2012,28.61
blz,2013,29.37
blz,2014,23.86
blz,2015,25.67
blz,2016,27.65
blz,2017,29.84
blz,2018,30.21
blz,2019,30.95
bol,1991,67.96
bol,1992,67.92
bol,1993,67.85
bol,1994,67.73
bol,1995,67.59
bol,1996,67.39
bol,1997,67.06
bol,1998,66.78
bol,1999,65.96
bol,2000,66.12
bol,2001,64.21
bol,2002,63.26
bol,2003,60.97
bol,2004,58.61
bol,2005,59.44
bol,2006,60.43
bol,2007,56.32
bol,2008,54.64
bol,2009,52.94
bol,2010,53.8
bol,2011,54.61
bol,2012,52.34
bol,2013,54.59
bol,2014,54.66
bol,2015,56.59
bol,2016,65
bol,2017,63.53
bol,2018,63.59
bol,2019,63.3
bra,1991,33.8
bra,1992,33.98
bra,1993,33.68
bra,1994,33.32
bra,1995,33.11
bra,1996,32.08
bra,1997,32.43
bra,1998,32.56
bra,1999,33.14
bra,2000,32.63
bra,2001,32.42
bra,2002,32.53
bra,2003,32.66
bra,2004,32.19
bra,2005,32.14
bra,2006,31.13
bra,2007,30.71
bra,2008,28.93
bra,2009,28.63
bra,2010,28.21
bra,2011,28.02
bra,2012,25.9
bra,2013,26.02
bra,2014,25.89
bra,2015,26.92
bra,2016,27.38
bra,2017,27.58
bra,2018,27.9
bra,2019,28.33
brb,1991,11.82
brb,1992,12.38
brb,1993,13.23
brb,1994,12.33
brb,1995,12.43
brb,1996,12.45
brb,1997,11.82
brb,1998,12.03
brb,1999,13.67
brb,2000,12.47
brb,2001,13.46
brb,2002,13.69
brb,2003,13.67
brb,2004,14.03
brb,2005,13.99
brb,2006,13.76
brb,2007,13.81
brb,2008,13.92
brb,2009,14.52
brb,2010,14.97
brb,2011,15.29
brb,2012,15.61
brb,2013,15.88
brb,2014,16.14
brb,2015,16.17
brb,2016,16.16
brb,2017,16.26
brb,2018,16.42
brb,2019,16.55
brn,1991,4.12
brn,1992,4.1
brn,1993,4.15
brn,1994,4.16
brn,1995,4.14
brn,1996,4.14
brn,1997,4.22
brn,1998,4.29
brn,1999,4.3
brn,2000,4.32
brn,2001,4.33
brn,2002,4.32
brn,2003,4.33
brn,2004,4.36
brn,2005,4.4
brn,2006,4.37
brn,2007,4.4
brn,2008,4.48
brn,2009,4.54
brn,2010,4.55
brn,2011,4.53
brn,2012,4.55
brn,2013,4.61
brn,2014,4.64
brn,2015,5.05
brn,2016,5.56
brn,2017,6.09
brn,2018,4.81
brn,2019,6.27
btn,1991,76.97
btn,1992,76.87
btn,1993,76.82
btn,1994,76.69
btn,1995,76.49
btn,1996,76.29
btn,1997,76.09
btn,1998,75.85
btn,1999,75.53
btn,2000,75.16
btn,2001,74.68
btn,2002,74
btn,2003,73.4
btn,2004,72.85
btn,2005,72.27
btn,2006,71.74
btn,2007,70.88
btn,2008,70.34
btn,2009,69.73
btn,2010,68.98
btn,2011,70.9
btn,2012,70.82
btn,2013,70.73
btn,2014,70.72
btn,2015,72.31
btn,2016,72.31
btn,2017,72.27
btn,2018,72.35
btn,2019,72.01
bwa,1991,37.23
bwa,1992,35.67
bwa,1993,33.88
bwa,1994,32.12
bwa,1995,23.48
bwa,1996,16.97
bwa,1997,17.61
bwa,1998,18.28
bwa,1999,18.98
bwa,2000,20.08
bwa,2001,20.87
bwa,2002,21.65
bwa,2003,22.37
bwa,2004,23.69
bwa,2005,25.26
bwa,2006,26.21
bwa,2007,26.3
bwa,2008,26.4
bwa,2009,27.68
bwa,2010,26.69
bwa,2011,25.88
bwa,2012,24.94
bwa,2013,23.81
bwa,2014,23.31
bwa,2015,23.02
bwa,2016,22.73
bwa,2017,22.27
bwa,2018,21.88
bwa,2019,21.61
caf,1991,91.6
caf,1992,91.79
caf,1993,91.79
caf,1994,91.89
caf,1995,91.89
caf,1996,92.32
caf,1997,92.52
caf,1998,92.55
caf,1999,92.68
caf,2000,92.8
caf,2001,92.79
caf,2002,92.83
caf,2003,93.06
caf,2004,92.97
caf,2005,92.99
caf,2006,92.77
caf,2007,92.59
caf,2008,92.38
caf,2009,92.18
caf,2010,92.09
caf,2011,91.97
caf,2012,91.91
caf,2013,92.26
caf,2014,92.53
caf,2015,92.65
caf,2016,92.65
caf,2017,92.53
caf,2018,92.44
caf,2019,92.29
can,1991,8.27
can,1992,8.72
can,1993,9.27
can,1994,9.4
can,1995,9.48
can,1996,10.13
can,1997,11.15
can,1998,11.42
can,1999,11.2
can,2000,10.58
can,2001,9.98
can,2002,10.07
can,2003,10.3
can,2004,10.18
can,2005,10.23
can,2006,10.07
can,2007,10.42
can,2008,10.46
can,2009,10.99
can,2010,10.79
can,2011,10.6
can,2012,10.64
can,2013,10.7
can,2014,10.68
can,2015,10.63
can,2016,10.72
can,2017,10.74
can,2018,10.71
can,2019,10.84
chanisl,1991,11.67
chanisl,1992,11.65
chanisl,1993,11.58
chanisl,1994,11.49
chanisl,1995,11.41
chanisl,1996,11.32
chanisl,1997,11.2
chanisl,1998,11.07
chanisl,1999,10.94
chanisl,2000,10.7
chanisl,2001,10.73
chanisl,2002,10.77
chanisl,2003,10.88
chanisl,2004,10.88
chanisl,2005,10.83
chanisl,2006,10.64
chanisl,2007,10.42
chanisl,2008,10.44
chanisl,2009,10.64
chanisl,2010,10.61
chanisl,2011,10.57
chanisl,2012,10.55
chanisl,2013,10.49
chanisl,2014,10.41
chanisl,2015,10.33
chanisl,2016,10.27
chanisl,2017,10.23
chanisl,2018,10.22
chanisl,2019,10.19
che,1991,10.92
che,1992,10.92
che,1993,10.93
che,1994,10.9
che,1995,10.9
che,1996,10.9
che,1997,11.14
che,1998,10.81
che,1999,10.78
che,2000,10.44
che,2001,10.39
che,2002,10.42
che,2003,10.87
che,2004,9.81
che,2005,9.61
che,2006,9.65
che,2007,10.13
che,2008,9.7
che,2009,9.45
che,2010,9.35
che,2011,9.4
che,2012,9.1
che,2013,9.24
che,2014,9.28
che,2015,9.05
che,2016,9.07
che,2017,9.04
che,2018,9.02
che,2019,8.81
chl,1991,28.33
chl,1992,27.94
chl,1993,27.67
chl,1994,27.46
chl,1995,26.99
chl,1996,26.78
chl,1997,26.41
chl,1998,27.8
chl,1999,27.49
chl,2000,27.57
chl,2001,28.36
chl,2002,28.67
chl,2003,28.85
chl,2004,28.74
chl,2005,26.97
chl,2006,26
chl,2007,24.82
chl,2008,24.37
chl,2009,23.27
chl,2010,21.81
chl,2011,21.79
chl,2012,20.92
chl,2013,21.16
chl,2014,21.68
chl,2015,21.5
chl,2016,22.41
chl,2017,22.98
chl,2018,22.85
chl,2019,23.03
chn,1991,67.86
chn,1992,66.75
chn,1993,65.57
chn,1994,64.44
chn,1995,63.48
chn,1996,62.66
chn,1997,61.94
chn,1998,61.44
chn,1999,60.95
chn,2000,60.31
chn,2001,59.62
chn,2002,58.76
chn,2003,57.72
chn,2004,56.64
chn,2005,55.37
chn,2006,53.98
chn,2007,52.45
chn,2008,51.3
chn,2009,50.23
chn,2010,49.01
chn,2011,47.96
chn,2012,47.21
chn,2013,46.52
chn,2014,45.92
chn,2015,45.41
chn,2016,44.96
chn,2017,44.53
chn,2018,43.61
chn,2019,42.54
civ,1991,81.36
civ,1992,81.4
civ,1993,81.5
civ,1994,81.74
civ,1995,81.5
civ,1996,81.09
civ,1997,80.33
civ,1998,80.29
civ,1999,79.85
civ,2000,80.01
civ,2001,80.81
civ,2002,80.85
civ,2003,80.9
civ,2004,80.5
civ,2005,80.35
civ,2006,79.96
civ,2007,79.67
civ,2008,79.07
civ,2009,78.4
civ,2010,78.4
civ,2011,78.21
civ,2012,76.88
civ,2013,75.7
civ,2014,74.61
civ,2015,73.97
civ,2016,73
civ,2017,71.85
civ,2018,70.59
civ,2019,69.31
cmr,1991,81.59
cmr,1992,81.74
cmr,1993,82.1
cmr,1994,82.05
cmr,1995,81.86
cmr,1996,81.57
cmr,1997,81.18
cmr,1998,80.95
cmr,1999,80.1
cmr,2000,78.79
cmr,2001,77.98
cmr,2002,78.38
cmr,2003,78.91
cmr,2004,78.95
cmr,2005,79.1
cmr,2006,79.05
cmr,2007,79.25
cmr,2008,78.46
cmr,2009,78.36
cmr,2010,77.62
cmr,2011,76.9
cmr,2012,75.93
cmr,2013,75.17
cmr,2014,74.39
cmr,2015,73.93
cmr,2016,73.35
cmr,2017,72.52
cmr,2018,71.81
cmr,2019,71.3
cod,1991,88.79
cod,1992,89.11
cod,1993,89.37
cod,1994,89.49
cod,1995,89.56
cod,1996,88.41
cod,1997,89.72
cod,1998,89.93
cod,1999,90.3
cod,2000,90.06
cod,2001,89.22
cod,2002,88.9
cod,2003,89.19
cod,2004,88.47
cod,2005,88.17
cod,2006,87.72
cod,2007,86.94
cod,2008,85.66
cod,2009,84.99
cod,2010,83.13
cod,2011,81.74
cod,2012,80.55
cod,2013,79.6
cod,2014,78.56
cod,2015,78.26
