geo,time,sh_sta_mmrt_ne
brn,2011,0
brn,2012,29
brn,2013,14
brn,2014,0
brn,2015,30
brn,2016,0
btn,1994,605
btn,2000,240
btn,2005,482
btn,2011,325
bwa,2006,173
bwa,2007,154
bwa,2008,202
bwa,2009,215
bwa,2010,209
bwa,2011,179
bwa,2012,208
bwa,2013,163
bwa,2014,201
bwa,2015,140
bwa,2016,167
bwa,2017,172
bwa,2018,158
caf,1994,1284
can,1985,4
can,1986,3
can,1987,4
can,1993,4
can,1994,4
can,1995,5
can,1996,5
can,1997,5
can,1998,4
can,1999,2
can,2000,3
can,2001,8
can,2002,4
can,2003,7
can,2004,6
can,2005,8
can,2006,7
can,2007,7
can,2008,9
can,2009,8
can,2010,6
can,2011,4
can,2012,5
can,2013,6
can,2014,5
can,2015,6
che,1985,5
che,1986,4
che,1987,6
che,1988,10
che,1989,4
che,1990,6
che,1991,1
che,1992,5
che,1993,6
che,1994,4
che,1995,9
che,1996,4
che,1997,4
che,1998,4
che,1999,8
che,2000,7
che,2001,1
che,2002,4
che,2003,5
che,2004,5
che,2005,5
che,2006,8
che,2007,1
che,2008,10
che,2009,4
che,2010,4
che,2011,4
che,2012,7
che,2013,2
che,2014,4
che,2015,7
chl,1985,47
chl,1986,45
chl,1987,47
chl,1988,42
chl,1989,42
chl,1990,41
chl,1991,35
chl,1992,31
chl,1993,34
chl,1994,25
chl,1995,30
chl,1996,23
chl,1997,22
chl,1998,21
chl,1999,23
chl,2000,19
chl,2001,18
chl,2002,17
chl,2003,13
chl,2004,17
chl,2005,18
chl,2006,19
chl,2007,17
chl,2008,15
chl,2009,20
chl,2011,18
chl,2012,15
chl,2013,17
chl,2014,16
chl,2015,15
chl,2016,16
chl,2017,10
chn,1991,98
chn,1996,68
chn,1998,70
chn,2000,65
chn,2001,58
chn,2002,55
chn,2003,48
chn,2004,56
chn,2005,53
chn,2006,52
chn,2007,45
chn,2008,40
chn,2009,38
chn,2010,35
chn,2011,33
chn,2012,29
chn,2013,27
civ,1994,729
civ,2005,605
civ,2012,751
cmr,1998,863
cmr,2004,778
cmr,2011,782
cod,2007,445
cod,2014,740
cog,2005,928
cog,2011,457
cog,2015,605
col,1985,96
col,1986,71
col,1987,74
col,1988,66
col,1989,63
col,1990,60
col,1991,55
col,1992,50
col,1993,51
col,1994,49
col,1995,45
col,1996,47
col,1997,46
col,1998,74
col,1999,74
col,2000,84
col,2001,77
col,2003,61
col,2004,63
col,2005,60
col,2006,61
col,2007,60
col,2008,53
col,2009,60
col,2010,58
col,2011,58
col,2012,57
col,2013,48
col,2014,47
col,2015,47
col,2016,44
col,2017,44
com,2012,352
cpv,2000,93
cpv,2001,43
cpv,2002,9
cpv,2003,35
cpv,2004,44
cpv,2005,18
cpv,2006,45
cpv,2007,18
cpv,2008,18
cpv,2009,63
cpv,2010,45
cpv,2011,45
cpv,2012,9
cpv,2013,36
cpv,2014,9
cpv,2015,46
cpv,2016,19
cpv,2017,47
cri,1985,36
cri,1986,35
cri,1987,19
cri,1988,18
cri,1989,28
cri,1990,14
cri,1991,33
cri,1992,21
cri,1993,17
cri,1994,36
cri,1995,19
cri,1996,28
cri,1997,35
cri,1998,18
cri,1999,19
cri,2000,37
cri,2001,32
cri,2002,35
cri,2004,38
cri,2005,30
cri,2006,38
cri,2007,39
cri,2008,20
cri,2009,35
cri,2010,28
cri,2011,26
cri,2012,30
cri,2013,14
cri,2014,29
cri,2018,24
cub,1985,48
cub,1986,49
cub,1987,49
cub,1988,41
cub,1989,39
cub,1990,45
cub,1991,47
cub,1992,43
cub,1993,35
cub,1994,53
cub,1995,45
cub,1996,33
cub,1997,39
cub,1998,39
cub,1999,45
cub,2000,40
cub,2001,33
cub,2002,42
cub,2003,40
cub,2004,37
cub,2005,48
cub,2006,43
cub,2007,28
cub,2008,45
cub,2009,49
cub,2010,44
cub,2011,43
cub,2012,33
cub,2013,39
cub,2014,35
cub,2015,43
cub,2016,41
cub,2017,38
cyp,2004,0
cyp,2005,0
cyp,2006,8
cyp,2007,0
cyp,2008,8
cyp,2009,0
cyp,2010,8
cyp,2011,0
cyp,2012,0
cyp,2013,8
cyp,2014,16
cyp,2015,0
cyp,2016,0
cze,1986,15
cze,1987,9
cze,1988,10
cze,1989,9
cze,1990,9
cze,1991,14
cze,1992,10
cze,1993,12
cze,1994,6
cze,1995,2
cze,1996,5
cze,1997,2
cze,1998,6
cze,1999,7
cze,2000,6
cze,2001,3
cze,2002,3
cze,2003,4
cze,2004,4
cze,2005,3
cze,2006,8
cze,2007,3
cze,2008,6
cze,2009,3
cze,2010,3
cze,2011,2
cze,2012,5
cze,2013,1
cze,2014,4
cze,2015,2
cze,2016,1
deu,1990,10
deu,1991,9
deu,1992,7
deu,1993,6
deu,1994,5
deu,1995,5
deu,1996,7
deu,1997,6
deu,1998,6
deu,1999,5
deu,2000,6
deu,2001,4
deu,2002,3
deu,2003,4
deu,2004,5
deu,2005,4
deu,2006,5
deu,2007,4
deu,2008,5
deu,2009,5
deu,2010,5
deu,2011,5
deu,2012,4
deu,2013,4
deu,2014,4
deu,2015,3
dnk,1995,10
dnk,1996,6
dnk,1997,7
dnk,1998,3
dnk,1999,6
dnk,2000,0
dnk,2001,3
dnk,2007,3
dnk,2008,6
dnk,2009,6
dnk,2010,0
dnk,2011,3
dnk,2012,0
dnk,2013,2
dnk,2014,3
dnk,2015,0
dom,2000,122
dom,2001,55
dom,2002,55
dom,2003,76
dom,2004,71
dom,2005,80
dom,2006,95
dom,2007,84
dom,2008,76
dom,2009,96
dom,2010,110
dom,2011,95
dom,2012,95
dom,2013,90
dom,2014,93
dom,2016,94
dom,2018,97
dza,2000,204
ecu,1985,135
ecu,1986,110
ecu,1987,118
ecu,1988,109
ecu,1989,112
ecu,1990,100
ecu,1991,102
ecu,1992,108
ecu,1993,110
ecu,1994,75
ecu,1995,53
ecu,1996,60
ecu,1997,50
ecu,1998,46
ecu,1999,64
ecu,2000,72
ecu,2001,58
ecu,2002,46
ecu,2003,43
ecu,2004,40
ecu,2005,45
ecu,2006,42
ecu,2007,55
ecu,2009,66
ecu,2010,82
ecu,2011,80
ecu,2012,96
ecu,2013,81
ecu,2014,61
ecu,2015,66
ecu,2016,62
ecu,2017,50
ecu,2018,57
egy,1987,64
egy,1991,39
egy,1992,38
egy,1993,138
egy,2000,27
egy,2001,28
egy,2002,35
egy,2003,38
egy,2004,29
egy,2005,30
egy,2006,31
egy,2007,28
egy,2008,21
egy,2009,26
egy,2010,23
egy,2011,23
egy,2012,21
egy,2013,19
egy,2014,19
egy,2015,15
eri,1995,1763
eri,2003,1037
eri,2010,758
esp,1985,4
esp,1986,5
esp,1987,5
esp,1988,5
esp,1989,3
esp,1990,5
esp,1991,3
esp,1992,5
esp,1993,3
esp,1994,3
esp,1995,3
esp,1996,3
esp,1997,2
esp,1998,2
esp,1999,4
esp,2000,4
esp,2001,4
esp,2002,3
esp,2003,4
esp,2004,5
esp,2005,4
esp,2006,3
esp,2007,3
esp,2008,5
esp,2009,3
esp,2010,4
esp,2011,3
esp,2012,2
esp,2013,4
esp,2014,2
esp,2015,4
esp,2016,4
est,1985,46
est,1986,29
est,1987,42
est,1988,26
est,1989,45
est,1990,34
est,1991,31
est,1992,22
est,1993,30
est,1994,52
est,1995,49
est,1996,0
est,1997,15
est,1998,16
est,1999,16
est,2000,39
est,2001,8
est,2002,8
est,2003,29
est,2004,28
est,2005,14
est,2006,7
est,2007,0
est,2008,0
est,2009,0
est,2010,7
est,2011,7
est,2012,7
est,2013,7
est,2014,0
est,2015,0
est,2016,14
eth,2000,804
eth,2005,710
eth,2007,1184
eth,2011,861
eth,2016,557
fin,1985,6
fin,1986,6
fin,1995,2
fin,1996,3
fin,1997,5
fin,1998,5
fin,1999,3
fin,2000,5
fin,2001,5
fin,2002,5
fin,2003,3
fin,2004,12
fin,2005,5
fin,2006,7
fin,2007,2
fin,2008,8
fin,2009,2
fin,2010,5
fin,2011,0
fin,2012,3
fin,2013,2
fin,2014,5
fin,2015,4
fin,2016,6
fin,2017,8
fji,1999,5
fji,2001,30
fji,2002,15
fji,2003,31
fji,2004,0
fji,2005,47
fji,2006,37
fji,2007,37
fji,2008,21
fji,2009,21
fji,2010,29
fji,2011,21
fji,2012,42
fji,2013,66
fra,1985,12
fra,1986,11
fra,1987,9
fra,1988,9
fra,1989,9
fra,1990,11
fra,1991,12
fra,1992,13
fra,1993,9
fra,1994,11
fra,1995,10
fra,1996,13
fra,1997,9
fra,2001,11
fra,2002,9
fra,2003,12
fra,2004,9
fra,2005,9
fra,2006,8
fra,2007,9
fra,2008,12
fra,2009,9
fra,2010,9
fra,2011,11
fra,2012,9
fra,2013,5
fra,2014,5
fra,2015,4
gab,2000,509
gab,2012,368
gbr,1988,9
gbr,1991,9
gbr,1994,10
gbr,1997,9
gbr,2000,10
gbr,2003,11
gbr,2006,11
gbr,2009,11
gbr,2012,10
gbr,2013,9
gbr,2014,8
gbr,2015,8
gbr,2016,8
geo,1985,22
geo,1986,19
geo,1987,16
geo,1988,19
geo,1989,53
geo,1990,20
geo,1991,7
geo,1992,1
geo,1994,1
geo,1995,24
geo,1996,13
geo,1997,21
geo,1998,20
geo,1999,14
geo,2000,7
geo,2001,8
geo,2004,41
geo,2005,17
geo,2007,4
geo,2009,57
geo,2013,28
geo,2014,31
geo,2016,36
geo,2017,24
geo,2018,14
gha,2007,516
gha,2010,284
gha,2017,334
gin,1999,704
gin,2005,1201
gin,2012,756
gin,2016,833
gmb,2013,595
gnb,2014,898
gnq,2011,380
grc,1985,6
grc,1986,8
grc,1987,3
grc,1988,5
grc,1989,4
grc,1990,1
grc,1991,3
grc,1992,6
grc,1993,1
grc,1994,2
grc,1995,0
grc,1996,4
grc,1997,0
grc,1998,7
grc,1999,6
grc,2000,0
grc,2001,4
grc,2002,1
grc,2003,2
grc,2004,3
grc,2005,0
grc,2006,3
grc,2007,2
grc,2008,0
grc,2009,4
grc,2010,6
grc,2011,4
grc,2012,1
grc,2013,0
grc,2014,4
grc,2015,6
grd,1985,63
grd,1988,33
grd,1989,0
grd,1990,0
grd,1991,0
grd,1992,0
grd,1993,84
grd,1994,44
grd,1995,0
grd,1996,0
grd,2001,0
grd,2002,54
grd,2003,0
grd,2004,0
grd,2005,0
grd,2006,0
grd,2007,0
grd,2008,0
grd,2009,0
grd,2010,0
grd,2011,0
grd,2012,107
grd,2013,53
grd,2014,0
grd,2015,0
grd,2016,107
grd,2017,0
gtm,1986,99
gtm,1987,94
gtm,1988,91
gtm,1990,90
gtm,1991,95
gtm,1992,104
gtm,1993,94
gtm,1994,96
gtm,1995,91
gtm,1997,181
gtm,1998,173
gtm,1999,76
gtm,2001,67
gtm,2002,67
gtm,2003,69
gtm,2004,71
gtm,2005,86
gtm,2006,72
gtm,2008,80
gtm,2009,83
gtm,2010,87
gtm,2011,76
gtm,2012,85
gtm,2014,68
gtm,2015,71
gtm,2016,71
gtm,2017,112
gtm,2018,107
guy,1988,60
guy,1989,79
guy,1990,108
guy,1991,61
guy,1992,52
guy,1993,85
guy,1994,147
guy,1995,167
guy,1996,125
guy,1997,102
guy,1998,119
guy,1999,86
guy,2001,90
guy,2002,109
guy,2003,118
guy,2004,110
guy,2005,142
guy,2006,121
guy,2007,123
guy,2008,99
guy,2009,56
guy,2010,126
guy,2011,88
guy,2012,88
guy,2013,57
guy,2014,101
hnd,1991,164
hnd,1998,90
hnd,2001,134
hnd,2011,76
hnd,2013,62
hnd,2014,71
hrv,1985,5
hrv,1986,10
hrv,1987,5
hrv,1988,2
hrv,1989,4
hrv,1990,11
hrv,1991,8
hrv,1992,4
hrv,1993,10
hrv,1994,10
hrv,1995,12
hrv,1996,2
hrv,1997,10
hrv,1998,6
hrv,1999,11
hrv,2000,7
hrv,2001,2
hrv,2002,9
hrv,2003,7
hrv,2004,7
hrv,2005,7
hrv,2006,9
hrv,2007,14
hrv,2008,7
hrv,2009,14
hrv,2010,9
hrv,2011,9
hrv,2012,7
hrv,2013,5
hrv,2014,3
hrv,2015,3
hrv,2016,3
hti,2000,378
hti,2006,531
hti,2017,732
hun,1985,27
hun,1986,15
hun,1987,14
hun,1988,17
hun,1989,15
hun,1990,21
hun,1991,13
hun,1992,10
hun,1993,19
hun,1994,10
hun,1995,15
hun,1996,11
hun,1997,20
hun,1998,6
hun,1999,4
hun,2000,10
hun,2001,5
hun,2002,8
hun,2003,7
hun,2004,4
hun,2005,5
hun,2006,8
hun,2007,8
hun,2008,18
hun,2009,18
hun,2010,15
hun,2011,10
hun,2012,10
hun,2013,14
hun,2014,7
hun,2015,6
hun,2016,12
idn,1994,410
idn,2003,339
idn,2007,206
idn,2012,282
ind,1993,481
ind,1999,438
ind,2000,594
ind,2002,360
ind,2004,331
ind,2007,279
ind,2010,233
ind,2013,196
ind,2014,184
ind,2017,143
irl,1985,6
irl,1986,5
irl,1987,3
irl,1988,2
irl,1989,4
irl,1990,4
irl,1991,8
irl,1992,4
irl,1993,0
irl,1994,2
irl,1995,0
irl,1996,6
irl,1997,6
irl,1998,4
irl,1999,2
irl,2000,2
irl,2001,5
irl,2002,8
irl,2003,0
irl,2004,2
irl,2005,2
irl,2006,0
irl,2007,3
irl,2008,4
irl,2011,3
irl,2012,3
irl,2013,4
irl,2014,1
irl,2015,1
irn,1996,83
irn,2003,30
irn,2004,36
irn,2005,38
irn,2006,38
irn,2007,34
irn,2008,37
irn,2009,25
irn,2010,24
irn,2011,21
irn,2012,20
irn,2013,7
irn,2014,6
irn,2015,7
irq,1999,263
irq,2006,81
irq,2013,60
isl,2010,0
isl,2011,22
isl,2012,0
isl,2013,0
isl,2014,0
isl,2015,0
isl,2016,0
isl,2017,0
isr,1985,9
isr,1986,6
isr,1987,3
isr,1988,5
isr,1989,7
isr,1990,13
isr,1991,9
isr,1992,6
isr,1993,3
isr,1994,6
isr,1995,6
isr,1996,8
isr,1997,10
isr,1998,9
isr,1999,7
isr,2001,4
isr,2002,7
isr,2003,5
isr,2004,2
isr,2005,4
isr,2006,3
isr,2007,8
isr,2008,5
isr,2009,5
isr,2010,3
isr,2011,4
isr,2012,1
isr,2013,6
isr,2014,5
isr,2015,3
isr,2016,4
isr,2017,2
ita,1985,8
ita,1986,5
ita,1987,4
ita,1988,8
ita,1989,5
ita,1990,9
ita,1991,5
ita,1992,7
ita,1993,4
ita,1994,4
ita,1995,3
ita,1996,4
ita,1997,4
ita,1998,3
ita,1999,3
ita,2000,3
ita,2001,2
ita,2002,3
ita,2003,5
ita,2004,4
ita,2005,2
ita,2007,2
ita,2008,2
ita,2009,2
ita,2010,3
ita,2011,2
ita,2012,2
ita,2013,2
ita,2014,2
ita,2015,3
jam,1987,88
jam,1994,66
jam,1995,88
jam,1996,75
jam,1999,79
jam,2000,63
jam,2001,85
jam,2002,79
jam,2003,90
jam,2004,72
jam,2005,68
jam,2006,95
jam,2007,79
jam,2008,76
jam,2009,126
jam,2010,62
jam,2011,90
jam,2012,77
jam,2013,35
jam,2014,74
jor,1996,104
jor,2009,49
jpn,1985,16
jpn,1986,13
jpn,1987,12
jpn,1988,9
jpn,1989,10
jpn,1990,8
jpn,1991,9
jpn,1992,9
jpn,1993,7
jpn,1994,6
jpn,1995,7
jpn,1996,6
jpn,1997,7
jpn,1998,7
jpn,1999,6
jpn,2000,7
jpn,2001,7
jpn,2002,7
jpn,2003,6
jpn,2004,4
jpn,2006,5
jpn,2007,3
jpn,2008,4
jpn,2009,5
jpn,2010,4
jpn,2011,4
jpn,2012,4
jpn,2013,3
jpn,2014,3
jpn,2015,4
kaz,1985,46
kaz,1986,45
kaz,1987,46
kaz,1988,49
kaz,1989,52
kaz,1990,52
kaz,1991,47
kaz,1992,56
kaz,1993,48
kaz,1994,49
kaz,1995,56
kaz,1996,50
kaz,1997,53
kaz,1998,50
kaz,1999,41
kaz,2000,40
kaz,2001,36
kaz,2002,32
kaz,2003,25
kaz,2004,22
kaz,2005,28
kaz,2006,32
kaz,2007,33
kaz,2008,25
kaz,2010,29
kaz,2011,19
kaz,2012,18
kaz,2013,15
kaz,2014,9
kaz,2015,9
ken,1998,888
ken,2003,557
ken,2009,724
ken,2014,377
kgz,1985,42
kgz,1986,55
kgz,1987,53
kgz,1988,52
kgz,1989,40
kgz,1990,59
kgz,1991,53
kgz,1992,48
kgz,1993,40
kgz,1994,37
kgz,1995,42
kgz,1996,23
kgz,1997,56
kgz,1998,31
kgz,1999,41
kgz,2000,39
kgz,2001,39
kgz,2002,51
kgz,2003,50
kgz,2004,52
kgz,2005,60
kgz,2006,58
kgz,2007,52
kgz,2008,54
kgz,2009,62
kgz,2010,51
kgz,2011,52
kgz,2012,46
kgz,2013,35
kgz,2014,50
kgz,2015,39
kgz,2016,30
khm,1998,635
khm,2000,497
khm,2005,559
khm,2008,548
khm,2010,226
khm,2014,184
kir,1991,76
kir,1993,226
kir,1994,38
kir,1995,38
kir,1996,38
kir,1997,116
kir,1998,0
kir,1999,39
kor,1985,16
kor,1986,15
kor,1987,10
kor,1988,10
kor,1989,9
kor,1990,13
kor,1991,14
kor,1992,13
kor,1993,13
kor,1994,12
kor,1997,10
kor,1998,10
kor,1999,13
kor,2000,11
kor,2001,13
kor,2002,13
kor,2003,12
kor,2004,12
kor,2005,11
kor,2006,12
kor,2007,10
kor,2008,9
kor,2009,13
kor,2011,16
kor,2012,19
kor,2013,12
kor,2014,11
kor,2015,9
kor,2016,8
kwt,1985,4
kwt,1986,5
kwt,1987,2
kwt,1993,3
kwt,1994,3
kwt,1995,3
kwt,1996,7
kwt,1997,17
kwt,1998,7
kwt,1999,7
kwt,2000,5
kwt,2001,2
kwt,2002,7
kwt,2003,2
kwt,2004,12
kwt,2005,4
kwt,2006,2
kwt,2007,0
kwt,2008,9
kwt,2009,12
kwt,2010,5
kwt,2011,10
kwt,2012,2
lao,1995,594
lao,2005,407
lao,2011,444
lao,2015,217
lbn,2009,17
lbn,2018,46
lbr,2007,1114
lbr,2008,495
lbr,2013,949
lca,1986,25
lca,1987,25
lca,1988,0
lca,1989,25
lca,1990,51
lca,1991,52
lca,1992,0
lca,1993,27
lca,1994,0
lca,1995,0
lca,1996,29
lca,1997,0
lca,1998,0
lca,1999,33
lca,2000,103
lca,2001,36
lca,2002,38
lca,2003,158
lca,2004,163
lca,2005,84
lca,2006,43
lca,2008,44
lca,2009,0
lca,2010,133
lca,2011,44
lca,2012,45
lca,2013,45
lca,2014,90
lka,1985,51
lka,1986,44
lka,1996,20
lka,1997,33
lka,1998,24
lka,1999,17
lka,2000,21
lka,2001,18
lka,2002,17
lka,2003,20
lka,2004,52
lka,2005,165
lka,2006,15
lka,2007,51
lka,2008,48
lka,2009,52
lka,2010,68
lka,2011,34
lka,2012,36
lka,2013,42
lka,2014,36
lka,2015,35
lka,2016,37
lka,2017,37
lka,2018,43
lso,1996,397
lso,2004,690
lso,2006,706
lso,2009,954
lso,2014,649
ltu,1985,23
ltu,1986,28
ltu,1987,23
ltu,1988,19
ltu,1989,29
ltu,1990,24
ltu,1991,21
ltu,1992,22
ltu,1993,12
ltu,1994,15
ltu,1995,16
ltu,1996,12
ltu,1997,15
ltu,1998,14
ltu,1999,14
ltu,2000,9
ltu,2001,12
ltu,2002,19
ltu,2003,3
ltu,2004,16
ltu,2005,13
ltu,2006,0
ltu,2007,6
ltu,2008,10
ltu,2009,0
ltu,2010,6
ltu,2011,6
ltu,2012,9
ltu,2013,6
ltu,2014,3
ltu,2015,10
ltu,2016,7
ltu,2017,7
lux,1985,0
lux,1986,0
lux,1987,23
lux,1988,0
lux,1989,0
lux,1990,21
lux,1991,0
lux,1992,0
lux,1993,0
lux,1994,19
lux,1995,18
lux,1996,0
lux,1997,0
lux,1998,18
lux,1999,0
lux,2000,19
lux,2001,0
lux,2002,0
lux,2003,0
lux,2004,19
lux,2005,19
lux,2006,0
lux,2007,18
lux,2008,18
lux,2009,0
lux,2010,17
lux,2011,0
lux,2012,17
lux,2013,0
lux,2014,0
lux,2015,0
lva,1985,29
lva,1986,34
lva,1987,42
lva,1988,30
lva,1989,58
lva,1990,25
lva,1991,33
lva,1992,32
lva,1993,28
lva,1994,43
lva,1995,21
lva,1996,18
lva,1997,39
lva,1998,41
lva,1999,41
lva,2000,26
lva,2001,25
lva,2002,5
lva,2003,14
lva,2004,9
lva,2005,5
lva,2006,9
lva,2007,27
lva,2008,9
lva,2009,36
lva,2010,18
lva,2011,0
lva,2012,19
lva,2013,9
lva,2014,10
lva,2015,57
mar,1992,314
mar,1997,216
mar,2003,343
mar,2010,129
mar,2011,88
mda,1985,49
mda,1986,34
mda,1987,42
mda,1988,35
mda,1989,33
mda,1990,42
mda,1991,46
mda,1992,50
mda,1993,52
mda,1994,25
mda,1995,38
mda,1996,38
mda,1997,41
mda,1998,28
mda,1999,22
mda,2000,21
mda,2001,35
mda,2002,25
mda,2003,19
mda,2004,21
mda,2005,19
mda,2009,15
mda,2010,40
mda,2011,11
mda,2012,27
mda,2013,14
mda,2014,16
mda,2015,28
mda,2016,17
mdg,2004,621
mdg,2009,504
mdv,2000,50
mdv,2001,51
mdv,2002,119
mdv,2003,0
mdv,2004,33
mdv,2005,16
mdv,2007,30
mdv,2008,58
mdv,2010,96
mdv,2011,54
mdv,2015,27
mex,1985,71
mex,1986,69
mex,1987,64
mex,1988,63
mex,1989,62
mex,1990,61
mex,1991,58
mex,1992,58
