geo,time,en_atm_co2e_pc
hrv,2008,5.04443
hrv,2009,4.71989
hrv,2010,4.5304
hrv,2011,4.44795
hrv,2012,4.09133
hrv,2013,4.00405
hrv,2014,3.85524
hrv,2015,3.96802
hrv,2016,4.05812
hrv,2017,4.23806
hrv,2018,4.05593
hti,1990,0.14493
hti,1991,0.1393
hti,1992,0.12296
hti,1993,0.09383
hti,1994,0.02499
hti,1995,0.11621
hti,1996,0.13439
hti,1997,0.15814
hti,1998,0.16025
hti,1999,0.16588
hti,2000,0.17368
hti,2001,0.18586
hti,2002,0.20904
hti,2003,0.20337
hti,2004,0.18459
hti,2005,0.18596
hti,2006,0.18406
hti,2007,0.21484
hti,2008,0.21044
hti,2009,0.2031
hti,2010,0.24725
hti,2011,0.27722
hti,2012,0.24388
hti,2013,0.26248
hti,2014,0.29007
hti,2015,0.31041
hti,2016,0.31365
hti,2017,0.30686
hti,2018,0.29937
hun,1990,6.49895
hun,1991,6.22265
hun,1992,5.59341
hun,1993,5.63648
hun,1994,5.5862
hun,1995,5.56009
hun,1996,5.66954
hun,1997,5.53813
hun,1998,5.58609
hun,1999,5.65664
hun,2000,5.35013
hun,2001,5.52634
hun,2002,5.47614
hun,2003,5.74853
hun,2004,5.57922
hun,2005,5.5477
hun,2006,5.5067
hun,2007,5.35612
hun,2008,5.28283
hun,2009,4.77319
hun,2010,4.78799
hun,2011,4.7043
hun,2012,4.37786
hun,2013,4.12005
hun,2014,4.11799
hun,2015,4.40718
hun,2016,4.53229
hun,2017,4.75584
hun,2018,4.74551
idn,1990,0.81576
idn,1991,0.87674
idn,1992,0.91036
idn,1993,0.97186
idn,1994,1.01554
idn,1995,1.13155
idn,1996,1.17298
idn,1997,1.2704
idn,1998,1.26937
idn,1999,1.33734
idn,2000,1.32459
idn,2001,1.40761
idn,2002,1.40809
idn,2003,1.52227
idn,2004,1.53687
idn,2005,1.52194
idn,2006,1.58775
idn,2007,1.63521
idn,2008,1.60182
idn,2009,1.65321
idn,2010,1.72407
idn,2011,1.96013
idn,2012,1.95913
idn,2013,1.80425
idn,2014,1.9208
idn,2015,1.89966
idn,2016,1.89244
idn,2017,2.01367
idn,2018,2.17846
ind,1990,0.6441
ind,1991,0.68143
ind,1992,0.69312
ind,1993,0.70354
ind,1994,0.72753
ind,1995,0.76884
ind,1996,0.79066
ind,1997,0.82074
ind,1998,0.82378
ind,1999,0.87094
ind,2000,0.88983
ind,2001,0.88733
ind,2002,0.90324
ind,2003,0.91396
ind,2004,0.96244
ind,2005,0.9914
ind,2006,1.04184
ind,2007,1.12922
ind,2008,1.1859
ind,2009,1.28808
ind,2010,1.34921
ind,2011,1.40832
ind,2012,1.50782
ind,2013,1.53556
ind,2014,1.64933
ind,2015,1.6412
ind,2016,1.64836
ind,2017,1.71919
ind,2018,1.79983
irl,1990,8.82192
irl,1991,8.91565
irl,1992,8.87751
irl,1993,8.8696
irl,1994,9.16615
irl,1995,9.2883
irl,1996,9.61647
irl,1997,9.83895
irl,1998,10.41561
irl,1999,10.72764
irl,2000,11.20054
irl,2001,11.61593
irl,2002,11.20056
irl,2003,11.06462
irl,2004,11.0214
irl,2005,11.24542
irl,2006,11.18731
irl,2007,10.68893
irl,2008,10.32399
irl,2009,9.04446
irl,2010,8.90978
irl,2011,7.93872
irl,2012,8.06604
irl,2013,7.72522
irl,2014,7.63246
irl,2015,7.86694
irl,2016,8.14033
irl,2017,7.80673
irl,2018,7.62433
irn,1990,3.17992
irn,1991,3.77382
irn,1992,3.97071
irn,1993,3.8725
irn,1994,4.31057
irn,1995,4.4334
irn,1996,4.4986
irn,1997,4.61557
irn,1998,4.57748
irn,1999,5.03712
irn,2000,5.19251
irn,2001,5.28239
irn,2002,5.47999
irn,2003,5.73493
irn,2004,6.08705
irn,2005,6.46767
irn,2006,6.95587
irn,2007,7.34183
irn,2008,7.40551
irn,2009,7.56162
irn,2010,7.46843
irn,2011,7.52637
irn,2012,7.56051
irn,2013,7.74666
irn,2014,7.88309
irn,2015,7.67248
irn,2016,7.61349
irn,2017,7.69493
irn,2018,7.69301
irq,1990,3.72292
irq,1991,2.61439
irq,1992,3.66195
irq,1993,4.68318
irq,1994,5.10406
irq,1995,4.76939
irq,1996,4.72596
irq,1997,5.40076
irq,1998,3.68358
irq,1999,2.83352
irq,2000,3.17352
irq,2001,3.48229
irq,2002,3.18507
irq,2003,2.81074
irq,2004,2.86123
irq,2005,3.27721
irq,2006,3.05631
irq,2007,2.77558
irq,2008,3.0311
irq,2009,3.71102
irq,2010,4.04243
irq,2011,4.26456
irq,2012,4.76199
irq,2013,4.90242
irq,2014,4.90644
