geo,time,sp_pop_totl_ma_in
aus,1985,7864596
aus,1986,7994150
aus,1987,8115539
aus,1988,8247505
aus,1989,8385577
aus,1990,8507178
aus,1991,8611895
aus,1992,8711806
aus,1993,8792533
aus,1994,8882883
aus,1995,8990295
aus,1996,9111834
aus,1997,9219689
aus,1998,9323022
aus,1999,9436429
aus,2000,9554138
aus,2001,9685959
aus,2002,9805087
aus,2003,9926226
aus,2004,10042276
aus,2005,10177992
aus,2006,10334118
aus,2007,10405448
aus,2008,10622626
aus,2009,10847891
aus,2010,11017892
aus,2011,11167269
aus,2012,11355294
aus,2013,11541758
aus,2014,11705167
aus,2015,11867302
aus,2016,12049619
aus,2017,12252228
aus,2018,12441473
aus,2019,12632259
aus,2020,12794929
aut,1960,3282797
aut,1961,3303028
aut,1962,3325774
aut,1963,3349873
aut,1964,3375100
aut,1965,3400030
aut,1966,3426982
aut,1967,3455792
aut,1968,3476922
aut,1969,3492071
aut,1970,3507355
aut,1971,3526064
aut,1972,3549599
aut,1973,3572210
aut,1974,3581050
aut,1975,3574148
aut,1976,3570260
aut,1977,3573926
aut,1978,3573309
aut,1979,3569618
aut,1980,3572232
aut,1981,3584241
aut,1982,3589984
aut,1983,3587587
aut,1984,3590946
aut,1985,3596364
aut,1986,3602463
aut,1987,3608671
aut,1988,3618029
aut,1989,3639196
aut,1990,3672618
aut,1991,3715871
aut,1992,3764035
aut,1993,3802473
aut,1994,3824118
aut,1995,3836304
aut,1996,3847121
aut,1997,3856495
aut,1998,3865064
aut,1999,3876199
aut,2000,3888395
aut,2001,3905356
aut,2002,3925924
aut,2003,3945945
aut,2004,3971306
aut,2005,3999505
aut,2006,4020777
aut,2007,4035626
aut,2008,4050430
aut,2009,4063492
aut,2010,4075960
aut,2011,4092609
aut,2012,4114435
aut,2013,4142296
aut,2014,4178984
aut,2015,4231048
aut,2016,4282881
aut,2017,4319226
aut,2018,4346935
aut,2019,4372358
aut,2020,4395554
aze,1960,1863218
aze,1961,1932010
aze,1962,2003976
aze,1963,2077303
aze,1964,2149591
aze,1965,2219055
aze,1966,2285021
aze,1967,2347682
aze,1968,2407315
aze,1969,2464556
aze,1970,2519915
aze,1971,2573344
aze,1972,2624774
aze,1973,2674698
aze,1974,2723756
aze,1975,2772482
aze,1976,2821130
aze,1977,2869763
aze,1978,2918475
aze,1979,2967303
aze,1980,3016299
aze,1981,3065466
aze,1982,3114937
aze,1983,3165024
aze,1984,3216110
aze,1985,3268404
aze,1986,3321893
aze,1987,3376315
aze,1988,3431351
aze,1989,3486551
aze,1990,3508414
aze,1991,3553964
aze,1992,3607008
aze,1993,3661304
aze,1994,3710415
aze,1995,3753100
aze,1996,3790889
aze,1997,3827453
aze,1998,3864371
aze,1999,3899993
aze,2000,3935204
aze,2001,3970490
aze,2002,4006302
aze,2003,4043665
aze,2004,4086138
aze,2005,4134503
aze,2006,4185828
aze,2007,4238613
aze,2008,4333182
aze,2009,4428526
aze,2010,4485924
aze,2011,4549072
aze,2012,4614067
aze,2013,4678173
aze,2014,4740934
aze,2015,4801750
aze,2016,4859774
aze,2017,4911735
aze,2018,4958380
aze,2019,5004135
aze,2020,5041659
bdi,1960,1350782
bdi,1961,1378165
bdi,1962,1405732
bdi,1963,1434407
bdi,1964,1465447
bdi,1965,1499555
bdi,1966,1537646
bdi,1967,1578997
bdi,1968,1620716
bdi,1969,1658837
bdi,1970,1690760
bdi,1971,1715245
bdi,1972,1733799
bdi,1973,1750074
bdi,1974,1769219
bdi,1975,1794987
bdi,1976,1828659
bdi,1977,1869247
bdi,1978,1915508
bdi,1979,1965256
bdi,1980,2016889
bdi,1981,2069821
bdi,1982,2124546
bdi,1983,2181826
bdi,1984,2242826
bdi,1985,2308147
bdi,1986,2378099
bdi,1987,2451574
bdi,1988,2525968
bdi,1989,2597831
bdi,1990,2664653
bdi,1991,2726278
bdi,1992,2783421
bdi,1993,2835675
bdi,1994,2882782
bdi,1995,2925148
bdi,1996,2962031
bdi,1997,2995037
bdi,1998,3029760
bdi,1999,3073615
bdi,2000,3131928
bdi,2001,3206898
bdi,2002,3297229
bdi,2003,3400372
bdi,2004,3512136
bdi,2005,3629307
bdi,2006,3751517
bdi,2007,3879444
bdi,2008,4012093
bdi,2009,4148462
bdi,2010,4287851
bdi,2011,4429454
bdi,2012,4573301
bdi,2013,4720469
bdi,2014,4872574
bdi,2015,5030735
bdi,2016,5195257
bdi,2017,5365496
bdi,2018,5540530
bdi,2019,5718988
bdi,2020,5899864
bel,1960,4503524
bel,1961,4517094
bel,1962,4533442
bel,1963,4565624
bel,1964,4607152
bel,1965,4647323
bel,1966,4677048
bel,1967,4701444
bel,1968,4718271
bel,1969,4729870
bel,1970,4732626
bel,1971,4739202
bel,1972,4755653
bel,1973,4768512
bel,1974,4781582
bel,1975,4793742
bel,1976,4800959
bel,1977,4805831
bel,1978,4809540
bel,1979,4813315
bel,1980,4818261
bel,1981,4817946
bel,1982,4816634
bel,1983,4816431
bel,1984,4816750
bel,1985,4818768
bel,1986,4821284
bel,1987,4826362
bel,1988,4842768
bel,1989,4861369
bel,1990,4876707
bel,1991,4895500
bel,1992,4915880
bel,1993,4935471
bel,1994,4950976
bel,1995,4961594
bel,1996,4971479
bel,1997,4983657
bel,1998,4994557
bel,1999,5006580
bel,2000,5019740
bel,2001,5038558
bel,2002,5063146
bel,2003,5086571
bel,2004,5110738
bel,2005,5140743
bel,2006,5176325
bel,2007,5215882
bel,2008,5258403
bel,2009,5301677
bel,2010,5350771
bel,2011,5420651
bel,2012,5453743
bel,2013,5479418
bel,2014,5505521
bel,2015,5541882
bel,2016,5577477
bel,2017,5609017
bel,2018,5645728
bel,2019,5686560
bel,2020,5721845
ben,1960,1156651
ben,1961,1174504
ben,1962,1193682
ben,1963,1214262
ben,1964,1236325
ben,1965,1259942
ben,1966,1285185
ben,1967,1312016
ben,1968,1340313
ben,1969,1369843
ben,1970,1400496
ben,1971,1432233
ben,1972,1465178
ben,1973,1499545
ben,1974,1535628
ben,1975,1573665
ben,1976,1613795
ben,1977,1656030
ben,1978,1700361
ben,1979,1746752
ben,1980,1795184
ben,1981,1845823
ben,1982,1898839
ben,1983,1954266
ben,1984,2012142
ben,1985,2072577
ben,1986,2135320
ben,1987,2200613
ben,1988,2269535
ben,1989,2343546
ben,1990,2423540
ben,1991,2510180
ben,1992,2602820
ben,1993,2699501
ben,1994,2797455
ben,1995,2894758
ben,1996,2990571
ben,1997,3085569
ben,1998,3181238
ben,1999,3279810
ben,2000,3382858
ben,2001,3490950
ben,2002,3603447
ben,2003,3719314
ben,2004,3836993
ben,2005,3955402
ben,2006,4074233
ben,2007,4194026
ben,2008,4315622
ben,2009,4440265
ben,2010,4568834
ben,2011,4701607
ben,2012,4838355
ben,2013,4978896
ben,2014,5122907
ben,2015,5270132
ben,2016,5420569
ben,2017,5574297
ben,2018,5731239
ben,2019,5891256
ben,2020,6054248
bfa,1960,2457983
bfa,1961,2484676
bfa,1962,2511378
bfa,1963,2538871
bfa,1964,2568307
bfa,1965,2600482
bfa,1966,2635735
bfa,1967,2673844
bfa,1968,2714312
bfa,1969,2756404
bfa,1970,2799620
bfa,1971,2843984
bfa,1972,2889858
bfa,1973,2937425
bfa,1974,2986976
bfa,1975,3038851
bfa,1976,3093039
bfa,1977,3149803
bfa,1978,3210037
bfa,1979,3274868
bfa,1980,3345105
bfa,1981,3421194
bfa,1982,3502957
bfa,1983,3589836
bfa,1984,3680938
bfa,1985,3775648
bfa,1986,3873857
bfa,1987,3975823
bfa,1988,4081652
bfa,1989,4191544
bfa,1990,4305690
bfa,1991,4424200
bfa,1992,4547103
bfa,1993,4674453
bfa,1994,4806272
bfa,1995,4942641
bfa,1996,5083681
bfa,1997,5229685
bfa,1998,5381021
bfa,1999,5538200
bfa,2000,5701662
bfa,2001,5871499
bfa,2002,6047905
bfa,2003,6231414
bfa,2004,6422637
bfa,2005,6622003
bfa,2006,6829728
bfa,2007,7045686
bfa,2008,7269411
bfa,2009,7500236
bfa,2010,7737619
bfa,2011,7981454
bfa,2012,8231729
bfa,2013,8488213
bfa,2014,8750631
bfa,2015,9018772
bfa,2016,9292515
bfa,2017,9571848
bfa,2018,9856874
bfa,2019,10147774
bfa,2020,10444713
bgd,1960,24959605
bgd,1961,25646775
bgd,1962,26351774
bgd,1963,27086479
bgd,1964,27867875
bgd,1965,28704369
bgd,1966,29609836
bgd,1967,30570718
bgd,1968,31535595
bgd,1969,32434720
bgd,1970,33222324
bgd,1971,33874845
bgd,1972,34418352
bgd,1973,34917791
bgd,1974,35465701
bgd,1975,36129196
bgd,1976,36929939
bgd,1977,37848923
bgd,1978,38862775
bgd,1979,39931814
bgd,1980,41026191
bgd,1981,42140181
bgd,1982,43281857
bgd,1983,44450469
bgd,1984,45647737
bgd,1985,46873365
bgd,1986,48126407
bgd,1987,49400279
bgd,1988,50682701
bgd,1989,51958238
bgd,1990,53216139
bgd,1991,54448120
bgd,1992,55656707
bgd,1993,56855150
bgd,1994,58063172
bgd,1995,59293801
bgd,1996,60547969
bgd,1997,61816493
bgd,1998,63089550
bgd,1999,64353201
bgd,2000,65594998
bgd,2001,66817467
bgd,2002,68017425
bgd,2003,69170298
bgd,2004,70244874
bgd,2005,71221594
bgd,2006,72087511
bgd,2007,72855838
bgd,2008,73565712
bgd,2009,74272292
bgd,2010,75015692
bgd,2011,75809694
bgd,2012,76643893
bgd,2013,77504601
bgd,2014,78368220
bgd,2015,79217157
bgd,2016,80048910
bgd,2017,80869068
bgd,2018,81677117
bgd,2019,82473791
bgd,2020,83259108
bgr,1960,3928038
bgr,1961,3966741
bgr,1962,4002587
bgr,1963,4036127
bgr,1964,4070075
bgr,1965,4100691
bgr,1966,4128134
bgr,1967,4154504
bgr,1968,4184251
bgr,1969,4216379
bgr,1970,4243701
bgr,1971,4266498
bgr,1972,4285526
bgr,1973,4306804
bgr,1974,4334397
bgr,1975,4353961
bgr,1976,4371306
bgr,1977,4392346
bgr,1978,4395298
bgr,1979,4398923
bgr,1980,4413918
bgr,1981,4425456
bgr,1982,4434965
bgr,1983,4442061
bgr,1984,4448115
bgr,1985,4443384
bgr,1986,4437237
bgr,1987,4438504
bgr,1988,4437988
bgr,1989,4380730
bgr,1990,4296745
bgr,1991,4248622
bgr,1992,4197417
bgr,1993,4158287
bgr,1994,4138629
bgr,1995,4115072
bgr,1996,4089222
bgr,1997,4060235
bgr,1998,4029604
bgr,1999,4003973
bgr,2000,3981626
bgr,2001,3901056
bgr,2002,3815705
bgr,2003,3784492
bgr,2004,3755403
bgr,2005,3727030
bgr,2006,3699084
bgr,2007,3672616
bgr,2008,3647696
bgr,2009,3624873
bgr,2010,3601310
bgr,2011,3578030
bgr,2012,3556675
bgr,2013,3535805
bgr,2014,3514595
bgr,2015,3491057
bgr,2016,3465478
bgr,2017,3439061
bgr,2018,3413178
bgr,2019,3388224
bgr,2020,3367114
bhr,1960,86962
bhr,1961,90319
bhr,1962,93683
bhr,1963,96943
bhr,1964,99918
bhr,1965,102536
bhr,1966,104744
bhr,1967,106687
bhr,1968,108731
bhr,1969,111351
bhr,1970,114923
bhr,1971,119423
bhr,1972,124807
bhr,1973,131354
bhr,1974,139370
bhr,1975,149003
bhr,1976,160516
bhr,1977,173641
bhr,1978,187252
bhr,1979,199838
bhr,1980,210360
bhr,1981,218279
bhr,1982,224031
bhr,1983,228601
bhr,1984,233479
bhr,1985,239714
bhr,1986,247704
bhr,1987,257064
bhr,1988,267167
bhr,1989,277085
bhr,1990,286168
bhr,1991,294449
bhr,1992,302320
bhr,1993,309881
bhr,1994,317318
bhr,1995,324897
bhr,1996,332610
bhr,1997,340856
bhr,1998,350774
bhr,1999,363866
bhr,2000,381225
bhr,2001,402689
bhr,2002,427995
bhr,2003,457878
bhr,2004,493191
bhr,2005,534140
bhr,2006,582067
bhr,2007,635793
bhr,2008,690043
bhr,2009,737698
bhr,2010,774051
bhr,2011,796037
bhr,2012,806030
bhr,2013,811369
bhr,2014,822540
bhr,2015,846756
bhr,2016,886938
bhr,2017,939850
bhr,2018,998976
bhr,2019,1054797
bhr,2020,1100474
bhs,1960,52386
bhs,1961,55332
bhs,1962,58466
bhs,1963,61744
bhs,1964,65094
bhs,1965,68455
bhs,1966,71830
bhs,1967,75180
bhs,1968,78406
bhs,1969,81341
bhs,1970,83904
bhs,1971,86032
bhs,1972,87763
bhs,1973,89292
bhs,1974,90856
bhs,1975,92658
bhs,1976,94746
bhs,1977,97063
bhs,1978,99544
bhs,1979,102076
bhs,1980,104563
bhs,1981,107003
bhs,1982,109423
bhs,1983,111814
bhs,1984,114143
bhs,1985,116416
bhs,1986,118609
bhs,1987,120722
bhs,1988,122802
bhs,1989,124924
bhs,1990,127134
bhs,1991,129473
bhs,1992,131916
bhs,1993,134326
bhs,1994,136538
bhs,1995,138433
bhs,1996,139955
bhs,1997,141185
bhs,1998,142301
bhs,1999,143567
bhs,2000,145175
bhs,2001,147188
bhs,2002,149533
bhs,2003,152147
bhs,2004,154923
bhs,2005,157773
bhs,2006,160699
bhs,2007,163689
bhs,2008,166651
bhs,2009,169450
bhs,2010,172007
bhs,2011,174271
bhs,2012,176254
bhs,2013,178056
bhs,2014,179810
bhs,2015,181608
bhs,2016,183477
bhs,2017,185384
bhs,2018,187322
bhs,2019,189230
bhs,2020,191093
bih,1960,1582397
bih,1961,1615288
bih,1962,1649111
bih,1963,1682650
bih,1964,1714247
bih,1965,1742749
bih,1966,1767646
bih,1967,1789413
bih,1968,1809182
bih,1969,1828621
bih,1970,1848924
bih,1971,1870489
bih,1972,1892976
bih,1973,1915993
bih,1974,1938881
bih,1975,1961171
bih,1976,1982616
bih,1977,2003392
bih,1978,2023998
bih,1979,2045094
bih,1980,2067071
bih,1981,2089313
bih,1982,2111094
bih,1983,2132571
bih,1984,2153967
bih,1985,2174947
bih,1986,2197297
bih,1987,2219683
bih,1988,2235060
bih,1989,2233949
bih,1990,2210490
bih,1991,2161010
bih,1992,2089826
bih,1993,2008748
bih,1994,1934311
bih,1995,1878407
bih,1996,1845206
bih,1997,1831234
bih,1998,1831294
bih,1999,1836881
bih,2000,1841611
bih,2001,1844260
bih,2002,1846444
bih,2003,1847908
bih,2004,1848921
bih,2005,1849515
bih,2006,1849596
bih,2007,1848277
bih,2008,1843992
bih,2009,1834800
bih,2010,1819537
bih,2011,1797359
bih,2012,1769247
bih,2013,1738041
bih,2014,1707765
bih,2015,1681343
bih,2016,1659723
bih,2017,1642272
bih,2018,1628375
bih,2019,1616799
bih,2020,1606609
blr,1960,3704077
blr,1961,3745469
blr,1962,3789977
blr,1963,3836254
blr,1964,3882962
blr,1965,3928741
blr,1966,3974431
blr,1967,4020929
blr,1968,4067050
blr,1969,4111663
blr,1970,4153574
blr,1971,4193727
blr,1972,4232968
blr,1973,4269924
blr,1974,4303195
blr,1975,4331364
blr,1976,4356984
blr,1977,4386270
blr,1978,4420053
blr,1979,4452168
blr,1980,4483914
blr,1981,4518883
blr,1982,4552945
blr,1983,4587332
blr,1984,4622012
blr,1985,4656313
blr,1986,4692767
blr,1987,4729787
blr,1988,4748513
blr,1989,4766829
blr,1990,4778733
blr,1991,4782033
blr,1992,4792159
blr,1993,4801566
blr,1994,4794929
blr,1995,4779345
blr,1996,4764484
blr,1997,4746842
blr,1998,4727720
blr,1999,4707626
blr,2000,4684735
blr,2001,4657851
blr,2002,4623609
blr,2003,4585502
blr,2004,4548193
blr,2005,4511525
blr,2006,4478869
blr,2007,4453737
blr,2008,4434493
blr,2009,4420660
blr,2010,4409141
blr,2011,4398216
blr,2012,4391919
blr,2013,4391564
blr,2014,4395494
blr,2015,4402486
blr,2016,4406998
blr,2017,4402442
blr,2018,4393183
blr,2019,4384715
blr,2020,4367071
blz,1960,45463
blz,1961,46796
blz,1962,48162
blz,1963,49568
blz,1964,51028
blz,1965,52570
blz,1966,54199
blz,1967,55891
blz,1968,57583
blz,1969,59204
blz,1970,60684
blz,1971,62005
blz,1972,63211
blz,1973,64317
blz,1974,65384
blz,1975,66465
blz,1976,67556
blz,1977,68664
blz,1978,69858
blz,1979,71184
blz,1980,72723
blz,1981,74489
blz,1982,76447
blz,1983,78578
blz,1984,80800
blz,1985,83074
blz,1986,85418
blz,1987,87839
blz,1988,90234
blz,1989,92506
blz,1990,94572
blz,1991,96367
blz,1992,97953
blz,1993,99583
blz,1994,101602
blz,1995,104241
blz,1996,107602
blz,1997,111576
blz,1998,115942
blz,1999,120333
blz,2000,124516
blz,2001,128405
blz,2002,132065
blz,2003,135579
blz,2004,139086
blz,2005,142662
blz,2006,146327
blz,2007,150036
blz,2008,153783
blz,2009,157548
blz,2010,161328
blz,2011,165115
blz,2012,168917
blz,2013,172699
blz,2014,176447
blz,2015,180135
blz,2016,183752
blz,2017,187296
blz,2018,190798
blz,2019,194281
blz,2020,197761
bol,1960,1812122
bol,1961,1848877
bol,1962,1886689
bol,1963,1925617
bol,1964,1965777
bol,1965,2007246
bol,1966,2050039
bol,1967,2094128
bol,1968,2139599
bol,1969,2186559
bol,1970,2235078
bol,1971,2285142
bol,1972,2336701
bol,1973,2389728
bol,1974,2444186
bol,1975,2500001
bol,1976,2557248
bol,1977,2615855
bol,1978,2675418
bol,1979,2735382
bol,1980,2795410
bol,1981,2855303
bol,1982,2915272
bol,1983,2975874
bol,1984,3037924
bol,1985,3102005
bol,1986,3168260
bol,1987,3236528
bol,1988,3306683
bol,1989,3378480
bol,1990,3451704
bol,1991,3526363
bol,1992,3602428
bol,1993,3679617
bol,1994,3757578
bol,1995,3836048
bol,1996,3914847
bol,1997,3993968
bol,1998,4073538
bol,1999,4153775
bol,2000,4234820
bol,2001,4316675
bol,2002,4399179
bol,2003,4482054
bol,2004,4564936
bol,2005,4647523
bol,2006,4729693
bol,2007,4811456
bol,2008,4892972
bol,2009,4974475
bol,2010,5056110
bol,2011,5137926
bol,2012,5219814
bol,2013,5301540
bol,2014,5382819
bol,2015,5463444
bol,2016,5543317
