geo,time,er_fsh_aqua_mt
bdi,1995,50
bdi,1996,50
bdi,1997,50
bdi,1998,50
bdi,1999,50
bdi,2000,50
bdi,2001,50
bdi,2002,50
bdi,2003,50
bdi,2004,50
bdi,2005,50
bdi,2006,50
bdi,2007,50
bdi,2008,50
bdi,2009,50
bdi,2010,17.3
bdi,2011,61.7
bdi,2012,160.39999
bdi,2013,385
bdi,2014,805
bdi,2015,1326
bdi,2016,1400
bdi,2017,1470
bdi,2018,1550
bel,1975,4
bel,1976,7
bel,1977,12
bel,1978,20
bel,1979,32
bel,1980,90
bel,1981,147
bel,1982,203
bel,1983,255
bel,1984,310
bel,1985,440
bel,1986,530
bel,1987,600
bel,1988,700
bel,1989,735
bel,1990,675
bel,1991,846
bel,1992,846
bel,1993,846
bel,1994,846
bel,1995,846
bel,1996,946
bel,1997,846
bel,1998,846
bel,1999,1597
bel,2000,1871
bel,2001,1830
bel,2002,1834
bel,2003,1261
bel,2004,739
bel,2005,414
bel,2006,128
bel,2007,128
bel,2008,126
bel,2009,576
bel,2010,539
bel,2011,101
bel,2012,277
bel,2013,212
bel,2014,214
bel,2015,82
bel,2016,44
bel,2017,75
bel,2018,111
ben,1984,15
ben,1985,11
ben,1986,15
ben,1987,14
ben,1988,80
ben,2002,7
ben,2003,7
ben,2004,7
ben,2005,350
ben,2006,415
ben,2007,178
ben,2008,213
ben,2009,308
ben,2010,364
ben,2011,400
ben,2012,500
ben,2013,667
ben,2014,1425
ben,2015,4459.66016
ben,2016,4207
ben,2017,4529.66016
ben,2018,5114.13672
bfa,1970,0
bfa,1971,0
bfa,1972,0
bfa,1973,0
bfa,1974,0
bfa,1975,0
bfa,1976,0
bfa,1977,0
bfa,1978,0
bfa,1979,0
bfa,1980,0
bfa,1981,0
bfa,1982,0
bfa,1983,114
bfa,1984,74
bfa,1985,33
bfa,1986,30
bfa,1987,26
bfa,1988,7
bfa,1989,6
bfa,1990,6
bfa,1991,5
bfa,1992,5
bfa,1993,0
bfa,1994,0
bfa,1995,0
bfa,1996,30
bfa,1997,45
bfa,1998,40
bfa,1999,25
bfa,2000,5
bfa,2001,5
bfa,2002,5
bfa,2003,5
bfa,2004,5
bfa,2005,65
bfa,2006,250
bfa,2007,348
bfa,2008,475
bfa,2009,275
bfa,2010,280
bfa,2011,300
bfa,2012,302
bfa,2013,320
bfa,2014,301
bfa,2015,280
bfa,2016,440
bfa,2017,512
bfa,2018,548
bgd,1960,49237
bgd,1961,50569
bgd,1962,51944
bgd,1963,53362
bgd,1964,54824
bgd,1965,58030
bgd,1966,57897
bgd,1967,59519
bgd,1968,59460
bgd,1969,62927
bgd,1970,64716
bgd,1971,68080
bgd,1972,68508
bgd,1973,70525
bgd,1974,70970
bgd,1975,73340
bgd,1976,77063
bgd,1977,77230
bgd,1978,82760
bgd,1979,87360
bgd,1980,91030
bgd,1981,96780
bgd,1982,101630
bgd,1983,107000
bgd,1984,117025
bgd,1985,123811
bgd,1986,144723
bgd,1987,166100
bgd,1988,175925
bgd,1989,183505
bgd,1990,192592
bgd,1991,210993
bgd,1992,226863
bgd,1993,237743
bgd,1994,264190
bgd,1995,317073
bgd,1996,379087
bgd,1997,485864
bgd,1998,574812
bgd,1999,593202
bgd,2000,657120
bgd,2001,712640
bgd,2002,786604
bgd,2003,856956
bgd,2004,914752
bgd,2005,882091
bgd,2006,892049
bgd,2007,945812
bgd,2008,1005542
bgd,2009,1064285
bgd,2010,1308515
bgd,2011,1523759
bgd,2012,1726066
bgd,2013,1859808
bgd,2014,1956925
bgd,2015,2060408
bgd,2016,2203554
bgd,2017,2333352
bgd,2018,2405416
bgr,1960,900
bgr,1961,900
bgr,1962,1000
bgr,1963,800
bgr,1964,4100
bgr,1965,5100
bgr,1966,4400
bgr,1967,6800
bgr,1968,5900
bgr,1969,5800
bgr,1970,5600
bgr,1971,5300
bgr,1972,4600
bgr,1973,4900
bgr,1974,5800
bgr,1975,6188
bgr,1976,6250
bgr,1977,8134
bgr,1978,7767
bgr,1979,10042
bgr,1980,11500
bgr,1981,12720
bgr,1982,14636
bgr,1983,12919
bgr,1984,14571
bgr,1985,10560
bgr,1986,12138
bgr,1987,12647
bgr,1988,12141
bgr,1989,11615
bgr,1990,7849
bgr,1991,7798
bgr,1992,8132
bgr,1993,7897
bgr,1994,6100
bgr,1995,4615
bgr,1996,4727
bgr,1997,5437
bgr,1998,4252
bgr,1999,7780
bgr,2000,3654
bgr,2001,2938
bgr,2002,2308
bgr,2003,4465
bgr,2004,2489
bgr,2005,3145
bgr,2006,3257
bgr,2007,4032
bgr,2008,5157
bgr,2009,6722.53809
bgr,2010,7920.61719
bgr,2011,5527.1748
bgr,2012,5975.06006
bgr,2013,12151.65039
bgr,2014,11171.79492
bgr,2015,13536.54883
bgr,2016,15762.15918
bgr,2017,15752.1543
bgr,2018,16341.82422
bhr,1960,0
bhr,1961,0
bhr,1962,0
bhr,1963,0
bhr,1964,0
bhr,1965,0
bhr,1966,0
bhr,1967,0
bhr,1968,0
bhr,1969,0
bhr,1970,0
bhr,1971,0
bhr,1972,0
bhr,1973,0
bhr,1974,0
bhr,1975,0
bhr,1976,0
bhr,1977,0
bhr,1978,0
bhr,1979,0
bhr,1980,0
bhr,1981,0
bhr,1982,0
bhr,1983,0
bhr,1984,0
bhr,1985,0
bhr,1986,0
bhr,1987,0
bhr,1988,0
bhr,1989,0
bhr,1990,0
bhr,1991,0
bhr,1992,0
bhr,1993,0
bhr,1994,0
bhr,1995,4
bhr,1996,3
bhr,1997,0
bhr,1998,1
bhr,1999,3
bhr,2000,12
bhr,2001,0
bhr,2002,3
bhr,2003,4
bhr,2004,8
bhr,2005,3
bhr,2006,2
bhr,2007,1
bhr,2008,2
bhr,2009,2
bhr,2010,3.187
bhr,2011,3.424
bhr,2012,1.725
bhr,2013,0
bhr,2014,5.71
bhr,2015,0
bhr,2016,14.212
bhs,1960,0
bhs,1961,0
bhs,1962,0
bhs,1963,0
bhs,1964,0
bhs,1965,0
bhs,1966,0
bhs,1967,0
bhs,1968,0
bhs,1969,0
bhs,1970,0
bhs,1971,0
bhs,1972,0
bhs,1973,0
bhs,1974,0
bhs,1975,0
bhs,1976,0
bhs,1977,0
bhs,1978,0
bhs,1979,0
bhs,1980,0
bhs,1981,0
bhs,1982,0
bhs,1983,0
bhs,1984,10
bhs,1985,42
bhs,1986,42
bhs,1987,37
bhs,1988,51
bhs,1989,69
bhs,1990,49
bhs,1991,6
bhs,1992,10
bhs,1993,8
bhs,1994,4
bhs,1995,24
bhs,1996,1
bhs,1997,1
bhs,1998,1
bhs,1999,1
bhs,2000,2
bhs,2001,13
bhs,2002,25
bhs,2003,52
bhs,2004,30
bhs,2005,85
bhs,2006,52
bhs,2007,30
bhs,2008,20
bhs,2009,17
bhs,2010,1
bhs,2011,1
bhs,2012,1
bhs,2013,1
bhs,2014,9.35
bhs,2015,9.33
bhs,2016,9
bhs,2017,6
bhs,2018,6.84
bih,2002,4685
bih,2003,6635
bih,2004,6394
bih,2005,7070
bih,2006,7621
bih,2007,7442
bih,2008,7589
bih,2009,7620
bih,2010,7620
bih,2011,4970.2002
bih,2012,3638.30005
bih,2013,2923.5
bih,2014,3397
bih,2015,4450.6001
bih,2016,4563.6001
bih,2017,3760.3999
bih,2018,3638.80005
blr,1988,16152
blr,1989,17817
blr,1990,16638
blr,1991,14750
blr,1992,8415
blr,1993,7018
blr,1994,6934
blr,1995,5463
blr,1996,6038
blr,1997,4322
blr,1998,4727
blr,1999,4824
blr,2000,6716
blr,2001,4666
blr,2002,6523
blr,2003,5393
blr,2004,4150
blr,2005,5648
blr,2006,8406
blr,2007,14091
blr,2008,14636
blr,2009,15659
blr,2010,16265
blr,2011,16293
blr,2012,15499
blr,2013,13548
blr,2014,10658
blr,2015,9130.90039
blr,2016,11199
blr,2017,10353.5
blr,2018,11580.90039
blz,1984,0
blz,1985,0
blz,1986,23
blz,1987,0
blz,1988,0
blz,1989,542
blz,1990,99
blz,1991,158
blz,1992,301
blz,1993,602
blz,1994,656
blz,1995,950
blz,1996,1004
blz,1997,1397
blz,1998,1642
blz,1999,3163
blz,2000,3630
blz,2001,4460
blz,2002,4400
blz,2003,10160
blz,2004,11426
blz,2005,11078
blz,2006,7624
blz,2007,3172
blz,2008,4528
blz,2009,5725
blz,2010,7410.7002
blz,2011,5102
blz,2012,5879.6001
blz,2013,7150
blz,2014,7212.76025
blz,2015,4203
blz,2016,1148
blz,2017,563
blz,2018,563
bol,1987,45
bol,1988,95
bol,1989,348
bol,1990,515
bol,1991,200
bol,1992,266
bol,1993,649
bol,1994,617
bol,1995,616
bol,1996,380
bol,1997,387
bol,1998,385
bol,1999,398
bol,2000,405
bol,2001,320
bol,2002,418
bol,2003,375
bol,2004,450
bol,2005,430
bol,2006,455
bol,2007,585
bol,2008,631
bol,2009,775
bol,2010,856
bol,2011,966
bol,2012,1060
bol,2013,1076
bol,2014,1400
bol,2015,2987.5
bol,2016,3250
bol,2017,3500
bol,2018,3500
bra,1960,0
bra,1961,0
bra,1962,0
bra,1963,0
bra,1964,0
bra,1965,0
bra,1966,0
bra,1967,0
bra,1968,0
bra,1969,10
bra,1970,19
bra,1971,27
bra,1972,50
bra,1973,93
bra,1974,158
bra,1975,286
bra,1976,433
bra,1977,780
bra,1978,1132
bra,1979,1687
bra,1980,3737
bra,1981,5794
bra,1982,7586
bra,1983,9168
bra,1984,10700
bra,1985,10873
