geo,time,sl_emp_totl_sp_ma_ne_zs
aut,1985,67.96
aut,1986,68.34
aut,1987,67.86
aut,1988,67.28
aut,1989,67.35
aut,1990,67.42
aut,1991,67.23
aut,1992,67.2
aut,1993,66.47
aut,1994,68.31
aut,1995,67.71
aut,1996,66.08
aut,1997,65.61
aut,1998,65.49
aut,1999,66.15
aut,2000,65.62
aut,2001,65.27
aut,2002,64.63
aut,2003,64.74
aut,2004,61.36
aut,2005,62.79
aut,2006,63.44
aut,2007,64.54
aut,2008,64.85
aut,2009,63.63
aut,2010,63.75
aut,2011,63.86
aut,2012,63.62
aut,2013,63.33
aut,2014,62.56
aut,2015,62.36
aut,2016,62.49
aut,2017,62.86
aut,2018,63.74
aut,2019,63.93
aut,2020,62.54
aze,1997,49.75
aze,1998,49.6
aze,1999,49.2
aze,2000,73.7
aze,2001,72.3
aze,2002,70.9
aze,2003,69.8
aze,2004,68.6
aze,2005,67.8
aze,2006,67.1
aze,2007,67.22
aze,2008,66.66
aze,2009,65.15
aze,2010,64.85
aze,2011,64.51
aze,2012,64.9
aze,2013,65.3
aze,2014,65.6
aze,2015,65.7
aze,2016,66.6
aze,2017,66.9
aze,2018,66.8
aze,2019,66.9
aze,2020,65.7
bdi,1998,83.9
bdi,2014,76.29
bdi,2017,76.39
bel,1977,50.39
bel,1979,50.41
bel,1980,49.99
bel,1983,60.61
bel,1984,59.27
bel,1985,59.74
bel,1986,59.2
bel,1987,58
bel,1988,57.38
bel,1989,58.26
bel,1990,58.26
bel,1991,58.6
bel,1992,58.22
bel,1993,56.89
bel,1994,56.46
bel,1995,56.71
bel,1996,56.39
bel,1997,56.36
bel,1998,56.05
bel,1999,56.65
bel,2000,58.24
bel,2001,57.1
bel,2002,56.59
bel,2003,55.79
bel,2004,56.29
bel,2005,56.72
bel,2006,56.36
bel,2007,57.02
bel,2008,56.91
bel,2009,55.7
bel,2010,55.87
bel,2011,55.47
bel,2012,55.17
bel,2013,54.51
bel,2014,53.88
bel,2015,53.53
bel,2016,53.99
bel,2017,54.96
bel,2018,55.33
bel,2019,55.74
bel,2020,55.14
ben,2003,73.96
ben,2010,75.37
ben,2011,72.58
ben,2018,68.86
bfa,1985,87.5
bfa,1994,81.6
bfa,2006,83.81
bfa,2014,71.78
bfa,2018,50.46
bgd,1984,97
bgd,1985,96.88
bgd,1986,95.44
bgd,1989,96.19
bgd,1991,98.38
bgd,1996,95.85
bgd,2000,84.4
bgd,2003,83.74
bgd,2006,83.89
bgd,2010,79.21
bgd,2013,79.2
bgd,2016,79.4
bgd,2017,78
bgr,2000,46.9
bgr,2001,44.9
bgr,2002,45.49
bgr,2003,47.62
bgr,2004,49.13
bgr,2005,49.72
bgr,2006,51.76
bgr,2007,54.38
bgr,2008,56.49
bgr,2009,54.88
bgr,2010,52.98
bgr,2011,51.08
bgr,2012,50.79
bgr,2013,51.36
bgr,2014,52.7
bgr,2015,54.14
bgr,2016,54.64
bgr,2017,57.75
bgr,2018,58.41
bgr,2019,60.54
bgr,2020,59.06
bhr,1979,53.91
bhr,1990,55.5
bhr,1991,83.65
bhr,1992,55.9
bhr,1993,57.4
bhr,1994,57.9
bhr,1995,56.3
bhr,1996,55.3
bhr,1997,57.1
bhr,1998,57.6
bhr,1999,58.7
bhr,2000,60.9
bhr,2001,82.42
bhr,2002,67
bhr,2003,73.6
bhr,2004,77.9
bhr,2005,77.66
bhr,2007,75.98
bhr,2009,79.55
bhr,2010,86.94
bhr,2011,86.01
bhr,2015,86.8
bhs,1979,38.41
bhs,1989,49.42
bhs,1991,69.4
bhs,1992,68.8
bhs,1993,71.7
bhs,1994,73.77
bhs,1995,70.6
bhs,1996,72.9
bhs,1997,72.8
bhs,1998,70.62
bhs,1999,75.6
bhs,2001,76.2
bhs,2002,74.5
bhs,2008,70.9
bhs,2009,67.07
bhs,2011,64.7
bhs,2012,67.82
bih,2006,39.37
bih,2007,41.62
bih,2008,44
bih,2009,42.48
bih,2010,41.59
bih,2011,40.82
bih,2012,41.13
bih,2013,40.28
bih,2014,40.81
bih,2015,40.7
bih,2016,42.37
bih,2017,42.75
bih,2018,43.82
bih,2019,44.13
bih,2020,50.87
blr,1997,44.55
blr,2009,63.6
blr,2015,78
blr,2016,69.6
blr,2017,70.4
blr,2018,71.6
blr,2019,71.6
blr,2020,71.86
blz,1994,72.55
blz,1997,72.64
blz,1998,70.26
blz,1999,72.53
blz,2012,74.35
blz,2013,74.27
blz,2014,75.97
blz,2015,74.95
blz,2016,76.01
blz,2017,75.83
blz,2019,77.59
bmu,2000,79.51
bmu,2009,73.17
bmu,2010,74.24
bol,1980,84.73
bol,1981,80.21
bol,1982,77.81
bol,1985,70.13
bol,1986,66.9
bol,1987,67.52
bol,1989,59.15
bol,1990,68.97
bol,1991,65.21
bol,1993,58.9
bol,1994,61.8
bol,1995,75.67
bol,1997,46.13
bol,1999,69.4
bol,2000,84.21
bol,2001,79.9
bol,2002,80
bol,2003,80.3
bol,2004,80.3
bol,2005,76.73
bol,2006,79.22
bol,2007,53.84
bol,2008,80.51
bol,2009,79.96
bol,2011,80.8
bol,2012,78.97
bol,2013,78.71
bol,2014,80.79
bol,2015,77.81
bol,2016,75.6
bol,2017,75.78
bol,2018,77.53
bol,2019,78.3
bol,2020,75.3
bra,1973,88.24
bra,1985,87.9
bra,1986,87.58
bra,1987,87.43
bra,1988,86.74
bra,1989,86.84
bra,1990,85.62
bra,1992,85.81
bra,1993,85.33
bra,1995,78.21
bra,1996,75.86
bra,1997,75.96
bra,1998,74.76
bra,1999,73.98
bra,2001,73.75
bra,2002,73.93
bra,2003,73.2
bra,2004,74.38
bra,2005,74.2
bra,2006,74.36
bra,2007,74.23
bra,2008,74.87
bra,2009,74.05
bra,2011,73.35
bra,2012,71.48
bra,2013,71.49
bra,2014,71.19
bra,2015,69.76
bra,2016,67.15
bra,2017,66.05
bra,2018,66.25
bra,2019,66.88
bra,2020,62.01
brb,1978,42.14
brb,1983,66.82
brb,1986,64.89
brb,1987,65.86
brb,1988,66.06
brb,1989,69.96
brb,1990,67.88
brb,1991,67.91
brb,1992,62.49
brb,1994,61.26
brb,1995,62.57
brb,1996,66.69
brb,1997,65.29
brb,1998,67.96
brb,1999,69.01
brb,2001,69.87
brb,2002,68.39
brb,2003,67.97
brb,2004,68.55
brb,2005,69.62
brb,2006,67.9
brb,2007,69.54
brb,2008,68.28
brb,2009,65
brb,2010,63.98
brb,2011,65.57
brb,2012,64.04
brb,2013,63.64
brb,2014,59.74
brb,2015,60.25
brb,2016,63.89
brb,2017,62.8
brb,2018,62.53
brb,2019,59.59
brn,1981,81.6
brn,1991,79.28
brn,2001,73.56
brn,2014,67.93
brn,2017,62.83
brn,2018,67.13
brn,2019,68.19
brn,2020,69.2
btn,2005,69.38
btn,2006,65.1
btn,2009,71.64
btn,2010,70.72
btn,2011,70.9
btn,2012,64.42
btn,2013,70
btn,2014,69.67
btn,2015,69.87
bwa,1985,66.27
bwa,1991,68.4
bwa,1994,58.7
bwa,1996,48.34
bwa,1998,57.88
bwa,2000,58.11
bwa,2006,55.98
bwa,2009,60.54
bwa,2010,56.66
bwa,2013,63.13
bwa,2019,50.55
bwa,2020,49.74
can,1976,72.69
can,1977,71.85
can,1978,71.98
can,1979,73.05
can,1980,72.84
can,1981,72.83
can,1982,68.38
can,1983,67.38
can,1984,67.98
can,1985,68.71
can,1986,69.57
can,1987,70.29
can,1988,70.93
can,1989,71.1
can,1990,69.91
can,1991,66.92
can,1992,64.98
can,1993,64.55
can,1994,65.14
can,1995,65.36
can,1996,65.03
can,1997,65.55
can,1998,65.97
can,1999,66.72
can,2000,67.32
can,2001,66.83
can,2002,67.08
can,2003,67.59
can,2004,67.7
can,2005,67.7
can,2006,67.6
can,2007,67.91
can,2008,67.96
can,2009,65.05
can,2010,65.27
can,2011,65.72
can,2012,65.54
can,2013,65.56
can,2014,65.35
can,2015,65.33
can,2016,64.87
can,2017,65.41
can,2018,65.36
can,2019,65.87
can,2020,62.11
can,2021,64.29
che,1978,64.55
che,1979,64.75
che,1980,65.76
che,1985,66.01
che,1986,66.85
che,1988,68.14
che,1989,68.84
che,1990,69.54
che,1991,79.88
che,1992,78.41
che,1993,77.82
che,1994,76.5
che,1995,76.76
che,1996,76.32
che,1997,75.19
che,1998,76.01
che,1999,76.02
che,2000,75.99
che,2001,76.08
che,2002,74.58
che,2003,73.86
che,2004,72.97
che,2005,72.18
che,2006,72.85
che,2007,73.56
che,2008,73.33
che,2009,72.4
che,2010,71.01
che,2011,71.64
che,2012,71.31
che,2013,70.78
che,2014,70.67
che,2015,70.73
che,2016,70.89
che,2017,71.07
che,2018,71
che,2019,70.62
che,2020,69.97
chl,1980,63.25
chl,1981,61.89
chl,1982,54.5
chl,1983,58.05
chl,1990,67.92
chl,1992,72.34
chl,1994,71.21
chl,1996,72.37
chl,1997,71.82
chl,1998,71.44
chl,1999,68.23
chl,2000,67.76
chl,2001,66.92
chl,2002,66.44
chl,2003,66.66
chl,2004,65.96
chl,2005,66.34
chl,2006,67.53
chl,2007,67.81
chl,2008,67.83
chl,2009,65.39
chl,2010,66.92
chl,2011,68.29
chl,2012,68.02
chl,2013,68.01
chl,2014,67.26
chl,2015,67.35
chl,2016,66.9
chl,2017,66.74
chl,2018,66.02
chl,2019,65.3
chl,2020,59.17
civ,2012,66.9
civ,2013,78.03
civ,2016,69.29
civ,2017,63.78
cmr,1996,68.76
cmr,2001,57.7
cmr,2007,83.3
cmr,2010,79.5
cmr,2014,75.13
cod,2005,71.25
cod,2012,66.08
cog,2005,56.32
cog,2009,32.67
col,1980,25.04
col,1989,74.12
col,1990,73.63
col,1991,79.56
col,1992,78.55
col,1993,84.6
col,1994,84.45
col,1997,70.66
col,1998,68.96
col,1999,66.4
col,2000,61.44
col,2001,72.74
col,2002,71.9
col,2003,73.36
col,2004,72.52
col,2005,73.33
col,2007,71.76
col,2008,71.79
col,2009,73.18
col,2010,73.99
col,2011,75.11
col,2012,75.71
col,2013,75.54
col,2014,75.99
col,2015,76.34
col,2016,75.5
col,2017,75.22
col,2018,74.78
col,2019,73.39
col,2020,66.62
com,2004,48.5
com,2014,53.2
cpv,2015,47.01
cpv,2017,58.5
cpv,2018,54.59
cpv,2019,57.59
cri,1990,79.06
cri,1991,76.93
cri,1992,77.11
cri,1993,77.61
cri,1994,77.37
cri,1995,77.69
cri,1996,74.59
cri,1997,76.02
cri,1998,77.49
cri,1999,76.78
cri,2000,75.86
cri,2001,75.7
cri,2002,74.77
cri,2003,74.83
cri,2004,74.42
cri,2005,75.51
cri,2006,75.57
cri,2007,76.95
cri,2008,74.8
cri,2009,71.54
cri,2010,70.91
cri,2011,67.19
cri,2012,69.2
cri,2013,68.92
cri,2014,69.7
cri,2015,68.34
cri,2016,66.58
cri,2017,67.47
cri,2018,68.04
cri,2019,67.41
cri,2020,61.01
cub,2004,65.69
cub,2006,65.45
cub,2007,65.72
cub,2009,67.96
cub,2010,66.68
cub,2011,67.62
cub,2012,86.45
cub,2013,84.4
cym,1991,83.16
cym,1999,85.4
cym,2006,84.77
cym,2007,81.85
cym,2008,84.09
cym,2009,81.73
cym,2011,77.49
cym,2012,80.44
cym,2013,79.86
cym,2014,81.19
cym,2015,81.82
cyp,1977,35.75
cyp,1978,36.6
cyp,1985,51.76
cyp,1987,52.82
cyp,1988,72.29
cyp,1989,73.82
cyp,1990,75.27
cyp,1991,75.51
cyp,1992,72.02
cyp,1995,72.52
cyp,2000,70.18
cyp,2001,70.66
cyp,2002,70.32
cyp,2003,70.66
cyp,2004,70.89
cyp,2005,70.67
cyp,2006,70.57
cyp,2007,71.12
cyp,2008,70.78
cyp,2009,67.7
cyp,2010,67.01
cyp,2011,65.01
cyp,2012,61.84
cyp,2013,58.64
cyp,2014,57.65
cyp,2015,57.22
cyp,2016,58.24
cyp,2017,59.61
cyp,2018,62.38
cyp,2019,64.57
cyp,2020,64.03
cze,1993,68.86
cze,1994,68.87
cze,1995,69.03
cze,1996,69.08
cze,1997,68.07
cze,1998,67.08
cze,1999,65.03
cze,2000,64.26
cze,2001,64.27
cze,2002,64.89
cze,2003,64.3
cze,2004,63.3
cze,2005,64.27
cze,2006,64.57
cze,2007,65.45
cze,2008,65.84
cze,2009,64.3
cze,2010,63.7
cze,2011,63.6
cze,2012,63.61
cze,2013,64.05
cze,2014,64.72
cze,2015,65.14
cze,2016,66.07
cze,2017,66.94
cze,2018,67.49
cze,2019,67.35
cze,2020,66.6
deu,1983,66.28
deu,1984,66.93
deu,1985,66.64
deu,1986,67.04
deu,1987,66.55
deu,1988,67.31
deu,1989,67.92
deu,1990,69.06
deu,1991,68.69
deu,1992,67.14
deu,1993,65.42
deu,1994,64.17
deu,1995,63.74
deu,1996,62.54
deu,1997,61.54
deu,1998,61.34
deu,1999,61.62
deu,2000,61.56
deu,2001,61.06
deu,2002,59.98
deu,2003,58.71
deu,2004,57.45
deu,2005,58.61
deu,2006,59.48
deu,2007,60.59
deu,2008,61.39
deu,2009,60.83
deu,2010,61.2
deu,2011,62.53
deu,2012,62.75
deu,2013,62.76
deu,2014,62.82
deu,2015,62.59
deu,2016,63.6
deu,2017,63.94
deu,2018,64.25
deu,2019,65.09
deu,2020,63.74
dji,2017,36.64
dma,1989,70.26
dma,1991,43.91
dma,1997,61.52
dma,1999,65.67
dma,2001,61.84
dnk,1974,71.8
dnk,1976,72.02
dnk,1977,71.61
dnk,1978,71.9
dnk,1979,70.4
dnk,1981,65.73
dnk,1983,66.39
dnk,1984,68.31
dnk,1985,69.39
dnk,1986,71.16
dnk,1987,69.55
dnk,1988,70.99
dnk,1989,69.51
dnk,1990,69.23
dnk,1991,68.09
dnk,1992,67.93
dnk,1993,65.52
dnk,1994,65.63
dnk,1995,68.01
dnk,1996,67.89
dnk,1997,68.86
dnk,1998,68.35
dnk,1999,68.57
dnk,2000,68.2
dnk,2001,68.29
dnk,2002,68.24
dnk,2003,67.81
dnk,2004,68.1
dnk,2005,67.94
dnk,2006,68.74
dnk,2007,68.5
dnk,2008,68.09
dnk,2009,64.4
dnk,2010,62.41
dnk,2011,62.31
dnk,2012,61.41
dnk,2013,60.7
dnk,2014,61.2
dnk,2015,62.02
dnk,2016,62.13
dnk,2017,62.2
dnk,2018,62.9
dnk,2019,63.65
dnk,2020,62.85
dom,1991,63.8
dom,1992,65.8
dom,1993,65.3
dom,1994,62.6
dom,1995,62
dom,1996,75.69
dom,1998,65.4
dom,1999,65.6
dom,2000,74.83
dom,2001,72.93
dom,2002,71.91
dom,2003,70.65
dom,2004,71.75
dom,2005,70.16
dom,2006,71.66
dom,2007,71.79
dom,2008,71.45
dom,2009,69.48
dom,2010,69.17
dom,2011,69.65
dom,2012,70.28
dom,2013,69.93
dom,2014,70.58
dom,2015,72.3
dom,2016,72.92
dom,2017,73.09
dom,2018,75.06
dom,2019,75.12
dom,2020,71.04
dza,1975,49.04
dza,1984,60.42
dza,2009,62.78
dza,2010,63.28
dza,2014,60.14
dza,2015,60.2
dza,2016,61.05
dza,2017,60.01
ecu,1996,74.69
ecu,1997,76.32
ecu,1998,76.92
ecu,2000,78.43
ecu,2001,81.26
ecu,2002,77.56
ecu,2003,77.51
ecu,2004,79.01
ecu,2005,79.83
ecu,2006,81.17
ecu,2007,79.98
ecu,2008,79.05
ecu,2009,76.03
ecu,2010,75.31
ecu,2011,74.98
ecu,2012,75.27
ecu,2013,74.9
ecu,2014,75.86
ecu,2015,77.64
ecu,2016,77.51
ecu,2017,78.19
ecu,2018,76.97
ecu,2019,75.8
ecu,2020,68.47
egy,1973,79.57
egy,1975,77.44
egy,1977,78.23
egy,1978,77.92
egy,1979,71.95
egy,1980,71.2
egy,1981,43.61
egy,1982,43.15
egy,1983,72.06
egy,1984,71.24
egy,1989,69.21
egy,1990,67.9
egy,1991,64.94
egy,1992,65.75
egy,1993,67.21
egy,1994,68.14
egy,1995,67.27
egy,1996,72.1
egy,1998,66.09
egy,1999,68.23
egy,2000,42.75
egy,2001,65.53
egy,2002,63.16
egy,2003,42.13
egy,2004,44.09
egy,2006,65.83
egy,2007,66.19
egy,2008,68.34
egy,2009,68.52
egy,2010,71.31
egy,2011,67.77
egy,2012,67.04
egy,2013,66.15
egy,2014,65.48
egy,2015,63.89
egy,2016,63.42
egy,2017,61.29
egy,2018,63.04
egy,2019,64.06
egy,2020,63.41
esp,1986,54.87
esp,1987,55.72
esp,1988,55.96
esp,1989,57.2
esp,1990,58.15
esp,1991,57.48
esp,1992,57.23
esp,1993,53.56
esp,1994,52.2
esp,1995,52.73
esp,1996,52.97
esp,1997,54.03
esp,1998,55.8
esp,1999,57.94
esp,2000,59.36
esp,2001,60.54
esp,2002,60.84
esp,2003,61.26
esp,2004,61.59
esp,2005,63.25
esp,2006,64.03
esp,2007,64.14
esp,2008,61.78
esp,2009,55.85
esp,2010,54.16
esp,2011,52.76
esp,2012,50.02
esp,2013,48.82
esp,2014,49.69
esp,2015,51.36
esp,2016,52.63
esp,2017,53.89
esp,2018,54.98
esp,2019,55.54
esp,2020,53.47
est,1990,81.18
est,1991,79.47
est,1992,75.77
est,1993,71.44
est,1994,70.62
est,1995,66.32
est,1996,65.02
est,1997,64.62
est,1998,62.03
est,1999,58.56
est,2000,56.5
est,2001,56.75
est,2002,57.18
est,2003,58.72
est,2004,58.33
est,2005,58.98
est,2006,63.44
est,2007,64.65
est,2008,64.79
est,2009,56.6
est,2010,54.05
est,2011,59.13
est,2012,60.89
est,2013,62.16
est,2014,63.47
est,2015,65.13
est,2016,65.31
est,2017,66.98
est,2018,67.44
est,2019,67.75
est,2020,65.68
eth,1999,77.56
eth,2005,88.28
eth,2013,86.93
fin,1977,52.89
fin,1979,68.53
fin,1980,54.9
fin,1981,69.39
fin,1985,68.57
fin,1986,67.97
fin,1987,67.7
fin,1988,67.71
fin,1989,69.75
fin,1990,72.24
fin,1991,67.42
fin,1992,61.97
fin,1993,58.06
fin,1994,57.35
fin,1995,54.56
fin,1996,54.45
fin,1997,56.14
fin,1998,57.36
fin,1999,60.7
fin,2000,61.42
fin,2001,61.67
fin,2002,60.82
fin,2003,60.29
fin,2004,59.95
fin,2005,59.69
fin,2006,60.46
fin,2007,61.09
fin,2008,61.85
fin,2009,58.54
fin,2010,58.31
fin,2011,58.87
fin,2012,58.46
fin,2013,57.41
fin,2014,56.77
fin,2015,56.3
fin,2016,56.77
fin,2017,57.18
fin,2018,58.48
fin,2019,58.69
fin,2020,57.94
fji,1996,75.36
fji,2004,76.4
fji,2005,75.43
fji,2011,76.42
fji,2014,72.17
fji,2016,74.15
fra,1979,65.22
fra,1980,64.68
fra,1981,63.49
fra,1982,62.65
fra,1983,66.01
fra,1984,64
fra,1985,63.11
fra,1986,62.73
fra,1987,62.03
fra,1988,61.5
fra,1989,61.71
fra,1990,61.21
fra,1991,60.14
fra,1992,59.41
fra,1993,57.94
fra,1994,56.71
fra,1995,57.07
fra,1996,56.92
fra,1997,56.35
fra,1998,56.48
fra,1999,56.68
fra,2000,57.56
fra,2001,58.32
fra,2002,58.05
fra,2003,58.27
fra,2004,57.86
fra,2005,57.69
fra,2006,57.42
fra,2007,57.65
fra,2008,57.96
fra,2009,56.8
fra,2010,56.64
fra,2011,56.39
fra,2012,56.01
fra,2013,55.39
fra,2014,54.57
fra,2015,54.28
fra,2016,54.31
fra,2017,54.67
fra,2018,54.81
fra,2019,54.61
fra,2020,54.07
fsm,2014,64.2
gab,1993,57.85
gab,2005,59.45
gab,2010,49.77
gbm,1991,66.35
gbm,1996,65.85
gbm,2001,70.17
gbm,2006,67.81
gbm,2011,66.71
gbm,2016,85.5
gbr,1978,55.94
gbr,1979,56.24
gbr,1980,55.87
gbr,1983,64.54
gbr,1984,65
gbr,1985,65.57
gbr,1986,65.06
gbr,1987,65.39
gbr,1988,67.25
gbr,1989,68.83
gbr,1990,68.99
gbr,1991,66.84
gbr,1992,64.59
gbr,1993,63.01
gbr,1994,63.38
gbr,1995,64.04
gbr,1996,64.1
gbr,1997,65.15
gbr,1998,65.77
gbr,1999,65.41
gbr,2000,65.91
gbr,2001,65.96
gbr,2002,65.55
gbr,2003,65.91
gbr,2004,65.88
gbr,2005,66.02
gbr,2006,65.93
gbr,2007,65.94
gbr,2008,65.73
gbr,2009,63.46
gbr,2010,63.09
gbr,2011,62.85
gbr,2012,63.14
gbr,2013,63.3
gbr,2014,64.25
gbr,2015,64.82
gbr,2016,65.24
gbr,2017,65.22
gbr,2018,65.58
gbr,2019,65.5
geo,1998,66.2
geo,1999,63.78
geo,2000,67.29
geo,2001,67.09
geo,2002,65.15
geo,2003,67.36
geo,2004,64.19
geo,2005,62.64
geo,2006,61.2
geo,2007,63.1
geo,2008,61.1
geo,2009,59.53
geo,2010,59.68
geo,2011,61.4
geo,2012,63.26
geo,2013,62.09
geo,2014,63.91
geo,2015,65.18
geo,2016,64.53
geo,2017,63.39
geo,2018,63.36
geo,2019,63.31
geo,2020,49.48
gha,1988,64.2
gha,1989,65.9
gha,1991,75.99
gha,1992,71.4
gha,1998,61.5
gha,1999,86.7
gha,2000,68.87
gha,2006,69.22
gha,2010,68.92
gha,2013,77.4
gha,2015,68.84
gha,2017,56.45
gin,2002,62.6
gin,2019,61.94
gmb,2012,64.01
gmb,2018,45.32
gnb,2018,61.72
grc,1981,66.31
grc,1982,65.6
grc,1983,68.04
grc,1984,67.1
grc,1985,66.18
grc,1986,65.53
grc,1987,64.46
grc,1988,64.6
grc,1989,63.75
grc,1990,63.01
grc,1991,61.63
grc,1992,61.19
grc,1993,60.51
grc,1994,60.66
grc,1995,60.4
grc,1996,60.31
grc,1997,58.98
grc,1998,60.76
grc,1999,60.03
grc,2000,60.05
grc,2001,59.69
grc,2002,60
grc,2003,60.48
grc,2004,60.37
grc,2005,60.29
grc,2006,60.69
grc,2007,60.8
grc,2008,60.88
grc,2009,59.57
grc,2010,57.18
grc,2011,52.77
grc,2012,48.08
grc,2013,46.01
grc,2014,45.94
grc,2015,46.8
grc,2016,47.94
grc,2017,49.29
grc,2018,50.8
grc,2019,51.66
grc,2020,51.06
grd,1988,57.44
grd,1998,67.7
grl,2008,66
grl,2009,65
grl,2010,63
grl,2011,62
grl,2012,62
grl,2013,62
grl,2014,61
grl,2015,63
gtm,2000,86
gtm,2002,87
gtm,2003,86.76
gtm,2004,83.46
gtm,2006,95.85
gtm,2010,78.14
gtm,2011,81.5
gtm,2012,85.06
gtm,2013,80.64
gtm,2014,81.52
gtm,2015,82.84
gtm,2016,82.04
gtm,2017,83.6
gtm,2018,83.22
gtm,2019,82.13
gum,1980,53.8
gum,1990,61
gum,2000,39.92
gum,2002,61.5
gum,2004,65.4
gum,2005,63.1
gum,2006,65.6
gum,2007,62.8
gum,2009,64
gum,2010,61.2
gum,2011,61.6
guy,1987,79.06
guy,2002,71.23
guy,2018,58.37
guy,2019,54.16
hkg,1979,76.15
hkg,1980,76.26
hkg,1981,79.54
hkg,1982,77.5
hkg,1983,76.64
hkg,1984,77.59
hkg,1985,77.54
hkg,1986,78.01
hkg,1987,78.61
hkg,1988,78.47
hkg,1989,77.82
hkg,1990,77.04
hkg,1991,77.33
hkg,1992,76.45
hkg,1993,76.57
hkg,1994,75.98
hkg,1995,76.62
hkg,1996,73.65
hkg,1997,73.95
hkg,1998,71.63
hkg,1999,73.59
hkg,2000,69.27
hkg,2001,68.55
hkg,2002,66.25
hkg,2003,64.83
hkg,2004,65.4
hkg,2005,66.45
hkg,2006,66.95
hkg,2007,67.23
hkg,2008,67.12
hkg,2009,65.22
hkg,2010,65.05
hkg,2011,65.68
hkg,2012,66.12
hkg,2013,66.57
hkg,2014,66.37
hkg,2015,66.46
hkg,2016,66.07
hkg,2017,66.02
hkg,2018,66.34
hkg,2019,65.05
hkg,2020,61.6
hnd,1991,85.7
hnd,1992,86.51
hnd,1995,88.44
hnd,1998,88.44
hnd,1999,90.81
hnd,2001,87.52
hnd,2002,82
hnd,2003,79.9
hnd,2004,66.71
hnd,2005,80.25
hnd,2006,80.75
hnd,2007,79.92
hnd,2008,79.15
hnd,2009,80.03
hnd,2010,79.73
hnd,2011,78.54
hnd,2012,77.66
hnd,2013,79.73
hnd,2014,79.26
hnd,2015,79.65
hnd,2016,78.12
hnd,2017,81.36
hnd,2018,80.26
hnd,2019,80.02
hnd,2020,66.78
hrv,2000,49.63
hrv,2001,49.73
hrv,2002,51.48
hrv,2003,51.35
hrv,2004,52.3
hrv,2005,50.87
hrv,2006,50.85
hrv,2007,56.15
hrv,2008,56.93
hrv,2009,55.4
hrv,2010,53.08
hrv,2011,51.62
hrv,2012,49.5
hrv,2013,47.5
hrv,2014,49.18
hrv,2015,49.95
hrv,2016,50.53
hrv,2017,52.03
hrv,2018,53.01
hrv,2019,54.03
hrv,2020,53.64
hti,1980,61.69
hti,1990,72.57
hti,2003,44.41
hti,2012,65.92
hun,1978,54.55
hun,1979,54.21
hun,1981,53.16
hun,1985,51.52
hun,1986,51.37
hun,1987,51.33
hun,1988,51.88
hun,1989,51.81
hun,1990,51.53
hun,1991,48.5
hun,1992,58.97
hun,1993,54.9
hun,1994,54.35
hun,1995,54.7
