geo,time,se_sec_enrl_gc_fe_zs
are,1977,39.26665
are,1978,42.78882
are,1979,43.24964
are,1980,44.77151
are,1981,45.24421
are,1982,46.48551
are,1983,46.70277
are,1984,47.06594
are,1985,48.11674
are,1986,48.60275
are,1987,49.17259
are,1988,49.65243
are,1989,50.15083
are,1990,50.48379
are,1991,50.73239
are,1992,51.02034
are,1993,51.1151
are,1994,50.97431
are,1995,50.67297
are,1997,50.43363
are,1998,50.6529
are,2016,48.86481
are,2017,46.78938
arg,1970,60.90027
arg,1971,60.62731
arg,1972,59.30209
arg,1973,59.62044
arg,1974,60.28971
arg,1975,60.71943
arg,1976,61.66274
arg,1977,62.74556
arg,1978,62.95641
arg,1979,63.39271
arg,1980,63.12147
arg,1981,63.55379
arg,1982,62.60866
arg,1983,62.27004
arg,1984,61.93937
arg,1985,61.78838
arg,1986,63.50701
arg,1987,63.50097
arg,1988,63.80304
arg,1998,52.25498
arg,1999,51.08887
arg,2000,50.81943
arg,2001,50.83819
arg,2002,50.79382
arg,2003,50.95283
arg,2004,51.27406
arg,2005,51.52376
arg,2006,51.80645
arg,2007,52.00948
arg,2008,52.17416
arg,2009,51.94837
arg,2010,51.49829
arg,2011,51.6458
arg,2012,51.31096
arg,2013,51.00165
arg,2014,50.7961
arg,2015,50.60901
arg,2016,50.25036
arg,2017,50.17572
arm,1991,50.6549
arm,1992,50.40904
arm,1993,51.16427
arm,1994,51.06143
arm,1995,52.02004
arm,1996,52.18206
arm,1997,52.4045
arm,1998,52.12276
arm,2000,52.56775
arm,2001,52.83777
arm,2002,50.7781
arm,2003,50.29189
arm,2004,49.67077
arm,2005,49.69411
arm,2006,49.65717
arm,2007,49.77512
arm,2008,49.33553
arm,2009,48.70159
arm,2010,48.45961
arm,2011,48.54938
arm,2013,48.82843
arm,2014,48.66952
arm,2015,48.17869
arm,2016,47.93462
arm,2018,47.77225
asm,1972,49.89154
asm,1973,50.32206
asm,1974,49.95819
asm,1975,50.02107
asm,1976,50
asm,1977,50
asm,1978,50.01866
asm,1979,50.01866
asm,1980,50.01866
asm,1981,45
asm,1982,47.46622
asm,1983,47.34912
asm,1984,47.26319
asm,1985,47.58138
asm,1986,46.64871
asm,1987,50.99338
asm,1988,50.73698
asm,1989,49.55919
asm,1990,49.69679
asm,1991,49.69343
asm,1992,48.0333
asm,1993,48.02817
asm,1994,48.0663
asm,1995,48.0663
asm,1996,48.0663
asm,1997,48.0663
atg,1971,54.52
atg,1972,45.71266
atg,1973,54.50366
atg,1974,51.22207
atg,1975,53.89453
atg,1976,52.27033
atg,1977,51.75767
atg,1978,41.79187
atg,1984,56.72515
atg,1992,50.24808
atg,2000,52.84091
atg,2008,51.08455
atg,2009,52.47301
atg,2010,51.42201
atg,2011,50.50796
atg,2012,54.01543
atg,2014,50.1677
atg,2015,50.13467
atg,2017,48.87159
atg,2018,48.95696
aus,1970,47.77068
aus,1971,47.88587
aus,1972,47.99364
aus,1973,48.35171
aus,1974,48.66916
aus,1975,48.72755
aus,1976,48.90538
aus,1977,49.1873
aus,1978,49.28939
aus,1979,49.43993
aus,1980,49.60589
aus,1981,49.72002
aus,1982,49.6691
aus,1983,49.47666
aus,1984,49.49551
aus,1985,49.48696
aus,1986,49.58444
aus,1987,49.60315
aus,1988,49.66055
aus,1989,49.79385
aus,1990,49.73474
aus,1991,49.52413
aus,1992,49.39533
aus,1993,49.44674
aus,1994,49.57861
aus,1995,49.65445
aus,1996,49.66552
aus,1997,49.71611
aus,1998,49.98673
aus,1999,50.07168
aus,2000,50.15847
aus,2001,49.98362
aus,2002,49.92824
aus,2003,49.94842
aus,2004,49.96475
aus,2005,50.07201
aus,2006,50.03121
aus,2007,50.01771
aus,2008,49.96884
aus,2009,49.81624
aus,2010,49.81087
aus,2011,49.70818
aus,2012,49.68095
aus,2013,49.54897
aus,2014,49.52299
aus,2015,49.44692
aus,2016,49.51063
aus,2017,49.50246
aut,1971,48.8075
aut,1972,48.82669
aut,1973,48.90983
aut,1974,49.01501
aut,1975,49.1137
aut,1976,49.14004
aut,1977,49.16662
aut,1978,48.65236
aut,1979,48.4803
aut,1980,48.36992
aut,1981,48.72811
aut,1982,48.73124
aut,1983,48.64186
aut,1984,48.66534
aut,1985,48.64291
aut,1986,48.30935
aut,1987,48.23589
aut,1988,48.30625
aut,1989,48.35783
aut,1990,48.33595
aut,1991,48.52066
aut,1992,48.69524
aut,1993,48.80341
aut,1994,48.968
aut,1995,49.12981
aut,1996,49.18594
aut,1997,49.36856
aut,1998,50.13359
aut,1999,50.01243
aut,2000,49.98819
aut,2001,49.80414
aut,2002,49.79916
aut,2003,49.77418
aut,2004,49.82707
aut,2005,49.89009
aut,2006,49.94087
aut,2007,50.08875
aut,2008,50.1717
aut,2009,50.21825
aut,2010,50.27183
aut,2011,50.24825
aut,2012,50.28921
aut,2013,49.96526
aut,2014,49.88861
aut,2015,49.98819
aut,2016,49.89578
aut,2017,49.85954
aze,1981,49.6
aze,1986,49.60003
aze,1991,49.63929
aze,1992,49.49527
aze,1993,48.85564
aze,1994,48.31637
aze,1995,50.66124
aze,1996,51.12255
aze,1997,51.68034
aze,1998,49.76859
aze,1999,49.22886
aze,2000,49.22569
aze,2001,48.30207
aze,2002,48.42777
aze,2003,48.20656
aze,2004,48.03035
aze,2005,47.92028
aze,2006,47.58654
aze,2007,47.61955
aze,2008,47.4573
aze,2009,47.02833
aze,2010,46.69285
aze,2011,46.26858
aze,2012,46.26467
aze,2013,45.87309
aze,2014,45.73467
aze,2015,45.57556
aze,2016,45.62286
aze,2017,46.30534
aze,2018,46.08246
bdi,1971,14.26052
bdi,1972,16.69917
bdi,1973,19.23077
bdi,1974,21.9172
bdi,1975,28.14932
bdi,1976,27.07546
bdi,1977,27.31502
bdi,1978,24.70938
bdi,1979,25.94004
bdi,1980,24.06175
bdi,1981,25.4523
bdi,1982,31.80131
bdi,1983,25.61587
bdi,1984,26.5391
bdi,1985,28.44601
bdi,1986,30.05293
bdi,1987,34.16478
bdi,1988,34.65319
bdi,1989,34.83915
bdi,1990,36.21596
bdi,1991,37.22024
bdi,1992,37.72252
bdi,1993,38.10828
bdi,2000,43.05746
bdi,2001,44.77094
bdi,2002,43.03651
bdi,2003,43.54073
bdi,2004,42.57434
bdi,2005,42.08428
bdi,2006,42.12624
bdi,2007,41.75912
bdi,2008,41.28689
bdi,2009,42.2267
bdi,2010,42.14994
bdi,2011,42.672
bdi,2012,43.82804
bdi,2013,45.20098
bdi,2014,46.98196
bdi,2015,48.55393
bdi,2016,50.11986
bdi,2017,51.66855
bdi,2018,53.25895
bel,1971,46.65936
bel,1972,46.71125
bel,1973,46.97842
bel,1974,47.09907
bel,1975,47.03737
bel,1976,47.04559
bel,1977,47.29064
bel,1984,50.46861
bel,1985,50.87554
bel,1986,50.62863
bel,1987,50.64079
bel,1988,50.8526
bel,1991,53.38102
bel,1993,49.99808
bel,1994,50.18676
bel,1995,50.23246
bel,1996,50.36666
bel,1999,50.81323
bel,2000,50.81793
bel,2001,50.89698
bel,2002,51.48073
bel,2003,51.4147
bel,2004,51.33086
bel,2005,51.33038
bel,2006,51.31938
bel,2007,51.21658
bel,2008,51.22441
bel,2009,51.28786
bel,2010,51.02071
bel,2011,50.91468
bel,2012,50.89206
bel,2013,52.84345
bel,2014,52.82659
bel,2015,53.04716
bel,2016,52.5184
bel,2017,52.5771
ben,1971,30.41814
ben,1972,30.03468
ben,1973,30.76866
ben,1974,31.25386
ben,1975,33.19425
ben,1976,29.33113
ben,1977,28.36391
ben,1978,27.81386
ben,1979,26.95097
ben,1980,26.91404
ben,1981,26.15766
ben,1983,27.76664
ben,1984,28.01963
ben,1985,28.68697
ben,1986,28.00745
ben,1987,28.07687
ben,1990,27.87097
ben,1995,29.40671
ben,1996,29.77561
ben,1997,30.194
ben,2000,30.58142
ben,2001,31.30111
ben,2002,31.67446
ben,2003,32.19213
ben,2004,30.65296
ben,2005,34.19752
ben,2006,35.0287
ben,2011,37.85533
ben,2013,39.53987
ben,2014,40.25885
ben,2015,41.22348
ben,2016,42.65804
bfa,1971,25.0142
bfa,1972,25.53073
bfa,1973,27.39401
bfa,1974,29.13913
bfa,1975,29.35657
bfa,1976,30.65998
bfa,1977,30.61238
bfa,1978,31.13839
bfa,1979,31.79128
bfa,1980,34.81417
bfa,1981,32.58753
bfa,1982,32.0975
bfa,1983,32.29054
bfa,1984,32.58245
bfa,1985,33.03615
bfa,1986,32.01398
bfa,1987,31.43932
bfa,1988,31.64514
bfa,1989,32.28662
bfa,1990,32.69621
bfa,1991,33.23558
bfa,1992,33.55151
bfa,1993,33.92323
bfa,1994,34.08599
bfa,1999,36.29822
bfa,2000,37.79635
bfa,2001,38.04555
bfa,2003,39.06395
bfa,2004,39.55444
bfa,2005,40.03627
bfa,2006,40.6336
bfa,2007,40.96931
bfa,2008,41.41602
bfa,2009,41.53619
bfa,2010,42.24088
bfa,2011,42.85507
bfa,2012,43.84704
bfa,2013,44.90573
bfa,2014,45.79023
bfa,2015,47.14562
bfa,2016,47.93709
bfa,2017,48.54717
bfa,2018,49.29677
bgd,1972,26.6183
bgd,1973,25.11138
bgd,1974,21.64996
bgd,1975,21.15323
bgd,1976,24.5686
bgd,1977,21.20626
bgd,1978,21.52067
bgd,1979,20.20963
bgd,1980,24.094
bgd,1981,18.76691
bgd,1983,27.50818
bgd,1984,28.62381
bgd,1985,28.03251
bgd,1986,31.26855
bgd,1987,30.85156
bgd,1988,31.62839
bgd,1989,32.40056
bgd,1990,33.01679
bgd,1998,47.70778
bgd,1999,49.00059
bgd,2000,49.93603
bgd,2001,51.2216
bgd,2002,51.63692
bgd,2003,51.60442
bgd,2004,49.9491
bgd,2005,50.95754
bgd,2006,50.84624
bgd,2007,50.82987
bgd,2008,52.7564
bgd,2009,51.63387
bgd,2010,52.80375
bgd,2011,53.16618
bgd,2012,52.87799
bgd,2013,51.49749
bgd,2015,52.95256
bgd,2016,52.35159
bgd,2017,53.86207
bgd,2018,53.89255
bgr,1971,51.11071
bgr,1972,51.34538
bgr,1973,51.36331
bgr,1974,51.44036
bgr,1975,51.6216
bgr,1976,50.93155
bgr,1977,51.83
bgr,1978,51.82574
bgr,1979,51.84277
bgr,1980,51.7099
bgr,1981,51.7521
bgr,1982,51.67631
bgr,1983,51.60539
bgr,1984,51.84383
bgr,1985,51.88372
bgr,1986,52.04904
bgr,1987,51.93555
bgr,1988,51.97844
bgr,1989,51.97224
bgr,1990,52.34032
bgr,1991,52.33666
bgr,1992,52.74173
bgr,1993,52.8258
bgr,1994,52.69496
bgr,1995,52.81472
bgr,1996,52.73558
bgr,1997,52.76086
bgr,1998,52.48106
bgr,1999,52.35304
bgr,2000,52.0929
bgr,2001,51.77593
bgr,2002,51.55885
bgr,2003,51.746
bgr,2004,51.70583
bgr,2005,51.72051
bgr,2006,51.76786
bgr,2007,51.76991
bgr,2008,51.70702
bgr,2009,51.47238
bgr,2010,51.11239
bgr,2011,51.09288
bgr,2012,50.81776
bgr,2013,50.71707
bgr,2014,50.56351
bgr,2015,50.53283
bgr,2016,50.45856
bgr,2017,50.41998
bhr,1971,43.56147
bhr,1972,48.2934
bhr,1973,48.41081
bhr,1974,49.22599
bhr,1975,49.63119
bhr,1976,49.45761
bhr,1977,49.56165
bhr,1978,49.33347
bhr,1979,48.15193
bhr,1980,47.82961
bhr,1981,46.81676
bhr,1982,47.06455
bhr,1983,47.06496
bhr,1984,49.21807
bhr,1985,50.40881
bhr,1986,51.4964
bhr,1987,51.73227
bhr,1988,52.24388
bhr,1989,53.1781
bhr,1990,53.90232
bhr,1991,53.78881
bhr,1992,53.92483
bhr,1993,53.66578
bhr,1994,53.45129
bhr,1995,53.30378
bhr,1996,53.52452
bhr,1997,53.59841
bhr,1998,53.51372
bhr,1999,53.74744
bhr,2000,53.18472
bhr,2001,53.34553
bhr,2002,53.2967
bhr,2003,52.94602
bhr,2004,53.09891
bhr,2005,53.15077
bhr,2006,52.38957
bhr,2008,52.08583
bhr,2009,52.60382
bhr,2010,52.81993
bhr,2011,52.10443
bhr,2012,51.9386
bhr,2013,51.68262
bhr,2014,52.13494
bhr,2015,51.87439
bhr,2016,51.7704
bhr,2017,51.82577
bhr,2018,51.68301
bhs,1976,51.56829
bhs,1977,51.28936
bhs,1978,51.01234
bhs,1979,50.69132
bhs,1980,51.36544
bhs,1982,52.08611
bhs,1983,52.35632
bhs,1985,52.72774
bhs,1986,52.34024
bhs,1987,51.25819
bhs,1992,49.65662
bhs,1993,49.53287
bhs,1995,49.25268
bhs,1997,54.99821
bhs,1999,49.42511
bhs,2002,51.02639
bhs,2004,49.62245
bhs,2005,49.70551
bhs,2006,49.79975
bhs,2007,50.39308
bhs,2008,50.05669
bhs,2009,50.0992
bhs,2010,50.83125
bhs,2011,50.39275
bhs,2012,51.22485
bhs,2013,51.29096
bhs,2014,50.63918
bhs,2015,50.37258
bhs,2016,50.53904
bhs,2017,50.74821
bhs,2018,51.74453
bih,2007,51.51304
bih,2008,51.15786
bih,2009,50.93931
bih,2010,51.06402
bih,2011,51.32355
bih,2012,51.68744
bih,2013,52.02204
bih,2014,51.99834
bih,2015,51.71782
bih,2016,51.49875
bih,2017,51.2747
bih,2018,51.45439
blr,1971,49.54882
blr,1972,48.15989
blr,1973,47.30867
blr,1974,46.86363
blr,1975,47.79433
blr,1976,50.21536
blr,1977,50.01666
blr,1978,50.13166
blr,1979,50.25615
blr,1980,50
blr,1987,50
blr,1988,50
blr,1989,50
blr,1990,50
blr,1993,50.92234
blr,1994,50.91643
blr,1995,50.34919
blr,1996,50.05382
blr,1997,49.95244
blr,1998,50.4193
blr,1999,50.26413
blr,2000,49.92542
blr,2001,49.93032
blr,2002,49.80759
blr,2003,49.63193
blr,2004,49.17944
blr,2005,49.19647
blr,2006,49.22148
blr,2007,49.28358
blr,2008,49.51162
blr,2009,49.34804
blr,2010,49.4952
blr,2011,49.66909
blr,2012,49.67731
blr,2013,49.74676
blr,2014,49.82587
blr,2015,49.93945
blr,2016,49.94611
blr,2017,49.96531
blr,2018,49.88064
blz,1986,51.51932
blz,1987,50.75266
blz,1991,51.14625
blz,1992,52.03776
blz,1993,50.05367
blz,1994,50.12504
blz,1995,50.38058
blz,1996,50.95181
blz,1997,50.82471
blz,1999,51.23505
blz,2000,50.87153
blz,2001,50.85144
blz,2003,50.25737
blz,2004,51.10737
blz,2005,50.47807
blz,2006,51.32467
blz,2007,51.09314
blz,2008,51.40068
blz,2009,51.54086
blz,2010,51.79922
blz,2011,51.54347
blz,2012,50.9281
blz,2013,51.13847
blz,2014,51.12189
blz,2015,51.05285
blz,2016,50.56695
blz,2017,51.3717
blz,2018,50.89064
bmu,1971,54.03226
bmu,1972,50.64461
bmu,1973,53.23271
bmu,1974,53.16149
bmu,1975,53.19149
bmu,1976,52.17662
bmu,1977,52.03041
bmu,1978,51.79351
bmu,1979,50.54166
bmu,1980,50.36296
bmu,1981,49.80446
bmu,1982,49.48967
bmu,1983,49.37769
bmu,1984,49.51502
bmu,1985,50.4324
bmu,1995,50.18294
bmu,1997,50.72464
bmu,2001,51.11695
bmu,2002,51.47864
bmu,2003,52.44635
bmu,2004,53.071
bmu,2005,52.43902
bmu,2006,51.46082
bmu,2010,53.41784
bmu,2011,53.28704
bmu,2012,53.0303
bmu,2013,53.07784
bmu,2014,52.47984
bmu,2015,51.95545
bol,1970,38.79389
bol,1971,39.73424
bol,1973,41.77664
bol,1974,40.75555
bol,1980,43.22888
bol,1981,44.20046
bol,1983,44.12409
bol,1984,44.55429
bol,1986,45.08738
bol,1987,44.58548
bol,1989,45.81725
bol,1990,45.45243
bol,1998,46.82601
bol,1999,46.85438
bol,2000,47.25601
bol,2001,47.46703
bol,2002,47.57633
bol,2003,47.31838
bol,2004,47.4693
bol,2005,47.83811
bol,2006,48.00016
bol,2007,48.18232
bol,2008,48.29974
bol,2009,48.37778
bol,2010,48.35367
bol,2011,48.44313
bol,2012,48.31097
bol,2013,48.03345
bol,2014,47.86843
bol,2015,47.82905
bol,2016,47.54702
bol,2017,47.4674
bol,2018,47.48791
bra,1970,49.64168
bra,1971,49.47764
bra,1972,49.81057
bra,1973,50.43581
bra,1974,51.5093
bra,1979,51.69551
bra,1999,51.23021
bra,2000,51.10692
bra,2001,51.43955
bra,2002,51.51125
bra,2003,51.34833
bra,2004,51.65723
bra,2005,51.66359
bra,2007,51.47263
bra,2008,51.4235
bra,2009,51.31418
bra,2010,51.15403
bra,2011,51.00768
bra,2012,50.81348
bra,2013,50.49706
bra,2014,50.3012
bra,2015,50.04801
bra,2016,49.75254
bra,2017,49.52436
brb,1971,51.56233
brb,1972,51.69445
brb,1973,51.68889
brb,1974,50.85735
brb,1975,50.74014
brb,1976,51.55211
brb,1977,51.24316
brb,1978,50.81443
brb,1979,51.36181
brb,1980,53.15602
brb,1981,49.84038
brb,1982,51.54929
brb,1983,50.57525
brb,1984,50.70539
brb,1985,50.33978
brb,1989,51.17221
brb,1990,46.88802
brb,1999,50.64329
brb,2000,50.25695
brb,2001,49.55667
brb,2002,49.53762
brb,2003,49.87523
brb,2004,49.78324
brb,2005,49.38862
brb,2006,50.20858
brb,2007,49.97821
brb,2008,50.25323
brb,2009,49.96989
brb,2010,49.56147
brb,2011,50.19801
brb,2014,49.54133
brb,2015,49.58159
brb,2016,49.79872
brb,2017,49.61727
brb,2018,49.59379
brn,1970,45.30275
brn,1971,46.23306
brn,1972,47.30766
brn,1973,47.94455
brn,1974,48.01643
brn,1975,48.70315
brn,1976,49.15434
brn,1977,49.48698
brn,1978,49.77843
brn,1979,49.97499
brn,1980,50.50206
brn,1981,51.56204
brn,1982,51.50299
brn,1983,51.88289
brn,1984,52.08726
brn,1986,51.49864
brn,1989,52.34655
brn,1991,50.97341
brn,1992,51.80569
brn,1993,51.61266
brn,1994,51.27715
brn,1995,52.08611
brn,1996,52.8719
brn,1998,51.51182
brn,1999,51.38437
brn,2000,50.67622
brn,2001,50.43775
brn,2002,49.95769
brn,2003,49.89005
brn,2004,49.63467
brn,2005,49.42529
brn,2006,49.58449
brn,2007,49.68214
brn,2008,49.51667
brn,2009,49.33153
brn,2010,49.24117
brn,2011,48.57976
brn,2012,48.32874
brn,2013,48.84685
brn,2014,48.64821
brn,2015,48.98287
brn,2016,49.056
brn,2017,49.31736
brn,2018,49.21436
btn,1970,2.54453
btn,1971,10.61453
btn,1972,9.79592
btn,1973,13.15136
btn,1974,15.55977
btn,1976,20.07344
btn,1977,19.33276
btn,1978,19.13043
btn,1979,22.78226
btn,1983,25.79608
btn,1984,24.22395
btn,1985,24.12698
btn,1992,32.48367
btn,1993,34.98258
btn,1994,37.43715
btn,1995,40.39768
btn,1996,41.28073
btn,1997,42.24732
btn,1998,42.85481
btn,1999,43.31613
btn,2000,43.83345
btn,2001,44.60256
btn,2002,45.35876
btn,2003,46.24211
btn,2004,46.73169
btn,2005,47.3527
btn,2006,47.96948
btn,2007,48.34999
btn,2014,51.22216
btn,2015,51.50254
btn,2016,51.90794
btn,2017,52.01331
btn,2018,52.37815
bwa,1970,46.8886
bwa,1971,47.8903
bwa,1972,47.07045
bwa,1973,49.76606
bwa,1974,51.86263
bwa,1975,52.83518
bwa,1976,53.95611
bwa,1977,54.98838
bwa,1978,55.83116
bwa,1979,55.78394
bwa,1980,56.1146
bwa,1981,55.76732
bwa,1982,54.95826
bwa,1983,54.48948
bwa,1984,54.12951
bwa,1985,53.38493
bwa,1986,52.54963
bwa,1987,51.69016
bwa,1988,50.85611
bwa,1989,52.22704
bwa,1990,53.31154
bwa,1991,54.06378
bwa,1992,53.67786
bwa,1993,53.45852
bwa,1994,52.71446
bwa,1995,53.26438
bwa,1996,53.2287
bwa,1998,52.84349
bwa,1999,52.46398
bwa,2000,52.0259
bwa,2001,51.93781
bwa,2002,52.08141
bwa,2003,52.00337
bwa,2004,51.89783
bwa,2005,51.81625
bwa,2006,51.97106
bwa,2007,51.90168
bwa,2008,51.90168
bwa,2009,51.94609
bwa,2012,51.68444
bwa,2013,51.65139
bwa,2014,50.3176
bwa,2015,51.54317
caf,1971,16.57208
caf,1972,15.49498
caf,1973,14.84805
caf,1974,15.28462
caf,1975,16.09985
caf,1976,16.93724
caf,1977,17.59565
caf,1978,19.37889
caf,1979,19.53515
caf,1980,23.94334
caf,1981,24.86427
caf,1982,25.6017
caf,1983,25.33027
caf,1984,24.02089
caf,1985,25.51849
caf,1986,26.23066
caf,1987,28.21574
caf,1988,27.08023
caf,1989,28.47685
caf,1990,27.73651
caf,1991,28.68061
caf,1992,29.03959
caf,2001,34.31465
caf,2002,34.29473
caf,2003,34.26878
caf,2005,37.57766
caf,2006,38.35903
caf,2008,36.63067
caf,2009,36.10706
caf,2011,35.78268
caf,2012,34.1742
caf,2016,39.08529
caf,2017,40.052
can,1971,48.82886
can,1972,48.80211
can,1973,48.92172
can,1974,49.18033
can,1975,49.20535
can,1976,49.28996
can,1977,49.36981
can,1978,49.41452
can,1979,49.40778
can,1980,49.48487
can,1981,49.35865
can,1982,49.11157
can,1983,48.77114
can,1984,48.72978
can,1985,48.73181
can,1986,48.73526
can,1987,48.76706
can,1988,48.82823
can,1989,49.14851
can,1990,48.88555
can,1991,48.77267
can,1992,48.67134
can,1993,48.51746
can,1994,48.51783
can,1995,48.63129
can,1996,48.63129
can,2012,48.94009
can,2013,48.96409
can,2014,48.9674
can,2015,49.01648
can,2016,49.05986
can,2017,49.06797
che,1977,49.05566
che,1978,49.32353
che,1979,49.36521
che,1980,49.39281
che,1981,49.43854
che,1982,49.6136
che,1983,49.62286
che,1984,49.66969
che,1985,49.74409
che,1986,49.64439
che,1987,49.62931
che,1988,49.6354
che,1989,49.78322
che,1990,49.82811
che,1991,49.88194
che,1992,50.03273
che,1993,50.38378
che,1994,50.48917
che,1995,50.68403
che,1996,50.79323
che,1998,50.25132
che,1999,50.30619
che,2000,50.69249
che,2001,50.63005
che,2002,50.6209
che,2003,50.60044
che,2004,50.6328
che,2005,50.71416
che,2006,50.81584
che,2007,50.93756
che,2008,50.99458
che,2009,51.05245
che,2010,50.96703
che,2011,50.92208
che,2012,50.93294
che,2013,51.53089
che,2015,51.3008
che,2016,51.31024
che,2017,51.20901
chl,1970,52.72192
chl,1971,52.60805
chl,1972,52.91204
chl,1973,53.4545
chl,1974,53.9162
chl,1975,53.65758
chl,1976,53.85952
chl,1977,53.14006
chl,1978,53.06192
chl,1979,52.90172
chl,1980,52.61678
chl,1981,52.67347
chl,1982,51.92238
chl,1983,51.22912
chl,1984,50.86642
chl,1985,50.96172
chl,1986,50.77705
chl,1989,51.05008
chl,1990,51.54405
chl,1991,50.17269
chl,1992,50.64786
chl,1993,51.60197
chl,1998,51.29311
chl,1999,51.22648
chl,2000,50.74295
chl,2002,50.55203
chl,2003,50.63899
chl,2004,50.60238
chl,2005,50.51727
chl,2006,50.56264
chl,2007,50.64234
chl,2008,50.54909
chl,2009,50.52094
chl,2010,50.64445
chl,2011,50.63138
chl,2012,50.8205
chl,2013,50.07645
chl,2014,50.06413
chl,2015,50.03049
chl,2016,50.04602
chl,2017,50.02919
chn,1974,32.98805
chn,1975,38.13706
chn,1976,39.26706
chn,1977,40.38495
chn,1978,41.67303
chn,1979,41.46879
chn,1980,40.82195
chn,1981,39.57967
chn,1982,39.00321
chn,1983,39.2492
chn,1984,39.4549
chn,1985,40.00461
chn,1986,40.22835
chn,1987,40.65212
chn,1988,40.79578
chn,1989,40.97809
chn,1990,41.44203
chn,1991,41.86931
chn,1992,42.65272
chn,1993,43.10619
chn,1994,43.71454
chn,1995,44.3024
chn,1996,44.82412
chn,1997,45.29257
chn,1999,46.09985
chn,2003,46.67663
chn,2006,47.06344
chn,2007,47.13169
chn,2008,47.29416
chn,2009,47.46483
chn,2010,47.57551
chn,2011,47.6375
chn,2012,47.70984
chn,2013,47.85841
chn,2014,47.90135
chn,2015,47.8317
chn,2016,47.78119
chn,2017,47.83663
chn,2018,47.92337
civ,1971,21.42006
civ,1972,22.66465
civ,1973,22.59634
civ,1974,23.13344
civ,1975,24.14927
civ,1976,24.61934
civ,1977,25.08717
civ,1978,26.11233
civ,1979,26.4735
civ,1980,27.87439
civ,1981,28.16792
civ,1982,28.79275
civ,1983,28.16127
civ,1984,28.49716
civ,1985,29.04674
civ,1986,29.33354
civ,1987,30.03696
civ,1988,30.4777
civ,1989,31.05802
civ,1990,31.24069
civ,1991,31.8066
civ,1992,32.47001
civ,1993,32.78883
civ,1994,33.79401
civ,1995,32.41953
civ,1996,33.07081
civ,1997,33.62496
civ,1998,33.99351
civ,1999,34.23911
civ,2000,34.71506
civ,2001,35.12167
civ,2002,35.11594
