geo,time,dt_dod_dimf_cd
blz,2004,27789957
blz,2005,25575721.8
blz,2006,26920117.2
blz,2007,28277396.5
blz,2008,27561984.1
blz,2009,35420787.6
blz,2010,34795830.5
blz,2011,34688281.9
blz,2012,32017509.4
blz,2013,28462672.7
blz,2014,25924917.1
blz,2015,24796263
blz,2016,24055472.5
blz,2017,25483458
blz,2018,24886824.3
blz,2019,24744281
blz,2020,25772163.9
bol,1970,6080000
bol,1971,7165620
bol,1972,8555316
bol,1973,21775520
bol,1974,17533408
bol,1975,16307851
bol,1976,0
bol,1977,0
bol,1978,39521437.4
bol,1979,39962522.9
bol,1980,126338992.8
bol,1981,113287629.6
bol,1982,125987354.5
bol,1983,127106665.1
bol,1984,96096129.1
bol,1985,82211849.9
bol,1986,192346754.4
bol,1987,185706850
bol,1988,209010086.9
bol,1989,251790427.7
bol,1990,257044786.1
bol,1991,244796647.4
bol,1992,249077125
bol,1993,220509941.1
bol,1994,263552551.5
bol,1995,267762932.2
bol,1996,276121398.6
bol,1997,248140560
bol,1998,264183043
bol,1999,283651143.6
bol,2000,254673303.1
bol,2001,240714064.2
bol,2002,231620062.9
bol,2003,318333409.2
bol,2004,348459724.7
bol,2005,281990683.2
bol,2006,54704497.2
bol,2007,42197415.8
bol,2008,41129829.8
bol,2009,257306771.9
bol,2010,252766904.2
bol,2011,251985639.9
bol,2012,252256456.3
bol,2013,252761980.2
bol,2014,237793817.7
bol,2015,227441345.5
bol,2016,220646516
bol,2017,233744575.8
bol,2018,228272011
bol,2019,226964545.7
bol,2020,582201162.3
bra,1970,0
bra,1971,0
bra,1972,0
bra,1973,0
bra,1974,0
bra,1975,0
bra,1976,0
bra,1977,0
bra,1978,0
bra,1979,0
bra,1980,0
bra,1981,0
bra,1982,550200000
bra,1983,2644300000
bra,1984,4185370000
bra,1985,4619300000
bra,1986,4501170000
bra,1987,3976342252.8
bra,1988,3333055328.3
bra,1989,2422469977.6
bra,1990,1820549548.8
bra,1991,1237526548.8
bra,1992,799423625
bra,1993,303585594.1
bra,1994,186130869.1
bra,1995,141553984.3
bra,1996,67607128.7
bra,1997,31448318
bra,1998,4825009156.9
bra,1999,9318882826.6
bra,2000,2235037872.2
bra,2001,8787813968.2
bra,2002,21314976011.2
bra,2003,28850328959.5
bra,2004,25586391068.6
bra,2005,512636270.9
bra,2006,539583148
bra,2007,566788267.5
bra,2008,552448640.9
bra,2009,4526043027.6
bra,2010,4446186455.1
bra,2011,4432443964.7
bra,2012,4437207643.1
bra,2013,4446099842.8
bra,2014,4182813115.7
bra,2015,4000712265.5
bra,2016,3881190647.8
bra,2017,4111586613.7
bra,2018,4015323741.5
bra,2019,3992325318
bra,2020,4158167402.4
btn,1999,8220596.2
btn,2000,7803729.9
btn,2001,7527136.6
btn,2002,8142793.4
btn,2003,8900160.8
btn,2004,9301694.4
btn,2005,8560558.4
btn,2006,9010546.6
btn,2007,9464847.3
btn,2008,9225388.6
btn,2009,9389619.7
btn,2010,9223951.2
btn,2011,9195441.3
btn,2012,9205323.9
btn,2013,9223771.5
btn,2014,8676893.3
btn,2015,8299140.4
btn,2016,8051202.9
btn,2017,8529139.9
btn,2018,8329450.7
btn,2019,8281742.4
btn,2020,8625767.8
bwa,1999,5982771
bwa,2000,5679384.7
bwa,2001,5478086.1
bwa,2002,5926147.7
bwa,2003,6477343.2
bwa,2004,6769570.6
bwa,2005,6230187.9
bwa,2006,6557679.6
bwa,2007,6888309.8
bwa,2008,6714036.9
bwa,2009,90035722.6
bwa,2010,88447150.8
bwa,2011,88173774
bwa,2012,88268537
bwa,2013,88445427.8
bwa,2014,83207770.2
bwa,2015,79585278.6
bwa,2016,77207661.6
bwa,2017,81790877.3
bwa,2018,79875941.4
bwa,2019,79418438.9
bwa,2020,82717498.5
caf,1970,0
caf,1971,0
caf,1972,0
caf,1973,0
caf,1974,3256904
caf,1975,5677895
caf,1976,11141949.7
caf,1977,11649068.9
caf,1978,20412113.7
caf,1979,17873533.4
caf,1980,23540313.6
caf,1981,37686947.8
caf,1982,37713909.4
caf,1983,39964889.1
caf,1984,35075374.2
caf,1985,39009638.8
caf,1986,41788969.6
caf,1987,51942817.3
caf,1988,50283426.2
caf,1989,35327249.1
caf,1990,36656257.5
caf,1991,33300411.7
caf,1992,30377875
caf,1993,28788443
caf,1994,41373607.5
caf,1995,34899812.5
caf,1996,27640467.7
caf,1997,18618300.2
caf,1998,17563766.7
caf,1999,36252105.9
caf,2000,33621592.6
caf,2001,42483757.6
caf,2002,45958573.6
caf,2003,50233215.9
caf,2004,58590408.3
caf,2005,49211195.4
caf,2006,56111111.2
caf,2007,64109162.3
caf,2008,77364681.6
caf,2009,162063184.7
caf,2010,172555835.3
caf,2011,172022491.4
caf,2012,182908942.9
caf,2013,180985513.9
caf,2014,177256948.5
caf,2015,174912456.5
caf,2016,184643967.2
caf,2017,235403692.2
caf,2018,279084580.9
caf,2019,296484719.1
caf,2020,355383363.5
chn,1970,0
chn,1971,0
chn,1972,0
chn,1973,0
chn,1974,0
chn,1975,0
chn,1976,0
chn,1977,0
chn,1978,0
chn,1979,0
chn,1980,0
chn,1981,884059046.9
chn,1982,837842329
chn,1983,324059292.7
chn,1984,303401460.7
chn,1985,339990647.3
chn,1986,1071881716.8
chn,1987,1155346773.4
chn,1988,1012623101.6
