geo,time,ic_reg_proc
cmr,2006,11
cmr,2007,11
cmr,2008,12
cmr,2009,11
cmr,2010,8
cmr,2011,7
cmr,2012,7
cmr,2013,7
cmr,2014,7
cmr,2015,7
cmr,2016,7
cmr,2017,7
cmr,2018,6
cmr,2019,6
cod,2003,15
cod,2004,15
cod,2005,15
cod,2006,15
cod,2007,15
cod,2008,15
cod,2009,15
cod,2010,11
cod,2011,11
cod,2012,11
cod,2013,12
cod,2014,8
cod,2015,7
cod,2016,7
cod,2017,4
cod,2018,4
cod,2019,4
cog,2003,12
cog,2004,12
cog,2005,12
cog,2006,12
cog,2007,12
cog,2008,12
cog,2009,12
cog,2010,12
cog,2011,12
cog,2012,12
cog,2013,12
cog,2014,12
cog,2015,12
cog,2016,12
cog,2017,11
cog,2018,11
cog,2019,11
col,2003,20
col,2004,12
col,2005,12
col,2006,13
col,2007,12
col,2008,10
col,2009,9
col,2010,9
col,2011,9
col,2012,9
col,2013,9
col,2014,9
col,2015,9
col,2016,8
col,2017,8
col,2018,8
col,2019,7
com,2005,10
com,2006,10
com,2007,10
com,2008,10
com,2009,10
com,2010,10
com,2011,10
com,2012,9
com,2013,9
com,2014,9
com,2015,9
com,2016,9
com,2017,9
com,2018,9
com,2019,9
cpv,2005,12
cpv,2006,12
cpv,2007,12
cpv,2008,12
cpv,2009,9
cpv,2010,9
cpv,2011,9
cpv,2012,9
cpv,2013,9
cpv,2014,9
cpv,2015,9
cpv,2016,9
cpv,2017,9
cpv,2018,9
cpv,2019,9
cri,2003,12
cri,2004,12
cri,2005,12
cri,2006,12
cri,2007,12
cri,2008,12
cri,2009,12
cri,2010,12
cri,2011,12
cri,2012,12
cri,2013,9
cri,2014,9
cri,2015,9
cri,2016,9
cri,2017,9
cri,2018,10
cri,2019,10
cyp,2008,6
cyp,2009,6
cyp,2010,6
cyp,2011,6
cyp,2012,6
cyp,2013,6
cyp,2014,6
cyp,2015,6
cyp,2016,5
cyp,2017,5
cyp,2018,5
cyp,2019,5
cze,2003,10
cze,2004,10
cze,2005,10
cze,2006,10
cze,2007,10
cze,2008,9
cze,2009,9
cze,2010,9
cze,2011,8
cze,2012,8
cze,2013,8
cze,2014,8
cze,2015,8
cze,2016,8
cze,2017,8
cze,2018,9
cze,2019,9
deu,2003,9
deu,2004,9
deu,2005,9
deu,2006,9
deu,2007,9
deu,2008,9
deu,2009,9
deu,2010,9
deu,2011,9
deu,2012,9
deu,2013,9
deu,2014,9
deu,2015,9
deu,2016,9
deu,2017,9
deu,2018,9
deu,2019,9
dji,2005,11
dji,2006,11
dji,2007,11
dji,2008,11
dji,2009,11
dji,2010,11
dji,2011,11
dji,2012,11
dji,2013,9
dji,2014,7
dji,2015,7
dji,2016,7
dji,2017,7
dji,2018,6
dji,2019,6
dma,2005,5
dma,2006,5
dma,2007,5
dma,2008,5
dma,2009,5
dma,2010,5
dma,2011,5
dma,2012,5
dma,2013,5
dma,2014,5
dma,2015,5
dma,2016,5
dma,2017,5
dma,2018,5
dma,2019,5
dnk,2003,6
dnk,2004,6
dnk,2005,5
dnk,2006,5
dnk,2007,5
dnk,2008,5
dnk,2009,5
dnk,2010,5
dnk,2011,5
dnk,2012,5
dnk,2013,5
dnk,2014,5
dnk,2015,5
dnk,2016,5
dnk,2017,5
dnk,2018,5
dnk,2019,5
dom,2003,9
dom,2004,9
dom,2005,9
dom,2006,9
dom,2007,9
dom,2008,8
dom,2009,8
dom,2010,8
dom,2011,7
dom,2012,7
dom,2013,7
dom,2014,7
dom,2015,7
dom,2016,7
dom,2017,7
dom,2018,7
dom,2019,7
dza,2003,14
dza,2004,13
dza,2005,13
dza,2006,13
dza,2007,13
dza,2008,13
dza,2009,13
dza,2010,13
dza,2011,13
dza,2012,13
dza,2013,13
dza,2014,13
dza,2015,12
dza,2016,12
dza,2017,12
dza,2018,12
dza,2019,12
ecu,2003,14
ecu,2004,14
ecu,2005,14
ecu,2006,14
ecu,2007,14
ecu,2008,14
ecu,2009,13
ecu,2010,13
ecu,2011,13
ecu,2012,13
ecu,2013,13
ecu,2014,13
ecu,2015,12
ecu,2016,11
ecu,2017,11
ecu,2018,11
ecu,2019,11
egy,2003,14
egy,2004,14
egy,2005,11
egy,2006,11
egy,2007,10
egy,2008,9
egy,2009,9
egy,2010,9
egy,2011,9
egy,2012,9
egy,2013,9
egy,2014,9
egy,2015,9
egy,2016,9
egy,2017,9
egy,2018,6
egy,2019,5
eri,2004,13
eri,2005,13
eri,2006,13
eri,2007,13
eri,2008,13
eri,2009,13
eri,2010,13
eri,2011,13
eri,2012,13
eri,2013,13
eri,2014,13
eri,2015,13
eri,2016,13
eri,2017,13
eri,2018,13
eri,2019,13
esp,2003,10
esp,2004,10
esp,2005,10
esp,2006,10
esp,2007,10
esp,2008,10
esp,2009,10
esp,2010,10
esp,2011,10
esp,2012,11
esp,2013,11
esp,2014,7
esp,2015,7
esp,2016,7
esp,2017,7
esp,2018,7
esp,2019,7
est,2003,6
est,2004,6
est,2005,6
est,2006,6
est,2007,5
est,2008,5
est,2009,5
est,2010,5
est,2011,5
est,2012,5
est,2013,5
est,2014,4
est,2015,3
est,2016,3
est,2017,3
est,2018,3
est,2019,3
eth,2003,12
eth,2004,11
eth,2005,11
eth,2006,11
eth,2007,11
eth,2008,11
eth,2009,11
eth,2010,11
eth,2011,13
eth,2012,14
eth,2013,14
eth,2014,14
eth,2015,14
eth,2016,14
eth,2017,12
eth,2018,11
eth,2019,11
fin,2003,3
fin,2004,3
fin,2005,3
fin,2006,3
fin,2007,3
fin,2008,3
fin,2009,3
fin,2010,3
fin,2011,3
fin,2012,3
fin,2013,3
fin,2014,3
fin,2015,3
fin,2016,3
fin,2017,3
fin,2018,3
fin,2019,3
fji,2003,7
fji,2004,7
fji,2005,8
fji,2006,8
fji,2007,8
fji,2008,8
fji,2009,8
fji,2010,8
fji,2011,9
fji,2012,11
fji,2013,11
fji,2014,11
fji,2015,11
fji,2016,11
fji,2017,11
fji,2018,11
fji,2019,11
fra,2003,8
fra,2004,5
fra,2005,5
fra,2006,5
fra,2007,5
fra,2008,5
fra,2009,5
fra,2010,5
fra,2011,5
fra,2012,5
fra,2013,5
fra,2014,5
fra,2015,5
fra,2016,5
fra,2017,5
fra,2018,5
fra,2019,5
fsm,2003,7
fsm,2004,7
fsm,2005,7
fsm,2006,7
fsm,2007,7
fsm,2008,7
fsm,2009,7
fsm,2010,7
fsm,2011,7
fsm,2012,7
fsm,2013,7
fsm,2014,7
fsm,2015,7
fsm,2016,7
fsm,2017,7
fsm,2018,7
fsm,2019,7
gab,2005,10
gab,2006,10
gab,2007,10
gab,2008,10
gab,2009,10
gab,2010,10
gab,2011,10
gab,2012,10
gab,2013,9
gab,2014,9
gab,2015,9
gab,2016,9
gab,2017,8
gab,2018,7
gab,2019,7
gbr,2003,6
gbr,2004,6
gbr,2005,6
gbr,2006,6
gbr,2007,6
gbr,2008,6
gbr,2009,6
gbr,2010,6
gbr,2011,6
gbr,2012,6
gbr,2013,6
gbr,2014,6
gbr,2015,4
gbr,2016,4
gbr,2017,4
gbr,2018,4
gbr,2019,4
geo,2003,9
geo,2004,9
geo,2005,8
geo,2006,7
geo,2007,5
geo,2008,3
geo,2009,3
geo,2010,3
geo,2011,2
geo,2012,2
geo,2013,2
geo,2014,2
geo,2015,2
geo,2016,2
geo,2017,2
geo,2018,1
geo,2019,1
gha,2003,11
gha,2004,11
gha,2005,11
gha,2006,11
gha,2007,10
gha,2008,8
gha,2009,7
gha,2010,7
gha,2011,7
gha,2012,7
gha,2013,8
gha,2014,8
gha,2015,8
gha,2016,8
gha,2017,8
gha,2018,8
gha,2019,8
gin,2003,12
gin,2004,12
gin,2005,12
gin,2006,12
gin,2007,12
gin,2008,12
gin,2009,12
gin,2010,12
gin,2011,12
gin,2012,7
gin,2013,7
gin,2014,7
gin,2015,7
gin,2016,7
gin,2017,7
gin,2018,6
gin,2019,6
gmb,2005,8
gmb,2006,8
gmb,2007,9
gmb,2008,8
gmb,2009,8
gmb,2010,8
gmb,2011,8
gmb,2012,8
gmb,2013,8
gmb,2014,7
gmb,2015,7
gmb,2016,7
gmb,2017,7
gmb,2018,7
gmb,2019,6
gnb,2005,17
gnb,2006,17
gnb,2007,17
gnb,2008,17
gnb,2009,17
gnb,2010,17
gnb,2011,9
gnb,2012,9
gnb,2013,9
gnb,2014,9
gnb,2015,9
gnb,2016,9
gnb,2017,9
gnb,2018,9
gnb,2019,9
gnq,2005,18
gnq,2006,18
gnq,2007,18
gnq,2008,18
gnq,2009,18
gnq,2010,18
gnq,2011,18
gnq,2012,18
gnq,2013,18
gnq,2014,18
gnq,2015,18
gnq,2016,17
gnq,2017,16
gnq,2018,16
gnq,2019,16
grc,2003,15
grc,2004,15
grc,2005,15
grc,2006,15
grc,2007,15
grc,2008,15
grc,2009,15
grc,2010,15
grc,2011,11
grc,2012,11
grc,2013,5
grc,2014,5
grc,2015,5
grc,2016,5
grc,2017,4
grc,2018,4
grc,2019,3
grd,2005,6
grd,2006,6
grd,2007,6
grd,2008,6
grd,2009,6
grd,2010,6
grd,2011,6
grd,2012,6
grd,2013,6
grd,2014,6
grd,2015,6
grd,2016,6
grd,2017,6
grd,2018,6
grd,2019,6
gtm,2003,16
gtm,2004,16
gtm,2005,16
gtm,2006,14
gtm,2007,14
gtm,2008,14
gtm,2009,14
gtm,2010,14
gtm,2011,14
gtm,2012,14
gtm,2013,9
gtm,2014,9
gtm,2015,9
gtm,2016,9
gtm,2017,9
gtm,2018,6
gtm,2019,6
guy,2004,8
guy,2005,8
guy,2006,8
guy,2007,8
guy,2008,8
guy,2009,8
guy,2010,8
guy,2011,8
guy,2012,7
guy,2013,7
guy,2014,7
guy,2015,7
guy,2016,7
guy,2017,7
guy,2018,7
guy,2019,7
hkg,2003,5
hkg,2004,5
hkg,2005,5
hkg,2006,5
hkg,2007,5
hkg,2008,5
hkg,2009,3
hkg,2010,3
hkg,2011,3
hkg,2012,3
hkg,2013,3
hkg,2014,3
hkg,2015,2
hkg,2016,2
hkg,2017,2
hkg,2018,2
hkg,2019,2
hnd,2003,12
hnd,2004,12
hnd,2005,12
hnd,2006,12
hnd,2007,12
hnd,2008,12
hnd,2009,12
hnd,2010,13
hnd,2011,13
hnd,2012,13
hnd,2013,13
hnd,2014,13
hnd,2015,11
hnd,2016,11
hnd,2017,11
hnd,2018,11
hnd,2019,11
hrv,2003,11
hrv,2004,11
hrv,2005,11
hrv,2006,9
hrv,2007,8
hrv,2008,8
hrv,2009,8
hrv,2010,8
hrv,2011,8
hrv,2012,8
hrv,2013,8
hrv,2014,8
hrv,2015,8
hrv,2016,8
hrv,2017,8
hrv,2018,8
hrv,2019,7
hti,2003,13
hti,2004,13
hti,2005,13
hti,2006,13
hti,2007,13
hti,2008,13
hti,2009,13
hti,2010,12
hti,2011,12
hti,2012,12
hti,2013,12
hti,2014,12
hti,2015,12
hti,2016,12
hti,2017,12
hti,2018,12
hti,2019,12
hun,2003,7
hun,2004,7
hun,2005,7
hun,2006,7
hun,2007,7
hun,2008,5
hun,2009,5
hun,2010,5
hun,2011,5
hun,2012,6
hun,2013,6
hun,2014,6
hun,2015,6
hun,2016,6
hun,2017,6
hun,2018,6
hun,2019,6
idn,2013,12
idn,2014,13
idn,2015,13
idn,2016,12
idn,2017,12
idn,2018,11
idn,2019,11
ind,2013,14
ind,2014,15
ind,2015,14
ind,2016,14
ind,2017,12
ind,2018,10
ind,2019,10
irl,2003,4
irl,2004,4
irl,2005,4
irl,2006,4
irl,2007,4
irl,2008,4
irl,2009,4
irl,2010,4
irl,2011,4
irl,2012,4
irl,2013,4
irl,2014,4
irl,2015,4
irl,2016,3
irl,2017,3
irl,2018,3
irl,2019,3
irn,2003,11
irn,2004,11
irn,2005,10
irn,2006,10
irn,2007,10
irn,2008,10
irn,2009,9
irn,2010,9
irn,2011,9
irn,2012,10
irn,2013,10
irn,2014,10
irn,2015,10
irn,2016,10
irn,2017,10
irn,2018,10
irn,2019,10
irq,2004,11
irq,2005,11
irq,2006,11
irq,2007,11
irq,2008,11
irq,2009,11
irq,2010,11
irq,2011,11
irq,2012,10
irq,2013,10
irq,2014,10
irq,2015,9
irq,2016,9
irq,2017,8
irq,2018,8
irq,2019,8
isl,2004,5
isl,2005,5
isl,2006,5
isl,2007,5
isl,2008,5
isl,2009,5
isl,2010,5
isl,2011,5
isl,2012,5
isl,2013,5
isl,2014,5
isl,2015,5
isl,2016,5
isl,2017,5
isl,2018,5
isl,2019,5
isr,2003,5
isr,2004,5
isr,2005,5
isr,2006,5
isr,2007,5
isr,2008,5
isr,2009,5
isr,2010,5
isr,2011,5
isr,2012,5
isr,2013,5
isr,2014,5
isr,2015,5
isr,2016,4
isr,2017,4
isr,2018,4
isr,2019,3
ita,2003,10
ita,2004,10
ita,2005,10
ita,2006,10
ita,2007,10
ita,2008,7
ita,2009,8
ita,2010,8
ita,2011,8
ita,2012,8
ita,2013,8
ita,2014,7
ita,2015,7
ita,2016,7
ita,2017,7
ita,2018,7
ita,2019,7
jam,2003,7
jam,2004,7
jam,2005,6
jam,2006,6
jam,2007,6
jam,2008,6
jam,2009,6
jam,2010,6
jam,2011,6
jam,2012,6
jam,2013,5
jam,2014,2
jam,2015,2
jam,2016,2
jam,2017,2
jam,2018,2
jam,2019,2
jor,2003,13
jor,2004,10
jor,2005,10
jor,2006,10
jor,2007,8
jor,2008,8
jor,2009,7
jor,2010,7
jor,2011,7
jor,2012,7
jor,2013,7
jor,2014,7
jor,2015,7
jor,2016,7
jor,2017,7
jor,2018,7
jor,2019,7
jpn,2013,8
jpn,2014,8
jpn,2015,8
jpn,2016,8
jpn,2017,8
jpn,2018,8
jpn,2019,8
kaz,2003,11
kaz,2004,11
kaz,2005,9
kaz,2006,9
kaz,2007,9
kaz,2008,9
kaz,2009,8
kaz,2010,7
kaz,2011,7
kaz,2012,7
kaz,2013,7
kaz,2014,7
kaz,2015,6
kaz,2016,5
kaz,2017,5
kaz,2018,5
kaz,2019,4
ken,2003,13
ken,2004,13
ken,2005,15
ken,2006,15
ken,2007,14
ken,2008,15
ken,2009,15
ken,2010,14
ken,2011,14
ken,2012,13
ken,2013,13
ken,2014,13
ken,2015,13
ken,2016,9
ken,2017,7
ken,2018,7
ken,2019,7
kgz,2003,9
kgz,2004,9
kgz,2005,9
kgz,2006,9
kgz,2007,9
kgz,2008,6
kgz,2009,5
kgz,2010,4
kgz,2011,4
kgz,2012,4
kgz,2013,4
kgz,2014,4
kgz,2015,4
kgz,2016,4
kgz,2017,4
kgz,2018,4
kgz,2019,4
khm,2003,11
khm,2004,11
khm,2005,10
khm,2006,10
khm,2007,10
khm,2008,11
khm,2009,11
khm,2010,11
khm,2011,11
khm,2012,11
khm,2013,12
khm,2014,12
khm,2015,8
khm,2016,9
khm,2017,9
khm,2018,9
khm,2019,9
kir,2003,6
kir,2004,7
kir,2005,7
kir,2006,7
kir,2007,7
kir,2008,7
kir,2009,7
kir,2010,7
kir,2011,7
kir,2012,7
kir,2013,7
kir,2014,7
kir,2015,7
kir,2016,7
kir,2017,7
kir,2018,7
kir,2019,7
kna,2005,7
kna,2006,7
kna,2007,7
kna,2008,7
kna,2009,7
kna,2010,7
kna,2011,7
kna,2012,7
kna,2013,7
kna,2014,7
kna,2015,7
kna,2016,7
kna,2017,7
kna,2018,7
kna,2019,7
kor,2003,10
kor,2004,10
kor,2005,10
kor,2006,10
kor,2007,10
kor,2008,10
kor,2009,8
kor,2010,8
kor,2011,6
kor,2012,4
kor,2013,4
kor,2014,4
kor,2015,4
kor,2016,3
kor,2017,3
kor,2018,3
kor,2019,3
kos,2009,9
kos,2010,10
kos,2011,10
kos,2012,8
kos,2013,5
kos,2014,4
kos,2015,4
kos,2016,3
kos,2017,3
kos,2018,3
kos,2019,3
kwt,2003,13
kwt,2004,13
kwt,2005,13
kwt,2006,13
kwt,2007,13
kwt,2008,13
kwt,2009,13
kwt,2010,13
kwt,2011,12
kwt,2012,12
kwt,2013,12
kwt,2014,12
kwt,2015,12
kwt,2016,12
kwt,2017,9
kwt,2018,7
kwt,2019,5
lao,2003,10
lao,2004,10
lao,2005,10
lao,2006,11
lao,2007,11
lao,2008,11
lao,2009,11
lao,2010,11
lao,2011,10
lao,2012,9
lao,2013,9
lao,2014,9
lao,2015,10
lao,2016,10
lao,2017,10
lao,2018,10
lao,2019,9
lbn,2003,9
lbn,2004,9
lbn,2005,9
lbn,2006,9
lbn,2007,9
lbn,2008,8
lbn,2009,8
lbn,2010,8
lbn,2011,8
lbn,2012,8
lbn,2013,8
lbn,2014,8
lbn,2015,8
lbn,2016,8
lbn,2017,8
lbn,2018,8
lbn,2019,8
lbr,2006,11
lbr,2007,11
lbr,2008,7
lbr,2009,6
lbr,2010,6
lbr,2011,5
lbr,2012,5
lbr,2013,5
lbr,2014,5
lbr,2015,5
lbr,2016,5
lbr,2017,5
lbr,2018,5
lbr,2019,5
lby,2012,10
lby,2013,10
lby,2014,10
lby,2015,10
lby,2016,10
lby,2017,10
lby,2018,10
lby,2019,10
lca,2005,6
lca,2006,6
lca,2007,6
lca,2008,6
lca,2009,5
lca,2010,5
lca,2011,5
lca,2012,5
lca,2013,5
lca,2014,5
lca,2015,5
lca,2016,5
lca,2017,5
lca,2018,5
lca,2019,5
lie,2018,10
lie,2019,10
lka,2003,9
lka,2004,9
lka,2005,9
lka,2006,9
lka,2007,9
lka,2008,9
lka,2009,9
lka,2010,9
lka,2011,9
lka,2012,9
lka,2013,9
lka,2014,9
lka,2015,8
lka,2016,7
lka,2017,7
lka,2018,7
lka,2019,7
lso,2003,9
lso,2004,9
lso,2005,9
lso,2006,8
lso,2007,8
lso,2008,7
lso,2009,7
lso,2010,7
lso,2011,7
lso,2012,7
lso,2013,7
lso,2014,7
lso,2015,7
lso,2016,7
lso,2017,7
lso,2018,7
lso,2019,6
ltu,2003,8
ltu,2004,8
ltu,2005,8
ltu,2006,7
ltu,2007,7
ltu,2008,7
ltu,2009,7
ltu,2010,6
ltu,2011,6
ltu,2012,7
ltu,2013,6
ltu,2014,5
ltu,2015,4
ltu,2016,4
ltu,2017,4
ltu,2018,4
ltu,2019,4
lux,2006,5
lux,2007,5
lux,2008,5
lux,2009,5
lux,2010,5
lux,2011,5
lux,2012,5
lux,2013,5
lux,2014,5
lux,2015,5
lux,2016,5
lux,2017,5
lux,2018,5
lux,2019,5
lva,2003,5
lva,2004,5
lva,2005,5
lva,2006,5
lva,2007,5
lva,2008,5
lva,2009,5
lva,2010,5
lva,2011,4
lva,2012,4
lva,2013,4
lva,2014,4
lva,2015,4
lva,2016,4
lva,2017,4
lva,2018,4
lva,2019,4
mar,2003,12
mar,2004,7
mar,2005,7
mar,2006,7
mar,2007,7
mar,2008,7
mar,2009,7
mar,2010,7
mar,2011,7
mar,2012,7
mar,2013,6
mar,2014,6
mar,2015,5
mar,2016,5
mar,2017,4
mar,2018,4
mar,2019,4
mda,2003,12
mda,2004,11
mda,2005,11
mda,2006,11
mda,2007,10
mda,2008,10
mda,2009,9
mda,2010,9
mda,2011,8
mda,2012,8
mda,2013,7
mda,2014,6
mda,2015,5
mda,2016,5
mda,2017,4
mda,2018,3
mda,2019,3
mdg,2003,15
mdg,2004,13
mdg,2005,12
mdg,2006,11
mdg,2007,9
mdg,2008,9
mdg,2009,9
mdg,2010,9
mdg,2011,9
mdg,2012,9
mdg,2013,9
mdg,2014,9
mdg,2015,10
mdg,2016,8
mdg,2017,5
mdg,2018,5
mdg,2019,5
