geo,time,ic_prp_durs
bfa,2004,182
bfa,2005,182
bfa,2006,182
bfa,2007,182
bfa,2008,136
bfa,2009,67
bfa,2010,67
bfa,2011,67
bfa,2012,67
bfa,2013,67
bfa,2014,67
bfa,2015,67
bfa,2016,67
bfa,2017,67
bfa,2018,67
bfa,2019,67
bgd,2013,270.82
bgd,2014,270.82
bgd,2015,270.82
bgd,2016,270.82
bgd,2017,270.82
bgd,2018,270.82
bgd,2019,270.82
bgr,2004,27
bgr,2005,27
bgr,2006,27
bgr,2007,27
bgr,2008,27
bgr,2009,19
bgr,2010,19
bgr,2011,19
bgr,2012,19
bgr,2013,19
bgr,2014,19
bgr,2015,19
bgr,2016,19
bgr,2017,19
bgr,2018,19
bgr,2019,19
bhr,2007,31
bhr,2008,31
bhr,2009,31
bhr,2010,31
bhr,2011,31
bhr,2012,31
bhr,2013,31
bhr,2014,31
bhr,2015,31
bhr,2016,31
bhr,2017,31
bhr,2018,31
bhr,2019,2
bhs,2007,272
bhs,2008,122
bhs,2009,122
bhs,2010,122
bhs,2011,122
bhs,2012,122
bhs,2013,122
bhs,2014,122
bhs,2015,122
bhs,2016,122
bhs,2017,122
bhs,2018,122
bhs,2019,122
bih,2004,331
bih,2005,331
bih,2006,331
bih,2007,331
bih,2008,128
bih,2009,83
bih,2010,32
bih,2011,32
bih,2012,24
bih,2013,24
bih,2014,24
bih,2015,24
bih,2016,24
bih,2017,35
bih,2018,35
bih,2019,35
blr,2004,233
blr,2005,233
blr,2006,233
blr,2007,232
blr,2008,23
blr,2009,20
blr,2010,17
blr,2011,12
blr,2012,12
blr,2013,6
blr,2014,6
blr,2015,5
blr,2016,5
blr,2017,5
blr,2018,5
blr,2019,5
blz,2005,60
blz,2006,60
blz,2007,60
blz,2008,60
blz,2009,60
blz,2010,60
blz,2011,60
blz,2012,59
blz,2013,60
blz,2014,60
blz,2015,60
blz,2016,60
blz,2017,60
blz,2018,60
blz,2019,60
bol,2004,91
bol,2005,91
bol,2006,91
bol,2007,91
bol,2008,91
bol,2009,91
bol,2010,91
bol,2011,91
bol,2012,91
bol,2013,91
bol,2014,90
bol,2015,90
bol,2016,90
bol,2017,90
bol,2018,90
bol,2019,90
bra,2013,31.74
bra,2014,31.74
bra,2015,31.74
bra,2016,31.435
bra,2017,31.435
bra,2018,31.435
bra,2019,30.74
brb,2011,39
brb,2012,39
brb,2013,39
brb,2014,39
brb,2015,39
brb,2016,39
brb,2017,39
brb,2018,39
brb,2019,50
brn,2006,299
brn,2007,299
brn,2008,299
brn,2009,299
brn,2010,299
brn,2011,299
brn,2012,299
brn,2013,299
brn,2014,299
brn,2015,299
brn,2016,299
brn,2017,298.5
brn,2018,298.5
brn,2019,298.5
btn,2004,92
btn,2005,92
btn,2006,92
btn,2007,92
btn,2008,92
btn,2009,92
btn,2010,92
btn,2011,92
btn,2012,92
btn,2013,92
btn,2014,92
btn,2015,77
btn,2016,77
btn,2017,77
btn,2018,77
btn,2019,77
bwa,2004,11
bwa,2005,11
bwa,2006,11
bwa,2007,11
bwa,2008,10
bwa,2009,12
bwa,2010,12
bwa,2011,12
bwa,2012,12
bwa,2013,12
bwa,2014,12
bwa,2015,12
bwa,2016,12
bwa,2017,27
bwa,2018,27
bwa,2019,27
caf,2004,75
caf,2005,75
caf,2006,75
caf,2007,75
caf,2008,75
caf,2009,75
caf,2010,75
caf,2011,75
caf,2012,75
caf,2013,75
caf,2014,75
caf,2015,75
caf,2016,75
caf,2017,75
caf,2018,75
caf,2019,75
can,2004,6.5
can,2005,6.5
can,2006,6.5
can,2007,6.5
can,2008,6.5
can,2009,6.5
can,2010,6.5
can,2011,6.5
can,2012,6.5
can,2013,4
can,2014,4
can,2015,4
can,2016,4
can,2017,4
can,2018,4
can,2019,4
che,2004,16
che,2005,16
che,2006,16
che,2007,16
che,2008,16
che,2009,16
che,2010,16
che,2011,16
che,2012,16
che,2013,16
che,2014,16
che,2015,16
che,2016,16
che,2017,16
che,2018,16
che,2019,16
chl,2004,31
chl,2005,31
chl,2006,31
chl,2007,31
chl,2008,31
chl,2009,31
chl,2010,31
chl,2011,31
chl,2012,31
chl,2013,28.5
chl,2014,28.5
chl,2015,28.5
chl,2016,28.5
chl,2017,28.5
chl,2018,28.5
chl,2019,28.5
chn,2013,23.45
chn,2014,23.45
chn,2015,23.45
chn,2016,23.45
chn,2017,23.45
chn,2018,9
chn,2019,9
civ,2004,389
civ,2005,389
civ,2006,51
civ,2007,51
civ,2008,51
civ,2009,51
civ,2010,51
civ,2011,51
civ,2012,51
civ,2013,39
civ,2014,30
civ,2015,30
civ,2016,30
civ,2017,30
civ,2018,39
civ,2019,39
cmr,2004,93
cmr,2005,93
cmr,2006,93
cmr,2007,93
cmr,2008,93
cmr,2009,93
cmr,2010,93
cmr,2011,93
cmr,2012,93
cmr,2013,86
cmr,2014,86
cmr,2015,86
cmr,2016,86
cmr,2017,86
cmr,2018,81
cmr,2019,81
cod,2004,51
cod,2005,51
cod,2006,51
cod,2007,51
cod,2008,51
cod,2009,51
cod,2010,44
cod,2011,44
cod,2012,44
cod,2013,44
cod,2014,44
cod,2015,44
cod,2016,44
cod,2017,38
cod,2018,38
cod,2019,38
cog,2004,75
cog,2005,75
cog,2006,75
cog,2007,54
cog,2008,54
cog,2009,54
cog,2010,54
cog,2011,54
cog,2012,54
cog,2013,54
cog,2014,54
cog,2015,54
cog,2016,54
cog,2017,54
cog,2018,54
cog,2019,54
col,2004,23
col,2005,23
col,2006,23
col,2007,23
col,2008,23
col,2009,21
col,2010,21
col,2011,16
col,2012,16
col,2013,15
col,2014,15
col,2015,15
col,2016,15
col,2017,15
col,2018,15
col,2019,15
com,2005,30
com,2006,30
com,2007,30
com,2008,30
com,2009,30
com,2010,30
com,2011,30
com,2012,30
com,2013,30
com,2014,30
com,2015,30
com,2016,30
com,2017,30
com,2018,30
com,2019,30
cpv,2005,83
cpv,2006,83
cpv,2007,83
cpv,2008,73
cpv,2009,73
cpv,2010,73
cpv,2011,31
cpv,2012,31
cpv,2013,22
cpv,2014,22
cpv,2015,22
cpv,2016,22
cpv,2017,22
cpv,2018,22
cpv,2019,19
cri,2004,21
cri,2005,21
cri,2006,21
cri,2007,21
cri,2008,21
cri,2009,21
cri,2010,20.5
cri,2011,19
cri,2012,19
cri,2013,19
cri,2014,19
cri,2015,19
cri,2016,19
cri,2017,11
cri,2018,11
cri,2019,11
cyp,2008,43
cyp,2009,43
cyp,2010,43
cyp,2011,43
cyp,2012,21
cyp,2013,21
cyp,2014,9
cyp,2015,9
cyp,2016,9
cyp,2017,9
cyp,2018,9
cyp,2019,9
cze,2004,124
cze,2005,124
cze,2006,124
cze,2007,124
cze,2008,124
cze,2009,79
cze,2010,44
cze,2011,26
cze,2012,25
cze,2013,25
cze,2014,30.5
cze,2015,30.5
cze,2016,27.5
cze,2017,27.5
cze,2018,27.5
cze,2019,27.5
deu,2004,52
deu,2005,52
deu,2006,52
deu,2007,52
deu,2008,52
deu,2009,52
deu,2010,52
deu,2011,52
deu,2012,52
deu,2013,52
deu,2014,52
deu,2015,52
deu,2016,52
deu,2017,52
deu,2018,52
deu,2019,52
dji,2005,54
dji,2006,54
dji,2007,45
dji,2008,45
dji,2009,45
dji,2010,45
dji,2011,45
dji,2012,45
dji,2013,45
dji,2014,45
dji,2015,45
dji,2016,45
dji,2017,45
dji,2018,24
dji,2019,24
dma,2005,42
dma,2006,42
dma,2007,42
dma,2008,42
dma,2009,42
dma,2010,42
dma,2011,42
dma,2012,42
dma,2013,42
dma,2014,42
dma,2015,42
dma,2016,42
dma,2017,42
dma,2018,125
dma,2019,125
dnk,2004,42
dnk,2005,42
dnk,2006,42
dnk,2007,42
dnk,2008,42
dnk,2009,42
dnk,2010,41
dnk,2011,15
dnk,2012,9
dnk,2013,4
dnk,2014,4
dnk,2015,4
dnk,2016,4
dnk,2017,4
dnk,2018,4
dnk,2019,4
dom,2004,92
dom,2005,92
dom,2006,92
dom,2007,45
dom,2008,45
dom,2009,45
dom,2010,45
dom,2011,45
dom,2012,45
dom,2013,45
dom,2014,45
dom,2015,45
dom,2016,45
dom,2017,45
dom,2018,33
dom,2019,33
dza,2004,74
dza,2005,74
dza,2006,74
dza,2007,74
dza,2008,74
dza,2009,55
dza,2010,55
dza,2011,55
dza,2012,55
dza,2013,55
dza,2014,55
dza,2015,55
dza,2016,55
dza,2017,55
dza,2018,55
dza,2019,55
ecu,2004,18
ecu,2005,16
ecu,2006,16
ecu,2007,13
ecu,2008,13
ecu,2009,13
ecu,2010,13
ecu,2011,13
ecu,2012,36
ecu,2013,36
ecu,2014,36
ecu,2015,36
ecu,2016,36
ecu,2017,36
ecu,2018,36
ecu,2019,26
egy,2004,195
egy,2005,195
egy,2006,195
egy,2007,195
egy,2008,89
egy,2009,89
egy,2010,89
egy,2011,89
egy,2012,89
egy,2013,79
egy,2014,76
egy,2015,76
egy,2016,76
egy,2017,76
egy,2018,76
egy,2019,76
eri,2004,78
eri,2005,78
eri,2006,78
eri,2007,78
eri,2008,78
eri,2009,78
eri,2010,78
eri,2011,78
eri,2012,78
eri,2013,78
eri,2014,78
eri,2015,78
eri,2016,78
eri,2017,78
eri,2018,78
eri,2019,78
esp,2004,25.5
esp,2005,20.5
esp,2006,13.5
esp,2007,13.5
esp,2008,13.5
esp,2009,13.5
esp,2010,13.5
esp,2011,13.5
esp,2012,13.5
esp,2013,13.5
esp,2014,13
esp,2015,13
esp,2016,13
esp,2017,13
esp,2018,13
esp,2019,13
est,2004,50.5
est,2005,50.5
est,2006,50.5
est,2007,50.5
est,2008,50.5
est,2009,17.5
est,2010,17.5
est,2011,17.5
est,2012,17.5
est,2013,17.5
est,2014,17.5
est,2015,17.5
est,2016,17.5
est,2017,17.5
est,2018,17.5
est,2019,17.5
eth,2004,54
eth,2005,54
eth,2006,54
eth,2007,54
eth,2008,54
eth,2009,52
eth,2010,52
eth,2011,52
eth,2012,52
eth,2013,52
eth,2014,52
eth,2015,52
eth,2016,52
eth,2017,52
eth,2018,52
eth,2019,52
fin,2004,14
fin,2005,14
fin,2006,14
fin,2007,14
fin,2008,14
fin,2009,14
fin,2010,14
fin,2011,14
fin,2012,14
fin,2013,14
fin,2014,62
fin,2015,62
fin,2016,62
fin,2017,62
fin,2018,62
fin,2019,61.5
fji,2004,68
fji,2005,68
fji,2006,68
fji,2007,68
fji,2008,68
fji,2009,68
fji,2010,68
fji,2011,68
fji,2012,69
fji,2013,69
fji,2014,69
fji,2015,69
fji,2016,69
fji,2017,69
fji,2018,69
fji,2019,69
fra,2004,182
fra,2005,182
fra,2006,182
fra,2007,122
fra,2008,113
fra,2009,113
fra,2010,74
fra,2011,74
fra,2012,74
fra,2013,74
fra,2014,64
fra,2015,64
fra,2016,64
fra,2017,64
fra,2018,42
fra,2019,42
gab,2005,58
gab,2006,58
gab,2007,58
gab,2008,58
gab,2009,37
gab,2010,37
gab,2011,37
gab,2012,102
gab,2013,102
gab,2014,102
gab,2015,72
gab,2016,72
gab,2017,72
gab,2018,72
gab,2019,72
gbr,2004,41.5
gbr,2005,41.5
gbr,2006,41.5
gbr,2007,41.5
gbr,2008,41.5
gbr,2009,28.5
gbr,2010,28.5
gbr,2011,28.5
gbr,2012,28.5
gbr,2013,21.5
gbr,2014,21.5
gbr,2015,21.5
gbr,2016,21.5
gbr,2017,21.5
gbr,2018,21.5
gbr,2019,21.5
geo,2004,39
geo,2005,9
geo,2006,8
geo,2007,5
geo,2008,3
geo,2009,3
geo,2010,1
geo,2011,1
geo,2012,1
geo,2013,1
geo,2014,1
geo,2015,1
geo,2016,1
geo,2017,1
geo,2018,1
geo,2019,1
gha,2004,168
gha,2005,168
gha,2006,168
gha,2007,33
gha,2008,33
gha,2009,33
gha,2010,33
gha,2011,33
gha,2012,33
gha,2013,33
gha,2014,33
gha,2015,33
gha,2016,33
gha,2017,33
gha,2018,33
gha,2019,33
gin,2004,59
gin,2005,59
gin,2006,59
gin,2007,59
gin,2008,59
gin,2009,59
gin,2010,59
gin,2011,59
gin,2012,59
gin,2013,59
gin,2014,44
gin,2015,44
gin,2016,44
gin,2017,44
gin,2018,44
gin,2019,44
gmb,2005,73
gmb,2006,73
gmb,2007,73
gmb,2008,73
gmb,2009,73
gmb,2010,73
gmb,2011,73
gmb,2012,73
gmb,2013,73
gmb,2014,73
gmb,2015,73
gmb,2016,73
gmb,2017,73
gmb,2018,73
gmb,2019,73
gnb,2005,207
gnb,2006,207
gnb,2007,207
gnb,2008,207
gnb,2009,207
gnb,2010,207
gnb,2011,207
gnb,2012,207
gnb,2013,48
gnb,2014,48
gnb,2015,48
gnb,2016,48
gnb,2017,48
gnb,2018,48
gnb,2019,48
gnq,2005,23
gnq,2006,23
gnq,2007,23
gnq,2008,23
gnq,2009,23
gnq,2010,23
gnq,2011,23
gnq,2012,23
gnq,2013,23
gnq,2014,23
gnq,2015,23
gnq,2016,23
gnq,2017,23
gnq,2018,23
gnq,2019,23
grc,2004,24
grc,2005,24
grc,2006,24
grc,2007,24
grc,2008,24
grc,2009,24
grc,2010,26
grc,2011,26
grc,2012,26
grc,2013,26
grc,2014,26
grc,2015,26
grc,2016,26
grc,2017,26
grc,2018,26
grc,2019,26
grd,2005,77
grd,2006,77
grd,2007,77
grd,2008,77
grd,2009,77
grd,2010,47
grd,2011,47
grd,2012,47
grd,2013,47
grd,2014,32
grd,2015,32
grd,2016,32
grd,2017,32
grd,2018,32
grd,2019,32
gtm,2004,69
gtm,2005,69
gtm,2006,38
gtm,2007,31
gtm,2008,31
gtm,2009,28
gtm,2010,24
gtm,2011,24
gtm,2012,24
gtm,2013,24
gtm,2014,24
gtm,2015,24
gtm,2016,24
gtm,2017,24
gtm,2018,24
gtm,2019,24
guy,2004,37
guy,2005,37
guy,2006,28
guy,2007,37
guy,2008,37
guy,2009,37
guy,2010,35
guy,2011,76
guy,2012,76
guy,2013,76
guy,2014,76
guy,2015,76
guy,2016,76
guy,2017,46
guy,2018,46
guy,2019,46
hkg,2004,27.5
hkg,2005,27.5
hkg,2006,27.5
hkg,2007,27.5
hkg,2008,27.5
hkg,2009,27.5
hkg,2010,27.5
hkg,2011,27.5
hkg,2012,27.5
hkg,2013,27.5
hkg,2014,27.5
hkg,2015,27.5
hkg,2016,27.5
hkg,2017,27.5
hkg,2018,27.5
hkg,2019,27.5
hnd,2004,35
hnd,2005,35
hnd,2006,35
hnd,2007,22
hnd,2008,22
hnd,2009,22
hnd,2010,22
hnd,2011,22
hnd,2012,22
hnd,2013,22
hnd,2014,22
hnd,2015,22
hnd,2016,22
hnd,2017,29
hnd,2018,29
hnd,2019,28.5
hrv,2004,956
hrv,2005,956
hrv,2006,398
hrv,2007,173
hrv,2008,173
hrv,2009,103
hrv,2010,103
hrv,2011,73
hrv,2012,73
hrv,2013,73
hrv,2014,73
hrv,2015,63
hrv,2016,48
hrv,2017,48
hrv,2018,48
hrv,2019,33
hti,2004,690
hti,2005,690
hti,2006,690
hti,2007,308
hti,2008,308
hti,2009,308
hti,2010,319
hti,2011,319
hti,2012,319
hti,2013,319
hti,2014,319
hti,2015,319
hti,2016,319
hti,2017,319
hti,2018,319
hti,2019,319
hun,2004,77.5
hun,2005,77.5
hun,2006,77.5
hun,2007,62.5
hun,2008,16.5
hun,2009,16.5
hun,2010,16.5
hun,2011,16.5
hun,2012,16.5
hun,2013,16.5
hun,2014,16.5
hun,2015,16.5
hun,2016,17.5
hun,2017,17.5
hun,2018,17.5
hun,2019,17.5
idn,2013,27.64
idn,2014,27.64
idn,2015,27.64
idn,2016,27.64
idn,2017,27.64
idn,2018,30.64
idn,2019,30.64
ind,2013,63.1
ind,2014,63.1
ind,2015,63.1
ind,2016,63.1
ind,2017,62.63
ind,2018,61.22
ind,2019,57.93
irl,2004,36.5
irl,2005,36.5
irl,2006,36.5
irl,2007,36.5
irl,2008,36.5
irl,2009,36.5
irl,2010,36.5
irl,2011,37
irl,2012,36.5
irl,2013,36.5
irl,2014,31.5
irl,2015,31.5
irl,2016,31.5
irl,2017,31.5
irl,2018,31.5
irl,2019,31.5
irn,2004,32
irn,2005,32
irn,2006,32
irn,2007,32
irn,2008,32
irn,2009,32
irn,2010,32
irn,2011,32
irn,2012,32
irn,2013,32
irn,2014,32
irn,2015,32
irn,2016,32
irn,2017,31
irn,2018,31
irn,2019,31
irq,2004,51
irq,2005,51
irq,2006,51
irq,2007,51
irq,2008,51
irq,2009,51
irq,2010,51
irq,2011,51
irq,2012,51
irq,2013,51
irq,2014,51
irq,2015,51
irq,2016,51
irq,2017,51
irq,2018,51
irq,2019,51
isl,2004,4
isl,2005,4
isl,2006,4
isl,2007,4
isl,2008,4
isl,2009,4
isl,2010,4
isl,2011,4
isl,2012,3.5
isl,2013,3.5
isl,2014,3.5
isl,2015,3.5
isl,2016,3.5
isl,2017,3.5
isl,2018,3.5
isl,2019,3.5
isr,2004,144
isr,2005,144
isr,2006,144
isr,2007,144
isr,2008,144
isr,2009,144
isr,2010,144
isr,2011,144
isr,2012,81
isr,2013,81
isr,2014,81
isr,2015,81
isr,2016,81
isr,2017,80.5
isr,2018,37
isr,2019,37
ita,2004,25
ita,2005,25
ita,2006,25
ita,2007,25
ita,2008,25
ita,2009,25
ita,2010,25
ita,2011,25
ita,2012,25
ita,2013,16
ita,2014,16
ita,2015,16
ita,2016,16
ita,2017,16
ita,2018,16
ita,2019,16
jam,2004,51
jam,2005,51
jam,2006,51
jam,2007,51
jam,2008,35
jam,2009,35
jam,2010,17.5
jam,2011,17.5
jam,2012,17.5
jam,2013,17
jam,2014,18
jam,2015,18
jam,2016,18
jam,2017,19
jam,2018,19
jam,2019,19
jor,2004,21
jor,2005,21
jor,2006,21
jor,2007,21
jor,2008,21
jor,2009,21
jor,2010,21
jor,2011,21
jor,2012,21
jor,2013,21
jor,2014,17
jor,2015,17
jor,2016,17
jor,2017,17
jor,2018,17
jor,2019,17
jpn,2013,13
jpn,2014,13
jpn,2015,13
jpn,2016,13
jpn,2017,13
jpn,2018,13
jpn,2019,13
kaz,2004,52
kaz,2005,52
kaz,2006,52
kaz,2007,52
kaz,2008,40
kaz,2009,40
kaz,2010,40
kaz,2011,40
kaz,2012,40
kaz,2013,23
kaz,2014,11
kaz,2015,4.5
kaz,2016,3.5
kaz,2017,3.5
kaz,2018,3.5
kaz,2019,4.5
ken,2004,49
ken,2005,72
ken,2006,72
ken,2007,72
ken,2008,72
ken,2009,72
ken,2010,72
ken,2011,72
ken,2012,72
ken,2013,72
ken,2014,72
ken,2015,61
ken,2016,61
ken,2017,61
ken,2018,49
ken,2019,43.5
kgz,2004,6
kgz,2005,6
kgz,2006,6
kgz,2007,6
kgz,2008,7
kgz,2009,5
kgz,2010,5
kgz,2011,5
kgz,2012,5
kgz,2013,5
kgz,2014,5
kgz,2015,3.5
kgz,2016,3.5
kgz,2017,3.5
kgz,2018,3.5
kgz,2019,3.5
khm,2004,56
khm,2005,56
khm,2006,56
khm,2007,56
khm,2008,56
khm,2009,56
khm,2010,56
khm,2011,56
khm,2012,56
khm,2013,56
khm,2014,56
khm,2015,56
khm,2016,56
khm,2017,56
khm,2018,55
khm,2019,55
kir,2004,513
kir,2005,513
kir,2006,513
kir,2007,513
kir,2008,513
kir,2009,513
kir,2010,513
kir,2011,513
kir,2012,513
kir,2013,513
kir,2014,513
kir,2015,513
kir,2016,513
kir,2017,513
kir,2018,513
kir,2019,513
kna,2005,82
kna,2006,82
kna,2007,82
kna,2008,82
kna,2009,82
kna,2010,82
kna,2011,82
kna,2012,82
kna,2013,82
kna,2014,82
kna,2015,82
kna,2016,224
kna,2017,224
kna,2018,224
kna,2019,224
kor,2004,10
kor,2005,10
kor,2006,9.5
kor,2007,9.5
kor,2008,9.5
kor,2009,9
kor,2010,9
kor,2011,9
kor,2012,9
kor,2013,9
kor,2014,7
kor,2015,6.5
kor,2016,5.5
kor,2017,5.5
kor,2018,5.5
kor,2019,5.5
kos,2009,30
kos,2010,37
kos,2011,37
kos,2012,37
kos,2013,32
kos,2014,32
kos,2015,32
kos,2016,32
kos,2017,32
kos,2018,32
kos,2019,32
kwt,2004,77
kwt,2005,77
kwt,2006,57
kwt,2007,57
kwt,2008,57
kwt,2009,57
kwt,2010,56
kwt,2011,50
kwt,2012,50
kwt,2013,50
kwt,2014,70
kwt,2015,70
kwt,2016,70
kwt,2017,35
kwt,2018,35
kwt,2019,17
lao,2004,46
lao,2005,46
lao,2006,46
lao,2007,46
lao,2008,46
lao,2009,46
lao,2010,55
lao,2011,55
lao,2012,55
lao,2013,55
lao,2014,55
lao,2015,55
lao,2016,55
lao,2017,28
lao,2018,28
lao,2019,28
lbn,2004,28
lbn,2005,28
lbn,2006,28
lbn,2007,28
lbn,2008,28
lbn,2009,28
lbn,2010,28
lbn,2011,28
lbn,2012,28
lbn,2013,28
lbn,2014,28
lbn,2015,37
lbn,2016,37
lbn,2017,37
lbn,2018,37
lbn,2019,37
lbr,2006,50
lbr,2007,50
lbr,2008,50
lbr,2009,50
lbr,2010,50
lbr,2011,50
lbr,2012,50
lbr,2013,44
lbr,2014,44
lbr,2015,44
lbr,2016,44
lbr,2017,44
lbr,2018,44
lbr,2019,44
lca,2005,17
lca,2006,17
lca,2007,17
lca,2008,17
lca,2009,17
lca,2010,17
lca,2011,17
lca,2012,17
lca,2013,17
lca,2014,17
lca,2015,17
lca,2016,17
lca,2017,17
lca,2018,17
lca,2019,17
lie,2018,17
lie,2019,17
lka,2004,71
lka,2005,71
lka,2006,71
lka,2007,71
lka,2008,71
lka,2009,71
lka,2010,71
lka,2011,71
lka,2012,50
lka,2013,51
lka,2014,51
lka,2015,51
lka,2016,51
lka,2017,51
lka,2018,39
lka,2019,39
lso,2004,101
lso,2005,101
lso,2006,101
lso,2007,101
lso,2008,101
lso,2009,101
lso,2010,101
lso,2011,101
lso,2012,101
lso,2013,43
lso,2014,43
lso,2015,43
lso,2016,43
lso,2017,43
lso,2018,43
lso,2019,43
ltu,2004,4
ltu,2005,4
ltu,2006,4
ltu,2007,4
ltu,2008,4
ltu,2009,4
ltu,2010,4
ltu,2011,3.5
ltu,2012,3.5
ltu,2013,3.5
ltu,2014,3.5
ltu,2015,3.5
ltu,2016,3.5
ltu,2017,3.5
ltu,2018,3.5
ltu,2019,3.5
lux,2006,26.5
lux,2007,26.5
lux,2008,26.5
lux,2009,26.5
lux,2010,26.5
lux,2011,26.5
lux,2012,26.5
lux,2013,26.5
lux,2014,26.5
lux,2015,26.5
lux,2016,26.5
lux,2017,26.5
lux,2018,26.5
lux,2019,26.5
lva,2004,55
lva,2005,55
lva,2006,54
lva,2007,54
lva,2008,49.5
lva,2009,44.5
lva,2010,41.5
lva,2011,17.5
lva,2012,17.5
lva,2013,17.5
lva,2014,17.5
lva,2015,16.5
lva,2016,16.5
lva,2017,16.5
lva,2018,16.5
lva,2019,16.5
mar,2004,78
mar,2005,78
mar,2006,78
mar,2007,76
mar,2008,76
mar,2009,76
mar,2010,76
mar,2011,76
mar,2012,76
mar,2013,61
mar,2014,41
mar,2015,31
mar,2016,21
mar,2017,21
mar,2018,20.5
mar,2019,20
mda,2004,49
mda,2005,49
mda,2006,49
mda,2007,49
mda,2008,49
mda,2009,6
mda,2010,6
mda,2011,6
mda,2012,5.5
mda,2013,5.5
mda,2014,5.5
mda,2015,5.5
mda,2016,5.5
mda,2017,5.5
mda,2018,5.5
mda,2019,5.5
mdg,2004,137
mdg,2005,137
mdg,2006,137
mdg,2007,137
mdg,2008,100
mdg,2009,100
mdg,2010,100
mdg,2011,100
mdg,2012,100
mdg,2013,100
mdg,2014,100
mdg,2015,100
mdg,2016,100
mdg,2017,100
mdg,2018,100
mdg,2019,100
mdv,2010,57
mdv,2011,57
mdv,2012,57
mdv,2013,57
mdv,2014,57
mdv,2015,57
mdv,2016,57
mdv,2017,57
mdv,2018,57
mdv,2019,57
mex,2013,66.16
mex,2014,65.33
mex,2015,65.33
mex,2016,42.09
mex,2017,38.77
mex,2018,38.77
mex,2019,38.77
mkd,2004,100
mkd,2005,100
mkd,2006,100
mkd,2007,100
mkd,2008,67
mkd,2009,60
mkd,2010,60
mkd,2011,43
mkd,2012,43
mkd,2013,31
mkd,2014,31
mkd,2015,30
mkd,2016,30
