geo,time,ip_tmk_nrct
bih,2004,10179
bih,2005,10578
bih,2006,11867
bih,2007,13021
bih,2008,13138
bih,2010,10697
bih,2011,11231
bih,2012,9651
bih,2013,10301
bih,2014,9508
bih,2015,9247
bih,2016,9735
bih,2017,9288
bih,2018,9333
bih,2019,8921
bih,2020,8894
blr,2004,13899
blr,2012,17749
blr,2013,18175
blr,2014,15652
blr,2015,14329
blr,2016,14065
blr,2017,14511
blr,2018,15602
blr,2019,14834
blr,2020,14357
bol,2004,3105
bol,2005,3732
bol,2006,3677
bol,2007,4208
bol,2010,4315
bol,2011,4924
bol,2012,4324
bol,2013,5637
bol,2014,5565
bol,2016,4923
bol,2017,4713
bra,2004,13871
bra,2005,16219
bra,2006,18197
bra,2007,20275
bra,2008,22342
bra,2009,18450
bra,2010,23524
bra,2011,30028
bra,2012,31181
bra,2013,31094
bra,2014,29091
bra,2015,27989
bra,2016,28490
bra,2017,26911
bra,2018,28358
bra,2019,27480
bra,2020,37159
brb,2004,981
brb,2005,909
brb,2006,966
brb,2007,1223
brb,2008,1079
brb,2009,808
brb,2010,1061
brb,2011,1229
brb,2012,1202
brb,2013,959
brb,2014,1337
brb,2015,1178
brb,2016,892
brb,2017,840
brb,2019,799
brb,2020,752
brn,2016,1987
brn,2017,3364
brn,2018,4098
brn,2019,4194
brn,2020,3692
btn,2011,1825
btn,2012,1894
btn,2013,2032
btn,2015,1980
btn,2016,2075
btn,2017,3803
btn,2018,4290
btn,2019,4377
btn,2020,2107
bwa,2011,2328
bwa,2012,2771
bwa,2013,2529
bwa,2014,2621
bwa,2015,2858
bwa,2016,2762
bwa,2017,2684
bwa,2018,2558
bwa,2019,2828
bwa,2020,2499
can,2010,53441
can,2011,60729
can,2012,64456
can,2013,64281
can,2014,66404
can,2015,71630
can,2016,72182
can,2017,79959
can,2018,81314
can,2019,82431
can,2020,84710
che,2004,40390
che,2005,43741
che,2006,47227
che,2007,52695
che,2008,52662
che,2009,44965
che,2010,46280
che,2011,48969
che,2012,47547
che,2013,48281
che,2014,47670
che,2015,49453
che,2016,52692
che,2017,52490
che,2018,54566
che,2019,55614
che,2020,56090
chl,2007,10908
chl,2008,12036
chl,2009,21281
chl,2010,24328
chl,2011,13925
chl,2012,13684
chl,2013,13794
chl,2014,13701
chl,2015,14061
chl,2016,13548
chl,2017,13640
chl,2018,14505
chl,2019,14032
chl,2020,13214
chn,2004,69928
chn,2005,81706
chn,2006,90368
chn,2007,99869
chn,2008,102158
chn,2009,85338
chn,2010,106470
chn,2011,140675
chn,2012,144834
chn,2013,144932
chn,2014,144152
chn,2015,169330
chn,2016,170770
chn,2017,200594
chn,2018,238165
chn,2019,250553
chn,2020,229248
cod,2018,157
cod,2019,108
cod,2020,201
col,2004,6251
col,2005,8060
col,2006,8400
col,2007,9876
col,2008,9579
col,2009,8418
col,2010,10218
col,2011,12108
col,2012,13209
col,2013,16796
col,2014,17873
col,2015,17784
col,2016,18398
col,2017,17325
col,2018,19692
col,2019,19529
col,2020,18512
cpv,2016,254
cpv,2017,162
cpv,2018,211
cpv,2019,193
cpv,2020,136
cri,2004,5006
cri,2005,5428
cri,2006,6620
cri,2007,5882
cri,2010,6229
cri,2011,7365
cri,2012,7677
cri,2014,7241
cri,2015,7615
cri,2016,7376
cri,2017,6503
cri,2018,6529
cri,2019,6957
cri,2020,6135
cub,2006,5063
cub,2007,5155
cub,2008,4784
cub,2011,3649
cub,2012,3628
cub,2013,3520
cub,2014,3483
cub,2015,8112
cub,2016,7599
cub,2017,5229
cub,2018,4669
cub,2019,4321
cub,2020,3424
cyp,2004,5276
cyp,2005,4450
cyp,2006,5027
cyp,2007,4737
cyp,2008,4969
cyp,2010,2723
cyp,2011,2715
cyp,2012,2518
cyp,2013,2224
cyp,2014,2102
cyp,2015,1727
cyp,2016,1871
cyp,2018,2971
cyp,2019,2611
cyp,2020,2102
cze,2004,18171
cze,2005,13873
cze,2006,13851
cze,2007,12848
cze,2008,11499
cze,2009,7859
cze,2010,7485
cze,2011,7347
cze,2012,6573
cze,2013,6424
cze,2014,5134
cze,2015,4340
cze,2016,5084
cze,2017,5340
cze,2018,5724
cze,2019,5196
cze,2020,4749
deu,2004,30244
deu,2005,29269
deu,2006,26686
deu,2007,26112
deu,2008,29356
deu,2009,22508
deu,2010,23923
deu,2011,24657
deu,2012,20994
deu,2013,21053
deu,2014,20535
deu,2015,19620
deu,2016,19688
deu,2017,22561
deu,2018,24198
deu,2019,25388
deu,2020,26332
dji,2013,339
dma,2004,37
dma,2005,34
dma,2006,59
dma,2007,76
dma,2016,254
dma,2017,162
dma,2018,170
dma,2019,149
dnk,2004,13274
dnk,2005,10915
dnk,2006,10196
dnk,2007,8680
dnk,2008,8350
dnk,2009,4883
dnk,2010,6062
dnk,2011,5203
dnk,2012,4377
dnk,2013,4308
dnk,2014,3873
dnk,2015,3536
dnk,2016,3522
dnk,2017,4125
dnk,2018,4605
dnk,2019,4572
dnk,2020,3914
dom,2004,4223
dom,2005,4175
dom,2006,4994
dom,2007,4794
dom,2008,4925
dom,2009,3981
dom,2010,4978
dom,2011,5791
dom,2012,6375
dom,2013,4165
dom,2014,5923
dom,2015,5843
dom,2016,5566
dom,2017,5519
dom,2018,5729
dom,2019,5618
dom,2020,5025
dza,2011,7605
dza,2012,7171
dza,2015,11968
dza,2017,9586
dza,2018,8753
dza,2019,9161
dza,2020,7765
ecu,2004,4769
ecu,2005,2224
ecu,2006,2387
ecu,2007,6527
ecu,2008,7872
ecu,2009,6592
ecu,2010,7445
ecu,2013,8371
ecu,2014,10383
ecu,2015,7276
ecu,2016,6636
ecu,2017,6289
ecu,2018,6534
ecu,2019,7080
ecu,2020,6323
egy,2004,9175
egy,2005,9862
egy,2006,11349
egy,2007,13547
egy,2008,11630
egy,2009,10748
egy,2010,13206
egy,2011,13087
egy,2012,12552
egy,2013,13302
egy,2014,13480
egy,2015,13746
egy,2016,14486
egy,2017,13615
egy,2018,14404
egy,2019,14752
esp,2004,23042
esp,2005,19432
esp,2006,20304
esp,2007,17841
esp,2008,17034
esp,2009,12535
esp,2010,10627
esp,2011,10004
esp,2012,8658
esp,2013,9120
esp,2014,8979
esp,2015,8051
esp,2016,8421
esp,2017,9281
esp,2018,10103
esp,2019,9981
esp,2020,8528
est,2004,9930
est,2006,7700
est,2007,7719
est,2008,6917
est,2009,4099
est,2010,4173
est,2011,4228
est,2012,3592
est,2013,3954
est,2014,3001
est,2015,2707
est,2016,2405
est,2017,3314
est,2018,3495
est,2019,3228
est,2020,2655
eth,2004,189
eth,2005,363
eth,2006,319
eth,2007,293
eth,2011,600
eth,2012,960
eth,2013,2800
eth,2014,2931
eth,2015,983
eth,2016,1177
eth,2017,1087
eth,2018,485
eth,2020,1434
fin,2004,11759
fin,2005,8776
fin,2007,7919
fin,2008,7565
fin,2009,4760
fin,2010,4341
fin,2011,4504
fin,2012,4119
fin,2013,3915
fin,2014,3232
fin,2015,3310
fin,2016,2865
fin,2017,3384
fin,2018,3861
fin,2019,3825
fin,2020,3007
fra,2013,17002
fra,2014,18061
fra,2015,17466
fra,2016,16038
fra,2017,17498
fra,2018,18992
fra,2019,18418
fra,2020,16139
gbr,2004,27154
gbr,2005,22725
gbr,2006,23638
gbr,2007,22941
gbr,2008,20439
gbr,2010,16116
gbr,2011,16265
gbr,2012,15058
gbr,2013,16545
gbr,2014,16616
gbr,2015,17910
gbr,2016,27305
gbr,2017,43986
gbr,2018,58968
gbr,2019,77933
gbr,2020,92881
geo,2005,6769
geo,2006,8788
geo,2007,9761
geo,2008,9875
geo,2009,7204
geo,2010,6979
geo,2011,7856
geo,2012,7940
geo,2013,8331
geo,2014,8151
geo,2015,7500
geo,2016,7205
geo,2017,8001
geo,2018,7833
geo,2019,8295
geo,2020,7182
gha,2015,4238
gha,2016,4627
gha,2017,4152
gha,2018,4514
gha,2020,4480
gin,2012,662
gin,2016,654
gin,2017,510
gin,2018,622
gmb,2004,530
gmb,2005,399
gmb,2006,297
gmb,2007,285
gmb,2008,510
gmb,2009,358
gmb,2010,500
gmb,2011,377
gmb,2012,418
gmb,2013,350
gmb,2014,517
gmb,2015,441
gmb,2016,1380
gmb,2017,1746
gmb,2018,2007
gmb,2019,2096
gmb,2020,1917
grd,2015,590
grd,2016,617
grd,2017,269
grd,2018,417
grd,2020,366
gtm,2004,3779
gtm,2005,4399
gtm,2006,5227
gtm,2007,5048
gtm,2008,5350
gtm,2009,4429
gtm,2010,5397
gtm,2017,5797
gtm,2018,5808
gtm,2019,5644
guy,2012,662
guy,2016,654
guy,2017,510
guy,2018,622
hkg,2004,21708
hkg,2006,28887
hkg,2007,30302
hkg,2008,31415
hkg,2009,27623
hkg,2010,32763
hkg,2011,38745
hkg,2012,41648
hkg,2013,43455
hkg,2014,46604
hkg,2015,47511
hkg,2016,44651
hkg,2017,46985
hkg,2018,52867
hkg,2019,47713
hkg,2020,40316
hnd,2004,4216
hnd,2005,4563
hnd,2006,4959
hnd,2007,5052
hnd,2008,4939
hnd,2009,3801
hnd,2010,4159
hnd,2011,5308
hnd,2012,5009
hnd,2013,5535
hnd,2014,4951
hnd,2015,5711
hnd,2016,5363
hnd,2017,4785
hnd,2018,4677
hnd,2019,4862
hnd,2020,3659
hrv,2004,16849
hrv,2005,17368
hrv,2006,19390
hrv,2007,20904
hrv,2008,21505
hrv,2009,16380
hrv,2010,15812
hrv,2011,15546
hrv,2012,14663
hrv,2013,10411
hrv,2014,4640
hrv,2015,3832
hrv,2016,3981
hrv,2017,3951
hrv,2018,4432
hrv,2019,3950
hrv,2020,3377
hti,2004,830
hti,2005,1079
hti,2006,1173
hti,2007,973
hti,2008,925
hti,2009,981
hti,2010,1365
hti,2011,1288
hti,2012,1202
hti,2013,1114
hti,2014,1189
hun,2004,17187
hun,2005,13135
hun,2006,13137
hun,2007,11663
hun,2008,11285
hun,2009,7165
hun,2010,6171
hun,2011,5965
hun,2012,5207
hun,2013,5409
hun,2014,4168
hun,2015,4185
hun,2016,3893
hun,2017,4373
hun,2018,4952
hun,2019,4424
hun,2020,3666
idn,2013,21839
idn,2014,11931
idn,2015,11877
idn,2016,14965
idn,2017,16191
idn,2018,29221
idn,2019,45049
idn,2020,43242
ind,2004,15090
ind,2005,12361
ind,2006,15211
ind,2007,6500
ind,2008,10801
ind,2009,7540
ind,2010,17806
ind,2011,22161
ind,2012,14806
ind,2013,17220
ind,2014,37586
ind,2015,39144
ind,2016,48786
ind,2017,41091
ind,2018,44916
ind,2019,45471
ind,2020,42289
irn,2016,13182
irn,2017,29249
irn,2018,29997
irn,2019,17272
irn,2020,15351
irq,2017,5000
irq,2018,10000
isl,2004,7619
isl,2005,8041
isl,2006,8635
isl,2007,9174
isl,2008,8649
isl,2009,7266
isl,2010,6701
isl,2011,6370
isl,2012,6822
isl,2013,6732
isl,2014,7072
isl,2015,6504
isl,2016,7545
isl,2017,7482
isl,2018,8167
isl,2019,7772
isl,2020,8064
isr,2004,5237
isr,2005,6159
isr,2006,6778
isr,2007,7285
isr,2008,7544
isr,2009,5572
isr,2010,7191
isr,2011,12143
isr,2012,13423
isr,2013,13838
isr,2014,14050
isr,2015,14890
isr,2016,15284
isr,2017,15739
isr,2018,17043
isr,2019,17379
isr,2020,17099
ita,2009,13613
ita,2010,12528
ita,2011,12552
ita,2012,10542
ita,2013,10424
ita,2014,10196
ita,2016,10616
ita,2017,11111
ita,2018,12881
ita,2019,12034
ita,2020,10703
jam,2011,2360
jam,2012,1982
jam,2013,2444
jam,2014,2743
jam,2015,3383
jam,2016,2607
jam,2017,2836
jam,2018,5624
jam,2019,3445
jam,2020,3683
jor,2004,3051
jor,2005,3078
jor,2006,3850
jor,2007,4633
jor,2010,4064
jor,2011,4514
jor,2012,4465
jor,2013,4397
jor,2014,4405
jor,2015,4760
jor,2016,4333
jor,2017,4562
jor,2018,4494
jor,2019,4076
jor,2020,3403
jpn,2013,46603
jpn,2014,49149
jpn,2015,54710
jpn,2016,60613
jpn,2017,64178
jpn,2018,73780
jpn,2019,74476
jpn,2020,78210
kaz,2004,9045
kaz,2008,14522
kaz,2012,16526
kaz,2013,17921
kaz,2016,14391
kaz,2018,16878
kaz,2019,15955
kaz,2020,15330
ken,2015,6188
ken,2017,6744
ken,2019,7451
ken,2020,6738
kgz,2004,5506
kgz,2006,7056
kgz,2007,8022
kgz,2008,8072
kgz,2011,6679
kgz,2012,6995
kgz,2013,7526
kgz,2014,6330
kgz,2015,6331
kgz,2016,6085
kgz,2017,6989
kgz,2018,7728
kgz,2019,7105
kgz,2020,6836
khm,2004,1192
khm,2005,1223
khm,2006,699
khm,2007,2206
khm,2008,2521
khm,2009,2271
khm,2010,3129
khm,2011,3664
khm,2012,4200
khm,2013,4886
khm,2014,3707
khm,2016,7855
khm,2017,8580
khm,2018,9862
khm,2019,10853
kna,2015,551
kna,2016,383
kna,2017,311
kna,2018,463
kor,2004,39614
kor,2005,40676
kor,2006,44007
kor,2007,51994
kor,2008,52425
kor,2009,43796
kor,2010,40769
kor,2011,38878
kor,2012,41448
kor,2013,42029
kor,2014,43145
kor,2015,44604
kor,2016,48180
kor,2017,49264
kor,2018,55999
kor,2019,55575
kor,2020,50627
kwt,2016,6388
kwt,2017,6434
kwt,2018,7195
lao,2004,1272
lao,2005,1428
lao,2006,1457
lao,2007,1663
lao,2008,1823
lao,2009,1505
lao,2010,1953
lao,2011,2633
lao,2012,2434
lao,2013,2834
lao,2014,2711
lao,2015,2657
lao,2016,3258
lao,2017,4278
lao,2018,5000
lbn,2013,274
lbn,2014,243
lbn,2015,284
lca,2012,376
lca,2013,363
lca,2014,403
lca,2016,338
lca,2017,303
lca,2018,352
lie,2013,7657
lie,2014,7364
lie,2015,7622
lie,2016,8269
lie,2017,8476
lie,2018,7940
lie,2019,8654
lie,2020,8340
lka,2004,3600
lka,2005,1900
lka,2006,2392
lka,2007,2835
lka,2008,3012
lka,2009,1915
lka,2010,2302
lka,2011,2925
lka,2012,3178
lka,2013,3344
lka,2015,3432
lka,2016,3935
lka,2018,4127
lka,2019,3709
lso,2018,2132
lso,2019,2282
lso,2020,1960
ltu,2004,11302
ltu,2005,8203
ltu,2006,8937
ltu,2007,9526
ltu,2008,8349
ltu,2009,5001
ltu,2010,4720
ltu,2011,4756
ltu,2012,4201
ltu,2013,4543
ltu,2014,3421
ltu,2015,3049
ltu,2016,2904
ltu,2017,3880
ltu,2018,4175
ltu,2019,3696
ltu,2020,3092
lva,2004,11096
lva,2005,8270
lva,2006,8874
lva,2007,8839
lva,2008,7716
lva,2009,4676
lva,2010,4661
lva,2011,4824
lva,2012,4176
lva,2013,4745
lva,2014,3501
lva,2015,3068
lva,2016,3072
lva,2017,3684
lva,2018,3905
lva,2019,3668
lva,2020,2988
mac,2004,2633
mac,2005,4091
mac,2006,4973
mac,2007,6529
mac,2008,7054
mac,2009,5340
mac,2010,5989
mac,2011,7350
mac,2012,8596
mac,2013,8893
mac,2014,10866
mac,2015,11307
mac,2016,9823
mac,2017,11105
mac,2018,14028
mac,2019,12884
mac,2020,11148
mar,2010,12619
mar,2012,12213
mar,2013,12737
mar,2014,12259
mar,2015,12474
mar,2016,13845
mar,2017,13039
mar,2018,14270
mar,2019,13187
mar,2020,11688
mco,2004,9886
mco,2005,9358
mco,2006,11057
mco,2007,11691
mco,2008,11227
mco,2009,8132
mco,2010,7732
mco,2011,7508
mco,2012,7648
mco,2013,7698
mco,2014,7308
mco,2015,6813
mco,2016,7614
mco,2017,7560
mco,2018,7972
mco,2019,7287
mco,2020,7163
mda,2004,8620
mda,2005,8409
mda,2006,11243
mda,2007,12089
mda,2008,11498
mda,2009,8605
mda,2010,9428
mda,2011,9638
mda,2012,9574
mda,2013,9833
mda,2014,8208
mda,2015,7493
mda,2016,8016
mda,2017,8292
mda,2018,8882
mda,2019,8167
mda,2020,8148
mdg,2004,578
mdg,2005,719
mdg,2006,905
mdg,2008,2148
mdg,2009,2221
mdg,2010,2588
mdg,2011,2821
mdg,2012,2798
mdg,2013,2780
mdg,2014,2887
mdg,2015,2930
mdg,2016,3296
mdg,2017,3014
mdg,2018,3467
mdg,2019,3250
mdg,2020,2960
mex,2004,20239
mex,2005,22219
mex,2006,24620
mex,2007,28606
mex,2008,27695
mex,2009,22660
mex,2010,25529
mex,2011,29190
mex,2012,29819
mex,2013,34092
mex,2014,38814
mex,2015,40744
mex,2016,42875
mex,2017,43161
mex,2018,46419
mex,2019,47215
mex,2020,44212
mkd,2004,10679
mlt,2004,1200
mlt,2005,1271
mlt,2006,859
mlt,2007,788
mlt,2008,733
mlt,2009,465
mlt,2010,415
mlt,2011,399
mlt,2012,382
mlt,2013,445
mlt,2014,340
mlt,2015,294
mlt,2016,167
mlt,2017,396
mlt,2019,196
mlt,2020,362
mmr,2010,2149
mmr,2011,2378
mmr,2012,4068
mne,2018,8339
mne,2019,8152
mne,2020,7762
mng,2004,7227
mng,2005,7548
mng,2006,4644
mng,2009,3348
mng,2010,4330
mng,2013,4620
mng,2014,4883
mng,2015,4605
mng,2016,4413
mng,2017,4755
mng,2018,5578
mng,2019,5671
mng,2020,5093
moz,2004,3546
moz,2005,3048
moz,2006,3875
moz,2007,3843
moz,2008,4258
moz,2009,2460
moz,2010,3124
moz,2011,3513
moz,2012,3652
moz,2013,3553
moz,2014,3998
moz,2015,4167
moz,2016,4038
moz,2017,3635
moz,2018,3867
moz,2019,4043
moz,2020,3411
mus,2011,1058
mus,2012,997
mus,2013,971
mus,2014,1000
mus,2015,1058
mus,2016,1218
mus,2017,1057
mus,2018,2704
mus,2019,2048
mus,2020,1968
mwi,2004,434
mwi,2005,335
mwi,2006,582
mwi,2007,539
mwi,2008,624
mwi,2009,540
mwi,2010,1834
mwi,2011,798
mwi,2012,755
mwi,2013,649
mwi,2014,666
mwi,2015,836
mwi,2016,668
mys,2004,10337
mys,2005,11668
mys,2006,12840
mys,2007,13605
mys,2008,13472
mys,2009,11260
mys,2010,13271
mys,2011,15832
mys,2012,17832
mys,2013,17520
mys,2014,19171
mys,2015,19983
mys,2016,20580
mys,2017,21612
mys,2018,23793
mys,2019,24219
mys,2020,26872
nam,2012,3861
nam,2013,3372
nam,2014,3579
nam,2015,3891
nam,2016,4110
nam,2017,3722
nam,2018,3372
nam,2019,6010
nam,2020,4248
nga,2017,8322
nga,2018,9504
nga,2019,7317
nic,2004,4160
nic,2005,4745
nic,2006,4646
nic,2007,4780
nic,2013,6800
nld_curacao,2010,1623
nld_curacao,2011,2542
nld_curacao,2012,2477
nld_curacao,2013,2188
nld_curacao,2014,2696
nld_curacao,2015,2573
nld_curacao,2016,2826
nld_curacao,2017,2020
nld_curacao,2018,2102
nld_curacao,2019,2413
nld_curacao,2020,1980
nor,2013,28769
nor,2014,27556
nor,2015,28236
nor,2016,31236
nor,2017,29908
nor,2018,31308
nor,2019,31354
nor,2020,31143
npl,2004,565
npl,2005,419
npl,2006,303
npl,2007,520
npl,2011,1379
npl,2012,1490
npl,2013,1706
npl,2014,1796
npl,2015,1812
npl,2016,1863
npl,2017,1677
nzl,2004,14540
nzl,2005,15829
nzl,2006,17316
nzl,2007,19731
nzl,2008,18041
nzl,2009,15243
nzl,2010,17373
nzl,2011,17730
nzl,2012,17987
nzl,2013,23046
nzl,2014,23955
nzl,2015,26382
nzl,2016,29120
nzl,2017,30112
nzl,2018,32479
nzl,2019,32666
nzl,2020,33024
omn,2015,5034
omn,2016,5534
omn,2017,4963
omn,2018,4560
omn,2019,4960
omn,2020,4660
pak,2004,5171
pak,2005,3765
pak,2006,4809
pak,2007,4952
pak,2008,4686
pak,2009,3297
pak,2011,4475
pak,2012,4342
pak,2013,5114
pak,2014,4691
pak,2015,4512
pak,2016,9109
pak,2017,7793
pak,2018,7438
pak,2019,5591
pak,2020,4130
pan,2005,5201
pan,2006,6089
pan,2007,6079
pan,2008,6321
pan,2009,5024
pan,2010,6569
pan,2011,7205
pan,2012,7712
pan,2013,7834
pan,2014,8069
pan,2015,7477
pan,2016,7460
pan,2017,6276
pan,2018,6872
pan,2019,6537
pan,2020,5574
per,2010,10035
per,2012,11464
per,2013,12484
per,2014,11979
per,2015,12393
per,2016,11352
per,2017,11496
per,2018,12935
per,2019,12853
per,2020,10970
phl,2008,14060
phl,2010,12827
phl,2012,14301
phl,2013,20257
phl,2014,21514
phl,2015,21907
phl,2016,25527
phl,2017,24636
phl,2018,26324
phl,2019,28573
phl,2020,25763
png,2004,371
png,2005,447
png,2006,553
png,2007,536
png,2012,860
png,2013,789
png,2014,796
png,2015,862
png,2016,753
png,2018,934
png,2019,660
png,2020,532
pol,2004,19901
pol,2005,15522
pol,2006,15740
pol,2007,14048
pol,2008,13335
pol,2009,9677
pol,2010,8668
pol,2011,8358
pol,2012,8015
pol,2013,8381
pol,2014,7102
pol,2015,6403
pol,2016,6917
pol,2017,7339
pol,2018,7657
pol,2019,7949
pol,2020,6069
prt,2004,15633
prt,2005,12743
prt,2006,12188
prt,2007,11145
prt,2008,10704
prt,2009,8009
prt,2010,6248
prt,2011,6141
prt,2012,4703
prt,2013,5095
prt,2014,4744
prt,2015,4288
prt,2016,5684
prt,2017,5965
prt,2018,5726
prt,2019,5815
prt,2020,4683
pry,2004,5749
pry,2005,6774
pry,2006,6426
pry,2007,7356
pry,2008,8506
pry,2009,7531
pry,2010,8962
pry,2018,5374
pry,2019,5630
pry,2020,4551
qat,2011,6387
qat,2012,6288
qat,2013,7182
qat,2014,6203
qat,2017,7007
qat,2019,7039
qat,2020,5871
rou,2004,18344
rou,2005,20957
rou,2006,22864
rou,2007,13367
rou,2008,11942
rou,2009,8188
rou,2010,6784
rou,2011,6462
rou,2012,5609
rou,2013,6087
rou,2014,5019
rou,2015,4550
rou,2016,4389
rou,2017,4416
rou,2018,5446
rou,2019,5252
rou,2020,4477
rus,2004,41413
rus,2005,46324
rus,2006,52631
rus,2007,61292
rus,2008,64880
rus,2009,50159
rus,2010,54448
rus,2011,58952
rus,2012,64598
rus,2013,67367
rus,2014,61691
rus,2015,57357
rus,2016,58137
rus,2017,58303
rus,2018,59637
rus,2019,60263
rus,2020,56826
rwa,2004,245
rwa,2005,187
rwa,2006,254
rwa,2007,224
rwa,2012,408
rwa,2014,2078
rwa,2015,2118
rwa,2016,2190
rwa,2017,2297
rwa,2018,2555
rwa,2019,2815
rwa,2020,2380
sau,2014,10760
sau,2015,10831
sau,2017,16233
sau,2018,13329
sau,2019,14258
sau,2020,9897
sdn,2004,2859
sdn,2005,2718
sdn,2006,3387
sdn,2007,3919
sdn,2008,3093
sdn,2009,2177
sdn,2010,3360
sdn,2011,3265
sdn,2012,3434
sdn,2013,3821
sdn,2014,3788
sdn,2015,3417
sdn,2016,3442
sdn,2017,3492
sdn,2018,3555
sdn,2019,3593
sdn,2020,2953
sgp,2007,26934
sgp,2008,26319
sgp,2009,21014
sgp,2010,24896
sgp,2011,28467
sgp,2012,30222
sgp,2013,30859
sgp,2014,32675
sgp,2015,33556
sgp,2016,35474
sgp,2017,37984
sgp,2018,41403
sgp,2019,42167
sgp,2020,39433
sle,2012,2149
sle,2013,1921
sle,2014,1983
sle,2016,2172
sle,2017,2165
sle,2018,2608
sle,2019,2562
sle,2020,2114
slv,2015,7030
slv,2016,6999
slv,2017,4056
slv,2018,6590
slv,2019,3264
slv,2020,6161
srb,2006,11796
srb,2007,19241
srb,2008,19300
srb,2009,14073
srb,2010,13750
srb,2011,14595
srb,2012,12938
srb,2013,14093
srb,2014,12790
srb,2015,12508
srb,2016,12952
srb,2017,13009
srb,2018,12989
srb,2019,13066
srb,2020,12908
stp,2005,203
stp,2006,155
stp,2007,128
stp,2008,147
stp,2009,1012
stp,2010,1276
stp,2011,1258
stp,2012,1467
stp,2013,1329
stp,2014,1361
stp,2015,1434
stp,2016,1645
stp,2017,1620
stp,2018,1746
stp,2019,1750
stp,2020,1370
sur,2012,835
sur,2013,705
sur,2014,827
sur,2015,611
sur,2016,813
sur,2017,632
sur,2018,665
svk,2004,16570
svk,2005,13106
svk,2006,12725
svk,2007,11874
svk,2008,11096
svk,2009,7013
svk,2010,6596
svk,2011,6498
svk,2012,5944
svk,2013,6930
svk,2014,5249
svk,2015,5118
svk,2016,4715
svk,2017,5298
svk,2018,5065
svk,2019,4847
svk,2020,4240
svn,2004,13032
svn,2005,9987
svn,2006,9599
svn,2008,8418
svn,2009,5524
svn,2010,5134
svn,2018,3887
swe,2008,8371
swe,2009,6015
swe,2010,5221
swe,2011,5639
swe,2012,4964
swe,2013,4838
swe,2014,3923
swe,2015,3793
swe,2016,4142
swe,2017,4377
swe,2018,5262
swe,2019,4800
