geo,time,sp_reg_brth_ma_zs
tha,2019,99.7
tjk,2012,82.9
tjk,2017,95.9
tkm,2016,99.6
tkm,2019,99.8
tls,2010,54.8
tls,2016,59.8
ton,2012,93.6
ton,2019,97.3
tto,2006,96.6
tto,2011,96.5
tun,2012,99
tun,2018,99.9
tur,2013,99
tur,2018,98.2
tuv,2007,49.2
tza,2008,21.3
tza,2010,16.6
tza,2012,20
tza,2016,27.8
uga,2006,21.4
uga,2011,29.9
uga,2016,32.2
ukr,2012,99.9
ury,2013,99.9
usa,2017,100
usa,2021,100
uzb,2006,99.9
vnm,2005,92.5
vnm,2014,95.9
vut,2013,44
wsm,2014,59.1
yem,2013,31.1
zmb,2007,14
zmb,2014,11.7
zmb,2018,14.1
zwe,2006,73.9
zwe,2011,48.3
zwe,2015,42.8
zwe,2019,48.4
