geo,time,se_sec_cmpt_lo_zs
arg,2014,88.91632
arg,2015,90.11586
arg,2016,89.20531
arg,2017,89.81704
arg,2018,90.86734
arg,2019,93.5392
arm,1994,90.54517
arm,2002,86.45846
arm,2003,85.45827
arm,2004,89.29159
arm,2005,96.79207
arm,2006,100.2897
arm,2007,95.30094
arm,2008,90.42601
arm,2009,106.27339
arm,2010,96.92009
arm,2016,87.51688
arm,2017,89.03903
arm,2018,93.2922
arm,2019,92.19805
arm,2020,90.10375
atg,1992,106.75
atg,2008,87.83141
atg,2009,83.10811
atg,2010,95.85561
atg,2011,103.01442
atg,2012,103.03422
atg,2013,87.80645
atg,2014,88.51706
atg,2015,95.76613
atg,2016,112.59411
atg,2017,108.24598
atg,2018,98.64865
aut,2002,103.61812
aut,2003,103.81988
aut,2006,102.33033
aut,2007,101.39655
aut,2008,100.7073
aut,2009,100.02937
aut,2010,101.87132
aut,2011,101.71398
aut,2012,99.30486
aut,2013,97.33421
aut,2014,96.90894
aut,2015,96.22541
aut,2016,97.17982
aut,2017,97.67306
aut,2018,97.46355
aut,2019,97.64547
aze,1993,93.17159
aze,1994,90.4699
aze,1996,87.96227
aze,1997,86.47208
aze,1999,86.10857
aze,2000,38.24668
aze,2001,73.99507
aze,2002,88.55607
aze,2003,85.51001
aze,2004,83.64337
aze,2005,82.84026
aze,2006,88.86907
aze,2007,89.59932
aze,2008,88.07868
aze,2009,90.74747
aze,2010,90.57911
aze,2011,89.31444
aze,2012,94.17598
aze,2013,86.74862
aze,2014,86.61914
aze,2015,86.07422
aze,2016,89.03829
aze,2017,88.45454
aze,2018,84.7131
aze,2020,101.28844
bdi,1971,0.95983
bdi,1972,0.85495
bdi,1977,1.1518
bdi,1978,1.23514
bdi,1979,1.17394
bdi,1980,1.11229
bdi,1981,1.42962
bdi,1982,1.86209
bdi,1983,1.48002
bdi,1984,1.31211
bdi,1985,1.299
bdi,1986,1.38528
bdi,1987,2.24618
bdi,1988,2.46491
bdi,1989,2.73511
bdi,1990,2.997
bdi,1992,4.98763
bdi,1993,5.20836
bdi,2004,7.87963
bdi,2005,8.23992
bdi,2006,9.08818
bdi,2008,12.06025
bdi,2009,16.42593
bdi,2010,16.59923
bdi,2011,18.47843
bdi,2012,20.29519
bdi,2013,23.84695
bdi,2014,26.74336
bdi,2015,33.87078
bdi,2016,40.44931
bdi,2017,39.72229
bdi,2018,32.57291
bdi,2019,29.77987
bdi,2021,29.95307
bel,1974,41.01808
bel,1975,43.46483
bel,1976,45.94369
bel,1977,48.73493
bel,1993,107.99886
bel,1994,108.69319
bel,2006,89.60427
bel,2007,86.28599
bel,2008,83.71251
bel,2009,84.16925
bel,2010,89.30755
bel,2011,92.20604
bel,2012,92.55734
bel,2013,93.75318
bel,2014,93.93034
bel,2015,95.04216
bel,2016,94.40424
bel,2017,93.55289
bel,2018,92.91881
bel,2019,92.52893
ben,1971,3.78592
ben,1972,4.31431
ben,1973,4.98535
ben,1974,5.42678
ben,1975,6.34491
ben,1976,8.49045
ben,1977,8.72997
ben,1978,8.51916
ben,1979,9.39847
ben,1980,9.25693
ben,1981,12.40432
ben,1983,17.89742
ben,1984,16.2756
ben,1985,15.71123
ben,1986,13.60372
ben,1987,9.46733
ben,1990,6.56985
ben,2000,15.20094
ben,2001,16.50734
ben,2002,18.04422
ben,2006,25.49648
ben,2011,37.39508
ben,2013,46.56493
ben,2014,43.17733
ben,2015,45.10023
ben,2016,45.8472
ben,2020,33.00318
bfa,1971,1.1591
bfa,1972,1.14604
bfa,1973,1.20457
bfa,1974,1.2694
bfa,1975,1.26995
bfa,1976,1.40767
bfa,1977,1.43765
bfa,1979,1.52623
bfa,1980,2.0847
bfa,1981,1.91856
bfa,1982,2.09422
bfa,1983,2.36238
bfa,1984,2.30715
bfa,1986,3.27639
bfa,1988,4.18747
bfa,1989,4.92276
bfa,1990,5.11716
bfa,1991,5.15972
bfa,1992,5.74518
bfa,1993,5.73321
bfa,1994,5.96561
bfa,2000,6.54365
bfa,2001,7.40017
bfa,2003,8.12627
bfa,2005,9.8929
bfa,2006,10.89828
bfa,2007,11.70575
bfa,2008,14.73745
bfa,2009,15.57864
bfa,2010,16.43927
bfa,2011,18.06627
bfa,2012,20.15292
bfa,2013,21.46516
bfa,2014,24.7252
bfa,2015,27.01158
bfa,2016,30.14426
bfa,2017,37.00937
bfa,2018,42.97488
bfa,2019,41.36985
bfa,2020,41.36942
bgd,1998,50.49427
bgd,1999,52.96337
bgd,2000,54.9888
bgd,2001,59.42726
bgd,2002,60.58318
bgd,2003,60.79832
bgd,2004,56.20922
bgd,2005,54.15239
bgd,2006,54.00374
bgd,2007,54.86219
bgd,2009,57.04098
bgd,2010,55.48678
bgd,2011,60.08864
bgd,2013,69.80339
bgd,2016,79.35987
bgd,2017,80.43597
bgd,2018,87.96587
bgr,1971,85.08646
bgr,1972,82.22327
bgr,1973,82.76308
bgr,1974,83.93433
bgr,1975,86.1711
bgr,1976,89.04674
bgr,1977,88.2636
bgr,1978,93.3099
bgr,1979,83.57974
bgr,1980,83.40809
bgr,1981,80.70576
bgr,1982,82.64054
bgr,1983,93.78943
bgr,1984,94.44711
bgr,1985,90.72433
bgr,1986,87.78151
bgr,1987,85.44697
bgr,1988,90.27375
bgr,1989,100.64561
bgr,1990,88.88948
bgr,1991,84.32724
bgr,1992,81.53281
bgr,1993,74.87889
bgr,1994,75.05836
bgr,1995,71.35717
bgr,1996,90.00677
bgr,1997,91.32014
bgr,1999,61.23456
bgr,2017,46.9901
bhr,1971,53.71628
bhr,1972,45.8174
bhr,1973,52.82152
bhr,1974,53.28287
bhr,1975,58.14338
bhr,1976,49.38065
bhr,1977,59.48022
bhr,1978,60.65548
bhr,1979,65.76698
bhr,1980,50.50222
bhr,1981,59.54087
bhr,1982,68.03924
bhr,1983,77.59387
bhr,1984,83.93136
bhr,1986,81.81953
bhr,1988,83.54787
bhr,1991,91.98036
bhr,1992,97.81208
bhr,1993,102.07129
bhr,1999,93.07388
bhr,2000,93.60989
bhr,2001,92.46775
bhr,2002,94.48122
bhr,2003,94.49308
bhr,2004,96.40576
bhr,2005,93.62187
bhr,2006,94.71214
bhr,2008,95.62757
bhr,2009,94.85598
bhr,2010,92.44215
bhr,2011,92.46175
bhr,2012,89.05646
bhr,2013,93.05419
bhr,2014,96.34489
bhr,2015,99.20396
bhr,2016,97.74154
bhr,2017,95.23229
bhr,2018,94.31429
bhr,2019,93.45412
bhs,1999,80.89516
bhs,2004,91.34695
bhs,2005,91.49217
bhs,2006,90.39193
bhs,2007,98.63058
bhs,2008,99.8087
bhs,2010,92.24312
bih,2011,28.53345
bih,2012,26.88657
bih,2013,48.77832
bih,2014,64.10029
bih,2015,71.49483
bih,2016,74.53884
bih,2017,81.15849
bih,2018,94.21225
blr,1971,97.65495
blr,1972,96.74224
blr,1973,100.17162
blr,1974,104.72582
blr,1975,102.91173
blr,1976,105.90471
blr,1977,100.70263
blr,1978,99.71181
blr,1979,98.59601
blr,1980,97.32482
blr,1981,99.83984
blr,1982,99.99931
blr,1983,100.47635
blr,1984,99.61801
blr,1985,99.79743
blr,1986,100.16624
blr,1988,98.29338
blr,1989,97.60849
blr,1990,95.68199
blr,1991,94.11296
blr,1992,93.82971
blr,1993,91.95938
blr,1994,92.53784
blr,1995,82.75943
blr,1996,93.61096
blr,1997,90.89359
blr,1999,99.15278
blr,2000,96.06584
blr,2001,98.82029
blr,2002,98.95215
blr,2003,101.1047
blr,2004,106.16698
blr,2005,110.52935
blr,2006,116.03013
blr,2007,141.87584
blr,2008,104.48757
blr,2010,97.67739
blr,2011,97.20362
blr,2012,97.4661
blr,2013,100.23891
blr,2014,105.66676
blr,2015,106.27688
blr,2016,107.40646
blr,2017,102.96729
blr,2018,97.84089
blz,1994,52.29947
blz,1995,49.22417
blz,1999,49.87624
blz,2000,52.12485
blz,2001,54.28872
blz,2003,61.4041
blz,2004,62.03887
blz,2005,62.15743
blz,2006,63.36741
blz,2007,58.88989
blz,2008,55.32661
blz,2009,59.70425
blz,2010,60.20281
blz,2011,62.63302
blz,2012,64.2476
blz,2013,65.1946
blz,2014,64.02999
blz,2015,67.98464
blz,2016,70.37978
blz,2017,66.86398
blz,2018,67.19005
blz,2019,69.59707
blz,2020,69.46467
bmu,2001,88.03717
bmu,2002,87.94489
bmu,2003,82.13058
bmu,2004,87.90323
bmu,2005,86.90614
bmu,2006,82.59346
bmu,2011,82.33083
bmu,2012,77.74936
bmu,2015,87.214
bol,1973,35.65949
bol,1990,50.41153
bol,1991,53.40422
bol,1992,52.01481
bol,1993,62.77738
bol,1994,64.31863
bol,1995,66.41454
bol,1996,68.14609
bol,1997,71.39973
bol,1998,67.0181
bol,1999,76.96768
bol,2000,80.23138
bol,2001,84.92192
bol,2002,89.94705
bol,2003,91.39216
bol,2004,95.94373
bol,2005,96.25146
bol,2006,93.79048
bol,2007,89.64115
bol,2008,92.97866
bol,2009,88.41746
bol,2010,87.29901
bol,2011,84.86394
bol,2012,86.00894
bol,2013,88.79995
bol,2014,93.06441
bol,2015,88.97346
bol,2016,85.87699
bol,2017,82.53676
bol,2018,83.0995
bol,2019,85.84814
bra,2004,75.85272
bra,2009,71.62493
bra,2011,71.75012
brb,1999,104.482
brb,2000,101.13468
brb,2001,99.07937
brb,2002,94.49472
brb,2003,101.36398
brb,2004,107.98383
brb,2005,106.4255
brb,2006,109.14372
brb,2007,102.3297
brb,2008,99.05443
brb,2009,100.72464
brb,2020,88.96778
brn,1973,40.60339
brn,1975,30.80331
brn,1976,42.05226
brn,1977,41.90378
brn,1978,40.05051
brn,1979,41.38798
brn,1980,35.95393
brn,1981,41.51687
brn,1982,43.53857
brn,1983,55.5234
brn,1984,59.45115
brn,1991,54.51587
brn,1992,53.57353
brn,1993,55.35578
brn,1994,66.30865
brn,2004,106.04058
brn,2005,103.431
brn,2006,102.75862
brn,2007,102.55406
brn,2008,101.47548
brn,2009,115.13761
brn,2010,104.31493
brn,2011,101.00362
brn,2012,104.4485
brn,2013,110.66344
brn,2014,105.78667
brn,2015,103.7971
brn,2016,101.48551
brn,2017,102.76276
brn,2018,105.84256
brn,2019,107.14736
brn,2020,110.98651
btn,1976,1.49709
btn,1977,2.33896
btn,1978,3.34563
btn,1979,3.4389
btn,1988,4.3801
btn,1993,5.11996
btn,1994,6.06901
btn,1998,17.97559
btn,1999,19.52801
btn,2000,23.53881
btn,2001,31.46404
btn,2004,39.74507
btn,2006,43.03
btn,2007,47.85503
btn,2008,49.32941
btn,2009,54.58707
btn,2010,64.57362
btn,2011,65.72905
btn,2012,67.73276
btn,2013,70.10877
btn,2014,76.32436
btn,2015,73.39759
btn,2016,80.17082
btn,2017,81.36452
btn,2018,82.485
btn,2019,84.981
btn,2020,85.07658
bwa,1985,40.12652
bwa,1986,37.60837
bwa,1987,36.9081
bwa,1988,17.48082
bwa,1989,55.19782
bwa,1990,53.4154
bwa,1991,73.10966
bwa,1992,75.53338
bwa,1993,88.48131
bwa,1994,86.36428
bwa,1995,87.6124
bwa,1998,91.49789
bwa,1999,90.37753
bwa,2000,92.25108
bwa,2001,91.55922
bwa,2002,89.55503
bwa,2003,89.27853
bwa,2004,90.40535
bwa,2005,89.56345
bwa,2006,92.43974
bwa,2007,89.55075
bwa,2008,90.9078
bwa,2012,95.46854
bwa,2013,93.87334
bwa,2014,98.00321
bwa,2015,99.07743
bwa,2017,92.83197
caf,1971,3.03992
caf,1972,3.99709
caf,1973,3.65693
caf,1974,5.33641
caf,1978,6.66866
caf,1981,8.57869
caf,1982,11.24819
caf,1983,10.31088
caf,1986,13.77163
caf,1987,9.33571
caf,1988,7.85689
caf,1989,8.12182
caf,1990,7.05164
caf,1991,7.3511
caf,2005,8.53138
caf,2009,9.24667
caf,2012,12.73837
caf,2016,9.81135
caf,2017,12.23707
che,1999,97.01629
che,2004,97.50999
che,2005,98.02414
che,2008,96.18022
che,2009,93.28114
che,2010,93.32449
che,2011,94.79603
che,2012,96.17463
che,2013,94.9717
che,2014,95.65591
che,2015,96.94526
che,2016,98.39038
che,2017,96.31986
che,2018,95.13865
che,2019,95.61929
chl,1970,54.69328
chl,1971,61.8549
chl,1972,66.616
chl,1973,68.29408
chl,1974,67.9191
chl,1975,66.71004
chl,1976,67.05893
chl,1977,69.214
chl,1983,78.88479
chl,1997,86.92391
chl,2011,94.97574
chl,2012,95.60127
chl,2013,92.37723
chl,2014,96.75612
chl,2015,95.87488
chl,2016,95.62891
chl,2017,93.81433
chl,2018,93.49134
chl,2019,94.3005
chn,1990,51.39884
chn,1991,53.41888
chn,1992,57.50356
chn,1993,62.17239
chn,1994,63.09292
chn,1995,65.28264
chn,1996,67.79126
chn,1997,75.74609
chn,2007,98.46726
chn,2008,101.71486
chn,2009,101.46995
chn,2010,99.08818
chn,2011,99.51549
civ,1971,8.35649
civ,1973,10.44659
civ,1974,9.83883
civ,1975,10.808
civ,1976,10.2773
civ,1977,11.0341
civ,1978,11.83645
civ,1979,12.32455
civ,1980,13.62404
civ,1981,15.61935
civ,1982,16.34481
civ,1983,17.06375
civ,1984,17.09033
civ,1985,16.89122
civ,1986,16.71768
civ,1987,15.0787
civ,1988,15.40492
civ,1989,16.29754
civ,1990,16.80538
civ,1991,19.08154
civ,1992,18.0758
civ,1993,18.57035
civ,1994,18.43971
civ,1995,18.31045
civ,1996,17.49415
civ,1997,21.53932
civ,1998,22.54457
civ,2000,23.65958
civ,2001,22.99904
civ,2002,24.75817
civ,2006,26.00353
civ,2007,26.06213
civ,2008,34.069
civ,2009,32.36911
civ,2011,27.76059
civ,2012,31.0211
civ,2013,34.129
civ,2014,31.68722
civ,2015,33.99787
civ,2016,38.63139
civ,2017,45.81292
civ,2018,49.3576
civ,2019,52.5844
civ,2020,57.30531
cmr,1971,5.40457
cmr,1972,6.17667
cmr,1973,6.61778
cmr,1974,7.87971
cmr,1975,8.89078
cmr,1976,8.94062
cmr,1977,9.69884
cmr,1978,10.52347
cmr,1979,10.76755
cmr,1980,10.85414
cmr,1981,11.64922
cmr,1982,12.12695
cmr,1983,12.84117
cmr,1984,14.04038
cmr,1985,13.9241
cmr,1986,14.96622
cmr,1987,16.14027
cmr,1988,17.2941
cmr,1990,22.62688
cmr,1991,21.46618
cmr,2003,22.50072
cmr,2006,18.536
cmr,2007,19.97143
cmr,2008,26.35052
cmr,2009,24.79315
cmr,2011,40.85289
cmr,2013,42.0594
cmr,2014,36.46105
cmr,2015,46.3965
cmr,2016,47.17264
cod,1971,12.0194
cod,1972,13.44072
cod,1974,13.58637
cod,1992,10.73895
cod,1993,12.06026
cod,1994,15.90557
cod,2012,41.53708
cod,2013,42.33936
cod,2014,50.43239
cog,1971,12.05972
cog,1972,14.73097
cog,1973,19.4897
cog,1974,24.16549
cog,1975,27.51736
cog,1976,29.95303
cog,1977,37.58455
cog,1978,40.64453
cog,1979,44.5919
cog,1981,48.07158
cog,1982,45.54154
cog,1983,37.07501
cog,1984,39.26172
cog,1987,35.47604
cog,1989,27.04095
cog,1993,33.17171
cog,1994,24.41597
cog,1996,29.52189
cog,2000,27.22505
cog,2001,33.4953
cog,2002,24.18634
cog,2003,27.11135
cog,2004,40.20225
cog,2008,43.21094
cog,2009,44.25498
cog,2010,43.41249
cog,2011,45.38618
cog,2012,50.1013
col,1983,33.27997
col,1984,36.59425
col,1985,37.768
col,1986,42.06083
col,1987,42.99983
col,1988,43.21732
col,1989,43.05141
col,1993,46.86613
col,1998,70.41802
col,2001,60.12486
col,2002,65.35965
col,2004,70.80351
col,2005,75.85193
col,2006,78.21257
col,2007,80.22671
col,2008,82.61654
col,2009,89.43965
col,2010,92.50737
col,2011,91.2465
col,2012,88.20769
col,2013,74.1675
col,2014,74.94326
col,2015,74.64495
col,2016,74.08378
col,2017,73.67667
col,2018,75.72469
col,2019,78.12623
com,1981,28.57966
com,1986,34.49508
com,1987,32.63551
com,1990,22.16771
com,1992,21.19499
com,1993,17.57075
com,2002,28.00599
com,2003,31.47919
com,2004,34.41489
com,2013,45.6542
com,2014,48.31392
com,2017,43.6627
cpv,1980,4.33766
cpv,1981,5.24406
cpv,1982,5.71839
cpv,1983,7.25679
cpv,1984,6.13307
cpv,1985,7.34997
cpv,1986,8.88775
cpv,1988,15.05927
cpv,1990,13.41104
cpv,1994,24.35494
cpv,2003,51.78015
cpv,2004,52.55221
cpv,2005,53.90444
cpv,2006,71.48277
cpv,2007,68.78668
cpv,2008,73.39633
cpv,2009,73.70665
cpv,2010,72.74423
cpv,2011,80.62029
cpv,2012,80.7717
cpv,2013,80.52602
cpv,2014,78.05491
cpv,2015,77.16199
cpv,2016,79.1699
cpv,2017,81.30422
cpv,2018,68.2232
cpv,2019,71.27355
cri,1970,19.42425
cri,1971,21.15958
cri,1972,25.97805
cri,1980,31.29494
cri,1981,32.57125
cri,1982,31.43053
cri,1983,28.22216
cri,1984,26.88944
cri,1985,28.23072
cri,1986,28.38151
cri,1987,27.13665
cri,1988,27.77016
cri,1989,26.31588
cri,1990,28.06804
cri,1991,29.09751
cri,1992,31.27487
cri,1993,29.72099
cri,1994,31.51719
cri,1995,31.61022
cri,1996,31.27999
cri,1999,37.98736
cri,2000,43.68756
cri,2001,42.66833
cri,2002,43.92519
cri,2004,52.01004
cri,2005,56.16021
cri,2006,55.81598
cri,2007,56.41199
cri,2008,58.01576
cri,2009,54.77516
cri,2010,54.1147
cri,2011,53.60002
cri,2012,58.53863
cri,2013,55.78986
cri,2014,58.76534
cri,2015,59.00381
cri,2016,56.5155
cri,2017,59.99917
cri,2018,70.29883
cri,2019,73.98821
cri,2020,69.22277
cub,1971,10.13752
cub,1972,9.89293
cub,1973,12.28662
cub,1974,14.3644
cub,1975,18.09999
cub,1976,20.84114
cub,1977,24.76063
cub,1978,48.23074
cub,1979,62.41958
cub,1980,77.53974
cub,1981,78.77736
cub,1982,84.42746
cub,1983,79.79978
cub,1984,78.79962
cub,1985,76.23964
cub,1986,82.54845
cub,1987,75.38606
cub,1988,76.30036
cub,1989,79.02975
cub,1990,80.72839
cub,1991,84.69744
cub,1992,80.63384
cub,1993,77.71806
cub,1994,75.66865
cub,1995,69.18215
cub,1996,66.95057
cub,1997,80.83652
cub,1999,84.2816
cub,2000,94.90401
cub,2001,83.13665
cub,2002,86.36735
cub,2003,89.61684
cub,2004,92.12932
cub,2005,100.53024
cub,2006,97.80991
cub,2007,95.76515
cub,2008,96.47732
cub,2009,93.89901
cub,2010,92.60385
cub,2011,85.87919
cub,2012,92.25073
cub,2013,91.62275
cub,2014,92.53016
cub,2015,89.89465
cub,2016,89.17572
cub,2017,93.14278
cub,2018,93.02477
cub,2019,89.33351
cub,2020,86.0507
cym,2001,88.45266
cym,2002,87.18487
cym,2004,88.41355
cym,2005,90.23569
cym,2006,81.3099
cym,2007,82.42424
cym,2008,82.61516
cym,2011,91.33127
cym,2012,88.83721
cym,2013,89.52959
cym,2018,80.39735
cym,2020,85.82183
cyp,1971,47.08204
cyp,1972,48.15832
cyp,1973,63.65671
cyp,1974,62.31666
cyp,1975,58.29615
cyp,1976,59.32664
cyp,1977,58.50717
cyp,1978,61.34565
cyp,1979,64.17485
cyp,1980,57.2022
cyp,1981,63.37509
cyp,1982,68.07198
cyp,1983,62.60376
cyp,1984,82.5228
cyp,1985,72.031
cyp,1986,71.61093
cyp,1987,69.01711
cyp,1988,53.28203
cyp,1990,61.87612
cyp,1993,93.17381
cyp,1994,98.62929
cyp,1995,90.85932
cyp,1996,91.68565
cyp,1997,92.8565
cyp,1999,88.63833
cyp,2000,91.26858
cyp,2001,91.52468
cyp,2002,100.85302
cyp,2003,95.85645
cyp,2004,98.73726
cyp,2005,99.84482
cyp,2006,99.81641
cyp,2007,86.62771
cyp,2008,99.67532
cyp,2009,100.984
cyp,2010,94.71145
cyp,2011,92.87139
cyp,2012,95.61269
cyp,2013,96.5972
cyp,2014,100.85157
cyp,2015,97.61321
cyp,2016,98.34835
cyp,2017,98.94192
cyp,2018,95.82251
cyp,2019,98.09861
cze,1994,106.58782
cze,1995,98.99548
cze,1996,101.64538
cze,2002,92.04767
cze,2003,91.58661
cze,2004,91.82942
cze,2005,91.95055
cze,2006,99.21669
cze,2007,94.09143
cze,2008,94.98962
cze,2009,94.65382
cze,2010,86.63263
cze,2011,88.61506
cze,2012,92.171
cze,2013,96.78569
cze,2014,98.05777
cze,2015,98.93683
cze,2016,96.95422
cze,2017,95.52796
cze,2018,93.91186
cze,2019,91.96785
deu,1993,72.66921
deu,1994,74.71337
deu,1995,74.79223
deu,1996,76.53817
deu,1997,77.43868
dji,1973,4.01217
dji,1974,4.23729
dji,1975,4.54331
dji,1976,3.15095
dji,1986,7.77128
dji,1987,8.6965
dji,1988,8.47814
dji,1989,8.81901
dji,1992,8.69441
dji,1993,7.48984
dji,1996,10.37344
dji,1997,11.18944
dji,1999,13.94687
dji,2000,14.45806
dji,2002,17.27113
dji,2005,19.0139
dji,2006,20.61192
dji,2007,21.58385
dji,2008,22.59573
dji,2009,32.05598
dji,2011,50.18487
dji,2012,47.79493
dji,2013,43.07794
dji,2014,42.23042
dji,2015,44.57155
dji,2016,43.27187
dji,2017,47.11612
dji,2018,49.22512
dji,2019,49.93653
dji,2020,49.8156
dji,2021,55.00906
dma,1988,90.44908
dma,2003,106.12089
dma,2004,101.83284
dma,2005,92.36063
dma,2006,85.88235
dma,2007,81.32417
dma,2008,79.24066
dma,2009,82.20974
dma,2010,77.95945
dma,2011,80.02736
dma,2012,82.3487
dma,2013,73.9726
dma,2014,87.16921
dma,2015,90.69374
dnk,2008,99.21456
dnk,2009,97.11874
dnk,2010,97.80104
dnk,2011,99.70815
dnk,2012,96.37104
dnk,2013,97.55675
dnk,2014,95.83186
dnk,2015,97.59461
dnk,2016,99.45043
dnk,2017,99.3981
dnk,2018,99.37864
dnk,2019,103.61702
dom,1994,48.05924
dom,1999,57.49192
dom,2000,60.78661
dom,2002,64.12971
dom,2004,72.39683
dom,2005,75.25055
dom,2007,80.47182
dom,2008,85.72947
dom,2009,82.16032
dom,2010,83.52985
dom,2011,76.53803
dom,2012,75.78303
dom,2013,77.9202
dom,2014,77.73144
dom,2015,78.42523
dom,2016,84.59305
dom,2017,85.3822
dom,2018,89.34666
dom,2019,83.62653
dom,2020,85.31756
dza,1971,9.24883
dza,1972,8.95846
dza,1973,10.74711
dza,1974,13.46564
dza,1975,17.1992
dza,1976,17.72447
dza,1977,20.4664
dza,1978,24.46379
dza,1979,29.10726
dza,1980,31.16199
dza,1982,35.26714
dza,1984,42.02109
dza,1985,44.44153
dza,1989,61.85985
dza,1990,58.15292
dza,1991,55.19691
dza,1992,57.20238
dza,1993,56.72095
dza,1994,57.02869
dza,1995,57.4693
dza,1996,57.24636
dza,1997,52.61266
dza,1999,55.26758
dza,2000,51.83131
dza,2001,54.77036
dza,2002,60.68283
dza,2003,61.44483
dza,2004,62.332
dza,2005,72.53127
dza,2006,66.10225
dza,2007,60.45256
dza,2008,55.27941
dza,2009,62.192
dza,2010,58.27984
dza,2011,70.43485
dza,2012,114.63423
dza,2013,85.26335
dza,2014,79.29411
dza,2015,76.15144
dza,2016,79.1348
dza,2018,84.64131
dza,2019,82.92145
ecu,1971,23.80334
ecu,1972,25.13283
ecu,1975,31.7919
ecu,1976,35.72314
ecu,1977,37.3878
ecu,1978,40.53767
ecu,1979,42.89938
ecu,1981,46.21113
ecu,1982,48.55117
ecu,1983,49.77246
ecu,1984,48.86523
ecu,1985,51.57205
ecu,1994,48.60088
ecu,1999,56.72422
ecu,2000,57.12361
ecu,2001,56.77544
ecu,2002,57.16524
ecu,2003,57.29871
ecu,2004,58.56633
ecu,2005,60.70467
ecu,2006,62.37029
ecu,2007,64.32953
ecu,2009,79.6002
ecu,2010,84.94763
ecu,2011,82.43829
ecu,2012,83.96199
ecu,2013,91.29519
ecu,2014,98.23816
ecu,2015,101.1498
ecu,2016,100.4855
ecu,2017,97.76213
ecu,2018,96.82608
ecu,2019,96.0242
ecu,2020,102.32163
egy,1975,34.85085
egy,1976,37.05984
egy,1977,41.55581
egy,1978,48.44171
egy,1979,46.55721
egy,1980,47.50679
egy,1983,48.00759
egy,1994,69.1965
egy,2002,84.45279
egy,2003,80.32719
egy,2004,78.19512
egy,2009,71.62685
egy,2013,77.67756
egy,2014,77.20572
egy,2016,83.54232
egy,2017,82.39574
egy,2018,84.57683
egy,2019,88.41783
eri,1994,19.30337
eri,1995,23.70552
eri,1996,26.10896
eri,1997,25.06255
eri,1999,37.23603
eri,2000,37.32304
eri,2001,35.40199
eri,2002,39.91185
eri,2003,37.25859
eri,2004,39.03782
eri,2006,43.62209
eri,2007,46.80738
eri,2008,48.74067
eri,2009,55.13906
eri,2010,58.27893
eri,2015,52.41189
eri,2017,47.20719
eri,2018,51.16454
esp,1980,78.10719
esp,1981,80.87658
esp,1982,81.18625
esp,1983,80.05233
esp,1984,81.14568
esp,1985,84.04579
esp,1986,86.45151
esp,1987,87.2749
esp,1988,92.85308
esp,1989,92.0202
esp,1990,92.94004
esp,1993,91.8856
esp,1994,94.95448
esp,2009,79.47364
esp,2010,77.75879
esp,2014,88.01182
esp,2015,91.04118
esp,2016,91.93805
esp,2017,95.34045
esp,2018,97.79357
esp,2019,97.64369
est,1995,89.89307
est,1996,94.61069
est,1999,91.30035
est,2000,90.0163
est,2001,90.12827
est,2002,93.96418
est,2004,100.2816
est,2005,104.53211
est,2006,107.08501
est,2008,103.61801
est,2009,98.93314
est,2010,97.65382
est,2011,97.51713
est,2012,100.702
est,2013,104.84268
est,2014,105.28654
