geo,time,sp_reg_brth_ur_zs
mar,2011,96.8
mar,2018,97.6
mda,2000,98
mda,2012,99.7
mdg,2004,87.4
mdg,2009,91.7
mdg,2013,97.4
mdg,2018,89.7
mdv,2009,92.6
mdv,2017,98.3
mex,2009,97.7
mex,2015,95.5
mhl,2007,96.1
mhl,2017,86.6
mkd,2005,94.6
mkd,2011,99.9
mkd,2019,100
mli,2006,74.9
mli,2010,92.4
mli,2013,95.4
mli,2015,96.7
mli,2018,96.3
mmr,2003,88.2
mmr,2010,93.5
mmr,2016,93.9
mne,2006,99
mne,2013,99.2
mng,2005,98
mng,2010,98.9
mng,2013,99.4
mng,2018,99.7
moz,2008,38.6
moz,2011,50.6
moz,2015,63.7
mrt,2007,75
mrt,2011,75.2
mrt,2015,81.1
mwi,2014,11.3
mwi,2016,75.3
nam,2006,82.5
nam,2007,82.5
nam,2013,78
nam,2016,85.4
ner,2006,70.7
ner,2012,91.7
nga,2008,48.8
nga,2011,62.8
nga,2013,51
nga,2018,59.6
nic,2001,90.1
npl,2006,41.9
npl,2011,44.2
npl,2014,56.6
npl,2016,54.8
npl,2019,76.1
pak,2007,32.2
pak,2013,59.3
pak,2018,60.3
pan,2013,97.6
pan,2019,97.4
per,2006,93.4
per,2008,94.5
per,2012,96.4
per,2014,97.3
per,2016,98.2
per,2020,96.4
phl,2000,86.6
phl,2017,93.7
png,2018,24.9
prk,2000,99.2
prk,2009,100
pry,2011,81.9
pry,2014,87.4
pry,2017,84.7
pry,2018,86.1
pse,2006,96.5
pse,2010,99.2
pse,2014,99.4
pse,2020,99.2
rwa,2005,78.6
rwa,2010,60.4
rwa,2015,55.4
rwa,2020,84.6
sdn,2006,53.2
sdn,2010,84.5
sdn,2014,89
sen,2005,75.4
sen,2011,89.3
sen,2013,91.4
sen,2014,87.1
sen,2015,87
sen,2016,87.2
sen,2017,90.7
sen,2018,91.4
sen,2019,92.7
slb,2015,88.8
sle,2005,62
sle,2008,59.1
sle,2010,77.6
sle,2013,79.6
sle,2017,84
sle,2019,92.8
slv,2008,98.6
slv,2014,98.3
som,2006,5.6
som,2020,7.2
srb,2006,99
srb,2010,98.6
srb,2014,99.5
srb,2019,99.9
ssd,2010,45
stp,2006,69.8
stp,2009,76.4
stp,2014,96.4
stp,2019,98.6
sur,2006,97.6
sur,2010,99.6
sur,2018,98.1
swz,2007,38.1
swz,2010,61.5
swz,2014,63.5
syr,2006,96.6
tca,2020,99.2
tcd,2004,35.1
tcd,2010,42.2
tcd,2015,35.6
tcd,2019,50
tgo,2006,92.8
tgo,2010,93.3
tgo,2014,95.1
tgo,2017,93.8
tha,2006,99.7
tha,2012,99
tha,2016,99
tha,2019,100
tjk,2005,84.9
tjk,2012,82.7
tjk,2017,96.7
tkm,2006,95.8
tkm,2016,99.5
tkm,2019,99.9
tls,2009,49.7
tls,2010,49.7
tls,2016,65.8
ton,2012,92
ton,2019,97.3
tto,2011,95.2
tun,2012,99.7
tun,2018,99.9
tur,2003,87
tur,2008,94.6
tur,2013,99.1
tur,2018,98.6
tuv,2007,59.6
tuv,2020,87.2
tza,2005,22
tza,2008,47.6
tza,2010,44.2
tza,2012,53
tza,2016,50.9
uga,2006,23.6
uga,2011,38
uga,2016,36.2
ukr,2005,99.7
ukr,2012,99.7
ury,2013,99.8
uzb,2006,100
vnm,2005,96.7
vnm,2006,94.3
vnm,2011,97.1
vnm,2014,96.7
vut,2007,53.4
vut,2013,60.8
wsm,2009,62.1
wsm,2014,67.8
wsm,2020,70.6
yem,2006,38.2
yem,2012,42
yem,2013,48.2
zmb,2000,16
zmb,2007,27.7
zmb,2014,20.4
zmb,2018,25.3
zwe,2006,82.7
zwe,2011,65.2
zwe,2014,57.2
zwe,2015,66.7
zwe,2019,68.7
