geo,time,is_air_good_mt_k1
bgd,2011,159.69278
bgd,2012,152.31904
bgd,2013,225.1869
bgd,2014,207.73842
bgd,2015,57.00955
bgd,2016,53.97916
bgd,2017,61.74998
bgd,2018,50.61661
bgd,2019,168.66071
bgd,2020,117.7852
bgr,1970,4.9
bgr,1971,5.1
bgr,1972,5.6
bgr,1973,6.3
bgr,1974,6.5
bgr,1975,6.5
bgr,1976,7
bgr,1977,7.2
bgr,1978,7.6
bgr,1979,8.1
bgr,1980,8.9
bgr,1981,9
bgr,1982,9.5
bgr,1983,10.5
bgr,1984,11.7
bgr,1985,8
bgr,1986,8.7
bgr,1987,9.6
bgr,1988,9
bgr,1989,7.7
bgr,1990,8
bgr,1991,5.9
bgr,1992,14.4
bgr,1993,27.1
bgr,1994,30.9
bgr,1995,29.9
bgr,1996,23.9
bgr,1997,31.6
bgr,1998,30.4
bgr,1999,12.4
bgr,2000,5.955
bgr,2001,2.405
bgr,2002,0.031
bgr,2003,0.628
bgr,2004,2.558
bgr,2005,3.105
bgr,2006,3.38
bgr,2007,2.952
bgr,2008,2.278
bgr,2009,1.73
bgr,2010,2.13518
bgr,2011,2.29862
bgr,2012,1.93406
bgr,2013,1.731
bgr,2014,1.722
bgr,2015,1.53095
bgr,2016,1.76925
bgr,2017,1.71896
bgr,2018,1.375
bgr,2019,1.257
bgr,2020,1.02489
bhr,1970,0.8
bhr,1971,1
bhr,1972,1.1
bhr,1973,1.1
bhr,1974,2.2
bhr,1975,4
bhr,1976,6.8
bhr,1977,8.2
bhr,1978,9.6
bhr,1979,14
bhr,1980,26.2
bhr,1981,21.4
bhr,1982,21.6
bhr,1983,23.8
bhr,1984,30.7
bhr,1985,32.6
bhr,1986,31.4
bhr,1987,31.5
bhr,1988,33.9
bhr,1989,40
bhr,1990,44.3
bhr,1991,51.2
bhr,1992,69.8
bhr,1993,88.1
bhr,1994,122.1
bhr,1995,132.8
bhr,1996,105.8
bhr,1997,96.6
bhr,1998,104.5
bhr,1999,209.10001
bhr,2000,208.801
bhr,2001,233.928
bhr,2002,244.115
bhr,2003,341.232
bhr,2004,416.514
bhr,2009,564.331
bhr,2010,504.494
bhr,2011,417.58299
bhr,2012,338.07101
bhr,2013,265.61545
bhr,2014,258.36799
bhr,2015,240.107
bhr,2016,387.31081
bhr,2017,390.39
bhr,2018,420.98375
bhr,2019,311.15413
bhr,2020,191.96251
bhs,1975,1.6
bhs,1976,1.9
bhs,1977,1.9
bhs,1978,2.1
bhs,1979,3
bhs,1980,3
bhs,1981,3.5
bhs,1982,0.2
bhs,1983,0.3
bhs,1984,0.2
bhs,1985,0.2
bhs,1986,0.3
bhs,1987,0.3
bhs,1988,0.3
bhs,1989,0.3
bhs,1990,0.3
bhs,1991,0.3
bhs,1992,0.3
bhs,1993,0.4
bhs,1994,0.4
bhs,1995,0.4
bhs,1996,0.4
bhs,1997,0.5
bhs,1998,1.1
bhs,1999,1.5
bhs,2000,1.598
bhs,2001,1.764
bhs,2002,1.637
bhs,2003,1.644
bhs,2004,0.59
bhs,2005,0.571
bhs,2006,0.561
bhs,2007,0.568
bhs,2008,0.586
bhs,2009,0.489
bhs,2010,0.07394
bhs,2011,0.09212
bhs,2012,0.1201
bhs,2013,0.14527
bhs,2014,0.17626
bhs,2015,0.17273
bhs,2016,0.1748
bhs,2017,0.17358
bhs,2018,0
bhs,2019,0
bhs,2020,0
bih,1998,0.4
bih,1999,0.5
bih,2000,0.576
bih,2001,0.507
bih,2002,0.512
bih,2003,0.527
bih,2009,0
bih,2010,0.00134
bih,2011,0.00107
bih,2012,0.00078
bih,2013,0.00053
bih,2014,0.00041
bih,2015,0.00009
bih,2018,0
bih,2019,0
bih,2020,0
blr,1993,2.4
blr,1994,2.4
blr,1995,2.4
blr,1996,5.2
blr,1997,2.6
blr,1998,3.5
blr,1999,1.8
blr,2000,1.614
blr,2001,1.491
blr,2002,1.272
blr,2003,1.093
blr,2004,1.152
blr,2005,1.157
blr,2006,1.215
blr,2007,1.239
blr,2008,1.225
blr,2009,1.022
blr,2010,1.539
blr,2011,1.549
blr,2012,1.755
blr,2013,1.696
blr,2014,1.822
blr,2015,1.807
blr,2016,1.266
blr,2017,1.9151
blr,2018,1.9004
blr,2019,2.8839
blr,2020,1.88286
blz,2010,0.06993
blz,2011,0.07508
blz,2012,0.06083
blz,2013,1.19621
blz,2014,3.00429
blz,2015,2.46342
blz,2016,2.68902
blz,2017,3.74606
blz,2018,0
blz,2019,0
blz,2020,0
bol,1970,1.5
bol,1971,2.5
bol,1972,2.8
bol,1973,2.9
bol,1974,2.4
bol,1975,2.6
bol,1976,4.1
bol,1977,27.6
bol,1978,43.1
bol,1979,33.9
bol,1980,37.6
bol,1981,43.7
bol,1982,27.6
bol,1983,17.2
bol,1984,38
bol,1985,41.5
bol,1986,27.8
bol,1987,25.5
bol,1988,8.3
bol,1989,8.4
bol,1990,8.4
bol,1991,5
bol,1992,6.8
bol,1993,10.1
bol,1994,28.4
bol,1995,48.9
bol,1996,46.6
bol,1997,47.1
bol,1998,43
bol,1999,19.8
bol,2000,15.341
bol,2001,13.568
bol,2002,14.922
bol,2003,24.522
bol,2004,24.371
bol,2005,25.295
bol,2006,10.714
bol,2007,8.718
bol,2008,8.755
bol,2009,6.871
bol,2010,11.2366
bol,2011,17.41246
bol,2012,12.30031
bol,2013,7.9932
bol,2014,8.78073
bol,2015,9.9348
bol,2016,9.00876
bol,2017,9.48554
bol,2018,13.72848
bol,2019,22.9804
bol,2020,17.95564
bra,1970,164.10001
bra,1971,180.2
bra,1972,254.3
bra,1973,316.70001
bra,1974,407.10001
bra,1975,460.5
bra,1976,471.60001
bra,1977,499.29999
bra,1978,571.29999
bra,1979,570.5
bra,1980,588.20001
bra,1981,644.90002
bra,1982,734.70001
bra,1983,692.09998
bra,1984,831.70001
bra,1985,909.20001
bra,1986,1014.40002
bra,1987,1013.70001
bra,1988,975.79999
bra,1989,1147.90002
bra,1990,1082
bra,1991,1005.29999
bra,1992,1143.30005
bra,1993,1284.30005
bra,1994,1468.5
bra,1995,1581.90002
bra,1996,1644.80005
bra,1997,1789.90002
bra,1998,1642.80005
bra,1999,1462.90002
bra,2000,1727.901
bra,2001,1467.445
bra,2002,1539.738
bra,2003,1478.37
bra,2004,1499.485
bra,2005,1530.675
bra,2006,1412.26
bra,2007,1477.828
bra,2008,1807.062
bra,2009,1782.3
bra,2010,1302.47465
bra,2011,1294.49545
bra,2012,1363.44709
bra,2013,1637.382
bra,2014,1596.774
bra,2015,1493.939
bra,2016,1513.83287
bra,2017,1736.54923
bra,2018,1845.64776
bra,2019,1521.14944
bra,2020,1209.70683
brb,1977,0.2
brb,1978,0.9
brb,1979,0.9
brb,1980,0.5
brb,1981,0.3
brb,1982,1.3
brb,1984,0.3
brb,1985,2.6
brb,1986,4.3
brb,1987,2.6
brb,1988,0.4
brb,1989,0.4
brb,1990,0.4
brb,1991,0.4
brn,1984,4.6
brn,1985,4.4
brn,1986,4.5
brn,1987,4.9
brn,1988,6
brn,1989,8.6
brn,1990,9.9
brn,1991,22
brn,1992,30
brn,1993,64.8
brn,1994,94.4
brn,1995,110
brn,1996,108.1
brn,1997,120.4
brn,1998,120.4
brn,1999,148.89999
brn,2000,140.231
brn,2001,126.014
brn,2002,161.477
brn,2003,149.443
brn,2004,131.441
brn,2005,134.136
brn,2006,130.181
brn,2007,116.368
brn,2008,104.195
brn,2009,90.441
brn,2010,148.524
brn,2011,149.579
brn,2012,128.234
brn,2013,127.595
brn,2014,115.389
brn,2015,115.147
brn,2016,124.259
brn,2017,132.612
brn,2018,129.352
brn,2019,122.45694
brn,2020,40.227
btn,2000,0
btn,2001,0
btn,2002,0.2
btn,2003,0.21
btn,2004,0.246
btn,2005,0.253
btn,2006,0.263
btn,2007,0.279
btn,2008,0.264
btn,2009,0.448
btn,2010,0.42194
btn,2011,0.48371
btn,2012,0.471
btn,2013,0.63529
btn,2014,0.92288
btn,2015,0.53804
btn,2016,0.6591
btn,2017,0.53067
btn,2018,0.69092
btn,2019,0.31884
btn,2020,0.51007
bwa,1982,0.1
bwa,1983,0.1
bwa,1984,0.1
bwa,1985,0.1
bwa,1986,0.1
bwa,1987,0.1
bwa,1988,0.2
bwa,1989,0.4
bwa,1990,3.1
bwa,1991,0.4
bwa,1992,0.6
bwa,1993,0.8
bwa,1994,0.5
bwa,1995,0.3
bwa,1996,0.2
bwa,1997,0.2
bwa,1998,0.2
bwa,1999,0.2
bwa,2000,0.267
bwa,2001,0.287
bwa,2002,0.306
bwa,2003,0.277
bwa,2004,0.299
bwa,2005,0.315
bwa,2006,0
bwa,2009,0
bwa,2010,0.121
bwa,2011,0.121
bwa,2012,0.12988
bwa,2013,0.14149
bwa,2014,0.10774
bwa,2017,0.14564
bwa,2018,0.11361
bwa,2019,0.67549
bwa,2020,0
caf,1970,5.8
caf,1971,7.1
caf,1972,8
caf,1973,8.3
caf,1974,10.8
caf,1975,11.5
caf,1976,13.2
caf,1977,13.1
caf,1978,14.7
caf,1979,17.2
caf,1980,18.1
caf,1981,21.1
caf,1982,21.1
caf,1983,18.8
caf,1984,17.5
caf,1985,18.5
caf,1986,16.6
caf,1987,16.4
caf,1988,16
caf,1989,18.1
caf,1990,17.8
caf,1991,16.2
can,1970,370.89999
can,1971,403.5
can,1972,433.39999
can,1973,484.20001
can,1974,520.29999
can,1975,534.29999
can,1976,567.70001
can,1977,550.40002
can,1978,608.59998
can,1979,670.40002
can,1980,688.59998
can,1981,713.09998
can,1982,746.59998
can,1983,825.59998
can,1984,967.20001
can,1985,989.79999
can,1986,977
can,1987,1006.79999
can,1988,1170.59998
can,1989,1311.30005
can,1990,1385.30005
can,1991,1241.40002
can,1992,1249.69995
can,1993,1369.19995
can,1994,1478.59998
can,1995,1637.40002
can,1996,1781
can,1997,1956.5
can,1998,1805.69995
can,1999,1881.59998
can,2000,1896.114
can,2001,1709.813
can,2002,1578.027
can,2003,1496.297
can,2004,1656.579
can,2005,1526.819
can,2006,1503.185
can,2007,1429.845
can,2008,1388.665
can,2009,1346.938
can,2010,1957.32854
can,2011,1980
can,2012,1960
can,2013,1946.3056
can,2014,2084.31816
can,2015,2074.83088
can,2016,2246.2271
can,2017,2840.98514
can,2018,2482
can,2019,3109.04306
can,2020,2306.16635
che,1970,169.10001
che,1971,181.89999
che,1972,198.2
che,1973,236.60001
che,1974,272.20001
che,1975,285.79999
che,1976,320.89999
che,1977,350.89999
che,1978,402.5
che,1979,407
che,1980,421.5
che,1981,453.29999
che,1982,461.29999
che,1983,540
che,1984,633.59998
che,1985,636.79999
che,1986,673.90002
che,1987,734
che,1988,813.5
che,1989,888.70001
che,1990,928.5
che,1991,944.79999
che,1992,1063.59998
che,1993,1247.30005
che,1994,1408.40002
che,1995,1509.5
che,1996,1511.30005
che,1997,1829.69995
che,1998,1963.40002
che,1999,1877.30005
che,2000,1971.647
che,2001,1641.819
che,2002,1028.307
che,2003,1248.302
che,2004,1089.934
che,2005,1109.641
che,2006,1039.027
che,2007,1104.843
che,2008,1181.567
che,2009,1057.893
che,2010,1282.49642
che,2011,1354.59082
che,2012,1371.47012
che,2013,1444.37426
che,2014,1508.89255
che,2015,1409.32921
che,2016,1532.76124
che,2017,1581.35236
che,2018,1841.314
che,2019,1640.735
che,2020,842.992
chl,1970,41.1
chl,1971,46.8
chl,1972,52.7
chl,1973,46.7
chl,1974,55.2
chl,1975,57.2
chl,1976,75.7
chl,1977,105.2
chl,1978,102.1
chl,1979,85
chl,1980,144.89999
chl,1981,153.3
chl,1982,141.7
chl,1983,120.3
chl,1984,105.4
chl,1985,114.2
chl,1986,137.2
chl,1987,186.39999
chl,1988,242.8
chl,1989,329.5
chl,1990,418.5
chl,1991,428.89999
chl,1992,529
chl,1993,616.20001
chl,1994,652.5
chl,1995,775.40002
chl,1996,806.20001
chl,1997,1071.19995
chl,1998,1246.19995
chl,1999,1139.40002
chl,2000,1312.011
chl,2001,1277.282
chl,2002,1098.015
chl,2003,1130.19
chl,2004,1094.133
chl,2005,1053.819
chl,2006,1027.669
chl,2007,1294.967
chl,2008,1307.721
chl,2009,1179.048
chl,2010,1399.54939
chl,2011,1422.29934
chl,2012,1527.067
chl,2013,1512.319
chl,2014,1553.479
chl,2015,1392.236
chl,2016,1441.23
chl,2017,1237.96014
chl,2018,1226.44199
chl,2019,1232.41109
chl,2020,1458.39578
chn,1974,29.2
chn,1975,46.2
chn,1976,49
chn,1977,60
chn,1978,86
chn,1979,123
chn,1980,120.9
chn,1981,155.39999
chn,1982,184.2
chn,1983,216
chn,1984,302
chn,1985,403
chn,1986,467.5
chn,1987,647.5
chn,1988,731.79999
chn,1989,683.09998
chn,1990,818.29999
chn,1991,1009.5
chn,1992,1316
chn,1993,1547
chn,1994,1717.19995
chn,1995,1501
chn,1996,1688.59998
chn,1997,2083.6001
chn,1998,2474.19995
chn,1999,3295.3999
chn,2000,3900.08
chn,2001,4232.312
chn,2002,5013.505
chn,2003,5650.63
chn,2004,7024.25
chn,2005,7579.401
chn,2006,7692.205
chn,2007,11189.538
chn,2008,11386.055
chn,2009,11976.438
chn,2010,17193.8774
chn,2011,16764.869
chn,2012,15568.753
chn,2013,16053.7331
chn,2014,17822.581
chn,2015,19805.63
chn,2016,21304.5851
chn,2017,23323.6147
chn,2018,25256.2071
chn,2019,25394.5878
chn,2020,19264.2436
civ,1970,5.9
civ,1971,7.2
civ,1972,8.1
civ,1973,8.4
civ,1974,10.9
civ,1975,11.6
civ,1976,13.2
civ,1977,13.2
civ,1978,14.8
civ,1979,17.3
civ,1980,18.2
civ,1981,21.4
civ,1982,21.4
civ,1983,19.1
civ,1984,17.8
civ,1985,18.4
civ,1986,16.6
civ,1987,16.3
civ,1988,15.9
civ,1989,18.1
civ,1990,17.7
civ,1991,16.1
civ,1992,15.2
civ,1993,14.3
civ,1994,14.5
civ,1995,15.3
civ,1996,16.5
civ,1997,15.3
civ,1998,13.6
civ,1999,13.8
civ,2000,12.292
civ,2001,7.364
civ,2010,15.37696
civ,2011,2.7086
civ,2012,0
civ,2013,4.56395
civ,2014,4.71912
civ,2015,0.98337
civ,2016,1.20223
civ,2017,5.41941
civ,2018,4.16027
civ,2019,9.16686
civ,2020,4.31783
cmr,1970,5.9
cmr,1971,6.8
cmr,1972,4.3
cmr,1973,7.4
cmr,1974,8.3
cmr,1975,8.5
cmr,1976,5.7
cmr,1977,5.8
cmr,1978,7.8
cmr,1979,8.2
cmr,1980,27.7
cmr,1981,31.4
cmr,1982,45.7
cmr,1983,43.5
cmr,1984,55.5
cmr,1985,56.9
cmr,1986,34.8
cmr,1987,36.7
cmr,1988,38.3
cmr,1989,19.1
cmr,1990,13.1
cmr,1991,9.6
cmr,1992,9.3
cmr,1993,21.7
cmr,1994,25
cmr,1995,38.9
cmr,1996,41.6
cmr,1997,34.4
cmr,1998,51.6
cmr,1999,46.5
cmr,2000,42.03
cmr,2001,36.88
cmr,2002,42.717
cmr,2003,20.254
cmr,2004,22.825
cmr,2005,24.399
cmr,2006,29.001
cmr,2007,26.095
cmr,2008,25.522
cmr,2009,23.105
cmr,2010,0
cmr,2011,0
cmr,2012,0
cmr,2013,0
cmr,2018,0.06682
cmr,2019,0.03157
cmr,2020,0.02473
cod,1970,13.7
cod,1971,17.3
cod,1972,18.9
cod,1973,24.6
cod,1974,33.9
cod,1975,44.8
cod,1976,53.5
cod,1977,42
cod,1978,37.5
cod,1979,41.5
cod,1980,34.5
cod,1981,38.4
cod,1982,30.7
cod,1983,28.9
cod,1984,32
cod,1985,30.5
cod,1986,31.1
cod,1987,52.5
cod,1988,55.3
cod,1989,59.7
cod,1990,57.3
cod,1991,33.2
cod,1992,28.5
cod,1993,22.1
cod,1994,43.1
cod,2001,7.4
cod,2010,0
cod,2011,0
cod,2012,0.20653
cod,2013,0.08198
cod,2014,0.08444
cod,2015,0.08584
cod,2016,0.05846
