geo,time,dt_nfl_wfpg_cd
khm,1980,60849998.47412
khm,1981,16559999.46594
khm,1982,8430000.30518
khm,1983,17340000.15259
khm,1984,1679999.94755
khm,1985,19999.99955
khm,1990,4780000.20981
khm,1991,9050000.19073
khm,1992,23180000.30518
khm,1993,20090000.15259
khm,1994,10029999.73297
khm,1995,27739999.77112
khm,1996,2369999.88556
khm,1997,2150000.09537
khm,1998,3599999.90463
khm,1999,2339999.91417
khm,2000,10189999.58038
khm,2001,8390000.34332
khm,2002,3190000.05722
khm,2003,3069999.93324
khm,2004,3119999.88556
khm,2005,1230000.01907
khm,2006,2690000.05722
khm,2007,4050000.19073
khm,2008,5619999.88556
khm,2009,2720000.02861
khm,2010,4090000.15259
khm,2011,4300000.19073
khm,2012,5259581.08902
khm,2013,3864530.08652
khm,2014,2204440.11688
khm,2015,3930201.05362
khm,2016,3727433.91991
khm,2017,701489.98499
khm,2018,603599.54834
khm,2019,508949.99504
kna,1976,289999.99166
kna,1979,9999.99978
kna,1980,129999.99523
kna,1981,119999.99732
kna,1982,159999.99642
kna,1983,100000.00149
kna,1984,129999.99523
kna,1985,70000.0003
kna,1986,140000.0006
kna,1987,90000.00358
kna,1988,600000.02384
kna,1991,29999.99933
kna,1992,400000.00596
kna,1993,150000.00596
kna,1999,29999.99933
kor,1969,2440000.05722
kor,1970,2250000
kor,1971,2180000.06676
kor,1972,5750000
kor,1973,10079999.92371
kor,1974,8189999.58038
kor,1975,13579999.92371
kor,1976,7769999.98093
kor,1977,12020000.45776
kor,1978,4679999.82834
kor,1979,5739999.77112
kor,1980,4900000.09537
kor,1982,18920000.07629
kwt,1979,39999.99911
lao,1975,870000.00477
lao,1976,1450000.04768
lao,1977,39999.99911
lao,1978,6199999.80927
lao,1979,5409999.84741
lao,1980,-59999.99866
lao,1981,70000.0003
lao,1982,19999.99955
lao,1983,529999.97139
lao,1984,519999.98093
lao,1985,180000.00715
lao,1986,259999.99046
lao,1987,250000
lao,1988,9460000.03815
lao,1989,1860000.01431
lao,1991,-39999.99911
lao,1992,3430000.06676
lao,1993,930000.00715
lao,1994,3160000.08583
lao,1995,1629999.99523
lao,1996,1549999.95232
lao,1997,3549999.95232
lao,1998,1250000
lao,2000,949999.98808
lao,2001,1690000.05722
lao,2002,2720000.02861
lao,2003,2140000.1049
lao,2004,2019999.98093
lao,2005,2869999.88556
lao,2006,2970000.02861
lao,2007,4760000.22888
lao,2008,4849999.90463
lao,2009,2460000.03815
lao,2010,2380000.11444
lao,2011,1809999.94278
lao,2012,392973.54221
lao,2013,836753.01075
lao,2014,720239.99691
lao,2015,118527.00263
lao,2016,1186035.03704
lao,2017,684419.98959
lao,2018,895808.63714
lao,2019,536270.02239
lbn,1969,409999.99642
lbn,1970,899999.97616
lbn,1971,1169999.95708
lbn,1972,2079999.92371
lbn,1973,3000000
lbn,1974,4739999.77112
lbn,1975,4570000.17166
lbn,1976,6590000.15259
lbn,1977,10590000.15259
lbn,1978,8710000.03815
lbn,1979,4630000.11444
lbn,1980,1970000.02861
lbn,1981,2160000.08583
lbn,1982,9010000.22888
lbn,1983,4989999.77112
lbn,1984,5500000
lbn,1985,12340000.15259
lbn,1986,10109999.65668
lbn,1987,4539999.96185
lbn,1988,18809999.46594
lbn,1989,5690000.05722
lbn,1990,4840000.15259
lbn,1991,4480000.01907
lbn,1992,2150000.09537
lbn,1993,1879999.99523
lbn,1994,1120000.00477
lbn,1995,2180000.06676
lbn,1996,540000.02146
lbn,1998,50000.00075
lbn,2013,12271536.82709
lbn,2014,20948480.60608
lbn,2015,9489762.30621
lbn,2016,2560013.0558
lbn,2017,2752049.92294
lbn,2019,4170.00009
lbr,1969,319999.99285
lbr,1970,200000.00298
lbr,1971,300000.01192
lbr,1972,340000.00358
lbr,1973,340000.00358
lbr,1974,409999.99642
lbr,1975,1440000.05722
lbr,1976,1190000.05722
lbr,1977,779999.97139
lbr,1978,1990000.00954
lbr,1979,1799999.95232
lbr,1980,2440000.05722
lbr,1981,1750000
lbr,1982,1899999.97616
lbr,1983,699999.98808
lbr,1985,850000.02384
lbr,1986,730000.01907
lbr,1987,1259999.99046
lbr,1988,1490000.00954
lbr,1989,819999.99285
lbr,1990,22930000.30518
lbr,1991,78739997.86377
lbr,1992,69550003.05176
lbr,1993,65980003.35693
lbr,1995,63799999.23706
lbr,1996,37119998.93188
lbr,1997,13050000.19073
lbr,1998,4340000.15259
lbr,1999,26610000.61035
lbr,2000,12680000.30518
lbr,2001,2400000.09537
lbr,2002,4989999.77112
lbr,2003,6489999.77112
lbr,2004,3069999.93324
lbr,2006,3059999.94278
lbr,2007,2299999.95232
lbr,2008,13529999.73297
lbr,2009,5820000.17166
lbr,2010,2250000
lbr,2011,2599999.90463
lbr,2012,3903213.97781
lbr,2013,1634395.95699
lbr,2014,778500.0205
lbr,2015,894216.00103
lbr,2016,1060830.95074
lbr,2017,2733510.0174
lbr,2018,2387137.41302
lbr,2019,4663599.96796
lby,2005,1120000.00477
lby,2006,360000.01431
lby,2008,-9999.99978
lby,2011,7400000.09537
lby,2012,3728366.37497
lby,2013,-992757.3204
lby,2014,203759.99808
lby,2015,1893267.03548
lby,2016,6547220.2301
lby,2017,1757769.94228
lby,2019,7647990.22675
lca,1978,19999.99955
lca,1979,209999.99344
lca,1980,349999.99404
lca,1981,349999.99404
lca,1982,349999.99404
lca,1983,270000.01073
lca,1984,340000.00358
lca,1985,129999.99523
lca,1986,319999.99285
lca,1987,300000.01192
lca,1988,2390000.1049
lca,1989,19999.99955
lca,1992,0
lca,1995,560000.00238
lka,1969,1080000.04292
lka,1970,670000.01669
lka,1971,1690000.05722
lka,1972,460000.00834
lka,1973,1629999.99523
lka,1974,639999.98569
lka,1975,7590000.15259
lka,1976,15039999.96185
lka,1977,18149999.61853
lka,1978,509999.99046
lka,1979,4309999.94278
lka,1980,1889999.98569
lka,1981,1230000.01907
lka,1982,6079999.92371
lka,1983,4139999.86649
lka,1984,1330000.04292
lka,1985,7010000.22888
lka,1986,3890000.1049
lka,1987,10100000.38147
lka,1988,6619999.88556
lka,1989,1860000.01431
lka,1990,3700000.04768
lka,1991,2000000
lka,1992,5639999.86649
lka,1993,3299999.95232
lka,1994,5610000.13351
lka,1995,4789999.96185
lka,1996,1139999.98569
lka,1997,1059999.94278
lka,1998,490000.00954
lka,1999,3470000.02861
lka,2000,2450000.04768
lka,2001,2059999.94278
lka,2002,4239999.77112
lka,2003,1799999.95232
lka,2004,3380000.11444
lka,2005,6719999.79019
lka,2006,790000.02146
lka,2007,1779999.97139
lka,2008,5469999.79019
lka,2009,2880000.11444
lka,2010,2150000.09537
lka,2011,5730000.01907
lka,2012,2431947.23129
