geo,time,ic_imp_tmdc
caf,2014,120
caf,2015,120
caf,2016,120
caf,2017,120
caf,2018,120
caf,2019,120
can,2014,1
can,2015,1
can,2016,1
can,2017,1
can,2018,1
can,2019,1
che,2014,1.5
che,2015,1.5
che,2016,1.5
che,2017,1.5
che,2018,1.5
che,2019,1.5
chl,2014,36
chl,2015,36
chl,2016,36
chl,2017,36
chl,2018,36
chl,2019,36
chn,2014,65.7
chn,2015,65.7
chn,2016,65.7
chn,2017,65.7
chn,2018,24
chn,2019,12.8
civ,2014,161.1429
civ,2015,89.14286
civ,2016,89.14286
civ,2017,89.14286
civ,2018,89.14286
civ,2019,89.14286
cmr,2014,163
cmr,2015,163
cmr,2016,163
cmr,2017,163
cmr,2018,163
cmr,2019,163
cod,2014,216
cod,2015,216
cod,2016,216
cod,2017,216
cod,2018,174
cod,2019,174
cog,2014,208
cog,2015,208
cog,2016,208
cog,2017,208
cog,2018,208
cog,2019,208
col,2014,64
col,2015,64
col,2016,64
col,2017,64
col,2018,64
col,2019,64
com,2014,29.18182
com,2015,29.18182
com,2016,29.18182
com,2017,26
com,2018,26
com,2019,26
cpv,2014,48
cpv,2015,48
cpv,2016,48
cpv,2017,24
cpv,2018,24
cpv,2019,24
cri,2014,26
cri,2015,26
cri,2016,26
cri,2017,26
cri,2018,26
cri,2019,26
cyp,2014,2
cyp,2015,2
cyp,2016,2
cyp,2017,2
cyp,2018,2
cyp,2019,2
cze,2014,0.5
cze,2015,0.5
cze,2016,0.5
cze,2017,0.5
cze,2018,0.5
cze,2019,0.5
deu,2014,0.5
deu,2015,0.5
deu,2016,0.5
deu,2017,0.5
deu,2018,0.5
deu,2019,0.5
dji,2014,50
dji,2015,50
dji,2016,50
dji,2017,50
dji,2018,50
dji,2019,50
dma,2014,24
dma,2015,24
dma,2016,24
dma,2017,24
dma,2018,24
dma,2019,24
dnk,2014,0.5
dnk,2015,0.5
dnk,2016,0.5
dnk,2017,0.5
dnk,2018,0.5
dnk,2019,0.5
dom,2014,37.5
dom,2015,13.5
dom,2016,13.5
dom,2017,13.5
dom,2018,13.5
dom,2019,13.5
dza,2014,248.7273
dza,2015,248.7273
dza,2016,248.7273
dza,2017,248.7273
dza,2018,96
dza,2019,96
ecu,2014,120
ecu,2015,120
ecu,2016,120
ecu,2017,120
ecu,2018,120
ecu,2019,120
egy,2014,192
egy,2015,192
egy,2016,265
egy,2017,265
egy,2018,265
egy,2019,265
esp,2014,0.5
esp,2015,0.5
esp,2016,0.5
esp,2017,0.5
esp,2018,0.5
esp,2019,0.5
est,2014,0.5
est,2015,0.5
est,2016,0.5
est,2017,0.5
est,2018,0.5
est,2019,0.5
eth,2014,208.8
eth,2015,208.8
eth,2016,208.8
eth,2017,194
eth,2018,194
eth,2019,194
fin,2014,0.5
fin,2015,0.5
fin,2016,0.5
fin,2017,0.5
fin,2018,0.5
fin,2019,0.5
fji,2014,33.75
fji,2015,33.75
fji,2016,33.75
fji,2017,33.75
fji,2018,33.75
fji,2019,33.75
fra,2014,0.5
fra,2015,0.5
fra,2016,0.5
fra,2017,0.5
fra,2018,0.5
fra,2019,0.5
fsm,2014,35
fsm,2015,35
fsm,2016,35
fsm,2017,35
fsm,2018,35
fsm,2019,35
gab,2014,120
gab,2015,120
gab,2016,120
gab,2017,120
gab,2018,120
gab,2019,120
gbr,2014,1.66667
gbr,2015,1.66667
gbr,2016,1.66667
gbr,2017,1.66667
gbr,2018,1.66667
gbr,2019,1.66667
geo,2014,24
geo,2015,24
geo,2016,2
geo,2017,2
geo,2018,2
geo,2019,2
gha,2014,546.4286
gha,2015,282.4286
gha,2016,76
gha,2017,76
gha,2018,36
gha,2019,36
gin,2014,156
gin,2015,156
gin,2016,156
gin,2017,156
gin,2018,156
gin,2019,156
gmb,2014,31.5
gmb,2015,31.5
gmb,2016,31.5
gmb,2017,31.5
gmb,2018,31.5
gmb,2019,31.5
gnb,2014,36
gnb,2015,36
gnb,2016,36
gnb,2017,36
gnb,2018,36
gnb,2019,36
gnq,2014,240
gnq,2015,240
gnq,2016,240
gnq,2017,240
gnq,2018,240
gnq,2019,240
grc,2014,0.5
grc,2015,0.5
grc,2016,0.5
grc,2017,0.5
grc,2018,0.5
grc,2019,0.5
grd,2014,43.55556
grd,2015,43.55556
grd,2016,24
grd,2017,24
grd,2018,24
grd,2019,24
gtm,2014,56
gtm,2015,32
gtm,2016,32
gtm,2017,32
gtm,2018,32
gtm,2019,32
guy,2014,156
guy,2015,156
guy,2016,156
guy,2017,156
guy,2018,156
guy,2019,156
hkg,2014,1.31818
hkg,2015,1.31818
hkg,2016,1.31818
hkg,2017,1.31818
hkg,2018,1.31818
hkg,2019,1.31818
hnd,2014,72
hnd,2015,72
hnd,2016,72
hnd,2017,72
hnd,2018,72
hnd,2019,72
hrv,2014,0.5
hrv,2015,0.5
hrv,2016,0.5
hrv,2017,0.5
hrv,2018,0.5
hrv,2019,0.5
hti,2014,30
hti,2015,30
hti,2016,28
hti,2017,28
hti,2018,28
hti,2019,28
hun,2014,0.75
hun,2015,0.75
hun,2016,0.75
hun,2017,0.75
hun,2018,0.75
hun,2019,0.75
idn,2014,144
idn,2015,144
idn,2016,132.88
idn,2017,106.22
idn,2018,106.22
idn,2019,106.22
ind,2014,63.31765
ind,2015,63.31765
ind,2016,61.29
ind,2017,61.29
ind,2018,29.7
ind,2019,19.88
irl,2014,0.8125
irl,2015,0.8125
irl,2016,0.8125
irl,2017,0.8125
irl,2018,0.8125
irl,2019,0.8125
irn,2014,205.5556
irn,2015,205.5556
irn,2016,192
irn,2017,192
irn,2018,40
irn,2019,40
irq,2014,176
irq,2015,176
irq,2016,176
irq,2017,176
irq,2018,176
irq,2019,176
isl,2014,2.5
isl,2015,2.5
isl,2016,2.5
isl,2017,2.5
isl,2018,2.5
isl,2019,2.5
isr,2014,44
isr,2015,44
isr,2016,44
isr,2017,44
isr,2018,44
isr,2019,44
ita,2014,0.5
ita,2015,0.5
ita,2016,0.5
ita,2017,0.5
ita,2018,0.5
ita,2019,0.5
jam,2014,72
jam,2015,72
jam,2016,72
jam,2017,56
jam,2018,56
jam,2019,56
jor,2014,54.85714
jor,2015,54.85714
jor,2016,54.85714
jor,2017,54.85714
jor,2018,54.85714
jor,2019,54.85714
jpn,2014,3.35
jpn,2015,3.35
jpn,2016,3.35
jpn,2017,3.35
jpn,2018,3.35
jpn,2019,3.35
kaz,2014,5.5
kaz,2015,5.5
kaz,2016,5.5
kaz,2017,5.5
kaz,2018,5.5
kaz,2019,5.5
ken,2014,84
ken,2015,84
ken,2016,84
ken,2017,60
ken,2018,60
ken,2019,60
kgz,2014,84
kgz,2015,84
kgz,2016,84
kgz,2017,84
kgz,2018,84
kgz,2019,84
khm,2014,132
khm,2015,132
khm,2016,132
khm,2017,132
khm,2018,132
khm,2019,132
kir,2014,48
kir,2015,48
kir,2016,48
kir,2017,48
kir,2018,48
kir,2019,48
kna,2014,33.14286
kna,2015,33.14286
kna,2016,33.14286
kna,2017,33.14286
kna,2018,33.14286
kna,2019,33.14286
kor,2014,1
kor,2015,1
kor,2016,1
kor,2017,1
kor,2018,1
kor,2019,1
kos,2014,6.02778
kos,2015,6.02778
kos,2016,6.02778
kos,2017,6.02778
kos,2018,6.02778
kos,2019,6.02778
kwt,2014,124.3636
kwt,2015,124.3636
kwt,2016,96
kwt,2017,96
kwt,2018,96
kwt,2019,96
lao,2014,60
lao,2015,60
lao,2016,60
lao,2017,60
lao,2018,60
lao,2019,60
lbn,2014,72
lbn,2015,72
lbn,2016,72
lbn,2017,72
lbn,2018,72
lbn,2019,72
lbr,2014,144
lbr,2015,144
lbr,2016,144
lbr,2017,144
lbr,2018,144
lbr,2019,144
lby,2014,96
lby,2015,96
lby,2016,96
lby,2017,96
lby,2018,96
lby,2019,96
lca,2014,19.07143
lca,2015,19.07143
lca,2016,14.07143
lca,2017,14.07143
lca,2018,14.07143
lca,2019,14.07143
lie,2018,1.5
lie,2019,1.5
lka,2014,58
lka,2015,58
lka,2016,58
lka,2017,48
lka,2018,48
lka,2019,48
lso,2014,3
lso,2015,3
lso,2016,3
lso,2017,3
lso,2018,1
lso,2019,1
ltu,2014,0.5
ltu,2015,0.5
ltu,2016,0.5
ltu,2017,0.5
ltu,2018,0.5
ltu,2019,0.5
lux,2014,0.5
lux,2015,0.5
lux,2016,0.5
lux,2017,0.5
lux,2018,0.5
lux,2019,0.5
lva,2014,0.5
lva,2015,0.5
lva,2016,0.5
lva,2017,0.5
lva,2018,0.5
lva,2019,0.5
mar,2014,29
mar,2015,26
mar,2016,26
mar,2017,26
mar,2018,26
mar,2019,26
mda,2014,1.55556
mda,2015,1.55556
mda,2016,1.55556
mda,2017,1.55556
mda,2018,1.55556
mda,2019,1.55556
mdg,2014,103.6364
mdg,2015,67.63636
mdg,2016,57.63636
mdg,2017,57.63636
mdg,2018,57.63636
mdg,2019,57.63636
mdv,2014,61.33333
mdv,2015,61.33333
mdv,2016,61.33333
mdv,2017,61.33333
mdv,2018,61.33333
mdv,2019,61.33333
mex,2014,17.55556
mex,2015,17.55556
mex,2016,17.55556
mex,2017,17.55556
mex,2018,17.55556
mex,2019,17.55556
mhl,2014,60
mhl,2015,60
mhl,2016,60
mhl,2017,60
mhl,2018,60
mhl,2019,60
mkd,2014,3
mkd,2015,3
mkd,2016,3
mkd,2017,3
mkd,2018,3
mkd,2019,3
mli,2014,84
mli,2015,77
mli,2016,77
mli,2017,77
mli,2018,77
mli,2019,77
mlt,2014,0.5
mlt,2015,0.5
mlt,2016,0.5
mlt,2017,0.5
mlt,2018,0.5
mlt,2019,0.5
mmr,2014,48
mmr,2015,48
mmr,2016,48
mmr,2017,48
mmr,2018,48
mmr,2019,48
mne,2014,5.5
mne,2015,5.5
mne,2016,5.5
mne,2017,5.5
mne,2018,5.5
mne,2019,5.5
mng,2014,114.6667
mng,2015,114.6667
mng,2016,114.6667
mng,2017,114.6667
mng,2018,114.6667
mng,2019,114.6667
moz,2014,24.33333
moz,2015,24.33333
moz,2016,24.33333
moz,2017,24.33333
moz,2018,16
moz,2019,16
mrt,2014,150
mrt,2015,72
mrt,2016,64
mrt,2017,64
mrt,2018,64
mrt,2019,64
mus,2014,8.625
mus,2015,8.625
mus,2016,8.625
mus,2017,8.625
mus,2018,8.625
mus,2019,8.625
mwi,2014,63.46154
mwi,2015,63.46154
mwi,2016,63.46154
mwi,2017,55
mwi,2018,55
mwi,2019,55
mys,2014,10
mys,2015,10
mys,2016,10
mys,2017,10
mys,2018,6.5
mys,2019,6.5
nam,2014,3.25
nam,2015,3.25
nam,2016,3.25
nam,2017,3.25
nam,2018,3.25
nam,2019,3.25
ner,2014,156
ner,2015,156
ner,2016,156
ner,2017,156
ner,2018,156
ner,2019,156
nga,2014,172.7143
nga,2015,172.7143
nga,2016,172.7143
nga,2017,172.7143
nga,2018,144
nga,2019,120
nic,2014,16
nic,2015,16
nic,2016,16
nic,2017,16
nic,2018,16
nic,2019,16
nld,2014,0.5
nld,2015,0.5
nld,2016,0.5
nld,2017,0.5
nld,2018,0.5
nld,2019,0.5
nor,2014,2
nor,2015,2
nor,2016,2
nor,2017,2
nor,2018,2
nor,2019,2
npl,2014,48
npl,2015,48
npl,2016,48
npl,2017,48
npl,2018,48
npl,2019,48
nzl,2014,1
nzl,2015,1
nzl,2016,1
nzl,2017,1
nzl,2018,1
nzl,2019,1
omn,2014,24
omn,2015,24
omn,2016,23
omn,2017,7
omn,2018,7
omn,2019,7
pak,2014,105.5714
pak,2015,105.5714
pak,2016,100
pak,2017,96
pak,2018,96
pak,2019,96
pan,2014,6
pan,2015,6
pan,2016,6
pan,2017,6
pan,2018,6
pan,2019,6
per,2014,72
per,2015,72
per,2016,72
per,2017,72
per,2018,72
per,2019,48
phl,2014,96
phl,2015,96
phl,2016,96
phl,2017,96
phl,2018,96
phl,2019,96
plw,2014,96
plw,2015,96
plw,2016,96
plw,2017,96
plw,2018,96
plw,2019,96
png,2014,120
png,2015,120
png,2016,120
png,2017,120
png,2018,120
png,2019,48
pol,2014,0.5
pol,2015,0.5
pol,2016,0.5
pol,2017,0.5
pol,2018,0.5
pol,2019,0.5
pri,2014,1.71429
pri,2015,1.71429
pri,2016,1.71429
pri,2017,1.71429
pri,2018,1.71429
pri,2019,1.71429
prt,2014,0.5
prt,2015,0.5
prt,2016,0.5
prt,2017,0.5
prt,2018,0.5
prt,2019,0.5
pry,2014,36
pry,2015,36
pry,2016,36
pry,2017,36
pry,2018,36
pry,2019,36
pse,2014,45.33333
pse,2015,45.33333
pse,2016,45.33333
pse,2017,45.33333
pse,2018,45.33333
pse,2019,45.33333
qat,2014,72
qat,2015,72
qat,2016,72
qat,2017,72
qat,2018,72
qat,2019,72
rou,2014,0.5
rou,2015,0.5
rou,2016,0.5
rou,2017,0.5
rou,2018,0.5
rou,2019,0.5
rus,2014,42.5
rus,2015,42.5
rus,2016,42.5
rus,2017,42.5
rus,2018,42.5
rus,2019,42.5
rwa,2014,48
rwa,2015,48
rwa,2016,48
rwa,2017,48
rwa,2018,48
rwa,2019,48
sau,2014,131.0769
sau,2015,131.0769
sau,2016,131.0769
sau,2017,122
sau,2018,90
sau,2019,32
sdn,2014,132
sdn,2015,132
sdn,2016,132
sdn,2017,132
sdn,2018,132
sdn,2019,132
sen,2014,72
sen,2015,72
sen,2016,72
sen,2017,72
sen,2018,72
sen,2019,72
sgp,2014,3
sgp,2015,3
sgp,2016,3
sgp,2017,3
sgp,2018,3
sgp,2019,3
slb,2014,36.5
slb,2015,36.5
slb,2016,36.5
slb,2017,36.5
slb,2018,36.5
slb,2019,36.5
sle,2014,137.1429
sle,2015,137.1429
sle,2016,137.1429
sle,2017,137.1429
sle,2018,137.1429
sle,2019,82
slv,2014,13.33333
slv,2015,13.33333
slv,2016,13.33333
slv,2017,13.33333
slv,2018,13.33333
slv,2019,13.33333
smr,2014,2.5
smr,2015,2.5
smr,2016,2.5
smr,2017,2.5
smr,2018,2.5
smr,2019,2.5
som,2015,76
som,2016,76
som,2017,76
som,2018,76
som,2019,76
srb,2014,3
srb,2015,3
srb,2016,3
srb,2017,3
srb,2018,3
srb,2019,3
ssd,2014,360
ssd,2015,360
ssd,2016,360
ssd,2017,360
ssd,2018,360
ssd,2019,360
stp,2014,21
stp,2015,17
stp,2016,17
stp,2017,17
stp,2018,17
stp,2019,17
sur,2014,48
sur,2015,24
sur,2016,24
sur,2017,24
sur,2018,24
sur,2019,24
svk,2014,0.5
svk,2015,0.5
svk,2016,0.5
svk,2017,0.5
svk,2018,0.5
svk,2019,0.5
svn,2014,0.5
svn,2015,0.5
svn,2016,0.5
svn,2017,0.5
svn,2018,0.5
svn,2019,0.5
swe,2014,0.5
swe,2015,0.5
swe,2016,0.5
swe,2017,0.5
swe,2018,0.5
swe,2019,0.5
swz,2014,3.55556
swz,2015,3.55556
swz,2016,3.55556
swz,2017,3.55556
swz,2018,3.55556
swz,2019,3.55556
syc,2014,33
syc,2015,33
syc,2016,33
syc,2017,33
syc,2018,33
syc,2019,33
syr,2014,149.3333
syr,2015,149.3333
syr,2016,149.3333
syr,2017,149.3333
syr,2018,149.3333
syr,2019,149.3333
tcd,2014,172
tcd,2015,172
tcd,2016,172
tcd,2017,172
tcd,2018,172
tcd,2019,172
tgo,2014,202.6667
tgo,2015,202.6667
tgo,2016,180
tgo,2017,180
tgo,2018,180
tgo,2019,180
tha,2014,4
tha,2015,4
tha,2016,4
tha,2017,4
tha,2018,4
tha,2019,4
tjk,2014,123
tjk,2015,126
tjk,2016,126
tjk,2017,126
tjk,2018,126
tjk,2019,126
tls,2014,44
tls,2015,44
tls,2016,44
tls,2017,44
tls,2018,44
tls,2019,44
ton,2014,72
ton,2015,72
ton,2016,72
ton,2017,72
ton,2018,72
ton,2019,72
tto,2014,44
tto,2015,44
tto,2016,44
tto,2017,44
tto,2018,44
tto,2019,44
tun,2014,26.92308
tun,2015,26.92308
tun,2016,26.92308
tun,2017,26.92308
tun,2018,26.92308
tun,2019,26.92308
tur,2014,2
tur,2015,2
tur,2016,2
tur,2017,2
tur,2018,2
tur,2019,2
tza,2014,264
tza,2015,240
tza,2016,240
tza,2017,240
tza,2018,240
tza,2019,240
uga,2014,138.375
uga,2015,138.375
uga,2016,138.375
uga,2017,138.375
uga,2018,96
uga,2019,96
ukr,2014,168
ukr,2015,168
ukr,2016,168
ukr,2017,168
ukr,2018,96
ukr,2019,48
ury,2014,72
ury,2015,72
ury,2016,72
ury,2017,72
ury,2018,72
ury,2019,48
usa,2014,7.5
usa,2015,7.5
usa,2016,7.5
usa,2017,7.5
usa,2018,7.5
usa,2019,7.5
uzb,2014,174.3158
uzb,2015,174.3158
uzb,2016,174.3158
uzb,2017,174.3158
uzb,2018,174.3158
uzb,2019,150
vct,2014,24
vct,2015,24
vct,2016,24
vct,2017,24
vct,2018,24
vct,2019,24
ven,2014,1090
ven,2015,1090
ven,2016,1090
ven,2017,1090
ven,2018,1090
vnm,2014,106
vnm,2015,106
vnm,2016,76
vnm,2017,76
vnm,2018,76
vnm,2019,76
vut,2014,48
vut,2015,48
vut,2016,48
vut,2017,48
vut,2018,48
vut,2019,48
wsm,2014,24.5
wsm,2015,24.5
wsm,2016,24.5
wsm,2017,24.5
wsm,2018,24.5
wsm,2019,24.5
zaf,2014,36
zaf,2015,36
zaf,2016,36
zaf,2017,36
zaf,2018,36
zaf,2019,36
zmb,2014,76
zmb,2015,134
zmb,2016,134
zmb,2017,72
zmb,2018,72
zmb,2019,72
zwe,2014,81
zwe,2015,81
zwe,2016,81
zwe,2017,81
zwe,2018,81
zwe,2019,81
