geo,time,sl_emp_work_fe_zs
bel,2004,88.34
bel,2005,87.75
bel,2006,88.21
bel,2007,88.47
bel,2008,89.25
bel,2009,88.73
bel,2010,89.22
bel,2011,89.53
bel,2012,89.52
bel,2013,89.3
bel,2014,89.15
bel,2015,88.93
bel,2016,89.38
bel,2017,89.35
bel,2018,89.29
bel,2019,89.3
ben,1991,3.19
ben,1992,3.22
ben,1993,3.25
ben,1994,3.93
ben,1995,3.91
ben,1996,3.97
ben,1997,4.04
ben,1998,3.99
ben,1999,4.24
ben,2000,4.3
ben,2001,4.48
ben,2002,4.56
ben,2003,4.61
ben,2004,4.56
ben,2005,4.64
ben,2006,4.6
ben,2007,4.6
ben,2008,4.49
ben,2009,4.54
ben,2010,4.63
ben,2011,4.59
ben,2012,4.58
ben,2013,4.76
ben,2014,5.01
ben,2015,5.21
ben,2016,5.15
ben,2017,5.48
ben,2018,5.68
ben,2019,6.15
bfa,1991,2.28
bfa,1992,2.27
bfa,1993,2.22
bfa,1994,2.15
bfa,1995,2.13
bfa,1996,2.15
bfa,1997,2.26
bfa,1998,2.25
bfa,1999,2.65
bfa,2000,2.58
bfa,2001,2.6
bfa,2002,2.71
bfa,2003,3.14
bfa,2004,3.3
bfa,2005,3.32
bfa,2006,3.53
bfa,2007,4.16
bfa,2008,4.36
bfa,2009,5.12
bfa,2010,6.31
bfa,2011,7.47
bfa,2012,7.94
bfa,2013,8.14
bfa,2014,9.04
bfa,2015,9.27
bfa,2016,9.9
bfa,2017,10.44
bfa,2018,10.95
bfa,2019,11.31
bgd,1991,20.43
bgd,1992,20.43
bgd,1993,20.43
bgd,1994,20.48
bgd,1995,20.57
bgd,1996,20.66
bgd,1997,20.77
bgd,1998,20.92
bgd,1999,21.13
bgd,2000,21.38
bgd,2001,21.64
bgd,2002,21.88
bgd,2003,22.13
bgd,2004,22.15
bgd,2005,22.29
bgd,2006,22.6
bgd,2007,20.87
bgd,2008,19.25
bgd,2009,17.69
bgd,2010,16.41
bgd,2011,18.15
bgd,2012,19.96
bgd,2013,21.83
bgd,2014,23.84
bgd,2015,25.89
bgd,2016,27.98
bgd,2017,31.09
bgd,2018,32.61
bgd,2019,33.99
bgr,1991,86.07
bgr,1992,86.17
bgr,1993,86.26
bgr,1994,86.37
bgr,1995,86.42
bgr,1996,86.48
bgr,1997,86.55
bgr,1998,86.64
bgr,1999,86.76
bgr,2000,87.11
bgr,2001,88.35
bgr,2002,87.87
bgr,2003,87.65
bgr,2004,87.45
bgr,2005,88.94
bgr,2006,89.97
bgr,2007,90.63
bgr,2008,90.21
bgr,2009,90.21
bgr,2010,89.91
bgr,2011,90.6
bgr,2012,91.19
bgr,2013,90.94
bgr,2014,90.67
bgr,2015,91.18
bgr,2016,91.07
bgr,2017,90.97
bgr,2018,91.4
bgr,2019,91.92
bhr,1991,98.89
bhr,1992,98.85
bhr,1993,98.81
bhr,1994,98.75
bhr,1995,98.67
bhr,1996,98.61
bhr,1997,98.53
bhr,1998,98.49
bhr,1999,98.38
bhr,2000,98.25
bhr,2001,98.16
bhr,2002,98.17
bhr,2003,98.23
bhr,2004,98.79
bhr,2005,98.28
bhr,2006,98.27
bhr,2007,98.33
bhr,2008,98.3
bhr,2009,98.24
bhr,2010,96.8
bhr,2011,96.75
bhr,2012,96.79
bhr,2013,96.82
bhr,2014,96.88
bhr,2015,96.94
bhr,2016,96.97
bhr,2017,96.96
bhr,2018,96.95
bhr,2019,96.98
bhs,1991,90.37
bhs,1992,91.74
bhs,1993,90.11
bhs,1994,89.02
bhs,1995,87.93
bhs,1996,87
bhs,1997,89.6
bhs,1998,89.37
bhs,1999,88.81
bhs,2000,89.83
bhs,2001,90.72
bhs,2002,89.51
bhs,2003,89.46
bhs,2004,87.96
bhs,2005,88.68
bhs,2006,89.34
bhs,2007,89.94
bhs,2008,90.58
bhs,2009,92.56
bhs,2010,92.64
bhs,2011,92.61
bhs,2012,92.92
bhs,2013,93.01
bhs,2014,93.15
bhs,2015,93.18
bhs,2016,93.36
bhs,2017,93.34
bhs,2018,93.18
bhs,2019,93.21
bih,1991,58.8
bih,1992,55.35
bih,1993,53.5
bih,1994,55.71
bih,1995,59.55
bih,1996,68.14
bih,1997,72.17
bih,1998,73.85
bih,1999,74.17
bih,2000,73.63
bih,2001,73
bih,2002,72.67
bih,2003,72.37
bih,2004,72.68
bih,2005,72.95
bih,2006,73.31
bih,2007,73.55
bih,2008,72.47
bih,2009,70.33
bih,2010,72.07
bih,2011,74.46
bih,2012,72.42
bih,2013,75.3
bih,2014,77.76
bih,2015,76.98
bih,2016,76.08
bih,2017,75.27
bih,2018,78.9
bih,2019,74.02
blr,1991,98.07
blr,1992,97.99
blr,1993,97.9
blr,1994,97.78
blr,1995,97.65
blr,1996,97.5
blr,1997,97.35
blr,1998,97.24
blr,1999,97.16
blr,2000,97.1
blr,2001,97.07
blr,2002,97.08
blr,2003,97.1
blr,2004,97.14
blr,2005,97.21
blr,2006,97.3
blr,2007,97.39
blr,2008,97.47
blr,2009,97.54
blr,2010,97.61
blr,2011,97.66
blr,2012,97.7
blr,2013,97.74
blr,2014,97.76
blr,2015,97.77
blr,2016,97.77
blr,2017,97.17
blr,2018,97.23
blr,2019,97.24
blz,1991,75.27
blz,1992,74.99
blz,1993,74.96
blz,1994,74.88
blz,1995,74.99
blz,1996,75.28
blz,1997,75.29
blz,1998,75.23
blz,1999,75
blz,2000,74.82
blz,2001,74.67
blz,2002,74.44
blz,2003,74.17
blz,2004,74.18
blz,2005,74.08
blz,2006,74.02
blz,2007,73.79
blz,2008,73.56
blz,2009,73.23
blz,2010,72.9
blz,2011,72.61
blz,2012,72.1
blz,2013,71.67
blz,2014,71.25
blz,2015,68.3
blz,2016,65.05
blz,2017,67.61
blz,2018,67.04
blz,2019,66.54
bol,1991,20.04
bol,1992,20.11
bol,1993,20.21
bol,1994,20.35
bol,1995,20.49
bol,1996,20.78
bol,1997,21.4
bol,1998,21.74
bol,1999,22.5
bol,2000,25.43
bol,2001,27.03
bol,2002,26.29
bol,2003,26.77
bol,2004,27.21
bol,2005,27.4
bol,2006,29.82
bol,2007,31.22
bol,2008,31.91
bol,2009,33.98
bol,2010,33.16
bol,2011,32.37
bol,2012,35.64
bol,2013,34.65
bol,2014,31.9
bol,2015,33.38
bol,2016,29.48
bol,2017,28.2
bol,2018,27.75
bol,2019,28.6
bra,1991,65.84
bra,1992,65.73
bra,1993,65.88
bra,1994,65.85
bra,1995,65.76
bra,1996,68.24
bra,1997,67.59
bra,1998,67.63
bra,1999,67.2
bra,2000,66.61
bra,2001,65.92
bra,2002,65.29
bra,2003,65.63
bra,2004,66.07
bra,2005,65.31
bra,2006,66.51
bra,2007,67.75
bra,2008,68.6
bra,2009,69.7
bra,2010,71.28
bra,2011,72.61
bra,2012,75.5
bra,2013,75.38
bra,2014,75.8
bra,2015,74.93
bra,2016,74.61
bra,2017,73.6
bra,2018,72.96
bra,2019,72.54
brb,1991,91.36
brb,1992,90.78
brb,1993,89.87
brb,1994,90.24
brb,1995,90.44
brb,1996,90.49
brb,1997,91.78
brb,1998,90.99
brb,1999,90.67
brb,2000,91.99
brb,2001,90.75
brb,2002,90.68
brb,2003,91.1
brb,2004,89.74
brb,2005,89.75
brb,2006,89.83
brb,2007,89.76
brb,2008,89.66
brb,2009,89.19
brb,2010,88.83
brb,2011,88.66
brb,2012,88.41
brb,2013,88.13
brb,2014,87.96
brb,2015,87.91
brb,2016,87.98
brb,2017,87.9
brb,2018,87.78
brb,2019,87.69
brn,1991,96.1
brn,1992,96.04
brn,1993,95.95
brn,1994,95.88
brn,1995,95.81
brn,1996,95.71
brn,1997,95.56
brn,1998,95.44
brn,1999,95.27
brn,2000,95.06
brn,2001,94.96
brn,2002,94.84
brn,2003,94.68
brn,2004,94.5
brn,2005,94.3
brn,2006,94.16
brn,2007,94.01
brn,2008,93.8
brn,2009,93.67
brn,2010,93.46
brn,2011,93.24
brn,2012,93.1
brn,2013,92.94
brn,2014,92.71
brn,2015,92.45
brn,2016,92.01
brn,2017,91.47
brn,2018,91.48
brn,2019,89.35
btn,1991,21.31
btn,1992,21.3
btn,1993,21.36
btn,1994,21.45
btn,1995,21.6
btn,1996,21.36
btn,1997,21.41
btn,1998,21.65
btn,1999,21.91
btn,2000,21.87
btn,2001,22.16
btn,2002,22.48
btn,2003,22.75
btn,2004,22.95
btn,2005,23.08
btn,2006,23.29
btn,2007,23.28
btn,2008,22.71
btn,2009,22.3
btn,2010,22.35
btn,2011,16.08
btn,2012,14.48
btn,2013,14.8
btn,2014,15.45
btn,2015,15.5
btn,2016,15.75
btn,2017,16.07
btn,2018,16.27
btn,2019,16.76
bwa,1991,60.05
bwa,1992,61.26
bwa,1993,62.8
bwa,1994,64.75
bwa,1995,72.42
bwa,1996,77.9
bwa,1997,77.11
bwa,1998,76.59
bwa,1999,75.7
bwa,2000,74.72
bwa,2001,74.01
bwa,2002,73.12
bwa,2003,72.34
bwa,2004,71.06
bwa,2005,69.51
bwa,2006,68.42
bwa,2007,68.29
bwa,2008,68.16
bwa,2009,66.92
bwa,2010,68.02
bwa,2011,69.04
bwa,2012,70.1
bwa,2013,71.17
bwa,2014,71.85
bwa,2015,72.51
bwa,2016,72.96
bwa,2017,73.61
bwa,2018,74.12
bwa,2019,74.56
caf,1991,6.63
caf,1992,6.34
caf,1993,6.26
caf,1994,6.07
caf,1995,6.04
caf,1996,5.52
caf,1997,5.26
caf,1998,5.15
caf,1999,4.82
caf,2000,4.59
caf,2001,4.53
caf,2002,4.38
caf,2003,4.05
caf,2004,4.03
caf,2005,3.92
caf,2006,4.06
caf,2007,4.14
caf,2008,4.21
caf,2009,4.34
caf,2010,4.37
caf,2011,4.45
caf,2012,4.4
caf,2013,3.65
caf,2014,3.34
caf,2015,3.17
caf,2016,3.11
caf,2017,3.15
caf,2018,3.16
caf,2019,3.2
can,1991,89.95
can,1992,89.42
can,1993,88.81
can,1994,88.58
can,1995,88.39
can,1996,87.79
can,1997,86.79
can,1998,86.68
can,1999,87.1
can,2000,87.67
can,2001,88.82
can,2002,88.5
can,2003,88.6
can,2004,88.72
can,2005,88.52
can,2006,88.61
can,2007,88.58
can,2008,88.6
can,2009,88.13
can,2010,88.46
can,2011,88.52
can,2012,88.53
can,2013,88.22
can,2014,88.31
can,2015,88.07
can,2016,88.26
can,2017,88.14
can,2018,87.88
can,2019,88.05
chanisl,1991,82.67
chanisl,1992,82.73
chanisl,1993,82.83
chanisl,1994,82.95
chanisl,1995,83.06
chanisl,1996,83.18
chanisl,1997,83.34
chanisl,1998,83.51
chanisl,1999,83.69
chanisl,2000,83.94
chanisl,2001,84.02
chanisl,2002,84.08
chanisl,2003,84.06
chanisl,2004,84.13
chanisl,2005,84.2
chanisl,2006,84.38
chanisl,2007,84.61
chanisl,2008,84.66
chanisl,2009,84.62
chanisl,2010,84.68
chanisl,2011,84.73
chanisl,2012,84.79
chanisl,2013,84.88
chanisl,2014,84.98
chanisl,2015,85.08
chanisl,2016,85.15
chanisl,2017,85.22
chanisl,2018,85.28
chanisl,2019,85.34
che,1991,84.39
che,1992,84.4
che,1993,84.4
che,1994,84.42
che,1995,84.44
che,1996,84.44
che,1997,83.83
che,1998,84.41
che,1999,84.82
che,2000,85.44
che,2001,85.63
che,2002,85.77
che,2003,85.29
che,2004,86.86
che,2005,86.58
che,2006,86.5
che,2007,86.07
che,2008,86.78
che,2009,87.06
che,2010,86.88
che,2011,87.05
che,2012,87.08
che,2013,87.02
che,2014,86.97
che,2015,86.93
che,2016,87
che,2017,87.19
che,2018,87.38
che,2019,87.53
chl,1991,74.63
chl,1992,74.67
chl,1993,74.77
chl,1994,74.85
chl,1995,75
chl,1996,75.19
chl,1997,74.31
chl,1998,72.74
chl,1999,74.2
chl,2000,74.8
chl,2001,73.3
chl,2002,73.18
chl,2003,73.14
chl,2004,71.86
chl,2005,74.52
chl,2006,73.73
chl,2007,74.38
chl,2008,74.34
chl,2009,74.65
chl,2010,75.08
chl,2011,74.04
chl,2012,75.2
chl,2013,74.94
chl,2014,74.37
chl,2015,74.76
chl,2016,74.02
chl,2017,73.54
chl,2018,74.42
chl,2019,74.22
chn,1991,33.7
chn,1992,34.84
chn,1993,36.03
chn,1994,37.11
chn,1995,38.02
chn,1996,38.76
chn,1997,39.37
chn,1998,39.73
chn,1999,40.08
chn,2000,40.57
chn,2001,41.09
chn,2002,41.74
chn,2003,42.59
chn,2004,43.44
chn,2005,44.44
chn,2006,45.52
chn,2007,46.69
chn,2008,47.6
chn,2009,48.39
chn,2010,49.37
chn,2011,50.16
chn,2012,50.69
chn,2013,51.17
chn,2014,51.59
chn,2015,51.86
chn,2016,52.12
chn,2017,52.43
chn,2018,53.21
chn,2019,54.15
civ,1991,5.1
civ,1992,5.16
civ,1993,5.19
civ,1994,5.16
civ,1995,5.27
civ,1996,5.45
civ,1997,5.86
civ,1998,5.89
civ,1999,6.19
civ,2000,6.31
civ,2001,6.06
civ,2002,6.25
civ,2003,6.48
civ,2004,6.87
civ,2005,7.1
civ,2006,7.49
civ,2007,7.83
civ,2008,8.34
civ,2009,8.94
civ,2010,9.24
civ,2011,9.84
civ,2012,10.75
civ,2013,12.8
civ,2014,13.4
civ,2015,13.43
civ,2016,13.77
civ,2017,16.67
civ,2018,17.75
civ,2019,18.92
cmr,1991,5.27
cmr,1992,5.28
cmr,1993,5.3
cmr,1994,5.35
cmr,1995,5.53
cmr,1996,5.8
cmr,1997,6.24
cmr,1998,6.56
cmr,1999,7.29
cmr,2000,8.3
cmr,2001,8.95
cmr,2002,8.9
cmr,2003,8.78
cmr,2004,8.92
cmr,2005,9.14
cmr,2006,9.46
cmr,2007,9.58
cmr,2008,10.2
cmr,2009,10.32
cmr,2010,10.87
cmr,2011,11.52
cmr,2012,12.35
cmr,2013,12.98
cmr,2014,13.68
cmr,2015,14.17
cmr,2016,14.74
cmr,2017,15.55
cmr,2018,16.28
cmr,2019,16.83
cod,1991,4.3
cod,1992,4.06
cod,1993,3.89
cod,1994,3.9
cod,1995,3.83
cod,1996,4.7
cod,1997,3.6
cod,1998,3.39
cod,1999,3.09
cod,2000,3.22
cod,2001,3.77
cod,2002,3.91
cod,2003,3.6
cod,2004,4.05
cod,2005,4.17
cod,2006,4.24
cod,2007,4.55
cod,2008,5.26
cod,2009,5.46
cod,2010,6.7
cod,2011,7.52
cod,2012,8.18
cod,2013,8.94
cod,2014,9.83
cod,2015,9.95
cod,2016,9.8
cod,2017,10.25
cod,2018,10.98
cod,2019,10.54
cog,1991,5.36
cog,1992,5.37
cog,1993,5.41
cog,1994,5.62
cog,1995,5.59
cog,1996,5.83
cog,1997,6.08
cog,1998,5.82
cog,1999,6.45
cog,2000,7.24
cog,2001,6.99
cog,2002,7.07
cog,2003,7.1
cog,2004,7.54
cog,2005,8.18
cog,2006,8.65
cog,2007,8.37
cog,2008,8.91
cog,2009,8.25
cog,2010,9.46
cog,2011,9.73
cog,2012,9.89
cog,2013,9.59
cog,2014,9.53
cog,2015,8.94
cog,2016,8.64
cog,2017,8.55
cog,2018,8.51
cog,2019,8.8
col,1991,51.29
col,1992,51.35
col,1993,51.48
col,1994,51.65
col,1995,51.74
col,1996,51.64
col,1997,51.63
col,1998,51.38
col,1999,50.65
col,2000,50.72
col,2001,50.67
col,2002,51.82
col,2003,51.11
col,2004,51.05
col,2005,51.03
col,2006,51.22
col,2007,51.4
col,2008,51.06
col,2009,48.34
col,2010,47.94
col,2011,47.02
col,2012,47
col,2013,48.38
col,2014,49.75
col,2015,50.4
col,2016,50.66
col,2017,51.04
col,2018,50.99
col,2019,51.53
com,1991,17.98
com,1992,18.08
com,1993,18.01
com,1994,17.62
com,1995,17.42
com,1996,17.07
com,1997,16.89
com,1998,16.59
com,1999,16.29
com,2000,16.5
com,2001,16.35
com,2002,16.28
com,2003,16.28
com,2004,16.34
com,2005,17.63
com,2006,18.92
com,2007,20.5
com,2008,21.76
com,2009,23.03
com,2010,24.42
com,2011,25.89
com,2012,27.29
com,2013,28.94
com,2014,30.24
com,2015,30.33
com,2016,30.58
com,2017,30.85
com,2018,30.98
com,2019,31.16
cpv,1991,41.32
cpv,1992,41.71
cpv,1993,41.72
cpv,1994,42.21
cpv,1995,42.81
cpv,1996,43.73
cpv,1997,44.48
cpv,1998,45.34
cpv,1999,46.02
cpv,2000,47.38
cpv,2001,47.19
cpv,2002,47.22
cpv,2003,48.03
cpv,2004,48.4
cpv,2005,48.34
cpv,2006,48.03
cpv,2007,48.17
cpv,2008,49.01
cpv,2009,49.36
cpv,2010,49.27
cpv,2011,49.24
cpv,2012,48.96
cpv,2013,49.08
cpv,2014,49.34
cpv,2015,49.62
cpv,2016,59.45
cpv,2017,65.77
cpv,2018,66.92
cpv,2019,65.49
cri,1991,74.89
cri,1992,78.64
cri,1993,76.17
cri,1994,76.24
cri,1995,75.7
cri,1996,77.68
cri,1997,74.29
cri,1998,75.74
cri,1999,74.66
cri,2000,76.58
cri,2001,71.33
cri,2002,70.15
cri,2003,71.08
cri,2004,70.64
cri,2005,73.14
cri,2006,73.76
cri,2007,76.15
cri,2008,75.42
cri,2009,74.8
cri,2010,79.09
cri,2011,81.92
cri,2012,80.5
cri,2013,78.62
cri,2014,79.1
cri,2015,78.98
cri,2016,80.78
cri,2017,79.13
cri,2018,77.03
cri,2019,76.38
cub,1991,93.16
cub,1992,94.07
cub,1993,95.31
cub,1994,95.78
cub,1995,96.1
cub,1996,96.67
cub,1997,96.28
cub,1998,95.83
cub,1999,95.17
cub,2000,95.35
cub,2001,95.1
cub,2002,95.45
cub,2003,94.63
cub,2004,94.6
cub,2005,94.59
cub,2006,95.29
cub,2007,95.73
cub,2008,95.24
cub,2009,95.86
cub,2010,95.86
cub,2011,90.41
cub,2012,91.85
cub,2013,90.16
cub,2014,87.13
cub,2015,87.25
cub,2016,87.16
cub,2017,87.12
cub,2018,87.28
cub,2019,87.41
cyp,1991,80.87
cyp,1992,81.2
cyp,1993,81.33
cyp,1994,81.65
cyp,1995,81.86
cyp,1996,82.11
cyp,1997,82.46
cyp,1998,82.79
cyp,1999,83.17
cyp,2000,83.5
cyp,2001,84.06
cyp,2002,84.12
cyp,2003,84.31
cyp,2004,84.34
cyp,2005,84
cyp,2006,85.24
cyp,2007,86.92
cyp,2008,87.17
cyp,2009,86.06
cyp,2010,87.11
cyp,2011,88.08
cyp,2012,89.13
cyp,2013,88.66
cyp,2014,87.72
cyp,2015,88.47
cyp,2016,89.67
cyp,2017,89.95
cyp,2018,89.87
cyp,2019,89.5
cze,1991,92.17
cze,1992,92.16
cze,1993,92.16
cze,1994,92.13
cze,1995,92.13
cze,1996,92.1
cze,1997,92.03
cze,1998,91
cze,1999,90.32
cze,2000,90.06
cze,2001,89.65
cze,2002,89.54
cze,2003,88.3
cze,2004,88.95
cze,2005,89.59
cze,2006,89.14
cze,2007,89.45
cze,2008,89.37
cze,2009,88.6
cze,2010,87.84
cze,2011,87.12
cze,2012,86.56
cze,2013,86.48
cze,2014,87.15
cze,2015,87.22
cze,2016,86.77
cze,2017,87.11
cze,2018,87.59
cze,2019,87.67
deu,1991,92.05
deu,1992,91.91
deu,1993,91.67
deu,1994,91.63
deu,1995,91.5
deu,1996,92.01
deu,1997,91.88
deu,1998,91.84
deu,1999,92.22
deu,2000,92.18
deu,2001,91.48
deu,2002,91.71
deu,2003,91.76
deu,2004,91.19
deu,2005,90.58
deu,2006,90.76
deu,2007,90.77
deu,2008,91.16
deu,2009,91.56
deu,2010,91.58
deu,2011,91.51
deu,2012,91.66
deu,2013,91.9
deu,2014,92.02
deu,2015,92.25
deu,2016,92.35
deu,2017,92.45
deu,2018,92.71
deu,2019,93.02
dji,1991,52.83
dji,1992,52.69
dji,1993,52.42
dji,1994,52.14
dji,1995,51.87
dji,1996,51.48
dji,1997,51.2
dji,1998,50.72
dji,1999,50.66
dji,2000,50.56
dji,2001,50.37
dji,2002,50.51
dji,2003,50.74
dji,2004,50.97
dji,2005,51.09
dji,2006,51.46
dji,2007,51.85
dji,2008,52.34
dji,2009,52.85
dji,2010,53.07
dji,2011,53.57
dji,2012,54.2
dji,2013,54.34
dji,2014,54.88
dji,2015,55.53
dji,2016,56.28
dji,2017,56.85
dji,2018,57.49
dji,2019,58.11
dnk,1991,92.91
dnk,1992,92.82
dnk,1993,93.1
dnk,1994,93.02
dnk,1995,93.76
dnk,1996,93.94
dnk,1997,94.09
dnk,1998,93.67
dnk,1999,94.04
dnk,2000,94.27
dnk,2001,95.31
dnk,2002,94.84
dnk,2003,94.26
dnk,2004,94.85
dnk,2005,94.6
dnk,2006,94.21
dnk,2007,94.69
dnk,2008,94.74
dnk,2009,94.31
dnk,2010,94.59
dnk,2011,94.66
dnk,2012,94.43
dnk,2013,94.4
dnk,2014,94.44
dnk,2015,94.55
dnk,2016,94.34
dnk,2017,94.73
dnk,2018,94.89
dnk,2019,94.62
dom,1991,68.92
dom,1992,63.17
dom,1993,66.62
dom,1994,69.66
dom,1995,69.57
dom,1996,69.79
dom,1997,69.78
dom,1998,69.96
dom,1999,70.07
dom,2000,70.18
dom,2001,68.19
dom,2002,67.62
dom,2003,69.96
dom,2004,70.55
dom,2005,67.32
dom,2006,68.64
dom,2007,68.5
dom,2008,65.53
dom,2009,68.01
dom,2010,66.37
dom,2011,67.43
dom,2012,68.37
dom,2013,68.61
dom,2014,70.07
dom,2015,68.07
dom,2016,68.81
dom,2017,69.49
dom,2018,69.47
dom,2019,70.6
dza,1991,59.63
dza,1992,59.56
dza,1993,59.56
dza,1994,59.58
dza,1995,59.57
dza,1996,59.6
dza,1997,59.74
dza,1998,59.82
dza,1999,60.34
dza,2000,61.05
dza,2001,61.59
