geo,time,bn_gsr_fcty_cd
aus,2019,-38588370174.464
aus,2020,-13639112455.9082
aut,2005,-2041620518.3839
aut,2006,841623924.66107
aut,2007,-315413847.63027
aut,2008,3409234093.24597
aut,2009,-94832188.97586
aut,2010,3329676566.37807
aut,2011,1336901217.52571
aut,2012,514135626.92928
aut,2013,1376856915.44841
aut,2014,325487387.19881
aut,2015,-3773929357.34847
aut,2016,-54278819.22595
aut,2017,-3812161640.88266
aut,2018,-4442519736.79488
aut,2019,-1612323144.37229
aut,2020,-489829186.94665
aze,1995,-6042000
aze,1996,-12126000
aze,1997,-9485000
aze,1998,-13286000
aze,1999,-44969000
aze,2000,-335453000
aze,2001,-367185000
aze,2002,-384691000
aze,2003,-442008000
aze,2004,-700602000
aze,2005,-1645637000
aze,2006,-2680579000
aze,2007,-5079395000
aze,2008,-5266049000
aze,2009,-3519156000
aze,2010,-3467078000
aze,2011,-4859847000
aze,2012,-4266826000
aze,2013,-4127528000
aze,2014,-2581701000
aze,2015,-2027798000
aze,2016,-2472054000
aze,2017,-1759549000
aze,2018,-2459565000
aze,2019,-2061013783.63323
aze,2020,-456278000
bdi,1985,-18319548.10133
bdi,1986,-20626939.24983
bdi,1987,-28373998.32475
bdi,1988,-22935289.71829
bdi,1989,-17602941.17647
bdi,1990,-14814129.96669
bdi,1991,-11040556.87599
bdi,1992,-13561996.32586
bdi,1993,-11001729.96128
bdi,1994,-11366942.06699
bdi,1995,-12524148.42397
bdi,1996,-13925834.58117
bdi,1997,-12532963.12151
bdi,1998,-8259897.75161
bdi,1999,-9430542.30897
bdi,2000,-12068852.27704
bdi,2001,-13810145.0788
bdi,2002,-11627407.6707
bdi,2003,-17246125.14086
bdi,2004,-19193023.88954
bdi,2005,-17786710.54909
bdi,2006,-8824968.54696
bdi,2007,-5886938.23574
bdi,2008,-4304326.09962
bdi,2009,-16979396.6326
bdi,2010,-10867940.77858
bdi,2011,-17489228.75223
bdi,2012,-6505624.54479
bdi,2013,1784525.98428
bdi,2014,-6781657.9958
bdi,2015,-1671736.61571
bdi,2016,-831063.60347
bdi,2017,89470.83812
bdi,2018,6093578.39138
bel,2002,4480078953.13968
bel,2003,6491694337.32716
bel,2004,5626375311.2915
bel,2005,5425350426.66651
bel,2006,4961783243.87414
bel,2007,7010952145.701
bel,2008,10699688020.5508
bel,2009,9551460033.68216
bel,2010,7065433253.82393
bel,2011,826943551.59633
bel,2012,11473757149.8108
bel,2013,12946126908.1916
bel,2014,11144901031.0296
bel,2015,6574786934.73594
bel,2016,4524686072.05194
bel,2017,4579761581.73696
bel,2018,4858412358.63554
bel,2019,5152627760.90369
bel,2020,5532108816.082
ben,1974,2284957.76753
ben,1975,-1264506.24096
ben,1976,33479.73824
ben,1977,-195376.34825
ben,1978,252597.02957
ben,1979,1264563.3731
ben,1980,8115348.7654
ben,1981,561335.78448
ben,1982,-18961903.33818
ben,1983,-46897383.42056
ben,1984,-48094013.99588
ben,1985,-28045935.33362
ben,1986,-25988583.81455
ben,1987,-28633323.65191
ben,1988,-32290271.99868
ben,1989,-30521776.44165
ben,1990,-25497604.93143
ben,1991,-15396645.25885
ben,1992,7024018.10229
ben,1993,5009489.61019
ben,1994,-2865969.9971
ben,1995,-7588324.04041
ben,1996,-20953863.89679
ben,1997,-19992482.99247
ben,1998,-13402790.43283
ben,1999,-11397731.53096
ben,2000,-12297806.11098
ben,2001,-13420304.41992
ben,2002,-25966061.06384
ben,2003,-38179165.83305
ben,2004,-37067305.60483
ben,2005,-17765483.98953
ben,2006,-30239711.16112
ben,2007,-48523535.0195
ben,2008,-11354259.03489
ben,2009,-33128254.03618
ben,2010,-53535382.32435
ben,2011,-15521657.99707
ben,2012,-66734652.83607
ben,2013,-69016634.86627
ben,2014,-60942285.16587
ben,2015,-65661251.51526
ben,2016,-37796469.40675
ben,2017,-31784802.31755
ben,2018,-55077711.87924
ben,2019,-70793826.07905
ben,2020,-121363105.47017
bfa,2005,-20580043.4259
bfa,2006,-398142.79792
bfa,2007,-2348351.05972
bfa,2008,-3677129.70324
bfa,2009,-5511452.78959
bfa,2010,-6479460.74717
bfa,2011,-7889465.97845
bfa,2012,-76496944.72161
bfa,2013,-188803646.52373
bfa,2014,-359524789.32278
bfa,2015,-337403675.67265
bfa,2016,-391096530.48993
bfa,2017,-396819067.65666
bfa,2018,-480622130.11466
bfa,2019,-511103210.6642
bfa,2020,-555697773.52849
bgd,1976,-23811738.74492
bgd,1977,-32165410.75954
bgd,1978,-26977556.79059
bgd,1979,-1547067.67196
bgd,1980,6590801.61228
bgd,1981,-55494816.00608
bgd,1982,-125244175.74508
bgd,1983,-81864753.15677
bgd,1984,-67625449.08907
bgd,1985,-112028082.64501
bgd,1986,-135521526.85613
bgd,1987,-125088268.30821
bgd,1988,-125891023.06496
bgd,1989,-108211961.57422
bgd,1990,-115562972.89151
bgd,1991,-96963993.17125
bgd,1992,-65899646.55816
bgd,1993,-75655575.74807
bgd,1994,-38254516.81882
bgd,1995,68325636.01565
bgd,1996,-63680468.63754
bgd,1997,-111369382.37628
bgd,1998,-114686533.73115
bgd,1999,-164124384.24183
bgd,2000,-266455647.15
bgd,2001,-285294570.52417
bgd,2002,-265229649.78708
bgd,2003,-304771340.98419
bgd,2004,-371341303.01162
bgd,2005,-791147339.89809
bgd,2006,-840697440.93886
bgd,2007,-967940626.51063
bgd,2008,-1018927050.36792
bgd,2009,-1399340584.86402
bgd,2010,-1454451740.99007
bgd,2011,-1516740381.28185
bgd,2012,-1814547523.44622
bgd,2013,-2507704100.60269
bgd,2014,-2727444787.29975
bgd,2015,-2583175131.09196
bgd,2016,-2686386825.60826
bgd,2017,-2392186083.07542
bgd,2018,-1734671970.61626
bgd,2019,-2547849494.1269
bgd,2020,-2841165938.13031
bgd,2021,-2313281040.92346
bgr,1980,-412000000
bgr,1981,-261000000
bgr,1982,-212000000
bgr,1983,-128000000
bgr,1984,-60000000
bgr,1985,-97000000
bgr,1986,-162000000
bgr,1987,-314000000
bgr,1988,-429000000
bgr,1989,-592000000
bgr,1990,-758000000
bgr,1991,-28100000
bgr,1992,-95600000
bgr,1993,-192300000
bgr,1994,-192500000
bgr,1995,-432200000
bgr,1996,-396200000
bgr,1997,-356600000
bgr,1998,-283903498.10926
bgr,1999,-185172040.61596
bgr,2000,-323415093.22417
bgr,2001,24922851.49548
bgr,2002,343495767.01669
bgr,2003,343837854.77736
bgr,2004,303410008.69544
bgr,2005,89631708.65019
bgr,2006,-863105551.54873
bgr,2007,-3476015599.40542
bgr,2008,-2578491839.76295
bgr,2009,-1658490078.33479
bgr,2010,-1337160000
bgr,2011,-2229070000
bgr,2012,-1352030000
bgr,2013,-2094380000
bgr,2014,-1145420000
bgr,2015,-2238700000
bgr,2016,-2665150000
bgr,2017,-2545840000
bgr,2018,-3179150000
bgr,2019,-2924750000
bgr,2020,-2406580000
bhr,1975,-216687737.5896
bhr,1976,-242669874.79162
bhr,1977,-293188424.85325
bhr,1978,-387143398.91379
bhr,1979,-575445309.5877
bhr,1980,-208222682.03722
bhr,1981,-26861702.1991
bhr,1982,-11436170.24318
bhr,1983,11170212.79567
bhr,1984,-111702127.78336
bhr,1985,-370212765.95745
bhr,1986,-397074468.08511
bhr,1987,-396276595.74468
bhr,1988,-431117021.2766
bhr,1989,-360372340.42553
bhr,1990,221542553.19149
bhr,1991,191223404.25532
bhr,1992,32180851.06383
bhr,1993,-193882984.30957
bhr,1994,-242553214.06745
bhr,1995,-58894335.49653
bhr,1996,-25213770.70316
bhr,1997,-236116917.51337
bhr,1998,-161987542.95851
bhr,1999,-270387640.57685
bhr,2000,-223623648.13088
bhr,2001,-321570881.79623
bhr,2002,-524944420.99086
bhr,2003,-492977470.51557
bhr,2004,-574772279.74017
bhr,2005,-412351368.09103
bhr,2006,-384927459.81564
bhr,2007,-298686098.58787
bhr,2008,-923677334.927
bhr,2009,-2399864876.73866
bhr,2010,-2373013250.89492
bhr,2011,-3764361702.12766
bhr,2012,-1007395988.97372
bhr,2013,-1195864072.90377
bhr,2014,-1632599961.12042
bhr,2015,-1735887332.86059
bhr,2016,-1795478723.40426
bhr,2017,-1989654255.31915
bhr,2018,-2076063829.78723
bhs,1976,-75600000
bhs,1977,-83600000
bhs,1978,-127800000
bhs,1979,-133600000
bhs,1980,-134500000
bhs,1981,-151900000
bhs,1982,-131600000
bhs,1983,-138500000
bhs,1984,-165100000
bhs,1985,-180600000
bhs,1986,-183600000
bhs,1987,-183300000
bhs,1988,-166900000
bhs,1989,-131600000
bhs,1990,-172800000
bhs,1991,-179000000
bhs,1992,-82600000
bhs,1993,-128400000
bhs,1994,-137600000
bhs,1995,-135700000
bhs,1996,-148800000
bhs,1997,-152600000
bhs,1998,-197500000
bhs,1999,-126800000
bhs,2000,-140200000
bhs,2001,-198900000
bhs,2002,-184345091.1
bhs,2003,-152420000
bhs,2004,-141320000
bhs,2005,-182064714.33333
bhs,2006,-218000000
bhs,2007,-231600000
bhs,2008,-85277035.7
bhs,2009,-152161000
bhs,2010,-234884000
bhs,2011,-236024000
bhs,2012,-267591000
bhs,2013,-329085000
bhs,2014,-438144276.99
bhs,2015,-402629617.42167
bhs,2016,-439917600.8
bhs,2017,-360685358.88383
bhs,2018,-682252787.266
bhs,2019,-603071634.85
bhs,2020,-439537433.97
bih,1998,809078501.59433
bih,1999,728054681.8363
bih,2000,590357874.19647
bih,2001,532396573.63254
bih,2002,508041635.85609
bih,2003,533295172.25903
bih,2004,504484101.41957
bih,2005,469502248.2442
bih,2006,392440508.36476
bih,2007,468674803.33981
bih,2008,709981537.63219
bih,2009,679544935.94624
bih,2010,279518856.4998
bih,2011,149671020.25127
bih,2012,135128473.46526
bih,2013,246983297.59247
bih,2014,145161192.98489
bih,2015,109608636.4423
bih,2016,22302912.92017
bih,2017,-151673363.56945
bih,2018,-117602319.65949
bih,2019,-66320636.26935
bih,2020,-172039216.25176
blr,1993,-7400000
blr,1994,-28800000
blr,1995,-51000000
blr,1996,-30800000
blr,1997,-84600000
blr,1998,-92900000
blr,1999,-42000000
blr,2000,-46700000
blr,2001,-48900000
blr,2002,-51200000
blr,2003,14200000
blr,2004,-900000
blr,2005,-47700000
blr,2006,-99700000
blr,2007,-372500000
blr,2008,-482600000
blr,2009,-809500000
blr,2010,-1115000000
blr,2011,-1382100000
blr,2012,-1502400000
blr,2013,-2725100000
blr,2014,-2459100000
blr,2015,-2497600000
blr,2016,-2214600000
blr,2017,-2082500000
blr,2018,-2146300000
blr,2019,-1870100000
blr,2020,-2605300000
blr,2021,-2639413848.61
blz,1984,-13500000
blz,1985,-10250000
blz,1986,-2400000
blz,1987,-7450000
blz,1988,-7700000
blz,1989,-9400000
blz,1990,-10200000
blz,1991,-10800000
blz,1992,-16100000
blz,1993,-17500000
blz,1994,-25318000
blz,1995,-22251000
blz,1996,-26060000
blz,1997,-23355000
blz,1998,-32100000
blz,1999,-40140738.245
blz,2000,-52899076.99
blz,2001,-67049495.93292
blz,2002,-67481156.52522
blz,2003,-89477874.74523
blz,2004,-116744140.41978
blz,2005,-114426240.15382
blz,2006,-125282543.25521
blz,2007,-158952822.02246
blz,2008,-165177274.26875
blz,2009,-108267955.8547
blz,2010,-157520841.15275
blz,2011,-98188522.68809
blz,2012,-118255746.14029
blz,2013,-117989717.5604
blz,2014,-142703096.26283
blz,2015,-95465907.96291
blz,2016,-108551234.58371
blz,2017,-171285703.10077
blz,2018,-145275917.80861
blz,2019,-163503828.06767
blz,2020,-58636121.97925
bmu,2006,1597700000
bmu,2007,1920254501.38006
bmu,2008,1735310074.74151
bmu,2009,1402419120.83775
bmu,2010,1419050973.89985
bmu,2011,1325372629.71365
bmu,2012,1464526774.24759
bmu,2013,1512951733.68733
bmu,2014,1572444547.16327
bmu,2015,1676980614.21273
bmu,2016,1633781422.20172
bmu,2017,1789828102.58078
bmu,2018,1673782644.75999
bmu,2019,1641748706.9643
bmu,2020,1770450198.79927
bol,1976,-31500000
bol,1977,-67100000
bol,1978,-113900000
bol,1979,-182300000
bol,1980,-263100000
bol,1981,-362200000
bol,1982,-410700000
bol,1983,-361800000
bol,1984,-414900000
bol,1985,-372900000
bol,1986,-308500000
bol,1987,-277700000
bol,1988,-264800000
bol,1989,-259100000
bol,1990,-248600000
bol,1991,-247000000
bol,1992,-197700000
bol,1993,-205900000
bol,1994,-182500000
bol,1995,-206600000
bol,1996,-208200000
bol,1997,-196500000
bol,1998,-161900000
bol,1999,-196000000
bol,2000,-225294000
bol,2001,-211346000
bol,2002,-204680000
bol,2003,-302610343.65788
bol,2004,-384653540.69424
bol,2005,-376409992.20578
bol,2006,-397247207.39253
bol,2007,-489437619.71553
bol,2008,-536384085.49193
bol,2009,-673790000
bol,2010,-888938310.14695
bol,2011,-985761227.56728
bol,2012,-1629277940.66254
bol,2013,-1907789216.97833
bol,2014,-1697959702.11496
bol,2015,-1127097736.45586
bol,2016,-620895949.6599
bol,2017,-1109646376.78561
bol,2018,-975655081.47033
bol,2019,-846902618.86781
bol,2020,-413071222.13992
bra,1975,-2017000000
bra,1976,-2587000000
bra,1977,-3426000000
bra,1978,-4226000000
bra,1979,-5454000000
bra,1980,-7018000000
bra,1981,-10262000000
bra,1982,-13494000000
bra,1983,-11007000000
bra,1984,-11466000000
bra,1985,-11190000000
bra,1986,-11122000000
bra,1987,-10314000000
bra,1988,-12080000000
bra,1989,-12546000000
bra,1990,-11608000000
bra,1991,-9651000000
bra,1992,-7997000000
bra,1993,-10322000000
bra,1994,-9091000000
bra,1995,-11105000000
bra,1996,-12177000000
bra,1997,-14575678722.235
bra,1998,-17840127972.3
bra,1999,-18481104231.485
bra,2000,-17481305188.76
bra,2001,-19307167664.5129
bra,2002,-17718035705.7445
bra,2003,-18135034587.19469
bra,2004,-20106546328.0398
bra,2005,-25552622705.542
bra,2006,-26984847083.0032
bra,2007,-28999913937.3903
bra,2008,-41805678595.4108
bra,2009,-34982594459.9034
bra,2010,-70244842613.06
bra,2011,-69730794887.11
bra,2012,-63876445855.71
bra,2013,-37483613050.2
bra,2014,-49426684041.73
bra,2015,-37935161342.32
bra,2016,-41542866982.03
bra,2017,-43169628473.45
bra,2018,-58824019461.66
bra,2019,-57271612076.61
bra,2020,-38263937403.47
bra,2021,-50470717739.28
brb,1967,1827991.21008
brb,1968,747854.99963
brb,1969,1282659.99936
brb,1970,1240949.99938
brb,1971,679997.07154
brb,1972,-497891.84623
brb,1973,471381.33883
brb,1974,6079169.72924
brb,1975,6030266.29618
brb,1976,7470780.6
brb,1977,5691892.2
brb,1978,8159812.4
brb,1979,6131000
brb,1980,3474000
brb,1981,-1176000
brb,1982,-7138000
brb,1983,-16654000
brb,1984,-15516000
brb,1985,-28898000
brb,1986,-29179000
brb,1987,-33671000
brb,1988,-37275000
brb,1989,-28232000
brb,1990,-54670480
brb,1991,-51713040
brb,1992,-38658560
brb,1993,-50660960
brb,1994,-51055920
brb,1995,-65676720
brb,1996,-75462480
brb,1997,-62425200
brb,1998,-74503600
brb,1999,-85857440
brb,2000,-100887760
brb,2001,-121963360
brb,2002,-137197321.075
brb,2003,-149467385.73
brb,2004,-182207368.33
brb,2005,-184890760.11
brb,2006,-357557050.61667
brb,2007,-254091775.68
brb,2008,-155117522.8921
brb,2009,-247140459.035
brb,2010,-136382700.4953
brb,2011,-11411875.01
brb,2012,-313049700.77821
brb,2013,-199903057.41089
brb,2014,-697323651.84239
brb,2015,-222671813.43392
brb,2016,-576751310.65307
brn,2001,60168362.49138
brn,2002,65921764.78183
brn,2003,12474320.17608
brn,2004,36176082.79505
brn,2005,73064399.94213
brn,2006,65284030.17827
brn,2007,62348741.24536
brn,2008,54494934.77486
brn,2009,52026606.85804
brn,2010,-99523338.7873
brn,2011,-498258251.00202
brn,2012,-449867031.75216
brn,2013,-202284964.58484
brn,2014,-19698122.9285
brn,2015,649682885.14601
brn,2016,834399886.9486
brn,2017,721279064.009
brn,2018,86811064.38885
brn,2019,361545805.13377
brn,2020,359635249.34542
btn,2006,-6985240.29365
btn,2007,-273625.83761
btn,2008,-34959570.02054
btn,2009,-31665932.15866
btn,2010,-72090871.6569
btn,2011,-104182067.81857
btn,2012,-113456998.32318
btn,2013,-165696458.61748
btn,2014,-128068381.94168
btn,2015,-133220866.38872
btn,2016,-171658463.03784
btn,2017,-199262091.8331
btn,2018,-216137971.16116
btn,2019,-221068868.92156
btn,2020,-148531348.22171
bwa,1975,53954813.41508
bwa,1976,7475001.87735
bwa,1977,13896152.60339
bwa,1978,-9539254.04185
bwa,1979,2822062.80867
bwa,1980,-32937695.04704
bwa,1981,56289999.1311
bwa,1982,37293833.84115
bwa,1983,-47222882.77407
bwa,1984,-97968740.40401
bwa,1985,-131454000.75312
bwa,1986,-129154539.77756
bwa,1987,-243546402.51865
bwa,1988,-326700253.61105
bwa,1989,-238822464.30009
bwa,1990,-105887459.18921
bwa,1991,62872340.95177
bwa,1992,112384315.49136
bwa,1993,293635153.67869
bwa,1994,-224349918.82541
bwa,1995,-32429039.68199
bwa,1996,-253063547.18283
bwa,1997,-144795745.9125
bwa,1998,119570125.03905
bwa,1999,-266196969.21452
bwa,2000,-351308134.16979
bwa,2001,-219810205.8576
bwa,2002,-711736298.22937
bwa,2003,-673738500.90915
bwa,2004,-985023044.41998
bwa,2005,-858481027.99629
bwa,2006,-773802119.95952
bwa,2007,-738090361.15044
bwa,2008,-748818003.95077
bwa,2009,-238014975.90877
bwa,2010,-639346378.53606
bwa,2011,-335847962.68633
bwa,2012,-215393931.30516
bwa,2013,-650577878.24652
bwa,2014,-471648701.78818
bwa,2015,-453906145.79057
bwa,2016,-1290509874.3455
bwa,2017,-1366573603.79216
bwa,2018,-1584124478.82011
bwa,2019,-876057010.06162
bwa,2020,-248737476.86997
caf,1977,-606480.74769
caf,1978,1156628.50382
caf,1979,-5420228.88173
caf,1980,2565321.56619
caf,1981,3301281.39849
caf,1982,-7262971.67054
caf,1983,-10688436.16317
caf,1984,-9663654.14103
caf,1985,-7374925.7975
caf,1986,-12326026.69783
caf,1987,-19161188.34926
caf,1988,-21165274.17941
caf,1989,-20755051.67048
caf,1990,-21598462.04602
caf,1991,-13466525.92112
caf,1992,-15739059.49556
caf,1993,-18745414.76975
caf,1994,-22694332.55625
can,1960,-635023577.08282
can,1961,-877638780.45082
can,1962,-993012265.4364
can,1963,-1117507838.81809
can,1964,-998225434.03764
can,1965,-1551901820.39969
can,1966,-1518155698.35453
can,1967,-1836596952.64627
can,1968,-1805626252.55927
can,1969,-1958783635.94874
can,1970,-1619275469.12442
can,1971,-2570097156.65811
can,1972,-3285366995.48576
can,1973,-3754575638.67843
can,1974,-4656748993.80014
can,1975,-4865087228.69565
can,1976,-5938822946.03304
can,1977,-6271754240.35316
can,1978,-8550300118.28579
can,1979,-9375432516.93408
can,1980,-10763469137.0363
can,1981,-14799686054.8883
can,1982,-10127740874.6306
can,1983,-13162800263.4631
can,1984,-12973009822.4742
can,1985,-13456399836.9099
can,1986,-14671405430.8421
can,1987,-17828551528.9716
can,1988,-18283892520.08549
can,1989,-21466231064.3009
can,1990,-20290567517.0096
can,1991,-18160827917.3708
can,1992,-18201972622.8569
can,1993,-21368004572.8163
can,1994,-19565156818.0476
can,1995,-23234979189.4572
can,1996,-22004796194.9263
can,1997,-21580971963.3282
can,1998,-21414181781.9746
can,1999,-23450541069.425
can,2000,-23398390833.9519
can,2001,-26460345557.0265
can,2002,-20667500096.4738
can,2003,-23416619769.2742
can,2004,-21110082468.7617
can,2005,-22304622678.4821
can,2006,-15557536919.6049
can,2007,-17429950263.8974
can,2008,-23372367347.6311
can,2009,-17447918562.845
can,2010,-23448903474.3272
can,2011,-24380008570.5485
can,2012,-25872285549.7108
can,2013,-25169724051.0205
can,2014,-22432424282.8143
can,2015,-12813955124.4984
can,2016,-9499915695.02143
can,2017,-6643135611.82147
can,2018,-4853969414.92161
can,2019,-5948914420.12361
can,2020,7697115543.35236
can,2021,1313824435.53664
che,1977,2542099625.21494
che,1978,3254988046.83449
che,1979,3996451610.25631
che,1980,4186289381.98656
che,1981,4693923441.28757
che,1982,4526480404.94479
che,1983,4341774616.12324
che,1984,4964073174.03709
che,1985,4953349951.67116
che,1986,5756798073.44761
che,1987,6773777124.5592
che,1988,8866261190.45992
che,1989,7394593272.91899
che,1990,7877503764.26975
che,1991,7879264756.30377
che,1992,7335916305.07829
