geo,time,se_prm_rept_zs
bgr,2001,2.37017
bgr,2002,2.50475
bgr,2003,2.27196
bgr,2004,2.26242
bgr,2005,2.33607
bgr,2006,2.31537
bgr,2007,2.14923
bgr,2008,1.81689
bgr,2009,1.59498
bgr,2010,0.61996
bgr,2011,0.21993
bgr,2012,0.16285
bgr,2013,0.12851
bgr,2014,0.09774
bgr,2015,0.11077
bgr,2016,0.07405
bgr,2017,0.07826
bhr,1982,11.30269
bhr,1983,12.23092
bhr,1984,11.02193
bhr,1985,7.42035
bhr,1986,8.54701
bhr,1987,8.48037
bhr,1988,8.76825
bhr,1989,8.08655
bhr,1991,5.10083
bhr,1992,4.6241
bhr,1993,4.61552
bhr,1994,5.07708
bhr,1995,5.23303
bhr,1996,5.45873
bhr,1998,5.2864
bhr,1999,3.84263
bhr,2000,4.30777
bhr,2001,4.24648
bhr,2002,3.78252
bhr,2004,3.16173
bhr,2005,2.79595
bhr,2006,2.6705
bhr,2011,1.15437
bhr,2012,1.0144
bhr,2013,0.90905
bhr,2014,0.69161
bhr,2015,0.64979
bhr,2016,0.48302
bhr,2017,0.34643
bhr,2018,0.32823
bhs,1994,0
bhs,2004,0
bhs,2005,0
bhs,2006,0
bhs,2007,0
bhs,2008,0
bhs,2009,0
bhs,2010,3.52003
bhs,2011,3.74446
bhs,2012,3.35735
bhs,2013,3.19797
bhs,2014,2.96799
bhs,2015,3.15719
bhs,2016,3.32735
bhs,2018,3.23007
bih,2008,0.07696
bih,2009,0.06162
bih,2010,0.06561
bih,2011,0.05678
bih,2012,0.07142
bih,2013,0.09783
bih,2014,0.12607
bih,2015,0.13528
bih,2016,0.15474
bih,2017,0.14119
bih,2018,0.09286
blr,1971,1.15173
blr,1972,1.06325
blr,1973,0.74159
blr,1974,0.58868
blr,1975,0.56923
blr,1976,0.48986
blr,1977,0.52256
blr,1978,0.51291
blr,1979,0.51261
blr,1980,0.38194
blr,1981,0.34773
blr,1982,0.38018
blr,1983,0.33666
blr,1984,0.37141
blr,1985,0.43186
blr,1986,0.45323
blr,1988,0.50803
blr,1989,0.79784
blr,1990,0.99078
blr,1991,1.15485
blr,1992,1.24174
blr,1993,1.2439
blr,1994,1.18185
blr,1995,1.19441
blr,1996,1.07578
blr,1997,0.944
blr,1998,0.7646
blr,1999,0.52303
blr,2000,0.55992
blr,2001,0.37117
blr,2002,0.31766
blr,2003,0.24805
blr,2004,0.104
blr,2005,0.06902
blr,2006,0.05384
blr,2007,0.05035
blr,2008,0.04251
blr,2009,0.04722
blr,2010,0.03829
blr,2011,0.06246
blr,2012,0.02956
blr,2013,0.03796
blr,2014,0.02983
blr,2015,0.02894
blr,2016,0.03289
blr,2017,0.04374
blr,2018,0.04302
blz,1992,6.76662
blz,1995,10.31553
blz,1996,10.02875
blz,1999,9.65143
blz,2000,9.52041
blz,2001,9.83954
blz,2003,9.4348
blz,2004,10.78864
blz,2005,11.61064
blz,2006,10.35788
blz,2007,9.40499
blz,2008,8.22403
blz,2009,8.1799
blz,2010,7.54416
blz,2011,8.24278
blz,2012,7.58884
blz,2013,7.20332
blz,2014,6.86637
blz,2015,7.29183
blz,2016,6.81406
blz,2017,6.77318
blz,2018,6.67993
bmu,1975,7.39991
bol,2010,5.77181
bol,2011,6.63743
bol,2012,6.18398
bol,2013,5.68455
bol,2014,4.18003
bol,2015,1.99687
bol,2016,2.24885
bol,2017,2.28492
bol,2018,2.26449
bra,1970,19.2407
bra,1971,16.12148
bra,1972,18.03192
bra,1973,18.10417
bra,1974,17.58442
bra,1975,17.17295
bra,1976,19.25483
bra,1977,21.31757
bra,1978,21.58182
bra,1979,17.61506
bra,1980,21.6938
bra,1981,21.70049
bra,1982,21.75059
bra,1984,20.9128
bra,1985,19.58827
bra,1987,19.82945
bra,1992,18.14645
bra,1993,18.3859
bra,1994,19.12068
bra,1999,24.04412
bra,2000,25.01127
bra,2001,21.46805
bra,2002,20.61118
bra,2003,19.95374
bra,2004,20.13395
bra,2005,18.6657
bra,2008,11.8231
bra,2009,10.8305
bra,2010,9.44715
bra,2011,8.74965
brn,1972,7.68955
brn,1973,8.47199
brn,1974,9.13585
brn,1975,8.2766
brn,1976,7.52011
brn,1977,8.89773
brn,1978,9.8569
brn,1979,15.30701
brn,1980,12.5553
brn,1981,13.16097
brn,1982,13.79648
brn,1983,9.00491
brn,1984,10.22314
brn,1986,8.56069
brn,1991,9.73724
brn,1992,9.64004
brn,1993,10.16434
brn,1994,8.86681
brn,1995,7.84121
brn,2004,2.57212
brn,2005,2.25159
brn,2006,1.60573
brn,2007,2.0904
brn,2008,0.81773
brn,2009,0.54386
brn,2010,0.13118
brn,2011,0.14394
brn,2012,0.07017
brn,2013,0.06652
brn,2014,0.19719
brn,2015,0.15843
brn,2016,0.63008
brn,2017,0.27771
brn,2018,0.08107
btn,1976,10.95315
btn,1977,21.1094
btn,1978,3.48558
btn,1979,12.91063
btn,1988,16.76906
btn,1993,18.64971
btn,1994,19.02345
btn,1998,13.03729
btn,1999,12.10755
btn,2000,13.18455
btn,2001,12.93139
btn,2004,10.08497
btn,2005,7.47853
btn,2006,6.85449
btn,2007,6.59443
btn,2008,6.39303
btn,2009,6.60039
btn,2010,6.33239
btn,2011,5.73919
btn,2012,5.32308
btn,2013,5.85681
btn,2014,6.25178
btn,2016,6.01424
btn,2017,4.72161
btn,2018,7.29993
bwa,1970,0.33252
bwa,1971,0.7343
bwa,1972,0.88168
bwa,1973,1.64484
bwa,1974,2.30544
bwa,1975,2.89011
bwa,1976,2.61331
bwa,1977,2.25727
bwa,1978,1.99988
bwa,1979,2.63047
bwa,1980,2.9317
bwa,1981,4.62756
bwa,1982,5.63547
bwa,1983,6.47463
bwa,1984,5.88115
bwa,1985,5.6854
bwa,1986,4.73084
bwa,1987,5.31181
bwa,1988,4.95003
bwa,1989,4.93543
bwa,1990,4.87521
bwa,1991,4.56106
bwa,1992,3.31861
bwa,1993,2.6136
bwa,1994,2.70437
bwa,1995,3.47665
bwa,1996,3.28752
bwa,1998,3.09832
bwa,1999,3.3094
bwa,2000,3.39611
bwa,2001,3.24176
bwa,2002,3.1892
bwa,2003,4.6886
bwa,2004,4.59762
bwa,2005,4.70882
bwa,2006,4.66744
bwa,2007,4.89321
bwa,2008,4.55333
bwa,2009,4.55385
bwa,2012,4.66248
bwa,2013,4.39357
bwa,2014,5.3103
caf,1971,28.1418
caf,1972,27.65446
caf,1973,26.00869
caf,1974,32.21782
caf,1975,31.18391
caf,1976,35.30339
caf,1977,31.84466
caf,1978,29.69762
caf,1981,35.09794
caf,1982,34.76775
caf,1983,35.26559
caf,1986,29.44073
caf,1987,34.95344
caf,1988,34.75466
caf,1989,33.86036
caf,1990,31.21476
caf,1991,31.68941
caf,1992,37.20414
caf,2004,30.5016
caf,2005,29.49918
caf,2006,28.1774
caf,2008,25.61764
caf,2009,23.80331
caf,2010,20.68755
caf,2011,22.59682
caf,2012,22.7293
caf,2016,22.64186
can,1998,0
can,1999,0
can,2000,0
can,2006,0
can,2008,0
can,2009,0
can,2010,0
can,2011,0
che,1977,2.45691
che,1978,2.29368
che,1979,2.23152
che,1980,1.99005
che,1981,1.95125
che,1982,2.22663
che,1983,2.18038
che,1984,2.20188
che,1985,2.06681
che,1986,2.0087
che,1987,2.00083
che,1988,1.97388
che,1989,1.8541
che,1990,1.80074
che,1991,1.66991
che,1992,1.75163
che,1993,1.61416
che,1994,1.62597
che,1996,1.56016
che,1999,1.76016
che,2000,1.64069
che,2001,1.68054
che,2002,1.70556
che,2003,1.64197
che,2005,1.62984
che,2006,1.43292
che,2007,1.45535
che,2008,1.47928
che,2009,1.44123
che,2010,1.43226
che,2011,1.353
che,2012,1.31281
che,2013,1.23277
che,2014,0.95702
che,2015,1.06633
che,2016,1.23149
che,2017,1.19089
chl,1970,11.62474
chl,1971,8.90059
chl,1972,9.10652
chl,1973,12.45094
chl,1974,12.95822
chl,1975,13.3911
chl,1976,13.32612
chl,1977,13.76415
chl,1983,8.03355
chl,1997,4.15317
chl,2011,4.91251
chl,2012,4.68702
chl,2013,4.42066
chl,2014,4.05332
chl,2015,3.61192
chl,2016,3.34567
chl,2017,3.01418
chn,1989,7.48817
chn,1990,6.51575
chn,1991,6.14473
chn,1992,5.10434
chn,1993,4.57985
chn,1994,3.73956
chn,1995,2.83005
chn,1996,2.18098
chn,1997,1.6397
chn,2006,0.26887
chn,2007,0.24671
chn,2008,0.28671
chn,2009,0.27986
chn,2010,0.2768
chn,2011,0.2582
chn,2012,0.17111
chn,2013,0.15093
chn,2014,0.08044
chn,2015,0.01997
chn,2016,0.01355
chn,2017,0.01378
chn,2018,0.0075
civ,1973,25.1593
civ,1974,26.10418
civ,1975,22.86749
civ,1976,20.8929
civ,1977,19.13418
civ,1978,17.79217
civ,1979,18.41092
civ,1980,18.98699
civ,1981,19.64493
civ,1983,24.51646
civ,1984,25.81668
civ,1985,28.66669
civ,1986,28.34359
civ,1987,27.1577
civ,1988,25.84145
civ,1989,26.33627
civ,1990,26.34724
civ,1991,24.06611
civ,1992,27.04062
civ,1993,26.64097
civ,1994,25.4101
civ,1995,26.69006
civ,1996,23.50407
civ,1997,24.64682
civ,1998,25.42585
civ,1999,23.65236
civ,2000,24.18788
civ,2001,22.96174
civ,2002,23.33951
civ,2003,17.59135
civ,2006,23.52618
civ,2007,21.59151
civ,2009,18.79494
civ,2011,16.58119
civ,2012,19.64269
civ,2013,20.21975
civ,2014,15.00569
civ,2015,15.21149
civ,2016,12.66589
civ,2017,11.04798
cmr,1973,25.89594
cmr,1974,26.90096
cmr,1975,26.42546
cmr,1976,25.07053
cmr,1977,25.9163
cmr,1978,18.32179
cmr,1979,27.28511
cmr,1980,29.24187
cmr,1981,29.9706
cmr,1982,30.20493
cmr,1983,29.81684
cmr,1984,29.53783
cmr,1985,28.86771
cmr,1986,29.28918
cmr,1987,29.34365
cmr,1988,29.08793
cmr,1990,28.63201
cmr,1991,29.18128
cmr,1999,26.65005
cmr,2000,26.65006
cmr,2002,25.16524
cmr,2003,25.81304
cmr,2004,25.08735
cmr,2005,25.96527
cmr,2006,25.11011
cmr,2007,20.06706
cmr,2008,16.80403
cmr,2009,14.67856
cmr,2010,13.14453
cmr,2011,12.49563
cmr,2012,12.32195
cmr,2014,12.72654
cmr,2015,12.17166
cmr,2016,11.78686
cmr,2017,12.18617
cmr,2018,12.24649
cod,1971,22.88389
cod,1972,23.07746
cod,1976,21.11086
cod,1977,20.80471
cod,1978,20.29244
cod,1980,18.82024
cod,1981,18.82023
cod,1982,18.82021
cod,1983,18.82022
cod,1984,18.82023
cod,1988,20.76974
cod,1991,17.63398
cod,1992,11.91027
cod,1993,8.97409
cod,1994,20.96053
cod,1999,15.53496
cod,2002,16.30319
cod,2007,15.92538
cod,2008,15.33738
cod,2009,15.33739
cod,2010,14.118
cod,2011,12.34413
cod,2012,11.2093
cod,2013,10.80886
cod,2015,9.86886
cog,1971,32.61413
cog,1972,32.13753
cog,1973,30.37017
cog,1974,30.75548
cog,1975,29.15259
cog,1976,26.14783
cog,1977,24.71282
cog,1978,24.61878
cog,1979,24.72565
cog,1980,24.838
cog,1981,25.70903
cog,1982,27.89116
cog,1983,30.76188
cog,1984,31.73039
cog,1985,33.20116
cog,1986,29.85488
cog,1987,31.31002
cog,1988,30.81986
cog,1989,34.84521
cog,1990,38.51624
cog,1992,32.79049
cog,1993,34.03332
cog,1994,35.65687
cog,1996,33.22106
cog,1999,39.10132
cog,2000,27.22405
cog,2001,24.91551
cog,2002,24.75581
cog,2003,27.81866
cog,2004,24.54387
cog,2005,23.94643
cog,2006,21.21846
cog,2007,21.21853
cog,2008,22.40412
cog,2009,19.6627
cog,2010,19.08174
cog,2011,18.69694
cog,2012,22.79069
col,1970,16.61191
col,1971,16.13698
col,1972,16.02593
col,1973,15.3733
col,1974,15.35765
col,1982,13.17967
col,1983,12.70527
col,1984,12.33472
col,1985,16.95325
col,1986,16.95325
col,1987,12.33472
col,1988,12.33472
col,1989,12.33472
col,1990,11.43768
col,1991,11.38588
col,1992,12.33001
col,1993,7.30797
col,1994,9.22079
col,1995,9.30746
col,1996,7.23095
col,1998,4.63326
col,1999,5.20321
col,2000,5.35442
col,2001,6.6195
col,2002,6.62171
col,2004,4.29729
col,2005,4.10633
col,2006,3.8405
col,2007,3.71155
col,2008,3.47258
col,2009,1.97816
col,2010,1.9439
col,2011,2.5377
col,2012,2.46457
col,2013,1.47777
col,2014,1.57124
col,2015,2.32054
col,2016,1.986
col,2017,2.22959
col,2018,1.79565
com,1981,24.56246
com,1986,32.61304
com,1987,36.68355
com,1992,39.11772
com,1993,40.92812
com,1994,35.82486
com,1999,25.99379
com,2000,25.99416
com,2002,27.97725
com,2003,27.98301
com,2004,27.12193
com,2007,25.89506
com,2008,24.43144
com,2011,24.35057
com,2013,20.71622
com,2014,17.49778
com,2017,16.58863
com,2018,15.95299
cpv,1979,27.02762
cpv,1980,28.97902
cpv,1981,28.64709
cpv,1982,29.17702
cpv,1983,28.56036
cpv,1984,29.45418
cpv,1985,29.00938
cpv,1986,27.68654
cpv,1987,27.09295
cpv,1988,23.97054
cpv,1990,18.77776
cpv,1994,16.92272
cpv,1998,9.01751
cpv,2000,11.58169
cpv,2001,11.88107
cpv,2002,13.36614
cpv,2003,13.42736
cpv,2004,12.96014
cpv,2005,15.51485
cpv,2006,14.03836
cpv,2007,12.88562
cpv,2008,11.59386
cpv,2009,10.36874
cpv,2010,9.64939
cpv,2011,10.50713
cpv,2012,10.00839
cpv,2013,9.92575
cpv,2014,9.02447
cpv,2015,8.27205
cpv,2016,8.59701
cpv,2017,8.12476
cpv,2018,7.74608
cri,1970,10.33809
cri,1971,11.04641
cri,1972,5.85728
cri,1973,2.03369
cri,1974,2.65696
cri,1975,6.4749
cri,1976,7.53804
cri,1977,7.31283
cri,1978,7.6746
cri,1979,7.66585
cri,1980,7.87526
cri,1981,7.41102
cri,1982,7.19566
cri,1983,11.58261
cri,1984,10.96111
cri,1985,10.5697
cri,1986,9.7349
cri,1987,10.27091
cri,1988,10.68231
cri,1989,11.008
cri,1990,11.291
cri,1991,10.5282
cri,1992,9.55442
cri,1993,8.10586
cri,1994,8.72451
cri,1995,9.34922
cri,1996,11.40333
cri,1999,8.90199
cri,2000,8.05944
cri,2001,8.21181
cri,2002,7.46972
cri,2004,6.92674
cri,2005,7.18925
cri,2006,7.29935
cri,2007,7.62216
cri,2008,7.03812
cri,2009,5.0782
cri,2010,5.67758
cri,2011,5.4949
cri,2012,5.33049
cri,2013,5.02244
cri,2014,4.18224
cri,2015,3.11306
cri,2016,3.2592
cri,2017,2.79045
cri,2018,2.31226
cub,1971,21.6073
cub,1972,28.45633
cub,1973,22.21251
cub,1974,15.9385
cub,1975,11.23734
cub,1976,8.12456
cub,1977,2.75865
cub,1978,2.10066
cub,1979,2.14605
cub,1980,4.52867
cub,1981,5.70275
cub,1982,6.7534
cub,1983,5.53982
cub,1984,4.89225
cub,1985,4.08965
cub,1986,3.20949
cub,1987,4.26246
cub,1988,7.79944
cub,1989,5.16114
cub,1990,3.60568
cub,1991,2.63434
cub,1992,2.66535
cub,1993,3.05094
cub,1994,2.95549
cub,1995,2.7668
cub,1996,3.08485
cub,1998,1.81651
cub,1999,1.59334
cub,2000,1.40688
cub,2001,1.36619
cub,2002,1.20921
cub,2003,0.83159
cub,2004,0.66093
cub,2005,0.51729
cub,2006,0.48739
cub,2007,0.51125
cub,2008,0.53681
cub,2009,0.4296
cub,2010,0.42944
cub,2011,0.60208
cub,2012,0.60297
cub,2013,0.59389
cub,2014,0.67305
cub,2015,0.63759
cub,2016,0.53437
cub,2017,0.4591
cub,2018,0.44902
cym,1999,0.15475
cym,2000,0.20378
cym,2001,0.22542
cym,2002,0.05588
cym,2004,0
cym,2005,0.21605
cym,2006,0
cym,2007,0
cym,2008,0
cym,2011,0
cym,2012,0
cym,2013,0.12658
cym,2018,0
cyp,1971,2.26865
cyp,1972,2.16124
cyp,1973,1.66547
cyp,1974,1.43902
cyp,1975,0.94088
cyp,1976,0.97523
cyp,1977,0.9681
cyp,1978,0.80484
cyp,1979,0.67392
cyp,1980,0.87388
cyp,1981,0.57494
cyp,1982,0.49246
cyp,1983,0.43292
cyp,1984,0.60232
cyp,1985,0.49176
cyp,1986,0.39419
cyp,1987,0.37048
cyp,1988,0.36264
cyp,1989,0.38147
cyp,1990,0.29257
cyp,1991,0.37801
cyp,1992,0.32464
cyp,1993,0.2861
cyp,1994,0.32508
cyp,1995,0.30054
cyp,1996,0.33869
cyp,1997,0.32427
cyp,1999,0.40779
cyp,2000,0.34088
cyp,2001,0.31743
cyp,2002,0.27308
cyp,2003,0.26245
cyp,2004,0.27863
cyp,2005,0.23675
cyp,2006,0.22442
cyp,2007,0.21459
cyp,2008,0.43663
cyp,2009,0.19879
cyp,2010,0.17334
cyp,2011,0.1784
cyp,2012,0.15109
cyp,2013,0.12577
cyp,2014,0.12883
cyp,2015,0.11043
cyp,2016,0.10683
cyp,2017,0.12797
cze,1993,1.21683
cze,1994,1.05122
cze,1995,1.04113
cze,1996,1.24448
cze,1999,1.23543
cze,2000,1.18148
cze,2001,1.11562
cze,2002,1.09101
cze,2003,1.1084
cze,2004,1.08989
cze,2005,1.07471
cze,2006,0.69157
cze,2007,0.61536
cze,2008,0.62949
cze,2009,0.63042
cze,2010,0.64011
cze,2011,0.60905
cze,2012,0.54858
cze,2013,0.5815
cze,2014,0.57029
cze,2015,0.55185
cze,2016,0.5613
cze,2017,0.50089
deu,1993,1.83287
deu,1994,1.84861
deu,1995,1.76644
deu,1996,1.73033
deu,1997,1.72595
deu,1999,1.72997
deu,2000,1.73669
deu,2001,1.77301
deu,2002,1.74293
deu,2003,1.61584
deu,2004,1.45148
deu,2005,1.36903
deu,2006,1.14112
deu,2007,1.15629
deu,2008,1.26956
deu,2009,0.55208
deu,2010,0.50709
deu,2011,0.49564
deu,2012,0.46831
deu,2013,0.43782
deu,2014,0.40797
deu,2015,0.41505
deu,2016,0.43731
deu,2017,0.44101
dji,1972,10.18944
dji,1973,15.64066
dji,1974,20.11966
dji,1975,19.93338
dji,1976,18.87546
dji,1986,12.47422
dji,1987,13.8635
dji,1988,15.93052
dji,1989,10.3409
dji,1990,10.72407
dji,1991,13.43279
dji,1992,13.67778
dji,1993,13.9658
dji,1994,13.46766
dji,1995,12.44861
dji,1996,14.71165
dji,1997,16.06136
dji,1999,16.56543
dji,2000,14.12636
dji,2001,14.43197
dji,2002,11.33323
dji,2005,9.2318
dji,2006,7.45186
dji,2007,9.08642
dji,2008,10.57009
dji,2011,9.63405
dji,2012,9.08005
dji,2014,9.06575
dji,2015,8.62726
dji,2016,8.29407
dji,2017,10.12677
dji,2018,8.66638
dma,1988,5.25397
dma,1999,3.64497
dma,2000,2.95567
dma,2001,2.23097
