geo,time,si_pov_mdim_17
lux,2013,25.4
lux,2014,25.7
lux,2015,22.6
lux,2016,21.5
lux,2017,19.4
lux,2018,23.2
lux,2019,26
lux,2020,23.5
lva,2010,44.2
lva,2011,43.7
lva,2012,39.1
lva,2013,37
lva,2014,34.5
lva,2015,30.3
lva,2016,23.7
lva,2017,23
lva,2018,21.2
lva,2019,18.3
lva,2020,19.2
mar,2011,15.5
mar,2014,11
mdv,2016,33.9
mex,2010,53.7
mex,2012,53.8
mex,2014,53.9
mex,2016,51.3
mex,2018,50.3
mex,2020,52.6
mkd,2011,53.3
mkd,2012,52.8
mkd,2013,50.4
mkd,2014,46.2
mkd,2015,46
mkd,2016,45.8
mkd,2017,46.4
mkd,2018,45.3
mli,2016,41
mlt,2010,26.7
mlt,2011,27.4
mlt,2012,31.1
mlt,2013,33.4
mlt,2014,31.5
mlt,2015,27.8
mlt,2016,23.4
mlt,2017,22.5
mlt,2018,22.6
mlt,2019,23.6
mlt,2020,22.1
mne,2013,42.7
mne,2014,44.3
mne,2015,41.6
mne,2016,39.3
mne,2017,40.2
mne,2018,39.3
mne,2019,38.1
mne,2020,37.9
nam,2015,51.3
nld,2010,16.9
nld,2011,18
nld,2012,17.1
nld,2013,17
nld,2014,17
nld,2015,16.3
nld,2016,17.2
nld,2017,16.2
nld,2018,14.9
nld,2019,15.3
nld,2020,16.5
nor,2010,14.6
nor,2011,12.3
nor,2012,11.5
nor,2013,13.4
nor,2014,11.7
nor,2015,13.3
nor,2016,14.4
nor,2017,15.5
nor,2018,15.1
nor,2019,16
nor,2020,16
npl,2014,35.9
npl,2019,21.8
pan,2018,32.8
pol,2010,30.8
pol,2011,29.1
pol,2012,28.8
pol,2013,29.1
pol,2014,27.4
pol,2015,25.6
pol,2016,23.3
pol,2017,16.8
pol,2018,16.3
pol,2019,15.2
pol,2020,14.8
rou,2010,48.1
rou,2011,49
rou,2012,52.8
rou,2013,51.4
rou,2014,49.9
rou,2015,46
rou,2016,48.5
rou,2017,40.9
rou,2018,37.9
rou,2019,34.6
rou,2020,36.1
slv,2014,47.7
slv,2016,46.3
slv,2017,47
slv,2018,39
slv,2019,39.6
srb,2013,42.3
srb,2014,42
srb,2015,41.1
srb,2016,38.4
srb,2017,38.5
srb,2018,35.4
srb,2019,34.7
srb,2020,29
svk,2010,25.3
svk,2011,25.8
svk,2012,26.3
svk,2013,24.9
svk,2014,23.4
svk,2015,25.5
svk,2016,24.8
svk,2017,22.2
svk,2018,23.6
svk,2019,21.4
svk,2020,19
svn,2010,15.2
svn,2011,17.3
svn,2012,16.4
svn,2013,17.4
svn,2014,17.6
svn,2015,16.3
svn,2016,14.3
svn,2017,15.2
svn,2018,13.3
svn,2019,11.7
svn,2020,12
swe,2010,19.2
swe,2011,19.4
swe,2012,18.8
swe,2013,19.2
swe,2014,20
swe,2015,19.3
swe,2016,19.3
swe,2017,18.3
swe,2018,20.6
swe,2019,22.7
swe,2020,19.3
tha,2015,21.5
tur,2010,71
tur,2011,69.2
tur,2012,67.2
tur,2013,57.7
tur,2014,48.9
tur,2015,48.2
tur,2016,51.4
tur,2017,48.4
tur,2018,47.6
tur,2019,47.7
tur,2020,48.9
