geo,time,hd_hci_ovrl_lb_ma
jor,2017,0.516
jor,2018,0.50447
jor,2020,0.51145
kaz,2010,0.55144
kaz,2017,0.688
kaz,2018,0.73303
kaz,2020,0.59691
kgz,2017,0.544
kgz,2018,0.56378
kgz,2020,0.56702
kir,2018,0.40644
kir,2020,0.42078
kna,2018,0.5418
kna,2020,0.5564
kor,2010,0.78439
kor,2017,0.785
kor,2018,0.80277
kor,2020,0.76944
kos,2017,0.535
kos,2018,0.5417
kos,2020,0.54205
kwt,2010,0.52808
kwt,2017,0.514
kwt,2018,0.52777
kwt,2020,0.52239
lao,2017,0.418
lao,2018,0.43181
lao,2020,0.43105
lbn,2017,0.525
lbr,2017,0.292
lbr,2018,0.29526
lbr,2020,0.29563
lca,2018,0.54373
lca,2020,0.55956
lso,2010,0.3072
ltu,2010,0.62133
ltu,2017,0.649
ltu,2018,0.66477
ltu,2020,0.64759
lux,2010,0.6778
lux,2017,0.668
lux,2018,0.67426
lux,2020,0.66497
lva,2010,0.61811
lva,2017,0.658
lva,2018,0.67108
lva,2020,0.64631
mac,2010,0.62226
mac,2017,0.725
mac,2018,0.73238
mac,2020,0.76536
mar,2010,0.46509
mar,2017,0.482
mar,2018,0.46822
mar,2020,0.48066
mda,2010,0.52163
mda,2017,0.542
mda,2018,0.54788
mda,2020,0.55133
mdg,2010,0.36492
mdg,2017,0.343
mdg,2018,0.35555
mdg,2020,0.36134
mex,2010,0.56841
mex,2017,0.586
mex,2018,0.5866
mex,2020,0.58961
mhl,2018,0.36768
mhl,2020,0.38114
mkd,2010,0.51547
mkd,2017,0.513
mkd,2018,0.51525
mkd,2020,0.53483
mli,2017,0.286
mli,2018,0.30869
mli,2020,0.30534
mlt,2010,0.64016
mlt,2017,0.661
mlt,2018,0.68083
mlt,2020,0.67515
mmr,2017,0.44
mmr,2018,0.43656
mmr,2020,0.44015
mne,2010,0.55657
mne,2018,0.59637
mne,2020,0.61443
mng,2018,0.57374
mng,2020,0.57202
mrt,2017,0.296
mrt,2018,0.32299
mrt,2020,0.33107
mus,2010,0.56928
mwi,2010,0.33937
mys,2010,0.5555
mys,2017,0.59
mys,2018,0.59842
mys,2020,0.57817
nam,2010,0.36555
ner,2017,0.296
ner,2018,0.29709
ner,2020,0.29451
nga,2017,0.32
nga,2018,0.32467
nga,2020,0.32849
nic,2017,0.493
nic,2018,0.47838
nic,2020,0.47918
nld,2010,0.77483
nld,2017,0.775
nld,2018,0.78059
nld,2020,0.76047
nor,2010,0.74518
nor,2017,0.744
nor,2018,0.7469
nor,2020,0.74226
nru,2020,0.45793
nzl,2010,0.7466
nzl,2017,0.736
nzl,2018,0.74268
nzl,2020,0.75079
omn,2010,0.50668
omn,2017,0.577
omn,2018,0.56434
omn,2020,0.56227
pak,2017,0.372
pak,2018,0.38573
pak,2020,0.39371
pan,2010,0.47904
pan,2017,0.496
pan,2018,0.48651
pan,2020,0.47146
per,2010,0.51932
per,2017,0.539
per,2018,0.57624
per,2020,0.58981
phl,2017,0.483
phl,2018,0.50541
phl,2020,0.47589
plw,2018,0.52335
plw,2020,0.53932
png,2017,0.355
png,2018,0.40789
png,2020,0.41018
pol,2017,0.701
pol,2018,0.71925
pol,2020,0.71039
prt,2010,0.70976
prt,2017,0.755
prt,2018,0.76227
prt,2020,0.74433
pry,2010,0.48418
pry,2017,0.51
pry,2018,0.5024
pry,2020,0.50286
pse,2017,0.518
pse,2018,0.53041
pse,2020,0.53815
qat,2010,0.5682
qat,2017,0.57
qat,2018,0.60525
qat,2020,0.6037
rou,2010,0.56011
rou,2017,0.559
rou,2018,0.55795
rou,2020,0.54667
rus,2017,0.626
rus,2018,0.67404
rus,2020,0.63063
rwa,2017,0.341
rwa,2018,0.34694
rwa,2020,0.34867
sau,2010,0.52041
sau,2017,0.544
sau,2018,0.53449
sau,2020,0.54497
sdn,2018,0.35098
sdn,2020,0.35159
sen,2010,0.36876
sen,2017,0.391
sen,2018,0.38755
sen,2020,0.3844
sgp,2010,0.82688
sgp,2017,0.851
sgp,2018,0.86316
sgp,2020,0.85995
slb,2017,0.421
slb,2018,0.40512
slb,2020,0.39477
sle,2017,0.302
sle,2018,0.32855
sle,2020,0.3353
slv,2017,0.473
slv,2018,0.5073
slv,2020,0.50469
srb,2010,0.62495
srb,2017,0.72
srb,2018,0.72629
srb,2020,0.6439
svk,2010,0.6367
svk,2017,0.654
svk,2018,0.6474
svk,2020,0.62958
svn,2010,0.71421
svn,2017,0.751
svn,2018,0.75559
svn,2020,0.74136
swe,2010,0.73654
swe,2017,0.771
swe,2018,0.77685
swe,2020,0.76911
swz,2010,0.28365
syc,2010,0.55489
tcd,2010,0.27896
tcd,2017,0.28
tcd,2018,0.28631
tcd,2020,0.28612
tgo,2010,0.35407
tgo,2017,0.394
tgo,2018,0.39419
tgo,2020,0.40673
tha,2010,0.54594
tha,2017,0.546
tha,2018,0.58013
tha,2020,0.56924
tjk,2017,0.516
tjk,2018,0.52402
tls,2010,0.38807
tls,2017,0.403
tls,2018,0.41292
tls,2020,0.41299
ton,2017,0.457
ton,2018,0.47581
ton,2020,0.49059
tto,2010,0.49837
tun,2010,0.49507
tun,2017,0.474
tun,2018,0.47848
tun,2020,0.48597
tur,2010,0.608
tur,2017,0.58
tur,2018,0.6026
tur,2020,0.62789
tuv,2018,0.40286
tuv,2020,0.40473
tza,2017,0.375
tza,2018,0.36233
tza,2020,0.3645
ukr,2010,0.58098
ukr,2017,0.569
ukr,2018,0.58978
ukr,2020,0.57546
ury,2010,0.55684
ury,2018,0.56544
ury,2020,0.56163
usa,2010,0.66921
usa,2017,0.715
usa,2018,0.68745
usa,2020,0.67301
uzb,2020,0.59191
vct,2018,0.49641
vct,2020,0.48794
vnm,2010,0.61536
vnm,2018,0.63124
vnm,2020,0.63271
vut,2017,0.439
vut,2018,0.41181
vut,2020,0.42071
wsm,2018,0.48868
wsm,2020,0.50521
yem,2017,0.357
yem,2018,0.35799
yem,2020,0.35648
zaf,2010,0.4038
zaf,2017,0.35
zaf,2018,0.39015
zaf,2020,0.39297
zwe,2010,0.3883
