geo,time,hd_hci_ovrl
col,2010,0.58025
col,2017,0.593
col,2018,0.59865
col,2020,0.60433
com,2017,0.409
com,2018,0.40095
com,2020,0.40469
cri,2010,0.59776
cri,2017,0.619
cri,2018,0.60326
cri,2020,0.62864
cyp,2010,0.68636
cyp,2017,0.751
cyp,2018,0.75462
cyp,2020,0.75552
cze,2010,0.72697
cze,2017,0.782
cze,2018,0.76452
cze,2020,0.75226
deu,2010,0.76074
deu,2017,0.795
deu,2018,0.76377
deu,2020,0.75116
dma,2018,0.55174
dma,2020,0.54475
dnk,2010,0.74874
dnk,2017,0.774
dnk,2018,0.77083
dnk,2020,0.75509
dom,2017,0.492
dom,2018,0.50688
dom,2020,0.50277
dza,2010,0.53128
dza,2017,0.523
dza,2018,0.53199
dza,2020,0.53456
ecu,2010,0.52581
ecu,2017,0.602
ecu,2018,0.59622
ecu,2020,0.59425
egy,2010,0.47885
egy,2017,0.486
egy,2018,0.49251
egy,2020,0.49437
esp,2010,0.70829
esp,2017,0.743
esp,2018,0.73616
esp,2020,0.72826
est,2010,0.72566
est,2017,0.747
est,2018,0.77413
est,2020,0.7772
eth,2017,0.385
eth,2018,0.3841
eth,2020,0.38278
fin,2010,0.81736
fin,2017,0.814
fin,2018,0.81448
fin,2020,0.796
fji,2020,0.50857
fra,2010,0.75689
fra,2017,0.765
fra,2018,0.75596
fra,2020,0.76274
fsm,2018,0.46642
fsm,2020,0.50597
gab,2017,0.453
gab,2018,0.45639
gab,2020,0.45761
gbr,2010,0.76545
gbr,2017,0.781
gbr,2018,0.77698
gbr,2020,0.78294
geo,2010,0.54115
geo,2017,0.614
geo,2018,0.60906
geo,2020,0.56893
gha,2017,0.439
gha,2018,0.44349
gha,2020,0.45006
gin,2017,0.374
gin,2018,0.36908
gin,2020,0.37094
gmb,2010,0.37169
gmb,2017,0.397
gmb,2018,0.40329
gmb,2020,0.42157
grc,2010,0.71486
grc,2017,0.681
grc,2018,0.69481
grc,2020,0.69001
grd,2018,0.54119
grd,2020,0.56507
gtm,2010,0.44194
gtm,2017,0.46
gtm,2018,0.45677
gtm,2020,0.46127
guy,2017,0.495
guy,2018,0.49434
guy,2020,0.49523
hkg,2010,0.78091
hkg,2017,0.822
hkg,2018,0.82172
hkg,2020,0.81276
hnd,2017,0.49
hnd,2018,0.48031
hnd,2020,0.48102
hrv,2010,0.6933
hrv,2017,0.723
hrv,2018,0.72937
hrv,2020,0.70969
hti,2017,0.446
hti,2018,0.44479
hti,2020,0.44656
hun,2010,0.68973
hun,2017,0.703
hun,2018,0.70506
hun,2020,0.68309
idn,2010,0.49636
idn,2017,0.535
idn,2018,0.53796
idn,2020,0.54004
ind,2017,0.44
ind,2018,0.4848
ind,2020,0.49351
irl,2010,0.7663
irl,2017,0.806
irl,2018,0.81368
irl,2020,0.7926
irn,2010,0.56432
irn,2017,0.591
irn,2018,0.59221
irn,2020,0.5934
irq,2017,0.398
irq,2018,0.39948
irq,2020,0.40764
isl,2010,0.75518
isl,2017,0.74
isl,2018,0.74343
isl,2020,0.74528
isr,2010,0.71827
isr,2017,0.763
isr,2018,0.76306
isr,2020,0.734
ita,2010,0.75027
ita,2017,0.769
ita,2018,0.75288
ita,2020,0.72782
jam,2017,0.544
jam,2018,0.53927
jam,2020,0.53498
jor,2010,0.55653
jor,2017,0.562
jor,2018,0.54693
jor,2020,0.55317
jpn,2010,0.81619
jpn,2017,0.844
jpn,2018,0.84071
jpn,2020,0.80471
kaz,2010,0.59403
kaz,2017,0.746
kaz,2018,0.77706
kaz,2020,0.62851
ken,2017,0.518
ken,2018,0.54219
ken,2020,0.54675
kgz,2017,0.58
kgz,2018,0.59355
kgz,2020,0.59662
khm,2017,0.493
khm,2018,0.49068
khm,2020,0.49159
kir,2017,0.479
kir,2018,0.47072
kir,2020,0.49259
kna,2018,0.57247
kna,2020,0.58618
kor,2010,0.82463
kor,2017,0.845
kor,2018,0.83455
kor,2020,0.79878
kos,2017,0.56
kos,2018,0.56906
kos,2020,0.56733
kwt,2010,0.57171
kwt,2017,0.576
kwt,2018,0.56426
kwt,2020,0.56259
lao,2017,0.452
lao,2018,0.45682
lao,2020,0.45667
lbn,2017,0.538
lbn,2018,0.52464
lbn,2020,0.51513
lbr,2017,0.319
lbr,2018,0.31757
lbr,2020,0.31901
lca,2018,0.58859
lca,2020,0.60256
lka,2017,0.584
lka,2018,0.59337
lka,2020,0.59832
lso,2010,0.34088
lso,2017,0.371
lso,2018,0.39849
lso,2020,0.40039
ltu,2010,0.68839
ltu,2017,0.712
ltu,2018,0.7267
ltu,2020,0.70605
lux,2010,0.7002
lux,2017,0.692
lux,2018,0.69237
lux,2020,0.68615
lva,2010,0.67646
lva,2017,0.724
lva,2018,0.73835
lva,2020,0.70658
mac,2010,0.64833
mac,2017,0.759
mac,2018,0.76329
mac,2020,0.79567
mar,2010,0.47443
mar,2017,0.5
mar,2018,0.49254
mar,2020,0.50412
mda,2010,0.55578
mda,2017,0.58
mda,2018,0.58176
mda,2020,0.58415
mdg,2010,0.38865
mdg,2017,0.374
mdg,2018,0.38549
mdg,2020,0.39199
mex,2010,0.58912
mex,2017,0.607
mex,2018,0.61166
mex,2020,0.61295
mhl,2018,0.40437
mhl,2020,0.4234
mkd,2010,0.53777
mkd,2017,0.534
mkd,2018,0.53539
mkd,2020,0.55735
mli,2017,0.317
mli,2018,0.32151
mli,2020,0.31827
mlt,2010,0.68022
mlt,2017,0.701
mlt,2018,0.70849
mlt,2020,0.70925
mmr,2017,0.473
mmr,2018,0.47183
mmr,2020,0.47765
mne,2010,0.58517
mne,2017,0.615
mne,2018,0.62282
mne,2020,0.63318
mng,2017,0.626
mng,2018,0.61731
mng,2020,0.6144
moz,2017,0.361
moz,2018,0.35547
moz,2020,0.36212
mrt,2017,0.353
mrt,2018,0.37059
mrt,2020,0.38155
mus,2010,0.60014
mus,2017,0.626
mus,2018,0.62327
mus,2020,0.62186
mwi,2010,0.36382
mwi,2017,0.407
mwi,2018,0.41106
mwi,2020,0.41324
mys,2010,0.58435
mys,2017,0.622
mys,2018,0.63258
mys,2020,0.61098
nam,2010,0.39371
nam,2017,0.435
nam,2018,0.44508
nam,2020,0.44644
ner,2017,0.316
ner,2018,0.31803
ner,2020,0.31569
nga,2017,0.342
nga,2018,0.35475
nga,2020,0.36061
nic,2017,0.531
nic,2018,0.50738
nic,2020,0.5081
nld,2010,0.7971
nld,2017,0.8
nld,2018,0.80304
nld,2020,0.78992
nor,2010,0.77057
nor,2017,0.771
nor,2018,0.76853
nor,2020,0.77105
npl,2017,0.49
npl,2018,0.49819
npl,2020,0.5046
nru,2020,0.50841
nzl,2010,0.77869
nzl,2017,0.767
nzl,2018,0.77121
nzl,2020,0.77593
omn,2010,0.54755
omn,2017,0.622
omn,2018,0.61119
omn,2020,0.60812
pak,2017,0.389
pak,2018,0.3993
pak,2020,0.40607
pan,2010,0.51318
pan,2017,0.532
pan,2018,0.51394
pan,2020,0.5016
per,2010,0.54536
per,2017,0.586
per,2018,0.59462
per,2020,0.60519
phl,2017,0.548
phl,2018,0.54902
phl,2020,0.51596
plw,2018,0.56731
plw,2020,0.58811
png,2017,0.384
png,2018,0.42477
png,2020,0.42919
pol,2010,0.70144
pol,2017,0.747
pol,2018,0.76022
pol,2020,0.75309
prt,2010,0.74264
prt,2017,0.776
prt,2018,0.78344
prt,2020,0.76895
pry,2010,0.5106
pry,2017,0.533
pry,2018,0.52751
pry,2020,0.52818
pse,2017,0.554
pse,2018,0.57173
pse,2020,0.58
qat,2010,0.59081
qat,2017,0.615
qat,2018,0.63483
qat,2020,0.63777
rou,2010,0.59988
rou,2017,0.601
rou,2018,0.59441
rou,2020,0.58419
rus,2010,0.60055
rus,2017,0.729
rus,2018,0.72895
rus,2020,0.68142
rwa,2017,0.374
rwa,2018,0.37691
rwa,2020,0.37955
sau,2010,0.54846
sau,2017,0.585
sau,2018,0.58075
sau,2020,0.57639
sdn,2017,0.379
sdn,2018,0.37604
sdn,2020,0.37745
sen,2010,0.38977
sen,2017,0.418
sen,2018,0.42106
sen,2020,0.42011
sgp,2010,0.84719
sgp,2017,0.884
sgp,2018,0.88708
sgp,2020,0.87913
slb,2017,0.443
slb,2018,0.43086
slb,2020,0.41987
sle,2017,0.351
sle,2018,0.35329
sle,2020,0.3627
slv,2017,0.501
slv,2018,0.54499
slv,2020,0.54618
srb,2010,0.65112
srb,2017,0.755
srb,2018,0.75949
srb,2020,0.67661
ssd,2017,0.302
ssd,2018,0.30591
ssd,2020,0.30652
svk,2010,0.67836
svk,2017,0.694
svk,2018,0.68005
svk,2020,0.66499
svn,2010,0.75213
svn,2017,0.788
svn,2018,0.78869
svn,2020,0.77499
swe,2010,0.76211
swe,2017,0.8
swe,2018,0.80251
swe,2020,0.79536
swz,2010,0.31077
swz,2017,0.409
swz,2018,0.36954
swz,2020,0.3725
syc,2010,0.57454
syc,2017,0.678
syc,2018,0.63056
syc,2020,0.63278
tcd,2010,0.28607
tcd,2017,0.293
tcd,2018,0.29903
tcd,2020,0.29978
tgo,2010,0.36795
tgo,2017,0.413
tgo,2018,0.42079
tgo,2020,0.43187
tha,2010,0.58499
tha,2017,0.604
tha,2018,0.61686
tha,2020,0.60931
tjk,2017,0.533
tjk,2018,0.54213
tjk,2020,0.50412
tls,2010,0.41067
tls,2017,0.434
tls,2018,0.45305
tls,2020,0.45431
ton,2017,0.512
ton,2018,0.51803
ton,2020,0.53112
tto,2010,0.55052
tto,2017,0.613
tto,2018,0.60233
tto,2020,0.60349
tun,2010,0.52521
tun,2017,0.508
tun,2018,0.50961
tun,2020,0.51681
tur,2010,0.62748
tur,2017,0.626
tur,2018,0.62531
tur,2020,0.64926
tuv,2017,0.554
tuv,2018,0.44053
tuv,2020,0.44758
tza,2017,0.4
tza,2018,0.38626
tza,2020,0.38983
uga,2010,0.34381
uga,2017,0.382
uga,2018,0.38213
uga,2020,0.38418
ukr,2010,0.63259
ukr,2017,0.647
ukr,2018,0.64238
ukr,2020,0.63139
ury,2010,0.59091
ury,2017,0.6
ury,2018,0.60237
ury,2020,0.59876
usa,2010,0.69151
usa,2017,0.762
usa,2018,0.71368
usa,2020,0.70176
uzb,2020,0.62281
vct,2018,0.53586
vct,2020,0.53334
vnm,2010,0.65664
vnm,2017,0.666
vnm,2018,0.68724
vnm,2020,0.68996
vut,2017,0.471
vut,2018,0.44475
vut,2020,0.45466
wsm,2018,0.52239
wsm,2020,0.54842
yem,2017,0.369
yem,2018,0.37264
yem,2020,0.37278
zaf,2010,0.42534
zaf,2017,0.406
zaf,2018,0.42255
zaf,2020,0.42545
zmb,2017,0.396
zmb,2018,0.39118
zmb,2020,0.39693
zwe,2010,0.41037
zwe,2017,0.441
zwe,2018,0.46124
zwe,2020,0.46689
