geo,time,ic_bus_nreg
hun,2016,22328
hun,2017,22783
hun,2018,24252
hun,2019,25376
hun,2020,25608
idn,2006,23535
idn,2007,24964
idn,2008,39302
idn,2009,29604
idn,2010,38106
idn,2011,43906
idn,2012,47714
idn,2013,51151
idn,2014,57926
idn,2015,57079
idn,2016,58426
ind,2006,49721
ind,2007,62919
ind,2008,70303
ind,2009,60813
ind,2010,86645
ind,2011,97405
ind,2012,103078
ind,2013,91841
ind,2014,69841
ind,2015,80546
ind,2016,93714
ind,2017,107492
ind,2018,117834
ind,2019,128565
ind,2020,142000
irl,2006,19175
irl,2007,18526
irl,2008,14590
irl,2009,13185
irl,2010,13793
irl,2011,14312
irl,2012,13773
irl,2013,14876
irl,2014,17601
irl,2015,19207
irl,2016,20750
irl,2017,22048
irl,2018,22217
irl,2019,22561
irl,2020,21873
irn,2020,36158
irq,2006,3759
irq,2007,3508
irq,2008,5293
irq,2009,4707
irq,2010,2532
irq,2011,1967
irq,2012,2450
irq,2013,3044
irq,2014,1958
irq,2015,1801
irq,2016,2020
isl,2006,3166
isl,2007,3648
isl,2008,2548
isl,2009,2625
isl,2010,1623
isl,2011,1700
isl,2012,1745
isl,2013,1935
isl,2014,2047
isl,2015,2363
isl,2016,2654
isl,2017,2576
isl,2018,2301
isl,2019,2199
isl,2020,2484
isr,2006,14035
isr,2007,15680
isr,2008,14607
isr,2009,14462
isr,2010,16276
isr,2011,15833
isr,2012,14246
isr,2013,14201
isr,2014,15409
isr,2015,16587
isr,2016,17624
isr,2017,17213
isr,2018,17456
isr,2019,17303
isr,2020,16898
ita,2006,87113
ita,2007,90950
ita,2008,87665
ita,2009,83042
ita,2010,87415
ita,2011,80028
ita,2012,75646
ita,2013,83470
ita,2014,91583
ita,2015,99983
ita,2016,102135
ita,2017,110756
ita,2018,114360
jam,2006,1954
jam,2007,2024
jam,2008,2137
jam,2009,2057
jam,2010,2020
jam,2011,1897
jam,2012,1946
jam,2013,1948
jam,2014,1775
jam,2015,2227
jam,2016,2544
jam,2017,2733
jam,2018,3159
jam,2019,3819
jam,2020,3964
jor,2006,2387
jor,2007,2191
jor,2008,2513
jor,2009,2895
jor,2010,3286
jor,2011,3759
jor,2012,4141
jor,2013,4442
jor,2014,4356
jor,2015,3654
jor,2016,3659
jor,2017,4175
jor,2018,3499
jor,2019,3078
jor,2020,2778
jpn,2007,6187
jpn,2008,5503
jpn,2009,5884
jpn,2010,7269
jpn,2011,9246
jpn,2012,11031
jpn,2013,14729
jpn,2014,19972
jpn,2015,22387
jpn,2016,23944
jpn,2017,27422
jpn,2018,29243
jpn,2019,30733
jpn,2020,33411
kaz,2006,12361
kaz,2007,19739
kaz,2008,13935
kaz,2009,3240
kaz,2010,707
kaz,2011,14223
kaz,2012,15404
kaz,2013,19601
kaz,2014,15072
kaz,2015,10682
kaz,2016,21583
kaz,2017,28004
kaz,2018,23464
kaz,2019,32906
kaz,2020,41211
ken,2017,37733
ken,2018,44381
ken,2019,42085
ken,2020,49037
kgz,2006,3211
kgz,2007,2906
kgz,2008,3721
kgz,2009,3161
kgz,2010,2905
kgz,2011,3433
kgz,2012,3379
kgz,2013,4035
kgz,2014,4100
kgz,2015,4499
kgz,2016,4936
khm,2006,1670
khm,2007,2826
khm,2008,2744
khm,2009,2003
khm,2010,2572
khm,2011,3104
khm,2012,3385
khm,2013,2986
khm,2014,3850
khm,2015,4417
khm,2016,4238
khm,2017,5432
khm,2018,7007
khm,2019,9605
khm,2020,5824
kir,2006,4
kir,2007,3
kir,2008,2
kir,2009,3
kir,2010,4
kir,2011,3
kir,2012,5
kir,2013,2
kir,2014,2
kir,2015,3
kir,2016,4
kir,2017,4
kir,2018,2
kor,2006,50289
kor,2007,53227
kor,2008,50505
kor,2009,56337
kor,2010,60312
kor,2011,65110
kor,2012,74162
kor,2013,75574
kor,2014,84697
kor,2015,93768
kor,2016,96155
kos,2006,767
kos,2007,858
kos,2008,876
kos,2009,858
kos,2010,971
kos,2011,1106
kos,2012,1466
kos,2013,1970
kos,2014,2117
kos,2015,2539
kos,2016,3978
kos,2017,4656
kos,2018,5366
kos,2019,5586
kos,2020,5768
kwt,2006,3289
kwt,2007,3408
kwt,2008,2391
kwt,2009,850
kwt,2010,887
kwt,2011,967
kwt,2012,1080
kwt,2013,1373
kwt,2014,1903
kwt,2015,3449
kwt,2016,5370
kwt,2017,9679
kwt,2018,18157
kwt,2019,21926
kwt,2020,10603
lao,2008,40
lao,2009,173
lao,2010,149
lao,2011,209
lao,2012,212
lao,2013,215
lao,2014,203
lao,2015,223
lao,2016,263
lao,2017,315
lao,2018,427
lao,2019,901
lao,2020,699
lbr,2011,15
lbr,2012,30
lbr,2013,34
lbr,2014,39
lbr,2015,21
lbr,2016,31
lbr,2017,32
lbr,2018,58
lbr,2019,54
lbr,2020,60
lca,2006,484
lca,2007,579
lca,2008,582
lca,2009,427
lca,2010,399
lca,2011,369
lca,2012,379
lca,2013,237
lca,2014,307
lca,2015,367
lca,2016,332
lca,2017,322
lca,2018,350
lca,2019,308
lca,2020,244
lie,2008,15
lie,2009,7
lie,2010,12
lie,2011,20
lie,2012,24
lie,2013,30
lie,2014,29
lie,2015,29
lie,2016,34
lie,2017,127
lie,2018,163
lie,2019,313
lie,2020,58
lka,2008,4321
lka,2009,4062
lka,2010,6110
lka,2011,7662
lka,2012,6975
lka,2013,5788
lka,2014,6674
lka,2015,7583
lka,2016,8060
lka,2017,9474
lka,2018,10510
lso,2006,875
lso,2007,1042
lso,2008,1397
lso,2009,1501
lso,2010,1720
lso,2011,1575
lso,2012,1795
lso,2013,2032
lso,2014,1933
lso,2015,2572
lso,2016,2301
lso,2017,2443
lso,2018,3725
lso,2019,2872
lso,2020,1981
ltu,2006,5307
ltu,2007,6578
ltu,2008,5432
ltu,2009,5399
ltu,2010,6522
ltu,2011,7799
ltu,2012,10976
ltu,2013,8057
ltu,2014,8481
ltu,2015,6184
ltu,2016,6352
ltu,2017,6578
ltu,2018,6072
ltu,2019,5909
ltu,2020,5305
lux,2009,3567
lux,2010,4397
lux,2011,1919
lux,2012,5127
lux,2013,5937
lux,2014,6777
lux,2015,6642
lux,2016,6207
lux,2017,6636
lux,2018,7309
lva,2006,11231
lva,2007,11970
lva,2008,8931
lva,2009,7171
lva,2010,11898
lva,2011,16840
lva,2012,15752
lva,2013,15352
lva,2014,13995
lva,2015,12551
lva,2016,10319
lva,2017,9340
lva,2018,9864
lva,2019,9595
lva,2020,8234
mar,2006,17601
mar,2007,24734
mar,2008,26531
mar,2009,27221
mar,2010,27892
mar,2011,30157
mar,2012,32951
mar,2013,33278
mar,2014,34766
mar,2015,35840
mar,2016,39030
mar,2017,40088
mar,2018,45399
mar,2019,49909
mar,2020,54250
mda,2014,4460
mda,2015,4538
mda,2016,4444
mda,2017,5140
mda,2018,4801
mdg,2014,1557
mdg,2015,1543
mdg,2016,1572
mdg,2017,1904
mdg,2018,1881
mdv,2006,910
mdv,2007,1014
mdv,2008,1068
mdv,2009,878
mdv,2010,746
mdv,2011,818
mdv,2012,763
mdv,2013,721
mdv,2014,1063
mdv,2015,1184
mdv,2016,1247
mdv,2017,1260
mdv,2018,1090
mdv,2019,1280
mdv,2020,1153
mex,2006,22116
mex,2007,26337
mex,2008,27226
mex,2009,38581
mex,2010,45321
mex,2011,44786
mex,2012,31028
mex,2013,42562
mex,2014,43617
mex,2015,46174
mex,2016,45256
mex,2017,82948
mex,2018,83903
mex,2019,84320
mex,2020,68114
mkd,2006,8000
mkd,2007,9313
mkd,2008,9703
mkd,2009,8074
mkd,2010,6729
mkd,2011,6015
mkd,2012,5394
mkd,2013,5453
mkd,2014,5524
mkd,2015,5794
mkd,2016,5687
mkd,2017,5438
mkd,2018,5282
mkd,2019,5688
mkd,2020,4985
mli,2009,312
mli,2010,864
mli,2011,532
mli,2012,1501
mli,2013,1772
mli,2014,1709
mli,2015,1558
mli,2016,2382
mli,2017,1330
mli,2018,3151
mli,2019,4033
mli,2020,2741
mlt,2006,2830
mlt,2007,2663
mlt,2008,2740
mlt,2009,2582
mlt,2010,3005
mlt,2011,3325
mlt,2012,3936
mlt,2013,4477
mlt,2014,5014
mlt,2015,5372
mlt,2016,5125
mlt,2017,5276
mlt,2018,5527
mlt,2019,4172
mlt,2020,3396
mmr,2006,530
mmr,2007,538
mmr,2008,704
mmr,2009,757
mmr,2010,1186
mmr,2011,1944
mmr,2012,3078
mmr,2013,4076
mmr,2014,4521
mmr,2015,4765
mmr,2016,6663
mmr,2017,7558
mmr,2018,14051
mne,2006,3051
mne,2007,4276
mne,2008,3399
mne,2009,2334
mne,2010,2370
mne,2011,2356
mne,2012,2491
mne,2013,2900
mne,2014,3080
mne,2015,3013
mne,2016,2818
mne,2017,3182
mne,2018,4694
mne,2019,4131
mne,2020,3270
mng,2006,12529
mng,2007,11840
mng,2008,10137
mng,2009,7796
mng,2010,9215
mng,2011,11305
mng,2012,11255
mng,2013,12804
mng,2014,12930
mng,2015,11035
mng,2016,10009
mng,2017,12322
mng,2018,11524
mng,2019,12455
mng,2020,12532
moz,2014,2595
moz,2015,3168
moz,2016,3607
moz,2017,3554
moz,2018,3300
moz,2019,4699
moz,2020,3925
mrt,2016,994
mrt,2017,1122
mrt,2018,959
mus,2006,7435
mus,2007,8888
mus,2008,9012
mus,2009,6631
mus,2010,7442
mus,2011,7239
mus,2012,6817
mus,2013,6353
mus,2014,7091
mus,2015,7845
mus,2016,8851
mus,2017,8757
mus,2018,8285
mus,2019,6316
mus,2020,6312
mwi,2006,420
mwi,2007,628
mwi,2008,797
mwi,2009,619
mys,2006,38293
mys,2007,43337
mys,2008,41623
mys,2009,41638
mys,2010,44202
mys,2011,45455
mys,2012,45441
mys,2013,46321
mys,2014,49203
mys,2015,49510
mys,2016,46555
mys,2017,52085
mys,2018,51722
mys,2019,50932
mys,2020,47834
nam,2006,672
nam,2007,708
nam,2008,981
