geo,time,it_mlt_main
bgr,1994,2487918
bgr,1995,2562915
bgr,1996,2647459
bgr,1997,2681074
bgr,1998,2757990
bgr,1999,2833395
bgr,2000,2881786
bgr,2001,2887000
bgr,2002,2871801
bgr,2003,2817512
bgr,2004,2726800
bgr,2005,2490022
bgr,2006,2399424
bgr,2007,2300355
bgr,2008,2189773
bgr,2009,2205394
bgr,2010,2164258
bgr,2011,2272834
bgr,2012,2132905
bgr,2013,1942424
bgr,2014,1816974
bgr,2015,1654879
bgr,2016,1478975
bgr,2017,1289853
bgr,2018,1120392
bgr,2019,975355
bgr,2020,872757
bhr,1965,3200
bhr,1966,3200
bhr,1967,3200
bhr,1968,3200
bhr,1969,3200
bhr,1970,6300
bhr,1971,6300
bhr,1972,6300
bhr,1973,6300
bhr,1974,6300
bhr,1975,14000
bhr,1976,15700
bhr,1977,19400
bhr,1978,22262
bhr,1979,33310
bhr,1980,41220
bhr,1981,45627
bhr,1982,50503
bhr,1983,56974
bhr,1984,64330
bhr,1985,69297
bhr,1986,72907
bhr,1987,75080
bhr,1988,82996
bhr,1989,87737
bhr,1990,93995
bhr,1991,100581
bhr,1992,112530
bhr,1993,124353
bhr,1994,135853
bhr,1995,140850
bhr,1996,144391
bhr,1997,152303
bhr,1998,157619
bhr,1999,165369
bhr,2000,170976
bhr,2001,173855
bhr,2002,175446
bhr,2003,185756
bhr,2004,191553
bhr,2005,193520
bhr,2006,194196
bhr,2007,203541
bhr,2008,220386
bhr,2009,238000
bhr,2010,228000
bhr,2011,276523
bhr,2012,299416
bhr,2013,291499
bhr,2014,284684
bhr,2015,280115
bhr,2016,279864
bhr,2017,284311
bhr,2018,274733
bhr,2019,273122
bhr,2020,274106
bhs,1970,20400
bhs,1971,20400
bhs,1972,20400
bhs,1973,20400
bhs,1974,20400
bhs,1975,22800
bhs,1976,26400
bhs,1977,26500
bhs,1978,29200
bhs,1979,29100
bhs,1980,31080
bhs,1981,32240
bhs,1982,39720
bhs,1983,36275
bhs,1984,38803
bhs,1985,41986
bhs,1986,48433
bhs,1987,53891
bhs,1988,58400
bhs,1989,61853
bhs,1990,69872
bhs,1991,78161
bhs,1992,76806
bhs,1993,76180
bhs,1994,78836
bhs,1995,83707
bhs,1996,89463
bhs,1997,98125
bhs,1998,105869
bhs,1999,111184
bhs,2000,114347
bhs,2001,123302
