geo,time,gc_rev_xgrt_cn
chl,2010,23872724045516.30078
chl,2011,27535116743673.5
chl,2012,28730471321645
chl,2013,28825031163000
chl,2014,30561540024431.80078
chl,2015,33536621451208.60156
chl,2016,35199418501370
chl,2017,37957457665000
chl,2018,42005345498159.20312
chl,2019,42508468911083.10156
chn,2005,1802952090000
chn,2006,2221850000000
chn,2007,4519860660000
chn,2008,3536125000000
chn,2009,4064660036700
chn,2010,4628544307987.2002
chn,2011,5483826000000
chn,2012,5999220000000
chn,2013,6496645390000
chn,2014,10179995763500
chn,2015,11051368277042.5
chn,2016,11666099864198.90039
chn,2017,13215370121229.30078
chn,2018,15201136722000
civ,1995,1103300000000
civ,2001,1222141300000
civ,2002,1315323972000
civ,2003,1243000000000
civ,2004,1324800000000
civ,2005,1354600000000
civ,2006,1478440000000
civ,2007,1679800000000
civ,2008,1826610000000
civ,2009,1846602000000
civ,2010,1946549000000
civ,2011,1497559000000
civ,2012,2244702000000
civ,2013,2473700000000
civ,2014,2567051727984.7002
civ,2015,3294817249886.56006
civ,2016,3365304803713.87012
civ,2017,3645126661032.68018
civ,2018,3889895345461.72949
civ,2019,4232341474450.22021
cmr,1990,478180000000
cmr,1991,506200000000
cmr,1992,495910000000
cmr,1993,448140000000
cmr,1994,385300000000
cmr,1995,536540000000
cmr,1998,862310000000
cmr,1999,867460000000
cmr,2012,2443224900000
cmr,2013,2635167000000
cmr,2014,2934400000000
cmr,2015,2948800000000
cmr,2016,2909200000000
cmr,2017,3079500000000
cmr,2018,3363919783078
cod,1972,0.00102
cod,1973,0.00128
cod,1974,0.00178
cod,1975,0.00145
cod,1976,0.00164
cod,1977,0.0023
cod,1978,0.00246
cod,1979,0.0066
cod,1980,0.01266
cod,1981,0.01581
cod,1982,0.0206
cod,1988,0.53871
cod,1989,1.313
cog,2001,626600000000
cog,2002,638800000000
cog,2003,603600000000
cog,2004,767151592132
cog,2005,1255220396474
cog,2006,1759300000000
cog,2007,1549392000000
cog,2008,2453006000000
cog,2009,1320392000000
cog,2010,2250800000000
cog,2011,2858611999496
cog,2012,2965526152202
cog,2013,3096470579025
cog,2014,2800728886431
cog,2015,1466328300000
cog,2016,1250828000000
cog,2017,1120741552848
cog,2018,1939601902874
col,1998,25547928412922.60156
col,1999,27287348386997.80078
col,2000,32310522287910.39844
col,2003,62198154783067.29688
col,2008,104372426000000
col,2009,105076791000000
col,2010,117377819000000
col,2011,145420936000000
col,2012,175527816000000
col,2013,174942576000000
col,2014,178877822966353
col,2015,193950215585294
col,2016,209237552784042
col,2017,207881805027619
col,2018,229715086188348
col,2019,256482916407690
cpv,2005,23790508102
cpv,2006,28952906837
cpv,2007,33452923679
cpv,2008,39389413570
cpv,2009,35268096588
cpv,2010,36542758683.12
cpv,2011,39367657008
cpv,2012,41603002560
cpv,2013,40829297228
cpv,2014,37984238413
cpv,2015,46217253867
cpv,2016,51580610753.24
cpv,2017,49841487033
cri,1972,1250000000
cri,1973,1620000000
cri,1974,2450000000
cri,1975,3020000000
cri,1976,3640000000
cri,1977,4380000000
cri,1978,5740000000
cri,1979,6310000000
cri,1980,7370000000
cri,1981,10180000000
cri,1982,17000000000
cri,1983,28080000000
cri,1984,36380000000
cri,1985,41010000000
cri,1986,54560000000
cri,1987,70080000000
cri,1988,87720000000
cri,1989,104060000000
cri,1990,120700000000
cri,1991,162520000000
cri,1992,225220000000
cri,1993,277890000000
cri,1994,326190000000
cri,1995,427400000000
cri,1996,503410000000
cri,1997,609340000000
cri,1998,736070000000
cri,1999,899530000000
cri,2000,1025360000000
cri,2001,1201200000000
cri,2002,1367260000000
cri,2003,1575600000000
cri,2004,1818144000000
cri,2005,2180180000000
cri,2006,2736996702016.95996
cri,2007,3348944305120.95996
cri,2008,3956275709147.16016
cri,2009,4135794916957.66943
cri,2010,4528241247173.21973
cri,2011,5037776011227.36914
cri,2012,5549029677028.16992
cri,2013,6006378325153
cri,2014,6460116078549.87988
cri,2015,7077489783052.88965
cri,2016,7696071577486.09961
cri,2017,8008456638976.58887
cri,2018,8757619292852.75
cri,2019,9138967033918.71289
cyp,1972,89274425.31191
cyp,1973,103045752.9294
cyp,1974,93614272.973
cyp,1975,101508011.63216
cyp,1976,109726384.56518
cyp,1977,142001865.79277
cyp,1978,170535509.86376
cyp,1979,210721815.76492
cyp,1980,275221520.17687
cyp,1981,326564993.49023
cyp,1982,397540297.365
cyp,1983,469643278.19107
cyp,1984,569152226.13682
cyp,1985,649524837.93915
cyp,1986,713187327.64483
cyp,1987,775038699.82265
cyp,1988,903508442.19972
cyp,1989,1071139329.61314
cyp,1990,2061272678.6546
cyp,1991,2103631995.68281
cyp,1992,2549178443.98366
cyp,1993,2883294490.426
cyp,1994,3328286268.13863
cyp,1995,3870153124.86118
cyp,1996,3984116841.00097
cyp,1997,4092442172.38422
cyp,1998,4573584338.27575
cyp,1999,4849181750.76972
cyp,2000,5675290547.67511
cyp,2001,6309352542.56981
cyp,2002,6501057624.29221
cyp,2003,7399098541.87953
cyp,2004,8052296872.91764
cyp,2005,9188516831.4328
cyp,2006,10054606902.0664
cyp,2007,11932872466.5712
cyp,2008,12461342892.3889
cyp,2009,6682600000
cyp,2010,7033700000
cyp,2011,7066800000
cyp,2012,6929800000
cyp,2013,6537200000
cyp,2014,6902300000
cyp,2015,6848400000
cyp,2016,6936493000
cyp,2017,7543902000
cyp,2018,8198700000
cyp,2019,8969300000
cze,1993,384871000000
cze,1994,425532000000
cze,1995,530833000000
cze,1996,578478000000
cze,1997,622418000000
cze,1998,663924000000
cze,1999,703320000000
cze,2000,732003000000
cze,2001,812684000000
cze,2002,847523000000
cze,2003,991616000000
cze,2004,996366000000
cze,2005,1024466000000
cze,2006,1100384000000
cze,2007,1225915000000
cze,2008,1240311000000
cze,2009,1187281000000
cze,2010,1218265000000
cze,2011,1278075000000
cze,2012,1306030000000
cze,2013,1325475000000
cze,2014,1349596000000
cze,2015,1447995000000
cze,2016,1525106000000
cze,2017,1622419000000
cze,2018,1739576000000
cze,2019,1849883000000
deu,1972,105305675851.174
deu,1973,122883890726.69901
deu,1974,132097370425.855
deu,1975,138437389752.68799
deu,1976,153326209333.12201
deu,1977,166619798244.224
deu,1978,178246575622.625
deu,1979,191463470751.548
deu,1980,216363385365.80399
deu,1981,229749006815.52097
deu,1982,244269696241.49301
deu,1983,250834683996.05301
deu,1984,267916945746.81799
deu,1985,281767842808.42401
deu,1986,292632795283.84399
deu,1987,300936175434.46997
deu,1988,309147523046.48199
deu,1989,334931972615.20697
deu,1990,357249863229.422
deu,1991,453160000000
deu,1992,502704000000
deu,1993,516249000000
deu,1994,551576000000
deu,1995,569311000000
deu,1996,573376000000
deu,1997,585185000000
deu,1998,596145000000
deu,1999,620312000000
deu,2000,630785000000
deu,2001,629945000000
deu,2002,634211000000
deu,2003,651187000000
deu,2004,637566000000
deu,2005,643118000000
deu,2006,664573000000
deu,2007,689137000000
deu,2008,708008000000
deu,2009,704085000000
deu,2010,717800000000
deu,2011,762903000000
deu,2012,783923000000
deu,2013,802597000000
deu,2014,834352000000
deu,2015,862643000000
deu,2016,890429000000
deu,2017,932934000000
deu,2018,973911000000
deu,2019,1012630000000
dnk,1972,53192000000
dnk,1973,58115000000
dnk,1974,66710000000
dnk,1975,69649000000
dnk,1976,79981000000
dnk,1977,90212000000
dnk,1978,105000000000
dnk,1979,119781000000
dnk,1980,132732000000
dnk,1981,145471000000
dnk,1982,162858000000
dnk,1983,187972000000
dnk,1984,218434000000
dnk,1985,246519000000
dnk,1986,278986000000
dnk,1987,290204000000
dnk,1988,301923000000
dnk,1989,312040000000
dnk,1990,313993000000
dnk,1991,316105000000
dnk,1992,339141000000
dnk,1993,357900000000
dnk,1994,385219000000
dnk,1995,399537000000
dnk,1996,425658000000
dnk,1997,440062000000
dnk,1998,457640000000
dnk,1999,481185000000
dnk,2000,510562000000
dnk,2001,513856000000
dnk,2002,519471000000
dnk,2003,527826000000
dnk,2004,579898000000
dnk,2005,635323000000
dnk,2006,651088000000
dnk,2007,715874000000
dnk,2008,722179000000
dnk,2009,682466000000
dnk,2010,721816000000
dnk,2011,748075000000
dnk,2012,769707000000
dnk,2013,783041000000
dnk,2014,845408000000
dnk,2015,804317000000
dnk,2016,815302000000
dnk,2017,854914000000
dnk,2018,855935000000
dnk,2019,927540000000
dom,1972,348200000
dom,1973,386000000
dom,1974,499100000
dom,1975,684300000
dom,1976,617000000
dom,1977,671300000
dom,1978,679200000
dom,1979,731200000
dom,1980,944400000
dom,1981,977500000
dom,1982,815800000
dom,1983,984900000
dom,1984,1243800000
dom,1985,1715500000
dom,1986,2239800000
dom,1987,3002200000
dom,1988,4639000000
dom,1989,6070900000
dom,1990,7261400000
dom,1991,10770600000
dom,1992,18246500000
dom,1993,20661500000
dom,1994,22176800000
dom,1995,26019500000
dom,1996,27646000000
dom,1997,36408100000
dom,1998,40376900000
dom,1999,45438700000
dom,2000,54285800000
dom,2001,63097551869
dom,2002,69618375835.46001
dom,2003,83239608853.51981
dom,2004,129513868384.159
dom,2005,161372813478.53
dom,2006,192740965243.10199
dom,2007,240558011183.289
dom,2008,257772583057.35297
dom,2009,243426436291.46896
dom,2010,274612677607.13
dom,2011,303544993546.29999
dom,2012,346990757376
dom,2013,393730047458.21002
dom,2014,440052952163.71997
dom,2015,563502529597.86804
dom,2016,519708970465.02094
dom,2017,576576393714.70801
dom,2018,644237825695.22498
dom,2019,705244957874.78101
egy,1975,1985000000
egy,1976,2201000000
egy,1977,3241000000
egy,1978,3716000000
egy,1979,4343000000
egy,1981,7884000000
egy,1982,9110000000
egy,1983,10614000000
egy,1984,11950000000
egy,1985,13026000000
egy,1986,14840000000
egy,1987,15503000000
egy,1988,18911000000
egy,1989,21325000000
egy,1990,22079000000
egy,1991,33067000000
egy,1992,45418000000
egy,1993,54058000000
egy,1994,64590000000
egy,1995,70926000000
egy,1996,65752000000
egy,1997,69150000000
egy,2002,92261000000
egy,2003,106175000000
egy,2004,119580000000
egy,2005,130810600000
egy,2006,173814500000
egy,2007,201968100000
egy,2008,247372340000
egy,2009,280561000000
egy,2010,299041600000
egy,2011,300692400000
egy,2012,338762000000
egy,2013,398429000000
egy,2014,423374000000
egy,2015,512941000000
esp,1972,4098902551.8974
esp,1973,5001622732.68184
esp,1974,6085247556.8858
esp,1975,7557126200.52167
esp,1976,8984529948.43316
esp,1977,12472804202.2766
esp,1978,15936436959.8404
esp,1979,19075523181.0369
esp,1980,22039113867.7533
esp,1981,24604233529.2633
esp,1982,29699614150.229
esp,1983,35002944959.3115
esp,1984,39142115322.2026
esp,1985,46023102905.2925
esp,1986,55963843111.8003
esp,1987,65539768970.9471
esp,1988,72342023968.3627
esp,1989,85108723089.68301
esp,1990,91871912300.31369
esp,1991,102753236450.18201
esp,1992,113184402533.867
esp,1993,116738187107.088
esp,1994,121331121608.789
esp,2017,315895000000
esp,2018,336046000000
esp,2019,349033000000
est,1991,1828719.66114
est,1992,12232856.02232
est,1993,25793647.6306
est,1994,43074374.4531
est,1995,1089800000
est,1996,1327200000
est,1997,1651800000
est,1998,1826600000
est,1999,1861900000
est,2000,2072700000
est,2001,2297100000
est,2002,2634600000
est,2003,2984200000
est,2004,3310000000
est,2005,3651400000
est,2006,4517600000
est,2007,5511600000
est,2008,5628700000
est,2009,5448100000
est,2010,5294700000
est,2011,5633800000
est,2012,6114700000
est,2013,6409700000
est,2014,6946700000
est,2015,7352300000
est,2016,7732900000
est,2017,8288100000
est,2018,9030600000
est,2019,9899300000
eth,1990,3091300000
eth,1991,2669800000
eth,1992,2183800000
eth,1993,3150700000
eth,1994,3879800000
eth,1995,5787100000
eth,1996,6788400000
eth,1997,7862300000
eth,1998,8526400000
eth,1999,9278000000
eth,2001,8075000000
eth,2002,8554303522
eth,2003,9667000000
eth,2004,10395300000
eth,2005,11733700000
eth,2006,11768100000
eth,2007,14328100080
eth,2008,25378700040
eth,2009,31775100000
eth,2010,41527401000
eth,2011,56022384000
eth,2012,82732336489.80899
eth,2013,90509054155.62
eth,2014,103296301136.03999
