geo,time,si_pov_mdim_ma
lka,2016,2.26367
ltu,2010,33.7
ltu,2011,33
ltu,2012,31.4
ltu,2013,28.3
ltu,2014,25.5
ltu,2015,28.2
ltu,2016,28.5
ltu,2017,27.5
ltu,2018,25.7
ltu,2019,23.8
ltu,2020,22.2
lux,2010,16.5
lux,2011,15.6
lux,2012,17.3
lux,2013,18.6
lux,2014,18.5
lux,2015,17.7
lux,2016,18.7
lux,2017,20.3
lux,2018,20.2
lux,2019,19.6
lux,2020,20.7
lva,2010,37.6
lva,2011,39.9
lva,2012,35.5
lva,2013,34.2
lva,2014,30.6
lva,2015,27.9
lva,2016,26
lva,2017,24.9
lva,2018,25.2
lva,2019,24.6
lva,2020,23.3
mar,2011,9.8
mar,2014,8.2
mex,2010,46
mex,2012,45.1
mex,2014,46
mex,2016,42.6
mex,2018,41.2
mex,2020,43.4
mkd,2010,47.5
mkd,2011,51
mkd,2012,50.3
mkd,2013,48.4
mkd,2014,43.5
mkd,2015,41.3
mkd,2016,41.2
mkd,2017,41.7
mkd,2018,41.2
mli,2016,40.4
mlt,2010,20.1
mlt,2011,20.9
mlt,2012,21.9
mlt,2013,23.8
mlt,2014,23.1
mlt,2015,22.2
mlt,2016,20.2
mlt,2017,18.5
mlt,2018,17.4
mlt,2019,18.8
mlt,2020,17.6
mne,2013,36.7
mne,2014,37.6
mne,2015,35.9
mne,2016,35.2
mne,2017,34.6
mne,2018,31.7
mne,2019,30.5
mne,2020,30.9
nld,2010,14.1
nld,2011,14.9
nld,2012,13.6
nld,2013,14.9
nld,2014,15.8
nld,2015,15.9
nld,2016,16.1
nld,2017,16.7
nld,2018,16.3
nld,2019,16.1
nld,2020,15.8
nor,2010,13.8
nor,2011,13.5
nor,2012,12.9
nor,2013,13.4
nor,2014,12.4
nor,2015,13.3
nor,2016,13.4
nor,2017,14.8
nor,2018,15.3
nor,2019,15.4
nor,2020,14.7
pan,2017,19.7
pol,2010,27
pol,2011,26.6
pol,2012,26.1
pol,2013,25.5
pol,2014,24.7
pol,2015,23.7
pol,2016,21.6
pol,2017,19.3
pol,2018,18.4
pol,2019,17.7
pol,2020,16.5
rou,2010,40.5
rou,2011,39.9
rou,2012,42.5
rou,2013,41.3
rou,2014,40
rou,2015,36.5
rou,2016,37.8
rou,2017,34.9
rou,2018,31
rou,2019,30.3
rou,2020,28.8
slv,2014,42.3
slv,2016,38
slv,2017,40.9
slv,2018,35
slv,2019,33.2
srb,2013,42
srb,2014,43.1
srb,2015,42.2
srb,2016,38.8
srb,2017,36.1
srb,2018,34.3
srb,2019,31.2
srb,2020,29
svk,2010,19.6
svk,2011,19.5
svk,2012,19.7
svk,2013,19.3
svk,2014,18.1
svk,2015,18.1
svk,2016,18.1
svk,2017,16.3
svk,2018,16
svk,2019,15.7
svk,2020,14.5
svn,2010,16.5
svn,2011,17.4
svn,2012,18.3
svn,2013,19.4
svn,2014,19.3
svn,2015,17.5
svn,2016,16.9
svn,2017,15.8
svn,2018,15.2
svn,2019,13.2
svn,2020,14.1
swe,2010,16.6
swe,2011,16.9
swe,2012,16.8
swe,2013,16.9
swe,2014,17.2
swe,2015,17.4
swe,2016,17
swe,2017,17
swe,2018,16.6
swe,2019,18
swe,2020,16.8
tur,2010,65
tur,2011,63
tur,2012,60.6
tur,2013,50.3
tur,2014,40.4
tur,2015,40.2
tur,2016,44
tur,2017,40
tur,2018,38.5
tur,2019,38.6
tur,2020,40.2
