geo,time,sh_xpd_ghed_ch_zs
blr,2009,64.56335
blr,2010,68.04416
blr,2011,63.35825
blr,2012,65.6519
blr,2013,62.65648
blr,2014,62.60077
blr,2015,60.78436
blr,2016,70.94084
blr,2017,69.10974
blr,2018,70.56276
blr,2019,70.38103
blz,2000,46.94733
blz,2001,51.50496
blz,2002,52.26269
blz,2003,50.5651
blz,2004,50.91134
blz,2005,53.10926
blz,2006,56.93389
blz,2007,59.93032
blz,2008,66.06208
blz,2009,64.25036
blz,2010,66.55598
blz,2011,65.38774
blz,2012,65.79531
blz,2013,66.6702
blz,2014,62.86966
blz,2015,67.95102
blz,2016,68.8132
blz,2017,68.64944
blz,2018,68.6022
blz,2019,69.8682
bol,2000,55.32917
bol,2001,54.17406
bol,2002,53.14351
bol,2003,53.00777
bol,2004,52.13727
bol,2005,54.26985
bol,2006,56.02087
bol,2007,59.09321
bol,2008,58.65034
bol,2009,61.03663
bol,2010,58.76805
bol,2011,58.39108
bol,2012,57.03056
bol,2013,58.52253
bol,2014,62.62419
bol,2015,65.74084
bol,2016,64.82121
bol,2017,68.5277
bol,2018,72.80452
bol,2019,71.23579
bra,2000,41.63556
bra,2001,41.08931
bra,2002,42.3871
bra,2003,42.85684
bra,2004,42.67027
bra,2005,41.63146
bra,2006,42.92739
bra,2007,42.48597
bra,2008,43.74353
bra,2009,44.16327
bra,2010,45.02126
bra,2011,44.49916
bra,2012,43.36181
bra,2013,44.51946
bra,2014,44.05275
bra,2015,43.25647
bra,2016,43.06283
bra,2017,41.73838
bra,2018,41.09182
bra,2019,40.74078
brb,2000,51.85348
brb,2001,53.28872
brb,2002,53.51587
brb,2003,56.23848
brb,2004,59.38097
brb,2005,57.19829
brb,2006,56.26592
brb,2007,54.45846
brb,2008,55.32144
brb,2009,54.5956
brb,2010,53.45089
brb,2011,48.49535
brb,2012,55.33292
brb,2013,50.78301
brb,2014,46.94936
brb,2015,47.23841
brb,2016,47.15646
brb,2017,45.35306
brb,2018,44.77547
brb,2019,44.83426
brn,2000,84.16869
brn,2001,83.19325
brn,2002,83.58945
brn,2003,82.94866
brn,2004,83.09052
brn,2005,83.66604
brn,2006,85.31147
brn,2007,87.215
brn,2008,89.89176
brn,2009,90.5006
brn,2010,91.73866
brn,2011,91.52813
brn,2012,91.14807
brn,2013,90.59258
brn,2014,92.6654
brn,2015,95.02642
brn,2016,95.02019
brn,2017,94.58858
brn,2018,95.14165
brn,2019,94.31989
btn,2000,79.66618
btn,2001,70.69815
btn,2002,72.40852
btn,2003,69.16652
btn,2004,66.05214
btn,2005,63.90855
btn,2006,55.88533
btn,2007,64.5566
btn,2008,69.12611
btn,2009,73.85078
btn,2010,72.05212
btn,2011,73.41855
btn,2012,69.57641
btn,2013,68.88393
btn,2014,69.0101
btn,2015,74.25158
btn,2016,73.95302
btn,2017,74.51843
btn,2018,79.5495
btn,2019,73.56784
bwa,2000,54.82458
bwa,2001,56.63296
bwa,2002,58.13523
bwa,2003,57.9656
bwa,2004,58.35521
bwa,2005,56.53858
bwa,2006,57.20671
bwa,2007,56.68532
bwa,2008,62.1972
bwa,2009,51.50704
bwa,2010,57.55474
bwa,2011,61.41549
bwa,2012,64.50315
bwa,2013,63.92881
bwa,2014,67.85912
bwa,2015,67.75788
bwa,2016,66.52247
bwa,2017,75.6596
bwa,2018,78.55824
bwa,2019,78.52379
caf,2000,40.24096
caf,2001,38.34764
caf,2002,33.96053
caf,2003,35.085
caf,2004,34.25292
caf,2005,23.70717
caf,2006,27.63512
caf,2007,26.95021
caf,2008,20.77785
caf,2009,15.39518
caf,2010,15.28324
caf,2011,10.73114
caf,2012,15.80216
caf,2013,19.85089
caf,2014,14.46299
caf,2015,9.05485
caf,2016,11.01271
caf,2017,10.93435
caf,2018,6.26233
caf,2019,10.57011
can,2000,72.85164
can,2001,72.80158
can,2002,72.43798
can,2003,73.13982
can,2004,73.06194
can,2005,73.03555
can,2006,69.43511
can,2007,69.58928
can,2008,69.75229
can,2009,70.17884
can,2010,69.90504
can,2011,70.21539
can,2012,70.44466
can,2013,70.71706
can,2014,70.56432
can,2015,70.62811
can,2016,69.65317
can,2017,69.79707
can,2018,70.16951
can,2019,70.16747
che,2000,28.56611
che,2001,29.96568
che,2002,31.36301
che,2003,31.40574
che,2004,30.88532
che,2005,31.04801
che,2006,30.60895
che,2007,30.71067
che,2008,31.60578
che,2009,32.14887
che,2010,32.36251
che,2011,32.94057
