geo,time,eg_elc_rnwx_kh
can,1961,0
can,1962,0
can,1963,0
can,1964,0
can,1965,0
can,1966,0
can,1967,0
can,1968,0
can,1969,0
can,1970,0
can,1971,0
can,1972,0
can,1973,0
can,1974,0
can,1975,0
can,1976,707000000
can,1977,1069000000
can,1978,1132000000
can,1979,1345000000
can,1980,1300000000
can,1981,1898000000
can,1982,2139000000
can,1983,2085000000
can,1984,2337000000
can,1985,1677000000
can,1986,1865000000
can,1987,2312000000
can,1988,2485000000
can,1989,3477000000
can,1990,3954000000
can,1991,3984000000
can,1992,4526000000
can,1993,4879000000
can,1994,5795000000
can,1995,5703000000
can,1996,5906000000
can,1997,6947000000
can,1998,7380000000
can,1999,8457000000
can,2000,8484000000
can,2001,8946000000
can,2002,9458000000
can,2003,9887000000
can,2004,9764000000
can,2005,10577000000
can,2006,11016000000
can,2007,11445000000
can,2008,10974000000
can,2009,14513000000
can,2010,19398000000
can,2011,20986000000
can,2012,22329000000
can,2013,29337000000
can,2014,37211000000
can,2015,42037000000
che,1960,0
che,1961,0
che,1962,0
che,1963,0
che,1964,0
che,1965,0
che,1966,0
che,1967,0
che,1968,0
che,1969,0
che,1970,0
che,1971,0
che,1972,0
che,1973,0
che,1974,0
che,1975,0
che,1976,0
che,1977,0
che,1978,98000000
che,1979,287000000
che,1980,173000000
che,1981,436000000
che,1982,390000000
che,1983,396000000
che,1984,369000000
che,1985,365000000
che,1986,458000000
che,1987,511000000
che,1988,513000000
che,1989,529000000
che,1990,441000000
che,1991,440000000
che,1992,485000000
che,1993,482000000
che,1994,558000000
che,1995,580000000
che,1996,623000000
che,1997,683000000
che,1998,707000000
che,1999,771000000
che,2000,857000000
che,2001,899000000
che,2002,936000000
che,2003,971000000
che,2004,1003000000
che,2005,1054000000
che,2006,1182000000
che,2007,1229000000
che,2008,1289000000
che,2009,1310000000
che,2010,1410000000
che,2011,1628000000
che,2012,1926000000
che,2013,2217000000
che,2014,2634000000
che,2015,2853000000
chl,1971,66000000
chl,1972,57000000
chl,1973,51000000
chl,1974,46000000
chl,1975,51000000
chl,1976,73000000
chl,1977,80000000
chl,1978,91000000
chl,1979,94000000
chl,1980,105000000
chl,1981,110000000
chl,1982,137000000
chl,1983,208000000
chl,1984,201000000
chl,1985,195000000
chl,1986,280000000
chl,1987,271000000
chl,1988,327000000
chl,1989,321000000
chl,1990,963000000
chl,1991,1033000000
chl,1992,1743000000
chl,1993,1750000000
chl,1994,1786000000
chl,1995,1879000000
chl,1996,1738000000
chl,1997,1743000000
chl,1998,1161000000
chl,1999,1010000000
chl,2000,941000000
chl,2001,2075000000
chl,2002,1951000000
chl,2003,1814000000
chl,2004,2038000000
chl,2005,1797000000
chl,2006,1438000000
chl,2007,2705000000
chl,2008,3121000000
chl,2009,4353000000
chl,2010,2579000000
chl,2011,5011000000
chl,2012,5263000000
chl,2013,6323000000
chl,2014,7250000000
chl,2015,8991000000
chn,1971,0
chn,1972,0
chn,1973,0
chn,1974,0
chn,1975,0
chn,1976,0
chn,1977,0
chn,1978,0
chn,1979,0
chn,1980,0
chn,1981,0
chn,1982,0
chn,1983,0
chn,1984,0
chn,1985,0
chn,1986,0
