geo,time,se_prm_tcaq_fe_zs
vgb,2018,94.87179
vgb,2019,73.4375
vgb,2020,77.77778
vnm,1999,78.37977
vnm,2000,81.63441
vnm,2001,86.21999
vnm,2002,87.01257
vnm,2006,96.30336
vnm,2007,98.77683
vnm,2008,99.8935
vnm,2009,99.76279
vnm,2010,98.45854
vnm,2011,99.27735
vnm,2012,99.54687
vnm,2014,100
vnm,2015,99.61168
vnm,2016,99.87374
vnm,2018,99.90091
vnm,2019,99.65341
vnm,2020,99.6783
vut,2019,43.57839
zaf,1999,62.49341
zaf,2000,69.91836
zaf,2001,69.60957
zaf,2002,75.57095
zmb,1998,92.53001
zmb,1999,95.1576
zmb,2010,91.37196
zmb,2012,95.55641
zmb,2013,88.81858
zmb,2014,86.55474
zmb,2015,86.64844
zmb,2016,87.6546
zmb,2017,97.52328
zwe,2012,92.2973
zwe,2013,87.72287
zwe,2014,90.16117
zwe,2015,94.21765
zwe,2016,98.57718
zwe,2017,97.60553
zwe,2018,97.2697
zwe,2019,97.37709
zwe,2020,97.83714
