geo,time,se_prm_cuat_fe_zs
ken,2010,47.13446
kgz,1999,95.09947
kgz,2009,97.26264
khm,2007,23.89252
khm,2008,26.81513
khm,2009,25.27272
khm,2014,17.10001
khm,2015,15.30869
kor,1970,53.8615
kor,1975,66.5
kor,1980,73.03498
kor,1985,78.11494
kor,1990,82.7
kor,1995,84.11906
kor,2000,87.33977
kor,2005,89.57691
kor,2009,86.26079
kor,2010,91.22387
kor,2015,92.81999
kwt,1970,18.9
kwt,1975,26.6
kwt,1980,37.2794
kwt,1985,50.08745
kwt,1988,41.73269
kwt,2005,52.53635
kwt,2006,55.16562
kwt,2007,55.38425
kwt,2008,59.69415
kwt,2012,64.02289
kwt,2013,61.78407
kwt,2015,64.47441
kwt,2017,65.31922
kwt,2018,65.77953
lbn,1970,21.7
lbn,2007,74.73005
lbr,1974,4.54401
lby,1984,14.1
lie,2000,96.04451
lka,1971,38.52886
lka,2001,83.4498
lso,1976,13.87567
lso,2008,47.1239
ltu,2005,97.51596
ltu,2006,97.5929
ltu,2007,97.13562
ltu,2008,97.58792
ltu,2009,97.77281
ltu,2010,98.11069
ltu,2011,98.12272
ltu,2012,98.42205
ltu,2013,98.39375
ltu,2014,98.38536
ltu,2015,98.41166
ltu,2016,98.78506
ltu,2017,98.85896
ltu,2020,99.06587
lux,2007,94.85553
lva,1989,77.64398
lva,2004,99.20384
lva,2007,99.19375
lva,2008,99.4351
lva,2009,99.57611
lva,2010,99.58864
lva,2011,99.65312
lva,2012,99.67926
lva,2013,99.68825
lva,2015,99.70777
lva,2018,100
lva,2019,100
mac,1991,64.47582
mac,2001,74.67437
mac,2006,79.72256
mac,2011,85.02596
mac,2016,87.80082
mar,1971,2.8
mda,2007,97.6985
mda,2008,98.33831
mda,2009,98.57423
mda,2010,98.49603
mda,2011,98.48751
mda,2012,98.79736
mda,2013,98.87742
mda,2014,99.15476
mda,2015,99.34969
mda,2018,99.37939
mda,2019,99.33576
mdg,2018,47.37316
mdv,2006,35.02405
mex,1980,32.18906
mex,1990,49.65093
mex,2000,62.24233
mex,2004,65.55507
mex,2005,69.10486
mex,2006,68.46782
mex,2007,69.88801
mex,2008,70.84185
mex,2009,72.74371
mex,2010,73.26456
mex,2012,75.71895
mex,2013,76.96677
mex,2014,77.65364
mex,2015,78.05817
mex,2016,79.16038
mex,2017,80.60903
mex,2018,81.83716
mex,2020,82.70169
mhl,2011,96.40101
mkd,2002,72.0068
mkd,2020,90.8689
mli,1976,0.58823
mli,2011,11.80828
mli,2015,13.2244
mli,2016,8.59935
mli,2018,10.45402
mli,2020,9.07422
mlt,2000,72.68785
mlt,2005,95.64764
mlt,2007,95.99028
mlt,2010,97.20197
mlt,2011,97.64015
mlt,2012,97.8361
mlt,2013,98.03525
mlt,2014,97.97914
mlt,2015,98.47478
mlt,2016,98.59727
mlt,2018,98.66548
mlt,2020,98.63369
mmr,2019,59.76557
mne,2003,92.62019
mne,2011,95.97365
mng,2000,93.15181
mng,2010,95.57527
mng,2020,91.74929
moz,2009,23.26484
moz,2011,12.87805
moz,2015,29.6378
moz,2017,36.06042
mrt,2013,25.78663
mus,1972,21.72075
mus,1990,32.1
mus,2000,43.25044
mus,2011,63.34553
mwi,1977,2.54979
mwi,1987,5.85404
mwi,1998,11.14737
mys,1980,32.27574
mys,1996,63.18275
mys,2000,79.96239
mys,2005,75.82851
mys,2009,87.20561
mys,2010,88.03149
mys,2016,91.87719
mys,2019,92.57395
nam,1991,48.67794
nam,2001,49.46042
ner,2012,8.90287
nga,2006,52.83082
nld,2004,98.13382
nld,2005,98.18021
nld,2007,98.54514
nld,2008,98.36008
nld,2009,98.12663
nld,2010,98.20628
nld,2011,98.25013
nld,2012,98.34809
nld,2013,98.19174
nld,2014,98.15816
nld,2015,98.26833
nld,2016,98.30906
nld,2018,98.3369
nld,2020,98.35826
nld_curacao,2020,99.5244
nor,1970,99.4
nor,1975,98.4
nor,1980,98.37533
nor,1990,99.79508
nor,2007,100
nor,2014,99.58007
nor,2015,99.59454
nor,2016,99.60487
nor,2017,99.61432
nor,2019,99.64619
npl,2001,17.12721
npl,2011,27.59861
omn,2003,42.60187
omn,2008,56.26714
omn,2010,59.1014
omn,2015,85.34898
omn,2020,96.6557
pak,1972,6.1
pak,1981,4.96724
pak,2005,16.87692
pak,2006,30.72923
pak,2008,27.46136
pak,2009,29.20171
pak,2010,30.23031
pak,2011,34.63723
pak,2012,34.01749
pak,2013,35.01481
pak,2014,36.53612
pak,2016,36.53612
pak,2017,37.67784
pak,2018,30.54114
pak,2019,42.41787
pan,1980,54.67445
pan,1990,66.59429
pan,2000,76.33287
pan,2010,82.4855
pan,2019,87.44623
per,1972,27.55325
per,1981,44.25664
per,2004,79.64105
per,2005,66.23739
per,2006,64.87252
per,2007,66.13417
per,2008,65.78248
per,2009,65.65733
per,2010,71.88367
per,2011,72.62372
per,2012,74.21694
per,2013,75.23309
per,2014,74.3068
per,2015,75.26413
per,2018,76.78873
phl,1970,38.97185
phl,1975,47.72032
phl,1980,55.31208
phl,2000,80.73994
phl,2004,83.59458
phl,2010,83.28817
phl,2013,85.79403
phl,2017,85.75359
phl,2019,84.53089
plw,2013,98.454
pol,1970,65.1
pol,1978,81.5
pol,1988,91.14707
pol,2002,95.99619
pol,2008,98.0334
pol,2009,98.17832
pol,2010,97.88601
pol,2011,98.01291
pol,2012,98.19828
pol,2013,98.34833
pol,2014,98.39306
pol,2016,98.90189
pol,2020,99.10923
pri,1970,60.2681
pri,1980,73.10107
pri,2000,88.67176
pri,2012,89.0497
pri,2017,91.58479
prt,1970,29.22005
prt,1998,71.03441
prt,1999,71.28587
prt,2000,72.61453
prt,2001,73.49506
prt,2002,74.99077
prt,2003,76.39298
prt,2004,78.42829
prt,2005,79.28154
prt,2006,80.4572
prt,2007,81.26968
prt,2008,82.09868
prt,2009,83.5911
prt,2010,84.49203
prt,2011,83.91153
prt,2012,84.72798
prt,2013,85.70496
prt,2014,86.66272
prt,2015,87.45414
prt,2016,88.22987
prt,2017,88.98343
prt,2018,88.6368
prt,2019,90.25187
prt,2020,91.58234
pry,1972,20.76534
pry,1982,32.56476
pry,1992,45.94032
pry,2003,64.24463
pry,2005,62.59224
pry,2006,61.67013
pry,2007,64.10968
pry,2008,64.8637
pry,2009,59.77056
pry,2012,69.93669
pry,2013,73.48913
pry,2014,72.36537
pry,2015,74.68032
pry,2016,73.5614
pry,2018,74.56118
pry,2019,75.31428
pry,2020,76.18165
pse,2004,79.21578
pse,2006,81.68556
pse,2007,82.75407
pse,2008,83.54981
pse,2009,84.61891
pse,2010,85.27257
pse,2011,86.32555
pse,2012,88.02965
pse,2013,88.85846
pse,2014,89.08686
pse,2015,90.09028
pse,2016,90.64434
pse,2017,91.02977
pse,2018,92.15213
pse,2020,93.16986
pyf,2007,94.59758
qat,2004,64.15592
qat,2007,75.15773
qat,2008,75.2971
qat,2009,76.22247
qat,2010,74.23035
qat,2011,73.1206
qat,2012,82.22358
qat,2013,84.91234
qat,2014,85.88921
qat,2016,88.61879
qat,2017,90.03113
rou,1992,63.86649
rou,2002,93.52967
rou,2007,96.86736
rou,2008,97.07208
rou,2009,97.39074
rou,2010,97.58167
rou,2011,97.88764
rou,2012,98.07352
rou,2013,98.20452
rou,2014,98.11801
rou,2015,98.18352
rou,2016,98.29778
rou,2017,98.45201
rou,2019,98.47868
rus,2002,99.68227
rus,2010,99.23432
rwa,1978,2.73596
rwa,2012,26.80139
rwa,2014,28.19526
rwa,2018,31.83177
sau,2000,43.77422
sau,2004,55.27569
sau,2013,74.48617
sau,2017,75.46998
sau,2020,83.33876
sen,2006,6.98073
sen,2011,16.55045
sen,2013,21.71151
sen,2017,13.09636
sgp,1995,68.83003
sgp,2005,78.25777
sgp,2006,73.83861
sgp,2007,74.1811
sgp,2008,75.58333
sgp,2009,75.33161
sgp,2010,80.23868
sgp,2011,80.2869
sgp,2012,81.16589
sgp,2013,81.76069
sgp,2014,82.18051
sgp,2015,83.61558
sgp,2016,83.03785
sgp,2017,82.96796
sgp,2018,84.79637
sgp,2019,85.83399
sle,2004,14.0412
slv,1992,15.13754
slv,2006,40.42053
slv,2007,46.17403
slv,2008,47.84653
slv,2009,49.58027
slv,2010,54.15747
slv,2011,50.48609
slv,2012,51.78443
slv,2013,52.91002
slv,2016,55.25801
slv,2017,54.97187
slv,2019,57.90271
smr,2018,95.573
srb,2002,68.67574
srb,2011,93.62638
srb,2013,93.41866
srb,2014,91.11188
srb,2015,95.49297
srb,2016,96.03922
srb,2017,96.45014
srb,2019,97.41435
ssd,2008,53.71749
stp,1981,13.59862
stp,2012,82.04526
sur,2004,83.95984
sur,2012,88.1374
svk,2001,99.60803
svk,2011,99.88195
svk,2012,99.67676
svk,2013,99.75321
svk,2014,99.79896
svk,2015,99.8295
svk,2016,99.82097
svk,2017,99.83647
svk,2018,99.7747
svk,2019,99.78046
svn,2005,99.10715
svn,2006,99.08016
svn,2007,98.69622
svn,2008,98.75608
svn,2009,98.96239
svn,2010,98.85974
svn,2011,99.33469
svn,2012,99.69043
svn,2013,99.74716
svn,2016,99.79577
svn,2017,99.77838
svn,2019,99.75584
swe,1970,50.18971
swe,2004,100
swe,2005,100
swe,2006,100
swe,2007,100
swe,2008,100
swe,2009,100
swe,2010,100
swe,2011,100
swe,2012,100
swe,2013,100
swe,2014,100
swe,2015,100
swe,2016,100
swe,2017,100
swe,2019,100
swz,1976,17.32542
swz,1986,38.54164
syc,1971,37.54174
syc,2002,94.27662
syr,2002,33.44692
syr,2007,59.66559
syr,2008,52.15221
syr,2009,58.36148
tcd,2004,3.47121
tcd,2009,6.15586
tgo,1970,1.38797
tgo,2011,17.80943
tha,1980,8.30851
tha,2004,50.88335
tha,2006,47.30869
tha,2010,57.6152
tha,2013,57.78432
tha,2016,62.09832
tha,2018,63.23317
tha,2019,68.2363
tjk,2000,96.01581
tkm,1995,95.11101
ton,2011,96.09182
tto,1980,68.8
tto,2008,92.8124
tto,2009,93.19681
tur,2004,69.54358
tur,2005,68.63615
tur,2006,68.54306
tur,2007,69.64061
tur,2008,72.63833
tur,2009,74.7516
tur,2010,77.97365
tur,2011,79.61501
tur,2012,80.31995
tur,2013,80.79424
tur,2014,81.45783
tur,2015,82.00688
tur,2016,82.9054
tur,2017,83.64289
tur,2019,85.73077
tza,2002,41.7468
tza,2012,58.98379
uga,2002,21.81093
uga,2008,34.61135
uga,2010,36.58587
uga,2012,23.95298
ukr,2001,95.99108
ury,1975,54.62232
ury,2003,91.76545
ury,2006,83.21069
ury,2008,85.65722
ury,2009,86.16637
ury,2010,85.77239
ury,2011,87.5689
ury,2012,88.47329
ury,2013,88.62892
ury,2014,89.22129
ury,2015,89.51323
ury,2016,90.02605
ury,2017,90.37391
ury,2018,91.39629
ury,2019,91.59833
usa,1970,95.03354
usa,1980,96.64463
usa,1981,96.93596
usa,2004,98.59983
usa,2005,98.4959
usa,2006,98.64088
usa,2008,98.73201
usa,2009,98.62149
usa,2010,98.70539
usa,2011,98.70377
usa,2012,98.82814
usa,2013,98.86884
usa,2014,98.76638
usa,2015,98.76783
usa,2016,98.89747
usa,2018,98.98526
usa,2020,99.08821
uzb,2018,99.98145
vct,2017,91.24986
ven,2006,74.67444
ven,2007,81.65247
ven,2008,82.86667
ven,2009,83.58583
ven,2015,88.70828
ven,2016,93.38281
vnm,1979,62.88629
vnm,2019,86.2658
vut,1979,22.8
wsm,1981,43.32048
wsm,2001,96.46282
wsm,2011,99.12728
zaf,1970,35.58335
zaf,1985,32.42299
zaf,2001,60.32431
zaf,2002,67.03522
zaf,2003,68.68014
zaf,2004,69.99429
zaf,2005,69.97869
zaf,2006,70.86061
zaf,2007,72.30648
zaf,2008,71.95645
zaf,2009,75.86784
zaf,2010,76.54915
zaf,2011,77.92388
zaf,2012,79.50722
zaf,2014,80.61301
zaf,2015,80.89075
zaf,2017,84.82908
zaf,2019,74.72512
zwe,2002,57.07511
zwe,2012,77.27794
zwe,2014,70.48847
zwe,2017,79.00036
