geo,time,dt_nfl_whol_cd
gha,2014,1520558.47645
gha,2015,2180572.74818
gha,2016,1137188.55381
gha,2017,1580409.52682
gha,2018,1265950.32215
gha,2019,1314316.03432
gin,2011,1169999.95708
gin,2012,1266543.50758
gin,2013,2418721.43745
gin,2014,1682430.74417
gin,2015,1960997.58148
gin,2016,1592757.58266
gin,2017,1716318.13049
gin,2018,1890380.02491
gin,2019,1736521.60168
gmb,2011,689999.99762
gmb,2012,810492.87319
gmb,2013,931884.10997
gmb,2014,871990.91911
gmb,2015,872449.69606
gmb,2016,844084.79929
gmb,2017,825362.0863
gmb,2018,754038.27429
gmb,2019,650735.37827
gnb,2011,790000.02146
gnb,2012,703558.6834
gnb,2013,1228716.37344
gnb,2014,945760.3097
gnb,2015,1045313.35831
gnb,2016,726648.74792
gnb,2017,931172.07289
gnb,2018,887221.87281
gnb,2019,874601.36414
gnq,2011,670000.01669
gnq,2012,716089.96391
gnq,2013,744005.26285
gnq,2014,814698.33851
gnq,2015,1108621.12045
gnq,2016,524173.37894
gnq,2017,693994.22407
gnq,2018,529186.18917
gnq,2019,1415490.62729
grd,2017,33749.78527
grd,2019,24914.56084
gtm,2017,943968.35566
gtm,2018,1277169.2276
gtm,2019,1110256.91032
guy,2017,580349.26653
guy,2018,441750.61584
guy,2019,613861.14359
hnd,2017,464655.81656
hnd,2018,845970.0346
hnd,2019,1566790.10391
hti,2017,1292864.56108
hti,2018,1916501.87969
hti,2019,1938433.52795
idn,2011,3730000.01907
idn,2012,4361078.73917
idn,2013,3797324.89586
idn,2014,4712308.40683
idn,2015,4848793.02979
idn,2016,4693969.72656
idn,2017,3024942.15965
idn,2018,3715301.27525
idn,2019,3881353.3783
ind,2011,7130000.11444
ind,2012,2340666.77094
ind,2013,6865787.02927
ind,2014,5457026.95847
ind,2015,7015762.80594
ind,2016,8019295.69244
ind,2017,5201596.26007
ind,2018,5458945.27435
ind,2019,8992305.75562
irn,2011,1490000.00954
irn,2012,687071.02537
irn,2013,1207103.49083
irn,2014,853493.09444
irn,2015,1822955.60837
irn,2016,1138530.61199
irn,2017,1634720.32547
irn,2018,799269.85502
irn,2019,2364968.06145
irq,2011,1049999.95232
irq,2012,798388.48114
irq,2013,1251634.00173
irq,2014,909882.12824
irq,2015,1802742.24281
irq,2016,1074862.83779
irq,2017,2799628.49617
irq,2018,3068616.39023
irq,2019,3191005.46837
jam,2017,609710.45494
jam,2018,510530.59101
jam,2019,560343.32514
jor,2011,730000.01907
jor,2012,434223.56248
jor,2013,694245.21923
jor,2014,396364.89749
jor,2015,1002536.41605
jor,2016,424441.27798
jor,2017,616413.95092
jor,2018,844502.09141
jor,2019,1211437.58297
kaz,2014,375140.72657
kaz,2015,572603.34492
kaz,2016,782510.75745
kaz,2017,415074.40805
kaz,2018,1021600.36564
kaz,2019,642636.12032
ken,2011,1509999.99046
ken,2012,1186772.58492
ken,2013,1696222.06688
ken,2014,1661834.35917
ken,2015,6320767.87949
ken,2016,1701324.10526
ken,2017,2216120.95833
ken,2018,2002825.737
ken,2019,1481616.37783
kgz,2011,1090000.03338
kgz,2012,81968.74708
kgz,2013,140192.73221
kgz,2014,204014.55462
kgz,2015,630166.471
kgz,2016,997366.84561
kgz,2017,665369.62986
kgz,2018,2051937.34169
kgz,2019,907304.22735
khm,2011,1639999.98569
khm,2012,1202361.34529
khm,2013,2077625.27466
khm,2014,1998827.21901
khm,2015,1844069.36169
khm,2016,1468177.6762
khm,2017,2475944.04221
khm,2018,1728788.01823
khm,2019,3045165.53879
kir,2011,319999.99285
kir,2012,588556.70691
kir,2013,442473.9182
kir,2014,471235.42428
kir,2015,589913.12981
kir,2016,551483.45232
kir,2017,382771.70062
kir,2018,325985.37207
kir,2019,329670.0418
kos,2013,1492.54
kos,2014,184513.71789
kos,2015,306626.82652
kos,2017,271985.05402
kos,2018,229960.38198
kos,2019,382001.01256
lao,2011,1840000.03338
lao,2012,1603296.51833
lao,2013,1326901.55506
lao,2014,1129081.60686
lao,2015,2268810.27222
lao,2016,1068326.47324
lao,2017,1841393.82839
lao,2018,1300793.52856
lao,2019,2835297.1077
lbn,2011,569999.99285
lbn,2012,454642.05742
lbn,2013,515233.21867
lbn,2014,618364.51292
lbn,2015,680383.44383
lbn,2016,526195.1685
lbn,2017,519552.40965
lbn,2018,946522.71271
lbn,2019,1965748.90614
lbr,2011,860000.01431
lbr,2012,1191888.68999
lbr,2013,1603152.03667
lbr,2014,1302322.26849
lbr,2015,1474246.02509
lbr,2016,2669260.50186
lbr,2017,1975059.62849
lbr,2018,1977229.35677
lbr,2019,1262135.74409
lby,2011,620000.00477
lby,2012,383327.24571
lby,2013,424316.97249
lby,2014,326015.62142
lby,2015,179655.56681
lby,2016,355395.07866
lby,2017,416247.15924
lby,2018,2851070.16563
lby,2019,2230927.22893
lca,2017,19999.57487
lca,2019,102373.32433
lka,2011,2240000.00954
lka,2012,1884216.54701
lka,2013,2042181.01501
lka,2014,3087921.14258
lka,2015,2166889.42909
lka,2016,2877194.64302
lka,2017,1985931.75411
lka,2018,1040133.95309
lka,2019,2058812.61826
lso,2011,1000000
lso,2012,954326.27201
lso,2013,1231319.30828
lso,2014,557192.08717
lso,2015,1218121.88625
lso,2016,732702.25525
lso,2017,1246022.93968
lso,2018,929040.43198
lso,2019,614560.30607
mar,2011,1139999.98569
mar,2012,439436.79333
mar,2013,1027923.46478
mar,2014,573522.86577
mar,2015,1192429.42333
mar,2016,888897.24016
mar,2017,699940.86027
mar,2018,663362.08582
mar,2019,1499749.66049
mda,2011,720000.02861
mda,2012,85379.8911
mda,2013,325263.2916
mda,2014,424623.01254
mda,2015,695438.98106
mda,2016,1073784.9474
mda,2017,634099.96033
mda,2018,663166.64219
mda,2019,660300.25482
mdg,2011,1139999.98569
mdg,2012,873796.58222
mdg,2013,927935.48107
mdg,2014,975095.6893
mdg,2015,2073615.31258
mdg,2016,1020852.68497
mdg,2017,1473698.37761
mdg,2018,1232738.49487
mdg,2019,696808.33817
mdv,2011,1340000.03338
mdv,2012,1091141.58154
mdv,2013,1347648.14377
mdv,2014,1805628.41892
mdv,2015,1726899.86229
mdv,2016,1549075.60349
mdv,2017,1908743.3815
mdv,2018,1720553.27892
mdv,2019,2740795.85075
mex,2017,1403538.70392
mex,2018,1009145.37907
mex,2019,1367129.8027
mhl,2011,159999.99642
mhl,2012,49798.99898
mhl,2013,219670.89176
mhl,2014,55626.91018
mhl,2015,237287.20844
mhl,2016,131199.74732
mhl,2017,148434.66878
mhl,2018,98950.02842
mhl,2019,236107.64742
