geo,time,sl_uem_intm_ma_zs
bgr,2003,12.61
bgr,2004,11.36
bgr,2005,8.96
bgr,2006,7.18
bgr,2007,5.38
bgr,2008,4.33
bgr,2009,6.16
bgr,2010,9.85
bgr,2011,11.17
bgr,2012,12.56
bgr,2013,12.76
bgr,2014,10.8
bgr,2015,8.54
bgr,2016,6.84
bgr,2017,5.25
bgr,2018,4.76
bgr,2019,3.67
bgr,2020,4.92
bih,2006,21.88
bih,2007,27.29
bih,2008,21.8
bih,2009,23.09
bih,2010,26.23
bih,2011,26.89
bih,2012,27.24
bih,2013,27.67
bih,2014,25.71
bih,2015,26.65
bih,2016,23.35
bih,2017,20.3
bih,2018,17.3
bih,2019,14.05
bih,2020,13.85
blr,2016,9.47
blr,2017,8.96
blr,2018,7.44
blr,2019,6.43
blr,2020,5.38
blz,2005,7.96
blz,2012,10.08
blz,2013,7.63
blz,2014,4.99
blz,2015,6.46
blz,2016,6.38
blz,2017,7.02
blz,2019,5.46
bmu,2000,3.8
bmu,2009,7.22
bmu,2010,6
bmu,2012,6.93
bol,1999,4.39
bol,2001,7.51
bol,2002,5.27
bol,2004,7.52
bol,2005,7.45
bol,2006,8.26
bol,2007,8.9
bol,2008,3.44
bol,2009,2.61
bol,2011,3.09
bol,2012,2.16
bol,2013,2.33
bol,2014,2.08
bol,2015,3.63
bol,2016,3.95
bol,2017,4.22
bol,2018,4.56
bol,2019,3.91
bol,2020,8.88
bra,1995,4.8
bra,1996,5.13
bra,1997,5.98
bra,1998,6.61
bra,1999,8.2
bra,2001,7.5
bra,2002,8.17
bra,2003,8.45
bra,2004,7.77
bra,2005,7.79
bra,2006,7.21
bra,2007,6.8
bra,2008,6.15
bra,2009,7.18
bra,2011,5.43
bra,2012,3.13
bra,2013,3.27
bra,2014,3.22
bra,2015,6.16
bra,2016,11.14
bra,2017,12.08
bra,2018,11.62
bra,2019,10.86
bra,2020,13.25
brb,2003,96.43
brb,2015,12.2
brb,2016,8.97
brb,2017,9.72
brb,2018,7.05
brb,2019,9.83
brn,2014,6.45
brn,2017,9.42
brn,2018,8.08
brn,2019,5.97
btn,2009,7.5
btn,2010,6.23
btn,2012,5.38
btn,2013,4.34
btn,2015,4.71
bwa,2009,8.41
bwa,2010,20.55
bwa,2019,22.41
bwa,2020,28.52
can,1990,7.7
can,1991,10.89
can,1992,11.61
can,1993,11.96
can,1994,10.56
can,1995,9.87
can,1996,10.03
can,1997,9.29
can,1998,8.79
can,1999,7.99
can,2000,7.06
can,2001,7.45
can,2002,8.16
can,2003,8.14
can,2004,7.85
can,2005,7.54
can,2006,6.8
can,2007,6.74
can,2008,6.96
can,2009,10.68
can,2010,9.91
can,2011,9.03
can,2012,8.62
can,2013,8.53
can,2014,8.43
can,2015,8.83
can,2016,9.1
can,2017,7.84
can,2018,7.23
can,2019,7.53
can,2020,12.77
can,2021,9.96
che,1991,0.98
che,1992,2.14
che,1993,3.72
che,1994,3.74
che,1995,2.86
che,1998,3.24
che,1999,2.63
che,2000,2.08
che,2001,1.24
che,2002,2.43
che,2003,3.51
che,2004,3.93
che,2005,3.9
che,2006,3.4
che,2007,2.82
che,2008,2.96
che,2009,3.96
che,2010,4.75
che,2011,4.18
che,2012,4.41
che,2013,4.57
che,2014,4.63
che,2015,4.48
che,2016,4.99
che,2017,4.83
che,2018,4.65
che,2019,4.29
che,2020,5.45
chl,1998,7.98
chl,2000,8.8
chl,2003,8.42
chl,2006,6.33
chl,2007,7.56
chl,2009,10.27
chl,2010,8.51
chl,2011,7.33
chl,2012,6.44
chl,2013,6.16
chl,2014,7.12
chl,2015,6.83
chl,2016,7.05
chl,2017,7.3
chl,2018,7.31
chl,2019,7.53
chl,2020,11.71
civ,2012,15
civ,2013,9.03
civ,2016,2.61
civ,2017,5.53
cmr,2007,5.89
cmr,2014,5.1
cod,2005,5.6
cod,2012,6.56
cog,2005,18.13
cog,2009,37.23
col,2002,16.75
col,2003,15.65
col,2004,14.93
col,2005,12.5
col,2007,11.32
col,2008,11.39
col,2009,12.02
col,2010,10.97
col,2011,10.18
col,2012,9.18
col,2013,8.75
col,2014,8.18
col,2015,7.33
col,2016,7.56
col,2017,8.05
col,2018,8.22
col,2019,9.2
com,2004,10.51
com,2014,4.05
cpv,2015,34.34
cpv,2017,14.4
cpv,2018,16.08
cpv,2019,12.58
cri,1996,5.26
cri,1997,5.2
cri,1998,1.63
cri,1999,3.04
cri,2000,4.09
cri,2001,4.28
cri,2002,5.33
cri,2003,4.75
cri,2004,6.6
cri,2005,5.48
cri,2006,5.13
cri,2007,4.06
cri,2008,4.17
cri,2010,4.58
cri,2011,6.9
cri,2012,8.59
cri,2013,7.1
cri,2014,8.27
cri,2015,8.48
cri,2016,6.88
cri,2017,7.81
cri,2018,9.97
cri,2019,11.45
cri,2020,18.49
cub,2006,1.8
cub,2007,1.86
cub,2008,1.35
cub,2009,1.43
cub,2010,2.41
cym,2011,9.65
cym,2012,8.74
cym,2013,8.48
cym,2014,5.99
cym,2015,3.97
cyp,2000,2.31
cyp,2001,2.53
cyp,2002,2.99
cyp,2003,4.01
cyp,2004,2.85
cyp,2005,4.49
cyp,2006,4.04
cyp,2007,3.59
cyp,2008,3.08
cyp,2009,5.62
cyp,2010,5.96
cyp,2011,8.51
cyp,2012,13.85
cyp,2013,17.05
cyp,2014,18.5
cyp,2015,16.53
cyp,2016,12.62
cyp,2017,11.02
cyp,2018,8.36
cyp,2019,7.11
cyp,2020,8.22
cze,1996,2.58
cze,1997,3.17
cze,1998,3.75
cze,1999,6.35
cze,2000,6.3
cze,2001,5.79
cze,2002,5.07
cze,2003,5.19
cze,2004,6.4
cze,2005,5.7
cze,2006,5.11
cze,2007,3.57
cze,2008,2.78
cze,2009,5.22
cze,2010,6.02
cze,2011,5.38
cze,2012,5.42
cze,2013,5.67
cze,2014,4.82
cze,2015,3.8
cze,2016,2.97
cze,2017,2.14
cze,2018,1.55
cze,2019,1.48
cze,2020,2
deu,1998,9.51
deu,1999,8.34
deu,2000,7.59
deu,2001,8.15
deu,2002,9.02
deu,2003,10.61
deu,2004,11.95
deu,2005,11.57
deu,2006,10.19
deu,2007,8.26
deu,2008,7.22
deu,2009,8.15
deu,2010,7.37
deu,2011,6.05
deu,2012,5.48
deu,2013,5.41
deu,2014,5
deu,2015,4.69
deu,2016,4.06
deu,2017,3.67
deu,2018,3.27
deu,2019,3.05
deu,2020,3.65
dji,2017,26.07
dnk,1998,3.57
dnk,1999,4.36
dnk,2000,3.88
dnk,2001,3.17
dnk,2002,3.62
dnk,2003,4.15
dnk,2004,4.48
dnk,2005,3.74
dnk,2006,2.59
dnk,2007,2.49
dnk,2008,2.47
dnk,2009,6.41
dnk,2010,7.81
dnk,2011,6.84
dnk,2012,6.71
dnk,2013,5.81
dnk,2014,5.51
dnk,2015,5.01
dnk,2016,4.59
dnk,2017,4.26
dnk,2018,3.81
dnk,2019,3.74
dnk,2020,4.23
dom,2000,6.06
dom,2001,7.22
dom,2002,7.32
dom,2003,7.93
dom,2004,6.84
dom,2005,7.79
dom,2006,6.3
dom,2007,5.92
dom,2008,5.82
dom,2009,5.97
dom,2010,5.8
dom,2011,7.56
dom,2012,8.26
dom,2013,8.08
dom,2014,6.87
dom,2015,8.81
dom,2016,7.72
dom,2017,6.42
dom,2018,5.68
dom,2019,6.58
dom,2020,6.31
dza,2004,21.15
dza,2017,9.08
ecu,2000,7
ecu,2001,5.48
ecu,2003,11.48
ecu,2004,7.92
ecu,2005,6.6
ecu,2006,8.43
ecu,2007,5.06
ecu,2008,5.83
ecu,2009,6.25
ecu,2010,6.21
ecu,2011,5.22
ecu,2012,5.02
ecu,2013,4.43
ecu,2014,5.14
ecu,2015,4.64
ecu,2016,5.63
ecu,2017,4.71
ecu,2018,4.41
ecu,2019,5.02
egy,2008,8.85
egy,2009,7.47
egy,2010,6.59
egy,2011,10.97
egy,2012,11.96
egy,2013,11.41
egy,2014,10.95
egy,2015,11.18
egy,2016,10.86
egy,2017,10.55
egy,2018,7.52
egy,2019,6.7
egy,2020,5.82
esp,1998,13.32
esp,1999,10.83
esp,2000,8.47
esp,2001,6.84
esp,2002,7.05
esp,2003,8.26
esp,2004,7.72
esp,2005,6.4
esp,2006,5.62
esp,2007,6.12
esp,2008,8.67
esp,2009,15.96
esp,2010,17.43
esp,2011,19.54
esp,2012,22.86
esp,2013,24.26
esp,2014,21.94
esp,2015,19.19
esp,2016,16.36
esp,2017,14.44
esp,2018,13.27
esp,2019,12.02
esp,2020,14.12
est,1995,9.76
est,1998,11.03
est,1999,13.69
est,2000,15.3
est,2001,12.77
est,2002,10.27
est,2003,13.07
est,2004,11.55
est,2005,9.82
est,2006,6.11
est,2007,5.18
est,2008,5.6
est,2009,18.18
est,2010,19.29
est,2011,12.55
est,2012,10.55
est,2013,9.42
est,2014,7.89
est,2015,6.44
est,2016,8.01
est,2017,6.5
est,2018,5.41
est,2019,3.91
est,2020,6.96
eth,1999,16.89
eth,2005,11.51
eth,2013,6.06
fin,1998,13.94
fin,1999,11.51
fin,2000,10.2
fin,2001,9.7
fin,2002,10.55
fin,2003,11.23
fin,2004,10.01
fin,2005,8.43
fin,2006,7.51
fin,2007,6.38
fin,2008,5.82
fin,2009,9.75
fin,2010,9.55
fin,2011,8.6
fin,2012,8.71
fin,2013,9.15
fin,2014,9.76
fin,2015,10.52
fin,2016,9.76
fin,2017,9.54
fin,2018,7.79
fin,2019,7.37
fin,2020,8.81
fji,2005,3.42
fji,2011,4.56
fji,2014,6.68
fji,2016,4.59
fra,1998,8.76
fra,1999,8.59
fra,2000,6.97
fra,2001,5.6
fra,2002,6.14
fra,2003,6.49
fra,2004,6.69
fra,2005,6.53
fra,2006,6.6
fra,2007,5.94
fra,2008,5.87
fra,2009,7.72
fra,2010,7.59
fra,2011,7.65
fra,2012,8.9
fra,2013,9.81
fra,2014,10.32
fra,2015,10.56
fra,2016,10.38
fra,2017,9.59
fra,2018,9
fra,2019,8.55
fra,2020,8.46
fsm,2014,4.65
gbr,1998,5.96
gbr,1999,5.74
gbr,2000,5.12
gbr,2001,4.28
gbr,2002,4.36
gbr,2003,4.55
gbr,2004,4.23
gbr,2005,4.5
gbr,2006,5.15
gbr,2007,4.95
gbr,2008,5.7
gbr,2009,8.53
gbr,2010,8.64
gbr,2011,8.88
gbr,2012,8.79
gbr,2013,8.4
gbr,2014,6.89
gbr,2015,5.91
gbr,2016,5.35
gbr,2017,4.9
gbr,2018,4.44
gbr,2019,4.03
geo,2002,42
geo,2009,23.01
geo,2010,23.58
geo,2011,20.25
geo,2012,20.14
geo,2013,21.06
geo,2014,19.27
geo,2015,17.95
geo,2016,18.37
geo,2017,14.48
geo,2018,13.74
geo,2019,12.97
geo,2020,21.51
gha,1991,7.29
gha,2000,12.72
gha,2006,12.5
gha,2010,8.93
gha,2013,4.8
gha,2015,13.41
gha,2017,6.7
gin,2002,15.1
gin,2019,22.33
gmb,2012,11.74
gmb,2018,13.37
gnb,2018,7.37
grc,1998,9.49
grc,1999,9.97
grc,2000,9.79
grc,2001,8.9
grc,2002,8.13
grc,2003,7.96
grc,2004,7.67
grc,2005,7.27
grc,2006,6.53
grc,2007,5.99
grc,2008,5.52
grc,2009,7.53
grc,2010,10.87
grc,2011,16.28
grc,2012,23.46
grc,2013,26.39
grc,2014,25.44
grc,2015,22.79
grc,2016,21.21
grc,2017,19.06
grc,2018,16.9
grc,2019,15.69
grc,2020,15.24
gtm,2003,9.4
gtm,2004,11.79
gtm,2006,3.24
gtm,2010,3.71
gtm,2012,5.49
gtm,2013,5.26
gtm,2014,5.49
gtm,2015,4.27
gtm,2016,4.48
gtm,2017,3.69
gtm,2018,4.32
gtm,2019,4.22
guy,2018,12.54
guy,2019,13.04
hkg,2002,7.45
hkg,2004,6.86
hkg,2005,5.69
hkg,2006,5.21
hkg,2007,4.26
hkg,2008,3.97
hkg,2009,5.94
hkg,2010,5.11
hkg,2011,4.11
hkg,2012,3.86
hkg,2013,3.81
hkg,2014,3.73
hkg,2015,3.47
hkg,2016,3.84
hkg,2017,3.61
hkg,2018,3.41
hkg,2019,3.57
hkg,2020,7.39
hnd,2005,9.71
hnd,2006,7.15
hnd,2007,5.31
hnd,2008,5.2
hnd,2009,6.77
hnd,2010,7.79
hnd,2011,7.19
hnd,2012,6.33
hnd,2013,10.24
hnd,2014,9.54
hnd,2015,8.29
hnd,2016,9.02
hnd,2017,8.01
hnd,2018,9.25
hnd,2019,9.81
hrv,2002,14.82
hrv,2003,13.51
hrv,2004,13.14
hrv,2005,12.83
hrv,2006,10.15
hrv,2007,8.71
hrv,2008,7.2
hrv,2009,7.89
hrv,2010,10.95
hrv,2011,13.7
hrv,2012,16.81
hrv,2013,18.81
hrv,2014,17.33
hrv,2015,16.61
hrv,2016,13.64
hrv,2017,10.46
hrv,2018,7.9
hrv,2019,6.2
hrv,2020,8.04
hti,2012,17.72
hun,1998,8.85
hun,1999,7.01
hun,2000,6.85
hun,2001,5.58
hun,2002,5.3
hun,2003,5.55
hun,2004,5.13
hun,2005,6.39
hun,2006,6.26
hun,2007,6.12
hun,2008,6.63
hun,2009,9.39
hun,2010,10.52
hun,2011,10.43
hun,2012,10.95
hun,2013,9.73
hun,2014,7.05
hun,2015,6.05
hun,2016,4.5
hun,2017,3.25
hun,2018,3.02
hun,2019,2.88
hun,2020,3.79
idn,1990,9.41
idn,1991,8.47
idn,1992,8.94
idn,1993,8.5
idn,1994,11.67
idn,1996,10.76
idn,1997,10.46
idn,1998,12.18
idn,1999,13.76
idn,2000,11.44
idn,2001,10.87
idn,2002,12.47
idn,2003,10.96
idn,2004,11.77
idn,2005,13.78
idn,2006,12.87
idn,2007,14.5
idn,2008,12.12
idn,2009,10.28
idn,2010,9.28
idn,2011,8.49
idn,2012,7.26
idn,2013,7.3
idn,2014,6.98
idn,2015,7.87
idn,2016,7.32
idn,2017,6.66
idn,2018,7.42
idn,2019,6
idn,2020,7.18
ind,1994,8.08
ind,2000,7.97
ind,2005,5.81
ind,2010,5
ind,2012,5.17
ind,2018,9.95
ind,2019,9.12
ind,2020,8.68
irl,1998,5.17
irl,1999,3.97
irl,2000,2.59
irl,2001,2.72
irl,2002,3.42
irl,2003,3.6
irl,2004,4.08
irl,2005,3.73
irl,2006,4
irl,2007,4.58
irl,2008,7.82
irl,2009,17.74
irl,2010,19.87
irl,2011,20.89
irl,2012,20.92
irl,2013,17.95
irl,2014,15.14
irl,2015,12.87
irl,2016,10.17
irl,2017,8.46
irl,2018,6.73
irl,2019,5.95
irl,2020,6.55
irn,2005,13.43
irn,2006,13.06
irn,2007,12.49
irn,2008,12.28
irn,2009,13.7
irn,2010,14.54
irn,2011,12.86
irn,2012,13.93
irn,2013,10.18
irn,2014,10.11
irn,2015,10.47
irn,2016,11.94
irn,2018,11.49
irn,2019,10.04
irn,2020,9.51
irq,2007,7.45
irq,2012,5.06
isl,1995,3.68
isl,1996,2.56
isl,1997,3.33
isl,1998,1.97
isl,2004,4.66
isl,2007,1.48
isl,2008,1.92
isl,2009,7.16
isl,2010,7.91
isl,2011,6.25
isl,2012,4.37
isl,2013,4.68
isl,2014,4.04
isl,2015,3.49
isl,2016,3.01
isl,2017,2.11
isl,2018,2.18
isl,2019,3.15
isl,2020,4.89
isr,1996,6.38
isr,1998,8.61
isr,1999,8.72
isr,2000,8.57
isr,2001,9.62
isr,2002,10.81
isr,2003,11.4
isr,2004,10.83
isr,2005,9.72
isr,2006,8.74
isr,2007,7.43
isr,2008,5.86
isr,2009,8.57
isr,2010,7.56
isr,2011,6.3
isr,2012,6.41
isr,2013,6.04
isr,2014,5.9
isr,2015,5.25
isr,2016,4.58
isr,2017,4.27
isr,2018,4.64
isr,2019,4.11
isr,2020,5.14
ita,1998,9.21
ita,1999,8.66
ita,2000,7.67
ita,2001,6.97
ita,2002,6.48
ita,2003,6.2
ita,2004,5.54
ita,2005,5.39
ita,2006,4.86
ita,2007,4.37
ita,2008,4.84
ita,2009,6.23
ita,2010,6.84
ita,2011,6.82
ita,2012,8.87
ita,2013,10.27
ita,2014,10.74
ita,2015,10.45
ita,2016,9.74
ita,2017,9.09
ita,2018,8.92
ita,2019,8.18
ita,2020,7.6
jam,2008,6.65
jam,2009,8.55
jam,2010,8.07
jam,2011,8.87
jam,2012,9.29
jam,2013,11.07
jam,2014,10
jam,2016,9.08
jam,2017,7.09
jam,2018,5.57
jam,2019,5.4
jam,2020,5.72
jor,2017,9.77
jor,2018,10.04
jor,2019,6.8
jor,2020,8.8
jpn,2009,6.46
jpn,2010,6.46
jpn,2012,5.5
jpn,2013,5.11
jpn,2015,4.38
jpn,2016,4.06
jpn,2017,3.63
jpn,2018,3.34
jpn,2019,3.06
jpn,2020,3.59
kaz,2009,5.13
kaz,2010,4.24
kaz,2011,4.1
kaz,2012,3.9
kaz,2013,4.98
kaz,2017,4.78
kaz,2020,5.11
ken,1999,7.34
ken,2006,9.74
ken,2016,3.65
ken,2019,6.57
kgz,2004,8.03
kgz,2005,9.32
kgz,2006,10.1
kgz,2011,7.55
kgz,2012,7.47
kgz,2013,6.68
kgz,2014,6.55
kgz,2015,6.12
kgz,2016,6.02
kgz,2017,5.37
kgz,2018,5.44
khm,2000,3.2
khm,2001,2.92
khm,2007,1.18
khm,2008,1.28
khm,2010,1.75
khm,2011,1.56
khm,2012,1.94
khm,2014,0.47
khm,2015,0.86
khm,2019,2.4
kir,2015,12.47
kir,2019,8.63
kor,1991,3.07
kor,1992,3.26
kor,1993,3.74
kor,1994,3.13
kor,1995,3.07
kor,1996,3.24
kor,1997,3.85
kor,1998,10.12
kor,1999,9.42
kor,2000,5.22
kor,2001,4.6
kor,2002,3.84
kor,2003,3.81
kor,2004,4
kor,2005,4.2
kor,2006,4.06
kor,2007,3.71
kor,2008,3.69
kor,2009,4.32
kor,2010,3.85
kor,2011,3.4
kor,2012,3.21
kor,2013,2.78
kor,2014,3
kor,2015,3.37
kor,2016,3.47
kor,2017,3.3
kor,2018,4.05
kor,2019,3.98
kor,2020,4.2
kos,2012,28.43
kos,2013,26.72
kos,2014,33.82
kos,2015,31.59
kos,2016,27.71
kos,2017,28.72
kos,2018,28.64
kos,2019,22.13
kos,2020,23.95
kwt,2016,4.03
lao,2010,1.27
lao,2017,7.63
lbn,2007,9.78
lbn,2019,10.33
lbr,2010,3.87
lbr,2014,3.85
lbr,2016,8.22
lbr,2017,17
lca,2017,37.2
lca,2019,20.76
lka,2009,7.2
lka,2010,6.37
lka,2011,4.35
lka,2012,4.66
lka,2013,5.25
lka,2014,4.84
lka,2015,5.07
lka,2016,4.39
lka,2017,4.74
lka,2018,4.35
lka,2019,5
lso,2019,11.65
ltu,1997,26.61
ltu,1998,17.62
ltu,1999,17.77
ltu,2000,21.33
ltu,2001,20.88
ltu,2002,13.8
ltu,2003,12.32
ltu,2004,10.91
ltu,2005,8.47
ltu,2006,6.29
ltu,2007,4.66
ltu,2008,6.55
ltu,2009,18.65
ltu,2010,24.01
ltu,2011,19.95
ltu,2012,16.92
ltu,2013,14.95
ltu,2014,14.56
ltu,2015,12.08
ltu,2016,10.78
ltu,2017,10.13
ltu,2018,8.06
ltu,2019,8.46
ltu,2020,11.3
lux,1999,1.16
lux,2000,1.19
lux,2002,1.08
lux,2003,2.2
lux,2004,3.08
lux,2005,2.58
lux,2006,3.29
lux,2007,2.6
lux,2008,5.51
lux,2009,3.77
lux,2010,3.39
lux,2011,3.52
lux,2012,4.26
lux,2013,5.09
lux,2014,6.45
lux,2015,5.61
lux,2016,5.77
lux,2017,5.68
lux,2018,5.4
lux,2019,6.4
lux,2020,7.71
lva,1998,14.98
lva,1999,14.44
lva,2000,14.79
lva,2001,13.99
lva,2002,13.59
lva,2003,10.39
lva,2004,10.95
lva,2005,9.95
lva,2006,6.13
lva,2007,5.91
lva,2008,7.89
lva,2009,21.26
lva,2010,23.57
lva,2011,19.33
lva,2012,17.68
lva,2013,13.21
lva,2014,12.1
lva,2015,11.82
lva,2016,11.47
lva,2017,10.73
lva,2018,8.83
lva,2019,7.44
lva,2020,8.89
mac,1996,4.19
mac,1997,2.69
mac,1998,4.97
mac,1999,4.92
mac,2000,5.91
mac,2001,6.19
mac,2002,6.37
mac,2003,5.03
mac,2005,3.03
mac,2006,2.34
mac,2007,2.74
mac,2008,2.43
mac,2009,3.12
mac,2010,2.76
mac,2011,2.44
mac,2012,1.5
mac,2013,1.51
mac,2014,1.64
mac,2015,2.06
mac,2016,1.98
mar,2002,19.92
mar,2003,21.6
mar,2011,14.62
mar,2012,14.49
mco,2016,4.66
mda,2010,8.34
mda,2011,7.52
mda,2012,6.36
mda,2013,6.19
mda,2014,4.26
mda,2015,5.47
mda,2016,4.95
mda,2017,4.56
mda,2018,3.47
mda,2019,5.57
mda,2020,4.04
mdg,2012,1.59
mdg,2015,4.29
mdv,2009,15.24
mdv,2014,3.94
mdv,2016,7.3
mdv,2019,5.81
mex,1996,5.44
mex,1997,4.2
mex,1998,3.54
mex,2001,3.1
mex,2002,3.6
mex,2003,4.16
mex,2004,4.53
mex,2005,4.18
mex,2006,4.24
mex,2007,4.24
mex,2008,4.72
mex,2009,6.56
mex,2010,6.26
mex,2011,6.13
mex,2012,5.72
mex,2013,5.6
mex,2014,5.82
mex,2015,5.16
mex,2016,4.69
mex,2017,3.94
mex,2018,4
mex,2019,4.04
mex,2020,5.6
mhl,2019,5.07
mkd,2006,35.99
mkd,2007,34.35
mkd,2008,32.43
mkd,2009,32.1
mkd,2010,31.26
mkd,2011,31.45
mkd,2012,31.04
mkd,2013,28.6
mkd,2014,27.37
mkd,2015,26.99
mkd,2016,24.22
mkd,2017,22.73
mkd,2018,21.47
mkd,2019,16.29
mkd,2020,16.19
mli,2013,6.52
mli,2014,8.94
mli,2015,10.38
mli,2016,9.95
mli,2017,14.02
mli,2018,7.7
mlt,2005,2.97
mlt,2006,3.4
mlt,2007,4.48
mlt,2008,3.69
mlt,2009,5.27
mlt,2010,5.01
mlt,2011,4.44
mlt,2012,3.13
mlt,2013,3.94
mlt,2014,3.92
mlt,2015,4
mlt,2016,3.66
mlt,2017,3.54
mlt,2018,3.56
mlt,2019,3.33
mlt,2020,3.65
mmr,2015,2
mmr,2017,2.38
mmr,2018,1.37
mmr,2019,0.19
mne,2011,20.6
mne,2012,20.47
mne,2013,20.92
mne,2014,18.83
mne,2015,19.44
mne,2016,19.44
mne,2017,16.44
mne,2018,16.53
mne,2019,14.4
mne,2020,17.82
mng,2008,7.06
mng,2009,6.83
mng,2010,8.25
mng,2011,5.88
mng,2012,4.46
mng,2013,4.47
mng,2014,5.72
mng,2015,5.78
mng,2016,9.49
mng,2017,8.41
mng,2018,6.45
mng,2019,14.13
mng,2020,8.86
moz,2015,11.26
mrt,2012,6.31
mrt,2017,10.05
mus,2001,8.16
mus,2002,6.67
mus,2003,3.97
mus,2004,6.38
mus,2005,6.51
mus,2006,5.36
mus,2007,5.5
mus,2008,3.99
mus,2009,4.46
mus,2010,5.01
mus,2012,5.55
mus,2013,5.31
mus,2014,6.05
mus,2015,6.3
mus,2016,4.87
mus,2017,5.64
mus,2018,5.61
mus,2019,4.8
mus,2020,9.06
mwi,2005,4.53
mwi,2011,3.69
mwi,2013,6.68
mwi,2017,4.17
mwi,2020,2.23
mys,2009,4.44
mys,2010,3.87
mys,2015,3.54
mys,2016,3.9
mys,2018,3.5
mys,2019,3.47
mys,2020,4.45
nam,2010,24.62
nam,2012,3.26
nam,2016,21.51
nam,2018,25.35
ncl,2014,11.15
ner,2011,1.54
ner,2017,7.4
nga,2016,10.57
nga,2019,12.45
nic,1995,14.13
nic,2001,7.57
nic,2005,7.87
nic,2012,7.69
nic,2014,6.41
nld,1995,4.48
nld,1998,2.51
nld,1999,1.79
nld,2000,1.53
nld,2001,1.39
nld,2002,1.88
nld,2003,2.44
nld,2004,3.82
nld,2005,4.79
nld,2006,3.72
nld,2007,3.01
nld,2008,2.75
nld,2009,3.38
nld,2010,3.92
nld,2011,4.21
nld,2012,5.16
nld,2013,7.04
nld,2014,7.02
nld,2015,6.46
nld,2016,5.43
nld,2017,4.17
nld,2018,3.58
nld,2019,3.2
nld,2020,3.59
nld_curacao,2018,11.62
nor,1998,2.85
nor,1999,2.82
nor,2000,3.14
nor,2001,3.29
nor,2002,3.4
nor,2003,3.7
nor,2004,4.32
nor,2005,4.2
nor,2006,2.61
nor,2007,1.66
nor,2008,1.75
nor,2009,2.72
nor,2010,3.34
nor,2011,2.78
nor,2012,2.93
nor,2013,2.87
nor,2014,3.24
nor,2015,3.93
nor,2016,4.61
nor,2017,4.04
nor,2018,3.52
nor,2019,3.57
nor,2020,4.21
npl,2008,1.93
npl,2017,13.8
nru,2013,9.5
nzl,1997,28.65
nzl,1999,7.73
nzl,2000,3.61
nzl,2001,5.15
