geo,time,bn_klt_ptxl_cd
bgd,1976,0
bgd,1977,0
bgd,1978,0
bgd,1979,0
bgd,1980,0
bgd,1981,0
bgd,1982,0
bgd,1983,-1267876.37525
bgd,1984,-1624686.98987
bgd,1985,7191558.36983
bgd,1986,0
bgd,1987,64516.12903
bgd,1988,0
bgd,1989,-1704369.38333
bgd,1990,-280926.0249
bgd,1991,-2213918.75217
bgd,1992,-8729923.02192
bgd,1993,-8364969.8741
bgd,1994,-105861743.18821
bgd,1995,15230807.24171
bgd,1996,117042595.74311
bgd,1997,9892244.72221
bgd,1998,4089360.4532
bgd,1999,1272619.05978
bgd,2000,-1292999.31062
bgd,2001,3369753.38448
bgd,2002,2557564.25454
bgd,2003,-1630080.79412
bgd,2004,-4292383.82373
bgd,2005,-19520520.66962
bgd,2006,515596583.88625
bgd,2007,-130689764.23305
bgd,2008,-73893139.11028
bgd,2009,-220395177.03492
bgd,2010,401115456.17475
bgd,2011,1179681792.28364
bgd,2012,696224.52167
bgd,2013,-126534154.97047
bgd,2014,-967895754.52053
bgd,2015,-203400248.40062
bgd,2016,-42067755.31137
bgd,2017,178794068.45306
bgd,2018,-22454139.71354
bgd,2019,386409182.75297
bgd,2020,190108974.50373
bgd,2021,314910856.99508
bgr,1980,0
bgr,1981,0
bgr,1982,0
bgr,1983,0
bgr,1984,0
bgr,1985,0
bgr,1986,0
bgr,1987,0
bgr,1988,0
bgr,1989,0
bgr,1990,0
bgr,1992,0
bgr,1993,0
bgr,1994,231800000
bgr,1995,65700000
bgr,1996,129300000
bgr,1997,-132800000
bgr,1998,241447376.41377
bgr,1999,199408612.44518
bgr,2000,176870810.33128
bgr,2001,-64754423.68113
bgr,2002,83757787.06092
bgr,2003,211758373.35271
bgr,2004,520991698.29831
bgr,2005,1304132497.5338
bgr,2006,-363441387.44854
bgr,2007,836524082.75566
bgr,2008,1076810246.75011
bgr,2009,821842165.4682
bgr,2010,851470000
bgr,2011,485420000
bgr,2012,1192850000
bgr,2013,159850000
bgr,2014,-1647760000
bgr,2015,-665130000
bgr,2016,-801880000
bgr,2017,3257070000
bgr,2018,1841090000
bgr,2019,1792770000
bgr,2020,801130000
bhr,1975,-96080910.48314
bhr,1976,-139029615.76603
bhr,1977,-195121951.71268
bhr,1978,33294332.30659
bhr,1979,41402713.53136
bhr,1980,-112732025.30678
bhr,1981,-53191489.50317
bhr,1982,15957446.85095
bhr,1983,47872340.55285
bhr,1984,0
bhr,1985,28457446.80851
bhr,1986,26063829.78723
bhr,1987,1861702.12766
bhr,1988,0
bhr,1989,-1063829.78723
bhr,1990,-697606382.97872
bhr,1991,1063031914.89362
bhr,1992,1398138297.87234
bhr,1993,1335372378.90036
bhr,1994,453989403.96178
bhr,1995,113326517.25636
bhr,1996,779892260.84584
bhr,1997,1150855772.91314
bhr,1998,1011889398.19257
bhr,1999,1992989829.98587
bhr,2000,-194224286.46685
bhr,2001,1478677032.52889
bhr,2002,4224794603.0178
bhr,2003,2407292216.27273
bhr,2004,3504906723.72385
bhr,2005,4614338266.06153
bhr,2006,8831229098.08633
bhr,2007,8559873691.42128
bhr,2008,-9276881140.83141
bhr,2009,-8275589373.03625
bhr,2010,-4755789476.08181
bhr,2011,-5583244680.85106
bhr,2012,123003459.32841
bhr,2013,4505291091.56795
bhr,2014,700202150.09461
bhr,2015,106746943.70845
bhr,2016,-1834234672.36798
bhr,2017,-3214893617.02128
bhr,2018,-1504255319.14894
bhs,1976,1500000
bhs,1977,-6900000
bhs,1978,2300000
bhs,1979,3200000
bhs,1980,2300000
bhs,1981,3000000
bhs,1982,3200000
bhs,1983,0
bhs,1984,0
bhs,1985,0
bhs,1986,0
bhs,1987,0
bhs,1988,0
bhs,1989,0
bhs,2003,0
bhs,2006,18800000
bhs,2007,7210000
bhs,2008,21863975
bhs,2009,16720000
bhs,2010,25393000
bhs,2011,44203000
bhs,2012,36958000
bhs,2013,52797000
bhs,2014,20638115
bhs,2015,12403833.33
bhs,2016,21696500
bhs,2017,16687500
bhs,2018,11700000
bhs,2019,269884723.93
bhs,2020,-656813029.52
bih,1998,0
bih,1999,0
bih,2000,0
bih,2001,0
bih,2002,0
bih,2003,0
bih,2004,2836025.62936
bih,2005,-2566375.55372
bih,2006,388430.24734
bih,2007,2701902.01492
bih,2008,20715674.21264
bih,2009,204150908.02742
bih,2010,121005146.35935
bih,2011,34933677.17534
bih,2012,12622204.86398
bih,2013,98103926.62533
bih,2014,69960410.4021
bih,2015,61636693.7991
bih,2016,94816416.2217
bih,2017,89476552.73999
bih,2018,149838740.93335
bih,2019,125275801.26556
bih,2020,7786120.68345
blr,1996,14500000
blr,1997,19800000
blr,1998,-14600000
blr,1999,20600000
blr,2000,-44400000
blr,2001,19900000
blr,2002,9100000
blr,2003,-6100000
blr,2004,-62800000
blr,2005,41500000
blr,2006,26400000
blr,2007,38800000
blr,2008,-5300000
blr,2009,-18800000
blr,2010,-1185600000
blr,2011,-854100000
blr,2012,191000000
blr,2013,59100000
blr,2014,19600000
blr,2015,952100000
blr,2016,-646100000
blr,2017,-1264800000
blr,2018,585300000
blr,2019,-500800000
blr,2020,-1346400000
blr,2021,87190338.71
blz,1984,-700000
blz,1985,-700000
blz,1986,0
blz,1987,0
blz,1988,0
blz,1989,0
blz,1990,0
blz,1991,0
blz,1992,-200000
blz,1993,-7000000
blz,1994,-6106500
blz,1995,-3477000
blz,1996,-10075000
blz,1997,-10215000
blz,1998,-12500000
blz,1999,-38516616.08
blz,2000,-113137162.4
blz,2001,19407136.03607
blz,2002,-124046567.96275
blz,2003,-79218382.83038
blz,2004,-76639446.79581
blz,2005,-17845088.18881
blz,2006,21606114.06483
blz,2007,-78745499.73125
blz,2008,-167567.96174
blz,2009,9654114.94266
blz,2010,7814892.52112
blz,2011,13194329.22652
blz,2012,3428416.78479
blz,2013,15918403.91809
blz,2014,430.60326
blz,2015,558.40367
blz,2016,654.88285
blz,2017,644.55838
blz,2018,607.58436
blz,2019,-5499409.18802
blz,2020,-6499398.53254
bmu,2006,-588510000
bmu,2007,-5751847.59351
bmu,2008,-2811842551.67468
bmu,2009,1637636347.05301
bmu,2010,935841624.54105
bmu,2011,2395686848.42519
bmu,2012,-1059920328.45732
bmu,2013,1612734360.33648
bmu,2014,-8555618.95581
bmu,2015,1482911058.09394
bmu,2016,-401121559.8403
bmu,2017,698117602.61132
bmu,2018,-917249935.48
bmu,2019,567851640.59
bmu,2020,852713620
bol,1976,0
bol,1977,0
bol,1978,0
bol,1979,-1400000
bol,1980,3500000
bol,1981,900000
bol,1982,15000000
bol,1983,1800000
bol,1984,900000
bol,1985,900000
bol,1986,0
bol,1987,0
bol,1988,0
bol,1989,0
bol,1990,0
bol,1991,0
bol,1992,0
bol,1993,0
bol,1994,0
bol,1995,0
bol,1996,-300000
bol,1997,53200000
bol,1998,74500000
bol,1999,61300000
bol,2000,-55400000
bol,2001,23010000
bol,2002,19340000
bol,2003,68170000
bol,2004,35380000
bol,2005,153428732
bol,2006,-25091349.23602
bol,2007,29903231.41
bol,2008,208092905.00227
bol,2009,153640000
bol,2010,-90147609.51825
bol,2011,-156001925.59378
bol,2012,360335232.43719
bol,2013,428704992.37711
bol,2014,734541228.09106
bol,2015,622097642.44068
bol,2016,910562109.03611
bol,2017,-1077043847.03658
bol,2018,-800168494.64804
bol,2019,-439668823.41231
bol,2020,-612949705.49582
bra,1975,0
bra,1976,0
bra,1977,0
bra,1978,0
bra,1979,-660000000
bra,1980,-354000000
bra,1981,2000000
bra,1982,1000000
bra,1983,286000000
bra,1984,272000000
bra,1985,237000000
bra,1986,450000000
bra,1987,428000000
bra,1988,-176000000
bra,1989,421000000
bra,1990,-512000000
bra,1991,-3808000000
bra,1992,-14466000000
bra,1993,-12322000000
bra,1994,-51135000000
bra,1995,-9745000000
bra,1996,-20832000000
bra,1997,-12615571000
bra,1998,-18124973000
bra,1999,-3801558000
bra,2000,-6955057016.30859
bra,2001,-76993760
bra,2002,5118566222.8125
bra,2003,-5307524740
bra,2004,4750133360
bra,2005,-4884536333.75
bra,2006,-9081235678.125
bra,2007,-48695461469.2474
bra,2008,-2953202350.23747
bra,2009,-52139633051.6484
bra,2010,-66912966479.94
bra,2011,-41247719172.88
bra,2012,-15825807532.76
bra,2013,-32281848087.41
bra,2014,-41416091806.35
bra,2015,-17838699681.95
bra,2016,20033386641.7
bra,2017,17723824466.81
bra,2018,6860671634.07
bra,2019,19216443786.46
bra,2020,12882255995.88
bra,2021,-5694045413.47
brb,1967,1069559.22597
brb,1968,409499.9998
brb,1969,-1661499.99917
brb,1970,3208499.9984
brb,1971,-1599087.61714
brb,1972,-2355199.82874
brb,1973,-20297868.07565
brb,1974,2050913.99018
brb,1975,-16345.80514
brb,1976,-146000
brb,1977,-586000
brb,1978,-2014500
brb,1979,3773500
brb,1980,-5350000
brb,1981,100000
brb,1982,6000000
brb,1983,2600000
brb,1984,6100000
brb,1985,2000000
brb,1986,6500000
brb,1987,1200000
brb,1988,-42750000
brb,1989,4250000
brb,1990,25250000
brb,1991,3200000
brb,1992,17500000
brb,1993,34550000
brb,1994,-49100000
brb,1995,-42000000
brb,1996,15750000
brb,1997,27900000
brb,1998,46350000
brb,1999,-34200000
brb,2000,-69050000
brb,2001,-141950000
brb,2002,37074500
brb,2003,65532500
brb,2004,95232790.095
brb,2005,-542406404.17
brb,2006,-104809051.54
brb,2007,51600775.57
brb,2008,120876628.21
brb,2009,-82898591.975
brb,2010,-473698049.635
brb,2011,-378517045.87
brb,2012,342080901.705
brb,2013,-74376318.13065
brb,2014,-83267251.33824
brb,2015,-150696621.41427
brb,2016,124558091.20595
brn,2001,179057751.3691
brn,2002,-8097852.38567
brn,2003,-60292103.68056
brn,2004,44768825.86422
brn,2005,-21638847.20231
brn,2006,90215499.11285
brn,2007,-357937796.90253
brn,2008,-87790076.38179
brn,2009,-139271027.36463
brn,2010,865508507.29653
brn,2011,165876296.07418
brn,2012,565176360.73654
brn,2013,458361041.318
brn,2014,795748377.98114
brn,2015,336369777.5394
brn,2016,624753867.36329
brn,2017,-59798278.83504
brn,2018,-1436447401.58331
brn,2019,1400265357.04998
brn,2020,1160723494.29487
btn,2006,0
btn,2014,0
btn,2015,0
btn,2016,0
btn,2017,0
btn,2018,83291912.1329
btn,2019,0
btn,2020,0
bwa,1975,0
bwa,1976,0
bwa,1977,0
bwa,1978,-4226251.79069
bwa,1979,0
bwa,1980,0
bwa,1981,0
bwa,1982,0
bwa,1983,0
bwa,1984,0
bwa,1985,0
bwa,1986,0
bwa,1987,0
bwa,1988,0
bwa,1989,0
bwa,1990,-1289999.50281
bwa,1991,1187203.92041
bwa,1992,-94799.08519
bwa,1993,-206349.37012
bwa,1994,111746.59746
bwa,1995,30661494.69376
bwa,1996,6588057.86661
bwa,1997,17720129.76282
bwa,1998,56898918.09517
bwa,1999,30317477.72857
bwa,2000,39980662.0946
bwa,2001,62330770.21841
bwa,2002,413114106.42207
