geo,time,gb_xpd_rsdv_gd_zs
egy,2000,0.19247
egy,2004,0.26994
egy,2005,0.24141
egy,2006,0.25903
egy,2007,0.2551
egy,2008,0.27024
egy,2009,0.43312
egy,2010,0.43345
egy,2011,0.53154
egy,2012,0.50899
egy,2013,0.63895
egy,2014,0.63649
egy,2015,0.71858
egy,2016,0.70848
egy,2017,0.67941
egy,2018,0.72388
esp,1996,0.78753
esp,1997,0.77781
esp,1998,0.84804
esp,1999,0.83854
esp,2000,0.88276
esp,2001,0.88833
esp,2002,0.95971
esp,2003,1.02373
esp,2004,1.04089
esp,2005,1.09956
esp,2006,1.17702
esp,2007,1.24053
esp,2008,1.325
esp,2009,1.36364
esp,2010,1.35996
esp,2011,1.33341
esp,2012,1.29877
esp,2013,1.27523
esp,2014,1.24213
esp,2015,1.22236
esp,2016,1.19048
esp,2017,1.21041
esp,2018,1.24323
est,1998,0.56583
est,1999,0.67648
est,2000,0.59921
est,2001,0.69788
est,2002,0.7116
est,2003,0.76437
est,2004,0.84595
est,2005,0.9176
est,2006,1.11346
est,2007,1.05891
est,2008,1.25036
est,2009,1.38894
est,2010,1.56628
est,2011,2.28473
est,2012,2.10903
est,2013,1.71302
est,2014,1.42089
est,2015,1.45685
est,2016,1.24617
est,2017,1.27996
est,2018,1.40441
eth,2005,0.17917
eth,2007,0.17089
eth,2010,0.24137
eth,2013,0.60474
eth,2017,0.27437
fin,1996,2.45256
fin,1997,2.62158
fin,1998,2.78442
fin,1999,3.05619
fin,2000,3.24138
fin,2001,3.19372
fin,2002,3.25308
fin,2003,3.29822
fin,2004,3.30907
fin,2005,3.3237
fin,2006,3.33215
fin,2007,3.33704
fin,2008,3.53697
fin,2009,3.73402
fin,2010,3.70532
fin,2011,3.61806
fin,2012,3.39832
fin,2013,3.27137
fin,2014,3.14751
fin,2015,2.87196
fin,2016,2.72442
fin,2017,2.73349
fin,2018,2.75572
fra,1996,2.2228
fra,1997,2.14699
fra,1998,2.09476
fra,1999,2.10767
fra,2000,2.09346
fra,2001,2.13804
fra,2002,2.17449
fra,2003,2.11994
fra,2004,2.09461
fra,2005,2.05151
fra,2006,2.05094
fra,2007,2.02451
fra,2008,2.06117
fra,2009,2.21207
fra,2010,2.17857
fra,2011,2.19161
fra,2012,2.22707
fra,2013,2.23703
fra,2014,2.27592
fra,2015,2.26703
fra,2016,2.22238
fra,2017,2.20348
fra,2018,2.19294
fro,2003,0.85705
gab,2007,0.41633
gab,2008,0.5109
gab,2009,0.57924
gbr,1996,1.58017
gbr,1997,1.5391
gbr,1998,1.55107
gbr,1999,1.62792
gbr,2000,1.61712
gbr,2001,1.60477
gbr,2002,1.61497
gbr,2003,1.58239
gbr,2004,1.5338
gbr,2005,1.55279
gbr,2006,1.57317
gbr,2007,1.61289
gbr,2008,1.61272
gbr,2009,1.67125
gbr,2010,1.64564
gbr,2011,1.64959
gbr,2012,1.57716
gbr,2013,1.62028
gbr,2014,1.6434
gbr,2015,1.64985
gbr,2016,1.66023
gbr,2017,1.68022
gbr,2018,1.70274
geo,1996,0.33088
geo,1997,0.3424
geo,1998,0.35384
geo,1999,0.28769
geo,2000,0.2153
geo,2001,0.23848
geo,2002,0.18574
geo,2003,0.2176
geo,2004,0.2442
geo,2005,0.17658
geo,2013,0.07856
geo,2014,0.17318
geo,2015,0.29928
geo,2016,0.28586
geo,2017,0.27023
geo,2018,0.28052
gha,2007,0.23157
gha,2010,0.37655
gmb,2008,0.01261
gmb,2009,0.01086
gmb,2011,0.0848
gmb,2018,0.07093
grc,1997,0.4291
grc,1999,0.56823
grc,2001,0.55948
grc,2003,0.54654
grc,2004,0.5273
grc,2005,0.57896
grc,2006,0.56118
grc,2007,0.57655
grc,2008,0.66183
grc,2009,0.62557
grc,2010,0.59838
grc,2011,0.67196
grc,2012,0.69957
grc,2013,0.81131
grc,2014,0.8333
grc,2015,0.96121
grc,2016,0.99394
grc,2017,1.13109
grc,2018,1.17732
grl,2001,0.52741
grl,2002,0.55628
grl,2003,0.50804
grl,2004,0.64608
gtm,2005,0.035
gtm,2006,0.0493
gtm,2007,0.06674
gtm,2008,0.06188
gtm,2009,0.0553
gtm,2010,0.0435
gtm,2011,0.04814
gtm,2012,0.04471
gtm,2013,0.03916
gtm,2014,0.02949
gtm,2015,0.03064
gtm,2016,0.02311
gtm,2017,0.02957
gtm,2018,0.02947
gum,2003,0.26637
gum,2004,0.25597
gum,2005,0.25707
hkg,1998,0.4283
hkg,1999,0.45767
hkg,2000,0.46493
hkg,2001,0.53645
hkg,2002,0.58147
hkg,2003,0.68027
hkg,2004,0.72176
hkg,2005,0.77343
hkg,2006,0.79468
hkg,2007,0.75161
hkg,2008,0.71996
hkg,2009,0.77342
hkg,2010,0.74946
hkg,2011,0.72086
hkg,2012,0.72733
hkg,2013,0.73017
hkg,2014,0.74014
hkg,2015,0.76183
hkg,2016,0.79155
hkg,2017,0.8002
hkg,2018,0.8634
hnd,2000,0.04453
hnd,2001,0.03834
hnd,2002,0.04181
hnd,2003,0.04215
hnd,2004,0.04155
hnd,2015,0.01497
hnd,2017,0.03994
hrv,1999,0.83991
hrv,2000,1.04916
hrv,2001,0.92079
hrv,2002,0.95033
hrv,2003,0.94981
hrv,2004,1.03031
hrv,2005,0.85614
hrv,2006,0.74007
hrv,2007,0.79107
hrv,2008,0.88656
hrv,2009,0.84474
hrv,2010,0.74292
hrv,2011,0.75095
hrv,2012,0.75101
hrv,2013,0.81157
hrv,2014,0.78306
hrv,2015,0.84007
hrv,2016,0.86314
hrv,2017,0.86266
hrv,2018,0.97192
hun,1996,0.63027
hun,1997,0.69895
hun,1998,0.65711
hun,1999,0.67186
hun,2000,0.79096
hun,2001,0.9131
hun,2002,0.98355
hun,2003,0.91865
hun,2004,0.86123
hun,2005,0.92139
hun,2006,0.97857
hun,2007,0.95595
hun,2008,0.97874
hun,2009,1.13068
hun,2010,1.1376
hun,2011,1.18621
hun,2012,1.26069
hun,2013,1.38691
hun,2014,1.34914
hun,2015,1.34652
hun,2016,1.19007
hun,2017,1.33193
hun,2018,1.53337
idn,2000,0.06769
idn,2001,0.04756
idn,2009,0.08332
idn,2013,0.0847
idn,2016,0.24535
idn,2017,0.23805
idn,2018,0.22633
ind,1996,0.63905
ind,1997,0.68669
ind,1998,0.70379
ind,1999,0.72413
ind,2000,0.75699
ind,2001,0.73591
ind,2002,0.72567
ind,2003,0.71929
ind,2004,0.7569
ind,2005,0.82411
ind,2006,0.80473
ind,2007,0.80507
ind,2008,0.85876
ind,2009,0.83314
ind,2010,0.78849
ind,2011,0.75502
ind,2012,0.74399
ind,2013,0.70642
ind,2014,0.70159
ind,2015,0.6931
ind,2016,0.66984
ind,2017,0.66571
ind,2018,0.65282
irl,1996,1.27006
irl,1997,1.24317
irl,1998,1.20958
irl,1999,1.15338
irl,2000,1.08497
irl,2001,1.05306
irl,2002,1.05605
irl,2003,1.12451
irl,2004,1.17866
irl,2005,1.19281
irl,2006,1.19836
irl,2007,1.23325
irl,2008,1.38766
irl,2009,1.6082
irl,2010,1.59153
irl,2011,1.56058
irl,2012,1.56119
irl,2013,1.5658
irl,2014,1.52307
irl,2015,1.18267
irl,2016,1.16892
irl,2018,1.14647
irn,2001,0.50218
irn,2002,0.49558
irn,2003,0.59484
irn,2004,0.50453
irn,2005,0.62284
irn,2006,0.55921
irn,2008,0.64647
irn,2009,0.27258
irn,2010,0.26442
irn,2012,0.31655
irn,2013,0.25267
irn,2015,0.41763
irn,2017,0.83027
irq,2007,0.04554
irq,2008,0.03435
irq,2009,0.04562
irq,2010,0.03684
irq,2011,0.03476
irq,2014,0.03733
irq,2015,0.03775
irq,2016,0.0356
irq,2017,0.0441
irq,2018,0.04342
isl,1997,1.7954
isl,1998,1.9532
isl,1999,2.23767
isl,2000,2.5783
isl,2001,2.8501
isl,2002,2.82841
isl,2003,2.70912
isl,2005,2.68614
isl,2006,2.8939
isl,2007,2.54913
isl,2008,2.48745
isl,2009,2.59511
isl,2011,2.41367
isl,2013,1.70204
isl,2014,1.94811
isl,2015,2.19746
isl,2016,2.12769
isl,2017,2.10455
isl,2018,2.04135
isr,1996,2.59054
isr,1997,2.80736
isr,1998,2.91897
isr,1999,3.33008
isr,2000,3.93329
isr,2001,4.18499
isr,2002,4.13067
isr,2003,3.89304
isr,2004,3.87344
isr,2005,4.04819
isr,2006,4.14097
isr,2007,4.42235
isr,2008,4.34227
isr,2009,4.13293
isr,2010,3.93541
isr,2011,4.01532
isr,2012,4.16147
isr,2013,4.0961
isr,2014,4.17398
isr,2015,4.26525
isr,2016,4.51177
isr,2017,4.81623
isr,2018,4.94079
ita,1996,0.9459
ita,1997,0.98769
ita,1998,1.00487
ita,1999,0.98065
ita,2000,1.00364
ita,2001,1.0407
ita,2002,1.08124
ita,2003,1.05894
ita,2004,1.05025
ita,2005,1.04435
ita,2006,1.08401
ita,2007,1.12899
ita,2008,1.15972
ita,2009,1.21787
ita,2010,1.21797
ita,2011,1.20155
ita,2012,1.26219
ita,2013,1.30107
ita,2014,1.3384
ita,2015,1.3385
ita,2016,1.36642
ita,2017,1.37013
ita,2018,1.39181
jam,2001,0.0491
jam,2002,0.06096
jor,2002,0.33223
jor,2008,0.42869
jor,2016,0.70781
jpn,1996,2.69206
jpn,1997,2.76968
jpn,1998,2.87363
jpn,1999,2.89283
jpn,2000,2.90569
jpn,2001,2.97183
jpn,2002,3.01394
jpn,2003,3.04295
jpn,2004,3.02952
jpn,2005,3.18099
jpn,2006,3.27844
jpn,2007,3.3396
jpn,2008,3.33718
jpn,2009,3.2314
jpn,2010,3.13708
jpn,2011,3.24477
jpn,2012,3.20908
jpn,2013,3.31496
jpn,2014,3.40022
jpn,2015,3.28165
jpn,2016,3.15786
jpn,2017,3.20798
jpn,2018,3.27512
kaz,1997,0.29337
kaz,1998,0.22039
kaz,1999,0.18383
kaz,2000,0.18104
kaz,2001,0.22009
kaz,2002,0.25509
kaz,2003,0.25246
kaz,2004,0.24837
kaz,2005,0.28361
kaz,2006,0.24281
kaz,2007,0.20884
kaz,2008,0.21654
kaz,2009,0.22924
kaz,2010,0.15341
kaz,2011,0.15349
kaz,2012,0.16525
kaz,2013,0.17132
kaz,2014,0.16722
kaz,2015,0.16951
kaz,2016,0.14179
kaz,2017,0.12667
kaz,2018,0.11683
ken,2007,0.35521
ken,2010,0.78577
kgz,1997,0.1939
kgz,1998,0.21064
kgz,1999,0.17992
kgz,2000,0.15637
kgz,2001,0.17189
kgz,2002,0.1981
kgz,2003,0.22272
kgz,2004,0.19926
kgz,2005,0.19861
kgz,2006,0.23014
kgz,2007,0.23425
kgz,2008,0.19017
kgz,2009,0.15997
kgz,2010,0.15547
kgz,2011,0.15633
kgz,2012,0.1661
kgz,2013,0.14914
kgz,2014,0.12536
kgz,2015,0.11903
kgz,2016,0.11121
kgz,2017,0.10707
kgz,2018,0.10107
khm,2002,0.0498
khm,2015,0.11823
kor,1996,2.21616
kor,1997,2.2483
kor,1998,2.11026
kor,1999,2.01567
kor,2000,2.12519
kor,2001,2.27865
kor,2002,2.20774
kor,2003,2.27722
kor,2004,2.44214
kor,2005,2.5229
kor,2006,2.71934
kor,2007,2.87258
kor,2008,2.98887
kor,2009,3.14669
kor,2010,3.31578
kor,2011,3.59199
kor,2012,3.8504
kor,2013,3.95124
kor,2014,4.07786
kor,2015,3.9782
kor,2016,3.98704
kor,2017,4.29206
kor,2018,4.52753
kwt,1997,0.20538
kwt,1998,0.25796
kwt,1999,0.19763
kwt,2000,0.12542
kwt,2001,0.17884
kwt,2002,0.18001
kwt,2003,0.14347
kwt,2004,0.1301
kwt,2005,0.10083
kwt,2006,0.08479
kwt,2007,0.08585
kwt,2008,0.08551
kwt,2009,0.11213
kwt,2010,0.1014
kwt,2011,0.09896
kwt,2012,0.09721
kwt,2013,0.30153
kwt,2014,0.42705
kwt,2015,0.0966
kwt,2016,0.07985
kwt,2017,0.0804
kwt,2018,0.06238
lao,2002,0.0371
lca,1998,0.57395
lca,1999,0.27374
lka,1996,0.18356
lka,2000,0.14392
lka,2004,0.1821
lka,2006,0.1742
lka,2008,0.11444
lka,2010,0.13687
lka,2013,0.10081
lka,2014,0.09989
lka,2015,0.10871
lka,2016,0.12854
lka,2017,0.12758
lso,2002,0.04185
lso,2003,0.04295
lso,2004,0.05532
lso,2009,0.02857
lso,2011,0.01235
lso,2015,0.05074
ltu,1996,0.49155
ltu,1997,0.53658
ltu,1998,0.54377
ltu,1999,0.502
ltu,2000,0.5848
ltu,2001,0.66679
ltu,2002,0.6567
ltu,2003,0.66339
ltu,2004,0.75066
ltu,2005,0.74741
ltu,2006,0.79119
ltu,2007,0.80093
ltu,2008,0.78844
ltu,2009,0.82967
ltu,2010,0.7855
ltu,2011,0.9051
ltu,2012,0.89515
ltu,2013,0.9502
ltu,2014,1.03114
ltu,2015,1.04408
ltu,2016,0.84233
ltu,2017,0.89641
ltu,2018,0.94181
lux,2000,1.57673
lux,2003,1.62595
lux,2004,1.60262
lux,2005,1.57171
lux,2006,1.66674
lux,2007,1.59123
lux,2008,1.62293
lux,2009,1.6775
lux,2010,1.50257
lux,2011,1.46277
lux,2012,1.27267
lux,2013,1.30266
lux,2014,1.26404
lux,2015,1.27204
lux,2016,1.25831
lux,2017,1.26852
lux,2018,1.21126
lva,1996,0.39844
lva,1997,0.36737
lva,1998,0.38031
lva,1999,0.35257
lva,2000,0.43618
lva,2001,0.40396
lva,2002,0.40959
lva,2003,0.36053
lva,2004,0.40063
lva,2005,0.53
lva,2006,0.65094
lva,2007,0.55385
lva,2008,0.58038
lva,2009,0.45131
lva,2010,0.60979
lva,2011,0.69606
lva,2012,0.66305
lva,2013,0.61176
lva,2014,0.68825
lva,2015,0.62352
lva,2016,0.44032
lva,2017,0.51459
lva,2018,0.64083
mac,2001,0.06268
mac,2002,0.07004
mac,2003,0.06283
mac,2004,0.05373
mac,2005,0.08809
mac,2006,0.08337
mac,2007,0.05715
mac,2008,0.10159
mac,2009,0.05436
mac,2010,0.05033
mac,2011,0.04444
mac,2012,0.04807
mac,2013,0.05115
mac,2014,0.08705
mac,2015,0.13554
mac,2016,0.23328
mac,2017,0.17085
mac,2018,0.20152
mar,1998,0.27341
mar,2001,0.60682
mar,2002,0.52586
mar,2003,0.63071
mar,2006,0.60789
mar,2010,0.71454
mco,2004,0.03719
mco,2005,0.03821
mda,1996,0.87296
mda,1997,0.80679
mda,2003,0.32405
mda,2004,0.34903
mda,2005,0.39865
mda,2006,0.40622
mda,2007,0.54557
mda,2008,0.53463
mda,2009,0.52557
mda,2010,0.3665
mda,2011,0.33764
mda,2012,0.34907
mda,2013,0.29783
mda,2014,0.31105
mda,2015,0.30943
mda,2016,0.2769
mda,2017,0.25374
mda,2018,0.25168
mdg,1997,0.18325
mdg,1998,0.0938
mdg,1999,0.08342
mdg,2000,0.10032
mdg,2001,0.18175
mdg,2002,0.20173
mdg,2003,0.2907
mdg,2004,0.1926
mdg,2005,0.15096
mdg,2006,0.14119
mdg,2007,0.12091
mdg,2008,0.11764
mdg,2009,0.13054
mdg,2010,0.09903
mdg,2011,0.09067
mdg,2014,0.01321
