geo,time,gc_xpn_intp_rv_zs
bih,2012,1.74141
bih,2013,1.73253
bih,2014,1.97495
bih,2015,2.16273
bih,2016,2.0243
bih,2017,1.71681
bih,2018,1.72199
bih,2019,1.62615
blr,1992,2.0339
blr,1993,2.05607
blr,1994,0.66027
blr,1995,0.79362
blr,1996,2.09451
blr,1997,2.03234
blr,1998,2.48897
blr,1999,2.22424
blr,2000,2.87505
blr,2001,2.4923
blr,2002,2.04413
blr,2003,1.71126
blr,2004,1.4864
blr,2005,1.02827
blr,2006,0.90686
blr,2007,0.92523
blr,2008,1.37327
blr,2009,2.06937
blr,2010,1.75482
blr,2011,2.97158
blr,2012,3.77856
blr,2013,2.82362
blr,2014,3.11598
blr,2015,4.80808
blr,2016,5.69445
blr,2017,5.38394
blr,2018,5.17259
blr,2019,4.95859
blz,1990,4.94821
blz,1991,4.77507
blz,1992,5.05466
blz,1993,7.07745
blz,1994,8.41842
blz,1995,9.85367
blz,1996,9.77548
blz,1997,8.23129
blz,1998,7.66754
blz,1999,8.60384
blz,2000,11.46534
blz,2001,14.09344
blz,2002,15.3587
blz,2003,18.15483
blz,2004,37.39541
blz,2005,27.86952
blz,2006,27.42335
blz,2007,15.20466
blz,2008,13.60165
blz,2009,13.54594
blz,2010,13.34888
blz,2011,12.37308
blz,2012,7.08177
blz,2013,8.89165
blz,2014,9.09314
blz,2015,8.55303
blz,2016,8.26431
blz,2017,9.43944
bol,1986,5.02369
bol,1987,8.7193
bol,1988,6.89607
bol,1989,7.16127
bol,1990,6.4058
bol,1991,6.52818
bol,1992,8.26751
bol,1993,8.66012
bol,1994,11.45372
bol,1995,12.54612
bol,1996,9.94401
bol,1997,8.99224
bol,1998,8.63693
bol,1999,6.53627
bol,2000,8.72688
bol,2001,10.54411
bol,2002,10.65806
bol,2003,11.09
bol,2004,10.43051
bol,2005,9.99797
bol,2006,7.8664
bol,2007,7.99476
bra,2010,24.15509
bra,2011,26.00586
bra,2012,23.16763
bra,2013,23.99977
bra,2014,26.92605
bra,2015,39.91135
bra,2016,32.61641
bra,2017,31.28375
bra,2018,29.86196
bra,2019,23.71691
brb,2003,15.00974
brb,2004,13.71668
brb,2005,13.80113
brb,2006,14.60759
brb,2007,15.35382
brb,2008,15.05561
brb,2009,16.99655
brb,2010,20.26628
brb,2011,20.29099
brb,2012,23.28182
brb,2013,25.84533
brb,2014,26.90366
brb,2015,26.16545
brb,2016,25.63307
btn,1982,0
btn,1984,0.12715
btn,1988,0.03974
btn,1989,1.14343
btn,1990,2.91708
btn,1991,1.93164
btn,1992,3.14017
btn,1993,2.32792
btn,1994,7.21503
btn,1995,5.5886
btn,1996,4.65955
btn,1997,4.39671
btn,1998,2.11061
btn,1999,1.23368
btn,2000,1.02976
btn,2001,0.90354
btn,2002,1.31658
btn,2003,2.40739
btn,2004,2.12375
btn,2005,3.8839
btn,2006,2.8401
btn,2007,2.75627
btn,2008,9.40609
btn,2009,8.40682
btn,2010,6.53088
btn,2011,6.43483
btn,2012,5.75088
btn,2013,8.63186
btn,2014,5.58574
btn,2015,5.75592
btn,2016,5.00175
btn,2017,4.67268
btn,2018,4.13965
bwa,1990,1.41423
bwa,1991,1.50714
bwa,1992,1.48917
bwa,1993,1.49288
bwa,1994,1.91753
bwa,1995,1.69561
bwa,1996,1.25015
bwa,2006,0.86067
bwa,2007,0.87066
bwa,2008,0.92948
bwa,2009,1.23605
bwa,2010,1.64436
bwa,2011,1.52833
bwa,2012,1.61568
bwa,2013,1.40638
bwa,2014,1.25656
bwa,2015,1.70277
bwa,2016,1.53116
bwa,2017,1.75656
bwa,2018,2.04192
bwa,2019,2.21967
caf,2004,7.97672
caf,2008,8.44782
caf,2009,7.84505
caf,2010,5.95006
caf,2011,5.56862
caf,2012,2.94081
caf,2014,1.21386
caf,2015,5.08892
caf,2016,0.68837
caf,2017,1.32537
caf,2018,1.34851
can,1990,30.71049
can,1991,28.7273
can,1992,26.77287
can,1993,26.69402
can,1994,26.6559
can,1995,28.75353
can,1996,26.82838
can,1997,23.32471
can,1998,22.6823
can,1999,21.13327
can,2000,19.7103
can,2001,18.21401
can,2002,16.0237
can,2003,14.80248
can,2004,13.48824
can,2005,12.27662
can,2006,11.69355
can,2007,10.78758
can,2008,10.46094
can,2009,9.95737
can,2010,10.02013
can,2011,9.58783
can,2012,8.76953
can,2013,8.43685
can,2014,7.42401
can,2015,6.68486
can,2016,6.21312
can,2017,5.7258
can,2018,5.93721
can,2019,5.93295
che,1972,1.77376
che,1973,1.65929
che,1974,1.7529
che,1975,2.1795
che,1976,2.01252
che,1977,2.70307
che,1978,2.50642
che,1979,2.48202
che,1980,2.54757
che,1981,2.7928
che,1982,2.56008
che,1983,2.38135
che,1984,2.1462
che,1990,3.34624
che,1991,3.56355
che,1992,4.29299
che,1993,4.16943
che,1994,5.01708
che,1995,4.7743
che,1996,4.26651
che,1997,4.44306
che,1998,4.51596
che,1999,4.78205
che,2000,4.19249
che,2001,4.15544
che,2002,4.09008
che,2003,3.62064
che,2004,3.65196
che,2005,3.98562
che,2006,4.25909
che,2007,3.75452
che,2008,3.26001
che,2009,2.92005
che,2010,2.69452
che,2011,2.40965
che,2012,2.17045
che,2013,1.88131
che,2014,1.75492
che,2015,1.61958
che,2016,1.43039
che,2017,1.15797
che,2018,0.94279
che,2019,0.84348
chl,1972,0
chl,1973,0
chl,1974,2.72374
chl,1975,9.96759
chl,1976,8.09584
chl,1977,9.63761
chl,1978,5.25906
chl,1979,3.27219
chl,1980,2.38062
chl,1981,1.26984
chl,1982,1.79202
chl,1983,4.52872
chl,1984,4.84093
chl,1985,6.81727
chl,1986,6.01643
chl,1987,8.17033
chl,1988,10.49987
chl,1989,8.1166
chl,1990,9.42845
chl,1991,9.77647
chl,1992,6.20923
chl,1993,5.50315
chl,1994,4.39006
chl,1995,3.35585
chl,1996,2.50773
chl,1997,1.91945
chl,1998,3.02595
chl,1999,1.56146
chl,2000,5.64591
chl,2001,5.51222
chl,2002,5.54916
chl,2003,5.54529
chl,2004,4.37163
chl,2005,3.53083
chl,2006,2.68681
chl,2007,2.21513
chl,2008,1.92153
chl,2009,2.78042
chl,2010,2.09687
chl,2011,2.42251
chl,2012,2.74299
chl,2013,2.79957
chl,2014,2.63786
chl,2015,3.11542
chl,2016,3.64143
chl,2017,3.71807
chl,2018,4.12062
chl,2019,4.12053
chn,2005,4.3487
chn,2006,4.35064
chn,2007,2.19739
chn,2008,3.43066
chn,2009,3.24871
chn,2010,3.25995
chn,2011,3.31878
chn,2012,3.43446
chn,2013,3.564
chn,2014,2.55757
chn,2015,3.23797
chn,2016,2.92095
chn,2017,3.1113
chn,2018,2.76221
civ,1995,30.15022
civ,2001,20.57133
civ,2002,19.7672
civ,2003,16.86784
civ,2004,13.28621
civ,2005,12.22054
civ,2006,8.83137
civ,2007,9.67291
civ,2008,9.05016
civ,2009,7.80661
civ,2010,9.25663
civ,2011,14.32613
