geo,time,sl_tlf_0714_ma_zs
ind,2012,1.9
irq,2000,17.44824
irq,2006,17.9
irq,2011,8.3
jam,2002,1.5
jam,2005,11.3
jam,2011,6.4
jor,2007,1.6
jor,2016,2.01
kaz,1996,30.3
kaz,2006,4.4
ken,1999,6.9
ken,2000,40.1
ken,2009,34.94167
kgz,1998,9.7
kgz,2006,5.8
kgz,2007,37.5
kgz,2014,47.24244
khm,2001,52.4
khm,2004,49.6
khm,2009,35
khm,2012,11
lao,2006,17.9
lao,2010,7.6
lbr,2007,37.8
lbr,2010,21.7
lka,1999,20.4
lka,2009,13
lso,2000,34.18427
lso,2002,4
mar,1999,13.5
mar,2004,6
mda,2000,34.121
mda,2009,34.5
mdg,2001,26.12072
mdg,2007,27.7
mex,2004,12.2
mex,2007,10.9
mex,2009,16.5
mex,2010,11.3
mex,2011,9.1
mex,2013,7.35055
mkd,2006,14.8
mkd,2011,20.3
mli,2005,64.4
mli,2006,55
mli,2007,24.2
mli,2013,32.3
mng,2000,23.47364
mng,2005,14.1
mng,2007,11.4
mng,2012,16.5
mng,2013,17.21558
moz,1996,1.9
moz,2008,27.2
mrt,2007,23.9
mrt,2011,16.41397
mwi,2004,45
mwi,2006,41.3
mwi,2011,26.3
mwi,2014,50.88541
mwi,2015,50.79
nam,1999,16.19322
ner,2007,49.2
ner,2009,52.6
ner,2012,50.3
nga,2007,41.2
nga,2010,23.3
nga,2011,34.07294
nic,2001,17.51975
nic,2005,16.2
nic,2010,40.5
nic,2012,56.22113
npl,1999,42.2
npl,2008,36.2
npl,2014,41.50491
pak,2008,15.6
pak,2011,12.5
pan,2003,7.7
pan,2008,12.1
pan,2010,7.5
pan,2012,5.4
pan,2014,7.02001
per,2000,25.7
per,2007,44.8
per,2011,21.9
per,2014,27.37085
per,2015,23.12193
phl,2001,16.26185
phl,2011,10.9
prt,2001,4.58619
pry,2005,22.6
pry,2014,15.70421
rou,2000,1.7
rwa,2000,36.1
rwa,2008,8
rwa,2010,18.4
rwa,2011,4.99246
rwa,2014,6
sdn,2000,21.45267
sdn,2008,15.2
sdn,2014,34.2584
sen,2005,24.4
sen,2011,17.6
sen,2015,37.26406
sle,2000,64.7
sle,2005,63.6
sle,2007,14.9
sle,2008,55
sle,2010,40.8
sle,2013,60.7
slv,2003,17.05505
slv,2007,10.1
slv,2009,10.6
slv,2011,10.35156
slv,2012,10
slv,2013,10.94549
som,2006,45.5
srb,2005,7.2
srb,2014,23.42707
ssd,2008,45.6
swz,2000,11.4
swz,2010,14.5
syr,2006,8.8
tcd,2004,64.4
tcd,2010,32.1
tcd,2015,56.70907
tgo,2006,39.84446
tgo,2010,50.3
tgo,2014,37.0804
tha,2005,15.7
tha,2006,15.7
tjk,1999,7.9
tjk,2005,8.7
tls,2001,7.1
tls,2007,22.2
tto,2000,5.2
tto,2006,4.1
tun,2012,3.9
tur,1999,5.20478
tur,2006,3.3
tza,2001,41.47337
tza,2006,35
tza,2011,30.8
tza,2014,35.26557
uga,2006,39.82124
uga,2012,37.1
ukr,2005,18
ukr,2012,5.1
ury,2009,9.4
uzb,2000,21.99937
uzb,2005,5.3
uzb,2006,5.3
ven,2003,11.4
ven,2005,7.1
ven,2006,6.9
ven,2013,5.3685
vnm,2006,21
vnm,2011,12.5
vnm,2012,11.7
yem,1999,12.38181
yem,2006,20.7
yem,2010,17.1
zaf,1999,29
zmb,2005,48.9289
zmb,2008,35.4
zwe,1999,15.3
