geo,time,per_sa_allsa_cov_pop_tot
per,2013,54.33508
per,2014,56.09762
per,2015,57.82513
per,2016,56.99246
per,2017,59.12132
per,2018,59.29815
per,2019,59.55897
phl,2013,27.35446
phl,2015,33.83041
plw,2006,2.90049
png,2009,3.355
pol,2005,50.5828
pol,2006,49.32769
pol,2007,47.58559
pol,2008,43.29234
pol,2009,41.08965
pol,2010,39.55377
pol,2011,39.33474
pol,2012,38.75305
pol,2015,31.34959
pry,2007,32.72422
pry,2008,38.94794
pry,2009,39.8543
pry,2010,49.72558
pry,2011,47.75478
pry,2012,61.98595
pry,2013,59.91109
pry,2014,58.4356
pry,2015,63.30507
pry,2016,63.37159
pry,2017,64.7301
pry,2018,65.06314
pry,2019,65.62951
pse,2007,11.48965
pse,2009,10.71726
pse,2016,21.18314
rou,2008,55.41553
rou,2011,62.20367
rou,2012,61.83329
rou,2016,58.58158
rus,2007,28.16466
rus,2014,68.00464
rus,2015,66.84949
rus,2016,67.89021
rus,2017,65.83533
rwa,2005,1.87244
rwa,2010,22.53693
rwa,2013,20.08795
sdn,2009,7.44816
sen,2011,8.2371
slb,2005,1.58338
sle,2011,30.15577
sle,2018,16.23559
slv,2007,29.17818
slv,2008,32.14728
slv,2009,42.47755
slv,2010,57.52527
slv,2011,53.97949
slv,2012,56.18152
slv,2014,53.14035
slv,2015,88.29495
slv,2016,88.28631
slv,2017,82.7095
slv,2018,80.62006
slv,2019,83.66776
srb,2007,11.85203
srb,2010,11.27447
srb,2013,11.72431
srb,2015,13.40416
ssd,2009,6.24151
svk,2009,83.19675
swz,2000,44.35985
swz,2009,51.64929
swz,2016,80.36747
tcd,2011,0.57224
tha,2006,43.28243
tha,2009,63.89342
tha,2011,62.58309
tha,2013,59.33326
tha,2017,68.82406
tha,2018,71.88101
tjk,2011,9.74993
tls,2007,26.26865
tls,2011,35.20903
tun,2010,14.42593
tur,2004,27.21968
tur,2005,27.60373
tur,2006,30.50476
tur,2007,33.16355
tur,2008,37.05218
tur,2009,17.96611
tur,2010,18.44495
tur,2011,18.39215
tur,2012,15.86075
tur,2013,16.69057
tur,2014,17.67576
tur,2015,17.10041
tur,2016,17.96038
tur,2018,15.52557
tur,2019,14.45786
tza,2008,8.779
tza,2010,15.71451
tza,2012,19.34533
tza,2014,10.93517
uga,2005,9.84116
uga,2009,6.46921
uga,2012,60.47231
uga,2016,0.6422
ukr,2006,47.44563
ukr,2011,48.98668
ukr,2012,49.51679
ukr,2013,48.07396
ukr,2015,36.62819
ukr,2016,34.74451
ukr,2018,30.1669
ury,2008,48.05973
ury,2009,55.3215
ury,2010,58.74153
ury,2011,57.48321
ury,2012,59.20505
ury,2015,55.87406
ury,2016,57.80718
ury,2017,57.7962
ury,2018,58.22453
ury,2019,59.26156
uzb,2018,6.69206
ven,2006,4.73915
vnm,2006,22.53121
vnm,2010,38.54105
vnm,2012,23.38437
vnm,2014,17.50683
yem,2005,12.57221
zaf,2005,56.58679
zaf,2010,60.80928
zaf,2014,78.65059
zmb,2010,0.72985
zmb,2015,1.46087
zwe,2007,19.97842
zwe,2011,27.72977
zwe,2017,11.40076
zwe,2019,31.0907
