geo,time,tx_mnf_tech_zs_un
can,2009,56.68255
can,2010,55.72266
can,2011,54.48308
can,2012,56.99119
can,2013,56.62545
can,2014,56.63433
can,2015,59.12964
can,2016,60.00086
can,2017,56.64926
can,2018,55.72762
can,2019,57.39183
che,1990,62.27109
che,1991,62.90693
che,1992,63.13039
che,1993,61.68979
che,1994,62.71546
che,1995,64.26325
che,1996,65.20807
che,1997,64.98804
che,1998,66.9259
che,1999,68.0973
che,2000,67.24143
che,2001,67.96067
che,2002,66.52152
che,2003,66.58836
che,2004,67.07072
che,2005,66.91031
che,2006,67.74712
che,2007,68.53183
che,2008,69.02355
che,2009,69.34573
che,2010,69.50104
che,2011,70.44753
che,2012,70.86601
che,2013,71.33497
che,2014,71.14333
che,2015,71.14825
che,2016,71.30823
che,2017,69.95412
che,2018,70.20135
che,2019,71.03304
chl,1990,10.82732
chl,1991,10.68888
chl,1992,10.80901
chl,1993,12.47247
chl,1994,14.24218
chl,1995,9.87095
chl,1996,11.30204
chl,1997,13.00771
chl,1998,14.46876
chl,1999,13.36933
chl,2000,13.80587
chl,2001,14.78246
chl,2002,14.69396
chl,2003,15.9098
chl,2004,12.77932
chl,2005,12.99692
chl,2006,12.64985
chl,2007,11.55557
chl,2008,14.80064
chl,2009,12.57739
chl,2010,11.65057
chl,2011,12.44039
chl,2012,12.22803
chl,2013,11.9203
chl,2014,12.22908
chl,2015,11.71326
chl,2016,11.74071
chl,2017,9.9893
chl,2018,9.18581
chl,2019,8.90549
chn,1990,28.4444
chn,1991,28.4444
chn,1992,28.4444
chn,1993,29.17984
chn,1994,30.93226
chn,1995,35.36765
chn,1996,36.63805
chn,1997,37.15327
chn,1998,40.04187
chn,1999,42.33345
chn,2000,45.49134
chn,2001,47.35703
chn,2002,49.95126
chn,2003,53.95945
chn,2004,57.00627
chn,2005,57.67208
chn,2006,57.93689
chn,2007,58.34434
chn,2008,58.13899
chn,2009,59.76715
chn,2010,60.5224
chn,2011,58.9631
chn,2012,58.44394
chn,2013,58.31999
chn,2014,57.34055
chn,2015,58.72195
chn,2016,59.12774
chn,2017,59.95628
chn,2018,60.52509
chn,2019,60.26161
civ,1990,8.55799
civ,1991,8.55799
civ,1992,8.55799
civ,1993,8.55799
civ,1994,8.55799
civ,1995,8.55799
civ,1996,8.5814
civ,1997,17.46984
civ,1998,23.05303
civ,1999,25.10312
civ,2000,10.18599
civ,2001,20.55969
civ,2002,33.83623
civ,2003,40.42114
civ,2004,39.38988
civ,2005,36.39531
civ,2006,31.09623
civ,2007,26.64773
civ,2008,16.6912
civ,2009,25.04243
civ,2010,32.52356
civ,2011,19.20545
civ,2012,15.58462
civ,2013,51.63055
civ,2014,31.80647
civ,2015,48.66159
civ,2016,32.21988
civ,2017,41.26089
civ,2018,23.45619
civ,2019,25.93415
cmr,1990,19.70904
cmr,1991,19.70904
cmr,1992,19.70904
cmr,1993,7.1922
cmr,1994,7.1922
cmr,1995,7.1922
cmr,1996,8.87663
cmr,1997,9.50286
cmr,1998,9.50286
cmr,1999,6.09618
cmr,2000,6.09618
cmr,2001,3.68806
cmr,2002,11.55429
cmr,2003,13.40199
cmr,2004,8.18289
cmr,2005,3.70598
cmr,2006,2.82626
cmr,2007,13.4188
cmr,2008,24.71319
cmr,2009,19.39612
cmr,2010,11.44696
cmr,2011,28.66105
cmr,2012,14.2645
cmr,2013,18.97087
cmr,2014,16.27847
cmr,2015,14.81445
cmr,2016,10.70076
cmr,2017,12.43698
cmr,2018,12.43698
cmr,2019,12.43698
cog,1990,9.5806
cog,1991,9.5806
cog,1992,9.5806
cog,1993,9.5806
cog,1994,4.76489
cog,1995,6.30294
cog,1996,6.30294
cog,1997,6.30294
cog,1998,6.30294
cog,1999,6.30294
cog,2000,6.30294
cog,2001,6.30294
cog,2002,54.53052
cog,2003,54.53052
cog,2004,54.53052
cog,2005,54.53052
cog,2006,54.53052
cog,2007,54.53052
cog,2008,67.76732
cog,2009,81.62321
cog,2010,83.42318
cog,2011,87.62767
cog,2012,86.71982
cog,2013,85.92998
cog,2014,95.56349
cog,2015,97.20299
cog,2016,96.12449
cog,2017,90.1994
cog,2018,78.97191
cog,2019,39.27216
col,1990,24.20269
col,1991,24.20269
col,1992,24.93012
col,1993,23.34983
col,1994,24.99505
col,1995,30.05451
col,1996,32.10112
col,1997,35.37833
col,1998,37.59686
col,1999,35.98176
col,2000,37.4821
col,2001,39.49667
col,2002,38.79468
col,2003,33.53379
col,2004,36.92878
col,2005,37.94322
col,2006,38.99745
col,2007,41.78048
col,2008,34.59928
col,2009,37.72994
col,2010,35.97157
col,2011,31.97565
col,2012,34.1602
col,2013,38.00231
col,2014,39.9669
col,2015,45.97715
col,2016,42.84594
col,2017,41.12398
