geo,time,cm_mkt_ldom_no
bmu,2019,13
bra,1979,404
bra,1980,426
bra,1981,477
bra,1982,478
bra,1983,505
bra,1984,522
bra,1985,541
bra,1986,592
bra,1987,590
bra,1988,589
bra,1989,592
bra,1990,579
bra,1991,570
bra,1992,565
bra,1993,550
bra,1994,548
bra,1995,543
bra,1996,550
bra,1997,544
bra,1998,527
bra,1999,478
bra,2000,457
bra,2001,426
bra,2002,396
bra,2003,367
bra,2004,357
bra,2005,342
bra,2006,347
bra,2007,395
bra,2008,383
bra,2009,377
bra,2010,373
bra,2011,366
bra,2012,353
bra,2013,352
bra,2014,351
bra,2015,345
bra,2016,338
bra,2017,335
bra,2018,334
bra,2019,324
bra,2020,345
brb,1993,16
brb,1994,19
brb,1995,18
brb,1996,19
brb,1997,18
brb,1998,18
brb,1999,18
brb,2000,22
brb,2001,20
brb,2002,22
brb,2003,22
brb,2004,21
brb,2005,19
brb,2006,16
brb,2007,16
brb,2008,16
brb,2009,16
brb,2010,21
brb,2011,20
brb,2012,19
brb,2013,17
brb,2014,22
brb,2015,20
brb,2016,19
brb,2017,17
brb,2018,16
brb,2019,16
brb,2020,15
bwa,1993,9
bwa,1994,10
bwa,1995,12
bwa,1996,12
bwa,1997,12
bwa,1998,14
bwa,1999,15
bwa,2000,16
bwa,2017,24
bwa,2018,26
can,1975,1488
can,1976,1381
can,1977,1304
can,1978,1188
can,1979,1134
can,1980,1124
can,1981,1167
can,1982,1146
can,1983,1208
can,1984,1303
can,1985,1383
can,1986,1656
can,1987,1861
can,1988,1856
can,1989,1813
can,1990,1763
can,1991,1649
can,1992,1605
can,1993,1673
can,1994,1747
can,1995,1736
can,1996,1801
can,1997,1907
can,1998,1956
can,1999,1538
can,2000,1507
can,2001,1278
can,2002,1252
can,2003,3578
can,2004,3597
can,2005,3719
can,2006,3790
can,2007,3881
can,2008,3755
can,2009,3624
can,2010,3654
can,2011,3845
can,2012,3874
can,2013,3810
can,2014,3691
can,2015,3501
can,2016,3368
can,2017,3278
can,2018,3330
can,2019,3358
can,2020,3922
chanisl,1998,1
chanisl,1999,1
chanisl,2000,1
chanisl,2001,3
chanisl,2002,2
chanisl,2003,2
chanisl,2004,1
chanisl,2005,5
chanisl,2006,11
chanisl,2007,1
che,1975,104
che,1976,106
che,1977,116
che,1978,116
che,1979,117
che,1980,118
che,1981,121
che,1982,119
che,1983,120
che,1984,121
che,1985,131
che,1986,145
che,1987,153
che,1988,161
che,1989,177
che,1990,182
che,1991,182
che,1992,180
che,1993,215
che,1994,216
che,1995,216
che,1996,213
che,1997,216
che,1998,232
che,1999,239
che,2000,252
che,2001,263
che,2002,258
che,2003,289
che,2004,282
che,2005,284
che,2006,256
che,2007,257
che,2008,253
che,2009,257
che,2010,246
che,2011,246
che,2012,238
che,2013,236
che,2014,240
che,2015,234
che,2016,227
che,2017,228
che,2018,236
che,2019,237
che,2020,236
chl,1984,208
chl,1985,215
chl,1986,215
chl,1987,211
chl,1988,203
chl,1989,213
chl,1990,216
chl,1991,223
chl,1992,244
chl,1993,263
chl,1994,281
chl,1995,282
chl,1996,290
chl,1997,294
chl,1998,287
chl,1999,282
chl,2000,260
chl,2001,249
chl,2002,245
chl,2003,239
chl,2004,239
chl,2005,245
chl,2006,244
chl,2007,238
chl,2008,235
chl,2009,232
chl,2010,227
chl,2011,229
chl,2012,225
chl,2013,227
chl,2014,230
chl,2015,223
chl,2016,214
chl,2017,212
chl,2018,205
chl,2019,203
chl,2020,194
chn,1995,323
chn,1996,524
chn,1997,799
chn,1998,909
chn,1999,947
chn,2000,1086
chn,2001,1154
chn,2002,1223
chn,2003,1285
chn,2004,1373
chn,2005,1377
chn,2006,1421
chn,2007,1530
chn,2008,1604
chn,2009,1700
chn,2010,2063
chn,2011,2342
chn,2012,2494
chn,2013,2489
chn,2014,2613
chn,2015,2827
chn,2016,3052
chn,2017,3485
chn,2018,3584
chn,2019,3777
chn,2020,4154
civ,1993,30
civ,1994,30
civ,1995,31
civ,1996,31
civ,1998,35
civ,1999,38
civ,2000,41
civ,2001,38
civ,2002,38
civ,2003,39
civ,2004,39
civ,2005,39
civ,2006,40
civ,2007,38
civ,2008,38
civ,2009,38
civ,2010,39
civ,2011,39
civ,2012,37
civ,2013,37
civ,2014,38
civ,2015,39
civ,2016,43
civ,2017,45
civ,2018,45
civ,2019,46
civ,2020,46
col,1990,80
col,1991,83
col,1992,83
col,1993,89
col,1994,113
col,1995,117
col,1996,126
col,1997,128
col,1998,118
col,1999,85
col,2000,73
col,2001,120
col,2002,110
col,2003,110
col,2004,106
col,2005,98
col,2006,94
col,2007,90
col,2008,89
col,2009,87
col,2010,84
col,2011,79
col,2012,76
col,2013,72
col,2014,70
col,2015,69
col,2016,68
col,2017,67
col,2018,66
col,2019,66
col,2020,65
cri,1983,15
cri,1985,16
cri,1986,16
cri,1990,24
cri,1991,17
cri,1992,23
cri,1993,29
cri,1994,31
cri,1995,25
cri,1996,25
cri,1997,23
cri,1998,22
cri,1999,21
cri,2000,23
cri,2001,25
cri,2002,23
cri,2003,22
cri,2004,22
cri,2005,20
cri,2006,18
cri,2007,12
cri,2008,11
cri,2009,9
cri,2010,9
cri,2011,9
cri,2012,9
cri,2013,9
cri,2014,9
cri,2015,10
cri,2016,10
cri,2017,10
cri,2018,10
cri,2019,10
cri,2020,10
cym,1997,1
cym,1998,2
cym,1999,1
cym,2000,1
cym,2001,1
cym,2002,1
cym,2003,1
cym,2004,1
cym,2005,1
cym,2006,1
cym,2007,2
cym,2008,2
cym,2009,2
cym,2010,2
cym,2011,5
cym,2012,3
cym,2015,6
cym,2018,4
cym,2019,4
cym,2020,4
cyp,1993,36
cyp,1994,35
cyp,1995,37
cyp,1996,39
cyp,1997,40
cyp,1998,45
cyp,1999,48
cyp,2000,93
cyp,2001,120
cyp,2002,130
cyp,2003,133
cyp,2004,124
cyp,2005,119
cyp,2006,141
cyp,2007,124
cyp,2008,119
cyp,2009,115
cyp,2010,110
cyp,2011,106
cyp,2012,101
cyp,2013,95
cyp,2014,94
cyp,2015,84
cyp,2016,81
cyp,2017,74
cyp,2018,91
cyp,2019,96
cyp,2020,92
cze,1993,3
cze,1994,28
cze,1995,54
cze,1996,82
cze,1997,91
cze,1998,92
cze,1999,74
cze,2000,57
cze,2001,47
cze,2002,44
cze,2003,37
cze,2004,33
cze,2005,23
cze,2006,15
cze,2007,13
cze,2008,19
cze,2009,16
cze,2010,16
cze,2011,15
cze,2012,17
cze,2013,15
cze,2014,13
cze,2015,15
cze,2019,17
cze,2020,20
deu,1975,471
deu,1976,469
deu,1977,465
deu,1978,459
deu,1979,458
deu,1980,459
deu,1981,456
deu,1982,450
deu,1983,442
deu,1984,449
deu,1985,472
deu,1986,492
deu,1987,574
deu,1988,609
deu,1989,408
deu,1990,413
deu,1991,665
deu,1992,665
deu,1993,664
deu,1994,666
deu,1995,678
deu,1996,681
deu,1997,700
deu,1998,741
deu,1999,617
deu,2000,744
deu,2001,749
deu,2002,715
deu,2003,684
deu,2004,660
deu,2005,648
deu,2006,656
deu,2007,761
deu,2008,742
deu,2009,704
deu,2010,690
deu,2011,670
deu,2012,665
deu,2013,639
deu,2014,595
deu,2015,555
deu,2016,531
deu,2017,450
deu,2018,465
deu,2019,470
deu,2020,438
dnk,1975,248
dnk,1976,247
dnk,1977,245
dnk,1978,231
dnk,1979,224
dnk,1980,218
dnk,1981,210
dnk,1982,206
dnk,1983,206
dnk,1984,231
dnk,1985,243
dnk,1986,274
dnk,1987,269
dnk,1988,260
dnk,1989,272
dnk,1990,273
dnk,1991,260
dnk,1992,257
dnk,1993,206
dnk,1994,242
dnk,1995,242
dnk,1996,237
dnk,1997,237
dnk,1998,242
dnk,1999,233
dnk,2000,225
dnk,2001,208
dnk,2002,193
dnk,2003,188
dnk,2004,178
ecu,1995,37
ecu,1996,42
ecu,1997,41
ecu,1998,36
ecu,1999,36
ecu,2000,26
egy,1997,654
egy,1998,869
egy,1999,1032
egy,2000,1075
egy,2001,1109
egy,2002,1150
egy,2003,977
egy,2004,795
egy,2005,744
egy,2006,595
egy,2007,435
egy,2008,373
egy,2009,312
egy,2010,227
egy,2011,231
egy,2012,234
egy,2013,235
egy,2014,246
egy,2015,250
egy,2016,251
egy,2017,252
egy,2018,250
egy,2019,246
egy,2020,240
esp,1975,941
esp,1976,1019
esp,1977,519
esp,1978,1034
esp,1979,978
esp,1980,943
esp,1981,944
esp,1982,874
esp,1983,772
esp,1984,750
esp,1985,687
esp,1986,636
esp,1987,642
esp,1988,691
esp,1989,851
esp,1990,867
esp,1991,868
esp,1992,801
esp,1993,612
esp,1994,607
esp,1995,604
esp,1996,605
esp,1997,670
esp,1998,897
esp,1999,1394
esp,2000,1720
esp,2001,2959
esp,2002,2986
esp,2003,3191
esp,2006,3339
esp,2007,3498
esp,2008,3538
esp,2009,3435
esp,2010,3310
esp,2011,3241
esp,2012,3167
esp,2013,3213
esp,2014,3419
esp,2015,3623
esp,2016,3480
esp,2017,3110
esp,2018,2979
esp,2019,2870
esp,2020,2711
est,1998,25
est,1999,23
est,2000,20
est,2001,17
est,2002,14
est,2003,14
fin,1983,48
fin,1984,52
fin,1985,50
fin,1986,49
fin,1987,49
fin,1988,66
fin,1989,79
fin,1990,73
fin,1991,63
fin,1992,61
fin,1993,57
fin,1994,65
fin,1995,73
fin,1996,113
fin,1997,124
fin,1998,129
fin,1999,147
fin,2000,158
fin,2001,152
fin,2002,147
fin,2003,142
fin,2004,134
fra,1975,724
fra,1976,685
fra,1977,674
fra,1978,630
fra,1979,595
fra,1980,586
fra,1981,568
fra,1982,535
fra,1983,518
fra,1984,504
fra,1985,489
fra,1986,482
fra,1987,481
fra,1988,459
fra,1989,462
fra,1990,443
fra,1991,839
fra,1992,786
fra,1993,726
fra,1994,218
fra,1995,710
fra,1996,708
fra,1997,740
fra,1998,784
fra,1999,1144
fra,2000,1185
fra,2001,936
fra,2002,874
fra,2003,817
fra,2004,787
fra,2005,749
fra,2006,730
fra,2007,707
fra,2008,673
fra,2009,652
fra,2010,617
fra,2011,586
fra,2012,562
fra,2013,500
fra,2014,495
fra,2015,490
fra,2016,485
fra,2017,465
fra,2018,457
gbr,1975,2820
gbr,1976,2568
gbr,1977,2853
gbr,1978,2795
gbr,1979,2722
gbr,1980,2659
gbr,1981,2403
gbr,1982,2279
gbr,1983,2217
gbr,1984,2171
gbr,1985,2116
gbr,1986,2101
gbr,1987,2061
gbr,1988,1993
gbr,1989,1955
gbr,1990,1946
gbr,1991,2027
gbr,1992,1918
gbr,1993,1927
gbr,1994,1747
gbr,1995,1971
gbr,1996,2041
gbr,1997,2046
gbr,1998,2399
gbr,1999,2292
gbr,2000,2428
gbr,2001,2438
gbr,2002,2405
gbr,2003,2311
gbr,2004,2486
gbr,2005,2757
gbr,2006,2913
gbr,2007,2588
gbr,2008,2415
gbr,2009,2179
gbr,2010,2105
gbr,2011,1987
gbr,2012,1879
gbr,2013,1857
gbr,2014,1858
gha,1993,15
gha,1994,17
gha,1995,19
gha,1996,21
gha,1997,21
gha,1998,21
gha,1999,22
gha,2000,22
gha,2001,22
gha,2002,23
gha,2003,25
gha,2004,28
gha,2005,27
gha,2006,29
gha,2007,29
gha,2008,31
gha,2009,31
gha,2010,31
gha,2011,29
gha,2012,29
gha,2013,29
gha,2019,33
gha,2020,31
grc,1980,116
grc,1981,111
grc,1982,113
grc,1983,113
grc,1984,114
grc,1985,114
grc,1986,114
grc,1987,116
grc,1988,119
grc,1989,119
grc,1990,145
grc,1991,159
grc,1992,164
grc,1993,135
grc,1994,180
grc,1995,186
grc,1996,200
grc,1997,210
grc,1998,246
grc,1999,262
grc,2000,309
grc,2001,313
grc,2002,313
grc,2003,339
grc,2004,319
grc,2005,302
grc,2006,288
grc,2007,289
grc,2008,289
grc,2009,285
grc,2010,277
grc,2011,269
grc,2012,262
grc,2013,248
grc,2014,240
grc,2015,236
grc,2016,213
grc,2017,196
grc,2018,183
grc,2019,176
grc,2020,171
hkg,1975,136
hkg,1976,134
hkg,1977,130
hkg,1978,130
hkg,1979,133
hkg,1980,137
hkg,1985,260
hkg,1986,248
hkg,1987,264
hkg,1988,282
hkg,1989,284
hkg,1990,284
hkg,1991,333
hkg,1992,386
hkg,1993,450
hkg,1994,502
hkg,1995,518
hkg,1996,561
hkg,1997,638
hkg,1998,665
hkg,1999,688
hkg,2000,779
hkg,2001,857
hkg,2002,968
hkg,2003,1027
hkg,2004,1086
hkg,2005,1126
hkg,2006,1165
hkg,2007,1232
hkg,2008,1251
hkg,2009,1308
hkg,2010,1396
hkg,2011,1472
hkg,2012,1459
hkg,2013,1553
hkg,2014,1661
hkg,2015,1770
hkg,2016,1872
hkg,2017,1987
hkg,2018,2161
hkg,2019,2272
hkg,2020,2353
hnd,1995,93
hnd,1996,105
hnd,1997,107
hnd,1998,104
hnd,2001,41
hrv,1993,2
hrv,1994,36
hrv,1995,61
hrv,1996,71
hrv,1997,77
hrv,1998,50
hrv,1999,61
hrv,2000,63
hrv,2001,63
hrv,2002,67
hrv,2003,157
hrv,2004,166
hrv,2005,177
hrv,2006,182
hrv,2007,359
hrv,2008,356
hrv,2009,271
hrv,2010,240
hrv,2011,233
hrv,2012,211
hrv,2013,192
hrv,2014,193
hrv,2015,186
hrv,2016,160
hrv,2017,155
hrv,2018,127
hrv,2019,119
hrv,2020,104
hun,1990,6
hun,1991,20
hun,1992,23
hun,1993,28
hun,1994,40
hun,1995,42
hun,1996,44
hun,1997,47
hun,1998,53
hun,1999,64
hun,2000,58
hun,2001,55
hun,2002,48
hun,2003,50
hun,2004,47
hun,2005,44
hun,2006,41
hun,2007,39
hun,2008,40
hun,2009,42
hun,2010,48
hun,2011,52
hun,2012,51
hun,2013,50
hun,2014,48
hun,2015,45
hun,2016,43
hun,2017,41
hun,2018,43
hun,2019,44
hun,2020,45
idn,1980,6
idn,1981,8
idn,1982,13
idn,1983,23
idn,1984,24
idn,1985,24
idn,1986,24
idn,1987,24
idn,1988,24
idn,1989,57
idn,1990,123
idn,1991,139
idn,1992,153
idn,1993,172
idn,1994,217
idn,1995,237
idn,1996,252
idn,1997,281
idn,1998,287
idn,1999,276
idn,2000,286
idn,2001,315
idn,2002,330
idn,2003,333
idn,2004,331
idn,2005,336
idn,2006,344
idn,2007,383
idn,2008,396
idn,2009,398
idn,2010,420
idn,2011,440
idn,2012,459
idn,2013,483
idn,2014,506
idn,2015,521
idn,2016,537
idn,2017,566
idn,2018,619
idn,2019,668
idn,2020,713
ind,1983,1151
ind,1984,1295
ind,1985,1529
ind,1986,1911
ind,1987,2095
ind,1988,2240
ind,1989,2407
ind,1990,2435
ind,1991,2556
ind,1992,2781
ind,1993,3263
ind,1994,4413
ind,1995,5398
ind,1996,5999
ind,1997,5843
ind,1998,5724
ind,1999,5789
ind,2000,5853
ind,2001,5795
ind,2002,5650
ind,2003,5644
ind,2004,4725
ind,2005,4763
ind,2006,4796
ind,2007,4887
ind,2008,4921
ind,2009,4955
ind,2010,5034
ind,2011,5112
ind,2012,5191
ind,2013,5294
ind,2014,5541
ind,2015,5835
ind,2016,5820
ind,2017,5615
ind,2018,5065
ind,2019,5215
ind,2020,5215
irl,1995,80
irl,1996,93
irl,1997,83
irl,1998,78
irl,1999,84
irl,2000,76
irl,2001,68
irl,2002,62
irl,2003,55
irl,2004,53
irl,2005,53
irl,2006,57
irl,2007,60
irl,2008,58
irl,2009,55
irl,2010,50
irl,2011,48
irl,2012,42
irl,2013,41
irl,2014,43
irl,2015,43
irl,2016,40
irl,2017,41
irl,2018,43
irn,1975,54
irn,1976,60
irn,1977,84
irn,1978,106
irn,1991,97
irn,1992,118
irn,1993,119
irn,1994,142
irn,1995,142
irn,1996,221
irn,1997,250
irn,1998,277
irn,1999,295
irn,2000,285
irn,2001,297
irn,2002,307
irn,2003,345
irn,2004,404
irn,2005,408
irn,2006,320
irn,2007,329
irn,2008,356
irn,2009,364
irn,2010,369
irn,2011,348
irn,2012,322
irn,2013,314
irn,2014,315
irn,2015,318
irn,2016,325
irn,2017,326
irn,2018,323
irn,2019,331
irn,2020,367
isl,1993,17
isl,1994,24
isl,1995,27
isl,1996,26
isl,1997,41
isl,1998,67
isl,1999,64
isl,2000,64
isl,2001,62
isl,2002,64
isl,2003,48
isl,2004,34
isr,1979,107
isr,1980,117
isr,1981,136
isr,1982,212
isr,1983,258
isr,1984,269
isr,1985,267
isr,1986,255
isr,1987,268
isr,1988,265
isr,1989,208
isr,1990,216
isr,1991,285
isr,1992,377
isr,1993,556
isr,1994,636
isr,1995,652
isr,1996,653
isr,1997,657
isr,1998,661
isr,1999,653
isr,2000,664
isr,2001,648
isr,2002,622
isr,2003,573
isr,2004,573
isr,2005,579
isr,2006,601
isr,2007,643
isr,2008,630
isr,2009,609
isr,2010,596
isr,2011,576
isr,2012,532
isr,2013,491
isr,2014,458
isr,2015,440
isr,2016,427
isr,2017,431
isr,2018,420
isr,2019,414
isr,2020,426
ita,1975,152
ita,1976,154
ita,1977,154
ita,1978,142
ita,1979,138
ita,1980,134
ita,1981,132
ita,1982,138
ita,1983,139
ita,1984,143
ita,1985,147
ita,1986,184
ita,1987,204
ita,1988,211
ita,1989,217
ita,1990,220
ita,1991,265
ita,1992,255
ita,1993,242
ita,1994,256
ita,1995,250
ita,1996,244
ita,1997,235
ita,1998,243
ita,1999,270
ita,2000,297
ita,2001,294
ita,2002,295
ita,2003,271
ita,2004,269
ita,2005,275
ita,2006,284
ita,2007,301
ita,2008,294
ita,2009,291
ita,2010,290
ita,2011,311
ita,2012,303
ita,2013,285
ita,2014,290
jam,1993,50
jam,1994,49
jam,1995,50
jam,1996,49
jam,1997,48
jam,1998,47
jam,1999,42
jam,2000,42
jam,2001,38
jam,2002,41
jam,2010,48
jam,2011,50
jam,2012,50
jam,2013,53
jam,2014,59
jam,2015,59
jam,2016,64
jam,2017,71
jam,2018,76
jam,2019,87
jam,2020,89
jor,1993,101
jor,1994,95
jor,1995,126
jor,1996,132
jor,1997,139
jor,1998,150
jor,1999,151
jor,2000,163
jor,2001,161
jor,2002,158
jor,2003,161
jor,2004,192
jor,2005,201
jor,2006,227
jor,2007,245
jor,2008,262
jor,2009,272
jor,2010,277
jor,2011,247
jor,2012,243
jor,2013,239
jor,2014,236
jor,2015,228
jor,2016,224
jor,2017,194
jor,2018,195
jor,2019,191
jor,2020,179
jpn,1975,1398
jpn,1976,1401
jpn,1977,1407
jpn,1978,1389
jpn,1979,1398
jpn,1980,1402
jpn,1981,1412
jpn,1982,1427
jpn,1983,1441
jpn,1984,1444
jpn,1985,1476
jpn,1986,1499
jpn,1987,1532
jpn,1988,1571
jpn,1989,1597
jpn,1990,1627
jpn,1991,1641
jpn,1992,1651
jpn,1993,1667
jpn,1994,1689
jpn,1995,1714
jpn,1996,1766
jpn,1997,1805
jpn,1998,1818
jpn,1999,1889
jpn,2000,2055
jpn,2001,2103
jpn,2002,2119
jpn,2003,2174
jpn,2004,2276
jpn,2005,2323
jpn,2006,2391
jpn,2007,2389
jpn,2008,2374
jpn,2009,2320
jpn,2010,2281
jpn,2011,2280
jpn,2012,2294
jpn,2013,3408
jpn,2014,3458
jpn,2015,3504
jpn,2016,3535
jpn,2017,3598
jpn,2018,3652
jpn,2019,3704
jpn,2020,3754
kaz,1997,11
kaz,1998,18
kaz,2002,50
kaz,2003,68
kaz,2004,75
kaz,2005,62
kaz,2006,67
kaz,2007,66
kaz,2008,72
kaz,2009,70
kaz,2010,61
kaz,2011,63
kaz,2012,74
kaz,2013,72
kaz,2014,68
kaz,2015,78
kaz,2016,85
kaz,2017,90
kaz,2018,97
kaz,2019,94
kaz,2020,94
ken,1993,38
ken,1994,40
ken,1995,56
ken,1996,57
ken,1997,57
ken,1998,57
ken,2000,56
ken,2001,57
ken,2002,49
ken,2003,47
ken,2004,48
ken,2005,48
ken,2006,52
ken,2007,55
ken,2008,55
ken,2009,55
ken,2010,55
ken,2011,58
ken,2012,60
ken,2013,61
ken,2014,65
ken,2015,64
ken,2016,65
ken,2017,64
ken,2019,59
ken,2020,60
kor,1979,355
kor,1980,352
kor,1981,343
kor,1982,334
kor,1983,328
kor,1984,336
kor,1985,342
kor,1986,355
kor,1987,389
kor,1988,502
kor,1989,629
kor,1990,677
kor,1991,686
kor,1992,688
kor,1993,693
kor,1994,699
kor,1995,721
kor,1996,760
kor,1997,776
kor,1998,748
kor,1999,712
kor,2000,1242
kor,2001,1390
kor,2002,1512
kor,2003,1558
kor,2004,1570
kor,2005,1616
kor,2006,1689
kor,2007,1755
kor,2008,1789
kor,2009,1778
kor,2010,1781
kor,2011,1799
kor,2012,1767
kor,2013,1798
kor,2014,1849
kor,2015,1948
kor,2016,2039
kor,2017,2114
kor,2018,2186
kor,2019,2262
kor,2020,2318
kwt,1993,40
kwt,1994,41
kwt,1995,45
kwt,1996,53
kwt,1997,65
kwt,1998,68
kwt,1999,76
kwt,2000,77
kwt,2001,78
kwt,2002,87
kwt,2003,98
kwt,2004,108
kwt,2005,147
kwt,2006,164
kwt,2011,215
kwt,2012,199
kwt,2013,196
kwt,2019,164
kwt,2020,163
lbn,1996,6
lbn,1997,8
lbn,1998,11
lbn,1999,12
lbn,2000,12
lbn,2001,13
lbn,2002,11
lbn,2003,11
lbn,2004,11
lbn,2005,11
lbn,2006,11
lbn,2007,11
lbn,2008,11
lbn,2009,10
lbn,2010,10
lbn,2011,10
lbn,2012,10
lbn,2013,10
lbn,2014,10
lbn,2015,10
lbn,2016,10
lbn,2017,10
lbn,2018,10
lbn,2019,10
lbn,2020,10
lka,1993,197
lka,1994,211
lka,1995,226
lka,1996,235
lka,1997,239
lka,1998,240
lka,1999,237
lka,2000,239
lka,2001,238
lka,2002,238
lka,2003,244
lka,2004,242
lka,2005,239
lka,2006,237
lka,2007,235
lka,2008,235
lka,2009,231
lka,2010,241
lka,2011,272
lka,2012,287
lka,2013,289
lka,2014,294
lka,2015,294
lka,2016,295
lka,2017,296
lka,2018,297
lka,2019,289
lka,2020,283
ltu,1998,60
ltu,1999,52
ltu,2000,53
ltu,2001,45
ltu,2002,46
ltu,2003,45
lux,1975,76
lux,1976,73
lux,1977,73
lux,1978,68
lux,1979,69
lux,1980,74
lux,1981,80
lux,1982,88
lux,1983,102
lux,1984,134
lux,1985,175
lux,1986,253
lux,1987,347
lux,1988,52
lux,1989,54
lux,1990,54
lux,1991,62
lux,1992,59
lux,1993,56
lux,1994,67
lux,1995,55
lux,1996,54
lux,1997,56
lux,1998,53
lux,1999,50
lux,2000,54
lux,2001,49
lux,2002,47
lux,2003,44
lux,2004,42
lux,2005,39
