geo,time,se_sec_uner_lo_zs
bdi,2010,30.82981
bdi,2017,31.06438
bdi,2018,32.79
bdi,2019,33.66905
bdi,2021,29.66191
bel,1977,2.13308
bel,1993,0.01796
bel,1994,0.23438
bel,1995,0.0719
bel,1996,0.87023
bel,1999,3.29027
bel,2000,1.4413
bel,2001,0.05233
bel,2002,0.06534
bel,2003,0.11723
bel,2004,0.02047
bel,2005,0.2255
bel,2006,1.07105
bel,2007,4.43323
bel,2008,5.41413
bel,2009,3.96537
bel,2010,2.21689
bel,2011,1.37316
bel,2012,1.34263
bel,2013,0.69984
bel,2014,0.7684
bel,2015,2.41607
bel,2016,2.89364
bel,2017,1.38069
bel,2018,0.85869
bel,2019,0.33254
ben,2013,34.40871
ben,2015,50.95258
ben,2020,42.07975
bfa,1983,92.92919
bfa,1989,88.28339
bfa,1999,79.47747
bfa,2001,83.8614
bfa,2003,81.15892
bfa,2004,79.54778
bfa,2005,80.63723
bfa,2006,77.7369
bfa,2007,76.66322
bfa,2008,73.68936
bfa,2009,69.44449
bfa,2010,54.06419
bfa,2011,52.39811
bfa,2012,49.98914
bfa,2013,46.91768
bfa,2014,44.03561
bfa,2015,41.97937
bfa,2016,48.02017
bfa,2017,46.96154
bfa,2018,43.84543
bfa,2019,46.14564
bfa,2020,46.70875
bgd,2005,30.08029
bgd,2006,30.38914
bgd,2009,27.31813
bgd,2010,25.71058
bgd,2014,39.78434
bgd,2015,36.92204
bgd,2016,34.86089
bgd,2017,33.12739
bgr,1996,4.63534
bgr,1997,4.26636
bgr,1998,3.69893
bgr,1999,4.41695
bgr,2000,4.43516
bgr,2001,3.40096
bgr,2002,3.50396
bgr,2003,3.01611
bgr,2004,3.44938
bgr,2005,4.18417
bgr,2006,6.84369
bgr,2007,8.03069
bgr,2008,9.57558
bgr,2009,10.77898
bgr,2010,9.14823
bgr,2011,5.40557
bgr,2012,3.64174
bgr,2013,0.24464
bgr,2014,0.22432
bgr,2015,2.81728
bgr,2016,7.13146
bgr,2017,10.05083
bgr,2018,12.85758
bgr,2019,14.57411
bhr,1977,8.63571
bhr,1978,8.89927
bhr,1979,7.90116
bhr,1982,6.11072
bhr,1983,2.57811
bhr,1984,8.69457
bhr,1985,3.88905
bhr,1986,5.55917
bhr,1987,7.05956
bhr,1989,3.34572
bhr,1992,0
bhr,1994,0.20532
bhr,1995,0.24437
bhr,1997,2.16327
bhr,1998,1.19235
bhr,1999,0.56763
bhr,2000,2.07009
bhr,2001,0.32451
bhr,2002,0.88223
bhr,2003,0.75116
bhr,2004,1.68351
bhr,2005,3.04678
bhr,2006,3.21578
bhr,2011,9.82535
bhr,2012,10.82564
bhr,2013,5.95225
bhr,2014,2.79025
bhr,2015,2.41261
bhr,2016,2.98299
bhr,2017,3.97659
bhr,2018,4.74
bhr,2019,3.73934
bhs,1992,0.46871
bhs,1999,8.04315
bhs,2004,11.33458
bhs,2005,3.41481
bih,2014,24.24376
bih,2015,17.38827
bih,2016,10.07812
bih,2017,6.82525
bih,2018,6.18157
blr,2001,2.86079
blr,2002,2.25326
blr,2003,2.19775
blr,2004,1.05273
blr,2005,1.10563
blr,2006,1.20331
blr,2007,1.49096
blr,2010,1.99416
blr,2011,2.06899
blr,2012,2.00662
blr,2013,0.09632
blr,2014,0.01425
blr,2015,0.07445
blr,2016,0.15147
blr,2017,1.29167
blr,2018,1.05734
blz,1999,9.99649
blz,2000,5.45985
blz,2001,7.88672
blz,2003,3.492
blz,2005,8.00199
blz,2006,10.16419
blz,2007,10.75444
blz,2008,12.22637
blz,2009,12.84918
blz,2010,13.17363
blz,2011,13.77679
blz,2012,9.29974
blz,2013,9.02841
blz,2014,9.73825
blz,2015,11.18837
blz,2016,12.33727
blz,2017,11.22523
blz,2018,10.11157
blz,2019,10.04216
blz,2020,15.2496
bmu,2011,17.18155
bol,1998,11.07794
bol,1999,4.55636
bol,2000,2.80915
bol,2009,3.63887
bol,2010,4.33926
bol,2011,6.02476
bol,2012,3.50823
bol,2013,4.43794
bol,2014,8.37771
bol,2015,10.76599
bol,2016,12.81904
bol,2017,14.52396
bol,2018,13.46808
bra,2007,5.11337
bra,2009,1.03012
bra,2011,3.36431
bra,2012,5.60056
bra,2013,4.4973
bra,2014,5.18532
bra,2015,4.43386
bra,2016,3.18607
bra,2017,4.46415
bra,2018,2.43722
bra,2019,2.35421
brb,1981,5.75395
brb,1983,6.52847
brb,1989,9.58615
brb,1999,3.54098
brb,2000,6.05711
brb,2001,7.99005
brb,2002,1.95703
brb,2003,3.00601
brb,2004,2.45922
brb,2005,3.97251
brb,2006,4.67699
brb,2007,8.42463
brb,2008,14.13473
brb,2009,9.5056
brb,2010,10.30675
brb,2011,7.25161
brb,2014,1.19816
brb,2015,1.19533
brb,2016,3.0931
brb,2017,1.81276
brb,2018,3.83275
brb,2019,5.01319
brb,2020,3.66317
brn,1977,16.29231
brn,1978,16.0308
brn,1979,13.85868
brn,1980,13.34279
brn,1981,12.31322
brn,1982,13.34423
brn,1983,11.00934
brn,1984,13.05337
brn,2005,0.26159
brn,2006,1.71204
brn,2007,1.12253
brn,2008,0.41437
brn,2009,1.34105
brn,2010,2.85036
brn,2011,0.51716
brn,2012,0.7282
brn,2013,1.38293
brn,2014,2.79116
brn,2015,1.35317
brn,2016,0.97257
brn,2017,0.18333
brn,2018,0.3205
brn,2019,3.12668
brn,2020,0.2562
btn,1998,52.86125
btn,1999,50.71575
btn,2000,48.81706
btn,2001,46.07398
btn,2005,36.26401
btn,2006,33.44344
btn,2008,26.02673
btn,2009,26.13514
btn,2010,22.42971
btn,2011,19.74017
btn,2012,16.55831
btn,2013,18.61541
btn,2015,15.02018
btn,2016,14.41619
btn,2017,13.10727
btn,2018,12.01717
bwa,1971,59.06643
bwa,1972,60.50866
bwa,1973,46.56439
bwa,1974,48.88308
bwa,1975,50.73468
bwa,1976,52.04547
bwa,1977,49.82383
bwa,1978,47.97315
bwa,1979,42.56537
bwa,1980,39.73534
bwa,1981,55.4415
bwa,1984,37.87674
bwa,1985,35.26973
bwa,1986,39.72347
bwa,1989,18.05951
bwa,1990,17.93601
bwa,1991,8.60417
bwa,1992,14.21734
bwa,1993,11.38553
bwa,1994,8.96242
bwa,1995,3.94184
bwa,1999,2.29421
bwa,2000,3.16921
bwa,2002,1.71666
bwa,2003,1.60771
bwa,2012,7.92196
bwa,2013,5.74605
bwa,2014,4.778
bwa,2015,6.56958
bwa,2017,9.94483
caf,1971,71.03724
caf,1972,75.71856
caf,1973,72.46249
caf,2009,58.20561
caf,2011,55.51435
caf,2012,55.90618
caf,2017,52.11755
can,1994,0.4347
can,2012,0.30094
can,2013,0.48872
can,2014,0.28736
can,2015,0.07248
che,1981,6.09509
che,1982,7.47509
che,1983,8.81901
che,1984,9.32533
che,1985,9.49328
che,1986,9.54425
che,1987,10.062
che,1988,10.84397
che,1989,11.77043
che,1990,11.19892
che,1991,9.34903
che,1992,7.08294
che,1993,5.18394
che,1994,4.19665
che,1999,2.62841
che,2000,1.64196
che,2001,1.82965
che,2002,0.64189
che,2003,0.13621
che,2004,0.14386
che,2005,0.02845
che,2006,0.17246
che,2013,1.19195
che,2014,0.04502
che,2015,0.29564
che,2016,0.44564
che,2017,1.48403
che,2018,0.97721
che,2019,0.61493
chl,2007,4.28372
chl,2008,4.35434
chl,2009,5.23668
chl,2010,3.09739
chl,2011,2.72605
chl,2012,2.88218
chl,2013,2.11233
chl,2014,1.28685
chl,2015,2.17895
chl,2016,3.31977
chl,2017,5.03872
chl,2018,5.29436
chl,2019,3.86558
civ,2013,57.04552
civ,2014,50.39536
civ,2015,51.81183
civ,2016,46.24226
civ,2017,44.10792
civ,2018,45.98387
civ,2019,44.40784
civ,2020,41.7614
cmr,1971,55.31357
cmr,1972,54.41538
cmr,1973,55.63657
cmr,1974,42.97365
cmr,1975,51.69573
cmr,1976,51.57634
cmr,1977,51.784
cmr,1978,50.99196
cmr,1979,50.27079
cmr,1980,49.8557
cmr,2012,38.07082
cmr,2014,36.37883
cmr,2015,35.40982
cmr,2016,36.71663
cod,1992,49.63392
cod,1993,47.46346
cod,1994,55.50583
cog,1972,30.27692
cog,1974,22.16687
cog,1976,17.92351
col,2005,14.38162
col,2006,9.26876
col,2007,7.58938
col,2008,6.66185
col,2009,4.41979
col,2010,4.6203
col,2011,2.56776
col,2012,4.44763
col,2013,4.3077
col,2014,5.9493
col,2015,7.97015
col,2016,8.37236
col,2017,7.50454
col,2018,5.90651
col,2019,3.34086
com,2013,26.54238
com,2014,27.8646
com,2017,29.51634
com,2018,19.20764
cpv,1987,49.28076
cpv,1994,42.6015
cpv,2002,0.77995
cpv,2003,4.00826
cpv,2004,6.17032
cpv,2005,4.01114
cpv,2006,6.73084
cpv,2007,7.29958
cpv,2009,6.71755
cpv,2010,7.56124
cpv,2012,7.3273
cpv,2013,6.75264
cpv,2014,8.69705
cpv,2015,11.18148
cpv,2016,12.70146
cpv,2017,13.31674
cpv,2018,13.46474
cpv,2019,12.51439
cri,1970,33.57386
cri,1973,32.70651
cri,1975,37.45304
cri,1976,37.43595
cri,1979,30.78454
cri,1981,30.94713
cri,1982,34.25256
cri,1985,33.75266
cri,1986,31.83287
cri,1987,31.74353
cri,1989,31.58519
cri,1990,30.1812
cri,1991,28.91045
cri,1992,26.83681
cri,1993,26.66757
cri,1994,22.93241
cri,1995,25.35555
cri,1996,30.72377
cri,2011,8.34494
cri,2012,8.29716
cri,2013,6.4557
cri,2014,6.26016
cri,2015,5.8815
cri,2016,5.44125
cri,2017,8.59513
cri,2018,3.75117
cri,2019,1.91449
cri,2020,3.8524
cub,1972,25.7839
cub,1973,22.44889
cub,1974,21.13481
cub,1979,8.05004
cub,1986,9.63607
cub,1987,12.85284
cub,1988,16.53852
cub,1989,15.19238
cub,1990,12.58819
cub,1991,12.53315
cub,1992,14.91318
cub,1994,21.3287
cub,1999,3.42091
cub,2000,3.9649
cub,2001,6.74874
cub,2002,3.38835
cub,2003,0.02543
cub,2004,0.43899
cub,2005,0.37915
cub,2006,0.14907
cub,2007,1.77693
cub,2008,3.5801
cub,2009,6.78938
cub,2010,5.46285
cub,2011,4.78928
cub,2012,3.21118
cub,2013,4.3328
cub,2014,2.68
cub,2015,2.59803
cub,2016,1.69089
cub,2017,2.72836
cub,2018,5.49462
cub,2019,10.23087
cub,2020,12.42943
cym,1999,16.28692
cym,2000,3.21065
cym,2001,18.46715
cym,2002,10.33575
cym,2004,16.00454
cym,2005,12.37838
cym,2006,17.077
cym,2007,14.36577
cym,2008,14.45905
cym,2011,10.67153
cym,2012,11.74975
cym,2013,10.16782
cym,2014,12.52399
cym,2015,13.79634
cym,2016,17.3873
cym,2017,13.21174
cym,2018,19.63746
cym,2019,20.81581
cym,2020,13.30861
cyp,1971,35.75786
cyp,1972,32.55346
cyp,1973,26.24082
cyp,1974,25.97557
cyp,1975,30.80261
cyp,1976,29.83102
cyp,1977,27.24293
cyp,1999,3.21656
cyp,2000,4.56587
cyp,2001,3.15852
cyp,2002,0.10474
cyp,2003,0.65466
cyp,2004,1.11789
cyp,2005,0.47369
cyp,2006,0.33848
cyp,2007,0.31922
cyp,2008,0.15338
cyp,2009,0.33873
cyp,2010,3.96835
cyp,2011,4.33013
cyp,2012,1.41451
cyp,2013,0.39297
cyp,2014,0.29856
cyp,2015,1.86775
cyp,2016,2.31317
cyp,2017,0.44838
cyp,2018,0.27381
cyp,2019,0.64127
cze,2001,1.23766
cze,2002,0.38858
cze,2004,0.02985
cze,2008,7.96559
cze,2013,0.05987
cze,2014,0.09815
cze,2015,0.21226
cze,2016,0.09066
cze,2017,0.67647
cze,2018,1.31692
cze,2019,0.42009
deu,2002,0.34916
deu,2003,0.23088
deu,2004,0.084
deu,2005,0.72279
deu,2006,1.72993
deu,2007,2.90346
deu,2008,2.46548
deu,2009,2.19491
deu,2010,2.59137
deu,2011,3.35749
deu,2012,2.13488
deu,2013,3.13701
deu,2014,4.26125
deu,2015,4.6814
deu,2016,4.64572
deu,2017,4.71585
deu,2018,4.67297
deu,2019,4.30337
dji,1985,78.75697
dji,1986,78.06556
dji,1987,78.5967
dji,1988,78.65493
dji,1997,77.62508
dji,2001,76.27529
dji,2002,73.15341
dji,2004,69.51425
dji,2005,69.34856
dji,2006,70.56373
dji,2007,66.84602
dji,2008,55.74195
dji,2015,47.66138
dji,2020,41.7066
dji,2021,39.5577
dma,1999,10.50938
dma,2001,4.72032
dma,2003,3.73583
dma,2004,1.20791
dma,2005,6.94172
dma,2006,18.1076
dma,2009,22
dma,2010,15.63355
dma,2011,17.02179
dma,2015,2.00299
dma,2019,1.27963
dma,2020,2.77674
dnk,1998,0.90687
dnk,2000,0.66563
dnk,2001,6.74571
dnk,2002,2.94391
dnk,2004,0.73079
dnk,2005,0.52753
dnk,2006,0.99908
dnk,2007,1.43003
dnk,2008,0.62882
dnk,2009,0.1287
dnk,2010,0.17853
dnk,2011,0.32071
dnk,2012,2.53065
dnk,2013,3.00435
dnk,2014,2.89923
dnk,2015,2.14711
dnk,2016,1.26043
dnk,2017,0.5455
dnk,2018,0.57646
dnk,2019,0.14474
dom,1999,17.75474
dom,2000,14.94171
dom,2002,6.98837
dom,2004,5.87298
dom,2005,5.79523
dom,2007,6.34056
dom,2008,4.22427
dom,2009,8.91385
dom,2010,8.09911
dom,2011,6.71818
dom,2012,6.47746
dom,2013,2.10826
dom,2014,1.8774
dom,2015,1.99417
dom,2016,5.7221
dom,2017,7.92184
dom,2018,10.67907
dom,2019,5.64345
dom,2020,8.90031
dza,1984,38.13865
dza,1995,24.6313
dza,1996,24.52883
dza,1997,20.83009
ecu,1998,28.54978
ecu,1999,27.54177
ecu,2000,27.36485
ecu,2001,27.47139
ecu,2002,26.82195
ecu,2003,26.76144
ecu,2005,24.13595
ecu,2006,22.99004
ecu,2007,22.66324
ecu,2009,14.64837
ecu,2010,13.72414
ecu,2011,13.91876
ecu,2012,8.57166
ecu,2013,1.55882
ecu,2014,0.87595
ecu,2015,1.54987
ecu,2016,1.65898
ecu,2017,3.75552
ecu,2018,4.45151
ecu,2019,3.69961
ecu,2020,1.53262
egy,1994,23.98002
egy,2003,15.38822
egy,2004,15.36791
egy,2014,10.68476
egy,2016,4.97799
egy,2017,5.12709
egy,2018,4.20091
egy,2019,2.38687
eri,1994,47.86837
eri,1995,46.47313
eri,1997,47.72745
eri,1999,48.16526
eri,2000,44.70502
eri,2001,47.68269
eri,2002,44.1309
eri,2003,41.03221
eri,2004,42.4359
eri,2005,39.76675
eri,2006,37.89239
eri,2007,37.23468
eri,2008,32.13231
eri,2009,29.15831
eri,2010,26.8541
eri,2011,24.36315
eri,2012,25.13725
eri,2013,34.50348
eri,2014,35.56071
eri,2015,35.42381
eri,2017,34.93683
eri,2018,36.08021
esp,1973,7.82323
esp,1975,6.61125
esp,1976,6.2204
esp,1977,2.65153
esp,1978,1.78246
esp,1979,1.30755
esp,1980,0.92887
esp,1981,1.04696
esp,1999,2.84667
esp,2000,2.58638
esp,2001,1.64023
esp,2002,0.74871
esp,2003,0.61619
esp,2004,0.86575
esp,2005,0.47577
esp,2006,0.25808
esp,2007,0.80608
esp,2008,1.34935
esp,2009,2.23568
esp,2010,3.44823
esp,2011,5.68537
esp,2012,5.15822
esp,2013,3.08975
esp,2014,1.2908
esp,2015,0.09262
esp,2016,0.28029
esp,2017,0.15442
esp,2018,0.38294
esp,2019,0.36336
est,1998,1.48245
est,1999,1.98416
est,2000,2.47206
est,2001,1.83929
est,2002,1.79967
est,2003,1.56112
est,2004,1.24341
est,2005,1.0835
est,2006,0.59555
est,2007,1.69488
est,2008,4.25331
est,2009,5.8075
est,2010,5.66162
est,2011,2.45007
est,2012,0.30516
est,2013,0.76217
est,2014,0.64229
est,2015,0.77113
est,2016,0.4662
est,2017,1.31356
est,2018,1.19494
est,2019,1.34192
eth,1999,67.84607
eth,2000,66.08374
eth,2001,62.24206
eth,2002,57.82393
eth,2003,54.29234
eth,2004,51.69198
eth,2005,48.53156
eth,2006,44.4659
eth,2007,42.50975
eth,2008,41.49821
eth,2009,43.36596
eth,2010,41.02771
eth,2011,42.02448
eth,2012,40.34006
eth,2014,47.31888
eth,2015,47.04813
fin,1997,0.20436
fin,1999,0.30126
fin,2000,2.37823
fin,2001,3.37197
fin,2002,2.04167
fin,2003,0.16082
fin,2004,0.10335
fin,2005,0.02351
fin,2006,0.02184
fin,2007,1.23979
fin,2008,1.7777
fin,2009,2.34806
fin,2010,1.81167
fin,2011,1.57562
fin,2012,1.95399
fin,2013,1.20859
fin,2014,1.01755
fin,2015,0.74158
fin,2016,0.86193
fin,2017,0.47469
fin,2018,0.06766
fin,2019,0.14656
fji,1999,3.75851
fji,2000,6.20986
fji,2001,6.09164
fji,2002,2.66086
fji,2003,19.30837
fji,2004,1.10406
fji,2009,2.75124
fji,2010,2.28612
fji,2011,2.04089
fji,2012,3.71751
fji,2013,1.03725
fji,2014,0.68216
fra,1976,5.59125
fra,1986,3.22298
fra,1994,0.29453
fra,1995,0.3263
fra,1996,0.59041
fra,1999,4.90731
fra,2000,5.23141
fra,2001,5.64408
fra,2002,6.02306
fra,2003,5.98691
fra,2004,5.90894
fra,2005,0.88434
fra,2006,0.78547
fra,2007,1.07405
fra,2008,0.83031
fra,2009,0.69307
fra,2010,0.55511
fra,2011,1.58435
fra,2012,1.6875
fra,2013,1.80315
fra,2014,2.53989
fra,2015,2.01316
fra,2016,1.55782
fra,2017,1.1523
fra,2018,0.95938
fra,2019,0.46203
fsm,2014,12.7594
gab,2019,30.21708
gbr,1971,3.33724
gbr,1972,3.86451
gbr,1973,6.07177
gbr,1974,5.56454
gbr,1975,6.46127
gbr,1976,2.32044
gbr,1977,2.29464
gbr,1978,2.2876
gbr,1979,2.95806
gbr,1981,2.36118
gbr,1982,2.18601
gbr,1998,1.39031
gbr,1999,0.66784
gbr,2000,0.27243
gbr,2001,0.24598
gbr,2002,0.43634
gbr,2003,0.47779
gbr,2004,0.4393
gbr,2005,0.48314
gbr,2006,1.306
gbr,2007,3.84708
gbr,2008,1.66729
gbr,2009,0.06806
gbr,2010,0.03639
gbr,2011,1.62989
gbr,2012,6.0261
gbr,2013,3.33517
gbr,2014,3.4645
gbr,2015,1.82057
gbr,2017,0.12779
gbr,2018,0.1227
gbr,2019,0.16207
geo,1996,19.5737
geo,1997,12.73998
geo,2005,1.33049
geo,2007,3.8256
geo,2008,4.67861
geo,2009,2.72439
geo,2013,2.19108
geo,2014,1.45486
geo,2015,0.39258
geo,2016,0.26163
geo,2017,0.1985
geo,2018,0.17788
geo,2019,0.02874
geo,2020,1.15697
gha,1999,38.78693
gha,2000,36.76301
gha,2001,38.28465
gha,2002,34.08346
gha,2003,34.80297
gha,2005,22.38726
gha,2006,17.24144
gha,2007,21.1887
gha,2008,19.03399
gha,2009,19.43082
gha,2013,12.25606
gha,2014,14.97968
gha,2015,9.48773
gha,2016,11.7517
gha,2017,12.05075
gha,2018,15.53301
gha,2019,10.59337
gha,2020,7.61995
gib,2016,11.73362
gib,2017,2.35263
gib,2019,3.67171
gib,2020,6.23188
gin,1986,80.8931
gin,1989,81.56097
gin,1990,81.78932
gin,1999,69.13166
gin,2001,65.93051
gin,2002,62.06614
gin,2004,59.13966
gin,2005,55.76182
gin,2006,54.36205
gin,2010,50.50905
gin,2011,52.84251
gin,2012,51.50671
gin,2013,50.6542
gin,2014,51.20132
gin,2015,53.51315
gin,2016,53.88907
gmb,2006,41.39112
gmb,2007,37.55999
gmb,2008,34.73647
gmb,2010,31.34456
gmb,2011,39.57936
gmb,2012,37.11166
gmb,2013,28.92312
gmb,2014,30.20813
gmb,2015,27.72503
gmb,2016,27.08961
gmb,2017,24.54444
gmb,2018,19.8077
gmb,2019,18.54915
gmb,2020,16.37711
gmb,2021,14.57672
gnb,1981,61.86495
gnb,1982,88.16975
gnb,1984,87.84509
gnb,2000,51.05415
gnq,2001,37.42455
grc,1972,33.27052
grc,1973,31.7555
grc,1974,31.02939
grc,1975,28.12274
grc,1976,26.3115
grc,1977,22.18084
grc,1978,22.29639
grc,1979,19.69969
grc,1980,9.64069
grc,1982,9.25229
grc,1984,10.56815
grc,1985,9.40953
grc,1986,8.16525
grc,1987,6.40848
grc,1988,7.44826
grc,1989,7.78941
grc,1990,9.10532
grc,1991,9.01123
grc,1992,9.4588
grc,1994,9.06317
grc,1995,7.51704
grc,1996,12.20465
grc,1997,11.8236
grc,1998,11.94886
grc,1999,11.60738
grc,2000,10.75109
grc,2001,7.04417
grc,2002,5.10887
grc,2003,3.90735
grc,2004,4.98253
grc,2005,3.85193
grc,2006,4.3757
grc,2007,5.49005
grc,2010,1.89508
grc,2013,5.43482
grc,2014,6.90986
grc,2015,3.59568
grc,2016,4.25026
grc,2017,3.66573
grc,2018,3.96968
grc,2019,3.17632
grd,1972,0.54622
grd,2002,2.7062
grd,2003,13.96135
grd,2004,1.43702
grd,2005,3.05036
grd,2013,1.91738
grd,2014,3.19657
gtm,1972,73.78301
gtm,1974,71.43864
gtm,1975,71.02374
gtm,1979,64.40768
gtm,1980,65.75786
gtm,1982,63.81588
gtm,1999,46.69001
gtm,2000,44.6628
gtm,2001,39.12655
gtm,2002,37.61823
gtm,2008,28.74751
gtm,2009,25.21469
gtm,2010,18.87679
gtm,2011,22.88064
gtm,2012,27.13571
gtm,2013,27.44782
gtm,2014,27.75952
gtm,2015,28.3514
gtm,2016,30.96652
gtm,2017,33.09156
gtm,2018,32.75571
gtm,2020,34.68919
guy,1971,14.3559
guy,2009,12.10575
guy,2011,3.30983
guy,2012,7.36584
hkg,1977,24.14627
hkg,1978,23.00525
hkg,1979,20.94421
hkg,1980,20.44192
hkg,1981,17.8294
hkg,1983,13.50607
hkg,1984,11.84409
hkg,1985,10.60632
hkg,1996,6.89234
hkg,2001,6.349
hkg,2002,4.71159
hkg,2003,4.4916
hkg,2004,5.87715
hkg,2005,7.81476
hkg,2006,7.93188
hkg,2007,5.90339
hkg,2008,3.75639
hkg,2009,1.40598
hkg,2010,0.28314
hkg,2011,2.78571
hkg,2012,5.62983
hkg,2013,6.497
hkg,2014,3.14291
hkg,2015,0.08174
hkg,2016,0.67641
hkg,2017,0.57902
hkg,2018,0.07477
hkg,2019,0.55514
hkg,2020,1.30979
hnd,2011,34.19687
hnd,2012,33.50079
hnd,2013,33.89031
hnd,2014,37.53601
hnd,2015,36.89601
hnd,2016,38.12072
hnd,2017,38.18542
hnd,2018,39.49258
hnd,2019,37.62645
hnd,2020,42.67747
hrv,1999,7.33543
hrv,2000,6.96157
hrv,2001,7.77003
hrv,2002,6.77682
hrv,2003,4.57712
hrv,2005,0.37821
hrv,2006,0.55172
hrv,2007,0.84893
hrv,2009,1.14533
hrv,2010,0.8284
hrv,2011,1.19228
hrv,2012,1.14759
hrv,2013,1.83252
hrv,2014,1.10553
hrv,2015,1.41326
hrv,2016,1.25105
hrv,2018,0.87408
hrv,2019,1.10076
hun,1997,1.82888
hun,1998,1.56144
hun,1999,1.61396
hun,2000,2.34692
hun,2001,1.62164
hun,2002,0.50627
hun,2003,0.18254
hun,2004,0.86206
hun,2005,0.05832
hun,2006,0.22355
hun,2007,2.3527
hun,2008,3.18126
hun,2009,3.99202
hun,2010,4.68735
hun,2011,4.28034
hun,2012,3.48293
hun,2013,3.08264
hun,2014,2.82959
hun,2015,3.00155
hun,2016,3.62718
hun,2017,3.55461
hun,2018,3.16535
hun,2019,2.97966
idn,1972,59.237
idn,1974,59.26811
idn,1975,58.6853
idn,1976,58.12206
idn,1977,57.19508
idn,1978,54.00816
idn,1987,26.70692
idn,1995,34.37368
idn,2001,27.90886
idn,2002,27.77855
idn,2003,22.91161
idn,2004,21.66795
idn,2005,23.64147
idn,2006,26.96621
idn,2007,18.17216
idn,2008,21.12303
idn,2009,18.49651
idn,2010,17.07182
idn,2011,15.27848
idn,2012,14.53837
idn,2013,13.66343
idn,2014,13.44958
idn,2018,16.33552
ind,2013,14.87672
ind,2020,15.12684
irl,1971,5.34954
irl,1972,5.00773
irl,1973,1.64733
irl,1974,0.4274
irl,1975,0.12114
irl,1976,0.22302
irl,1977,0.70327
irl,1978,0.62837
irl,1980,0
irl,1982,0.67455
irl,1991,5.11657
irl,1992,2.53827
irl,1995,0.89308
irl,1996,4.46693
irl,1997,6.09133
irl,1998,3.84497
irl,1999,1.09465
irl,2000,1.61736
irl,2001,2.00104
irl,2002,2.24405
irl,2003,2.07136
irl,2004,1.44586
irl,2005,1.26013
irl,2006,1.27253
irl,2007,1.00841
irl,2008,1.21987
irl,2009,1.13143
irl,2010,0.69053
irl,2011,1.41746
irl,2012,0.43033
irl,2014,0.19238
irl,2015,0.30251
irl,2016,0.371
