geo,time,ny_adj_svnx_cd
guy,1997,75945021.58702
guy,1998,85346530.80699
guy,1999,62118359.30062
guy,2000,42777326.3719
guy,2001,36274900.02359
guy,2002,28748561.50767
guy,2003,47251763.18255
guy,2004,92138466.07168
guy,2005,113204568.5801
hnd,1974,119498816.85549
hnd,1975,76805689.27368
hnd,1976,125878539.80579
hnd,1977,215542811.1635
hnd,1978,327022883.1853
hnd,1979,333457657.65159
hnd,1980,165787421.77063
hnd,1981,78396682.3713
hnd,1982,-46739811.23369
hnd,1983,-56105956.96005
hnd,1984,21767493.34497
hnd,1985,182348044.65107
hnd,1986,166678217.41989
hnd,1987,412047660.14921
hnd,1988,555258362.07902
hnd,1989,278401828.89118
hnd,1990,461960662.92951
hnd,1991,458287421.00386
hnd,1992,427177627.75854
hnd,1993,831279576.67396
hnd,1994,943182245.18272
hnd,1995,991994389.63907
hnd,1996,876594621.31224
hnd,1997,1164011381.90538
hnd,1998,1313623843.95224
hnd,1999,1500901301.6326
hnd,2000,1253446066.5105
hnd,2001,1232763431.74397
hnd,2002,1266684375.53838
hnd,2003,1349754359.42884
hnd,2004,1555467128.05832
hnd,2005,2054489104.36505
hnd,2006,2431301727.73707
hnd,2007,2644785124.02911
hnd,2008,2569375194.44199
hnd,2009,2084198325.41918
hnd,2010,2277277123.78186
hnd,2011,2967729378.96459
hnd,2012,2680120239.43887
hnd,2013,1999862615.30081
hnd,2014,2520188090.48279
hnd,2015,3824526740.97338
hnd,2016,3988121587.531
hnd,2017,5056049170.25433
hnd,2018,4468236981.12292
hnd,2019,5166403953.63445
hrv,1995,-374201053.96429
hrv,1996,956811344.0596
hrv,1997,688098417.20911
hrv,1998,1155068216.6939
hrv,1999,514556039.08546
hrv,2000,922908896.71302
hrv,2001,649589207.9425
hrv,2002,842430925.11461
hrv,2003,1384772973.35634
hrv,2004,2279703241.51994
hrv,2005,3214159403.89064
hrv,2006,4060101745.57296
hrv,2007,4878756423.00953
hrv,2008,5099684785.00894
hrv,2009,2743235861.18142
hrv,2010,2729832793.72398
hrv,2011,2630668434.32664
hrv,2012,1790039803.45285
hrv,2013,3066524398.41335
hrv,2014,3607515860.51503
hrv,2015,5483975407.55826
hrv,2016,5321487329.79335
hrv,2017,6959643933.76541
hrv,2018,7807861738.51308
hrv,2019,7923330911.18699
hti,1988,166666956.61621
hti,1989,221005518.06745
hti,1990,32929735.5033
hti,1991,323531368.51914
hti,1992,208422206.90161
hti,1993,-114065062.46954
hti,1994,-38225537.61285
hti,1995,677801464.83984
hti,1996,716843314.18002
hti,1997,704392231.98566
hti,1998,883118001.61271
hti,1999,1047917234.9107
hti,2000,541062976.84092
hti,2001,388225659.97598
hti,2002,387221329.23444
hti,2003,643570144.82355
hti,2004,417601471.79703
hti,2005,532517436.8054
hti,2006,538694926.08177
hti,2007,602440298.3727
hti,2008,695010705.28169
hti,2009,626938697.64627
hti,2010,2179010990.91211
hti,2011,1876463466.45935
hti,2012,1364146171.19021
hti,2013,1026163395.28083
hti,2014,785453247.83227
hti,2015,1306799054.74977
hti,2016,819672852.4516
hti,2017,751378368.8522
hti,2018,1121941342.59963
hti,2019,1527662870.41605
hun,1993,-1883552081.03744
hun,1994,-31278133.11136
hun,1995,1158403618.77864
hun,1996,1180674275.48095
hun,1997,2003410830.40476
hun,1998,2183275331.34835
hun,1999,615010667.53607
hun,2000,945529267.46556
hun,2001,1939127509.6095
hun,2002,2928858178.09228
hun,2003,2567313568.1058
hun,2004,4417481820.67992
hun,2005,4756583206.33932
hun,2006,6222103995.31961
hun,2007,5651060372.6998
hun,2008,7537484405.17969
hun,2009,6408633097.44503
hun,2010,7529065333.88349
hun,2011,8164874633.21914
hun,2012,6487025638.00075
hun,2013,12447973991.5353
hun,2014,14830602786.1002
hun,2015,14753343707.2776
hun,2016,15593220308.2045
hun,2017,16278527570.7028
hun,2018,22452600946.6641
hun,2019,24266988753.5085
idn,1981,1319802964.83181
idn,1982,2878894227.8588
idn,1983,8524109948.94616
idn,1984,7857762017.56835
idn,1985,8721333008.17262
idn,1986,8758519778.87566
idn,1987,8950941695.98832
idn,1988,10684018571.2308
idn,1989,13088857315.4714
idn,1990,8934587605.04315
idn,1991,13262036209.9459
idn,1992,15765766876.2021
idn,1993,29818815483.1676
idn,1994,36104465832.958
idn,1995,37781495049.8732
idn,1996,40517140923.5948
idn,1997,40996762483.9632
idn,1998,9566146747.17565
idn,1999,2459979740.78058
idn,2000,20963118081.7377
idn,2001,2424466623.17789
idn,2002,-1903181849.31496
idn,2003,-6111386517.97549
idn,2004,-9390854626.70326
idn,2005,-3090783126.64872
idn,2006,5659788855.01784
idn,2007,5019745848.46677
idn,2008,20343042369.6518
idn,2009,40938008576.96809
idn,2010,84223922059.1622
idn,2011,100046646870.627
idn,2012,101056916239.183
idn,2013,99436967115.2058
idn,2014,95577870070.55821
idn,2015,98200220788.83881
idn,2016,123500060725.02299
idn,2017,144763096497.87
idn,2018,155218014704.89301
idn,2019,160276635906.74301
ind,1975,5083696561.05019
ind,1976,8488294506.32651
ind,1977,8919115803.00661
ind,1978,9740281620.22291
ind,1979,11043224555.5277
ind,1980,12300499979.4489
ind,1981,13107699395.1864
ind,1982,13332320163.569
ind,1983,14684162772.2976
ind,1984,13198494328.6619
ind,1985,15316544685.592
ind,1986,15590600063.4237
ind,1987,19796312598.7099
ind,1988,24387113157.8767
ind,1989,29569787278.1722
ind,1990,35290983432.099
ind,1991,27718025816.4486
ind,1992,33500875304.1126
ind,1993,34541884682.5471
ind,1994,47928527979.9546
ind,1995,55805494827.52409
ind,1996,60218723619.0978
ind,1997,65074350976.8345
ind,1998,63912153134.8962
ind,1999,69574349427.8073
ind,2000,68183153152.01209
ind,2001,69873512681.22569
ind,2002,83164413424.7715
ind,2003,113601934050.564
ind,2004,148598550249.31201
ind,2005,178466135402.42401
ind,2006,222251594488.673
ind,2007,295752966808.66498
ind,2008,261222675704.13199
ind,2009,303841374374.38397
ind,2010,397753450793.98199
ind,2011,404711304915.16498
ind,2012,408272465642.38293
ind,2013,398169768646.26001
ind,2014,422243527447.83295
ind,2015,427165906616.93298
ind,2016,434274137037.05798
ind,2017,521017477723.54694
ind,2018,511683730402.52893
ind,2019,459180730291.48694
irl,2005,36390329123.3865
irl,2006,37744687993.2335
irl,2007,36438434477.568
irl,2008,25421413218.4594
irl,2009,14051862748.7519
irl,2010,16316404254.595
irl,2011,15916471026.0752
irl,2012,14537565170.4257
irl,2013,24945444995.32809
irl,2014,34566572473.7826
irl,2015,34837603588.7352
irl,2016,40314387571.9558
irl,2017,41183173326.2919
irl,2018,46379054642.13329
irl,2019,54947978626.9606
irn,1978,-2092901413.75654
irn,1979,8169231711.78961
irn,1980,8811164525.52953
irn,1981,6380595161.22762
irn,1982,11063358769.4581
irn,1983,10977970092.0632
irn,1984,8424005077.41426
irn,1985,5030751566.42517
irn,1986,-565599604.79768
irn,1987,1737492279.14265
irn,1988,-7029543488.97993
irn,1989,1644289865.98528
irn,1990,973539603.28383
irn,1993,3393380801.33792
irn,1994,4479521989.39657
irn,1995,9250273376.35175
irn,1996,13612870953.4865
irn,1997,10342399038.9765
irn,1998,6938531602.4395
irn,1999,10995143396.7259
irn,2000,7035695158.05631
irq,2005,6164748821.91747
irq,2006,11040772243.8536
irq,2007,16595397267.135
irq,2008,41624450106.3636
irq,2009,11395781620.7933
irq,2010,24015587759.8055
irq,2011,43329009035.6687
irq,2012,47067367128.3754
irq,2013,20961624674.2358
irq,2014,19313941456.171
irq,2015,600858638.44421
irq,2016,-10005391728.8639
irq,2017,-2930439125.21154
irq,2018,-5873640489.46107
irq,2019,-21373473012.1025
isl,2011,-584603523.21292
isl,2012,-239055966.09493
isl,2013,1299185705.48109
isl,2014,1626635465.72227
isl,2015,2122632873.85621
isl,2016,3121817547.98719
isl,2017,3470522784.9603
isl,2018,2935372132.65733
isl,2019,4246113040.26608
isr,1970,724273103.27212
isr,1971,1260111264.02257
isr,1972,2017276650.2915
isr,1973,2126510998.79626
isr,1974,1793309107.42173
isr,1975,1352494511.62852
isr,1976,2039397218.75336
isr,1977,2271645274.97012
isr,1978,1774864165.80178
isr,1979,2879642252.02397
isr,1980,2059803263.53753
isr,1981,1344068851.2588
isr,1982,1627453109.88394
isr,1983,2563482885.17833
isr,1984,1999322134.32349
isr,1985,3623766629.49844
isr,1986,3939063143.14647
isr,1987,2117417540.38785
isr,1988,3055662474.79801
isr,1989,4187197272.78031
isr,1990,6156505319.68338
isr,1991,9901099691.83294
isr,1992,11955989472.5907
isr,1993,10677687446.4516
isr,1994,11583396106.0067
isr,1995,15011556392.7731
isr,1996,16643288318.2496
isr,1997,17932147937.1279
isr,1998,17333176211.5652
isr,1999,16794062866.5136
isr,2000,17453162793.5072
isr,2001,16252431823.2562
isr,2002,12437281459.6456
isr,2003,13054821336.0515
isr,2004,14829597738.6835
isr,2005,18434585234.5709
isr,2006,22444502073.6239
isr,2007,24942357419.5919
isr,2008,24719106181.9254
isr,2009,24791915257.2898
isr,2010,30753350011.0153
