geo,time,dc_dac_svkl_cd
mkd,2016,180000.00715
mkd,2017,219999.99881
mkd,2018,39999.99911
mkd,2019,289999.99166
mli,2013,50000.00075
mmr,2008,90000.00358
mmr,2012,19999.99955
mmr,2013,19999.99955
mne,2007,639999.98569
mne,2008,449999.98808
mne,2010,79999.99821
mne,2011,639999.98569
mne,2012,400000.00596
mne,2013,239999.99464
mne,2014,289999.99166
mne,2015,70000.0003
mne,2016,579999.98331
mne,2017,9999.99978
mne,2018,300000.01192
mne,2019,70000.0003
mng,2005,819999.99285
mng,2006,639999.98569
mng,2007,289999.99166
mng,2009,79999.99821
mng,2010,289999.99166
mng,2012,79999.99821
mng,2013,79999.99821
mng,2014,79999.99821
mng,2015,70000.0003
mng,2016,39999.99911
mng,2017,29999.99933
mng,2018,29999.99933
mng,2019,19999.99955
moz,2005,100000.00149
moz,2006,200000.00298
moz,2007,140000.0006
moz,2008,150000.00596
moz,2010,79999.99821
nam,2012,9999.99978
nam,2013,9999.99978
nam,2014,9999.99978
nga,2016,9999.99978
nic,2009,9999.99978
npl,2013,9999.99978
npl,2015,119999.99732
npl,2019,39999.99911
pak,2009,19999.99955
pak,2012,29999.99933
pak,2013,9999.99978
per,2007,300000.01192
per,2009,39999.99911
per,2012,39999.99911
per,2013,29999.99933
per,2014,29999.99933
per,2015,19999.99955
per,2016,19999.99955
per,2017,109999.9994
per,2018,0
phl,2013,29999.99933
phl,2017,9999.99978
pry,2009,19999.99955
pse,2008,70000.0003
pse,2009,219999.99881
pse,2012,119999.99732
pse,2013,170000.00179
pse,2014,230000.00417
pse,2015,159999.99642
pse,2016,79999.99821
pse,2017,129999.99523
pse,2018,100000.00149
pse,2019,119999.99732
rwa,2013,9999.99978
rwa,2014,9999.99978
rwa,2015,29999.99933
rwa,2016,19999.99955
rwa,2017,39999.99911
rwa,2018,9999.99978
rwa,2019,29999.99933
sdn,2005,17280000.68665
sdn,2006,14979999.54224
sdn,2007,17680000.30518
sdn,2008,150000.00596
sdn,2009,100000.00149
sdn,2010,750000
sdn,2012,59999.99866
sdn,2013,29999.99933
sdn,2014,19999.99955
sdn,2015,9999.99978
sdn,2018,0
sdn,2019,9999.99978
srb,2005,2240000.00954
srb,2006,509999.99046
srb,2007,1120000.00477
srb,2008,3049999.95232
srb,2009,1409999.96662
srb,2010,1350000.02384
srb,2011,1029999.97139
srb,2012,1450000.04768
srb,2013,1389999.98569
srb,2014,1309999.94278
srb,2015,1529999.97139
srb,2016,1070000.05245
srb,2017,1139999.98569
srb,2018,980000.01907
srb,2019,1379999.99523
ssd,2011,720000.02861
ssd,2012,699999.98808
ssd,2013,689999.99762
ssd,2014,389999.98569
ssd,2015,170000.00179
ssd,2016,259999.99046
ssd,2017,1269999.98093
ssd,2018,379999.99523
ssd,2019,340000.00358
syr,2009,29999.99933
syr,2012,79999.99821
syr,2013,259999.99046
syr,2014,19999.99955
syr,2015,59999.99866
syr,2016,349999.99404
syr,2017,1019999.98093
syr,2018,540000.02146
syr,2019,150000.00596
tha,2012,29999.99933
tha,2013,19999.99955
tha,2014,9999.99978
tha,2015,9999.99978
tjk,2009,680000.00715
tjk,2013,29999.99933
tjk,2014,50000.00075
tjk,2015,59999.99866
tjk,2016,9999.99978
tjk,2017,0
tjk,2019,9999.99978
tun,2012,409999.99642
tun,2013,389999.98569
tun,2014,119999.99732
tur,2006,280000.00119
tur,2012,39999.99911
tur,2017,0
tur,2019,1899999.97616
tza,2013,19999.99955
tza,2014,9999.99978
tza,2018,59999.99866
uga,2005,39999.99911
uga,2013,9999.99978
uga,2014,9999.99978
uga,2015,19999.99955
uga,2016,9999.99978
uga,2017,50000.00075
uga,2018,9999.99978
uga,2019,79999.99821
ukr,2005,340000.00358
ukr,2006,529999.97139
ukr,2007,50000.00075
ukr,2008,479999.98927
ukr,2009,1000000
ukr,2010,330000.01311
ukr,2011,490000.00954
ukr,2012,949999.98808
ukr,2013,1049999.95232
ukr,2014,1070000.05245
ukr,2015,2470000.02861
ukr,2016,1620000.00477
ukr,2017,1919999.95708
ukr,2018,1000000
ukr,2019,1419999.95708
uzb,2006,29999.99933
uzb,2007,100000.00149
uzb,2008,250000
uzb,2009,50000.00075
uzb,2010,79999.99821
uzb,2012,29999.99933
uzb,2013,19999.99955
uzb,2014,19999.99955
uzb,2015,9999.99978
uzb,2016,9999.99978
uzb,2017,9999.99978
uzb,2018,0
uzb,2019,9999.99978
ven,2019,29999.99933
vnm,2010,109999.9994
vnm,2012,19999.99955
vnm,2013,29999.99933
vnm,2014,50000.00075
vnm,2015,19999.99955
vnm,2016,39999.99911
vnm,2017,39999.99911
vnm,2018,39999.99911
vnm,2019,19999.99955
yem,2012,9999.99978
yem,2013,9999.99978
yem,2014,9999.99978
yem,2015,9999.99978
yem,2016,9999.99978
yem,2017,569999.99285
yem,2018,0
yem,2019,109999.9994
