geo,time,se_ter_cuat_ms_fe_zs
mex,2010,1.08774
mex,2013,1.03394
mex,2014,1.04288
mex,2015,1.76869
mex,2016,1.2595
mex,2017,1.30201
mex,2018,1.36928
mex,2020,2.25692
mhl,2011,0.65518
mkd,2020,1.96419
mli,2020,0.4376
mlt,2013,3.74801
mlt,2014,3.59925
mlt,2015,4.04809
mlt,2016,4.23365
mlt,2018,6.3782
mlt,2020,9.35986
mmr,2019,0.34339
mng,2010,2.78518
mng,2020,3.89315
moz,2017,0.1198
mrt,2013,0.83549
mys,2016,1.58546
mys,2019,1.62787
ner,2012,0.29386
nga,2006,1.05497
nld,2013,8.35892
nld,2014,8.95573
nld,2015,9.33087
nld,2016,9.67688
nld,2018,10.60431
nld,2020,12.01235
nld_curacao,2020,13.78335
nor,2014,8.41378
nor,2015,8.92134
nor,2016,9.42489
nor,2017,9.9249
nor,2019,10.90257
npl,2011,0.59922
nzl,2014,3.87446
nzl,2015,3.6619
nzl,2016,4.62608
nzl,2020,6.19898
omn,2010,1.85817
omn,2015,1.93917
omn,2020,1.75289
pan,2010,2.59343
pan,2019,19.21843
per,2014,1.89265
per,2015,1.6254
per,2018,11.05406
phl,2010,0.50221
phl,2013,0.58537
phl,2017,0.53508
phl,2019,0.71151
pol,2013,20.36061
pol,2014,21.40623
pol,2016,22.63748
pol,2020,25.60622
pri,2012,6.64645
pri,2017,2.04919
prt,2014,15.62841
prt,2015,15.99207
prt,2016,16.27765
prt,2017,16.39547
prt,2018,15.97969
prt,2019,17.25836
prt,2020,18.76812
pry,2012,4.66902
pry,2013,7.14221
pry,2014,6.33214
pry,2015,6.95429
pry,2016,7.05835
pry,2018,7.11693
pry,2019,7.469
pry,2020,6.28855
pse,2013,0.86349
pse,2014,1.00022
pse,2015,0.92024
pse,2016,0.84531
pse,2017,0.98606
pse,2018,1.08474
pse,2020,1.26652
qat,2016,2.37363
qat,2017,2.51681
rou,2014,8.77626
rwa,2012,0.11451
rwa,2014,0.07466
rwa,2018,0.15819
sau,2013,0.24718
sau,2017,1.72772
sau,2020,2.31112
sen,2011,0.50772
sen,2013,1.04531
sen,2017,0.46656
slv,2013,0.25193
smr,2018,11.6562
srb,2011,2.17745
srb,2013,0.69601
