geo,time,sh_fpl_satm_zs
wsm,2009,34.94764
wsm,2014,39.38412
yem,1992,12.7
yem,1997,16.1
yem,2006,48.7
yem,2013,46.9
zaf,1998,75.7
zaf,2003,81.1
zaf,2004,81.27544
zaf,2016,77.8
zmb,1992,19.6
zmb,1996,28.1
zmb,1997,28.1336
zmb,2002,41
zmb,2007,48.5
zmb,2014,63.8
zmb,2018,68.5
zwe,1984,50.66667
zwe,1994,62.7
zwe,1999,71.6
zwe,2006,77.2
zwe,2011,78.3
zwe,2014,85.87656
zwe,2015,85.2
