geo,time,se_prm_tenr_ma
bel,2014,97.96011
bel,2015,98.4238
bel,2016,98.69945
bel,2017,98.9861
ben,1984,66.84226
ben,1985,67.67307
ben,1986,64.78546
ben,1988,64.00615
ben,1989,64.5033
ben,1990,51.82703
ben,1992,65.24577
ben,1993,69.91327
ben,1994,70.06403
ben,1995,72.28454
ben,1996,74.06768
ben,1997,77.09378
ben,2006,94.99381
ben,2008,96.51784
bfa,1971,12.59996
bfa,1972,13.01122
bfa,1977,15.68353
bfa,1978,16.2859
bfa,1979,16.85598
bfa,1980,17.71441
bfa,1981,19.05267
bfa,1982,21.00503
bfa,1983,22.38634
bfa,1984,24.21022
bfa,1985,26.79656
bfa,1986,29.13192
bfa,1987,31.30331
bfa,1988,31.77276
bfa,1989,31.90826
bfa,1991,32.82164
bfa,1992,33.39627
bfa,1993,34.49254
bfa,1994,35.96207
bfa,1995,37.92465
bfa,1998,41.46264
bfa,1999,41.81047
bfa,2000,42.93398
bfa,2001,43.80391
bfa,2002,42.2182
bfa,2003,44.52516
bfa,2004,46.28998
bfa,2005,51.10803
bfa,2006,54.56736
bfa,2007,59.80496
bfa,2008,65.39765
bfa,2009,67.72317
bfa,2011,66.92852
bfa,2012,67.69295
bfa,2013,68.19419
bfa,2014,69.55454
bfa,2015,71.12553
bfa,2016,76.91483
bfa,2017,77.90443
bfa,2018,80.21741
bgd,1970,68.03136
bgd,1973,92.4553
bgd,1977,91.1119
bgd,1978,89.93608
bgd,1981,81.20033
bgd,1983,81.42338
bgd,1984,75.62422
bgd,1985,73.93182
bgd,1986,72.72791
bgd,1987,71.73678
bgd,1988,79.01743
bgd,1989,78.7201
bgd,1990,80.65551
bgd,2008,94.54157
bgr,1996,95.09658
bgr,1997,95.78587
bgr,1998,98.86581
bgr,1999,98.40539
bgr,2000,97.88251
bgr,2001,97.88091
bgr,2002,96.33343
bgr,2003,96.37702
bgr,2004,97.00682
bgr,2005,95.82828
bgr,2006,97.00029
bgr,2012,97.10706
bgr,2013,95.3112
bgr,2014,93.81045
bgr,2015,92.03579
bgr,2016,89.63364
bgr,2017,88.03166
bhr,1971,85.52879
bhr,1972,87.84213
bhr,1973,88.24087
bhr,1974,91.41114
bhr,1975,94.87207
bhr,1976,90.47547
bhr,1977,90.64234
bhr,1978,87.22496
bhr,1979,86.22798
bhr,1980,86.50266
bhr,1981,85.4115
bhr,1982,84.13935
bhr,1983,85.72248
bhr,1984,87.68116
bhr,1985,90.75518
bhr,1986,96.4042
bhr,1987,95.01236
bhr,1988,98.64034
bhr,1989,99.3119
bhr,1992,96.11754
bhr,1993,97.28665
bhr,1994,96.91251
bhr,1995,98.33522
bhr,2001,92.33802
bhr,2002,92.92196
bhr,2003,91.14903
bhr,2004,90.82105
bhr,2005,88.27729
bhr,2006,89.1128
bhr,2011,90.87216
bhr,2012,92.00878
bhr,2013,93.32607
bhr,2014,95.33449
bhr,2015,97.67958
bhr,2016,97.0888
bhr,2018,99.00458
bhs,1992,88.22022
bhs,1993,87.99956
bhs,1999,91.75129
bhs,2004,89.26557
bhs,2005,90.4695
bhs,2006,86.39906
bhs,2007,87.24474
bhs,2008,86.45005
bhs,2009,81.14229
bhs,2010,80.49075
bhs,2011,85.88506
bhs,2012,80.21046
bhs,2013,74.99606
bhs,2014,75.28427
bhs,2015,80.11829
bhs,2016,74.4432
bhs,2018,73.45977
blr,1995,89.97679
blr,2013,92.68411
blr,2014,93.29029
blr,2015,93.44568
blr,2016,96.25659
blr,2018,95.32542
blz,1999,99.50925
blz,2000,96.82776
blz,2001,93.71032
blz,2003,93.08833
blz,2004,94.7198
blz,2005,94.97434
blz,2006,95.26953
blz,2007,94.62157
blz,2008,96.44618
blz,2009,97.32128
blz,2010,97.89295
blz,2011,98.26348
blz,2013,99.00948
bmu,1978,80.89888
bmu,1979,79.06115
bmu,1984,84.79818
bmu,1985,87.75168
bmu,2011,95.60195
bmu,2012,94.744
bol,2009,96.99317
bol,2010,94.18456
bol,2011,91.61884
bol,2012,88.33523
bol,2013,88.27235
bol,2014,88.28441
bol,2015,89.03184
bol,2016,90.03402
bol,2017,91.6749
bol,2018,93.28708
bra,2004,97.56952
bra,2007,91.31626
bra,2009,95.6996
bra,2011,95.98259
bra,2012,97.86306
bra,2013,96.82718
bra,2014,97.2684
bra,2015,96.67031
brb,1971,87.34362
brb,1972,89.19558
brb,1973,88.98337
brb,1976,99.50298
brb,1981,93.91048
brb,1982,95.79323
brb,1983,99.24034
brb,1989,99.61089
brb,1990,98.4979
brb,1992,90.21166
brb,2000,95.53209
brb,2001,94.74196
brb,2002,92.06219
brb,2003,91.97879
brb,2004,91.13296
brb,2005,90.30086
brb,2006,92.26862
brb,2007,93.9499
brb,2008,98.43764
brb,2009,96.55858
brb,2010,94.27003
brb,2011,93.08117
brb,2014,92.90855
brb,2015,95.42842
brb,2016,97.53985
brb,2017,97.29118
brb,2018,99.22526
brn,1977,90.67354
brn,1978,90.52507
brn,1979,80.53416
brn,1980,80.4807
brn,1981,75.64847
brn,1982,74.08721
brn,1983,75.35723
brn,1984,76.42624
brn,1986,80.02228
brn,1991,90.5962
brn,1992,91.52625
brn,1993,93.22414
brn,1994,93.68901
brn,1995,97.83248
btn,1978,30.65911
btn,1979,33.90792
btn,1998,57.60078
btn,1999,58.11055
btn,2000,60.4271
btn,2001,62.76982
btn,2005,70.11571
btn,2006,73.8074
btn,2008,79.22421
btn,2009,83.84423
btn,2010,85.93596
btn,2011,87.44317
btn,2012,90.15238
btn,2013,89.7579
btn,2015,88.89096
btn,2016,88.77117
btn,2017,89.10776
btn,2018,89.35873
bwa,1970,44.81562
bwa,1971,41.37315
bwa,1972,42.32077
bwa,1973,44.98343
bwa,1974,49.05999
bwa,1975,54.97311
bwa,1976,59.26108
bwa,1977,63.31433
bwa,1978,64.12556
bwa,1979,65.59491
bwa,1980,69.55829
bwa,1981,74.31594
bwa,1983,79.6084
bwa,1984,80.72895
bwa,1985,83.44362
bwa,1986,85.86033
bwa,1987,87.21786
bwa,1988,87.72648
bwa,1989,88.86289
bwa,1990,88.13274
bwa,1991,90.21781
bwa,1992,89.98509
bwa,1993,90.02634
bwa,1994,90.18613
bwa,1995,81.00345
bwa,1996,81.66312
bwa,1998,84.13399
bwa,1999,83.37816
bwa,2000,84.19693
bwa,2001,85.58944
bwa,2002,85.95439
bwa,2003,85.99637
bwa,2004,88.53112
bwa,2005,86.2826
bwa,2006,87.77736
bwa,2007,87.38101
bwa,2008,84.84264
bwa,2009,84.74301
bwa,2012,87.26504
caf,1971,66.38187
caf,1972,69.41572
caf,1973,71.39534
caf,1977,65.04376
caf,1978,65.15428
caf,1981,71.16543
caf,1982,73.89294
caf,1983,78.27017
caf,1986,76.68855
caf,1987,64.39558
caf,1988,61.1162
caf,1989,60.69645
caf,1990,71.49697
caf,1991,65.12968
caf,2005,54.75305
caf,2006,55.18493
caf,2007,64.26393
caf,2008,73.12625
caf,2009,73.36171
caf,2011,72.2818
can,1982,96.21802
can,1983,96.14071
can,1984,95.6461
can,1985,95.36567
can,1986,95.58761
can,1987,95.70662
can,1988,95.67817
can,1989,96.48627
can,1990,95.39874
can,1991,98.49602
can,1992,98.24067
can,1993,96.98978
can,1994,96.81512
can,1995,95.38598
can,1996,96.34626
can,1998,99.19592
che,1977,75.01683
che,1978,75.54262
che,1981,76.77876
che,1982,76.80274
che,1983,76.25072
che,1984,75.6167
che,1985,75.64594
che,1986,76.10397
che,1987,77.20437
che,1988,79.0356
che,1989,81.30225
che,1990,83.0529
che,1991,83.82893
che,1992,83.87298
che,1993,82.84935
che,1994,81.85865
che,1995,89.44908
che,1996,91.27826
che,2010,99.15318
che,2011,99.22743
che,2012,99.08821
chl,2007,95.90478
chl,2008,96.55853
chl,2009,94.701
chl,2010,95.43333
chl,2011,94.87077
chl,2012,94.56472
chl,2013,93.64143
chl,2014,93.44387
chl,2015,93.45485
chl,2016,93.99794
chl,2017,94.75975
chn,1987,96.59585
chn,1989,99.6142
chn,1991,99.64831
chn,1992,98.42773
chn,1993,97.07896
chn,1994,95.18826
chn,1995,92.94238
chn,1996,91.32285
chn,1997,90.26422
civ,1977,62.32106
civ,1996,62.53917
civ,1997,63.69209
civ,1999,65.56647
civ,2000,65.14171
civ,2001,69.26575
civ,2002,70.1295
civ,2003,62.28292
civ,2009,61.20658
civ,2013,71.18993
civ,2014,77.43688
civ,2015,81.39806
civ,2016,91.43801
civ,2017,92.48502
civ,2018,97.6224
cmr,1971,72.20109
cmr,1972,69.99546
cmr,1973,68.12079
cmr,1974,64.79216
cmr,1975,72.17031
cmr,1976,73.38574
cmr,1977,71.69293
cmr,1978,73.23628
cmr,1979,73.89653
cmr,1980,73.95097
cmr,1988,79.23212
cmr,1990,78.15279
cmr,1991,75.96268
cmr,2011,94.45037
cmr,2016,98.67048
cmr,2017,96.96492
cod,1971,84.34987
cod,1972,81.65804
cod,1975,82.65157
cod,1979,86.24204
cod,1983,87.11891
cod,1984,87.131
cod,1988,72.57103
cod,1991,68.74121
cod,1992,66.29909
cod,1993,64.87256
cod,1994,67.07263
cod,1995,79.69007
cod,1999,37.71416
cog,1972,88.98528
cog,1974,95.15393
cog,1976,96.07259
cog,1978,98.2228
cog,1979,98.20897
cog,1980,88.53937
cog,1981,87.42647
cog,1982,87.81957
cog,1983,87.86207
cog,1984,89.58933
cog,2005,47.24209
cog,2006,58.10052
cog,2010,87.85323
cog,2012,85.49686
col,1986,67.08471
col,1991,67.03827
col,1999,95.65901
col,2000,96.67811
col,2001,92.38978
col,2002,93.3254
col,2004,94.08765
col,2012,95.36178
col,2013,92.60678
col,2014,92.60284
col,2015,96.16239
col,2016,94.96663
col,2017,96.95737
col,2018,97.29117
com,1987,83.49316
com,1994,75.96508
com,1999,65.70285
com,2000,72.68438
com,2007,81.99902
com,2013,88.97976
com,2014,84.10467
com,2017,84.75484
com,2018,81.75579
cpv,1981,90.37366
cpv,1982,89.40337
cpv,1983,86.80901
cpv,1984,92.13702
cpv,1985,95.24736
cpv,1986,96.32556
cpv,1987,96.93399
cpv,2001,97.15398
cpv,2002,96.7603
cpv,2003,96.19986
cpv,2004,94.99428
cpv,2005,96.19485
cpv,2006,97.06672
cpv,2007,97.9221
cpv,2008,97.41883
cpv,2009,96.84459
cpv,2010,95.58984
cpv,2011,94.69032
cpv,2012,94.91477
cpv,2013,93.93699
cpv,2014,94.10921
cpv,2015,94.10147
cpv,2016,93.85469
cpv,2017,93.85572
cpv,2018,94.3909
cri,1970,85.98607
cri,1972,88.38906
cri,1973,89.98481
cri,1975,90.35005
cri,1976,92.46375
cri,1978,91.78188
cri,1979,90.2667
cri,1980,90.04921
cri,1981,90.52527
cri,1982,88.46685
cri,1985,85.70444
cri,1986,86.29591
cri,1987,86.41773
cri,1989,86.78821
cri,1990,86.5887
cri,1991,86.90466
cri,2013,98.68862
cri,2014,97.21237
cri,2015,97.90027
cri,2016,98.32021
cri,2017,96.57883
cub,1972,94.18463
cub,1973,95.85424
cub,1974,96.84828
cub,1980,99.13485
cub,1981,95.70756
cub,1982,93.83576
cub,1983,93.65787
cub,1984,91.43279
cub,1985,90.04957
cub,1986,90.61855
cub,1987,92.44128
cub,1988,92.63019
cub,1989,92.76415
cub,1990,91.96165
cub,1991,91.54081
cub,1992,93.6291
cub,1993,94.57143
cub,1994,96.8916
cub,1995,96.65642
cub,1996,99.04739
cub,1997,98.93051
cub,1998,98.89164
cub,1999,99.72774
cub,2000,99.95998
cub,2003,98.71196
cub,2004,98.42885
cub,2005,97.24682
cub,2006,95.98162
cub,2007,97.56823
cub,2008,97.41335
cub,2009,98.8747
cub,2010,99.51633
cub,2011,98.97678
cub,2012,98.05734
cub,2013,98.10124
cub,2014,94.97158
cub,2015,94.18593
cub,2016,94.6186
cub,2017,95.83498
cub,2018,98.01896
cyp,1971,79.88424
cyp,1972,78.53503
cyp,1973,78.4992
cyp,1974,78.17256
cyp,1975,71.43391
cyp,1976,69.20756
cyp,1977,68.04543
cyp,1978,68.69512
cyp,1979,69.17179
cyp,1980,68.27292
cyp,1981,70.92236
cyp,1982,67.46292
cyp,1983,68.13838
cyp,1984,68.63443
cyp,1985,69.36708
cyp,1986,74.08681
cyp,1987,78.20327
cyp,1988,79.87407
cyp,1989,79.93458
cyp,1990,78.859
cyp,1991,79.15408
cyp,1992,77.51218
cyp,1993,97.59281
cyp,1994,97.04539
cyp,1995,96.28955
cyp,1996,96.36006
cyp,1997,96.19921
cyp,2000,97.75502
cyp,2001,97.27873
cyp,2002,98.24807
cyp,2003,98.46112
cyp,2004,98.82313
cyp,2012,98.01603
cyp,2013,97.08024
cyp,2014,96.5197
cyp,2015,97.51492
cyp,2016,96.73055
cyp,2017,97.35035
cze,2011,86.92786
cze,2012,86.89051
cze,2013,86.6735
cze,2014,86.82483
deu,1999,86.23573
deu,2000,85.84641
deu,2002,84.07851
deu,2003,84.31152
deu,2004,85.5198
deu,2005,86.33139
deu,2006,87.76365
deu,2007,88.1768
deu,2008,87.85435
deu,2009,87.55561
deu,2010,88.5254
deu,2011,88.23933
deu,2012,87.87234
deu,2013,87.49238
deu,2014,87.37846
deu,2015,88.60416
deu,2016,89.75716
dji,1985,28.68465
dji,1986,30.83432
dji,1987,31.30713
dji,1988,30.92623
dji,1989,30.57318
dji,1990,30.73785
dji,1992,32.4746
dji,1993,29.29704
dji,1994,30.23315
dji,1995,31.31098
dji,1996,31.70298
dji,1997,30.5015
dji,1999,30.93384
dji,2000,30.59019
dji,2001,33.55206
dji,2002,35.28767
dji,2004,39.39779
dji,2006,43.64816
dji,2007,46.56212
dji,2008,49.0315
dji,2009,47.92251
dji,2011,56.81963
dji,2013,57.0545
dji,2014,66.24361
dji,2015,58.7939
dji,2016,55.42056
dji,2017,58.28336
dji,2018,61.44035
dji,2019,67.03105
dma,1976,92.34462
dma,1977,90.55225
dma,1979,83.5451
dma,1980,84.89227
dma,1981,80.04496
dma,1982,87.21026
dma,2001,90.43045
dma,2002,93.30177
dma,2003,90.40734
dma,2004,89.19603
dma,2005,86.56604
dma,2006,84.83942
dma,2007,83.04798
dma,2008,83.97493
dma,2009,89.68292
dnk,1981,95.36119
dnk,1982,96.19605
dnk,1983,97.85117
dnk,1984,99.00059
dnk,1985,98.53924
dnk,1986,98.73537
dnk,1987,98.7379
dnk,1988,98.80832
dnk,1989,97.65609
dnk,1990,97.53591
dnk,1991,98.1948
dnk,1992,97.5219
dnk,1993,97.08281
dnk,1994,98.79416
dnk,1995,98.11558
dnk,1996,98.205
dnk,2004,97.69415
dnk,2005,95.52633
dnk,2006,95.76238
dnk,2007,96.27745
dnk,2008,95.38593
dnk,2009,95.32842
dnk,2010,95.23823
dnk,2011,97.18788
dnk,2012,97.73931
dnk,2013,98.26258
dnk,2014,98.00041
dnk,2015,98.43084
dom,1999,84.36393
dom,2000,85.54874
dom,2002,94.77839
dom,2003,92.39014
dom,2004,83.7179
dom,2005,85.12983
dom,2006,82.5706
dom,2007,89.39885
dom,2008,85.85353
dom,2010,97.34189
dom,2011,95.82306
dom,2012,94.72059
dom,2013,94.07368
dom,2014,92.22407
dom,2015,96.01235
dom,2016,95.1053
dom,2017,94.21366
dom,2018,93.6644
dza,1973,79.42281
dza,1974,83.84589
dza,1975,86.2003
dza,1976,87.94022
dza,1977,88.91038
dza,1978,89.35614
dza,1979,88.86889
dza,1980,89.77768
dza,1981,89.77075
dza,1982,89.15483
dza,1983,88.00073
dza,1984,88.80007
dza,1985,88.64711
dza,1986,89.25553
dza,1987,90.17259
dza,1988,90.97741
dza,1989,91.70887
dza,1990,91.9578
dza,1991,93.35622
dza,1992,94.01608
dza,1993,92.98404
dza,1994,92.36638
dza,1995,92.23078
dza,1996,91.26231
dza,1997,90.30376
dza,1999,91.91566
dza,2000,92.3043
dza,2001,94.22397
dza,2002,95.12632
dza,2003,95.43476
dza,2004,96.10832
dza,2005,96.42319
dza,2006,96.70968
dza,2007,96.79279
dza,2008,98.02377
ecu,1971,79.93399
ecu,1973,80.61961
ecu,1974,81.29184
ecu,1975,80.24773
ecu,1976,80.69941
ecu,1977,84.01487
ecu,1978,86.00211
ecu,1979,89.51334
ecu,1980,88.06807
ecu,1994,91.40981
ecu,1995,91.95301
ecu,1996,93.12778
ecu,1997,95.68465
ecu,1998,95.95363
ecu,1999,95.62943
ecu,2000,96.41042
ecu,2001,97.59962
ecu,2005,97.09549
ecu,2006,97.74023
ecu,2008,93.05199
egy,1971,77.54768
egy,1972,78.2335
egy,1973,78.14689
egy,1978,78.58982
egy,1994,93.58536
egy,1997,94.08485
egy,1999,89.65508
egy,2000,90.99357
egy,2001,91.40155
egy,2002,91.87038
egy,2003,92.56194
egy,2012,98.31666
eri,1992,30.38226
eri,1994,34.35614
eri,1995,35.84559
eri,1996,38.12986
eri,1997,39.11923
eri,1999,48.63603
eri,2000,56.8388
eri,2001,60.34951
eri,2002,69.80366
eri,2003,78.60105
eri,2004,84.91884
eri,2005,89.67167
eri,2006,90.73017
eri,2007,83.74648
eri,2008,79.35734
eri,2009,73.72033
eri,2010,69.28715
eri,2011,72.59646
eri,2012,74.84625
eri,2013,67.98159
eri,2014,66.71532
eri,2015,62.84909
eri,2017,54.54563
eri,2018,54.16268
esp,1971,91.83214
esp,1972,93.0087
esp,1973,94.11995
esp,1978,98.36698
esp,1979,98.2729
esp,1988,98.55153
esp,1989,99.11559
esp,1990,99.28488
esp,1992,99.50345
esp,2016,98.52461
esp,2017,97.00026
est,1995,87.95851
est,1996,91.28062
est,2013,98.55772
est,2014,94.07457
est,2015,93.10296
est,2016,93.08167
est,2017,93.35024
eth,1987,34.43009
eth,1988,35.26267
eth,1989,33.24377
eth,1994,22.7423
eth,1995,26.53065
eth,1996,31.95442
eth,1998,40.46334
eth,1999,42.48641
eth,2000,46.1645
eth,2001,50.07133
eth,2002,52.03057
eth,2003,52.37258
eth,2004,54.20491
eth,2005,64.45271
eth,2006,68.30408
eth,2007,73.32704
eth,2008,78.93509
eth,2009,77.86184
eth,2010,76.03716
eth,2011,80.20193
eth,2012,81.35303
eth,2014,88.56947
eth,2015,88.30147
fin,1993,98.78996
fin,1994,98.57107
fin,1995,98.27037
fin,1996,98.07904
fin,1997,98.64283
fin,1998,99.61708
fin,2002,99.36915
fin,2003,98.7304
fin,2004,97.82647
fin,2005,97.27701
fin,2006,96.59752
fin,2007,97.22416
fin,2008,97.84781
fin,2009,97.97521
fin,2010,98.27087
fin,2011,98.58689
fin,2012,99.12763
fin,2013,99.06339
fin,2014,99.25036
fin,2015,99.14049
fin,2016,99.01823
fin,2017,98.56114
fji,1992,96.60976
fji,1994,96.89268
fji,1995,95.23017
fji,1996,93.37617
fji,1997,93.79688
fji,1998,94.53561
fji,1999,93.97368
fji,2000,94.85398
fji,2001,97.84368
fji,2003,98.79478
fji,2009,98.88876
fji,2013,98.3835
fji,2015,99.42236
fra,1971,96.91728
fra,1972,96.75117
fra,1977,99.26753
fra,1979,98.77855
fra,1980,98.95077
fra,1982,97.47441
fra,1983,95.11292
fra,1985,94.67462
fra,1986,97.63682
fra,1992,99.22418
fra,1993,97.84133
fra,1994,97.86809
fra,1995,99.02199
fra,1997,99.89051
fra,1999,96.44267
fra,2000,95.99746
fra,2001,95.88284
fra,2002,95.81389
fra,2003,95.59075
fra,2004,95.4637
fra,2008,98.50922
fra,2009,98.13062
fra,2010,97.87116
fra,2011,98.68595
fra,2012,98.40213
fra,2013,98.50656
fra,2014,97.84189
fra,2015,98.79394
fra,2016,99.11181
fsm,2015,85.27057
gab,1997,90.98443
gbr,1971,98.19153
gbr,1972,97.4339
gbr,1973,96.45481
gbr,1974,95.89321
gbr,1975,95.7065
gbr,1976,95.66889
gbr,1977,95.99697
gbr,1978,96.04739
gbr,1979,96.24084
gbr,1980,97.63584
gbr,1981,97.46892
gbr,1982,96.46897
gbr,1983,94.96278
gbr,1984,94.66237
gbr,1985,93.46197
gbr,1986,95.1087
gbr,1987,97.81969
gbr,1988,99.50512
gbr,1991,97.93763
gbr,1992,96.48854
gbr,2002,99.75398
gbr,2004,99.32808
gbr,2006,99.39697
gbr,2007,97.5347
gbr,2008,98.92475
gbr,2009,98.12593
gbr,2010,98.21677
gbr,2011,98.09179
gbr,2012,98.39444
gbr,2013,99.84246
gbr,2016,99.73306
gbr,2017,99.70747
geo,1995,92.01972
geo,1996,97.62111
geo,2008,98.14265
geo,2009,96.54485
geo,2011,97.11457
geo,2012,99.15627
geo,2014,99.70527
geo,2016,97.6667
gha,1999,60.94816
gha,2000,68.96736
gha,2001,63.06971
gha,2002,66.98685
gha,2003,65.98241
gha,2005,71.10572
gha,2006,72.3256
gha,2007,77.8326
gha,2008,83.37091
gha,2009,83.88026
gha,2011,91.85506
gha,2017,85.17894
gha,2018,84.40342
gha,2019,86.24524
gib,1978,69.62283
gib,1979,68.35187
gib,1981,69.14573
gib,1982,71.69432
gin,1984,33.76772
gin,1985,37.97756
gin,1986,34.89185
gin,1987,32.50481
gin,1988,33.5271
gin,1989,33.15217
gin,1990,32.16388
gin,1991,34.58537
gin,1998,49.8258
gin,1999,51.41868
gin,2000,53.16905
gin,2001,55.95693
gin,2002,63.36273
gin,2003,66.1244
gin,2004,68.50166
gin,2005,69.64583
gin,2006,70.96237
gin,2007,72.79655
gin,2008,71.85577
gin,2009,73.25391
gin,2010,76.65908
gin,2011,79.86467
gin,2012,79.80611
gin,2013,81.30832
gin,2014,85.26402
gin,2016,85.44414
gmb,1971,29.01775
gmb,1972,28.52097
gmb,1973,29.96358
gmb,1974,30.25753
gmb,1975,31.54636
gmb,1976,33.62133
gmb,1977,39.57107
gmb,1978,43.03527
gmb,1979,48.43461
gmb,1980,54.05259
gmb,1981,64.15842
gmb,1982,68.72497
gmb,1983,72.0803
gmb,1984,72.33135
gmb,1985,75.41615
gmb,1986,74.38189
gmb,1992,55.72665
gmb,1993,58.91795
gmb,1996,64.58786
gmb,1998,63.37975
gmb,1999,72.19942
gmb,2000,67.48362
gmb,2001,66.15385
gmb,2002,63.97664
gmb,2003,65.38135
gmb,2004,64.68291
gmb,2005,62.18473
gmb,2006,66.90734
gmb,2007,68.80553
gmb,2008,64.21721
gmb,2010,66.59542
gmb,2011,65.56247
gmb,2012,67.9679
gmb,2013,67.757
gmb,2014,66.93814
gmb,2015,72.67655
gmb,2016,74.05947
gmb,2017,76.38094
gmb,2018,77.98925
gnb,1981,59.59809
gnb,1982,72.95027
gnb,1984,67.4435
gnb,1985,66.03309
gnb,1987,52.89777
gnb,1988,51.08111
gnb,2000,57.77933
gnb,2010,74.52752
gnq,1994,64.73032
gnq,2000,72.14415
gnq,2001,76.68926
gnq,2002,74.86237
gnq,2003,70.76935
gnq,2008,47.43938
gnq,2009,45.95365
gnq,2010,44.93186
gnq,2011,45.75179
gnq,2012,47.10176
gnq,2015,43.84497
grc,1971,91.92808
grc,1972,92.21438
grc,1973,93.15402
grc,1974,94.61104
grc,1975,94.78449
grc,1976,94.74861
grc,1977,94.11286
grc,1978,93.44522
grc,1979,92.69796
grc,1980,91.3864
grc,1981,92.6622
grc,1982,93.0548
grc,1983,93.85168
grc,1984,93.81368
grc,1985,93.73216
grc,1986,92.84476
grc,1987,90.81067
grc,1988,91.53878
grc,1989,91.08772
grc,1990,91.02958
grc,1991,90.72111
grc,1992,88.79906
grc,1993,87.292
grc,1994,87.01638
grc,1995,87.72608
grc,1996,88.08355
grc,1997,89.38018
