geo,time,ag_lnd_crel_ha
com,1966,15000
com,1967,14100
com,1968,12200
com,1969,12300
com,1970,12300
com,1971,12300
com,1972,12500
com,1973,12700
com,1974,13100
com,1975,13300
com,1976,14000
com,1977,14600
com,1978,15500
com,1979,17000
com,1980,17200
com,1981,17300
com,1982,17200
com,1983,16000
com,1984,15000
com,1985,15200
com,1986,15200
com,1987,14236
com,1988,14257
com,1989,14477
com,1990,14724
com,1991,15027
com,1992,15548
com,1993,15965
com,1994,15984
com,1995,16151
com,1996,16276
com,1997,16434
com,1998,16775
com,1999,16198
com,2000,14354
com,2001,15855
com,2002,16139
com,2003,16506
com,2004,16874
com,2005,16984
com,2006,19000
com,2007,16144
com,2008,19249
com,2009,19868
com,2010,21500
com,2011,23600
com,2012,24600
com,2013,25500
com,2014,26918
com,2015,27329
com,2016,28730
com,2017,27723
com,2018,27996
cpv,1961,20000
cpv,1962,20000
cpv,1963,20000
cpv,1964,20000
cpv,1965,35000
cpv,1966,39000
cpv,1967,45000
cpv,1968,25000
cpv,1969,16000
cpv,1970,3000
cpv,1971,3000
cpv,1972,3000
cpv,1973,3000
cpv,1974,7000
cpv,1975,9000
cpv,1976,11000
cpv,1977,4000
cpv,1978,3000
cpv,1979,14000
cpv,1980,16000
cpv,1981,7000
cpv,1982,10000
cpv,1983,7000
cpv,1984,5115
cpv,1985,3300
cpv,1986,22716
cpv,1987,34882
cpv,1988,34256
cpv,1989,35480
cpv,1990,34124
cpv,1991,32655
cpv,1992,33975
cpv,1993,33105
cpv,1994,32612
cpv,1995,31066
cpv,1996,32127
cpv,1997,33347
cpv,1998,34518
cpv,1999,31358
cpv,2000,30626
cpv,2001,30674
cpv,2002,34122
cpv,2003,32053
cpv,2004,25963
cpv,2005,15000
cpv,2006,29263
cpv,2007,27873
cpv,2008,34385
cpv,2009,31983
cpv,2010,32028
cpv,2011,31318
cpv,2012,30582
cpv,2013,31727
cpv,2014,31036
cpv,2015,31386
cpv,2016,31698
cpv,2017,31699
cpv,2018,31698
cri,1961,103000
cri,1962,112000
cri,1963,108450
cri,1964,127400
cri,1965,110480
cri,1966,122700
cri,1967,127900
cri,1968,125400
cri,1969,113800
cri,1970,113000
cri,1971,94500
cri,1972,94800
cri,1973,133961
cri,1974,127847
cri,1975,149387
cri,1976,158912
cri,1977,143006
cri,1978,136437
cri,1979,142185
cri,1980,118847
cri,1981,147655
cri,1982,146757
cri,1983,155087
cri,1984,156147
cri,1985,163884
cri,1986,151845
cri,1987,132725
cri,1988,125081
cri,1989,93701
cri,1990,92604
cri,1991,80415
cri,1992,76335
cri,1993,61089
cri,1994,62892
cri,1995,55589
cri,1996,76455
cri,1997,74354
cri,1998,69798
cri,1999,79540
cri,2000,78573
cri,2001,64642
cri,2002,54669
cri,2003,62522
cri,2004,68596
cri,2005,61608
cri,2006,55138
cri,2007,56303
cri,2008,61411
cri,2009,74792
cri,2010,89566
cri,2011,87009
cri,2012,63990
cri,2013,72653
cri,2014,52159
cri,2015,53193
cri,2016,53124
cri,2017,42769
cri,2018,38118
cub,1961,275000
cub,1962,294072
cub,1963,263000
cub,1964,178969
cub,1965,145000
cub,1966,140000
cub,1967,146367
cub,1968,173900
cub,1969,222300
cub,1970,303300
cub,1971,274100
cub,1972,297657
cub,1973,331460
cub,1974,295086
cub,1975,261503
cub,1976,240040
cub,1977,228760
cub,1978,228733
cub,1979,224478
cub,1980,225354
cub,1981,222400
cub,1982,228700
cub,1983,227100
cub,1984,238600
cub,1985,237200
cub,1986,248600
cub,1987,231295
cub,1988,229477
cub,1989,245421
cub,1990,230425
cub,1991,222271
cub,1992,252411
cub,1993,191958
cub,1994,272237
cub,1995,254958
cub,1996,357452
cub,1997,373420
cub,1998,329930
cub,1999,289690
cub,2000,326773
cub,2001,312470
cub,2002,320561
cub,2003,337417
cub,2004,304417
cub,2005,285839
cub,2006,267397
cub,2007,277892
cub,2008,285011
cub,2009,419902
cub,2010,402165
cub,2011,351512
cub,2012,358162
cub,2013,380298
cub,2014,361651
cub,2015,267044
cub,2016,316736
cub,2017,275444
cub,2018,282416
cyp,1961,141673
cyp,1962,137794
cyp,1963,138730
cyp,1964,140469
cyp,1965,143975
cyp,1966,143145
cyp,1967,141941
cyp,1968,143145
cyp,1969,138060
cyp,1970,152107
cyp,1971,156857
cyp,1972,153111
cyp,1973,160536
cyp,1974,162141
cyp,1975,57058
cyp,1976,62435
cyp,1977,61773
cyp,1978,50088
cyp,1979,46743
cyp,1980,49097
cyp,1981,49151
cyp,1982,51560
cyp,1983,51345
cyp,1984,52710
cyp,1985,53486
cyp,1986,52108
cyp,1987,54047
cyp,1988,58998
cyp,1989,59701
cyp,1990,57530
cyp,1991,48790
cyp,1992,65110
cyp,1993,69100
cyp,1994,63500
cyp,1995,60870
cyp,1996,58940
cyp,1997,43020
cyp,1998,59090
cyp,1999,58940
cyp,2000,51480
cyp,2001,55970
cyp,2002,59200
cyp,2003,72745
cyp,2004,66397
cyp,2005,58218
cyp,2006,54795
cyp,2007,39806
cyp,2008,35973
cyp,2009,31155
cyp,2010,32892
cyp,2011,35916
cyp,2012,37822
cyp,2013,30760
cyp,2014,25303
cyp,2015,32846
cyp,2016,23289
cyp,2017,19879
cyp,2018,19038
cze,1993,1613589
cze,1994,1661548
cze,1995,1583945
cze,1996,1588882
cze,1997,1693643
cze,1998,1683785
cze,1999,1596798
cze,2000,1655815
cze,2001,1631003
cze,2002,1569116
cze,2003,1466926
cze,2004,1617273
cze,2005,1619151
cze,2006,1539462
cze,2007,1582788
cze,2008,1561492
cze,2009,1544454
cze,2010,1465570
cze,2011,1482187
cze,2012,1457126
cze,2013,1415798
cze,2014,1412209
cze,2015,1392345
cze,2016,1361498
cze,2017,1357136
cze,2018,1341236
deu,1961,7138919
deu,1962,7145685
deu,1963,7168885
deu,1964,7285822
deu,1965,7229500
deu,1966,7207233
deu,1967,7286316
deu,1968,7431223
deu,1969,7499085
deu,1970,7470600
deu,1971,7571500
deu,1972,7633527
deu,1973,7662538
deu,1974,7743113
deu,1975,7805553
deu,1976,7816354
deu,1977,7800601
deu,1978,7878846
deu,1979,7723359
deu,1980,7737979
deu,1981,7614540
deu,1982,7583943
deu,1983,7582053
deu,1984,7512692
deu,1985,7403403
deu,1986,7327154
deu,1987,7157693
deu,1988,7138343
deu,1989,7087608
deu,1990,6944862
deu,1991,6559828
deu,1992,6514452
deu,1993,6223589
deu,1994,6235406
deu,1995,6526733
deu,1996,6707371
deu,1997,7014075
deu,1998,7041633
deu,1999,6634681
deu,2000,7015690
deu,2001,7045736
deu,2002,6940982
deu,2003,6839431
deu,2004,6946946
deu,2005,6839000
deu,2006,6702200
deu,2007,6571690
deu,2008,7038419
deu,2009,6908443
deu,2010,6587482
deu,2011,6490900
deu,2012,6517900
deu,2013,6526000
deu,2014,6460700
deu,2015,6517500
deu,2016,6316300
deu,2017,6266500
deu,2018,6102278
dji,1981,2
dji,1982,2
dji,1983,2
dji,1984,3
dji,1985,4
dji,1986,6
dji,1987,6
dji,1988,7
dji,1989,3
dji,1990,6
dji,1991,6
dji,1992,6
dji,1993,6
dji,1994,6
dji,1995,6
dji,1996,6
dji,1997,6
dji,1998,6
dji,1999,6
dji,2000,6
dji,2001,7
dji,2002,6
dji,2003,6
dji,2004,6
dji,2005,6
dji,2006,6
dji,2007,6
dji,2008,7
dji,2009,7
dji,2010,8
dji,2011,8
dji,2012,8
dji,2013,8
dji,2014,8
dji,2015,9
dji,2016,9
dji,2017,9
dji,2018,9
dma,1961,110
dma,1962,110
dma,1963,115
dma,1964,115
dma,1965,120
dma,1966,120
dma,1967,125
dma,1968,125
dma,1969,130
dma,1970,130
dma,1971,135
dma,1972,135
dma,1973,140
dma,1974,140
dma,1975,150
dma,1976,150
dma,1977,150
dma,1978,150
dma,1979,155
dma,1980,160
dma,1981,165
dma,1982,170
dma,1983,180
dma,1984,170
dma,1985,150
dma,1986,150
dma,1987,130
dma,1988,120
dma,1989,120
dma,1990,110
dma,1991,119
dma,1992,121
dma,1993,120
dma,1994,130
dma,1995,126
dma,1996,128
dma,1997,129
dma,1998,124
dma,1999,128
dma,2000,129
dma,2001,128
dma,2002,129
dma,2003,135
dma,2004,132
dma,2005,140
dma,2006,142
dma,2007,145
dma,2008,132
dma,2009,128
dma,2010,120
dma,2011,100
dma,2012,120
dma,2013,120
dma,2014,125
dma,2015,120
dma,2016,118
dma,2017,118
dma,2018,117
dnk,1961,1536555
dnk,1962,1541998
dnk,1963,1569717
dnk,1964,1567605
dnk,1965,1596967
dnk,1966,1604664
dnk,1967,1637727
dnk,1968,1685196
dnk,1969,1704169
dnk,1970,1738944
dnk,1971,1756753
dnk,1972,1776923
dnk,1973,1761836
dnk,1974,1732993
dnk,1975,1719594
dnk,1976,1787311
dnk,1977,1821271
dnk,1978,1845072
dnk,1979,1850217
dnk,1980,1816317
dnk,1981,1787302
dnk,1982,1767772
dnk,1983,1697885
dnk,1984,1674107
dnk,1985,1600599
dnk,1986,1578349
dnk,1987,1498961
dnk,1988,1586765
dnk,1989,1561598
dnk,1990,1570303
dnk,1991,1561552
dnk,1992,1611927
dnk,1993,1444000
dnk,1994,1410350
dnk,1995,1454400
dnk,1996,1523000
dnk,1997,1535200
dnk,1998,1530166
dnk,1999,1496784
dnk,2000,1514258
dnk,2001,1538062
dnk,2002,1527934
dnk,2003,1484586
dnk,2004,1490600
dnk,2005,1508600
dnk,2006,1493900
dnk,2007,1448300
dnk,2008,1513200
dnk,2009,1499300
dnk,2010,1508400
dnk,2011,1496500
dnk,2012,1503300
dnk,2013,1443760
dnk,2014,1450871
dnk,2015,1459400
dnk,2016,1471275
dnk,2017,1449769
dnk,2018,1416306
dom,1961,93320
dom,1962,91000
dom,1963,91400
dom,1964,96600
dom,1965,103000
dom,1966,104000
dom,1967,108625
dom,1968,118736
dom,1969,115600
dom,1970,112928
dom,1971,104000
dom,1972,96800
dom,1973,95700
dom,1974,101332
dom,1975,118506
dom,1976,152460
dom,1977,152851
dom,1978,154449
dom,1979,149753
dom,1980,150747
dom,1981,146215
dom,1982,131252
dom,1983,146607
dom,1984,185795
dom,1985,168012
dom,1986,146304
dom,1987,161772
dom,1988,147962
dom,1989,154952
dom,1990,122179
dom,1991,132168
dom,1992,103306
dom,1993,124098
dom,1994,114623
dom,1995,143425
dom,1996,137453
dom,1997,142802
dom,1998,142964
dom,1999,151804
dom,2000,146693
dom,2001,179058
dom,2002,176390
dom,2003,164037
dom,2004,162095
dom,2005,179069
dom,2006,174845
dom,2007,178540
dom,2008,180503
dom,2009,206348
dom,2010,199832
dom,2011,198098
dom,2012,188794
dom,2013,191727
dom,2014,188610
dom,2015,184342
dom,2016,190252
dom,2017,200873
dom,2018,219382
dza,1961,2708623
dza,1962,2911300
dza,1963,2891420
dza,1964,2805810
dza,1965,2862350
dza,1966,1921790
dza,1967,2600270
dza,1968,3017870
dza,1969,3012480
dza,1970,3228170
dza,1971,2952400
dza,1972,3517530
dza,1973,3232850
dza,1974,2973050
dza,1975,3171240
dza,1976,3349880
dza,1977,2780260
dza,1978,2624990
dza,1979,2886660
dza,1980,3181380
dza,1981,2836390
dza,1982,2569300
dza,1983,2227560
dza,1984,2670070
dza,1985,3198670
dza,1986,2871100
dza,1987,2719150
dza,1988,1808540
dza,1989,2638170
dza,1990,2365999
dza,1991,3418278
dza,1992,3530507
dza,1993,1959520
dza,1994,1287357
dza,1995,2579551
dza,1996,3663945
dza,1997,1115670
dza,1998,3575718
dza,1999,1888946
dza,2000,1058184
dza,2001,2402748
dza,2002,1845217
dza,2003,2901720
dza,2004,3000731
dza,2005,2350627
dza,2006,2672232
dza,2007,2873873
dza,2008,1485477
dza,2009,3176367
dza,2010,2856583
dza,2011,2584749
dza,2012,3062463
dza,2013,2709432
dza,2014,2509193
dza,2015,2686254
dza,2016,3376433
dza,2017,3512136
dza,2018,3448395
ecu,1961,504534
ecu,1962,567973
ecu,1963,598034
ecu,1964,650732
ecu,1965,640901
ecu,1966,591684
ecu,1967,706492
ecu,1968,587030
ecu,1969,614933
ecu,1970,595413
ecu,1971,612063
ecu,1972,626234
ecu,1973,494759
ecu,1974,495507
ecu,1975,542225
ecu,1976,564825
ecu,1977,461054
ecu,1978,330304
ecu,1979,396097
ecu,1980,414747
ecu,1981,444800
ecu,1982,418234
ecu,1983,358299
ecu,1984,442254
ecu,1985,431368
ecu,1986,817236
ecu,1987,853392
ecu,1988,845168
ecu,1989,819720
ecu,1990,802193
ecu,1991,663880
ecu,1992,918400
ecu,1993,970500
ecu,1994,991680
ecu,1995,958070
ecu,1996,1016054
ecu,1997,1043439
ecu,1998,759668
ecu,1999,869797
ecu,2000,817509
ecu,2001,865736
ecu,2002,845030
ecu,2003,785161
ecu,2004,892221
ecu,2005,810795
ecu,2006,805174
ecu,2007,867353
ecu,2008,767151
ecu,2009,822099
ecu,2010,879534
ecu,2011,954742
ecu,2012,898988
ecu,2013,939958
ecu,2014,875458
ecu,2015,825031
ecu,2016,706511
ecu,2017,743940
ecu,2018,688916
egy,1961,1723824
egy,1962,1975708
egy,1963,1944683
egy,1964,1907398
egy,1965,1625595
egy,1966,1817474
egy,1967,1894358
egy,1968,2054000
egy,1969,1920028
egy,1970,1911633
egy,1971,1927747
egy,1972,1894562
