geo,time,ic_imp_tmbc
brn,2017,48
brn,2018,48
brn,2019,48
btn,2014,5
btn,2015,5
btn,2016,5
btn,2017,5
btn,2018,5
btn,2019,5
bwa,2014,4.42308
bwa,2015,4.42308
bwa,2016,4.42308
bwa,2017,3.5
bwa,2018,3.5
bwa,2019,3.5
caf,2014,121.7143
caf,2015,121.7143
caf,2016,121.7143
caf,2017,121.7143
caf,2018,121.7143
caf,2019,121.7143
can,2014,2
can,2015,2
can,2016,2
can,2017,2
can,2018,2
can,2019,2
che,2014,1
che,2015,1
che,2016,1
che,2017,1
che,2018,1
che,2019,1
chl,2014,54
chl,2015,54
chl,2016,54
chl,2017,54
chl,2018,54
chl,2019,54
chn,2014,92.31429
chn,2015,92.31429
chn,2016,92.31429
chn,2017,92.31429
chn,2018,48
chn,2019,35.65
civ,2014,125.1429
civ,2015,125.1429
civ,2016,125.1429
civ,2017,125.1429
civ,2018,125.1429
civ,2019,125.1429
cmr,2014,271
cmr,2015,271
cmr,2016,271
cmr,2017,271
cmr,2018,271
cmr,2019,271
cod,2014,420
cod,2015,588
cod,2016,588
cod,2017,588
cod,2018,336
cod,2019,336
cog,2014,397.3333
cog,2015,397.3333
cog,2016,397.3333
cog,2017,397.3333
cog,2018,397.3333
cog,2019,397.3333
col,2014,112
col,2015,112
col,2016,112
col,2017,112
col,2018,112
col,2019,112
com,2014,70.27273
com,2015,70.27273
com,2016,70.27273
com,2017,70.27273
com,2018,70.27273
com,2019,70.27273
cpv,2014,60
cpv,2015,60
cpv,2016,60
cpv,2017,60
cpv,2018,60
cpv,2019,60
cri,2014,80
cri,2015,80
cri,2016,80
cri,2017,80
cri,2018,80
cri,2019,80
cyp,2014,14.66667
cyp,2015,14.66667
cyp,2016,14.66667
cyp,2017,14.66667
cyp,2018,14.66667
cyp,2019,14.66667
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,0
cze,2018,0
cze,2019,0
deu,2014,0
deu,2015,0
deu,2016,0
deu,2017,0
deu,2018,0
deu,2019,0
dji,2014,118
dji,2015,118
dji,2016,118
dji,2017,118
dji,2018,118
dji,2019,118
dma,2014,39.27273
dma,2015,39.27273
dma,2016,39.27273
dma,2017,39.27273
dma,2018,39.27273
dma,2019,39.27273
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,0
dom,2014,24
dom,2015,24
dom,2016,24
dom,2017,24
dom,2018,24
dom,2019,24
dza,2014,327.3896
dza,2015,327.3896
dza,2016,327.3896
dza,2017,327.3896
dza,2018,209.5714
dza,2019,209.5714
ecu,2014,24
ecu,2015,24
ecu,2016,24
ecu,2017,24
ecu,2018,24
ecu,2019,24
egy,2014,120
egy,2015,120
egy,2016,240
egy,2017,240
egy,2018,240
egy,2019,240
esp,2014,0
esp,2015,0
esp,2016,0
esp,2017,0
esp,2018,0
esp,2019,0
est,2014,0
est,2015,0
est,2016,0
est,2017,0
est,2018,0
est,2019,0
eth,2014,109.1538
eth,2015,109.1538
eth,2016,109.1538
eth,2017,72.23077
eth,2018,72.23077
eth,2019,72.23077
fin,2014,2
fin,2015,2
fin,2016,2
fin,2017,2
fin,2018,2
fin,2019,2
fji,2014,42
fji,2015,42
fji,2016,42
fji,2017,42
fji,2018,42
fji,2019,34.75
fra,2014,0
fra,2015,0
fra,2016,0
fra,2017,0
fra,2018,0
fra,2019,0
fsm,2014,56
fsm,2015,56
fsm,2016,56
fsm,2017,56
fsm,2018,56
fsm,2019,56
gab,2014,84
gab,2015,84
gab,2016,84
gab,2017,84
gab,2018,84
gab,2019,84
gbr,2014,3
gbr,2015,3
gbr,2016,3
gbr,2017,3
gbr,2018,3
gbr,2019,3
geo,2014,15
geo,2015,15
geo,2016,15
geo,2017,15
geo,2018,15
geo,2019,15
gha,2014,89.42857
gha,2015,89.42857
gha,2016,89.42857
gha,2017,89.42857
gha,2018,80
gha,2019,80
gin,2014,90.85714
gin,2015,90.85714
gin,2016,90.85714
gin,2017,90.85714
gin,2018,78.85714
gin,2019,78.85714
gmb,2014,87
gmb,2015,87
gmb,2016,87
gmb,2017,87
gmb,2018,87
gmb,2019,87
gnb,2014,84
gnb,2015,84
gnb,2016,84
gnb,2017,84
gnb,2018,84
gnb,2019,84
gnq,2014,240
gnq,2015,240
gnq,2016,240
gnq,2017,240
gnq,2018,240
gnq,2019,240
grc,2014,0.5
grc,2015,0.5
grc,2016,0.5
grc,2017,0.5
grc,2018,0.5
grc,2019,0.5
grd,2014,37.33333
grd,2015,37.33333
grd,2016,37.33333
grd,2017,37.33333
grd,2018,37.33333
grd,2019,37.33333
gtm,2014,96
gtm,2015,72
gtm,2016,72
gtm,2017,72
gtm,2018,72
gtm,2019,72
guy,2014,84
guy,2015,84
guy,2016,84
guy,2017,84
guy,2018,84
guy,2019,84
hkg,2014,18.54545
hkg,2015,18.54545
hkg,2016,18.54545
hkg,2017,18.54545
hkg,2018,18.54545
hkg,2019,18.54545
hnd,2014,56
hnd,2015,56
hnd,2016,96
hnd,2017,96
hnd,2018,96
hnd,2019,96
hrv,2014,0.14444
hrv,2015,0.14444
hrv,2016,0.14444
hrv,2017,0.14444
hrv,2018,0.14444
hrv,2019,0.14444
hti,2014,91
hti,2015,91
hti,2016,83
hti,2017,83
hti,2018,83
hti,2019,83
hun,2014,0
hun,2015,0
hun,2016,0
hun,2017,0
hun,2018,0
hun,2019,0
idn,2014,99.36
idn,2015,99.36
idn,2016,99.36
idn,2017,99.36
idn,2018,99.36
idn,2019,99.36
ind,2014,287.3766
ind,2015,287.3766
ind,2016,283.3489
ind,2017,264.5489
ind,2018,96.7
ind,2019,65.3
irl,2014,24
irl,2015,24
irl,2016,24
irl,2017,24
irl,2018,24
irl,2019,24
irn,2014,147.6923
irn,2015,147.6923
irn,2016,141
irn,2017,141
irn,2018,141
irn,2019,141
irq,2014,130.6667
irq,2015,130.6667
irq,2016,130.6667
irq,2017,130.6667
irq,2018,130.6667
irq,2019,130.6667
isl,2014,24
isl,2015,24
isl,2016,24
isl,2017,24
isl,2018,24
isl,2019,24
isr,2014,64
isr,2015,64
isr,2016,64
isr,2017,64
isr,2018,64
isr,2019,64
ita,2014,0
ita,2015,0
ita,2016,0
ita,2017,0
ita,2018,0
ita,2019,0
jam,2014,80
jam,2015,80
jam,2016,80
jam,2017,80
jam,2018,80
jam,2019,80
jor,2014,78.85714
jor,2015,78.85714
jor,2016,78.85714
jor,2017,78.85714
jor,2018,78.85714
jor,2019,78.85714
jpn,2014,39.6
jpn,2015,39.6
jpn,2016,39.6
jpn,2017,39.6
jpn,2018,39.6
jpn,2019,39.6
kaz,2014,2
kaz,2015,2
kaz,2016,2
kaz,2017,2
kaz,2018,2
kaz,2019,2
ken,2014,180
ken,2015,180
ken,2016,180
ken,2017,180
ken,2018,180
ken,2019,194
kgz,2014,72
kgz,2015,72
kgz,2016,72
kgz,2017,72
kgz,2018,68.90909
kgz,2019,68.90909
khm,2014,7.5
khm,2015,7.5
khm,2016,7.5
khm,2017,7.5
khm,2018,7.5
khm,2019,7.5
kir,2014,96
kir,2015,96
kir,2016,96
kir,2017,96
kir,2018,96
kir,2019,96
kna,2014,37.14286
kna,2015,37.14286
kna,2016,37.14286
kna,2017,37.14286
kna,2018,37.14286
kna,2019,37.14286
kor,2014,6
kor,2015,6
kor,2016,6
kor,2017,6
kor,2018,6
kor,2019,6
kos,2014,5.5
kos,2015,5.5
kos,2016,5.5
kos,2017,5.5
kos,2018,5.5
kos,2019,5.5
kwt,2014,89.45455
kwt,2015,89.45455
kwt,2016,89.45455
kwt,2017,89.45455
kwt,2018,89.45455
kwt,2019,72
lao,2014,13.5
lao,2015,13.5
lao,2016,13.5
lao,2017,13.5
lao,2018,10.5
lao,2019,10.5
lbn,2014,180
lbn,2015,180
lbn,2016,180
lbn,2017,180
lbn,2018,180
lbn,2019,180
lbr,2014,217
lbr,2015,217
lbr,2016,217
lbr,2017,217
lbr,2018,217
lbr,2019,217
lby,2014,78.85714
lby,2015,78.85714
lby,2016,78.85714
lby,2017,78.85714
lby,2018,78.85714
lby,2019,78.85714
lca,2014,26.57143
lca,2015,26.57143
lca,2016,26.57143
lca,2017,26.57143
lca,2018,26.57143
lca,2019,26.57143
lie,2018,1
lie,2019,1
lka,2014,72
lka,2015,72
lka,2016,72
lka,2017,72
lka,2018,72
lka,2019,72
lso,2014,4.5
lso,2015,4.5
lso,2016,4.5
lso,2017,4.5
lso,2018,4.5
lso,2019,4.5
ltu,2014,0
ltu,2015,0
ltu,2016,0
ltu,2017,0
ltu,2018,0
ltu,2019,0
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0
lux,2018,0
lux,2019,0
lva,2014,0
lva,2015,0
lva,2016,0
lva,2017,0
lva,2018,0
lva,2019,0
mar,2014,131.7
mar,2015,131.7
mar,2016,106
mar,2017,106
mar,2018,65
mar,2019,57
mda,2014,2.88889
mda,2015,2.88889
mda,2016,4.38889
mda,2017,4.38889
mda,2018,4.38889
mda,2019,4.38889
mdg,2014,128.7273
mdg,2015,104.7273
mdg,2016,98.72727
mdg,2017,98.72727
mdg,2018,98.72727
mdg,2019,98.72727
mdv,2014,100
mdv,2015,100
mdv,2016,100
mdv,2017,100
mdv,2018,100
mdv,2019,100
mex,2014,44.22222
mex,2015,44.22222
mex,2016,44.22222
mex,2017,44.22222
mex,2018,44.22222
mex,2019,44.22222
mhl,2014,84
mhl,2015,84
mhl,2016,84
mhl,2017,84
mhl,2018,84
mhl,2019,84
mkd,2014,7.5
mkd,2015,7.5
mkd,2016,7.5
mkd,2017,7.5
mkd,2018,7.5
mkd,2019,7.5
mli,2014,105.3333
mli,2015,98.33333
mli,2016,98.33333
mli,2017,98.33333
mli,2018,98.33333
mli,2019,98.33333
mlt,2014,1.55556
mlt,2015,1.55556
mlt,2016,1.55556
mlt,2017,1.55556
mlt,2018,1.55556
mlt,2019,1.55556
mmr,2014,120
mmr,2015,120
mmr,2016,232
mmr,2017,230
mmr,2018,230
mmr,2019,230
mne,2014,23.22222
mne,2015,23.22222
mne,2016,23.22222
mne,2017,23.22222
mne,2018,23.22222
mne,2019,23.22222
mng,2014,48
mng,2015,48
mng,2016,48
mng,2017,48
mng,2018,48
mng,2019,48
moz,2014,14
moz,2015,14
moz,2016,14
moz,2017,14
moz,2018,9
moz,2019,9
mrt,2014,126
mrt,2015,84
mrt,2016,84
mrt,2017,69
mrt,2018,69
mrt,2019,69
mus,2014,51
mus,2015,51
mus,2016,51
mus,2017,41
mus,2018,41
mus,2019,41
mwi,2014,63.69231
mwi,2015,63.69231
mwi,2016,63.69231
mwi,2017,55.03846
mwi,2018,55.03846
mwi,2019,55.03846
mys,2014,72
mys,2015,72
mys,2016,72
mys,2017,69
mys,2018,36
mys,2019,36
nam,2014,5.5
nam,2015,5.5
nam,2016,5.5
nam,2017,5.5
nam,2018,5.5
nam,2019,5.5
ner,2014,78
ner,2015,114
ner,2016,78
ner,2017,78
ner,2018,78
ner,2019,78
nga,2014,283.7143
nga,2015,283.7143
nga,2016,283.7143
nga,2017,283.7143
nga,2018,263.7143
nga,2019,241.7143
nic,2014,72
nic,2015,72
nic,2016,72
nic,2017,72
nic,2018,72
nic,2019,72
nld,2014,0
nld,2015,0
nld,2016,0
nld,2017,0
nld,2018,0
nld,2019,0
nor,2014,2
nor,2015,2
nor,2016,2
nor,2017,2
nor,2018,2
nor,2019,2
npl,2014,62.7
npl,2015,62.7
npl,2016,57.77778
npl,2017,57.77778
npl,2018,57.77778
npl,2019,11
nzl,2014,25
nzl,2015,25
nzl,2016,25
nzl,2017,25
nzl,2018,25
nzl,2019,25
omn,2014,94.28571
omn,2015,70.28571
omn,2016,70.28571
omn,2017,70.28571
omn,2018,70.28571
omn,2019,39
pak,2014,131.2857
pak,2015,131.2857
pak,2016,120
pak,2017,120
pak,2018,120
pak,2019,120
pan,2014,24
pan,2015,24
pan,2016,24
pan,2017,24
pan,2018,24
pan,2019,24
per,2014,72
per,2015,72
per,2016,72
per,2017,72
per,2018,72
per,2019,72
phl,2014,72
phl,2015,72
phl,2016,72
phl,2017,72
phl,2018,120
phl,2019,120
plw,2014,84
plw,2015,84
plw,2016,84
plw,2017,84
plw,2018,84
plw,2019,84
png,2014,72
png,2015,72
png,2016,72
png,2017,72
png,2018,72
png,2019,72
pol,2014,0
pol,2015,0
pol,2016,0
pol,2017,0
pol,2018,0
pol,2019,0
pri,2014,48
pri,2015,48
pri,2016,48
pri,2017,48
pri,2018,48
pri,2019,48
prt,2014,0
prt,2015,0
prt,2016,0
prt,2017,0
prt,2018,0
prt,2019,0
pry,2014,48
pry,2015,48
pry,2016,48
pry,2017,48
pry,2018,24
pry,2019,24
pse,2014,6
pse,2015,6
pse,2016,6
pse,2017,6
pse,2018,6
pse,2019,6
qat,2014,121.3333
qat,2015,61.33333
qat,2016,61.33333
qat,2017,48
qat,2018,48
qat,2019,48
rou,2014,0.375
rou,2015,0.375
rou,2016,0.375
rou,2017,0.375
rou,2018,0.375
rou,2019,0.375
rus,2014,38.6
rus,2015,38.6
rus,2016,38.6
rus,2017,38.6
rus,2018,30
rus,2019,30
rwa,2014,21.79524
rwa,2015,293.7952
rwa,2016,85.66667
rwa,2017,85.66667
rwa,2018,73.5
rwa,2019,73.5
sau,2014,228
sau,2015,228
sau,2016,228
sau,2017,228
sau,2018,228
sau,2019,72
sdn,2014,144
sdn,2015,144
sdn,2016,144
sdn,2017,144
sdn,2018,144
sdn,2019,144
sen,2014,53.33333
sen,2015,53.33333
sen,2016,53.33333
sen,2017,53.33333
sen,2018,53.33333
sen,2019,53.33333
sgp,2014,35.42857
sgp,2015,35.42857
sgp,2016,35.42857
sgp,2017,33
sgp,2018,33
sgp,2019,33
slb,2014,108
slb,2015,108
slb,2016,108
slb,2017,108
slb,2018,108
slb,2019,108
sle,2014,133.7143
sle,2015,133.7143
sle,2016,133.7143
sle,2017,120
sle,2018,120
sle,2019,120
slv,2014,15.66667
slv,2015,39.66667
slv,2016,39.66667
slv,2017,36
slv,2018,36
slv,2019,36
smr,2014,4
smr,2015,4
smr,2016,4
smr,2017,4
smr,2018,4
smr,2019,4
som,2015,85
som,2016,85
som,2017,85
som,2018,85
som,2019,85
srb,2014,4
srb,2015,4
srb,2016,4
srb,2017,4
srb,2018,4
srb,2019,4.6
ssd,2014,179
ssd,2015,179
ssd,2016,179
ssd,2017,179
ssd,2018,179
ssd,2019,179
stp,2014,163
stp,2015,156
stp,2016,156
stp,2017,150
stp,2018,150
stp,2019,150
sur,2014,72
sur,2015,48
sur,2016,48
sur,2017,48
sur,2018,48
sur,2019,48
svk,2014,0
svk,2015,0
svk,2016,0
svk,2017,0
svk,2018,0
svk,2019,0
svn,2014,0
svn,2015,0
svn,2016,0
svn,2017,0
svn,2018,0
svn,2019,0
swe,2014,0
swe,2015,0
swe,2016,0
swe,2017,0
swe,2018,0
swe,2019,0
swz,2014,4.61111
swz,2015,4.61111
swz,2016,4.61111
swz,2017,3.05556
swz,2018,3.05556
swz,2019,3.05556
syc,2014,99
syc,2015,99
syc,2016,97
syc,2017,97
syc,2018,97
syc,2019,97
syr,2014,141.3333
syr,2015,141.3333
syr,2016,141.3333
syr,2017,141.3333
syr,2018,141.3333
syr,2019,141.3333
tcd,2014,242
tcd,2015,242
tcd,2016,242
tcd,2017,242
tcd,2018,242
tcd,2019,242
tgo,2014,266.6667
tgo,2015,194.6667
tgo,2016,168
tgo,2017,168
tgo,2018,168
tgo,2019,168
tha,2014,50.18182
tha,2015,50.18182
tha,2016,50.18182
tha,2017,50.18182
tha,2018,50.18182
tha,2019,50.18182
tjk,2014,176.8333
tjk,2015,107.8333
tjk,2016,107.8333
tjk,2017,106.5
tjk,2018,106.5
tjk,2019,106.5
tls,2014,100
tls,2015,100
tls,2016,100
tls,2017,100
tls,2018,100
tls,2019,100
ton,2014,25.5
ton,2015,25.5
ton,2016,25.5
ton,2017,25.5
ton,2018,25.5
ton,2019,25.5
tto,2014,78
tto,2015,78
tto,2016,78
tto,2017,78
tto,2018,78
tto,2019,78
tun,2014,128
tun,2015,80
tun,2016,80
tun,2017,80
tun,2018,80
tun,2019,80
tur,2014,31.61538
tur,2015,31.61538
tur,2016,31.61538
tur,2017,31.61538
tur,2018,10.5
tur,2019,6.5
tza,2014,402
tza,2015,402
tza,2016,402
tza,2017,402
tza,2018,402
tza,2019,402
uga,2014,154.25
uga,2015,154.25
uga,2016,154.25
uga,2017,154.25
uga,2018,145
uga,2019,145
ukr,2014,32
ukr,2015,32
ukr,2016,32
ukr,2017,32
ukr,2018,32
ukr,2019,32
ury,2014,13
ury,2015,13
ury,2016,13
ury,2017,6
ury,2018,6
ury,2019,6
usa,2014,1.5
usa,2015,1.5
usa,2016,1.5
usa,2017,1.5
usa,2018,1.5
usa,2019,1.5
uzb,2014,110.609
uzb,2015,110.609
uzb,2016,110.609
uzb,2017,110.609
uzb,2018,110.609
uzb,2019,110.609
vct,2014,48
vct,2015,48
vct,2016,48
vct,2017,48
vct,2018,48
vct,2019,48
ven,2014,240
ven,2015,240
ven,2016,240
ven,2017,240
ven,2018,240
vnm,2014,64
vnm,2015,64
vnm,2016,61.96667
vnm,2017,56
vnm,2018,56
vnm,2019,56
vut,2014,198
vut,2015,126
vut,2016,126
vut,2017,126
vut,2018,126
vut,2019,126
wsm,2014,84
wsm,2015,84
wsm,2016,84
wsm,2017,84
wsm,2018,84
wsm,2019,84
zaf,2014,87
zaf,2015,87
zaf,2016,87
zaf,2017,87
zaf,2018,87
zaf,2019,87
zmb,2014,81
zmb,2015,163
zmb,2016,163
zmb,2017,120
zmb,2018,120
zmb,2019,120
zwe,2014,59.66667
zwe,2015,59.66667
zwe,2016,227.6667
zwe,2017,227.6667
zwe,2018,227.6667
zwe,2019,227.6667
