geo,time,nv_srv_totl_kd
hun,2015,67732480108.83089
hun,2016,69698101724.6472
hun,2017,73127860166.64729
hun,2018,77652965551.8065
hun,2019,81588955814.3073
hun,2020,78716039128.995
idn,1960,13060415071.7818
idn,1961,14358016892.3223
idn,1962,14442413758.6989
idn,1963,14642856316.3434
idn,1964,14980443781.8499
idn,1965,15180886339.4943
idn,1966,15191435947.7914
idn,1967,16056503828.1517
idn,1968,17575647422.9309
idn,1969,19168638275.7896
idn,1970,20962071686.2927
idn,1971,22892650004.6579
idn,1972,25213563830.0149
idn,1973,27428981572.4012
idn,1974,30051047211.7012
idn,1975,33079110111.2799
idn,1976,35035388576.73
idn,1977,39259693403.9157
idn,1978,42743294896.1286
idn,1979,46347728906.2816
idn,1980,51811775367.53249
idn,1981,56877074519.5813
idn,1982,59833846233.5754
idn,1983,62594869268.50649
idn,1984,66195514596.0838
idn,1985,69210290010.0083
idn,1986,74084321107.82861
idn,1987,78713104334.8175
idn,1988,84094716343.43269
idn,1989,91926211844.798
idn,1990,98603485223.91649
idn,1991,104666990122.071
idn,1992,112213228179.32001
idn,1993,121192890299.94
idn,1994,129785674800.58
idn,1995,139656842846.505
idn,1996,149088893981.353
idn,1997,157413497635.29401
idn,1998,131500828566.297
idn,1999,130145558429.532
idn,2000,136879815891.006
idn,2001,143568194152.23199
idn,2002,151027550204.785
idn,2003,160630007426.892
idn,2004,172051312773.49799
idn,2005,185593523853.84897
idn,2006,199197585191.33096
idn,2007,217123356445.18399
idn,2008,235925015404.97501
idn,2009,249668956628.617
idn,2010,270677231032.77896
idn,2011,293443297809.83002
idn,2012,313455899283.61102
idn,2013,333486430398.12598
idn,2014,353552782006.35199
idn,2015,372828057307.87506
idn,2016,393946652888.51099
idn,2017,416219533333.63202
idn,2018,440449100975.02399
idn,2019,468615858691.83398
idn,2020,461909610634.77698
ind,1960,34643019386.9217
ind,1961,36341104019.5532
ind,1962,38300185622.3254
ind,1963,40412847269.12289
ind,1964,42575730075.4764
ind,1965,43806214235.7615
ind,1966,45179695245.72849
ind,1967,46839651577.9079
ind,1968,48908650750.3179
ind,1969,51335077063.8026
ind,1970,53762265834.8726
ind,1971,55846754624.6103
ind,1972,57570239619.7367
ind,1973,59470473151.4527
ind,1974,61709616479.9016
ind,1975,65473177755.418
ind,1976,68486222938.4035
ind,1977,71671298240.3358
ind,1978,76183742103.99539
ind,1979,78159449100.5408
ind,1980,80855990043.05161
ind,1981,85445895955.84509
ind,1982,91850311594.43849
ind,1983,97740369037.5712
ind,1984,104167906470.57001
ind,1985,112326325994.51401
ind,1986,121368831898.95399
ind,1987,129720074486.946
ind,1988,139271222067.14999
ind,1989,151451915349.953
ind,1990,159856908662.19601
ind,1991,168533587941.35001
ind,1992,178435783384.58499
ind,1993,192263023248.10501
ind,1994,201976589088.60001
ind,1995,220493968306.539
ind,1996,235390304611.371
ind,1997,256566082759.59399
ind,1998,277641679783.55402
ind,1999,312332864262.51703
ind,2000,328279433656.03003
ind,2001,348790860490.55701
ind,2002,370933711963.08002
ind,2003,398201750437.51001
ind,2004,431090115106.21094
ind,2005,470395324475.70801
ind,2006,503503260057.89899
ind,2007,542665970654.69202
ind,2008,578047325900.61694
ind,2009,628201427725.02795
ind,2010,677425193342.85803
ind,2011,717149463020.34094
ind,2012,776914383903.90405
ind,2013,836425987441.76001
ind,2014,918484337596.97473
ind,2015,1005173102444.68994
ind,2016,1090241543894.01001
ind,2017,1159396250772.79004
ind,2018,1242922605499.66992
ind,2019,1332297471323.27002
ind,2020,1220966099899.20996
irl,1995,69990714890.8176
irl,1996,73836938963.30348
irl,1997,80089122877.39059
