geo,time,fi_res_xgld_cd
slb,1984,44703981.41698
slb,1985,35605975.39543
slb,1986,29571754.06407
slb,1987,36748876.1367
slb,1988,39619761.81184
slb,1989,26162215.15494
slb,1990,17599672.64657
slb,1991,8542562.9032
slb,1992,23497502.99064
slb,1993,20068807.65208
slb,1994,17418038.84071
slb,1995,15905273.45376
slb,1996,32583561.87233
slb,1997,36339715.36203
slb,1998,49034706.47584
slb,1999,51143527.17076
slb,2000,32044869.27724
slb,2001,18070277.34654
slb,2002,18687274.5467
slb,2003,37005791.59828
slb,2004,79812571.618
slb,2005,94825566.29343
slb,2006,104075013.50612
slb,2007,120530168.35939
slb,2008,88829534.56743
slb,2009,145987707.52023
slb,2010,265834982.90891
slb,2011,412272152.61395
slb,2012,469491017.8166
slb,2013,491517511.1227
slb,2014,466909894.03537
slb,2015,494079337.70636
slb,2016,486413103.3128
slb,2017,543062273.51911
slb,2018,586304110.45766
slb,2019,535018679.36141
slb,2020,660995997.34991
sle,1960,27200000
sle,1961,27800000
sle,1962,31800000
sle,1963,32500000
sle,1964,20444000
sle,1965,22640000
sle,1966,20000000
sle,1967,15900000
sle,1968,27500000
sle,1969,35400000
sle,1970,39360000
sle,1971,38407453.45932
sle,1972,46452033.01835
sle,1973,51775197.55447
sle,1974,54623869.93171
sle,1975,28412394.93879
sle,1976,25204166.33175
sle,1977,33400597.64066
sle,1978,34786615.07633
sle,1979,46700000
sle,1980,30600000
sle,1981,15950187.39827
sle,1982,8429491.57836
sle,1983,16204695.59766
sle,1984,7749010.47849
sle,1985,10821968.36555
sle,1986,13654727.04366
sle,1987,6328373.22135
sle,1988,7426913.91584
sle,1989,3726283.2812
sle,1990,5428453.14478
sle,1991,9628608.61978
sle,1992,18925006.39377
sle,1993,28965193.53253
sle,1994,40639713.60709
sle,1995,34618040.69401
sle,1996,26591784.8474
sle,1997,38464889.79319
sle,1998,43857037.51681
sle,1999,39474579.59267
sle,2000,49207274.42105
sle,2001,51311629.27477
sle,2002,84690145.25146
sle,2003,66617191.35284
sle,2004,125104244.3688
sle,2005,170505508.38979
sle,2006,183927216.13441
sle,2007,216555180.81199
sle,2008,220167661.3417
sle,2009,404964508.63092
sle,2010,408971756.31722
sle,2011,439130952.88116
sle,2012,477987067.65521
sle,2013,532538016.70437
sle,2014,600784544.07181
sle,2015,579013520.60832
sle,2016,497242646.67657
