geo,time,sh_alc_pcap_li
grc,2000,10.18
grc,2005,10.73
grc,2010,9.67
grc,2015,10.49
grc,2018,10.18
grd,2000,9.8
grd,2005,8.76
grd,2010,8.31
grd,2015,9.07
grd,2018,9.48
gtm,2000,4.4
gtm,2005,4.29
gtm,2010,3.51
gtm,2015,2.55
gtm,2018,2.45
guy,2000,8.98
guy,2005,7.98
guy,2010,6.78
guy,2015,7.35
guy,2018,6.89
hnd,2000,3.5
hnd,2005,3.88
hnd,2010,3.59
hnd,2015,3.49
hnd,2018,3.76
hrv,2000,12.45
hrv,2005,10.31
hrv,2010,10.08
hrv,2015,9.07
hrv,2018,9.23
hti,2000,3.97
hti,2005,3.86
hti,2010,2.99
hti,2015,2.69
hti,2018,2.73
hun,2000,14.27
hun,2005,14.56
hun,2010,12.09
hun,2015,11.6
hun,2018,11.35
idn,2000,0.5
idn,2005,0.48
idn,2010,0.59
idn,2015,0.6
idn,2018,0.57
ind,2000,2.28
ind,2005,2.33
ind,2010,4.35
ind,2015,5.54
ind,2018,5.54
irl,2000,15.13
irl,2005,14.2
irl,2010,12.07
irl,2015,12.47
irl,2018,12.88
irn,2000,0.21
irn,2005,0.58
irn,2010,1.01
irn,2015,1.01
irn,2018,1.03
irq,2000,0.45
irq,2005,0.44
irq,2010,0.49
irq,2015,0.37
irq,2018,0.39
isl,2000,7.03
isl,2005,7.74
isl,2010,7.5
isl,2015,8.74
isl,2018,9.12
isr,2000,3.08
isr,2005,2.7
isr,2010,3.12
isr,2015,3.86
isr,2018,4.21
ita,2000,10.37
ita,2005,9.41
ita,2010,7.34
ita,2015,7.59
ita,2018,7.84
jam,2000,4.91
jam,2005,4.43
jam,2010,4.38
jam,2015,4.19
jam,2018,4.22
jor,2000,0.62
jor,2005,0.66
jor,2010,0.64
jor,2015,0.69
jor,2018,0.69
jpn,2000,8.23
jpn,2005,7.99
jpn,2010,7.2
jpn,2015,7.87
jpn,2018,7.96
kaz,2000,8.18
kaz,2005,9.33
kaz,2010,4.97
kaz,2015,4.66
kaz,2018,4.76
ken,2000,3.83
ken,2005,3.01
ken,2010,3.29
ken,2015,2.77
ken,2018,2.78
kgz,2000,9.45
kgz,2005,11.19
kgz,2010,10.08
kgz,2015,7.59
kgz,2018,6.26
khm,2000,1.87
khm,2005,2.69
khm,2010,4.91
khm,2015,6.37
khm,2018,6.64
kir,2000,1.96
kir,2005,2.16
kir,2010,1.65
kir,2015,0.52
kir,2018,0.46
kna,2000,9.51
kna,2005,11.53
kna,2010,9.45
kna,2015,8.88
kna,2018,8.94
kor,2000,12.31
kor,2005,10.58
kor,2010,9.97
kor,2015,10.04
kor,2018,9.7
kwt,2000,0.038
kwt,2005,0.019
kwt,2010,0.032
kwt,2015,0.003
kwt,2018,0.003
lao,2000,4.66
lao,2005,4.37
lao,2010,7.1
lao,2015,10.05
lao,2018,10.72
lbn,2000,2.96
lbn,2005,2.31
lbn,2010,1.94
lbn,2015,1.65
lbn,2018,1.71
lbr,2000,6.38
lbr,2005,6.05
lbr,2010,5.37
lbr,2015,5.7
lbr,2018,6.12
lby,2000,0.064
lby,2005,0.083
lby,2010,0.098
lby,2015,0.029
lby,2018,0.019
lca,2000,11.8
lca,2005,11.62
lca,2010,9.69
lca,2015,9.96
lca,2018,10.6
lka,2000,2.22
lka,2005,2.59
lka,2010,3.92
lka,2015,4.1
lka,2018,4.1
lso,2000,7.31
lso,2005,5.37
lso,2010,6.5
lso,2015,4.8
lso,2018,4.59
ltu,2000,13.36
ltu,2005,16.1
ltu,2010,15.25
ltu,2015,15.38
ltu,2018,13.22
lux,2000,14.32
lux,2005,13.58
lux,2010,12.98
lux,2015,13.18
lux,2018,12.94
lva,2000,8.76
lva,2005,11.96
lva,2010,11.63
lva,2015,12.64
lva,2018,12.77
mar,2000,1.01
mar,2005,0.96
mar,2010,0.9
mar,2015,0.7
mar,2018,0.69
mda,2000,13.89
mda,2005,19.95
mda,2010,15.54
mda,2015,11.87
mda,2018,11.43
mdg,2000,2.11
mdg,2005,1.53
mdg,2010,1.87
mdg,2015,1.88
mdg,2018,1.97
mdv,2000,2.04
mdv,2005,1.52
mdv,2010,1.65
mdv,2015,2.07
mdv,2018,2.22
mex,2000,6.43
mex,2005,6.48
mex,2010,5.21
mex,2015,4.92
mex,2018,5
mkd,2000,7.31
mkd,2005,7.03
mkd,2010,5.93
mkd,2015,5.93
mkd,2018,6.16
mli,2000,1.15
mli,2005,1.05
mli,2010,1.09
mli,2015,1.25
mli,2018,1.28
mlt,2000,5.72
mlt,2005,6.65
mlt,2010,6.58
mlt,2015,7.56
mlt,2018,7.99
mmr,2000,0.38
mmr,2005,1.65
mmr,2010,2.9
mmr,2015,4.41
mmr,2018,5.12
mne,2010,15.07
mne,2015,10.92
mne,2018,11.47
mng,2000,3.11
mng,2005,5.28
mng,2010,9.65
mng,2015,10.97
mng,2018,8.19
moz,2000,2.33
moz,2005,1.3
moz,2010,1.63
moz,2015,2.19
moz,2018,2.3
mrt,2000,0.2
mrt,2005,0.13
mrt,2010,0.086
mrt,2015,0.033
mrt,2018,0.036
mus,2000,5.49
mus,2005,5
mus,2010,3.81
mus,2015,3.94
mus,2018,4.35
mwi,2000,2.42
mwi,2005,2.87
mwi,2010,3.21
mwi,2015,3.62
mwi,2018,3.63
mys,2000,1.53
mys,2005,1.28
mys,2010,1.32
mys,2015,0.85
mys,2018,0.85
nam,2000,3.26
nam,2005,2.7
nam,2010,1.99
nam,2015,5.23
nam,2018,5.43
ner,2000,0.23
ner,2005,0.25
ner,2010,0.31
ner,2015,0.55
ner,2018,0.67
nga,2000,12.5
nga,2005,12.51
nga,2010,11.72
nga,2015,10.81
nga,2018,10.84
nic,2000,5.05
nic,2005,5.3
nic,2010,4.79
nic,2015,5.03
nic,2018,5.18
nld,2000,11.08
nld,2005,10.71
nld,2010,10.21
nld,2015,9.55
nld,2018,9.61
nor,2000,7.95
nor,2005,8.87
nor,2010,8.94
nor,2015,7.52
nor,2018,7.41
npl,2000,1.12
npl,2005,1.95
npl,2010,1.94
npl,2015,2.05
npl,2018,2.05
nru,2000,6.04
nru,2005,3.4
nru,2010,5.73
nru,2015,3.71
nru,2018,3.71
nzl,2000,10.42
nzl,2005,10.92
nzl,2010,11.32
nzl,2015,10.44
nzl,2018,10.63
omn,2000,6.56
omn,2005,1.56
omn,2010,0.73
omn,2015,0.77
omn,2018,0.78
pak,2000,0.085
pak,2005,0.16
pak,2010,0.19
pak,2015,0.29
pak,2018,0.34
pan,2000,5.48
pan,2005,5.49
pan,2010,6.84
pan,2015,7.71
pan,2018,7.98
per,2000,6.54
per,2005,6.99
per,2010,7.69
per,2015,6.63
per,2018,6.38
phl,2000,6.06
phl,2005,5.67
phl,2010,6.98
phl,2015,6.7
phl,2018,6.86
png,2000,1.79
png,2005,1.6
png,2010,1.67
png,2015,1.39
png,2018,1.39
pol,2000,9.17
pol,2005,10.6
pol,2010,11.21
pol,2015,11.63
pol,2018,11.71
prk,2000,3.52
prk,2005,3.68
prk,2010,3.78
prk,2015,3.82
prk,2018,3.8
prt,2000,14.08
prt,2005,13.37
prt,2010,12.51
prt,2015,11.88
prt,2018,12.03
pry,2000,6.38
pry,2005,6.66
pry,2010,7.58
pry,2015,7.26
pry,2018,7.58
qat,2000,1.15
qat,2005,1.67
qat,2010,1.69
qat,2015,1.62
qat,2018,1.59
rou,2000,17.45
rou,2005,15.84
rou,2010,13.97
rou,2015,11.64
rou,2018,11.74
rus,2000,15.73
rus,2005,17.36
rus,2010,15.87
rus,2015,12.47
rus,2018,11.19
rwa,2000,13.73
rwa,2005,13
rwa,2010,10.27
rwa,2015,9.26
rwa,2018,8.95
sau,2000,0.18
sau,2005,0.17
sau,2010,0.17
sau,2015,0.2
sau,2018,0.19
sdn,2015,0.52
sdn,2018,0.51
sen,2000,0.96
sen,2005,0.85
sen,2010,0.6
sen,2015,0.73
sen,2018,0.76
sgp,2000,2.49
sgp,2005,1.78
sgp,2010,2.19
sgp,2015,2.07
sgp,2018,2.03
slb,2000,1.2
slb,2005,1.6
slb,2010,1.6
slb,2015,1.55
slb,2018,1.83
sle,2000,5.8
sle,2005,5.57
sle,2010,5.83
sle,2015,5.63
sle,2018,5.7
slv,2000,3.86
slv,2005,3.8
slv,2010,3.31
slv,2015,3.59
slv,2018,3.89
som,2000,0
som,2005,0.068
som,2010,0.28
som,2015,0.013
som,2018,0.009
srb,2010,11.69
srb,2015,8.7
srb,2018,8.75
stp,2000,8.2
stp,2005,8.72
stp,2010,8.34
stp,2015,7.19
stp,2018,5.88
sur,2000,5.29
sur,2005,5.41
sur,2010,6.22
sur,2015,5.81
sur,2018,5.33
svk,2000,12.47
svk,2005,12.06
svk,2010,12
svk,2015,11.53
svk,2018,11.14
svn,2000,12.6
svn,2005,12.3
svn,2010,11.54
svn,2015,12.74
svn,2018,11.9
swe,2000,8.53
swe,2005,8.64
swe,2010,9.49
swe,2015,9.13
swe,2018,8.93
swz,2000,7.46
swz,2005,6.71
swz,2010,6.82
swz,2015,9.84
swz,2018,10.04
syc,2000,7.62
syc,2005,6.13
syc,2010,10.19
syc,2015,18.35
syc,2018,20.5
syr,2000,1.15
syr,2005,0.92
syr,2010,0.88
syr,2015,0.28
syr,2018,0.24
tcd,2000,4.34
tcd,2005,4.62
tcd,2010,6.58
tcd,2015,1.45
tcd,2018,1.37
tgo,2000,1.79
tgo,2005,3.26
tgo,2010,2.11
tgo,2015,2.37
tgo,2018,2.46
tha,2000,6.49
tha,2005,6.81
tha,2010,7.71
tha,2015,8.36
tha,2018,8.3
tjk,2000,2.97
tjk,2005,2.51
tjk,2010,2.4
tjk,2015,3.11
tjk,2018,3.28
tkm,2000,4.82
tkm,2005,4.88
tkm,2010,4.82
tkm,2015,5.3
tkm,2018,4.93
tls,2000,1.53
tls,2005,0.83
tls,2010,0.7
tls,2015,2.01
tls,2018,2.17
ton,2000,1.7
ton,2005,2.32
ton,2010,1.39
ton,2015,0.68
ton,2018,0.8
tto,2000,5.27
tto,2005,6.17
tto,2010,6.21
tto,2015,6.88
tto,2018,6.72
tun,2000,1.36
tun,2005,1.46
tun,2010,1.4
tun,2015,1.99
tun,2018,2.12
tur,2000,2.41
tur,2005,2.12
tur,2010,2.32
tur,2015,2.12
tur,2018,2.05
tuv,2000,1.96
tuv,2005,2.03
tuv,2010,1.68
tuv,2015,1.98
tuv,2018,1.52
tza,2000,8.63
tza,2005,8.71
tza,2010,9.74
tza,2015,11.05
tza,2018,11.27
uga,2000,13.61
uga,2005,12.92
uga,2010,13.5
uga,2015,15.14
uga,2018,15.09
ukr,2000,12.46
ukr,2005,12.01
ukr,2010,13.57
ukr,2015,10.16
ukr,2018,8.32
ury,2000,8.09
ury,2005,7.46
ury,2010,7.1
ury,2015,6.99
ury,2018,6.92
usa,2000,9.19
usa,2005,9.49
usa,2010,9.36
usa,2015,9.82
usa,2018,9.87
uzb,2000,5.68
uzb,2005,4.15
uzb,2010,3.01
uzb,2015,2.59
uzb,2018,2.59
vct,2000,5.01
vct,2005,5.99
vct,2010,7.03
vct,2015,8.46
vct,2018,9.06
ven,2000,9.15
ven,2005,9.42
ven,2010,8.67
ven,2015,6.82
ven,2018,4.14
vnm,2000,2.21
vnm,2005,2.63
vnm,2010,4.9
vnm,2015,7.86
vnm,2018,8.66
vut,2000,1.17
vut,2005,1.2
vut,2010,1.7
vut,2015,2.14
vut,2018,2.25
wsm,2000,3.79
wsm,2005,4.2
wsm,2010,2.97
wsm,2015,2.59
wsm,2018,2.66
yem,2000,0.79
yem,2005,0.34
yem,2010,0.18
yem,2015,0.055
yem,2018,0.051
zaf,2000,10.02
zaf,2005,9.58
zaf,2010,10.04
zaf,2015,9.61
zaf,2018,9.52
zmb,2000,4.05
zmb,2005,3.9
zmb,2010,5.43
zmb,2015,6.89
zmb,2018,6.54
zwe,2000,2.46
zwe,2005,2.77
zwe,2010,3.93
zwe,2015,4.92
zwe,2018,4.67
