geo,time,hd_hci_ovrl_ub_ma
dma,2020,0.53456
dnk,2010,0.74618
dnk,2017,0.774
dnk,2018,0.76702
dnk,2020,0.74713
dom,2017,0.491
dom,2018,0.50424
dom,2020,0.49835
dza,2010,0.52435
dza,2017,0.512
dza,2018,0.52089
dza,2020,0.52238
ecu,2010,0.52284
ecu,2017,0.598
ecu,2018,0.59032
ecu,2020,0.58795
egy,2010,0.47536
egy,2017,0.485
egy,2018,0.4903
egy,2020,0.49194
esp,2010,0.69644
esp,2017,0.738
esp,2018,0.73097
esp,2020,0.72434
est,2010,0.69156
est,2017,0.733
est,2018,0.76187
est,2020,0.76225
eth,2017,0.398
eth,2018,0.39346
eth,2020,0.39285
fin,2010,0.79252
fin,2017,0.796
fin,2018,0.79778
fin,2020,0.77562
fji,2020,0.50189
fra,2010,0.74788
fra,2018,0.74961
fra,2020,0.7554
fsm,2018,0.47553
fsm,2020,0.51837
gab,2017,0.465
gab,2018,0.46423
gab,2020,0.46575
gbr,2010,0.76623
gbr,2017,0.782
gbr,2018,0.77636
gbr,2020,0.7844
geo,2010,0.49948
geo,2017,0.581
geo,2018,0.57649
geo,2020,0.53828
gha,2017,0.445
gha,2018,0.45003
gha,2020,0.45623
gin,2017,0.4
gin,2018,0.40244
gin,2020,0.40356
gmb,2010,0.38111
gmb,2018,0.41384
gmb,2020,0.43091
grc,2010,0.70642
grc,2017,0.673
grc,2018,0.68861
grc,2020,0.68127
grd,2018,0.52056
grd,2020,0.54925
gtm,2010,0.44355
gtm,2017,0.467
gtm,2018,0.45854
gtm,2020,0.46288
guy,2017,0.487
guy,2018,0.49272
guy,2020,0.49366
hkg,2010,0.77522
hkg,2017,0.824
hkg,2018,0.80834
hkg,2020,0.79292
hnd,2017,0.495
hnd,2018,0.48228
hnd,2020,0.48316
hrv,2010,0.66487
hrv,2017,0.716
hrv,2018,0.71843
hrv,2020,0.69401
hti,2017,0.451
hti,2018,0.45112
hti,2020,0.45338
hun,2010,0.66571
hun,2017,0.698
hun,2018,0.69456
hun,2020,0.67203
idn,2010,0.49369
idn,2017,0.531
idn,2018,0.53742
idn,2020,0.5363
ind,2017,0.437
ind,2018,0.48341
ind,2020,0.49224
irl,2010,0.75471
irl,2018,0.81829
irl,2020,0.79231
irn,2010,0.56195
irn,2017,0.586
irn,2018,0.58837
irn,2020,0.58985
irq,2017,0.398
irq,2018,0.39403
irq,2020,0.4018
isl,2010,0.74553
isl,2017,0.733
isl,2018,0.73277
isl,2020,0.73131
isr,2010,0.70822
isr,2018,0.76011
isr,2020,0.72059
ita,2010,0.74046
ita,2017,0.775
ita,2018,0.75625
ita,2020,0.72801
jam,2017,0.519
jam,2018,0.52972
jam,2020,0.52708
jor,2010,0.54245
jor,2017,0.556
jor,2018,0.53529
jor,2020,0.54303
kaz,2010,0.56884
kaz,2017,0.739
kaz,2018,0.76244
kaz,2020,0.61387
kgz,2017,0.571
kgz,2018,0.58239
kgz,2020,0.58717
kir,2018,0.46042
kir,2020,0.47967
kna,2018,0.57273
kna,2020,0.59006
kor,2010,0.81688
kor,2017,0.84
kor,2018,0.83221
kor,2020,0.79883
kos,2017,0.556
kos,2018,0.56007
kos,2020,0.5591
kwt,2010,0.5534
kwt,2017,0.563
kwt,2018,0.55346
kwt,2020,0.54748
lao,2017,0.457
lao,2018,0.46455
lao,2020,0.46417
lbn,2017,0.554
lbr,2017,0.32
lbr,2018,0.32747
lbr,2020,0.32943
lca,2018,0.57648
lca,2020,0.59556
lso,2010,0.33783
ltu,2010,0.6382
ltu,2017,0.683
ltu,2018,0.69428
ltu,2020,0.67238
lux,2010,0.68981
lux,2017,0.687
lux,2018,0.69225
lux,2020,0.68136
lva,2010,0.63703
lva,2017,0.699
lva,2018,0.70796
lva,2020,0.68236
mac,2010,0.63207
mac,2017,0.74
mac,2018,0.74576
mac,2020,0.78198
mar,2010,0.48478
mar,2017,0.503
mar,2018,0.49297
mar,2020,0.50509
mda,2010,0.54057
mda,2017,0.573
mda,2018,0.56821
mda,2020,0.5725
mdg,2010,0.39719
mdg,2017,0.396
mdg,2018,0.39385
mdg,2020,0.39988
mex,2010,0.58021
mex,2017,0.603
mex,2018,0.6053
mex,2020,0.60928
mhl,2018,0.40727
mhl,2020,0.42525
mkd,2010,0.53926
mkd,2017,0.529
mkd,2018,0.52939
mkd,2020,0.55001
mli,2017,0.341
mli,2018,0.33454
mli,2020,0.33144
mlt,2010,0.65332
mlt,2017,0.687
mlt,2018,0.69684
mlt,2020,0.6917
mmr,2017,0.474
mmr,2018,0.47566
mmr,2020,0.48079
mne,2010,0.57521
mne,2018,0.61834
mne,2020,0.63621
mng,2018,0.6169
mng,2020,0.61385
mrt,2017,0.367
mrt,2018,0.38703
mrt,2020,0.39756
mus,2010,0.59192
mwi,2010,0.36355
mys,2010,0.57166
mys,2017,0.613
mys,2018,0.62656
mys,2020,0.60164
nam,2010,0.39592
ner,2017,0.335
ner,2018,0.34022
ner,2020,0.33717
nga,2017,0.365
nga,2018,0.37024
nga,2020,0.37676
nic,2017,0.529
nic,2018,0.49885
nic,2020,0.49981
nld,2010,0.80406
nld,2017,0.798
nld,2018,0.80089
nld,2020,0.7856
nor,2010,0.76154
nor,2017,0.768
nor,2018,0.76295
nor,2020,0.75811
nru,2020,0.50507
nzl,2010,0.76684
nzl,2017,0.765
nzl,2018,0.76628
nzl,2020,0.7716
omn,2010,0.53568
omn,2017,0.602
omn,2018,0.59655
omn,2020,0.59393
pak,2017,0.41
pak,2018,0.41766
pak,2020,0.42701
pan,2010,0.50676
pan,2017,0.535
pan,2018,0.51239
pan,2020,0.49758
per,2010,0.54408
per,2017,0.586
per,2018,0.60638
per,2020,0.62079
phl,2017,0.53
phl,2018,0.53758
phl,2020,0.51221
plw,2018,0.56233
plw,2020,0.5824
png,2017,0.408
png,2018,0.44227
png,2020,0.44727
pol,2017,0.731
pol,2018,0.74293
pol,2020,0.73467
prt,2010,0.72823
prt,2017,0.78
prt,2018,0.78535
prt,2020,0.7677
pry,2010,0.51582
pry,2017,0.546
pry,2018,0.54243
pry,2020,0.54308
pse,2017,0.548
pse,2018,0.56111
pse,2020,0.57021
qat,2010,0.58132
qat,2017,0.6
qat,2018,0.62436
qat,2020,0.61676
rou,2010,0.57679
rou,2017,0.592
rou,2018,0.58105
rou,2020,0.57193
rus,2017,0.732
rus,2018,0.69392
rus,2020,0.64753
rwa,2017,0.376
rwa,2018,0.37735
rwa,2020,0.37975
sau,2010,0.55395
sau,2017,0.577
sau,2018,0.57233
sau,2020,0.57404
sdn,2018,0.38402
sdn,2020,0.38578
sen,2010,0.39395
sen,2017,0.423
sen,2018,0.42122
sen,2020,0.41864
sgp,2010,0.83968
sgp,2017,0.889
sgp,2018,0.88682
sgp,2020,0.87826
slb,2017,0.447
slb,2018,0.42931
slb,2020,0.41962
sle,2017,0.34
sle,2018,0.36509
sle,2020,0.3753
slv,2017,0.505
slv,2018,0.542
slv,2020,0.54196
srb,2010,0.64424
srb,2017,0.759
srb,2018,0.76348
srb,2020,0.67313
svk,2010,0.65457
svk,2017,0.687
svk,2018,0.66842
svk,2020,0.65043
svn,2010,0.72527
svn,2017,0.781
svn,2018,0.77613
svn,2020,0.75835
swe,2010,0.75391
swe,2017,0.801
swe,2018,0.80137
swe,2020,0.79163
swz,2010,0.31099
syc,2010,0.57975
tcd,2010,0.30916
tcd,2017,0.315
tcd,2018,0.32689
tcd,2020,0.32849
tgo,2010,0.38444
tgo,2017,0.438
tgo,2018,0.44319
tgo,2020,0.46006
tha,2010,0.56774
tha,2017,0.584
tha,2018,0.61259
tha,2020,0.6007
tjk,2017,0.553
tjk,2018,0.55992
tls,2010,0.41506
tls,2017,0.459
tls,2018,0.45532
tls,2020,0.45607
ton,2017,0.492
ton,2018,0.51041
ton,2020,0.52576
tto,2010,0.52814
tun,2010,0.51696
tun,2017,0.499
tun,2018,0.49926
tun,2020,0.50639
tur,2010,0.63325
tur,2017,0.621
tur,2018,0.63024
tur,2020,0.65233
tuv,2018,0.43918
tuv,2020,0.44509
tza,2017,0.402
tza,2018,0.38722
tza,2020,0.39158
ukr,2010,0.60069
ukr,2017,0.652
ukr,2018,0.61994
ukr,2020,0.60326
ury,2010,0.5697
ury,2018,0.59229
ury,2020,0.58766
usa,2010,0.68844
usa,2017,0.736
usa,2018,0.70749
usa,2020,0.69544
uzb,2020,0.63673
vct,2018,0.52217
vct,2020,0.51448
vnm,2010,0.65385
vnm,2018,0.67311
vnm,2020,0.67555
vut,2017,0.476
vut,2018,0.4492
vut,2020,0.45975
wsm,2018,0.51441
wsm,2020,0.53341
yem,2017,0.387
yem,2018,0.39386
yem,2020,0.39478
zaf,2010,0.43129
zaf,2017,0.373
zaf,2018,0.41488
zaf,2020,0.41839
zwe,2010,0.42152
